阿拉伯联盟经济理事会,a'la'bo'lian'meng'jing'ji'li'shi'hui
岸冰带,an'bing'dai
按尺寸加工,an'chi'cun'jia'gong
按红色钮,an'hong'se'niu
胺基乙烷,an'ji'yi'wan
岸礁,an'jiao
按进尺付钱,an'jin'chi'fu'qian
按流量比例取样,an'liu'liang'bi'li'qu'yang
按钮接触,an'niu'jie'chu
安排,an'pai
安全储备,an'quan'chu'bei
安全出口,an'quan'chu'kou
安全阀,an'quan'fa
安全防火系统分析,an'quan'fang'huo'xi'tong'fen'xi
安全技术规程,an'quan'ji'shu'gui'cheng
安全接头,an'quan'jie'tou
安全卡瓦,an'quan'ka'wa
安全帽,an'quan'mao
安全疏散距离,an'quan'shu'san'ju'li
安全系数,an'quan'xi'shu
安全自锁装置,an'quan'zi'suo'zhuang'zhi
按实物真实尺寸绘制的图,an'shi'wu'zhen'shi'chi'cun'hui'zhi'de'tu
岸外坝,an'wai'ba
按位加,an'wei'jia
桉叶烷,an'ye'wan
安逸,an'yi
按指数律地,an'zhi'shu'lv'di
安装布置图,an'zhuang'bu'zhi'tu
安装拆卸,an'zhuang'chai'xie
安装队,an'zhuang'dui
安装防喷器组,an'zhuang'fang'pen'qi'zu
安装费用,an'zhuang'fei'yong
安装工,an'zhuang'gong
安装焊接,an'zhuang'han'jie
安装技术,an'zhuang'ji'shu
安装架,an'zhuang'jia
安装件,an'zhuang'jian
安装进程,an'zhuang'jin'cheng
安装井口装置完井,an'zhuang'jing'kou'zhuang'zhi'wan'jing
安装螺栓,an'zhuang'luo'shuan
安装起重机,an'zhuang'qi'zhong'ji
安装容许误差,an'zhuang'rong'xu'wu'cha
安装设备,an'zhuang'she'bei
安装现场,an'zhuang'xian'chang
安装应力,an'zhuang'ying'li
安装用连接件,an'zhuang'yong'lian'jie'jian
安装证书,an'zhuang'zheng'shu
肮脏的,ang'zang'de
凹槽,ao'cao
凹槽接合,ao'cao'jie'he
凹口,ao'kou
奥球闪长岩,ao'qiu'shan'chang'yan
凹型的,ao'xing'de
八点系泊系统,ba'dian'xi'bo'xi'tong
把管子头对头地排放,ba'guan'zi'tou'dui'tou'di'pai'fang
八面沸石,ba'mian'fei'shi
把排除在外,ba'pai'chu'zai'wai
把绳子给我,ba'sheng'zi'gei'wo
八十,ba'shi
八十列穿孔机,ba'shi'lie'chuan'kong'ji
八十列卡片,ba'shi'lie'ka'pian
八位二进制数,ba'wei'er'jin'zhi'shu
八位模拟,ba'wei'mo'ni
八位数,ba'wei'shu
八月,ba'yue
白炽灯,bai'chi'deng
白点,bai'dian
百科全书,bai'ke'quan'shu
白榴金云煌斑岩,bai'liu'jin'yun'huang'ban'yan
摆脱,bai'tuo
百万分之几当量数,bai'wan'fen'zhi'ji'dang'liang'shu
白云岩,bai'yun'yan
白脂晶石,bai'zhi'jing'shi
半柏油,ban'bai'you
版本,ban'ben
板材弯曲试验,ban'cai'wan'qu'shi'yan
板材弯曲试验机,ban'cai'wan'qu'shi'yan'ji
斑点,ban'dian
斑点状油湿性,ban'dian'zhuang'you'shi'xing
半横梁,ban'heng'liang
半浅海的,ban'qian'hai'de
半球形的底板,ban'qiu'xing'de'di'ban
版式,ban'shi
扳手,ban'shou
搬手,ban'shou
伴随裂变辐射,ban'sui'lie'bian'fu'she
斑铜矿,ban'tong'kuang
半消毁式过油管射孔器,ban'xiao'hui'shi'guo'you'guan'she'kong'qi
绑札用铁丝,bang'zha'yong'tie'si
保安,bao'an
薄层,bao'ceng
薄层的,bao'ceng'de
薄层砂岩,bao'ceng'sha'yan
报酬,bao'chou
刨床,bao'chuang
保底天然气,bao'di'tian'ran'qi
爆发,bao'fa
爆发角砾岩,bao'fa'jiao'li'yan
爆发凝灰岩,bao'fa'ning'hui'yan
报废井,bao'fei'jing
报废零件,bao'fei'ling'jian
包封,bao'feng
包封介质,bao'feng'jie'zhi
曝光,bao'guang
曝光表,bao'guang'biao
曝光灯,bao'guang'deng
曝光点,bao'guang'dian
曝光计,bao'guang'ji
曝光控制,bao'guang'kong'zhi
曝光宽容度,bao'guang'kuan'rong'du
曝光量范围,bao'guang'liang'fan'wei
曝光时放出电子的分子,bao'guang'shi'fang'chu'dian'zi'de'fen'zi
曝光时间,bao'guang'shi'jian
曝光指数,bao'guang'zhi'shu
包裹,bao'guo
饱和度,bao'he'du
饱和溶液,bao'he'rong'ye
饱和式磁力仪,bao'he'shi'ci'li'yi
饱和盐水泥浆,bao'he'yan'shui'ni'jiang
保护板,bao'hu'ban
曝火试验,bao'huo'shi'yan
包迹宽带示波器,bao'ji'kuan'dai'shi'bo'qi
包进尺钻井合同,bao'jin'chi'zuan'jing'he'tong
报警铃,bao'jing'ling
包括装卸费在内的运费,bao'kuo'zhuang'xie'fei'zai'nei'de'yun'fei
暴露,bao'lu
暴露的锚地,bao'lu'de'mao'di
暴露时间,bao'lu'shi'jian
包络记录,bao'luo'ji'lu
包络空间,bao'luo'kong'jian
包络面,bao'luo'mian
包络曲线,bao'luo'qu'xian
包络体,bao'luo'ti
包络线相移,bao'luo'xian'xiang'yi
包络选择,bao'luo'xuan'ze
包络振幅,bao'luo'zhen'fu
薄膜变薄,bao'mo'bian'bao
薄膜裁切,bao'mo'cai'qie
薄膜电阻,bao'mo'dian'zu
薄膜分子的定向,bao'mo'fen'zi'de'ding'xiang
薄膜流动,bao'mo'liu'dong
薄膜润滑,bao'mo'run'hua
薄膜水,bao'mo'shui
薄膜外观,bao'mo'wai'guan
薄膜纤维,bao'mo'xian'wei
薄膜效应,bao'mo'xiao'ying
薄膜原纤化,bao'mo'yuan'xian'hua
薄膜蒸发器,bao'mo'zheng'fa'qi
薄膜铸塑,bao'mo'zhu'su
薄膜状态,bao'mo'zhuang'tai
薄片,bao'pian
爆破成沟法,bao'po'cheng'gou'fa
爆破地震,bao'po'di'zhen
爆破工,bao'po'gong
爆破气泡,bao'po'qi'pao
爆破试验,bao'po'shi'yan
包容面,bao'rong'mian
胞外的,bao'wai'de
包围,bao'wei
保温钩,bao'wen'gou
包线,bao'xian
包线检波器,bao'xian'jian'bo'qi
保险器,bao'xian'qi
保险丝,bao'xian'si
保险丝盒,bao'xian'si'he
保险系数,bao'xian'xi'shu
包销,bao'xiao
包销合同,bao'xiao'he'tong
保养冲管,bao'yang'chong'guan
保养顶驱,bao'yang'ding'qu
保养设备,bao'yang'she'bei
爆炸,bao'zha
爆炸安装锚,bao'zha'an'zhuang'mao
爆炸表,bao'zha'biao
爆炸波,bao'zha'bo
爆炸成型,bao'zha'cheng'xing
爆炸当量,bao'zha'dang'liang
爆炸导线,bao'zha'dao'xian
爆炸的,bao'zha'de
爆炸地震学,bao'zha'di'zhen'xue
爆炸反射面,bao'zha'fan'she'mian
爆炸范围,bao'zha'fan'wei
爆炸焊接,bao'zha'han'jie
爆炸回声定位,bao'zha'hui'sheng'ding'wei
爆炸混合物,bao'zha'hun'he'wu
爆炸极限,bao'zha'ji'xian
爆炸距离,bao'zha'ju'li
爆炸脉冲,bao'zha'mai'chong
爆炸灭火,bao'zha'mie'huo
爆炸浓度,bao'zha'nong'du
爆炸气体,bao'zha'qi'ti
爆炸熔粘,bao'zha'rong'zhan
爆炸声,bao'zha'sheng
爆炸声源,bao'zha'sheng'yuan
爆炸事故,bao'zha'shi'gu
爆炸物,bao'zha'wu
爆炸性,bao'zha'xing
爆炸性气体测定器,bao'zha'xing'qi'ti'ce'ding'qi
爆炸压裂,bao'zha'ya'lie
爆炸油,bao'zha'you
爆炸振击器,bao'zha'zhen'ji'qi
爆炸装置,bao'zha'zhuang'zhi
爆炸钻井,bao'zha'zuan'jing
保真性,bao'zhen'xing
保证合同执行的人员,bao'zheng'he'tong'zhi'xing'de'ren'yuan
报纸,bao'zhi
备案,bei'an
钡沸石,bei'fei'shi
被卡套管,bei'ka'tao'guan
倍频,bei'pin
倍频器,bei'pin'qi
焙烧,bei'shao
背书,bei'shu
背书人,bei'shu'ren
背斜边缘断层,bei'xie'bian'yuan'duan'ceng
背心,bei'xin
北移假定值,bei'yi'jia'ding'zhi
备用齿轮,bei'yong'chi'lun
备用电源,bei'yong'dian'yuan
备用发电机,bei'yong'fa'dian'ji
备用引出端,bei'yong'yin'chu'duan
备用转盘,bei'yong'zhuan'pan
被子,bei'zi
本胆烷,ben'dan'wan
奔流,ben'liu
本色,ben'shai
苯酸乙酯,ben'suan'yi'zhi
本性,ben'xing
本征,ben'zheng
本征的,ben'zheng'de
本征函数,ben'zheng'han'shu
本征空间,ben'zheng'kong'jian
本征频率,ben'zheng'pin'lv
本征型,ben'zheng'xing
本征音,ben'zheng'yin
本征振动,ben'zheng'zhen'dong
本征值,ben'zheng'zhi
本征周期,ben'zheng'zhou'qi
本质,ben'zhi
本质特征,ben'zhi'te'zheng
泵冲,beng'chong
泵到罐输送,beng'dao'guan'shu'song
泵阀,beng'fa
泵缸,beng'gang
泵缸套,beng'gang'tao
泵机组,beng'ji'zu
泵交联,beng'jiao'lian
崩塌,beng'ta
泵效率,beng'xiao'lv
泵压,beng'ya
绷直,beng'zhi
闭合误差,bi'he'wu'cha
笔迹,bi'ji
比较消元法,bi'jiao'xiao'yuan'fa
鼻孔,bi'kong
避雷器,bi'lei'qi
比例因子,bi'li'yin'zi
闭塞环境的,bi'se'huan'jing'de
必要性,bi'yao'xing
鼻子,bi'zi
边边接触,bian'bian'jie'chu
边部水体,bian'bu'shui'ti
扁锉,bian'cuo
鞭打,bian'da
变分方程,bian'fen'fang'cheng
扁钢,bian'gang
变化应力,bian'hua'ying'li
变换,bian'huan
变换符号,bian'huan'fu'hao
扁簧,bian'huang
变辉绿岩,bian'hui'lv'yan
编辑,bian'ji
编辑操作,bian'ji'cao'zuo
编辑程序,bian'ji'cheng'xu
编辑的,bian'ji'de
编辑方式,bian'ji'fang'shi
编辑控制符,bian'ji'kong'zhi'fu
编辑数据选择,bian'ji'shu'ju'xuan'ze
编辑修改,bian'ji'xiu'gai
编辑子程序,bian'ji'zi'cheng'xu
变加速度,bian'jia'su'du
边界点,bian'jie'dian
边界反射,bian'jie'fan'she
边界条件,bian'jie'tiao'jian
边界值,bian'jie'zhi
边井,bian'jing
边境,bian'jing
变径法兰,bian'jing'fa'lan
边境接合点,bian'jing'jie'he'dian
变了色的,bian'le'se'de
便利,bian'li
便利的,bian'li'de
遍历定理,bian'li'ding'li
遍历过程,bian'li'guo'cheng
遍历性,bian'li'xing
变粒玄岩,bian'li'xuan'yan
遍历状态,bian'li'zhuang'tai
编码,bian'ma
编码方案,bian'ma'fang'an
编码矩阵,bian'ma'ju'zhen
编码器,bian'ma'qi
编码扫描技术,bian'ma'sao'miao'ji'shu
编码术语,bian'ma'shu'yu
鞭毛,bian'mao
编密码,bian'mi'ma
边面接触,bian'mian'jie'chu
编目计算机,bian'mu'ji'suan'ji
编排,bian'pai
变频法,bian'pin'fa
变频器,bian'pin'qi
扁平颗粒,bian'ping'ke'li
扁平毛细管,bian'ping'mao'xi'guan
扁平头,bian'ping'tou
扁平透镜状的,bian'ping'tou'jing'zhuang'de
扁平状,bian'ping'zhuang
便桥,bian'qiao
变闪长岩,bian'shan'chang'yan
边伤,bian'shang
边水,bian'shui
边水界限,bian'shui'jie'xian
边水前侵线,bian'shui'qian'qin'xian
边水侵入,bian'shui'qin'ru
边水驱,bian'shui'qu
边水驱动,bian'shui'qu'dong
变水头渗透率仪,bian'shui'tou'shen'tou'lv'yi
边水线,bian'shui'xian
边水压力,bian'shui'ya'li
扁丝,bian'si
编委会,bian'wei'hui
变温层,bian'wen'ceng
变细,bian'xi
变新的方向,bian'xin'de'fang'xiang
变压器,bian'ya'qi
变压器油,bian'ya'qi'you
边缘,bian'yuan
边缘波,bian'yuan'bo
边缘地带,bian'yuan'di'dai
边缘地区,bian'yuan'di'qu
边缘地台,bian'yuan'di'tai
边缘分辨率,bian'yuan'fen'bian'lv
边缘海,bian'yuan'hai
边缘焊接头,bian'yuan'han'jie'tou
边缘接触,bian'yuan'jie'chu
边缘节理,bian'yuan'jie'li
边缘连接,bian'yuan'lian'jie
边缘裂隙,bian'yuan'lie'xi
边缘模糊,bian'yuan'mo'hu
边缘盆地,bian'yuan'pen'di
边缘蚀变,bian'yuan'shi'bian
边缘水驱油藏,bian'yuan'shui'qu'you'cang
边缘梯度,bian'yuan'ti'du
边缘现象,bian'yuan'xian'xiang
边缘线状裂纹,bian'yuan'xian'zhuang'lie'wen
边缘效应,bian'yuan'xiao'ying
边缘压力,bian'yuan'ya'li
边缘应力,bian'yuan'ying'li
边缘增强,bian'yuan'zeng'qiang
边缘注水,bian'yuan'zhu'shui
编者职位,bian'zhe'zhi'wei
变质岩,bian'zhi'yan
编制预算,bian'zhi'yu'suan
扁嘴钳,bian'zui'qian
表层,biao'ceng
表层地壳运动,biao'ceng'di'qiao'yun'dong
表层滑动构造,biao'ceng'hua'dong'gou'zao
表层套管,biao'ceng'tao'guan
表层褶皱,biao'ceng'zhe'zhou
表达,biao'da
表胆甾醇,biao'dan'zai'chun
表胆甾烷醇,biao'dan'zai'wan'chun
表二氢胆甾醇,biao'er'qing'dan'zai'chun
表二氢胆甾烷醇,biao'er'qing'dan'zai'wan'chun
表粪甾醇,biao'fen'zai'chun
标杆,biao'gan
标记,biao'ji
表迹,biao'ji
标记回写,biao'ji'hui'xie
标记寄存器,biao'ji'ji'cun'qi
表面,biao'mian
表面活性剂,biao'mian'huo'xing'ji
表面集成电路,biao'mian'ji'cheng'dian'lu
表面裂纹,biao'mian'lie'wen
表面涂层,biao'mian'tu'ceng
表面硬化,biao'mian'ying'hua
标明数字的等值线,biao'ming'shu'zi'de'deng'zhi'xian
表皮,biao'pi
表皮构造,biao'pi'gou'zao
表栖动物群,biao'qi'dong'wu'qun
表情,biao'qing
表生成岩作用,biao'sheng'cheng'yan'zuo'yong
表生砂,biao'sheng'sha
表生碎屑,biao'sheng'sui'xie
表生碎屑岩,biao'sheng'sui'xie'yan
表示,biao'shi
表氧,biao'yang
表原生代,biao'yuan'sheng'dai
标志,biao'zhi
标志杆,biao'zhi'gan
标准,biao'zhun
标准化因子,biao'zhun'hua'yin'zi
标准脉冲,biao'zhun'mai'chong
标准时,biao'zhun'shi
别动,bie'dong
憋压,bie'ya
蹩钻,bie'zuan
冰川风,bing'chuan'feng
冰川内的,bing'chuan'nei'de
冰川内碛,bing'chuan'nei'qi
冰点,bing'dian
冰冻气候,bing'dong'qi'hou
冰冻深度,bing'dong'shen'du
冰冻线,bing'dong'xian
冰冻线标高,bing'dong'xian'biao'gao
并飞,bing'fei
饼干,bing'gan
冰块,bing'kuai
并联,bing'lian
冰内带,bing'nei'dai
冰内河,bing'nei'he
冰内湖,bing'nei'hu
冰内环境,bing'nei'huan'jing
冰内碛,bing'nei'qi
冰内碎屑物,bing'nei'sui'xie'wu
冰淇淋,bing'qi'lin
并纱筒子,bing'sha'tong'zi
冰水沉积阶地,bing'shui'chen'ji'jie'di
冰水沉积扇,bing'shui'chen'ji'shan
冰水的,bing'shui'de
并丝筒子,bing'si'tong'zi
丙烯腈电解法临氢二聚,bing'xi'jing'dian'jie'fa'lin'qing'er'ju
并线筒子,bing'xian'tong'zi
薄边的,bo'bian'de
菠菜,bo'cai
波长计,bo'chang'ji
驳船价,bo'chuan'jia
驳船上交货价格,bo'chuan'shang'jiao'huo'jia'ge
波动,bo'dong
波动比,bo'dong'bi
波动电流,bo'dong'dian'liu
波动范围,bo'dong'fan'wei
波动流量,bo'dong'liu'liang
波动需求,bo'dong'xu'qiu
波动载荷,bo'dong'zai'he
薄荷,bo'he
玻基二辉岩,bo'ji'er'hui'yan
拨款,bo'kuan
玻璃杯,bo'li'bei
玻璃纤维,bo'li'xian'wei
玻璃纤维管,bo'li'xian'wei'guan
玻璃纤维绝缘层,bo'li'xian'wei'jue'yuan'ceng
玻璃纤维油管,bo'li'xian'wei'you'guan
玻璃纤维增强的聚酯抽油杆,bo'li'xian'wei'zeng'qiang'de'ju'zhi'chou'you'gan
玻璃纤维增强塑料,bo'li'xian'wei'zeng'qiang'su'liao
玻璃纤维增强塑斜,bo'li'xian'wei'zeng'qiang'su'xie
玻璃纤维增强物,bo'li'xian'wei'zeng'qiang'wu
剥露,bo'lu
剥露地形,bo'lu'di'xing
剥露景观,bo'lu'jing'guan
剥落,bo'luo
泊松比,bo'song'bi
波纹,bo'wen
薄纹理,bo'wen'li
薄锈,bo'xiu
博学,bo'xue
博学的,bo'xue'de
博学者,bo'xue'zhe
薄纸,bo'zhi
波状结构,bo'zhuang'jie'gou
脖子,bo'zi
不变电压,bu'bian'dian'ya
不测事件,bu'ce'shi'jian
补偿,bu'chang
补偿地层密度测井,bu'chang'di'ceng'mi'du'ce'jing
补偿回路,bu'chang'hui'lu
补偿器,bu'chang'qi
补偿延迟线,bu'chang'yan'chi'xian
不成立,bu'cheng'li
补充输出指令,bu'chong'shu'chu'zhi'ling
不导电的,bu'dao'dian'de
步调磁铁,bu'diao'ci'tie
不定的,bu'ding'de
不冻期,bu'dong'qi
不断减小的,bu'duan'jian'xiao'de
不断增加的,bu'duan'zeng'jia'de
不方便,bu'fang'bian
部分饱和,bu'fen'bao'he
部分回流操作,bu'fen'hui'liu'cao'zuo
部分开采,bu'fen'kai'cai
部分漏失,bu'fen'lou'shi
部分燃烧,bu'fen'ran'shao
部分湿润,bu'fen'shi'run
部分调制,bu'fen'tiao'zhi
部分载荷,bu'fen'zai'he
部分注水,bu'fen'zhu'shui
补给的水,bu'gei'de'shui
补给河流,bu'gei'he'liu
补给区,bu'gei'qu
不规律性,bu'gui'lv'xing
不规则沉积,bu'gui'ze'chen'ji
不规则掉格,bu'gui'ze'diao'ge
不规则渗透率,bu'gui'ze'shen'tou'lv
不规则失真,bu'gui'ze'shi'zhen
不合格样品,bu'he'ge'yang'pin
不回收的浮标,bu'hui'shou'de'fu'biao
补给水道,bu'ji'shui'dao
不加控制的自喷井,bu'jia'kong'zhi'de'zi'pen'jing
部件分解图,bu'jian'fen'jie'tu
不均一土壤,bu'jun'yi'tu'rang
不均匀给进,bu'jun'yun'gei'jin
不可恢复的,bu'ke'hui'fu'de
不可抗力,bu'ke'kang'li
不可抗力条款,bu'ke'kang'li'tiao'kuan
不可调电阻,bu'ke'tiao'dian'zu
不良的焊接接缝,bu'liang'de'han'jie'jie'feng
不漏,bu'lou
簿膜吹塑,bu'mo'chui'su
不凝性气体,bu'ning'xing'qi'ti
不平的,bu'ping'de
不适的气味,bu'shi'de'qi'wei
不同步的,bu'tong'bu'de
不透明物投影放大器,bu'tou'ming'wu'tou'ying'fang'da'qi
不褪色,bu'tui'shai
不稳定性,bu'wen'ding'xing
不压井下钻,bu'ya'jing'xia'zuan
不用绷绳的轻便井架,bu'yong'beng'sheng'de'qing'bian'jing'jia
不整合,bu'zheng'he
不正确的对比,bu'zheng'que'de'dui'bi
不住院的医生,bu'zhu'yuan'de'yi'sheng
不准确润滑,bu'zhun'que'run'hua
补足的,bu'zu'de
擦除者,ca'chu'zhe
擦胶压延,ca'jiao'ya'yan
擦亮,ca'liang
擦碎角砾岩,ca'sui'jiao'li'yan
擦碎砾岩,ca'sui'li'yan
擦碎岩,ca'sui'yan
财产,cai'chan
采竭地区,cai'jie'di'qu
财经,cai'jing
财经纪律,cai'jing'ji'lv
财经体制,cai'jing'ti'zhi
财力,cai'li
材料房,cai'liao'fang
材料员,cai'liao'yuan
采气管线,cai'qi'guan'xian
采收率,cai'shou'lv
财税杠杆,cai'shui'gang'gan
财团,cai'tuan
财务报表,cai'wu'bao'biao
财务报告,cai'wu'bao'gao
财务标准,cai'wu'biao'zhun
财务部门,cai'wu'bu'men
财务成本,cai'wu'cheng'ben
财务代理人,cai'wu'dai'li'ren
财务费用,cai'wu'fei'yong
财务分析,cai'wu'fen'xi
财务分析者,cai'wu'fen'xi'zhe
财务管理,cai'wu'guan'li
财务管理信息系统,cai'wu'guan'li'xin'xi'xi'tong
财务换汇成本,cai'wu'huan'hui'cheng'ben
财务机构,cai'wu'ji'gou
财务结构,cai'wu'jie'gou
财务经理,cai'wu'jing'li
财务净现值,cai'wu'jing'xian'zhi
财务决策,cai'wu'jue'ce
财务可行性,cai'wu'ke'xing'xing
财务控制,cai'wu'kong'zhi
财务会计,cai'wu'kuai'ji
财务会计标准委员会,cai'wu'kuai'ji'biao'zhun'wei'yuan'hui
财务会计准则委员会,cai'wu'kuai'ji'zhun'ze'wei'yuan'hui
财务内部收益率,cai'wu'nei'bu'shou'yi'lv
财务平衡表,cai'wu'ping'heng'biao
财务评价,cai'wu'ping'jia
财务审计,cai'wu'shen'ji
财务生存能力,cai'wu'sheng'cun'neng'li
财务外汇净现值,cai'wu'wai'hui'jing'xian'zhi
财务预测,cai'wu'yu'ce
财务状况,cai'wu'zhuang'kuang
采样频率,cai'yang'pin'lv
采液指数,cai'ye'zhi'shu
菜叶状构造,cai'ye'zhuang'gou'zao
菜叶状印痕,cai'ye'zhuang'yin'hen
菜叶状铸型,cai'ye'zhuang'zhu'xing
采油,cai'you
采油监督人,cai'you'jian'du'ren
采油末期,cai'you'mo'qi
财源,cai'yuan
财政,cai'zheng
财政拨款,cai'zheng'bo'kuan
财政补贴,cai'zheng'bu'tie
财政赤字,cai'zheng'chi'zi
财政的,cai'zheng'de
财政负担,cai'zheng'fu'dan
财政家,cai'zheng'jia
财政紧缩,cai'zheng'jin'suo
财政年度,cai'zheng'nian'du
财政平衡,cai'zheng'ping'heng
财政收入,cai'zheng'shou'ru
财政政策,cai'zheng'zheng'ce
残层混合岩,can'ceng'hun'he'yan
餐刀,can'dao
参股,can'gu
残积层,can'ji'ceng
残积的,can'ji'de
残积红土,can'ji'hong'tu
残积矿床,can'ji'kuang'chuang
残积砂,can'ji'sha
残积相,can'ji'xiang
残积作用,can'ji'zuo'yong
参加,can'jia
餐巾,can'jin
参考标架,can'kao'biao'jia
参考系统,can'kao'xi'tong
残遗种,can'yi'zhong
仓库交货价,cang'ku'jiao'huo'jia
舱内交货价格,cang'nei'jiao'huo'jia'ge
舱外活动,cang'wai'huo'dong
舱外生命维持系统,cang'wai'sheng'ming'wei'chi'xi'tong
草莓状结构,cao'mei'zhuang'jie'gou
槽模,cao'mo
槽纹管,cao'wen'guan
槽形的,cao'xing'de
槽型悬挂器,cao'xing'xuan'gua'qi
操纵器,cao'zong'qi
操作部分,cao'zuo'bu'fen
操作部件,cao'zuo'bu'jian
操作电路,cao'zuo'dian'lu
操作符号,cao'zuo'fu'hao
操作灵活性,cao'zuo'ling'huo'xing
操作码,cao'zuo'ma
操作码出错,cao'zuo'ma'chu'cuo
操作能力,cao'zuo'neng'li
操作数码,cao'zuo'shu'ma
操作系统,cao'zuo'xi'tong
操作有问题,cao'zuo'you'wen'ti
操作元件,cao'zuo'yuan'jian
操作指示符,cao'zuo'zhi'shi'fu
操作字码,cao'zuo'zi'ma
测定,ce'ding
测定比重,ce'ding'bi'zhong
测定切力,ce'ding'qie'li
测定失水,ce'ding'shi'shui
测定误差,ce'ding'wu'cha
侧端图,ce'duan'tu
测功计,ce'gong'ji
测回声术,ce'hui'sheng'shu
测井,ce'jing
测井地面电级,ce'jing'di'mian'dian'ji
测井电缆,ce'jing'dian'lan
测井工具,ce'jing'gong'ju
测井解释,ce'jing'jie'shi
测井相,ce'jing'xiang
测井相分析,ce'jing'xiang'fen'xi
测井相解释程序名,ce'jing'xiang'jie'shi'cheng'xu'ming
测卡和解卡系统,ce'ka'he'jie'ka'xi'tong
测卡仪,ce'ka'yi
测孔规,ce'kong'gui
测力的,ce'li'de
测力计,ce'li'ji
测力器,ce'li'qi
测量旗,ce'liang'qi
测量误差,ce'liang'wu'cha
测流管网,ce'liu'guan'wang
测流管线,ce'liu'guan'xian
测流嘴,ce'liu'zui
侧面磨损,ce'mian'mo'sun
测频扩展法,ce'pin'kuo'zhan'fa
测深,ce'shen
测深图,ce'shen'tu
测试结束,ce'shi'jie'shu
测试图黑色垂直线,ce'shi'tu'hei'se'chui'zhi'xian
测隙规,ce'xi'gui
测隙片,ce'xi'pian
测线终点,ce'xian'zhong'dian
侧向间隙,ce'xiang'jian'xi
测斜仪,ce'xie'yi
测压早期资料,ce'ya'zao'qi'zi'liao
侧钻,ce'zuan
侧钻井,ce'zuan'jing
侧钻井眼,ce'zuan'jing'yan
层错断片,ceng'cuo'duan'pian
层顶痕,ceng'ding'hen
层流,ceng'liu
层面,ceng'mian
层面堵塞,ceng'mian'du'se
层面痕,ceng'mian'hen
层内痕,ceng'nei'hen
层内角砾岩,ceng'nei'jiao'li'yan
层蚀,ceng'shi
层外来源,ceng'wai'lai'yuan
查错程序,cha'cuo'cheng'xu
差错文件,cha'cuo'wen'jian
差动齿轮,cha'dong'chi'lun
插管注水泥,cha'guan'zhu'shui'ni
茶几,cha'ji
插入井,cha'ru'jing
插入密封接头,cha'ru'mi'feng'jie'tou
插入式探测仪,cha'ru'shi'tan'ce'yi
插入物,cha'ru'wu
插入型固定式井下泵,cha'ru'xing'gu'ding'shi'jing'xia'beng
插塞式保险丝,cha'sai'shi'bao'xian'si
查探机,cha'tan'ji
插头,cha'tou
插头座,cha'tou'zuo
差向异构化,cha'xiang'yi'gou'hua
差向异构体,cha'xiang'yi'gou'ti
叉形扳手,cha'xing'ban'shou
叉形试棒,cha'xing'shi'bang
叉状连接,cha'zhuang'lian'jie
叉子,cha'zi
插座,cha'zuo
柴油,chai'you
柴油机,chai'you'ji
产层污染,chan'ceng'wu'ran
产层有效厚度,chan'ceng'you'xiao'hou'du
铲车,chan'che
铲车司机,chan'che'si'ji
产出砂样,chan'chu'sha'yang
铲除渣子,chan'chu'zha'zi
缠结分子,chan'jie'fen'zi
缠结链,chan'jie'lian
缠结网络,chan'jie'wang'luo
产量时间经验公式,chan'liang'shi'jian'jing'yan'gong'shi
