爱家百货,ai'jia'bai'huo
线厂,xian'chang
橡林乡政府,xiang'lin'xiang'zheng'fu
小王楼,xiao'wang'lou
新华保险,xin'hua'bao'xian
新汽车站,xin'qi'che'zhan
新世纪广场,xin'shi'ji'guang'chang
新市委市政府,xin'shi'wei'shi'zheng'fu
新市委市政府北门,xin'shi'wei'shi'zheng'fu'bei'men
新市委市政府东门,xin'shi'wei'shi'zheng'fu'dong'men
新西客站,xin'xi'ke'zhan
新星商场,xin'xing'shang'chang
畜牧局,xu'mu'ju
旭日机械厂,xu'ri'ji'xie'chang
薛台,xue'tai
薛庄,xue'zhuang
烟厂,yan'chang
眼科医院,yan'ke'yi'yuan
眼科医院交警大队,yan'ke'yi'yuan'jiao'jing'da'dui
沿溪花园,yan'xi'hua'yuan
沿溪路口,yan'xi'lu'kou
盐业公司,yan'ye'gong'si
杨庄,yang'zhuang
液化气公司,ye'hua'qi'gong'si
驿城高中,yi'cheng'gao'zhong
驿城公证处,yi'cheng'gong'zheng'chu
驿城事务所,yi'cheng'shi'wu'suo
驿城新村,yi'cheng'xin'cun
益得利家具公司,yi'de'li'jia'ju'gong'si
移动花园,yi'dong'hua'yuan
艺术学校,yi'shu'xue'xiao
一五九医院,yi'wu'jiu'yi'yuan
怡心园宾馆,yi'xin'yuan'bin'guan
应庄,ying'zhuang
油库,you'ku
豫南监狱,yu'nan'jian'yu
玉泉商贸城,yu'quan'shang'mao'cheng
园林处,yuan'lin'chu
原人行,yuan'ren'xing
袁庄,yuan'zhuang
昝庄路口,zan'zhuang'lu'kou
赵庄,zhao'zhuang
正阳路口,zheng'yang'lu'kou
置地大道路口,zhi'di'da'dao'lu'kou
置地公园,zhi'di'gong'yuan
职业技术学院,zhi'ye'ji'shu'xue'yuan
中国电信市粮油质检中心,zhong'guo'dian'xin'shi'liang'you'zhi'jian'zhong'xin
中华路口,zhong'hua'lu'kou
中集华骏车辆有限公司,zhong'ji'hua'jun'che'liang'you'xian'gong'si
肿瘤医院,zhong'liu'yi'yuan
中南阳光城,zhong'nan'yang'guang'cheng
中心血站,zhong'xin'xue'zhan
中原大厦,zhong'yuan'da'sha
中原芝麻批发市场,zhong'yuan'zhi'ma'pi'fa'shi'chang
周湾,zhou'wan
周湾路口,zhou'wan'lu'kou
驻马店日报社东区,zhu'ma'dian'ri'bao'she'dong'qu
驻马店日报社西区,zhu'ma'dian'ri'bao'she'xi'qu
砖瓦厂,zhuan'wa'chang
