标准,biao'zhun
远距离教育,yuan'ju'li'jiao'yu
远距离学习,yuan'ju'li'xue'xi
掌握学习,zhang'wo'xue'xi
整合技术,zheng'he'ji'shu
整合学习系统,zheng'he'xue'xi'xi'tong
整体化设计,zheng'ti'hua'she'ji
直观技术,zhi'guan'ji'shu
智力技能,zhi'li'ji'neng
知识传播,zhi'shi'chuan'bo
职业教育,zhi'ye'jiao'yu
专家系统,zhuan'jia'xi'tong
自定步调,zi'ding'bu'diao
资源管理,zi'yuan'guan'li
总结性评价,zong'jie'xing'ping'jia
组织开发,zu'zhi'kai'fa
最优化,zui'you'hua
