安济桥,an'ji'qiao
隋朝调整了,sui'chao'tiao'zheng'le
隋恭帝,sui'gong'di
隋国公,sui'guo'gong
隋将,sui'jiang
隋律,sui'lv
隋末,sui'mo
隋是,sui'shi
隋王朝短暂的统治,sui'wang'chao'duan'zan'de'tong'zhi
隋文帝,sui'wen'di
隋炀帝,sui'yang'di
随着社会,sui'zhe'she'hui
所建的,suo'jian'de
所谓的,suo'wei'de
它的兴建,ta'de'xing'jian
他还不断,ta'hai'bu'duan
他计算的,ta'ji'suan'de
他即位后,ta'ji'wei'hou
他就是,ta'jiu'shi
他是中国,ta'shi'zhong'guo
泰克河,tai'ke'he
太原留守,tai'yuan'liu'shou
唐朝的建立,tang'chao'de'jian'li
唐朝皇族,tang'chao'huang'zu
唐朝连同,tang'chao'lian'tong
唐朝灭亡,tang'chao'mie'wang
唐朝前期,tang'chao'qian'qi
唐朝在,tang'chao'zai
唐国,tang'guo
唐国公,tang'guo'gong
唐国公李渊,tang'guo'gong'li'yuan
唐人,tang'ren
唐人街唐朝历史,tang'ren'jie'tang'chao'li'shi
唐王,tang'wang
唐在,tang'zai
唐中宗,tang'zhong'zong
陶唐,tao'tang
提供了一个蓝本,ti'gong'le'yi'ge'lan'ben
天宝十四年,tian'bao'shi'si'nian
天文学家,tian'wen'xue'jia
调整赋役,tiao'zheng'fu'yi
铜斗铁尺,tong'dou'tie'chi
通过制定,tong'guo'zhi'ding
同时李氏,tong'shi'li'shi
统一的,tong'yi'de
统一发行,tong'yi'fa'xing
统治后期,tong'zhi'hou'qi
统治机构恢复了,tong'zhi'ji'gou'hui'fu'le
瓦岗山的,wa'gang'shan'de
为帝,wei'di
为东都,wei'dong'du
为都,wei'dou
为国号,wei'guo'hao
位皇帝,wei'huang'di
为了恢复农业生产,wei'le'hui'fu'nong'ye'sheng'chan
为了扩大,wei'le'kuo'da
为隋,wei'sui
为以后,wei'yi'hou
为自己建造,wei'zi'ji'jian'zao
为自己享用,wei'zi'ji'xiang'yong
文帝,wen'di
文帝死后,wen'di'si'hou
文帝下令,wen'di'xia'ling
文帝与炀帝,wen'di'yu'yang'di
稳定了,wen'ding'le
文化等方面,wen'hua'deng'fang'mian
文化政治经济外交,wen'hua'zheng'zhi'jing'ji'wai'jiao
五代,wu'dai
武将军人世家,wu'jiang'jun'ren'shi'jia
武则天,wu'ze'tian
五铢钱,wu'zhu'qian
西凉,xi'liang
鲜卑,xian'bei
鲜卑化政策,xian'bei'hua'zheng'ce
现今西方,xian'jin'xi'fang
相差无几,xiang'cha'wu'ji
相继于,xiang'ji'yu
向外扩张,xiang'wai'kuo'zhang
骁果军,xiao'guo'jun
新创立,xin'chuang'li
心腹,xin'fu
新唐书,xin'tang'shu
行刺,xing'ci
宣布了,xuan'bu'le
严惩私铸钱币,yan'cheng'si'zhu'qian'bi
炀帝,yang'di
炀帝于,yang'di'yu
杨广,yang'guang
杨广即位,yang'guang'ji'wei
杨坚,yang'jian
杨坚是,yang'jian'shi
杨侑,yang'you
尧号称,yao'hao'cheng
也被称为,ye'bei'cheng'wei
也是公认的,ye'shi'gong'ren'de
也受其支配,ye'shou'qi'zhi'pei
也有了,ye'you'liao
以长安,yi'chang'an
一大批,yi'da'pi
以后首先,yi'hou'shou'xian
翌日,yi'ri
亦是其,yi'shi'qi
亦受其,yi'shou'qi
以唐,yi'tang
一系列,yi'xi'lie
一小国,yi'xiao'guo
引沁水,yin'qin'shui
引渭水直达潼关,yin'wei'shui'zhi'da'tong'guan
因杨坚,yin'yang'jian
永济渠,yong'ji'qu
拥立,yong'li
涌现出,yong'xian'chu
涌现过,yong'xian'guo
游春图,you'chun'tu
又复统一,you'fu'tong'yi
又恢复为李氏,you'hui'fu'wei'li'shi
有记载称,you'ji'zai'cheng
又开,you'kai
有名的,you'ming'de
有人对,you'ren'dui
由于隋朝,you'yu'sui'chao
与此同时,yu'ci'tong'shi
于公元,yu'gong'yuan
于开皇四年,yu'kai'huang'si'nian
与流通,yu'liu'tong
宇文化及,yu'wen'hua'ji
与现代,yu'xian'dai
远祖,yuan'zu
月迫使,yue'po'shi
在江都,zai'jiang'du
在经济方面,zai'jing'ji'fang'mian
在位,zai'wei
在现今,zai'xian'jin
在这,zai'zhe
在政治,zai'zheng'zhi
在中国历史上,zai'zhong'guo'li'shi'shang
早了近隋代的,zao'le'jin'sui'dai'de
则普遍认为唐朝是,ze'pu'bian'ren'wei'tang'chao'shi
增强了,zeng'qiang'le
翟让,zhai'rang
占领长安,zhan'ling'chang'an
展子虔,zhan'zi'qian
张衡,zhang'heng
赵郡名望,zhao'jun'ming'wang
这个家族,zhe'ge'jia'zu
这国号,zhe'guo'hao
这极大,zhe'ji'da
这就是,zhe'jiu'shi
这是一个,zhe'shi'yi'ge
这样以来为经济的,zhe'yang'yi'lai'wei'jing'ji'de
这座由,zhe'zuo'you
整顿户籍,zheng'dun'hu'ji
政治方面,zheng'zhi'fang'mian
至大业十四年,zhi'da'ye'shi'si'nian
制订的,zhi'ding'de
之后的,zhi'hou'de
指使,zhi'shi
致使隋朝,zhi'shi'sui'chao
之职,zhi'zhi
中国的政治,zhong'guo'de'zheng'zhi
中国第二,zhong'guo'di'er
中国封建社会,zhong'guo'feng'jian'she'hui
中国著名的,zhong'guo'zhu'ming'de
中国最强盛的时代之一,zhong'guo'zui'qiang'sheng'de'shi'dai'zhi'yi
终究,zhong'jiu
中世,zhong'shi
中亚的,zhong'ya'de
中央集权统治,zhong'yang'ji'quan'tong'zhi
中央与地方的,zhong'yang'yu'di'fang'de
中则称,zhong'ze'cheng
周朝时,zhou'chao'shi
周静帝,zhou'jing'di
朱全忠,zhu'quan'zhong
准确值,zhun'que'zhi
涿郡,zhuo'jun
自立为帝,zi'li'wei'di
自然科学,zi'ran'ke'xue
卒于,zu'yu
最强大的,zui'qiang'da'de
最突出,zui'tu'chu
最早的,zui'zao'de
最重要的朝代之一,zui'zhong'yao'de'chao'dai'zhi'yi
作为国号,zuo'wei'guo'hao
