爱比克泰德,ai'bi'ke'tai'de
历代所有,li'dai'suo'you
理念说,li'nian'shuo
历史更长,li'shi'geng'chang
连一点唯物主义,lian'yi'dian'wei'wu'zhu'yi
灵魂不朽,ling'hun'bu'xiu
灵魂呢,ling'hun'ne
另一种形而上学,ling'yi'zhong'xing'er'shang'xue
马尔库斯,ma'er'ku'si
穆莱教授说,mu'lai'jiao'shou'shuo
那比桌子还要坚固,na'bi'zhuo'zi'hai'yao'jian'gu
那末德行,na'mo'de'xing
那些神学部分,na'xie'shen'xue'bu'fen
能投合统治者,neng'tou'he'tong'zhi'zhe
你所说的现实,ni'suo'shuo'de'xian'shi
剽窃了,piao'qie'le
其他的方面,qi'ta'de'fang'mian
起源于同时,qi'yuan'yu'tong'shi
前四世纪后半叶,qian'si'shi'ji'hou'ban'ye
犬儒学派,quan'ru'xue'pai
犬儒主义与,quan'ru'zhu'yi'yu
却从不曾,que'cong'bu'ceng
却是仅只,que'shi'jin'zhi
然而到了,ran'er'dao'le
然而甚至于,ran'er'shen'zhi'yu
任何哲学派别,ren'he'zhe'xue'pai'bie
认为灵魂,ren'wei'ling'hun
认为是非物质的,ren'wei'shi'fei'wu'zhi'de
肉体的享受,rou'ti'de'xiang'shou
生于塞普路斯岛上的,sheng'yu'sai'pu'lu'si'dao'shang'de
适合于希腊人,shi'he'yu'xi'la'ren
世界进行,shi'jie'jin'xing
是狂热的,shi'kuang're'de
是没有耐心的,shi'mei'you'nai'xin'de
是斯多葛派,shi'si'duo'ge'pai
是他们主要,shi'ta'men'zhu'yao
是狭隘的,shi'xia'ai'de
是一个折衷主义者,shi'yi'ge'zhe'zhong'zhu'yi'zhe
是由物质,shi'you'wu'zhi
是指什么,shi'zhi'shen'me
斯多葛派,si'duo'ge'pai
斯多葛派才,si'duo'ge'pai'cai
斯多葛派关于,si'duo'ge'pai'guan'yu
斯多葛派也,si'duo'ge'pai'ye
斯多葛派则,si'duo'ge'pai'ze
斯多葛主义,si'duo'ge'zhu'yi
斯多葛主义比起,si'duo'ge'zhu'yi'bi'qi
斯多葛主义与,si'duo'ge'zhu'yi'yu
似乎不能,si'hu'bu'neng
四原素之一,si'yuan'su'zhi'yi
苏格拉底对于,su'ge'la'di'dui'yu
苏格拉底始终,su'ge'la'di'shi'zhong
苏格拉底受审时,su'ge'la'di'shou'shen'shi
虽然和,sui'ran'he
随着时间的推移,sui'zhe'shi'jian'de'tui'yi
所感到需要的,suo'gan'dao'xu'yao'de
所认为是,suo'ren'wei'shi
所探讨过的,suo'tan'tao'guo'de
他变得,ta'bian'de
它的创始人,ta'de'chuang'shi'ren
他的家庭,ta'de'jia'ting
他的胃口,ta'de'wei'kou
他的学说,ta'de'xue'shuo
他们的伦理学说,ta'men'de'lun'li'xue'shuo
他们都属于,ta'men'du'shu'yu
它们有助于德行,ta'men'you'zhu'yu'de'xing
他那关于,ta'na'guan'yu
他试图借助于,ta'shi'tu'jie'zhu'yu
他所认为重要的,ta'suo'ren'wei'zhong'yao'de
塔因,ta'yin
它在感情上,ta'zai'gan'qing'shang
他在衣食方面的朴素,ta'zai'yi'shi'fang'mian'de'pu'su
他之,ta'zhi
他之视死如归,ta'zhi'shi'si'ru'gui
他之重视,ta'zhi'zhong'shi
他自己的,ta'zi'ji'de
特别是它,te'bie'shi'ta
提供的那些,ti'gong'de'na'xie
推到了极端,tui'dao'le'ji'duan
完全是坚固的,wan'quan'shi'jian'gu'de
完整地流传了下来的,wan'zheng'de'liu'chuan'le'xia'lai'de
唯有塞涅卡,wei'you'sai'nie'ka
我们可以说,wo'men'ke'yi'shuo
我们要受,wo'men'yao'shou
我们以前,wo'men'yi'qian
我是指,wo'shi'zhi
我是指这张,wo'shi'zhi'zhe'zhang
物理学与形而上学,wu'li'xue'yu'xing'er'shang'xue
物质吗,wu'zhi'ma
希腊的哲学不同,xi'la'de'zhe'xue'bu'tong
希腊化的时候,xi'la'hua'de'shi'hou
希腊化文明,xi'la'hua'wen'ming
希腊人所,xi'la'ren'suo
希腊人在对野蛮,xi'la'ren'zai'dui'ye'man
西提姆,xi'ti'mu
许多别人一样,xu'duo'bie'ren'yi'yang
学派的观点,xue'pai'de'guan'dian
学说是,xue'shuo'shi
学园的学说,xue'yuan'de'xue'shuo
雅典之后,ya'dian'zhi'hou
亚历山大的后继者,ya'li'shan'da'de'hou'ji'zhe
要比对,yao'bi'dui
也仅仅在于,ye'jin'jin'zai'yu
也可以从,ye'ke'yi'cong
也同样是如此,ye'tong'yang'shi'ru'ci
伊壁鸠鲁主义,yi'bi'jiu'lu'zhu'yi
一个事实的限制,yi'ge'shi'shi'de'xian'zhi
一个唯物主义者,yi'ge'wei'wu'zhu'yi'zhe
以及他的完全,yi'ji'ta'de'wan'quan
以及最,yi'ji'zui
疑心迦勒底,yi'xin'jia'le'di
引到雅典来的,yin'dao'ya'dian'lai'de
有过影响,you'guo'ying'xiang
又是大多数,you'shi'da'duo'shu
有所转移,you'suo'zhuan'yi
由于热衷于,you'yu're'zhong'yu
与当时,yu'dang'shi
与公元后,yu'gong'yuan'hou
与伦理学有关的,yu'lun'li'xue'you'guan'de
于是他就,yu'shi'ta'jiu
与斯多葛派的,yu'si'duo'ge'pai'de
在希腊,zai'xi'la
在这一点上,zai'zhe'yi'dian'shang
在整个斯多葛派,zai'zheng'ge'si'duo'ge'pai
早期的纯粹,zao'qi'de'chun'cui
早期的斯多葛派,zao'qi'de'si'duo'ge'pai
早期的芝诺,zao'qi'de'zhi'nuo
则同意,ze'tong'yi
则由于渗入了,ze'you'yu'shen'ru'le
哲学了,zhe'xue'le
这一切都完全,zhe'yi'qie'dou'wan'quan
这种学说,zhe'zhong'xue'shuo
真正就是,zhen'zheng'jiu'shi
正确地指出了,zheng'que'de'zhi'chu'le
正义或者,zheng'yi'huo'zhe
至二世纪,zhi'er'shi'ji
芝诺从,zhi'nuo'cong
芝诺对于形而上学,zhi'nuo'dui'yu'xing'er'shang'xue
芝诺回答说,zhi'nuo'hui'da'shuo
芝诺是,zhi'nuo'shi
芝诺是腓尼基人,zhi'nuo'shi'fei'ni'ji'ren
芝诺也象,zhi'nuo'ye'xiang
芝诺以后,zhi'nuo'yi'hou
只是德行,zhi'shi'de'xing
只有晚期的,zhi'you'wan'qi'de
指责他,zhi'ze'ta
种种怀疑,zhong'zhong'huai'yi
主要的国王,zhu'yao'de'guo'wang
追随柏拉图,zhui'sui'bo'la'tu
着重点也,zhuo'zhong'dian'ye
桌子是,zhuo'zi'shi
自己的东西,zi'ji'de'dong'xi
宗教成份,zong'jiao'cheng'fen
最主要的东西,zui'zhu'yao'de'dong'xi
作品流传下来,zuo'pin'liu'chuan'xia'lai
