阿巴耶卡罗笈多,a'ba'ye'ka'luo'ji'duo
阿育王经,a'yu'wang'jing
阿育王寺,a'yu'wang'si
阿育王塔,a'yu'wang'ta
阿育王息坏目因缘经,a'yu'wang'xi'huai'mu'yin'yuan'jing
阿咤力教,a'zha'li'jiao
阿旃陀石窟,a'zhan'tuo'shi'ku
阿字本不生,a'zi'ben'bu'sheng
阿字观,a'zi'guan
阿字五转,a'zi'wu'zhuan
爱别离苦,ai'bie'li'ku
爱国寺念佛堂,ai'guo'si'nian'fo'tang
矮国王,ai'guo'wang
爱见,ai'jian
爱见大悲,ai'jian'da'bei
埃勒凡达岛,ai'le'fan'da'dao
艾略特,ai'lue'te
艾罗拉石窟,ai'luo'la'shi'ku
爱染明王,ai'ran'ming'wang
爱行,ai'xing
艾泽顿,ai'ze'dun
爱之歌,ai'zhi'ge
爱知学院大学,ai'zhi'xue'yuan'da'xue
庵,an
安贝卡,an'bei'ka
安禅那,an'chan'na
安澄,an'cheng
安呾罗缚国,an'da'luo'fu'guo
案达罗国,an'da'luo'guo
案达派,an'da'pai
安闍那林,an'du'na'lin
安多政教多,an'duo'zheng'jiao'duo
安法钦,an'fa'qin
安国寺,an'guo'si
安国兴国寺,an'guo'xing'guo'si
安含,an'han
安慧,an'hui
安徽东华山普慧禅寺,an'hui'dong'hua'shan'pu'hui'chan'si
安徽淮南白塔寺,an'hui'huai'nan'bai'ta'si
安徽淮南弘法慈善功德会,an'hui'huai'nan'hong'fa'ci'shan'gong'de'hui
安徽淮南上窑古观音寺,an'hui'huai'nan'shang'yao'gu'guan'yin'si
安徽怀宁福慧寺,an'hui'huai'ning'fu'hui'si
安徽省安庆市灵山寺,an'hui'sheng'an'qing'shi'ling'shan'si
安徽省阜阳市東狱禅寺,an'hui'sheng'fu'yang'shi'dong'yu'chan'si
安徽省阜阳市颍州西湖铁佛寺,an'hui'sheng'fu'yang'shi'ying'zhou'xi'hu'tie'fo'si
安徽省淮南市弘法堂,an'hui'sheng'huai'nan'shi'hong'fa'tang
安徽省南陵县千佛禅寺,an'hui'sheng'nan'ling'xian'qian'fo'chan'si
安居,an'ju
安克迭都培龙,an'ke'die'dou'pei'long
安乐行院,an'le'hang'yuan
安乐集,an'le'ji
安乐寿院,an'le'shou'yuan
安乐寺,an'le'si
安立,an'li
安廪,an'lin
安流传授纪要,an'liu'chuan'shou'ji'yao
鞍马寺,an'ma'si
菴没罗园,an'mei'luo'yuan
安尼伯森夫人,an'ni'bo'sen'fu'ren
安然,an'ran
安世高,an'shi'gao
安藤俊雄,an'teng'jun'xiong
安土宗论,an'tu'zong'lun
安陀会,an'tuo'hui
安息国,an'xi'guo
安息香,an'xi'xiang
安详的心,an'xiang'de'xin
安祥寺,an'xiang'si
安心,an'xin
安心决定钞,an'xin'jue'ding'chao
安玄,an'xuan
安养抄,an'yang'chao
安养集,an'yang'ji
安养寺,an'yang'si
安远庙,an'yuan'miao
安乐律,an'yue'lv
安乐律院,an'yue'lv'yuan
安岳磨崖佛像,an'yue'mo'ya'fo'xiang
安宅神咒经,an'zhai'shen'zhou'jing
安住何处,an'zhu'he'chu
鞍作鸟,an'zuo'niao
奥义书,ao'yi'shu
八不净物,ba'bu'jing'wu
八不中道,ba'bu'zhong'dao
巴操尼玛札,ba'cao'ni'ma'zha
跋祇国,ba'chi'guo
八触,ba'chu
巴达利,ba'da'li
八大灵塔,ba'da'ling'ta
八大灵塔梵赞,ba'da'ling'ta'fan'zan
八大灵塔名号经,ba'da'ling'ta'ming'hao'jing
巴达弥,ba'da'mi
八大菩萨,ba'da'pu'sa
八大菩萨曼荼罗经,ba'da'pu'sa'man'tu'luo'jing
八大人觉,ba'da'ren'jue
八大人觉经,ba'da'ren'jue'jing
八大山人,ba'da'shan'ren
八大童子,ba'da'tong'zi
巴丹闍梨,ba'dan'du'li
巴丹巿,ba'dan'fu
巴德拉巴夫,ba'de'la'ba'fu
巴尔夫,ba'er'fu
巴尔拉姆与乔萨发特,ba'er'la'mu'yu'qiao'sa'fa'te
八法,ba'fa
八幡大菩萨,ba'fan'da'pu'sa
八风吹不动,ba'feng'chui'bu'dong
八风吹不动一屁过江来,ba'feng'chui'bu'dong'yi'pi'guo'jiang'lai
巴格石窟,ba'ge'shi'ku
八功德水,ba'gong'de'shui
八关会,ba'guan'hui
八关斋戒,ba'guan'zhai'jie
巴壶天,ba'hu'tian
八吉祥经,ba'ji'xiang'jing
八吉祥颂,ba'ji'xiang'song
八解脱,ba'jie'tuo
八敬法,ba'jing'fa
八觉,ba'jue
八苦,ba'ku
巴里岛,ba'li'dao
巴利律藏,ba'li'lv'cang
巴利圣典协会,ba'li'sheng'dian'xie'hui
巴利语,ba'li'yu
巴利语佛典,ba'li'yu'fo'dian
巴林右旗荟福寺,ba'lin'you'qi'hui'fu'si
巴路特,ba'lu'te
把门关好,ba'men'guan'hao
巴米扬石窟,ba'mi'yang'shi'ku
八难,ba'nan
八千枚护摩供,ba'qian'mei'hu'mo'gong
八忍八智,ba'ren'ba'zhi
八胜处,ba'sheng'chu
八圣吉祥祈请文,ba'sheng'ji'xiang'qi'qing'wen
八圣吉祥颂,ba'sheng'ji'xiang'song
八识,ba'shi
八十八使,ba'shi'ba'shi
八十八祖道影传赞,ba'shi'ba'zu'dao'ying'chuan'zan
八识规矩颂,ba'shi'gui'ju'song
八十九心,ba'shi'jiu'xin
八十随形好,ba'shi'sui'xing'hao
把手放下来,ba'shou'fang'xia'lai
八思巴,ba'si'ba
八思巴文字,ba'si'ba'wen'zi
巴特那,ba'te'na
八万四千法门,ba'wan'si'qian'fa'men
八万细行,ba'wan'xi'xing
八未曾有,ba'wei'ceng'you
拔希,ba'xi
巴西佛教,ba'xi'fo'jiao
把溪寺,ba'xi'si
八相成道,ba'xiang'cheng'dao
巴协,ba'xie
八叶莲华观,ba'ye'lian'hua'guan
八折诵经,ba'zhe'song'jing
八正道,ba'zheng'dao
八支甘露心要祕密教授续,ba'zhi'gan'lu'xin'yao'mi'mi'jiao'shou'xu
八指头陀,ba'zhi'tou'tuo
八指头陀诗集,ba'zhi'tou'tuo'shi'ji
八支瑜伽,ba'zhi'yu'jia
巴宙,ba'zhou
霸州市净心佛堂,ba'zhou'shi'jing'xin'fo'tang
霸州市龙泉禅寺,ba'zhou'shi'long'quan'chan'si
把住,ba'zhu
八转声,ba'zhuan'sheng
八字文殊菩萨,ba'zi'wen'shu'pu'sa
八宗,ba'zong
八宗纲要,ba'zong'gang'yao
呗,bai
百八烦恼,bai'ba'fan'nao
百八三昧,bai'ba'san'mei
百八塔,bai'ba'ta
白度母咒,bai'du'mu'zhou
百法,bai'fa
白法黑法,bai'fa'hei'fa
百法明门,bai'fa'ming'men
百福庄严,bai'fu'zhuang'yan
白古,bai'gu
白国因由,bai'guo'yin'you
百济观音,bai'ji'guan'yin
百界千如,bai'jie'qian'ru
白居易,bai'ju'yi
白居易问禅,bai'ju'yi'wen'chan
白莲社,bai'lian'she
白莲宗,bai'lian'zong
百灵庙,bai'ling'miao
白龙,bai'long
白龙城,bai'long'cheng
百论,bai'lun
百论疏,bai'lun'shu
白马寺,bai'ma'si
百年一梦,bai'nian'yi'meng
白伞盖佛顶,bai'san'gai'fo'ding
白圣,bai'sheng
百颂诗集,bai'song'shi'ji
百岁宫,bai'sui'gong
白塔寺,bai'ta'si
百塔寺,bai'ta'si
白檀,bai'tan
百万塔陀罗尼,bai'wan'ta'tuo'luo'ni
百味具足,bai'wei'ju'zu
百味饮食,bai'wei'yin'shi
白文殊咒,bai'wen'shu'zhou
白夏瓦,bai'xia'wa
白雪,bai'xue
白羊寺,bai'yang'si
白业,bai'ye
白衣,bai'yi
白衣观音,bai'yi'guan'yin
白衣观音灵感真言,bai'yi'guan'yin'ling'gan'zhen'yan
百一物,bai'yi'wu
白隐禅师,bai'yin'chan'shi
百喻经,bai'yu'jing
拜愿,bai'yuan
白月,bai'yue
白云,bai'yun
白云花,bai'yun'hua
白云宗,bai'yun'zong
百丈丛林清规,bai'zhang'cong'lin'qing'gui
百丈清规证义记,bai'zhang'qing'gui'zheng'yi'ji
百丈山,bai'zhang'shan
百丈野狐,bai'zhang'ye'hu
百丈野鸭子,bai'zhang'ye'ya'zi
百字论,bai'zi'lun
百字明修法,bai'zi'ming'xiu'fa
板,ban
办道,ban'dao
般闍罗国,ban'du'luo'guo
半跏思惟像,ban'jia'si'wei'xiang
半肯半不肯,ban'ken'ban'bu'ken
般苦三昧,ban'ku'san'mei
班玛瓜唐,ban'ma'gua'tang
班台斯利,ban'tai'si'li
半托迦,ban'tuo'jia
半择迦,ban'ze'jia
般舟三昧,ban'zhou'san'mei
半字满字,ban'zi'man'zi
半座,ban'zuo
谤三宝戒,bang'san'bao'jie
保安寺,bao'an'si
保参玉泉,bao'can'yu'quan
宝唱,bao'chang
宝称,bao'cheng
保定博野护国寺,bao'ding'bo'ye'hu'guo'si
保定阜平县嘉绒观音寺,bao'ding'fu'ping'xian'jia'rong'guan'yin'si
保定市安国兴国寺,bao'ding'shi'an'guo'xing'guo'si
宝鼎赞,bao'ding'zan
报恩禅寺,bao'en'chan'si
报恩寺,bao'en'si
报父母恩咒,bao'fu'mu'en'zhou
宝光寺,bao'guang'si
保国寺,bao'guo'si
报国寺,bao'guo'si
宝华山,bao'hua'shan
宝镜三昧,bao'jing'san'mei
薄拘罗,bao'ju'luo
宝卷,bao'juan
宝觉禅寺,bao'jue'chan'si
宝觉寺,bao'jue'si
宝莲禅寺,bao'lian'chan'si
宝亮,bao'liang
宝轮寺,bao'lun'si
薄瞑,bao'ming
保宁寺,bao'ning'si
宝女所问经,bao'nv'suo'wen'jing
宝瓶气,bao'ping'qi
宝箧印陀罗尼,bao'qie'yin'tuo'luo'ni
宝箧印陀罗尼的故事,bao'qie'yin'tuo'luo'ni'de'gu'shi
宝庆记,bao'qing'ji
宝山石窟,bao'shan'shi'ku
报身,bao'shen
宝生佛,bao'sheng'fo
报生三昧,bao'sheng'san'mei
保圣寺,bao'sheng'si
抱树,bao'shu
宝通禅寺,bao'tong'chan'si
报土,bao'tu
宝王三昧念佛直指,bao'wang'san'mei'nian'fo'zhi'zhi
宝行王正论,bao'xing'wang'zheng'lun
宝应寺,bao'ying'si
宝雨经,bao'yu'jing
宝云,bao'yun
宝藏论,bao'zang'lun
保志,bao'zhi
宝作寂,bao'zuo'ji
北碚天台禅院,bei'bei'tian'tai'chan'yuan
背柴走江湖,bei'chai'zou'jiang'hu
北朝佛教,bei'chao'fo'jiao
北传佛教,bei'chuan'fo'jiao
北斗法,bei'dou'fa
杯渡,bei'du
北海白塔,bei'hai'bai'ta
悲华经,bei'hua'jing
北涧居简禅师语录,bei'jian'ju'jian'chan'shi'yu'lu
北京八大处,bei'jing'ba'da'chu
北京律,bei'jing'lv
卑摩罗叉,bei'mo'luo'cha
北山禅寺,bei'shan'chan'si
北山录,bei'shan'lu
北山住部,bei'shan'zhu'bu
北石窟寺,bei'shi'ku'si
杯水禅机,bei'shui'chan'ji
北寺塔,bei'si'ta
悲田坊,bei'tian'fang
北条时赖,bei'tiao'shi'lai
北条时宗,bei'tiao'shi'zong
贝叶经,bei'ye'jing
悲增,bei'zeng
北周武帝,bei'zhou'wu'di
贝子庙,bei'zi'miao
北宗,bei'zong
本朝高僧传,ben'chao'gao'seng'chuan
本初佛,ben'chu'fo
本地垂迹,ben'di'chui'ji
本地身,ben'di'shen
本高,ben'gao
本化,ben'hua
本化别头佛祖统纪,ben'hua'bie'tou'fo'zu'tong'ji
本寂,ben'ji
本济,ben'ji
本迹二门,ben'ji'er'men
本觉,ben'jue
本空非有,ben'kong'fei'you
本来面目,ben'lai'mian'mu
本门佛立宗,ben'men'fo'li'zong
本门寺,ben'men'si
本门宗,ben'men'zong
本能寺,ben'neng'si
本如,ben'ru
本生,ben'sheng
本生鬘,ben'sheng'man
本生注,ben'sheng'zhu
本师释迦牟尼佛,ben'shi'shi'jia'mou'ni'fo
本堂,ben'tang
本田义英,ben'tian'yi'ying
本未有善,ben'wei'you'shan
本有家,ben'you'jia
本圆,ben'yuan
本愿,ben'yuan
本愿寺,ben'yuan'si
本质,ben'zhi
本尊,ben'zun
彼岸会,bi'an'hui
毕钵罗窟,bi'bo'luo'ku
毕钵罗树,bi'bo'luo'shu
比大,bi'da
笔峰寺,bi'feng'si
闭关,bi'guan
比哈,bi'ha
毕竟空,bi'jing'kong
庇立得法会,bi'li'de'fa'hui
比量,bi'liang
比量相违过,bi'liang'xiang'wei'guo
比丘,bi'qiu
比丘尼,bi'qiu'ni
比丘尼传,bi'qiu'ni'chuan
比叡山,bi'rui'shan
碧巖录,bi'yan'lu
碧云寺,bi'yun'si
辩才天,bian'cai'tian
辨长,bian'chang
辨法法性论,bian'fa'fa'xing'lun
遍告十方,bian'gao'shi'fang
边国,bian'guo
遍计所执性,bian'ji'suo'zhi'xing
辩经,bian'jing
遍净天,bian'jing'tian
辨庆,bian'qing
遍是宗法性,bian'shi'zong'fa'xing
辩伪录,bian'wei'lu
变文,bian'wen
辨喜,bian'xi
辨显密二教论,bian'xian'mi'er'jiao'lun
辩显密二教论,bian'xian'mi'er'jiao'lun
变相图,bian'xiang'tu
遍行,bian'xing
变易生死,bian'yi'sheng'si
变与不变,bian'yu'bu'bian
辩正论,bian'zheng'lun
遍知,bian'zhi
边执见,bian'zhi'jian
辩中边论,bian'zhong'bian'lun
杓,biao
表诠,biao'quan
表色,biao'se
表无表,biao'wu'biao
表制集,biao'zhi'ji
别蚌寺,bie'bang'si
别报,bie'bao
别当,bie'dang
别法,bie'fa
别教,bie'jiao
别解脱戒,bie'jie'tuo'jie
别境,bie'jing
别理随缘,bie'li'sui'yuan
别请,bie'qing
别时念佛,bie'shi'nian'fo
别向圆修,bie'xiang'yuan'xiu
摈出,bin'chu
宾头卢,bin'tou'lu
斌宗,bin'zong
冰揭罗天,bing'jie'luo'tian
炳灵寺石窟,bing'ling'si'shi'ku
摒弃私心,bing'qi'si'xin
钵,bo
薄地,bo'di
帛法祖,bo'fa'zu
博湖巴克新库热,bo'hu'ba'ke'xin'ku're
薄伽梵歌,bo'jia'fan'ge
波剌斯国,bo'la'si'guo
泊莲寺,bo'lian'si
柏林禅寺,bo'lin'chan'si
柏林寺,bo'lin'si
波隆纳鲁伐,bo'long'na'lu'fa
波罗浮屠,bo'luo'fu'tu
波罗奈国,bo'luo'nai'guo
波罗颇迦罗蜜多罗,bo'luo'po'jia'luo'mi'duo'luo
波罗提木叉,bo'luo'ti'mu'cha
波罗提提舍尼,bo'luo'ti'ti'she'ni
波罗王朝,bo'luo'wang'chao
哱囉舞,bo'luo'wu
钵罗耶伽,bo'luo'ye'ga
波罗夷,bo'luo'yi
博那佛塔,bo'na'fo'ta
波你尼文法,bo'ni'ni'wen'fa
般若波罗蜜,bo're'bo'luo'mi
般若波罗蜜多心经,bo're'bo'luo'mi'duo'xin'jing
般若灯论释,bo're'deng'lun'shi
般若佛母心咒,bo're'fo'mu'xin'zhou
般若经,bo're'jing
般若理趣释,bo're'li'qu'shi
般若心经祕键,bo're'xin'jing'mi'jian
般若心咒,bo're'xin'zhou
博山无异禅师广录,bo'shan'wu'yi'chan'shi'guang'lu
帛尸梨蜜多罗,bo'shi'li'mi'duo'luo
波斯匿王,bo'si'ni'wang
钵头摩地狱,bo'tou'mo'di'yu
拨无因果,bo'wu'yin'guo
伯希和,bo'xi'he
博野县菩提念佛堂,bo'ye'xian'pu'ti'nian'fo'tang
波逸提,bo'yi'ti
伯孜克里克石窟,bo'zi'ke'li'ke'shi'ku
不变随缘,bu'bian'sui'yuan
不变应万变,bu'bian'ying'wan'bian
不曾空过,bu'ceng'kong'guo
布达拉宫,bu'da'la'gong
不丹佛教,bu'dan'fo'jiao
不得见,bu'de'jian
不定,bu'ding
不定地法,bu'ding'de'fa
不定教,bu'ding'jiao
不定业,bu'ding'ye
不动法,bu'dong'fa
不动曼荼罗,bu'dong'man'tu'luo
不动明王,bu'dong'ming'wang
不动心,bu'dong'xin
不动智神妙录,bu'dong'zhi'shen'miao'lu
不断念佛,bu'duan'nian'fo
布顿,bu'dun
布顿佛教史,bu'dun'fo'jiao'shi
不二门下歌,bu'er'men'xia'ge
不二摩诃衍,bu'er'mo'he'yan
不二一元论,bu'er'yi'yuan'lun
不放逸,bu'fang'yi
不复再画,bu'fu'zai'hua
不共法,bu'gong'fa
不共教,bu'gong'jiao
不共相,bu'gong'xiang
不共业,bu'gong'ye
不害,bu'hai
布赫诺夫,bu'he'nuo'fu
不坏法,bu'huai'fa
不净观,bu'jing'guan
不可触贱民,bu'ke'chu'jian'min
不可说,bu'ke'shuo
不可执著,bu'ke'zhi'zhuo
不肯承担,bu'ken'cheng'dan
不肯放下,bu'ken'fang'xia
不空,bu'kong
不空成就如来,bu'kong'cheng'jiu'ru'lai
不空罥索观音,bu'kong'juan'suo'guan'yin
不空罥索神变真言经,bu'kong'juan'suo'shen'bian'zhen'yan'jing
不空罥索神咒心经,bu'kong'juan'suo'shen'zhou'xin'jing
不空罥索陀罗尼经,bu'kong'juan'suo'tuo'luo'ni'jing
不愧为侍者,bu'kui'wei'shi'zhe
布勒,bu'le
不离过,bu'li'guo
不立文字,bu'li'wen'zi
不了义,bu'liao'yi
不留平常心,bu'liu'ping'chang'xin
不落有无,bu'luo'you'wu
不能代替,bu'neng'dai'ti
部派佛教,bu'pai'fo'jiao
不迁,bu'qian
不悭戒,bu'qian'jie
不缺盐酱,bu'que'yan'jiang
不染污,bu'ran'wu
不染污无知,bu'ran'wu'wu'zhi
不辱国体,bu'ru'guo'ti
不如密多,bu'ru'mi'duo
不如小丑,bu'ru'xiao'chou
布萨,bu'sa
不善,bu'shan
不生不灭,bu'sheng'bu'mie
布施,bu'shi
不是传声筒,bu'shi'chuan'sheng'tong
不识法身,bu'shi'fa'shen
不时解脱,bu'shi'jie'tuo
不受不施派,bu'shou'bu'shi'pai
补特伽罗,bu'te'ga'luo
不同境界,bu'tong'jing'jie
不退寺,bu'tui'si
补陀洛山,bu'tuo'luo'shan
不闲,bu'xian
不像个人,bu'xiang'ge'ren
不相应心,bu'xiang'ying'xin
不信是真谛,bu'xin'shi'zhen'di
补续高僧传,bu'xu'gao'seng'chuan
不许为师,bu'xu'wei'shi
不要拂拭,bu'yao'fu'shi
不一不异说,bu'yi'bu'yi'shuo
不饮酒戒,bu'yin'jiu'jie
不在别处,bu'zai'bie'chu
不增不减,bu'zeng'bu'jian
不增不减经,bu'zeng'bu'jian'jing
不着相,bu'zhao'xiang
不知道,bu'zhi'dao
部执异论,bu'zhi'yi'lun
蔡巴贡噶多杰,cai'ba'gong'ga'duo'jie
财宝天王心咒,cai'bao'tian'wang'xin'zhou
菜根谭,cai'gen'tan
蔡荣婷,cai'rong'ting
蔡运辰,cai'yun'chen
参,can
参禅,can'chan
参禅法器,can'chan'fa'qi
参笼,can'long
残缺的鬼,can'que'de'gui
参天台五台山记,can'tian'tai'wu'tai'shan'ji
粲英,can'ying
璨幽,can'you
藏论,cang'lun
沧州水月寺,cang'zhou'shui'yue'si
曹洞教会修证义,cao'dong'jiao'hui'xiu'zheng'yi
曹洞宗,cao'dong'zong
操度心咒,cao'du'xin'zhou
漕矩咤国,cao'ju'zha'guo
草木成佛,cao'mu'cheng'fo
曹仕邦,cao'shi'bang
草堂派,cao'tang'pai
草堂寺,cao'tang'si
曹王禅寺,cao'wang'chan'si
曹溪宝林传,cao'xi'bao'lin'chuan
曹溪宗,cao'xi'zong
曾普信,ceng'pu'xin
茶,cha
剎,cha
茶杯的死期,cha'bei'de'si'qi
茶杯与茶壶,cha'bei'yu'cha'hu
差别,cha'bie
茶禅一味,cha'chan'yi'wei
茶道,cha'dao
剎帝利,cha'di'li
剎那,cha'na
叉手,cha'shou
茶心禅意,cha'xin'chan'yi
禅,chan
缠,chan
禅病,chan'bing
禅茶录,chan'cha'lu
禅的心要,chan'de'xin'yao
禅灯世谱,chan'deng'shi'pu
忏法,chan'fa
禅法要解,chan'fa'yao'jie
禅非所知,chan'fei'suo'zhi
缠缚,chan'fu
禅关策进,chan'guan'ce'jin
禅海十珍,chan'hai'shi'zhen
忏悔,chan'hui
忏悔歌,chan'hui'ge
忏悔换来夫妻和,chan'hui'huan'lai'fu'qi'he
忏悔偈,chan'hui'ji
禅戒,chan'jie
禅聚,chan'ju
禅林宝训,chan'lin'bao'xun
禅林类聚,chan'lin'lei'ju
禅林僧宝传,chan'lin'seng'bao'chuan
禅林疏语考证,chan'lin'shu'yu'kao'zheng
禅林寺,chan'lin'si
禅林象器笺,chan'lin'xiang'qi'jian
禅门锻鍊说,chan'men'duan'lian'shuo
禅门公案名,chan'men'gong'an'ming
禅门口诀,chan'men'kou'jue
禅门拈颂集,chan'men'nian'song'ji
禅门日诵,chan'men'ri'song
禅门师资承袭图,chan'men'shi'zi'cheng'xi'tu
禅门问答,chan'men'wen'da
禅门要略,chan'men'yao'lue
禅祕要法经,chan'mi'yao'fa'jing
禅如来如去,chan'ru'lai'ru'qu
禅师,chan'shi
禅说,chan'shuo
禅味,chan'wei
禅像什么,chan'xiang'shen'me
禅心与经语,chan'xin'yu'jing'yu
禅需自悟,chan'xu'zi'wu
禅与牛,chan'yu'niu
禅与生活,chan'yu'sheng'huo
禅院,chan'yuan
禅苑蒙求,chan'yuan'meng'qiu
禅苑清规,chan'yuan'qing'gui
禅院钟声,chan'yuan'zhong'sheng
禅源诸诠集都序,chan'yuan'zhu'quan'ji'dou'xu
禅月集,chan'yue'ji
忏云,chan'yun
禅云寺,chan'yun'si
禅者的脚步百年虚云,chan'zhe'de'jiao'bu'bai'nian'xu'yun
禅者的祝福,chan'zhe'de'zhu'fu
禅宗,chan'zong
禅宗决疑集,chan'zong'jue'yi'ji
禅宗全书,chan'zong'quan'shu
禅宗永嘉集,chan'zong'yong'jia'ji
禅宗语录,chan'zong'yu'lu
禅宗杂毒海,chan'zong'za'du'hai
禅宗正脉,chan'zong'zheng'mai
禅宗直指,chan'zong'zhi'zhi
长阿含经,chang'a'han'jing
长安佛教,chang'an'fo'jiao
常不轻菩萨,chang'bu'qing'pu'sa
长春观,chang'chun'guan
常春观,chang'chun'guan
唱导,chang'dao
长干寺,chang'gan'si
长谷寺,chang'gu'si
长跪,chang'gui
常寂光土,chang'ji'guang'tu
常见,chang'jian
长井真琴,chang'jing'zhen'qin
常觉,chang'jue
长老尼偈,chang'lao'ni'ji
长寿佛咒,chang'shou'fo'zhou
长寿灭罪护诸童子陀罗尼经,chang'shou'mie'zui'hu'zhu'tong'zi'tuo'luo'ni'jing
长松清风,chang'song'qing'feng
长松茹退,chang'song'ru'tui
长尾雅人,chang'wei'ya'ren
长物,chang'wu
长西,chang'xi
长行,chang'xing
长爪梵志,chang'zhao'fan'zhi
常州九龙禅寺,chang'zhou'jiu'long'chan'si
常住,chang'zhu
昌珠寺,chang'zhu'si
常住物,chang'zhu'wu
超峰寺,chao'feng'si
超佛越祖,chao'fo'yue'zu
超戒寺,chao'jie'si
抄经,chao'jing
朝鲜佛教,chao'xian'fo'jiao
朝鲜佛教通史,chao'xian'fo'jiao'tong'shi
朝阳寺,chao'yang'si
超越三昧,chao'yue'san'mei
超越生死,chao'yue'sheng'si
超证,chao'zheng
尘,chen
瞋,chen
陈柏达,chen'bai'da
沉淀,chen'dian
尘点劫,chen'dian'jie
陈慧剑,chen'hui'jian
陈健民,chen'jian'min
尘劳,chen'lao
晨露荷珠,chen'lu'he'zhu
陈履安,chen'lv'an
晨起祈愿文,chen'qi'qi'yuan'wen
陈弃药,chen'qi'yao
陈清香,chen'qing'xiang
陈荣波,chen'rong'bo
陈荣灼,chen'rong'zhuo
尘沙惑,chen'sha'huo
陈神赐,chen'shen'ci
沈香树,chen'xiang'shu
陈英善,chen'ying'shan
陈又新,chen'you'xin
陈玉蛟,chen'yu'jiao
晨钟偈,chen'zhong'ji
陈祚龙,chen'zuo'long
承澄,cheng'cheng
成道,cheng'dao
成佛,cheng'fo
成佛之路,cheng'fo'zhi'lu
成功就是战胜自己,cheng'gong'jiu'shi'zhan'sheng'zi'ji
澄观,cheng'guan
成就,cheng'jiu
成就法鬘,cheng'jiu'fa'man
称名念佛,cheng'ming'nian'fo
称念,cheng'nian
成实论,cheng'shi'lun
成实师,cheng'shi'shi
诚实无欺,cheng'shi'wu'qi
成实宗,cheng'shi'zong
承受信物,cheng'shou'xin'wu
承天寺,cheng'tian'si
成唯识论,cheng'wei'shi'lun
成唯识论述记,cheng'wei'shi'lun'shu'ji
呈心偈,cheng'xin'ji
成一,cheng'yi
承远,cheng'yuan
澄远,cheng'yuan
称赞净土佛摄受经,cheng'zan'jing'tu'fo'she'shou'jing
承珠,cheng'zhu
痴,chi
吃茶去,chi'cha'qu
喫茶养生记,chi'cha'yang'sheng'ji
赤峰根佩庙,chi'feng'gen'pei'miao
