爱恶相攻而吉凶生,ai'e'xiang'gong'er'ji'xiong'sheng
地道卑而上行,di'dao'bei'er'shang'xing
地道变盈而流谦,di'dao'bian'ying'er'liu'qian
地道光也,di'dao'guang'ye
地道无成,di'dao'wu'cheng
地道也,di'dao'ye
弟弟,di'di
第二卦,di'er'gua
第二十八卦,di'er'shi'ba'gua
第二十二卦,di'er'shi'er'gua
第二十卦,di'er'shi'gua
第二十九卦,di'er'shi'jiu'gua
第二十六卦,di'er'shi'liu'gua
第二十七卦,di'er'shi'qi'gua
第二十三卦,di'er'shi'san'gua
第二十四卦,di'er'shi'si'gua
第二十五卦,di'er'shi'wu'gua
第二十一卦,di'er'shi'yi'gua
第二章,di'er'zhang
地风升,di'feng'sheng
敌刚也,di'gang'ye
地火明夷,di'huo'ming'yi
第九卦,di'jiu'gua
第九章,di'jiu'zhang
地雷复,di'lei'fu
第六卦,di'liu'gua
第六十二卦,di'liu'shi'er'gua
第六十卦,di'liu'shi'gua
第六十三卦,di'liu'shi'san'gua
第六十四卦,di'liu'shi'si'gua
第六十一卦,di'liu'shi'yi'gua
第六章,di'liu'zhang
第七卦,di'qi'gua
第七章,di'qi'zhang
第三卦,di'san'gua
第三十八卦,di'san'shi'ba'gua
第三十二卦,di'san'shi'er'gua
第三十卦,di'san'shi'gua
第三十九卦,di'san'shi'jiu'gua
第三十六卦,di'san'shi'liu'gua
第三十七卦,di'san'shi'qi'gua
第三十三卦,di'san'shi'san'gua
第三十四卦,di'san'shi'si'gua
第三十五卦,di'san'shi'wu'gua
第三十一卦,di'san'shi'yi'gua
第三章,di'san'zhang
地山谦,di'shan'qian
地上有水,di'shang'you'shui
第十八卦,di'shi'ba'gua
第十二卦,di'shi'er'gua
第十二章,di'shi'er'zhang
第十卦,di'shi'gua
第十九卦,di'shi'jiu'gua
地势坤,di'shi'kun
第十六卦,di'shi'liu'gua
第十七卦,di'shi'qi'gua
第十三卦,di'shi'san'gua
第十四卦,di'shi'si'gua
第十五卦,di'shi'wu'gua
第十一卦,di'shi'yi'gua
第十一章,di'shi'yi'zhang
第十章,di'shi'zhang
地数三十,di'shu'san'shi
地数五,di'shu'wu
地水师,di'shui'shi
第四卦,di'si'gua
第四十八卦,di'si'shi'ba'gua
第四十二卦,di'si'shi'er'gua
第四十卦,di'si'shi'gua
第四十九卦,di'si'shi'jiu'gua
第四十六卦,di'si'shi'liu'gua
第四十七卦,di'si'shi'qi'gua
第四十三卦,di'si'shi'san'gua
第四十四卦,di'si'shi'si'gua
第四十五卦,di'si'shi'wu'gua
第四十一卦,di'si'shi'yi'gua
第四章,di'si'zhang
地天否,di'tian'fou
第五卦,di'wu'gua
第五十八卦,di'wu'shi'ba'gua
第五十二卦,di'wu'shi'er'gua
第五十卦,di'wu'shi'gua
第五十九卦,di'wu'shi'jiu'gua
第五十六卦,di'wu'shi'liu'gua
第五十七卦,di'wu'shi'qi'gua
第五十三卦,di'wu'shi'san'gua
第五十四卦,di'wu'shi'si'gua
第五十五卦,di'wu'shi'wu'gua
第五十一卦,di'wu'shi'yi'gua
第五章,di'wu'zhang
地险山川丘陵也,di'xian'shan'chuan'qiu'ling'ye
羝羊触藩,di'yang'chu'fan
第一卦,di'yi'gua
帝乙归妹,di'yi'gui'mei
第一章,di'yi'zhang
地泽临,di'ze'lin
地中生木,di'zhong'sheng'mu
地中有山,di'zhong'you'shan
地中有水,di'zhong'you'shui
弟子舆尸,di'zi'yu'shi
弟子舆师,di'zi'yu'shi
颠颐,dian'yi
颠颐吉,dian'yi'ji
颠颐之吉,dian'yi'zhi'ji
迭用柔刚,die'yong'rou'gang
鼎颠趾,ding'dian'zhi
鼎耳革,ding'er'ge
鼎卦终,ding'gua'zhong
鼎黄耳,ding'huang'er
鼎黄耳金铉,ding'huang'er'jin'xuan
定其交而后求,ding'qi'jiao'er'hou'qiu
鼎取新也,ding'qu'xin'ye
定天下之吉凶,ding'tian'xia'zhi'ji'xiong
鼎有实,ding'you'shi
鼎玉铉,ding'yu'xuan
鼎折足,ding'zhe'zu
定之以吉凶,ding'zhi'yi'ji'xiong
东北丧朋,dong'bei'sang'peng
动不穷也,dong'bu'qiong'ye
动而不括,dong'er'bu'kuo
动而健,dong'er'jian
动而免乎险,dong'er'mian'hu'xian
动而明,dong'er'ming
动而说,dong'er'shuo
动而以顺行,dong'er'yi'shun'xing
动乎险中,dong'hu'xian'zhong
动悔,dong'hui
动静不失其时,dong'jing'bu'shi'qi'shi
动静有常,dong'jing'you'chang
东邻杀牛,dong'lin'sha'niu
栋隆,dong'long
栋隆之吉,dong'long'zhi'ji
栋桡,dong'rao
栋桡之凶,dong'rao'zhi'xiong
动万物者,dong'wan'wu'zhe
动也,dong'ye
动在其中矣,dong'zai'qi'zhong'yi
动则观其变,dong'ze'guan'qi'bian
渎蒙也,du'meng'ye
独行遇雨,du'xing'yu'yu
独行愿也,du'xing'yuan'ye
独行正也,du'xing'zheng'ye
独远实也,du'yuan'shi'ye
渎则不告,du'ze'bu'gao
断辞则备矣,duan'ci'ze'bei'yi
断木为杵,duan'mu'wei'chu
兑卦终,dui'gua'zhong
兑见,dui'jian
兑三索而得女,dui'san'suo'er'de'nv
兑上兑下,dui'shang'dui'xia
兑上艮下,dui'shang'gen'xia
兑上坎下,dui'shang'kan'xia
兑上坤下,dui'shang'kun'xia
兑上离下,dui'shang'li'xia
兑上乾下,dui'shang'qian'xia
兑上巽下,dui'shang'xun'xia
兑上震下,dui'shang'zhen'xia
兑为口,dui'wei'kou
兑为羊,dui'wei'yang
兑为泽,dui'wei'ze
兑以说之,dui'yi'shuo'zhi
兑者说也,dui'zhe'shuo'ye
兑正秋也,dui'zheng'qiu'ye
遯而亨也,dun'er'heng'ye
敦复,dun'fu
敦复无悔,dun'fu'wu'hui
敦艮,dun'gen
敦艮之吉,dun'gen'zhi'ji
遯卦终,dun'gua'zhong
遯亨,dun'heng
敦临,dun'lin
敦临之吉,dun'lin'zhi'ji
遯世而无闷,dun'shi'er'wu'men
遯世无闷,dun'shi'wu'men
遯尾,dun'wei
遯尾之厉,dun'wei'zhi'li
遯则退也,dun'ze'tui'ye
遯者退也,dun'zhe'tui'ye
遯之时义大矣哉,dun'zhi'shi'yi'da'yi'zai
恶不积,e'bu'ji
而百果草木皆甲坼,er'bai'guo'cao'mu'jie'jia'che
二百一十有六,er'bai'yi'shi'you'liu
而不可乱也,er'bu'ke'luan'ye
而不可恶也,er'bu'ke'wu'ye
而不留狱,er'bu'liu'yu
而不失其正者,er'bu'shi'qi'zheng'zhe
而察於民之故,er'cha'yu'min'zhi'gu
而畅於四支,er'chang'yu'si'zhi
而成位乎其中矣,er'cheng'wei'hu'qi'zhong'yi
而大亨以养圣贤,er'da'heng'yi'yang'sheng'xian
而代有终也,er'dai'you'zhong'ye
而道济天下,er'dao'ji'tian'xia
而德不孤,er'de'bu'gu
而动也刚,er'dong'ye'gang
二多誉,er'duo'yu
而弗为也,er'fu'wei'ye
而刚得中,er'gang'de'zhong
而刚柔有体,er'gang'rou'you'ti
而观其会通,er'guan'qi'hui'tong
二簋可用享,er'gui'ke'yong'xiang
二簋应有时,er'gui'ying'you'shi
而悔吝著也,er'hui'lin'zhu'ye
而吉凶可见矣,er'ji'xiong'ke'jian'yi
而家道正,er'jia'dao'zheng
而坎下也,er'kan'xia'ye
而况建侯行师乎,er'kuang'jian'hou'xing'shi'hu
而况人於人乎,er'kuang'ren'yu'ren'hu
而况於人乎,er'kuang'yu'ren'hu
而揆其方,er'kui'qi'fang
而困相遇也,er'kun'xiang'yu'ye
而雷雨作,er'lei'yu'zuo
而立卦,er'li'gua
而理於义,er'li'yu'yi
而民从之,er'min'cong'zhi
而能久成,er'neng'jiu'cheng
而能久照,er'neng'jiu'zhao
而拟诸其形容,er'ni'zhu'qi'xing'rong
而拟诸形容,er'ni'zhu'xing'rong
二女同居,er'nv'tong'ju
二篇之策,er'pian'zhi'ce
二气感应以相与,er'qi'gan'ying'yi'xiang'yu
而其事类也,er'qi'shi'lei'ye
而其事同也,er'qi'shi'tong'ye
而其志同也,er'qi'zhi'tong'ye
而其志通也,er'qi'zhi'tong'ye
二人同心,er'ren'tong'xin
而上下应之,er'shang'xia'ying'zhi
而升不来也,er'sheng'bu'lai'ye
而生爻,er'sheng'yao
而顺乎刚,er'shun'hu'gang
而四时不忒,er'si'shi'bu'tei
而天地万物之情可见矣,er'tian'di'wan'wu'zhi'qing'ke'jian'yi
而天下服矣,er'tian'xia'fu'yi
而天下化成,er'tian'xia'hua'cheng
而天下随时,er'tian'xia'sui'shi
而天下无邦也,er'tian'xia'wu'bang'ye
而天下矣之理矣,er'tian'xia'yi'zhi'li'yi
而天下治也,er'tian'xia'zhi'ye
而玩其辞,er'wan'qi'ci
而玩其占,er'wan'qi'zhan
而万物不通也,er'wan'wu'bu'tong'ye
而万物不兴,er'wan'wu'bu'xing
而万物覩,er'wan'wu'du
而万物通也,er'wan'wu'tong'ye
而微显阐幽,er'wei'xian'chan'you
而为主於内,er'wei'zhu'yu'nei
而行有恒,er'xing'you'heng
而巽伏也,er'xun'fu'ye
而易立乎其中矣,er'yi'li'hu'qi'zhong'yi
而易行乎其中矣,er'yi'xing'hu'qi'zhong'yi
而应乎乾,er'ying'hu'qian
而应乎人,er'ying'hu'ren
而用可重也,er'yong'ke'zhong'ye
而豫怠也,er'yu'dai'ye
二与四位,er'yu'si'wei
发挥於刚柔,fa'hui'yu'gang'rou
发蒙,fa'meng
法象莫大乎天地,fa'xiang'mo'da'hu'tian'di
发於事业,fa'yu'shi'ye
反常也,fan'chang'ye
反复道也,fan'fu'dao'ye
反复其道,fan'fu'qi'dao
反归以娣,fan'gui'yi'di
藩决不羸,fan'jue'bu'lei
反君道也,fan'jun'dao'ye
凡三百有六十,fan'san'bai'you'liu'shi
反身之谓也,fan'shen'zhi'wei'ye
凡天地之数,fan'tian'di'zhi'shu
范围天地之化而不过,fan'wei'tian'di'zhi'hua'er'bu'guo
凡益之道,fan'yi'zhi'dao
凡易之情,fan'yi'zhi'qing
方其义也,fang'qi'yi'ye
方以类聚,fang'yi'lei'ju
方以知,fang'yi'zhi
方雨亏悔,fang'yu'kui'hui
肥遯,fei'dun
匪孚,fei'fu
匪躬之故,fei'gong'zhi'gu
匪咎,fei'jiu
匪寇婚媾,fei'kou'hun'gou
非离群也,fei'li'qun'ye
飞龙在天,fei'long'zai'tian
飞鸟离之,fei'niao'li'zhi
飞鸟遗之音,fei'niao'wei'zhi'yin
飞鸟以凶,fei'niao'yi'xiong
匪其彭,fei'qi'peng
非所据而据焉,fei'suo'ju'er'ju'yan
非所困而困焉,fei'suo'kun'er'kun'yan
非天下之致变,fei'tian'xia'zhi'zhi'bian
非天下之至精,fei'tian'xia'zhi'zhi'jing
非天下之致神,fei'tian'xia'zhi'zhi'shen
非为邪也,fei'wei'xie'ye
匪我求童蒙,fei'wo'qiu'tong'meng
匪夷所思,fei'yi'suo'si
非一朝一夕之故,fei'yi'zhao'yi'xi'zhi'gu
分而为二以象两,fen'er'wei'er'yi'xiang'liang
分刚上而文柔,fen'gang'shang'er'wen'rou
焚如,fen'ru
纷若之吉,fen'ruo'zhi'ji
豮豕之牙,fen'shi'zhi'ya
分阴分阳,fen'yin'fen'yang
风从虎,feng'cong'hu
风地观,feng'de'guan
丰多故,feng'duo'gu
丰卦终,feng'gua'zhong
风火家人,feng'huo'jia'ren
风雷,feng'lei
风雷益,feng'lei'yi
丰其蔀,feng'qi'bu
丰其沛,feng'qi'pei
丰其屋,feng'qi'wu
风山渐,feng'shan'jian
风水涣,feng'shui'huan
风天小畜,feng'tian'xiao'chu
风行地上,feng'xing'di'shang
风行水上,feng'xing'shui'shang
风行天上,feng'xing'tian'shang
风以散之,feng'yi'san'zhi
风泽中孚,feng'ze'zhong'fu
丰者大也,feng'zhe'da'ye
风自火出,feng'zi'huo'chu
否卦终,fou'gua'zhong
否臧凶,fou'zang'xiong
否之匪人,fou'zhi'fei'ren
否终则倾,fou'zhong'ze'qing
夫大人者,fu'da'ren'zhe
孚兑,fu'dui
孚兑之吉,fu'dui'zhi'ji
复反也,fu'fan'ye
夫夫,fu'fu
妇妇,fu'fu
父父,fu'fu
夫妇之道,fu'fu'zhi'dao
弗敢成也,fu'gan'cheng'ye
覆公餗,fu'gong'su
复卦终,fu'gua'zhong
弗过防之,fu'guo'fang'zhi
弗过遇之,fu'guo'yu'zhi
孚号,fu'hao
孚号有厉,fu'hao'you'li
复亨,fu'heng
复即命,fu'ji'ming
富家,fu'jia
富家大吉,fu'jia'da'ji
弗兼与也,fu'jian'yu'ye
拂经,fu'jing
弗克攻,fu'ke'gong
夫坤,fu'kun
夫茅之为物薄,fu'mao'zhi'wei'wu'bo
父母之谓也,fu'mu'zhi'wei'ye
孚乃利用禴,fu'nai'li'yong'yue
服牛乘马,fu'niu'cheng'ma
夫妻反目,fu'qi'fan'mu
复其见天地之心乎,fu'qi'jian'tian'di'zhi'xin'hu
夫乾,fu'qian
负且乘,fu'qie'cheng
妇人吉,fu'ren'ji
妇人贞吉,fu'ren'zhen'ji
伏戎于莽,fu'rong'yu'mang
妇三岁不孕,fu'san'sui'bu'yun
妇丧其髴,fu'sang'qi'fei
弗损益之,fu'sun'yi'zhi
夫象,fu'xiang
辅相天地之宜,fu'xiang'tian'di'zhi'yi
夫玄黄者,fu'xuan'huang'zhe
辅也,fu'ye
负也者,fu'ye'zhe
