哎哟哟,ai'yo'yo
一一,yi'yi
益益益益益益,yi'yi'yi'yi'yi'yi
隐身,yin'shen
鹰钩鼻,ying'gou'bi
哟西,yo'xi
有了,you'le
有人吗,you'ren'ma
御风凌,yu'feng'ling
运动囧囧囧囧,yun'dong'jiong'jiong'jiong'jiong
糟糕,zao'gao
炸弹,zha'dan
这个呃,zhe'ge'e
振奋,zhen'fen
振作,zhen'zuo
痣长毛,zhi'chang'mao
皱眉,zhou'mei
醉拳口,zui'quan'kou
