安居区,an'ju'qu
滑旱冰走,hua'han'bing'zou
花寨,hua'zhai
花寨子,hua'zhai'zi
环湖赛,huan'hu'sai
回张掖,hui'zhang'ye
嘉峪关,jia'yu'guan
碱滩,jian'tan
金安苑,jin'an'yuan
进村进社,jin'cun'jin'she
金沙苑,jin'sha'yuan
金张掖,jin'zhang'ye
靖远,jing'yuan
九坝村,jiu'ba'cun
揪片子,jiu'pian'zi
酒泉的,jiu'quan'de
酒泉了,jiu'quan'le
就是的吧,jiu'shi'de'ba
就是的么,jiu'shi'de'me
就是滴,jiu'shi'di
就是跌,jiu'shi'die
就睡呢,jiu'shui'ne
卷子鸡,juan'zi'ji
军马场,jun'ma'chang
军训回来,jun'xun'hui'lai
开瑞店,kai'rui'dian
凯撒宫,kai'sa'gong
开校,kai'xiao
开校了,kai'xiao'le
可百可,ke'bai'ke
课间十分钟,ke'jian'shi'fen'zhong
瞌睡滴,ke'shui'di
快些的,kuai'xie'de
快心就好,kuai'xin'jiu'hao
垃圾大力队伍,la'ji'da'li'dui'wu
拉力赛,la'li'sai
来和你选选,lai'he'ni'xuan'xuan
来张掖,lai'zhang'ye
兰州了,lan'zhou'le
兰州呢,lan'zhou'ne
老军,lao'jun
老军乡,lao'jun'xiang
老寺庙,lao'si'miao
李快山,li'kuai'shan
里那些人,li'na'xie'ren
李寨,li'zhai
联村联户,lian'cun'lian'hu
联系户,lian'xi'hu
梁家墩,liang'jia'dun
蓼泉,liao'quan
蓼泉镇,liao'quan'zhen
临检,lin'jian
临泽,lin'ze
临泽的,lin'ze'de
临泽县,lin'ze'xian
临泽一中,lin'ze'yi'zhong
领娃娃,ling'wa'wa
六坝,liu'ba
六坝镇,liu'ba'zhen
陇桥,long'qiao
路都上树了,lu'dou'shang'shu'le
鲁强,lu'qiang
罗城乡,luo'cheng'xiang
骆驼城,luo'tuo'cheng
骆驼城乡,luo'tuo'cheng'xiang
驴日的,lv'ri'de
马场,ma'chang
麻辣粉,ma'la'fen
马神庙,ma'shen'miao
马蹄寺,ma'ti'si
买上个,mai'shang'ge
么我不混,me'wo'bu'hun
孟雨涵,meng'yu'han
面片子,mian'pian'zi
民乐县,min'le'xian
民乐,min'yue
民乐的,min'yue'de
民乐人,min'yue'ren
民乐一中,min'yue'yi'zhong
莫过可,mo'guo'ke
没收上,mo'shou'shang
木吧,mu'ba
木事干,mu'shi'gan
木事干啊,mu'shi'gan'a
木有波,mu'you'bo
木咋,mu'za
那个丫头,na'ge'ya'tou
那会子,na'hui'zi
那家子,na'jia'zi
哪里咧,na'li'lie
那些兄弟呢,na'xie'xiong'di'ne
南古,nan'gu
南古镇,nan'gu'zhen
南华镇,nan'hua'zhen
你不了,ni'bu'le
你干啥的了,ni'gan'sha'de'le
你干啥的呢,ni'gan'sha'de'ne
你还洗过,ni'hai'xi'guo
倪家营,ni'jia'ying
你快快的,ni'kuai'kuai'de
你哪里了,ni'na'li'le
你睡下了吗,ni'shui'xia'le'ma
你媳妇子,ni'xi'fu'zi
你也早些睡,ni'ye'zao'xie'shui
你咋的了,ni'za'de'le
你咋的呢,ni'za'de'ne
你咋这么个,ni'za'zhe'me'ge
你在不了,ni'zai'bu'liao
你在哪上的呢,ni'zai'na'shang'de'ne
你在张掖,ni'zai'zhang'ye
你早些睡,ni'zao'xie'shui
你这会子,ni'zhe'hui'zi
年过完,nian'guo'wan
娘母子,niang'mu'zi
宁和园,ning'he'yuan
弄下了,nong'xia'le
欧式街,ou'shi'jie
盘旋路,pan'xuan'lu
培校,pei'xiao
屁啊你干嘛,pi'a'ni'gan'ma
平川,ping'chuan
平山湖,ping'shan'hu
平原堡,ping'yuan'bao
汽车拉力赛,qi'che'la'li'sai
祁连山,qi'lian'shan
钱等等,qian'deng'deng
清泉镇,qing'quan'zhen
青西街,qing'xi'jie
去兰州,qu'lan'zhou
去张掖,qu'zhang'ye
润泉湖,run'quan'hu
三号村,san'hao'cun
三闸,san'zha
沙河镇,sha'he'zhen
啥叫个,sha'jiao'ge
沙井镇,sha'jing'zhen
沙井子,sha'jing'zi
啥了啥,sha'le'sha
沙漠公园,sha'mo'gong'yuan
山丹,shan'dan
山丹的,shan'dan'de
山丹了,shan'dan'le
山丹呢,shan'dan'ne
山丹人,shan'dan'ren
山丹县,shan'dan'xian
山丹一中,shan'dan'yi'zhong
上的啥,shang'de'sha
上感,shang'gan
上兰州,shang'lan'zhou
上秦镇,shang'qin'zhen
上网听歌,shang'wang'ting'ge
稍等等,shao'deng'deng
勺掉了,shao'diao'le
少林小子,shao'lin'xiao'zi
勺男人,shao'nan'ren
勺娃子,shao'wa'zi
勺丫头,shao'ya'tou
试考完,shi'kao'wan
收上了,shou'shang'le
输液体,shu'ye'ti
甩血,shuai'xue
水川,shui'chuan
水管所,shui'guan'suo
睡哈了,shui'ha'le
税亭街,shui'ting'jie
睡下吗,shui'xia'ma
顺化,shun'hua
顺化乡,shun'hua'xiang
说话老婆,shuo'hua'lao'po
说卡,shuo'ka
四坝,si'ba
死娃子,si'wa'zi
送的来,song'de'lai
肃南,su'nan
肃南县,su'nan'xian
酸辣嫂,suan'la'sao
随谈,sui'tan
太草,tai'cao
太日眼,tai'ri'yan
太瓦,tai'wa
太谢,tai'xie
套吃,tao'chi
痛一次干脆,tong'yi'ci'gan'cui
哇比,wa'bi
外奶奶,wai'nai'nai
玩玩走,wan'wan'zou
网页打开,wang'ye'da'kai
为民富民,wei'min'fu'min
位奇,wei'qi
位奇镇,wei'qi'zhen
问卡,wen'ka
我出不去咋帮,wo'chu'bu'qu'za'bang
沃滴,wo'di
我就问哈,wo'jiu'wen'ha
我觉得下午,wo'jue'de'xia'wu
我没混的,wo'mei'hun'de
我没有混,wo'mei'you'hun
我们都玩,wo'men'dou'wan
我们干,wo'men'gan
我们下午要上课,wo'men'xia'wu'yao'shang'ke
我明代,wo'ming'dai
沃姆,wo'mu
我木事干,wo'mu'shi'gan
我那会子,wo'na'hui'zi
我去兰州,wo'qu'lan'zhou
我也想的呢,wo'ye'xiang'de'ne
我一首,wo'yi'shou
我在甘肃,wo'zai'gan'su
我在张掖,wo'zai'zhang'ye
我张掖,wo'zhang'ye
我这会子,wo'zhe'hui'zi
乌江镇,wu'jiang'zhen
五里墩,wu'li'dun
武威的,wu'wei'de
武威了,wu'wei'le
五行操,wu'xing'cao
西北师大,xi'bei'shi'da
西部民乐,xi'bu'min'yue
媳妇子,xi'fu'zi
西街小学,xi'jie'xiao'xue
西来寺,xi'lai'si
西夏大佛寺,xi'xia'da'fo'si
下午能不能出去,xia'wu'neng'bu'neng'chu'qu
县府街,xian'fu'jie
想你滴,xiang'ni'di
想也得,xiang'ye'dei
效能风暴,xiao'neng'feng'bao
写完吗,xie'wan'ma
新坝,xin'ba
新坝乡,xin'ba'xiang
新墩,xin'dun
新墩镇,xin'dun'zhen
新华镇,xin'hua'zhen
新乐超市,xin'le'chao'shi
新乐小区,xin'le'xiao'qu
新天镇,xin'tian'zhen
馨宇丽都,xin'yu'li'du
凶光东门,xiong'guang'dong'men
修会,xiu'hui
许三湾,xu'san'wan
喧慌,xuan'huang
鸭暖,ya'nuan
鸭暖乡,ya'nuan'xiang
丫头家,ya'tou'jia
丫头子,ya'tou'zi
焉支山,yan'zhi'shan
掩住,yan'zhu
药吃上,yao'chi'shang
也好的了,ye'hao'de'le
也好的呢,ye'hao'de'ne
一次有趣的活动,yi'ci'you'qu'de'huo'dong
一大力,yi'da'li
一社,yi'she
一受,yi'shou
一天家,yi'tian'jia
一万名,yi'wan'ming
尹成贤,yin'cheng'xian
油果子,you'guo'zi
友好村,you'hao'cun
裕固族,yu'gu'zu
元山子,yuan'shan'zi
咋的个,za'de'ge
咋的里,za'de'li
咋的咧,za'de'lie
咋地个,za'di'ge
咋滴哩,za'di'li
咋滴咧,za'di'lie
咋了是,za'le'shi
咋料,za'liao
咋去了,za'qu'le
咋去呢,za'qu'ne
咋组,za'zu
在白银,zai'bai'yin
再不了,zai'bu'le
再的,zai'de
在高台,zai'gao'tai
在酒泉,zai'jiu'quan
在临泽,zai'lin'ze
在民乐,zai'min'yue
在山丹,zai'shan'dan
再有吗,zai'you'ma
在张掖,zai'zhang'ye
早些回,zao'xie'hui
早些来,zao'xie'lai
扎刺,zha'ci
炸炮,zha'pao
张海荣,zhang'hai'rong
张火,zhang'huo
张火公路,zhang'huo'gong'lu
张兴龙,zhang'xing'long
张掖,zhang'ye
张掖啊,zhang'ye'a
张掖吧,zhang'ye'ba
张掖的,zhang'ye'de
张掖二中,zhang'ye'er'zhong
张掖话,zhang'ye'hua
张掖教育信息网,zhang'ye'jiao'yu'xin'xi'wang
张掖了,zhang'ye'le
张掖吗,zhang'ye'ma
张掖呢,zhang'ye'ne
张掖人,zhang'ye'ren
张掖日报,zhang'ye'ri'bao
张掖市,zhang'ye'shi
张掖市甘州区,zhang'ye'shi'gan'zhou'qu
张掖市卫生局,zhang'ye'shi'wei'sheng'ju
张掖中学,zhang'ye'zhong'xue
找上个,zhao'shang'ge
赵月珍,zhao'yue'zhen
赵振杰,zhao'zhen'jie
这会干嘛呢,zhe'hui'gan'ma'ne
这会吗,zhe'hui'ma
这会一,zhe'hui'yi
这会子,zhe'hui'zi
这会子了,zhe'hui'zi'le
这是不好意思,zhe'shi'bu'hao'yi'si
真实停车,zhen'shi'ting'che
至目前,zhi'mu'qian
猪姥姥,zhu'lao'lao
追上我了,zhui'shang'wo'le
准时去,zhun'shi'qu
总场,zong'chang
走和你看看走,zou'he'ni'kan'kan'zou
