爱车一族,ai'che'yi'zu
汪家湾,wang'jia'wan
望月,wang'yue
委党校,wei'dang'xiao
武安,wu'an
五洞,wu'dong
五洞镇,wu'dong'zhen
伍家寨,wu'jia'zhai
五龙桥,wu'long'qiao
西门广场,xi'men'guang'chang
西竺,xi'zhu
夏雷,xia'lei
小屋基,xiao'wu'ji
晓兴,xiao'xing
斜滩,xie'tan
新华街,xin'hua'jie
新民,xin'min
新民镇,xin'min'zhen
兴隆场,xing'long'chang
徐白,xu'bai
徐家,xu'jia
鸭棚子,ya'peng'zi
严家,yan'jia
砚台,yan'tai
砚台镇,yan'tai'zhen
阳光尚城,yang'guang'shang'cheng
杨河,yang'he
杨家岭岗,yang'jia'ling'gang
杨家石板,yang'jia'shi'ban
杨家湾,yang'jia'wan
易家湾,yi'jia'wan
逸香居,yi'xiang'ju
银珠,yin'zhu
永安,yong'an
永安镇,yong'an'zhen
永进村,yong'jin'cun
永平,yong'ping
永平镇,yong'ping'zhen
渝东商业城,yu'dong'shang'ye'cheng
玉华,yu'hua
玉皇观,yu'huang'guan
渝宜高速,yu'yi'gao'su
袁圆酒楼,yuan'yuan'jiu'lou
园月坡,yuan'yue'po
月江村,yue'jiang'cun
月阳路,yue'yang'lu
张怀瑾,zhang'huai'jin
张家滩,zhang'jia'tan
张舟,zhang'zhou
中南,zhong'nan
周嘉,zhou'jia
周嘉镇,zhou'jia'zhen
朱家湾,zhu'jia'wan
自平,zi'ping
邹家坝,zou'jia'ba
邹仁清,zou'ren'qing
