八十一难,ba'shi'yi'nan
骨质变脆,gu'zhi'bian'cui
观面色,guan'mian'se
官窍,guan'qiao
桂苓甘露散,gui'ling'gan'lu'san
桂苓甘露饮,gui'ling'gan'lu'yin
归脾汤,gui'pi'tang
桂枝加葛根汤,gui'zhi'jia'ge'gen'tang
桂枝加厚朴杏子汤,gui'zhi'jia'hou'pu'xing'zi'tang
桂枝人参汤,gui'zhi'ren'shen'tang
桂枝汤,gui'zhi'tang
寒凉方药,han'liang'fang'yao
寒凉派,han'liang'pai
汗吐下三法,han'tu'xia'san'fa
蒿芩清胆汤,hao'qin'qing'dan'tang
和解剂,he'jie'ji
和解少阳,he'jie'shao'yang
黑逍遥散,hei'xiao'yao'san
红舌碎痛,hong'she'sui'tong
厚朴七物汤,hou'po'qi'wu'tang
后阴,hou'yin
虎潜丸,hu'qian'wan
互相联系,hu'xiang'lian'xi
化斑汤,hua'ban'tang
华盖散,hua'gai'san
化生气血,hua'sheng'qi'xue
黄帝内经,huang'di'nei'jing
皇甫谧,huang'fu'mi
黄连解毒汤,huang'lian'jie'du'tang
黄龙汤,huang'long'tang
黄芪桂枝五物汤,huang'qi'gui'zhi'wu'wu'tang
黄芪建中汤,huang'qi'jian'zhong'tang
黄芩汤,huang'qin'tang
回阳救逆,hui'yang'jiu'ni
回阳救逆汤,hui'yang'jiu'ni'tang
疾病病因症候学,ji'bing'bing'yin'zheng'hou'xue
基础医学,ji'chu'yi'xue
基础医学理论,ji'chu'yi'xue'li'lun
济川煎,ji'chuan'jian
集古代之大成,ji'gu'dai'zhi'da'cheng
鸡苏散,ji'su'san
加减复脉汤,jia'jian'fu'mai'tang
加减葳蕤汤,jia'jian'wei'rui'tang
加味香苏散,jia'wei'xiang'su'san
加味逍遥散,jia'wei'xiao'yao'san
胶艾汤,jiao'ai'tang
桔梗汤,jie'geng'tang
结构,jie'gou
金沸草散,jin'fei'cao'san
金匮,jin'kui
金匮要略,jin'kui'yao'lue
金元四大家,jin'yuan'si'da'jia
荆防败毒散,jing'fang'bai'du'san
经络,jing'luo
精气学说,jing'qi'xue'shuo
九味羌活汤,jiu'wei'qiang'huo'tang
举元煎,ju'yuan'jian
控涎汤,kong'xian'tang
阑尾化清汤,lan'wei'hua'qing'tang
阑尾化瘀汤,lan'wei'hua'yu'tang
阑尾清解汤,lan'wei'qing'jie'tang
劳役过度,lao'yi'guo'du
历代医家,li'dai'yi'jia
李东垣,li'dong'yuan
李杲,li'gao
理论体系,li'lun'ti'xi
历算学,li'suan'xue
理中丸,li'zhong'wan
李忠梓,li'zhong'zi
连理汤,lian'li'tang
凉膈散,liang'ge'san
两晋隋唐时期,liang'jin'sui'tang'shi'qi
临床表现,lin'chuang'biao'xian
临床实践,lin'chuang'shi'jian
林亿,lin'yi
灵兰秘典论,ling'lan'mi'dian'lun
灵枢,ling'shu
六腑,liu'fu
刘河间,liu'he'jian
六君子汤,liu'jun'zi'tang
六气皆从火化,liu'qi'jie'cong'huo'hua
刘完素,liu'wan'su
六味地黄丸,liu'wei'di'huang'wan
六一散,liu'yi'san
六淫,liu'yin
龙胆泻肝汤,long'dan'xie'gan'tang
楼英,lou'ying
论治,lun'zhi
逻辑学,luo'ji'xue
麻黄,ma'huang
麻黄附子细辛汤,ma'huang'fu'zi'xi'xin'tang
麻黄汤,ma'huang'tang
麻黄杏仁甘草石膏汤,ma'huang'xing'ren'gan'cao'shi'gao'tang
麻杏石甘汤,ma'xing'shi'gan'tang
麻子仁丸,ma'zi'ren'wan
麦冬地黄丸,mai'dong'di'huang'wan
命门,ming'men
命门学说,ming'men'xue'shuo
明清时期,ming'qing'shi'qi
难经,nan'jing
内伤杂病,nei'shang'za'bing
内所因,nei'suo'yin
内所因七情,nei'suo'yin'qi'qing
内外杂症,nei'wai'za'zheng
内在联系,nei'zai'lian'xi
呕血,ou'xue
脾胃,pi'wei
脾系统,pi'xi'tong
普济消毒饮,pu'ji'xiao'du'yin
杞菊地黄丸,qi'ju'di'huang'wan
七情,qi'qing
七味白术散,qi'wei'bai'zhu'san
气血流畅,qi'xue'liu'chang
千金要方,qian'jin'yao'fang
千金翼方,qian'jin'yi'fang
钱乙,qian'yi
前阴,qian'yin
秦艽鳖甲散,qin'jiao'bie'jia'san
秦越人,qin'yue'ren
清宫汤,qing'gong'tang
清骨散,qing'gu'san
青蒿鳖甲汤,qing'hao'bie'jia'tang
清络饮,qing'luo'yin
清热剂,qing're'ji
清热解毒,qing're'jie'du
清暑益气汤,qing'shu'yi'qi'tang
清瘟败毒饮,qing'wen'bai'du'yin
清心莲子饮,qing'xin'lian'zi'yin
清虚热,qing'xu're
清营汤,qing'ying'tang
清脏腑热,qing'zang'fu're
情志所伤,qing'zhi'suo'shang
祛暑剂,qu'shu'ji
祛邪,qu'xie
祛邪外出,qu'xie'wai'chu
人类学,ren'lei'xue
人参养荣汤,ren'shen'yang'rong'tang
人体解剖,ren'ti'jie'pou
人文地理,ren'wen'di'li
三拗汤,san'ao'tang
三焦,san'jiao
三因极一病证方论,san'yin'ji'yi'bing'zheng'fang'lun
三因论,san'yin'lun
三因学说,san'yin'xue'shuo
桑菊饮,sang'ju'yin
伤寒论,shang'han'lun
伤寒杂病论,shang'han'za'bing'lun
伤寒卒病论,shang'han'zu'bing'lun
芍药地黄汤,shao'yao'di'huang'tang
芍药汤,shao'yao'tang
摄固无力,she'gu'wu'li
社会科学,she'hui'ke'xue
参附汤,shen'fu'tang
参苓白术散,shen'ling'bai'zhu'san
神农本草经,shen'nong'ben'cao'jing
肾气丸,shen'qi'wan
参苏饮,shen'su'yin
神犀汤,shen'xi'tang
肾系统,shen'xi'tong
生姜泻心汤,sheng'jiang'xie'xin'tang
生理,sheng'li
生理学知识,sheng'li'xue'zhi'shi
升麻葛根汤,sheng'ma'ge'gen'tang
生脉散,sheng'mai'san
生脉饮,sheng'mai'yin
生命活动,sheng'ming'huo'dong
生物学,sheng'wu'xue
升陷汤,sheng'xian'tang
升阳益胃汤,sheng'yang'yi'wei'tang
圣愈汤,sheng'yu'tang
十全大补汤,shi'quan'da'bu'tang
十枣汤,shi'zao'tang
收集,shou'ji
水谷精微,shui'gu'jing'wei
四部经典,si'bu'jing'dian
四大经典,si'da'jing'dian
四库全书子部,si'ku'quan'shu'zi'bu
四妙勇安汤,si'miao'yong'an'tang
四逆加人参汤,si'ni'jia'ren'shen'tang
四逆散,si'ni'san
四逆汤,si'ni'tang
四气,si'qi
四时温病,si'shi'wen'bing
思维方式,si'wei'fang'shi
四物汤,si'wu'tang
四诊,si'zhen
四诊法,si'zhen'fa
宋金元时期,song'jin'yuan'shi'qi
素问,su'wen
泰山磐石散,tai'shan'pan'shi'san
汤液,tang'ye
桃红四物汤,tao'hong'si'wu'tang
天人关系,tian'ren'guan'xi
天文学,tian'wen'xue
调和肠胃,tiao'he'chang'wei
调和肝脾,tiao'he'gan'pi
调控原则,tiao'kong'yuan'ze
条目,tiao'mu
调胃承气汤,tiao'wei'cheng'qi'tang
听力差,ting'li'cha
通脉四逆散,tong'mai'si'ni'san
痛泻药方,tong'xie'yao'fang
外感,wai'gan
外感病,wai'gan'bing
完带汤,wan'dai'tang
脘痛泛酸,wan'tong'fan'suan
王肯堂,wang'ken'tang
王叔和,wang'shu'he
望闻问切,wang'wen'wen'qie
苇茎汤,wei'jing'tang
卫气营血,wei'qi'ying'xue
卫气营血辨证,wei'qi'ying'xue'bian'zheng
温病学说,wen'bing'xue'shuo
温脾汤,wen'pi'tang
温疫,wen'yi
温疫论,wen'yi'lun
无不系根于心,wu'bu'xi'gen'yu'xin
五藏,wu'cang
五藏相通,wu'cang'xiang'tong
戊己丸,wu'ji'wan
吴鞠通,wu'ju'tong
五仁丸,wu'ren'wan
五味,wu'wei
五味消毒饮,wu'wei'xiao'du'yin
五行,wu'xing
五行相生相克,wu'xing'xiang'sheng'xiang'ke
五脏,wu'zang
五志过极皆为热甚,wu'zhi'guo'ji'jie'wei're'shen
吴茱萸汤,wu'zhu'yu'tang
犀角地黄汤,xi'jiao'di'huang'tang
习医,xi'yi
仙方活命饮,xian'fang'huo'ming'yin
先秦秦汉时期,xian'qin'qin'han'shi'qi
相火论,xiang'huo'lun
相克,xiang'ke
香连丸,xiang'lian'wan
香薷散,xiang'ru'san
香砂六君子汤,xiang'sha'liu'jun'zi'tang
相生,xiang'sheng
香苏散,xiang'su'san
小便失禁,xiao'bian'shi'jin
小柴胡汤,xiao'chai'hu'tang
小承气汤,xiao'cheng'qi'tang
小儿药证直诀,xiao'er'yao'zheng'zhi'jue
小建中汤,xiao'jian'zhong'tang
小青龙汤,xiao'qing'long'tang
逍遥散,xiao'yao'san
泻白散,xie'bai'san
泻黄散,xie'huang'san
邪气侵入人体,xie'qi'qin'ru'ren'ti
泻青丸,xie'qing'wan
胁痛咯血,xie'tong'ka'xie
泻下剂,xie'xia'ji
泻心汤,xie'xin'tang
邪正,xie'zheng
心肝火旺,xin'gan'huo'wang
新加黄龙汤,xin'jia'huang'long'tang
新加香薷饮,xin'jia'xiang'ru'yin
心理学,xin'li'xue
辛凉解表,xin'liang'jie'biao
辛温解表,xin'wen'jie'biao
心系统,xin'xi'tong
形神关系,xing'shen'guan'xi
性质,xing'zhi
学术思想,xue'shu'si'xiang
阳和汤,yang'he'tang
养生,yang'sheng
养生方法,yang'sheng'fang'fa
叶天士,ye'tian'shi
医部全录,yi'bu'quan'lu
医德,yi'de
异功散,yi'gong'san
一贯煎,yi'guan'jian
医家,yi'jia
医疗实践,yi'liao'shi'jian
遗尿,yi'niao
医学纲目,yi'xue'gang'mu
医学衷中参西录,yi'xue'zhong'zhong'can'xi'lu
一元论,yi'yuan'lun
益元散,yi'yuan'san
医宗金鉴,yi'zong'jin'jian
银翘散,yin'qiao'san
饮食不节,yin'shi'bu'jie
阴阳,yin'yang
玉女煎,yu'nv'jian
玉屏风散,yu'ping'feng'san
郁证,yu'zheng
郁滞,yu'zhi
元气之本,yuan'qi'zhi'ben
越婢汤,yue'bi'tang
杂病,za'bing
再造散,zai'zao'san
脏腑辨证,zang'fu'bian'zheng
脏相,zang'xiang
脏象学说,zang'xiang'xue'shuo
张从正,zhang'cong'zheng
张锡纯,zhang'xi'chun
张仲景,zhang'zhong'jing
张子和,zhang'zi'he
哲学基础,zhe'xue'ji'chu
诊断,zhen'duan
诊法,zhen'fa
针灸,zhen'jiu
针灸甲乙经,zhen'jiu'jia'yi'jing
针灸治疗,zhen'jiu'zhi'liao
诊疗手段,zhen'liao'shou'duan
诊脉,zhen'mai
整体观念,zheng'ti'guan'nian
证治准绳,zheng'zhi'zhun'sheng
知柏地黄丸,zhi'bai'di'huang'wan
治疗,zhi'liao
止嗽散,zhi'sou'san
治则,zhi'ze
栀子金花汤,zhi'zi'jin'hua'tang
中基,zhong'ji
中西医,zhong'xi'yi
中西医结合,zhong'xi'yi'jie'he
中药,zhong'yao
中医儿科学,zhong'yi'er'ke'xue
中医妇科学,zhong'yi'fu'ke'xue
中医骨伤科学,zhong'yi'gu'shang'ke'xue
中医基础理论,zhong'yi'ji'chu'li'lun
中医临床医学,zhong'yi'lin'chuang'yi'xue
中医外科学,zhong'yi'wai'ke'xue
中医预防医学,zhong'yi'yu'fang'yi'xue
中医诊断学,zhong'yi'zhen'duan'xue
肘后百一方,zhou'hou'bai'yi'fang
诸病源候论,zhu'bing'yuan'hou'lun
朱丹溪,zhu'dan'xi
主火派,zhu'huo'pai
竹叶柳蒡汤,zhu'ye'liu'bang'tang
竹叶石膏汤,zhu'ye'shi'gao'tang
朱震亨,zhu'zhen'heng
自然科学,zi'ran'ke'xue
左归丸,zuo'gui'wan
左归饮,zuo'gui'yin
左金丸,zuo'jin'wan
