安科余良卿,an'ke'yu'liang'qing
红旗小区,hong'qi'xiao'qu
红旗小区北大门,hong'qi'xiao'qu'bei'da'men
红旗小学,hong'qi'xiao'xue
化肥厂,hua'fei'chang
华康电脑城,hua'kang'dian'nao'cheng
华林公司,hua'lin'gong'si
华茂,hua'mao
华茂小区,hua'mao'xiao'qu
化三建,hua'san'jian
化校,hua'xiao
黄土坑,huang'tu'keng
回祥小区,hui'xiang'xiao'qu
火车站,huo'che'zhan
机场,ji'chang
集贤关,ji'xian'guan
嘉华电器广场,jia'hua'dian'qi'guang'chang
嘉华电器广场清节堂,jia'hua'dian'qi'guang'chang'qing'jie'tang
蒋畈大桥,jiang'fan'da'qiao
郊区医院,jiao'qu'yi'yuan
交通银行,jiao'tong'yin'hang
介河桥,jie'he'qiao
金星,jin'xing
晶海花园,jing'hai'hua'yuan
九塘,jiu'tang
九中,jiu'zhong
开发区管委会,kai'fa'qu'guan'wei'hui
科技广场,ke'ji'guang'chang
科技园,ke'ji'yuan
老峰,lao'feng
莲花铺,lian'hua'pu
联盟,lian'meng
联胜小学,lian'sheng'xiao'xue
菱湖,ling'hu
陵园,ling'yuan
龙泉岭,long'quan'ling
龙山,long'shan
龙山信用社,long'shan'xin'yong'she
龙狮桥,long'shi'qiao
马山宾馆,ma'shan'bin'guan
马山派出所,ma'shan'pai'chu'suo
马窝,ma'wo
茅岭,mao'ling
茅岭仓库,mao'ling'cang'ku
茅清路,mao'qing'lu
农校,nong'xiao
女人街,nv'ren'jie
汽车北站,qi'che'bei'zhan
汽车站,qi'che'zhan
棋盘山,qi'pan'shan
七中,qi'zhong
青园五金机电,qing'yuan'wu'jin'ji'dian
泉排,quan'pai
热电厂,re'dian'chang
任店,ren'dian
人民保险,ren'min'bao'xian
人民剧院,ren'min'ju'yuan
沙桥汽车城北站,sha'qiao'qi'che'cheng'bei'zhan
山口乡政府,shan'kou'xiang'zheng'fu
神墩北苑,shen'dun'bei'yuan
圣埠,sheng'bu
圣阜,sheng'fu
盛唐苑,sheng'tang'yuan
市宾馆,shi'bin'guan
市二院,shi'er'yuan
十里村,shi'li'cun
十里铺,shi'li'pu
市立医院,shi'li'yi'yuan
市民广场,shi'min'guang'chang
食品厂,shi'pin'chang
市四院,shi'si'yuan
市四中,shi'si'zhong
石塘嘴,shi'tang'zui
市委,shi'wei
市委党校,shi'wei'dang'xiao
市一院,shi'yi'yuan
市一中,shi'yi'zhong
石油站,shi'you'zhan
师院,shi'yuan
市政府,shi'zheng'fu
狮子山公园,shi'zi'shan'gong'yuan
双塘,shuang'tang
水上公园,shui'shang'gong'yuan
四八五,si'ba'wu
四八五市四院,si'ba'wu'shi'si'yuan
四八一二,si'ba'yi'er
四方城,si'fang'cheng
四中,si'zhong
体育馆,ti'yu'guan
天安保险柏子桥,tian'an'bao'xian'bai'zi'qiao
天星大酒店,tian'xing'da'jiu'dian
天星大酒店高花亭,tian'xing'da'jiu'dian'gao'hua'ting
天柱商城,tian'zhu'shang'cheng
天柱商贸城,tian'zhu'shang'mao'cheng
铁路桥,tie'lu'qiao
同发公司,tong'fa'gong'si
同济堂大药房柏子桥,tong'ji'tang'da'yao'fang'bai'zi'qiao
头坡村,tou'po'cun
外贸宾馆,wai'mao'bin'guan
皖江花苑,wan'jiang'hua'yuan
文采花园,wen'cai'hua'yuan
午公坝,wu'gong'ba
吴越街,wu'yue'jie
西湖绿洲城,xi'hu'lv'zhou'cheng
先锋巷,xian'feng'xiang
小南门,xiao'nan'men
效区法院,xiao'qu'fa'yuan
效区医院,xiao'qu'yi'yuan
孝肃路,xiao'su'lu
烟草公司,yan'cao'gong'si
沿江路口,yan'jiang'lu'kou
盐业大楼,yan'ye'da'lou
杨桥,yang'qiao
杨屋,yang'wu
叶祠,ye'ci
宜城水岸,yi'cheng'shui'an
宜光新村,yi'guang'xin'cun
益盛商场,yi'sheng'shang'chang
医院,yi'yuan
宜园,yi'yuan
迎宾大道,ying'bin'da'dao
迎宾馆,ying'bin'guan
迎宾小区,ying'bin'xiao'qu
英德利花园,ying'de'li'hua'yuan
英德利汽车城,ying'de'li'qi'che'cheng
迎江寺,ying'jiang'si
玉琳路口,yu'lin'lu'kou
余桥,yu'qiao
余湾,yu'wan
袁家冲,yuan'jia'chong
元桥,yuan'qiao
赵家,zhao'jia
柘山煤矿,zhe'shan'mei'kuang
纸厂,zhi'chang
中北巴士,zhong'bei'ba'shi
中达宾馆,zhong'da'bin'guan
中国银行,zhong'guo'yin'hang
中皖律师楼,zhong'wan'lv'shi'lou
中西药黄土坑,zhong'xi'yao'huang'tu'keng
