阿鼻,a'bi
悲门,bei'men
背念,bei'nian
背舍,bei'she
悲田,bei'tian
悲无量心,bei'wu'liang'xin
贝叶,bei'ye
悲愿金刚,bei'yuan'jin'gang
悲智,bei'zhi
悲智圆满,bei'zhi'yuan'man
本地,ben'di
本地风光,ben'di'feng'guang
本惑,ben'huo
本教,ben'jiao
本觉,ben'jue
本觉真如,ben'jue'zhen'ru
本觉智,ben'jue'zhi
本来面目,ben'lai'mian'mu
本来无一物,ben'lai'wu'yi'wu
本师,ben'shi
本誓,ben'shi
本识,ben'shi
本体,ben'ti
本位,ben'wei
本心,ben'xin
本愿,ben'yuan
彼岸,bi'an
苾刍,bi'chu
苾刍律仪,bi'chu'lv'yi
苾刍尼,bi'chu'ni
鼻根,bi'gen
闭关,bi'guan
毕竟觉,bi'jing'jue
毕竟空,bi'jing'kong
毕竟无,bi'jing'wu
毕竟依,bi'jing'yi
比量,bi'liang
比丘,bi'qiu
比丘尼,bi'qiu'ni
鼻入,bi'ru
鼻识,bi'shi
辩才,bian'cai
辩才妙音,bian'cai'miao'yin
辩才天,bian'cai'tian
边地,bian'di
遍法界身,bian'fa'jie'shen
变化,bian'hua
变化法身,bian'hua'fa'shen
变化生,bian'hua'sheng
变化土,bian'hua'tu
遍计,bian'ji
遍计所执性,bian'ji'suo'zhi'xing
边际智,bian'ji'zhi
边见,bian'jian
边界,bian'jie
遍净天,bian'jing'tian
辩无碍解,bian'wu'ai'jie
遍行,bian'xing
遍行惑,bian'xing'huo
遍行因,bian'xing'yin
遍行真如,bian'xing'zhen'ru
变易,bian'yi
变易而熟,bian'yi'er'shu
变易身,bian'yi'shen
变易生死,bian'yi'sheng'si
遍依圆,bian'yi'yuan
遍依圆三性,bian'yi'yuan'san'xing
遍照,bian'zhao
遍照金刚,bian'zhao'jin'gang
遍照如来,bian'zhao'ru'lai
边执见,bian'zhi'jian
遍周法界,bian'zhou'fa'jie
边罪,bian'zui
表戒,biao'jie
表诠,biao'quan
表无表戒,biao'wu'biao'jie
表相,biao'xiang
表业,biao'ye
别报,bie'bao
别教,bie'jiao
别教一乘,bie'jiao'yi'cheng
别戒,bie'jie
别解脱,bie'jie'tuo
别解脱戒,bie'jie'tuo'jie
别解脱律仪,bie'jie'tuo'lv'yi
别境,bie'jing
别请,bie'qing
别时念佛,bie'shi'nian'fo
别相,bie'xiang
别相念处,bie'xiang'nian'chu
别相三宝,bie'xiang'san'bao
别相三观,bie'xiang'san'guan
别业,bie'ye
别圆,bie'yuan
别愿,bie'yuan
别众食,bie'zhong'shi
禀教,bing'jiao
禀具,bing'ju
病苦,bing'ku
病魔,bing'mo
病起六缘,bing'qi'liu'yuan
钵多罗,bo'duo'luo
薄迦梵,bo'jia'fan
钵里萨啰伐拏,bo'li'sa'luo'fa'na
波罗密,bo'luo'mi
波罗木叉,bo'luo'mu'cha
波罗夷,bo'luo'yi
般若,bo're
般若波罗蜜,bo're'bo'luo'mi
般若波罗蜜多,bo're'bo'luo'mi'duo
般若船,bo're'chuan
般若三昧,bo're'san'mei
般若时,bo're'shi
波斯匿,bo'si'ni
拨无因果,bo'wu'yin'guo
波旬,bo'xun
不变随缘,bu'bian'sui'yuan
不变真如,bu'bian'zhen'ru
不忏举,bu'chan'ju
补处,bu'chu
补处弥勒,bu'chu'mi'le
布袋和尚,bu'dai'he'shang
不但空,bu'dan'kong
不但中,bu'dan'zhong
不动地,bu'dong'de
不动灭无为,bu'dong'mie'wu'wei
不断常,bu'duan'chang
不断光,bu'duan'guang
不二之法,bu'er'zhi'fa
不共般若,bu'gong'bo're
不共法,bu'gong'fa
不共佛法,bu'gong'fo'fa
不共无明,bu'gong'wu'ming
不共业,bu'gong'ye
不过中食,bu'guo'zhong'shi
不还果,bu'hai'guo
不还向,bu'hai'xiang
不见举,bu'jian'ju
不净观,bu'jing'guan
不净肉,bu'jing'rou
不净说法,bu'jing'shuo'fa
不净行,bu'jing'xing
不可说不可说,bu'ke'shuo'bu'ke'shuo
不可思议,bu'ke'si'yi
不清净施,bu'qing'jing'shi
不取正觉,bu'qu'zheng'jue
不染污无知,bu'ran'wu'wu'zhi
布萨,bu'sa
布萨日,bu'sa'ri
不生,bu'sheng
不生不灭,bu'sheng'bu'mie
不生断,bu'sheng'duan
布施,bu'shi
布施波罗蜜,bu'shi'bo'luo'mi
布施偈,bu'shi'ji
布施摄,bu'shi'she
不死门,bu'si'men
不思议变易生死,bu'si'yi'bian'yi'sheng'si
不通忏悔,bu'tong'chan'hui
不退,bu'tui
不退地,bu'tui'di
补陀,bu'tuo
补陀落迦,bu'tuo'luo'jia
不相应行法,bu'xiang'ying'xing'fa
不与取,bu'yu'qu
不增不灭,bu'zeng'bu'mie
不住生死,bu'zhu'sheng'si
财供养,cai'gong'yang
财施,cai'shi
参禅,can'chan
惭愧,can'kui
曹溪,cao'xi
差别,cha'bie
刹那,cha'na
刹那三世,cha'na'san'shi
刹那生灭,cha'na'sheng'mie
刹那无常,cha'na'wu'chang
禅病,chan'bing
禅波罗蜜,chan'bo'luo'mi
禅德,chan'de
羼底,chan'di
禅定,chan'ding
禅定波罗蜜,chan'ding'bo'luo'mi
禅定坚固,chan'ding'jian'gu
忏法,chan'fa
禅法,chan'fa
缠缚,chan'fu
缠盖,chan'gai
禅观,chan'guan
禅规,chan'gui
禅和,chan'he
禅和子,chan'he'zi
忏悔,chan'hui
禅慧,chan'hui
忏悔功德,chan'hui'gong'de
禅寂,chan'ji
禅教,chan'jiao
禅戒,chan'jie
禅律,chan'lv
禅门,chan'men
禅门五宗,chan'men'wu'zong
缠眠,chan'mian
忏摩,chan'mo
禅那,chan'na
禅那波罗蜜,chan'na'bo'luo'mi
禅师,chan'shi
羼提,chan'ti
阐提,chan'ti
羼提波罗蜜,chan'ti'bo'luo'mi
禅味,chan'wei
禅心,chan'xin
禅行,chan'xing
忏仪,chan'yi
禅衣,chan'yi
禅悦,chan'yue
禅悦食,chan'yue'shi
禅宗,chan'zong
长钵,chang'bo
常光一丈,chang'guang'yi'zhang
常寂,chang'ji
常寂光土,chang'ji'guang'tu
常见,chang'jian
常乐我净,chang'le'wo'jing
长明灯,chang'ming'deng
常身,chang'shen
长时修,chang'shi'xiu
常随佛学,chang'sui'fo'xue
长物,chang'wu
常无常二身,chang'wu'chang'er'shen
长行,chang'xing
常行乞食,chang'xing'qi'shi
常行三昧,chang'xing'san'mei
长养,chang'yang
长衣,chang'yi
长斋月,chang'zhai'yue
常住,chang'zhu
常坐,chang'zuo
超越断,chao'yue'duan
超越证,chao'yue'zheng
嗔病,chen'bing
尘道,chen'dao
尘点劫,chen'dian'jie
嗔毒,chen'du
嗔缚,chen'fu
尘垢,chen'gou
嗔恚,chen'hui
嗔恚火,chen'hui'huo
嗔恚使,chen'hui'shi
嗔火,chen'huo
尘劫,chen'jie
尘劳,chen'lao
沉冥,chen'ming
尘刹,chen'sha
尘沙,chen'sha
沉檀,chen'tan
尘妄,chen'wang
尘相,chen'xiang
嗔心,chen'xin
成佛,cheng'fo
澄观,cheng'guan
称名,cheng'ming
称名杂行,cheng'ming'za'xing
称名正行,cheng'ming'zheng'hang
称念,cheng'nian
成实宗,cheng'shi'zong
成所作智,cheng'suo'zuo'zhi
成住坏空,cheng'zhu'huai'kong
痴爱,chi'ai
痴闇,chi'an
痴禅,chi'chan
痴定,chi'ding
痴毒,chi'du
持犯,chi'fan
持戒,chi'jie
持戒波罗蜜,chi'jie'bo'luo'mi
持律,chi'lv
痴慢,chi'man
持名,chi'ming
持明,chi'ming
持念,chi'nian
痴取,chi'qu
痴使,chi'shi
持诵,chi'song
持素,chi'su
持息观,chi'xi'guan
持斋,chi'zhai
重复衣,chong'fu'yi
重山,chong'shan
重障,chong'zhang
初刹那识,chu'cha'na'shi
初禅,chu'chan
初禅定,chu'chan'ding
初禅梵天,chu'chan'fan'tian
初禅天,chu'chan'tian
出缠真如,chu'chan'zhen'ru
触尘,chu'chen
初地,chu'di
初顿华严,chu'dun'hua'yan
初发心,chu'fa'xin
初果,chu'guo
初果向,chu'guo'xiang
初欢喜地,chu'huan'xi'de
出慧,chu'hui
出家,chu'jia
出家二戒,chu'jia'er'jie
出家四愿,chu'jia'si'yuan
出离,chu'li
初能变,chu'neng'bian
出期,chu'qi
畜生,chu'sheng
畜生道,chu'sheng'dao
畜生界,chu'sheng'jie
畜生趣,chu'sheng'qu
畜生食时,chu'sheng'shi'shi
畜生因,chu'sheng'yin
畜生有,chu'sheng'you
出世,chu'shi
触食,chu'shi
出世本怀,chu'shi'ben'huai
出世大事,chu'shi'da'shi
出世法,chu'shi'fa
出世果,chu'shi'guo
出世间,chu'shi'jian
出世间禅,chu'shi'jian'chan
出世间道,chu'shi'jian'dao
出世间法,chu'shi'jian'fa
出世间上上禅,chu'shi'jian'shang'shang'chan
初时教,chu'shi'jiao
出世心,chu'shi'xin
初位,chu'wei
出息,chu'xi
初心,chu'xin
出要,chu'yao
触欲,chu'yu
初住,chu'zhu
传灯,chuan'deng
传戒,chuan'jie
喘息,chuan'xi
传心,chuan'xin
此岸,ci'an
慈悲,ci'bei
慈悲忏法,ci'bei'chan'fa
慈悲观,ci'bei'guan
慈悲十二利,ci'bei'shi'er'li
慈悲衣,ci'bei'yi
次第三观,ci'di'san'guan
次第缘,ci'di'yuan
慈恩,ci'en
慈恩八宗,ci'en'ba'zong
慈恩家,ci'en'jia
慈恩三观,ci'en'san'guan
慈恩宗,ci'en'zong
慈光,ci'guang
慈航,ci'hang
慈门,ci'men
慈忍,ci'ren
慈氏,ci'shi
慈心三昧,ci'xin'san'mei
慈云,ci'yun
慈云忏主,ci'yun'chan'zhu
慈尊,ci'zun
从假入空观,cong'jia'ru'kong'guan
从空入假观,cong'kong'ru'jia'guan
丛林,cong'lin
粗恶语,cu'e'yu
粗人,cu'ren
大,da
大白牛车,da'bai'niu'che
大般涅槃,da'ban'nie'pan
大宝积,da'bao'ji
大悲,da'bei
大悲阐提,da'bei'chan'ti
大悲菩萨,da'bei'pu'sa
大悲三念住,da'bei'san'nian'zhu
大悲咒,da'bei'zhou
大比丘,da'bi'qiu
大乘,da'cheng
大乘法,da'cheng'fa
大乘教,da'cheng'jiao
大乘戒,da'cheng'jie
大乘经,da'cheng'jing
大乘三藏,da'cheng'san'zang
大乘心,da'cheng'xin
大乘宗,da'cheng'zong
大慈,da'ci
大慈大悲,da'ci'da'bei
大慈尊,da'ci'zun
大德,da'de
大地法,da'di'fa
大地善法,da'di'shan'fa
大定,da'ding
大定智悲,da'ding'zhi'bei
大度师,da'du'shi
大恶象,da'e'xiang
大恩教主,da'en'jiao'zhu
大法鼓,da'fa'gu
大法螺,da'fa'luo
大法雨,da'fa'yu
大烦恼地法,da'fan'nao'de'fa
大梵天,da'fan'tian
大梵天王,da'fan'tian'wang
大方等,da'fang'deng
大方广,da'fang'guang
大灌顶,da'guan'ding
大寂定,da'ji'ding
大觉,da'jiao
大觉母,da'jiao'mu
大劫,da'jie
大戒,da'jie
大空,da'kong
大力广佛,da'li'guang'fo
大明咒,da'ming'zhou
达磨,da'mo
达磨忌,da'mo'ji
大涅槃,da'nie'pan
大菩提,da'pu'ti
大千,da'qian
大千世界,da'qian'shi'jie
大忍法界,da'ren'fa'jie
大人相,da'ren'xiang
大日如来,da'ri'ru'lai
大日三部,da'ri'san'bu
大三灾,da'san'zai
大沙门,da'sha'men
大善知识,da'shan'zhi'shi
大摄受,da'she'shou
大身,da'shen
大士,da'shi
大师,da'shi
大事因缘,da'shi'yin'yuan
大势至,da'shi'zhi
大施主,da'shi'zhu
大随烦恼,da'sui'fan'nao
大妄语,da'wang'yu
大威德,da'wei'de
大我,da'wo
大小二乘,da'xiao'er'cheng
大小互入,da'xiao'hu'ru
大心,da'xin
大雄,da'xiong
大阴界入,da'yin'jie'ru
大圆镜智,da'yuan'jing'zhi
大圆觉,da'yuan'jue
大藏经,da'zang'jing
大种,da'zhong
大众部,da'zhong'bu
大咒,da'zhou
大姊,da'zi
大自在天,da'zi'zai'tian
但空,dan'kong
弹偏斥小,dan'pian'chi'xiao
但三衣,dan'san'yi
丹霞烧佛,dan'xia'shao'fo
但中,dan'zhong
当机,dang'ji
当机益物,dang'ji'yi'wu
当来,dang'lai
当来导师,dang'lai'dao'shi
当体即空,dang'ti'ji'kong
当相即道,dang'xiang'ji'dao
到彼岸,dao'bi'an
道场,dao'chang
道场神,dao'chang'shen
道谛,dao'di
道共戒,dao'gong'jie
道观,dao'guan
道观双流,dao'guan'shuang'liu
道果,dao'guo
道行,dao'heng
道后,dao'hou
倒见,dao'jian
道具,dao'ju
道力,dao'li
道理,dao'li
忉利天,dao'li'tian
道品,dao'pin
道器,dao'qi
道前,dao'qian
导师,dao'shi
道士,dao'shi
道树,dao'shu
道俗,dao'su
刀途,dao'tu
倒我,dao'wo
道信,dao'xin
道心,dao'xin
倒悬,dao'xuan
道宣,dao'xuan
道眼,dao'yan
道业,dao'ye
道元,dao'yuan
道中,dao'zhong
道种性,dao'zhong'xing
道种智,dao'zhong'zhi
得道,de'dao
得度,de'du
德号,de'hao
得通,de'tong
等持,deng'chi
等慈,deng'ci
登地,deng'di
等谛,deng'di
登地菩萨,deng'di'pu'sa
等观,deng'guan
等活地狱,deng'huo'di'yu
等觉,deng'jue
等妙,deng'miao
等妙觉王,deng'miao'jue'wang
灯明,deng'ming
灯明佛,deng'ming'fo
等味,deng'wei
等无间缘,deng'wu'jian'yuan
等心,deng'xin
等智,deng'zhi
等至,deng'zhi
登住,deng'zhu
第八识,di'ba'shi
地波罗蜜,di'bo'luo'mi
谛察法忍,di'cha'fa'ren
地大,di'da
地动八缘,di'dong'ba'yuan
地动七因,di'dong'qi'yin
地动三因,di'dong'san'yin
第二禅,di'er'chan
第二果,di'er'guo
第二结集,di'er'jie'ji
第二能变,di'er'neng'bian
第二时教,di'er'shi'jiao
地居天,di'ju'tian
第六识,di'liu'shi
第六天,di'liu'tian
第六意识,di'liu'yi'shi
第六阴,di'liu'yin
地轮,di'lun
第七识,di'qi'shi
地前,di'qian
地前菩萨,di'qian'pu'sa
地前三贤,di'qian'san'xian
第三禅,di'san'chan
第三地,di'san'di
第三果,di'san'guo
第三结集,di'san'jie'ji
第三能变,di'san'neng'bian
第三时教,di'san'shi'jiao
谛善巧,di'shan'qiao
地上,di'shang
地上菩萨,di'shang'pu'sa
帝释,di'shi
地水火风,di'shui'huo'feng
地水火风空,di'shui'huo'feng'kong
地水火风空识,di'shui'huo'feng'kong'shi
地水火风空识见,di'shui'huo'feng'kong'shi'jian
第四禅,di'si'chan
第四结集,di'si'jie'ji
帝网,di'wang
帝网天珠,di'wang'tian'zhu
第五大,di'wu'da
地行罗刹,di'xing'luo'cha
第一乘,di'yi'cheng
第一结集,di'yi'jie'ji
第一时教,di'yi'shi'jiao
第一义,di'yi'yi
第一义谛,di'yi'yi'di
第一义观,di'yi'yi'guan
第一义空,di'yi'yi'kong
地狱,di'yu
地狱道,di'yu'dao
地狱趣,di'yu'qu
地藏,di'zang
地种,di'zhong
弟子,di'zi
颠倒,dian'dao
颠倒心,dian'dao'xin
电光石火,dian'guang'shi'huo
电光朝露,dian'guang'zhao'lu
掉悔,diao'hui
掉散,diao'san
调御师,diao'yu'shi
定答,ding'da
顶法,ding'fa
定根,ding'gen
定共戒,ding'gong'jie
定光,ding'guang
顶光,ding'guang
定光佛,ding'guang'fo
顶光化佛,ding'guang'hua'fo
定慧,ding'hui
定慧二乘,ding'hui'er'cheng
定聚,ding'ju
定力,ding'li
顶礼,ding'li
定门,ding'men
定散,ding'san
定水,ding'shui
顶位,ding'wei
定相,ding'xiang
顶相,ding'xiang
定性,ding'xing
定性二乘,ding'xing'er'cheng
定性声闻,ding'xing'sheng'wen
定性喜乐地,ding'xing'xi'le'di
定性缘觉,ding'xing'yuan'jue
定学,ding'xue
定业,ding'ye
定异,ding'yi
定智,ding'zhi
东方净琉璃医王,dong'fang'jing'liu'li'yi'wang
东山法门,dong'shan'fa'men
东胜身洲,dong'sheng'shen'zhou
东台二密,dong'tai'er'mi
东土九祖,dong'tu'jiu'zu
兜率,dou'lv
都率天,dou'lv'tian
都史多,dou'shi'duo
都史宫,dou'shi'gong
都史天,dou'shi'tian
兜率天,dou'shuai'tian
度牒,du'die
独觉,du'jue
独觉舍悲障,du'jue'she'bei'zhang
独散意识,du'san'yi'shi
度僧,du'seng
度生,du'sheng
睹史多天,du'shi'duo'tian
杜顺,du'shun
读诵,du'song
独头意识,du'tou'yi'shi
犊子部,du'zi'bu
断常二见,duan'chang'er'jian
断德,duan'de
断惑,duan'huo
断惑证真,duan'huo'zheng'zhen
断见,duan'jian
断结,duan'jie
断灭,duan'mie
断肉,duan'rou
断善阐提,duan'shan'chan'ti
段食,duan'shi
断智,duan'zhi
对法,dui'fa
对法藏,dui'fa'zang
对治,dui'zhi
顿大,dun'da
顿断,dun'duan
钝根,dun'gen
顿根,dun'gen
顿渐,dun'jian
顿教,dun'jiao
顿觉,dun'jue
钝使,dun'shi
顿说,dun'shuo
顿悟,dun'wu
多宝如来,duo'bao'ru'lai
多财鬼,duo'cai'gui
多生,duo'sheng
多闻第一,duo'wen'di'yi
多闻坚固,duo'wen'jian'gu
多闻天,duo'wen'tian
恶报,e'bao
恶道,e'dao
饿鬼,e'gui
饿鬼道,e'gui'dao
饿鬼界,e'gui'jie
饿鬼趣,e'gui'qu
恶鬼神,e'gui'shen
饿鬼因,e'gui'yin
恶果,e'guo
恶见,e'jian
恶觉,e'jue
恶口,e'kou
恶露,e'lu
峨眉山,e'mei'shan
阿弥陀佛,e'mi'tuo'fo
阿弥陀佛三名,e'mi'tuo'fo'san'ming
恶魔,e'mo
恶趣,e'qu
恶取空,e'qu'kong
恶性,e'xing
恶行,e'xing
恶业,e'ye
恶因,e'yin
恶缘,e'yuan
恶知识,e'zhi'shi
恩爱,en'ai
恩爱河,en'ai'he
恩田,en'tian
二爱,er'ai
二百五十戒,er'bai'wu'shi'jie
二报,er'bao
二边,er'bian
二边三际,er'bian'san'ji
二边中间无碍,er'bian'zhong'jian'wu'ai
二般若,er'bo're
二藏,er'cang
二禅,er'chan
二禅天,er'chan'tian
二乘,er'cheng
二持,er'chi
二答,er'da
二道,er'dao
二德,er'de
二谛,er'di
二法身,er'fa'shen
二凡,er'fan
二烦恼,er'fan'nao
二根,er'gen
耳根,er'gen
二观,er'guan
二光,er'guang
二皈戒,er'gui'jie
二果,er'guo
二行,er'hang
二和,er'he
二护,er'hu
二惑,er'huo
二际,er'ji
二见,er'jian
二教,er'jiao
二戒,er'jie
二解脱,er'jie'tuo
二觉,er'jue
二空,er'kong
二空观,er'kong'guan
二空真如,er'kong'zhen'ru
二苦,er'ku
二利,er'li
二力,er'li
二流,er'liu
二漏,er'lou
二门,er'men
二明,er'ming
二求,er'qiu
二忍,er'ren
二入,er'ru
二如,er'ru
二色身,er'se'shen
二厍士,er'she'shi
二身,er'shen
二世,er'shi
二识,er'shi
二食,er'shi
耳识,er'shi
二十八天,er'shi'ba'tian
二十部,er'shi'bu
二十二根,er'shi'er'gen
二世间,er'shi'jian
二十五神,er'shi'wu'shen
二十五有,er'shi'wu'you
二受,er'shou
二死,er'si
二檀,er'tan
二土,er'tu
二我见,er'wo'jian
二我执,er'wo'zhi
二悟,er'wu
二无常,er'wu'chang
二无记,er'wu'ji
二无我,er'wu'wo
二无我智,er'wu'wo'zhi
二心,er'xin
二修,er'xiu
二序,er'xu
二业,er'ye
二义,er'yi
二衣,er'yi
二因,er'yin
二应身,er'ying'shen
二余,er'yu
二语,er'yu
二障,er'zhang
二真如,er'zhen'ru
二证,er'zheng
二执,er'zhi
二智,er'zhi
二众,er'zhong
二种爱,er'zhong'ai
二种比丘,er'zhong'bi'qiu
二种病,er'zhong'bing
二种般若,er'zhong'bo're
二种布施,er'zhong'bu'shi
二种出家,er'zhong'chu'jia
二种佛境,er'zhong'fo'jing
二种佛土,er'zhong'fo'tu
二种供养,er'zhong'gong'yang
二种寂静,er'zhong'ji'jing
二种戒,er'zhong'jie
二种精进,er'zhong'jing'jin
二种罗汉,er'zhong'luo'han
二种涅槃,er'zhong'nie'pan
二种菩萨,er'zhong'pu'sa
二种菩萨身,er'zhong'pu'sa'shen
二种菩提心,er'zhong'pu'ti'xin
二种清净,er'zhong'qing'jing
二种三宝,er'zhong'san'bao
二种生死,er'zhong'sheng'si
二种声闻,er'zhong'sheng'wen
二种施,er'zhong'shi
二种世间,er'zhong'shi'jian
二种我见,er'zhong'wo'jian
二种心相,er'zhong'xin'xiang
二种因果,er'zhong'yin'guo
二种证,er'zhong'zheng
二种资粮,er'zhong'zi'liang
二种自在,er'zhong'zi'zai
二足,er'zu
二足尊,er'zu'zun
二罪,er'zui
法,fa
法爱,fa'ai
法报,fa'bao
法报应,fa'bao'ying
法报应化,fa'bao'ying'hua
法财,fa'cai
法尘,fa'chen
法臣,fa'chen
法处,fa'chu
