癌组织,ai'zu'zhi
粘液性乳头状囊腺瘤,nian'ye'xing'ru'tou'zhuang'nang'xian'liu
排出物,pai'chu'wu
盆腔,pen'qiang
皮赘,pi'zhui
平滑肌瘤,ping'hua'ji'liu
破碎,po'sui
破碎子宫内膜,po'sui'zi'gong'nei'mo
髂内,qia'nei
髂外,qia'wai
髂总,qia'zong
前唇,qian'chun
浅肌层,qian'ji'ceng
切缘,qie'yuan
侵及,qin'ji
趋势,qu'shi
全切标本,quan'qie'biao'ben
妊娠,ren'shen
乳头,ru'tou
乳头无殊,ru'tou'wu'shu
乳头状,ru'tou'zhuang
乳腺,ru'xian
乳腺导管扩张症,ru'xian'dao'guan'kuo'zhang'zheng
乳腺导管内乳头状瘤,ru'xian'dao'guan'nei'ru'tou'zhuang'liu
乳腺导管上皮,ru'xian'dao'guan'shang'pi
乳腺低级别导管内癌,ru'xian'di'ji'bie'dao'guan'nei'ai
乳腺改良根治标本,ru'xian'gai'liang'gen'zhi'biao'ben
乳腺高级别导管内癌,ru'xian'gao'ji'bie'dao'guan'nei'ai
乳腺浸润性导管癌,ru'xian'jin'run'xing'dao'guan'ai
乳腺浸润性小叶癌,ru'xian'jin'run'xing'xiao'ye'ai
乳腺囊性增生,ru'xian'nang'xing'zeng'sheng
乳腺腺病,ru'xian'xian'bing
乳腺纤维腺瘤,ru'xian'xian'wei'xian'liu
乳腺增生症,ru'xian'zeng'sheng'zheng
乳腺组织呈增生改变,ru'xian'zu'zhi'cheng'zeng'sheng'gai'bian
乳腺组织慢性炎,ru'xian'zu'zhi'man'xing'yan
软纤维瘤,ruan'xian'wei'liu
软疣,ruan'you
搔刮,sao'gua
上方,shang'fang
少量,shao'liang
少量破碎颈管粘膜,shao'liang'po'sui'jing'guan'nian'mo
湿疣,shi'you
湿疣样改变,shi'you'yang'gai'bian
输卵管积水,shu'luan'guan'ji'shui
输卵管结核,shu'luan'guan'jie'he
输卵管卵巢囊肿,shu'luan'guan'luan'chao'nang'zhong
输卵管慢性炎,shu'luan'guan'man'xing'yan
输卵管妊娠,shu'luan'guan'ren'shen
输卵管无殊,shu'luan'guan'wu'shu
输卵管系膜,shu'luan'guan'xi'mo
输卵管系膜中肾管囊肿,shu'luan'guan'xi'mo'zhong'shen'guan'nang'zhong
输卵管腺癌,shu'luan'guan'xian'ai
输卵管组织,shu'luan'guan'zu'zhi
双侧,shuang'ce
水泡状,shui'pao'zhuang
水泡状胎块,shui'pao'zhuang'tai'kuai
胎块,tai'kuai
苔藓,tai'xian
退变及坏变蜕膜样组织,tui'bian'ji'huai'bian'tui'mo'yang'zu'zhi
退变及坏变蜕膜组织,tui'bian'ji'huai'bian'tui'mo'zu'zhi
退变胎盘绒毛,tui'bian'tai'pan'rong'mao
退变蜕膜及绒毛,tui'bian'tui'mo'ji'rong'mao
退变蜕膜样组织,tui'bian'tui'mo'yang'zu'zhi
退变蜕膜组织,tui'bian'tui'mo'zu'zhi
退变幼胎盘组织,tui'bian'you'tai'pan'zu'zhi
蜕膜,tui'mo
蜕膜样反应,tui'mo'yang'fan'ying
蜕膜样组织,tui'mo'yang'zu'zhi
蜕膜组织,tui'mo'zu'zhi
脱落细胞学,tuo'luo'xi'bao'xue
外阴,wai'yin
完全性,wan'quan'xing
未成熟,wei'cheng'shu
未见,wei'jian
萎缩性,wei'suo'xing
萎缩性硬化性苔藓,wei'suo'xing'ying'hua'xing'tai'xian
萎缩性营养不良,wei'suo'xing'ying'yang'bu'liang
无性细胞,wu'xing'xi'bao
系膜副中肾管囊肿,xi'mo'fu'zhong'shen'guan'nang'zhong
息肉,xi'rou
息肉样改变,xi'rou'yang'gai'bian
下方,xia'fang
腺癌,xian'ai
纤维瘤,xian'wei'liu
纤维腺瘤,xian'wei'xian'liu
小叶,xiao'ye
形成趋势,xing'cheng'qu'shi
血肿,xue'zhong
腋窝淋巴结,ye'wo'lin'ba'jie
已切除,yi'qie'chu
移位,yi'wei
阴道,yin'dao
阴道壁,yin'dao'bi
阴道壁慢性炎,yin'dao'bi'man'xing'yan
阴道壁囊肿,yin'dao'bi'nang'zhong
阴道腺病,yin'dao'xian'bing
硬化性,ying'hua'xing
营养不良,ying'yang'bu'liang
右侧,you'ce
右输卵管系膜,you'shu'luan'guan'xi'mo
幼胎盘组织,you'tai'pan'zu'zhi
原位杂交,yuan'wei'za'jiao
增生过长,zeng'sheng'guo'chang
增生性营养不良,zeng'sheng'xing'ying'yang'bu'liang
支持间质细胞,zhi'chi'jian'zhi'xi'bao
支持细胞,zhi'chi'xi'bao
质硬,zhi'ying
肿块,zhong'kuai
肿块周围,zhong'kuai'zhou'wei
中肾管囊肿,zhong'shen'guan'nang'zhong
转移,zhuan'yi
子宫,zi'gong
子宫多发性平滑肌瘤,zi'gong'duo'fa'xing'ping'hua'ji'liu
子宫颈,zi'gong'jing
子宫颈粘膜慢性炎,zi'gong'jing'nian'mo'man'xing'yan
子宫内膜不典型增生,zi'gong'nei'mo'bu'dian'xing'zeng'sheng
子宫内膜呈分泌反应,zi'gong'nei'mo'cheng'fen'mi'fan'ying
子宫内膜呈蜕膜样反应,zi'gong'nei'mo'cheng'tui'mo'yang'fan'ying
子宫内膜呈增生反应,zi'gong'nei'mo'cheng'zeng'sheng'fan'ying
子宫内膜呈增生期反应,zi'gong'nei'mo'cheng'zeng'sheng'qi'fan'ying
子宫内膜间质细胞肉瘤,zi'gong'nei'mo'jian'zhi'xi'bao'rou'liu
子宫内膜浆液性腺癌,zi'gong'nei'mo'jiang'ye'xing'xian'ai
子宫内膜粘液腺癌,zi'gong'nei'mo'nian'ye'xian'ai
子宫内膜透明细胞癌,zi'gong'nei'mo'tou'ming'xi'bao'ai
子宫内膜息肉,zi'gong'nei'mo'xi'rou
子宫内膜炎,zi'gong'nei'mo'yan
子宫内膜样囊肿,zi'gong'nei'mo'yang'nang'zhong
子宫内膜样腺癌,zi'gong'nei'mo'yang'xian'ai
子宫内膜异位,zi'gong'nei'mo'yi'wei
子宫内膜异位症,zi'gong'nei'mo'yi'wei'zheng
子宫内膜增生过长,zi'gong'nei'mo'zeng'sheng'guo'chang
子宫平滑肌瘤,zi'gong'ping'hua'ji'liu
子宫腺肌病,zi'gong'xian'ji'bing
滋养细胞高度增生,zi'yang'xi'bao'gao'du'zeng'sheng
滋养细胞轻度增生,zi'yang'xi'bao'qing'du'zeng'sheng
滋养细胞中度增生,zi'yang'xi'bao'zhong'du'zeng'sheng
组化,zu'hua
组织,zu'zhi
左侧,zuo'ce
左输卵管系膜,zuo'shu'luan'guan'xi'mo
