凹陷型,ao'xian'xing
胃窦,wei'dou
胃溃疡,wei'kui'yang
胃扭转,wei'niu'zhuan
胃体,wei'ti
胃小沟,wei'xiao'gou
胃小区,wei'xiao'qu
胃小弯,wei'xiao'wan
尾叶,wei'ye
无力型,wu'li'xing
狭颈征,xia'jing'zheng
下舌段,xia'she'duan
纤维化,xian'wei'hua
线样征,xian'yang'zheng
项圈征,xiang'quan'zheng
小叶性肺炎,xiao'ye'xing'fei'yan
斜裂,xie'lie
星状瘢痕征,xing'zhuang'ban'hen'zheng
胸膜,xiong'mo
胸膜间皮瘤,xiong'mo'jian'pi'liu
胸腔,xiong'qiang
胸腔积液,xiong'qiang'ji'ye
胸上段,xiong'shang'duan
胸下段,xiong'xia'duan
胸中段,xiong'zhong'duan
袖口征,xiu'kou'zheng
血管瘤,xue'guan'liu
血行播散型肺结核,xue'hang'bo'san'xing'fei'jie'he
血红蛋白沉着症,xue'hong'dan'bai'chen'zhuo'zheng
蕈伞型,xun'san'xing
压迹,ya'ji
压力复整法,ya'li'fu'zheng'fa
炎性假瘤,yan'xing'jia'liu
叶间积液,ye'jian'ji'ye
液气胸,ye'qi'xiong
胰体,yi'ti
胰头,yi'tou
胰尾,yi'wei
硬化型,ying'hua'xing
壅积,yong'ji
右肺上叶,you'fei'shang'ye
右肺下叶,you'fei'xia'ye
右肺中叶,you'fei'zhong'ye
幽门,you'men
右上肺,you'shang'fei
右下肺,you'xia'fei
右支,you'zhi
右主支气管,you'zhu'zhi'qi'guan
羽毛状,yu'mao'zhuang
原发性肺结核,yuan'fa'xing'fei'jie'he
原发综合征,yuan'fa'zong'he'zheng
晕环征,yun'huan'zheng
早出晚归,zao'chu'wan'gui
粘连,zhan'lian
直肠闭锁,zhi'chang'bi'suo
脂肪肝,zhi'fang'gan
致密影,zhi'mi'ying
支气管肺炎,zhi'qi'guan'fei'yan
支气管气相,zhi'qi'guan'qi'xiang
指压征,zhi'ya'zheng
中央型,zhong'yang'xing
中纵隔,zhong'zong'ge
周围型,zhou'wei'xing
主动脉弓,zhu'dong'mai'gong
主动脉结,zhu'dong'mai'jie
潴留液,zhu'liu'ye
椎间隙狭窄,zhui'jian'xi'xia'zhai
纵隔,zong'ge
纵轴型,zong'zhou'xing
左肺上叶,zuo'fei'shang'ye
左肺下叶,zuo'fei'xia'ye
左上肺,zuo'shang'fei
左下肺,zuo'xia'fei
左支,zuo'zhi
左主支气管,zuo'zhu'zhi'qi'guan
