艾滋病唾液检测,ai'zi'bing'tuo'ye'jian'ce
载脂蛋白,zai'zhi'dan'bai
栽脂蛋白,zai'zhi'dan'bai
早老素,zao'lao'su
真菌镜检,zhen'jun'jing'jian
真菌培养取材,zhen'jun'pei'yang'qu'cai
脂肪酶,zhi'fang'mei
直接胆红质,zhi'jie'dan'hong'zhi
质控,zhi'kong
支原体,zhi'yuan'ti
肿瘤标记抗原,zhong'liu'biao'ji'kang'yuan
中性粒细胞碱性磷酸酶染色,zhong'xing'li'xi'bao'jian'xing'lin'suan'mei'ran'se
转肽酶,zhuan'tai'mei
总蛋白,zong'dan'bai
总胆红质,zong'dan'hong'zhi
组分区带,zu'fen'qu'dai
