阿尔丁大街,a'er'ding'da'jie
富强路,fu'qiang'lu
富强市场,fu'qiang'shi'chang
嘎查,ga'cha
改天哇,gai'tian'wa
敢定,gan'ding
敢个,gan'ge
赶交流,gan'jiao'liu
赶紧睡哇,gan'jin'shui'wa
干嘛的了,gan'ma'de'le
干嘛的呢,gan'ma'de'ne
干啥的了,gan'sha'de'le
干啥的呢,gan'sha'de'ne
干甚,gan'shen
干甚的,gan'shen'de
干甚的了,gan'shen'de'le
干甚了,gan'shen'le
干什么的了,gan'shen'me'de'le
干什么的呢,gan'shen'me'de'ne
干甚呀,gan'shen'ya
钢构件,gang'gou'jian
钢丝面,gang'si'mian
钢铁大街,gang'tie'da'jie
钢院,gang'yuan
圪堵,ge'du
个跑,ge'pao
格日勒,ge'ri'le
个踏,ge'ta
个呀,ge'ya
给你哇,gei'ni'wa
给我哇,gei'wo'wa
弓家塔,gong'jia'ta
公务素,gong'wu'su
工业路,gong'ye'lu
古城湾,gu'cheng'wan
孤的,gu'de
固阳,gu'yang
固阳的,gu'yang'de
固阳了,gu'yang'le
固阳县,gu'yang'xian
寡逼,gua'bi
寡不寡,gua'bu'gua
寡的,gua'de
挂的了,gua'de'le
褂褂,gua'gua
刮家,gua'jia
寡死了,gua'si'le
乖哄,guai'hong
管你得了,guan'ni'de'le
管求你,guan'qiu'ni
管求他,guan'qiu'ta
管他的了,guan'ta'de'le
管我得了,guan'wo'de'le
光彩街,guang'cai'jie
鬼嚼,gui'jiao
鬼迷溜眼,gui'mi'liu'yan
过个了,guo'ge'le
国际新城,guo'ji'xin'cheng
过来哇,guo'lai'wa
过起年,guo'qi'nian
哈达道,ha'da'dao
哈林格尔,ha'lin'ge'er
哈素海,ha'su'hai
哈呀,ha'ya
哈业,ha'ye
哈业胡同,ha'ye'hu'tong
海勃湾,hai'bo'wan
海勃湾区,hai'bo'wan'qu
还凑乎,hai'cou'hu
海东路,hai'dong'lu
还好哇,hai'hao'wa
还看的呢,hai'kan'de'ne
海南区,hai'nan'qu
还睡得了,hai'shui'de'le
还睡的呢,hai'shui'de'ne
还玩的呢,hai'wan'de'ne
海威小区,hai'wei'xiao'qu
还行哇,hai'xing'wa
还有谁了,hai'you'shui'le
还在包头,hai'zai'bao'tou
杭锦后旗,hang'jin'hou'qi
杭锦旗,hang'jin'qi
好狗的,hao'gou'de
好寡,hao'gua
好好涮,hao'hao'shuan
好好学哇,hao'hao'xue'wa
好后生,hao'hou'sheng
号街坊,hao'jie'fang
豪门盛宴,hao'men'sheng'yan
好女女,hao'nv'nv
好亲呀,hao'qin'ya
河槽,he'cao
喝酒的了,he'jiu'de'le
和林格尔,he'lin'ge'er
和你找,he'ni'zhao
和平村,he'ping'cun
和平新苑,he'ping'xin'yuan
河套王,he'tao'wang
和我找,he'wo'zhao
喝药没,he'yao'mei
和爷,he'ye
黑豆地,hei'dou'di
黑个蛋,hei'ge'dan
黑柳子,hei'liu'zi
红火,hong'huo
红火了,hong'huo'le
哄娃娃,hong'wa'wa
呼包鄂,hu'bao'e
呼得木林,hu'de'mu'lin
呼和,hu'he
呼和浩特,hu'he'hao'te
呼和浩特市,hu'he'hao'te'shi
呼市,hu'shi
呼市的,hu'shi'de
呼市了,hu'shi'le
呼市呢,hu'shi'ne
呼市人,hu'shi'ren
呼铁局,hu'tie'ju
呼职,hu'zhi
华丽家族,hua'li'jia'zu
花苑园,hua'yuan'yuan
欢乐牧场,huan'le'mu'chang
黄河大街,huang'he'da'jie
黄河大桥,huang'he'da'qiao
黄花沟,huang'hua'gou
回包,hui'bao
回包头,hui'bao'tou
回包头了,hui'bao'tou'le
回不个,hui'bu'ge
烩菜,hui'cai
回东河,hui'dong'he
回东胜,hui'dong'sheng
回个啦,hui'ge'la
回个了,hui'ge'le
回个么,hui'ge'me
回个没,hui'ge'mei
灰个跑,hui'ge'pao
回个呀,hui'ge'ya
回固阳,hui'gu'yang
灰猴,hui'hou
回呼市,hui'hu'shi
回集宁,hui'ji'ning
回家不了,hui'jia'bu'liao
回家哇,hui'jia'wa
回来了哇,hui'lai'le'wa
回来哇,hui'lai'wa
回来呀不,hui'lai'ya'bu
回了哇,hui'le'wa
回临河,hui'lin'he
回民区,hui'min'qu
回去哇,hui'qu'wa
回时候,hui'shi'hou
灰说,hui'shuo
烩酸菜,hui'suan'cai
回乌海,hui'wu'hai
回呀哇,hui'ya'wa
活的不,huo'de'bu
活的不了,huo'de'bu'liao
记得不了,ji'de'bu'le
集宁,ji'ning
集宁的,ji'ning'de
集宁了,ji'ning'le
集宁南,ji'ning'nan
集宁区,ji'ning'qu
家呆的,jia'dai'de
夹蛋饼,jia'dan'bing
甲尔坝,jia'er'ba
家了哇,jia'le'wa
假期工,jia'qi'gong
假期红,jia'qi'hong
夹肉饼,jia'rou'bing
加州郡府,jia'zhou'jun'fu
建华路,jian'hua'lu
将军尧,jiang'jun'yao
嚼毛,jiao'mao
叫啥啦,jiao'sha'la
借不上,jie'bu'shang
街坊,jie'fang
金骆驼,jin'luo'tuo
金迈圆,jin'mai'yuan
金荣建材城,jin'rong'jian'cai'cheng
金山镇,jin'shan'zhen
今天是不,jin'tian'shi'bu
就包头,jiu'bao'tou
旧饭,jiu'fan
九峰山,jiu'feng'shan
九合,jiu'he
就家,jiu'jia
就是说了哇,jiu'shi'shuo'le'wa
就睡哇,jiu'shui'wa
就说了哇,jiu'shuo'le'wa
就说呢哇,jiu'shuo'ne'wa
九原,jiu'yuan
九原区,jiu'yuan'qu
就在包头,jiu'zai'bao'tou
就坐的,jiu'zuo'de
巨海城,ju'hai'cheng
绝逼了,jue'bi'le
开河鱼,kai'he'yu
开会的了,kai'hui'de'le
凯斯,kai'si
看的看的,kan'de'kan'de
看电视得了,kan'dian'shi'de'le
看对的,kan'dui'de
看个哇,kan'ge'wa
看了哇,kan'le'wa
看你哇,kan'ni'wa
看甚了,kan'shen'le
看哇,kan'wa
看爷,kan'ye
康巴神,kang'ba'shen
康巴什,kang'ba'shi
抗冲击,kang'chong'ji
康乐小区,kang'le'xiao'qu
考车本,kao'che'ben
考好么,kao'hao'me
考好没,kao'hao'mei
科大的,ke'da'de
可大呢,ke'da'ne
可多呢,ke'duo'ne
可乖呢,ke'guai'ne
可好看呢,ke'hao'kan'ne
可好呢,ke'hao'ne
课活,ke'huo
可怜死啦,ke'lian'si'la
可亲了,ke'qin'le
可亲呢,ke'qin'ne
科三,ke'san
可想呢,ke'xiang'ne
科学路,ke'xue'lu
肯定哇,ken'ding'wa
库布其,ku'bu'qi
酷乐迪,ku'le'di
快表,kuai'biao
快别了,kuai'bie'le
快别去了,kuai'bie'qu'le
快不说了,kuai'bu'shuo'le
快不要,kuai'bu'yao
快回来哇,kuai'hui'lai'wa
快来哇,kuai'lai'wa
快乐迪,kuai'le'di
快了哇,kuai'le'wa
快你妈,kuai'ni'ma
快去哇,kuai'qu'wa
快睡哇,kuai'shui'wa
快睡呀,kuai'shui'ya
快死呀,kuai'si'ya
快算啦,kuai'suan'la
快算了,kuai'suan'le
快行啦,kuai'xing'la
快行了,kuai'xing'le
快行了吧,kuai'xing'le'ba
快行了哇,kuai'xing'le'wa
快运通,kuai'yun'tong
昆都仑,kun'du'lun
昆都仑区,kun'du'lun'qu
昆区,kun'qu
昆区的,kun'qu'de
昆区了,kun'qu'le
拉到哇,la'dao'wa
辣鸭头,la'ya'tou
来包头,lai'bao'tou
来包头吧,lai'bao'tou'ba
来包头了,lai'bao'tou'le
来东河,lai'dong'he
来东胜,lai'dong'sheng
来呼市,lai'hu'shi
来内蒙,lai'nei'meng
来青山,lai'qing'shan
来哇么,lai'wa'me
来乌海,lai'wu'hai
来呀不,lai'ya'bu
老包头,lao'bao'tou
老点子,lao'dian'zi
劳动公园,lao'dong'gong'yuan
老个泡,lao'ge'pao
老虎山,lao'hu'shan
老毛驴,lao'mao'lv
老牛湾,lao'niu'wan
老鼠街,lao'shu'jie
老味道,lao'wei'dao
老橡树,lao'xiang'shu
老也老了,lao'ye'lao'le
乐厨,le'chu
了亲了,le'qin'le
了哇,le'wa
累坏呀,lei'huai'ya
累了哇,lei'le'wa
累死呀,lei'si'ya
楞的,leng'de
楞货,leng'huo
冷了哇,leng'le'wa
愣求,leng'qiu
厉害了哇,li'hai'le'wa
礼仪公司,li'yi'gong'si
联邦置业,lian'bang'zhi'ye
联系哇,lian'xi'wa
聊的了,liao'de'le
临河,lin'he
蔺瑞锋,lin'rui'feng
林荫路,lin'yin'lu
留啥了,liu'sha'le
六医院,liu'yi'yuan
六合成,lu'he'cheng
鹿景苑,lu'jing'yuan
鹿鸣苑,lu'ming'yuan
鹿王,lu'wang
乱不成,luan'bu'cheng
吕祖庙,lv'zu'miao
麻池,ma'chi
麻烦了才,ma'fan'le'cai
麻烦死我了,ma'fan'si'wo'le
马家私房面,ma'jia'si'fang'mian
马囚犯,ma'qiu'fan
买了哇,mai'le'wa
麦莎,mai'sha
买上啦,mai'shang'la
买上没,mai'shang'mei
满达,man'da
忙的不,mang'de'bu
忙的了,mang'de'le
忙的呢,mang'de'ne
忙开了,mang'kai'le
忙了不,mang'le'bu
忙了哇,mang'le'wa
忙啥的了,mang'sha'de'le
忙甚,mang'shen
忙甚了,mang'shen'le
毛虎,mao'hu
毛躁了,mao'zao'le
么非,me'fei
么哇,me'wa
么做的,me'zuo'de
美岸华庭,mei'an'hua'ting
没出个,mei'chu'ge
美岱,mei'dai
没带要,mei'dai'yao
美岱召,mei'dai'zhao
美好家,mei'hao'jia
没回我一绝,mei'hui'wo'yi'jue
美爵士,mei'jue'shi
没看对,mei'kan'dui
没了哇,mei'le'wa
梅力更,mei'li'geng
没呢哇,mei'ne'wa
没钱哇,mei'qian'wa
没事哇,mei'shi'wa
每天累的,mei'tian'lei'de
每天忙的,mei'tian'mang'de
没哇,mei'wa
没做的,mei'zuo'de
焖面,men'mian
蒙餐,meng'can
蒙大,meng'da
蒙古袍,meng'gu'pao
蒙泰,meng'tai
蒙校,meng'xiao
蒙医院,meng'yi'yuan
面壳子,mian'ke'zi
民族东路,min'zu'dong'lu
民族西路,min'zu'xi'lu
明日星城,ming'ri'xing'cheng
明天多会,ming'tian'duo'hui
明天哇,ming'tian'wa
名烟名酒,ming'yan'ming'jiu
莫尼路,mo'ni'lu
没收见,mo'shou'jian
那达慕,na'da'mu
哪的啦,na'de'la
哪的了,na'de'le
那点人,na'dian'ren
那多会,na'duo'hui
那多会儿,na'duo'hui'er
那二年,na'er'nian
那烦死啦,na'fan'si'la
那烦死我了,na'fan'si'wo'le
那个女女,na'ge'nv'nv
那好哇,na'hao'wa
那就睡哇,na'jiu'shui'wa
那肯定哇,na'ken'ding'wa
那俩天,na'lia'tian
那你吃啥呀,na'ni'chi'sha'ya
那你多会,na'ni'duo'hui
那你多会儿,na'ni'duo'hui'er
那你看哇,na'ni'kan'wa
那你来哇,na'ni'lai'wa
那你忙哇,na'ni'mang'wa
那你去哪呀,na'ni'qu'na'ya
那你是不,na'ni'shi'bu
那你睡哇,na'ni'shui'wa
那你咋呀,na'ni'za'ya
那日苏,na'ri'su
那是不,na'shi'bu
那睡哇,na'shui'wa
那我等你的,na'wo'deng'ni'de
那我去呀,na'wo'qu'ya
那我是不,na'wo'shi'bu
那我睡呀,na'wo'shui'ya
那咋接,na'za'jie
那咋闹,na'za'nao
那咋呀,na'za'ya
乃就,nai'jiu
乃求货,nai'qiu'huo
南茶坊,nan'cha'fang
南圪洞,nan'ge'dong
南海公园,nan'hai'gong'yuan
南海子,nan'hai'zi
南豪,nan'hao
南排道,nan'pai'dao
南绕城,nan'rao'cheng
难受不了,nan'shou'bu'liao
脑包,nao'bao
闹不机密,nao'bu'ji'mi
闹不住,nao'bu'zhu
闹不住了,nao'bu'zhu'le
闹错了,nao'cuo'le
恼的,nao'de
淖尔,nao'er
闹甚了,nao'shen'le
闹呀,nao'ya
闹一个,nao'yi'ge
内财,nei'cai
内大,nei'da
内工大,nei'gong'da
内会儿,nei'hui'er
内科大,nei'ke'da
内蒙包头,nei'meng'bao'tou
内蒙的,nei'meng'de
内蒙古,nei'meng'gu
内蒙古包头,nei'meng'gu'bao'tou
内蒙古包头市,nei'meng'gu'bao'tou'shi
内蒙古大学,nei'meng'gu'da'xue
内蒙古的,nei'meng'gu'de
内蒙古工业大学,nei'meng'gu'gong'ye'da'xue
内蒙古科技,nei'meng'gu'ke'ji
内蒙古科技大学,nei'meng'gu'ke'ji'da'xue
内蒙古哦,nei'meng'gu'o
内蒙古师范大学,nei'meng'gu'shi'fan'da'xue
内蒙古移动,nei'meng'gu'yi'dong
内蒙古自治区,nei'meng'gu'zi'zhi'qu
内蒙呢,nei'meng'ne
内蒙人,nei'meng'ren
内蒙医院,nei'meng'yi'yuan
内师大,nei'shi'da
能了,neng'le
能了哇,neng'le'wa
能了呀,neng'le'ya
能蒙古,neng'meng'gu
能呢哇,neng'ne'wa
能行不了,neng'xing'bu'le
能咋了,neng'za'le
能找见,neng'zhao'jian
能知道了,neng'zhi'dao'le
你包头,ni'bao'tou
你才是了,ni'cai'shi'le
你吃啥呀,ni'chi'sha'ya
你吃哇,ni'chi'wa
你吃早点,ni'chi'zao'dian
你带要,ni'dai'yao
你到知道,ni'dao'zhi'dao
你的哇,ni'de'wa
你电话多少了,ni'dian'hua'duo'shao'le
你多会儿,ni'duo'hui'er
你多会回来,ni'duo'hui'hui'lai
你多会回来呀,ni'duo'hui'hui'lai'ya
你多会睡,ni'duo'hui'shui
你多会走,ni'duo'hui'zou
你干嘛的了,ni'gan'ma'de'le
你干嘛的呢,ni'gan'ma'de'ne
你干啥的了,ni'gan'sha'de'le
你干啥的呢,ni'gan'sha'de'ne
你干甚,ni'gan'shen
你干甚的了,ni'gan'shen'de'le
你干甚了,ni'gan'shen'le
你干什么的了,ni'gan'shen'me'de'le
你敢是,ni'gan'shi
你个跑,ni'ge'pao
你给爷,ni'gei'ye
你过来哇,ni'guo'lai'wa
你家在哪了,ni'jia'zai'na'le
你叫啥啦,ni'jiao'sha'la
你叫啥了,ni'jiao'sha'le
你看了哇,ni'kan'le'wa
你看哇,ni'kan'wa
你快不要,ni'kuai'bu'yao
你快睡哇,ni'kuai'shui'wa
你快行了,ni'kuai'xing'le
你来包头,ni'lai'bao'tou
你来哇,ni'lai'wa
你了哇,ni'le'wa
你麻烦不,ni'ma'fan'bu
你忙哇,ni'mang'wa
你没事哇,ni'mei'shi'wa
你们多会,ni'men'duo'hui
你们多会儿,ni'men'duo'hui'er
你们是不,ni'men'shi'bu
你哪的了,ni'na'de'le
你哪了,ni'na'le
你你妈,ni'ni'ma
你去呼市,ni'qu'hu'shi
你去哪呀,ni'qu'na'ya
你人家,ni'ren'jia
你是包头,ni'shi'bao'tou
你是不,ni'shi'bu
你是不就,ni'shi'bu'jiu
你是不觉得,ni'shi'bu'jue'de
你是不困了,ni'shi'bu'kun'le
你是不傻,ni'shi'bu'sha
你是不以为,ni'shi'bu'yi'wei
你是不又,ni'shi'bu'you
你是不有病,ni'shi'bu'you'bing
你是哪的了,ni'shi'na'de'le
你是谁啦,ni'shi'shui'la
你谁啦,ni'shui'la
你谁了,ni'shui'le
你睡哇,ni'shui'wa
你睡呀,ni'shui'ya
你说了哇,ni'shuo'le'wa
你说甚,ni'shuo'shen
你说甚了,ni'shuo'shen'le
你说哇,ni'shuo'wa
你死呀,ni'si'ya
你哇不是,ni'wa'bu'shi
你玩哇,ni'wan'wa
你问哇,ni'wen'wa
你先玩的,ni'xian'wan'de
你也睡哇,ni'ye'shui'wa
你也说了哇,ni'ye'shuo'le'wa
你也说呢,ni'ye'shuo'ne
你也说呢哇,ni'ye'shuo'ne'wa
你也早点睡哇,ni'ye'zao'dian'shui'wa
你咋接,ni'za'jie
你咋呀,ni'za'ya
你在包头,ni'zai'bao'tou
你在不了,ni'zai'bu'liao
你在呼市,ni'zai'hu'shi
你早点睡哇,ni'zao'dian'shui'wa
你找不,ni'zhao'bu
你找上,ni'zhao'shang
你这每天,ni'zhe'mei'tian
你真亲,ni'zhen'qin
你自己看哇,ni'zi'ji'kan'wa
你作甚得了,ni'zuo'shen'de'le
念的了,nian'de'le
年个跑,nian'ge'pao
念呀,nian'ya
酿皮,niang'pi
宁鹿,ning'lu
牛了哇,niu'le'wa
农砍,nong'kan
农牧业,nong'mu'ye
弄哇,nong'wa
诺宝,nuo'bao
诺曼琦,nuo'man'qi
女的哇,nv'de'wa
女女了,nv'nv'le
欧风丽景,ou'feng'li'jing
怕了哇,pa'le'wa
怕甚了,pa'shen'le
排块,pai'kuai
派派乐,pai'pai'le
跑肚,pao'du
撇妹子,pie'mei'zi
撇呢,pie'ne
撇女女,pie'nv'nv
旗长,qi'chang
其木格,qi'mu'ge
棋盘井,qi'pan'jing
其其格,qi'qi'ge
气死呀,qi'si'ya
旗委,qi'wei
旗下营,qi'xia'ying
旗县区,qi'xian'qu
七星湖,qi'xing'hu
起呀,qi'ya
七医院,qi'yi'yuan
恰特,qia'te
前进道,qian'jin'dao
前口子,qian'kou'zi
千里山,qian'li'shan
前帘,qian'lian
前旗,qian'qi
巧虎成长版,qiao'hu'cheng'chang'ban
乔家金街,qiao'jia'jin'jie
乔力一,qiao'li'yi
亲蛋,qin'dan
亲蛋儿,qin'dan'er
亲疙瘩,qin'ge'da
亲个蛋,qin'ge'dan
亲个到,qin'ge'dao
亲死啦,qin'si'la
亲死了,qin'si'le
青东,qing'dong
青东路,qing'dong'lu
青年农场,qing'nian'nong'chang
青山,qing'shan
青山的,qing'shan'de
青山店,qing'shan'dian
青山了,qing'shan'le
青山路,qing'shan'lu
青山呢,qing'shan'ne
青山区,qing'shan'qu
青松小区,qing'song'xiao'qu
青一百,qing'yi'bai
球迷杏眼,qiu'mi'xing'yan
求骗,qiu'pian
求也,qiu'ye
去包百,qu'bao'bai
去包头,qu'bao'tou
去草原,qu'cao'yuan
去东河,qu'dong'he
去东胜,qu'dong'sheng
去故事,qu'gu'shi
去固阳,qu'gu'yang
去呼市,qu'hu'shi
去黄河,qu'huang'he
去集宁,qu'ji'ning
去昆曲,qu'kun'qu
去了哇,qu'le'wa
去临河,qu'lin'he
去呢哇,qu'ne'wa
去青山,qu'qing'shan
取上,qu'shang
去死哇,qu'si'wa
去哇,qu'wa
去哇去哇,qu'wa'qu'wa
去乌海,qu'wu'hai
取心,qu'xin
