百家争鸣,bai'jia'zheng'ming
乐其道而忘人之势,le'qi'dao'er'wang'ren'zhi'shi
离娄,li'lou
梁惠王,liang'hui'wang
梁列国,liang'lie'guo
鲁国邹人,lu'guo'zou'ren
论观点,lun'guan'dian
忙于战争,mang'yu'zhan'zheng
没有得到,mei'you'dei'dao
孟轲所如不合,meng'ke'suo'ru'bu'he
孟母,meng'mu
孟母教子甚严,meng'mu'jiao'zi'shen'yan
孟孙氏,meng'sun'shi
孟荀列传,meng'xun'lie'zhuan
孟子被加封为,meng'zi'bei'jia'feng'wei
孟子的地位,meng'zi'de'di'wei
孟子的弟子,meng'zi'de'di'zi
孟子的仁政学说被认为是,meng'zi'de'ren'zheng'xue'shuo'bei'ren'wei'shi
孟子的言行笔带锋芒,meng'zi'de'yan'xing'bi'dai'feng'mang
孟子概述,meng'zi'gai'shu
孟子继承,meng'zi'ji'cheng
孟子继承和发展了孔子的,meng'zi'ji'cheng'he'fa'zhan'le'kong'zi'de
孟子生卒年,meng'zi'sheng'zu'nian
孟子是,meng'zi'shi
孟子师承子思,meng'zi'shi'cheng'zi'si
孟子维护并发展了,meng'zi'wei'hu'bing'fa'zhan'le
孟子学说理论,meng'zi'xue'shuo'li'lun
孟子远祖,meng'zi'yuan'zu
孟子曰,meng'zi'yue
孟子站在,meng'zi'zhan'zai
孟子周游齐,meng'zi'zhou'you'qi
孟子著有,meng'zi'zhu'you
名轲,ming'ke
名人简介,ming'ren'jian'jie
名言解说,ming'yan'jie'shuo
莫非命也,mo'fei'ming'ye
南宋时,nan'song'shi
南宋朱熹,nan'song'zhu'xi
篇目为,pian'mu'wei
贫贱不能改我志向,pin'jian'bu'neng'gai'wo'zhi'xiang
其编定者,qi'bian'ding'zhe
七篇传世,qi'pian'chuan'shi
其思想与,qi'si'xiang'yu
齐魏诸国,qi'wei'zhu'guo
其主要主张有,qi'zhu'yao'zhu'zhang'you
迁地教子,qian'di'jiao'zi
强恕而行,qiang'shu'er'xing
求仁莫近焉,qiu'ren'mo'jin'yan
求在外者也,qiu'zai'wai'zhe'ye
求在我者也,qiu'zai'wo'zhe'ye
求则得之,qiu'ze'dei'zhi
求之有道,qiu'zhi'you'dao
人不可以无耻,ren'bu'ke'yi'wu'chi
儒家立场,ru'jia'li'chang
儒家思想,ru'jia'si'xiang
儒学大师,ru'xue'da'shi
三断机杼,san'duan'ji'zhu
散文专集,san'wen'zhuan'ji
舍则失之,she'ze'shi'zhi
升格运动,sheng'ge'yun'dong
师承自,shi'cheng'zi
是故知命者不立乎岩墙之下,shi'gu'zhi'ming'zhe'bu'li'hu'yan'qiang'zhi'xia
是鲁国贵族,shi'lu'guo'gui'zu
是求无益于得也,shi'qiu'wu'yi'yu'de'ye
是求有益于得也,shi'qiu'you'yi'yu'de'ye
是先秦,shi'xian'qin
实行的机会,shi'xing'de'ji'hui
述仲尼之意,shu'zhong'ni'zhi'yi
顺受其正,shun'shou'qi'zheng
司马迁认为,si'ma'qian'ren'wei
思想体系,si'xiang'ti'xi
宋代以前,song'dai'yi'qian
所以立命也,suo'yi'li'ming'ye
所以事天也,suo'yi'shi'tian'ye
他把,ta'ba
他的老师是,ta'de'lao'shi'shi
他的理论,ta'de'li'lun
他的母亲,ta'de'mu'qin
他的思想,ta'de'si'xiang
滕文公,teng'wen'gong
提出一套完整的,ti'chu'yi'tao'wan'zheng'de
退与万章之徒序,tui'yu'wan'zhang'zhi'tu'xu
万物皆备于我矣,wan'wu'jie'bei'yu'wo'yi
万章,wan'zhang
王道,wang'dao
为机变之巧者,wei'ji'bian'zhi'qiao'zhe
为了给他,wei'le'gei'ta
为孟轲自撰,wei'meng'ke'zi'zhuan
为儒家经典之一性善论是,wei'ru'jia'jing'dian'zhi'yi'xing'shan'lun'shi
威武不能变我气节,wei'wu'bu'neng'bian'wo'qi'jie
唯一继承孔子,wei'yi'ji'cheng'kong'zi
未有盛于孔子也,wei'you'sheng'yu'kong'zi'ye
无耻矣,wu'chi'yi
无耻之耻,wu'chi'zhi'chi
无所用耻焉,wu'suo'yong'chi'yan
昔孟母,xi'meng'mu
熙宁四年一书首次,xi'ning'si'nian'yi'shu'shou'ci
习矣而不察焉,xi'yi'er'bu'cha'yan
先秦儒家中,xian'qin'ru'jia'zhong
行之而不著焉,xing'zhi'er'bu'zhu'yan
修身以俟之,xiu'shen'yi'si'zhi
宣传先王之道,xuan'chuan'xian'wang'zhi'dao
学说和,xue'shuo'he
学习环境,xue'xi'huan'jing
亚圣公,ya'sheng'gong
养其性,yang'qi'xing
杨朱墨翟之言盈天下,yang'zhu'mo'di'zhi'yan'ying'tian'xia
要成为一个,yao'cheng'wei'yi'ge
殀寿不贰,yao'shou'bu'er
一代儒家宗师,yi'dai'ru'jia'zong'shi
一个好的,yi'ge'hao'de
以后就称为,yi'hou'jiu'cheng'wei
以缓和阶级矛盾,yi'huan'he'jie'ji'mao'dun
一说是,yi'shuo'shi
一直是科举,yi'zhi'shi'ke'ju
影响很大,ying'xiang'hen'da
游说他的,you'shui'ta'de
与孔子并称为,yu'kong'zi'bing'cheng'wei
寓言故事,yu'yan'gu'shi
迂远而阔于事情,yu'yuan'er'kuo'yu'shi'qing
元朝至顺元年,yuan'chao'zhi'shun'yuan'nian
约前,yue'qian
在孟子生活的时代,zai'meng'zi'sheng'huo'de'shi'dai
在孟子小的时候,zai'meng'zi'xiao'de'shi'hou
则不得亟见之,ze'bu'de'ji'jian'zhi
择邻处,ze'lin'chu
则知天矣,ze'zhi'tian'yi
增强说服力,zeng'qiang'shuo'fu'li
战国时期的思想家,zhan'guo'shi'qi'de'si'xiang'jia
战国时期儒家代表人物,zhan'guo'shi'qi'ru'jia'dai'biao'ren'wu
战国中期,zhan'guo'zhong'qi
这三者,zhe'san'zhe
真正的豪杰,zhen'zheng'de'hao'jie
正命也,zheng'ming'ye
直到清末,zhi'dao'qing'mo
治国思想,zhi'guo'si'xiang
知其性,zhi'qi'xing
知其性也,zhi'qi'xing'ye
中国古代著名思想家,zhong'guo'gu'dai'zhu'ming'si'xiang'jia
中国儒家,zhong'guo'ru'jia
终身由之而不知其道者,zhong'shen'you'zhi'er'bu'zhi'qi'dao'zhe
众也,zhong'ye
诸侯各国,zhu'hou'ge'guo
朱熹将,zhu'xi'jiang
自韩愈的,zi'han'yu'de
自生民以来,zi'sheng'min'yi'lai
子思,zi'si
子思的学生,zi'si'de'xue'sheng
子舆,zi'yu
邹国三岁丧父,zou'guo'san'sui'sang'fu
最后退居讲学,zui'hou'tui'ju'jiang'xue
最主要的,zui'zhu'yao'de
