哀而不伤,ai'er'bu'shang
博学于文,bo'xue'yu'wen
伯夷叔,bo'yi'shu
伯夷叔齐饿于首阳之下,bo'yi'shu'qi'e'yu'shou'yang'zhi'xia
伯夷叔齐与,bo'yi'shu'qi'yu
不拜,bu'bai
不保其往也,bu'bao'qi'wang'ye
不病人之不己知也,bu'bing'ren'zhi'bu'ji'zhi'ye
不撤姜食,bu'che'jiang'shi
不成人之恶,bu'cheng'ren'zhi'e
不处也,bu'chu'ye
不达,bu'da
不得,bu'de
不得大葬,bu'de'da'zang
不得其酱,bu'de'qi'jiang
不得其死然,bu'de'qi'si'ran
不得与之言,bu'de'yu'zhi'yan
不得中行而与之,bu'de'zhong'hang'er'yu'zhi
不多也,bu'duo'ye
不贰过,bu'er'guo
不悱不发,bu'fei'bu'fa
不愤不启,bu'fen'bu'qi
不敢不告也,bu'gan'bu'gao'ye
不敢尝,bu'gan'chang
不好犯上,bu'hao'fan'shang
不恒其德,bu'heng'qi'de
不患寡,bu'huan'gua
不患莫己知,bu'huan'mo'ji'zhi
不患贫而患不安,bu'huan'pin'er'huan'bu'an
不患人之不己知,bu'huan'ren'zhi'bu'ji'zhi
不患无位,bu'huan'wu'wei
不几乎一言而,bu'ji'hu'yi'yan'er
不几乎一言而兴邦乎,bu'ji'hu'yi'yan'er'xing'bang'hu
不及乱,bu'ji'luan
不疾言,bu'ji'yan
不践迹,bu'jian'ji
不见宗庙之美,bu'jian'zong'miao'zhi'mei
不教而杀谓之虐,bu'jiao'er'sha'wei'zhi'nue
不戒视成谓之暴,bu'jie'shi'cheng'wei'zhi'bao
不敬,bu'jing
不可,bu'ke
不可不知也,bu'ke'bu'zhi'ye
不可废也,bu'ke'fei'ye
不可好从事而亟失时,bu'ke'hao'cong'shi'er'ji'shi'shi
不可弃也,bu'ke'qi'ye
不可使知之,bu'ke'shi'zhi'zhi
不可徒行也,bu'ke'tu'xing'ye
不可罔也,bu'ke'wang'ye
不可陷也,bu'ke'xian'ye
不可以长处乐,bu'ke'yi'chang'chu'le
不可以为滕薛大夫,bu'ke'yi'wei'teng'xue'dai'fu
不可以语上也,bu'ke'yi'yu'shang'ye
不可以作巫医,bu'ke'yi'zuo'wu'yi
不可与言而与之言,bu'ke'yu'yan'er'yu'zhi'yan
不可则止,bu'ke'ze'zhi
不令而行,bu'ling'er'xing
不谋其政,bu'mou'qi'zheng
不能,bu'neng
不能死,bu'neng'si
不能以礼让为国,bu'neng'yi'li'rang'wei'guo
不能用也,bu'neng'yong'ye
不能者止,bu'neng'zhe'zhi
不能正其身,bu'neng'zheng'qi'shen
不能专对,bu'neng'zhuan'dui
不逆诈,bu'ni'zha
不其,bu'qi
布齐必变食,bu'qi'bi'bian'shi
不迁怒,bu'qian'nu
不亲指,bu'qin'zhi
不取乎,bu'qu'hu
不去也,bu'qu'ye
不然,bu'ran
不仁者不可以久处约,bu'ren'zhe'bu'ke'yi'jiu'chu'yue
不仁者远矣,bu'ren'zhe'yuan'yi
不如好之者,bu'ru'hao'zhi'zhe
不辱君命,bu'ru'jun'ming
不如乐之者,bu'ru'le'zhi'zhe
不辱其身,bu'ru'qi'shen
不如仁人,bu'ru'ren'ren
不如是之甚也,bu'ru'shi'zhi'shen'ye
不如学也,bu'ru'xue'ye
不如诸夏之亡也,bu'ru'zhu'xia'zhi'wang'ye
不善不能改,bu'shan'bu'neng'gai
不舍昼夜,bu'she'zhou'ye
不食,bu'shi
不时,bu'shi
不使不仁者加乎其身,bu'shi'bu'ren'zhe'jia'hu'qi'shen
不使大臣怨乎不以,bu'shi'da'chen'yuan'hu'bu'yi
不使胜食气,bu'shi'sheng'shi'qi
不仕无义,bu'shi'wu'yi
不食之矣,bu'shi'zhi'yi
不说也,bu'shuo'ye
不俟驾行矣,bu'si'jia'xing'yi
不宿肉,bu'su'rou
不图为乐之至于斯也,bu'tu'wei'le'zhi'zhi'yu'si'ye
不违,bu'wei
不为酒困,bu'wei'jiu'kun
不问马,bu'wen'ma
不吾知也如或知尔,bu'wu'zhi'ye'ru'huo'zhi'er
不贤者识其小者,bu'xian'zhe'shi'qi'xiao'zhe
不降其志,bu'xiang'qi'zhi
不相为谋,bu'xiang'wei'mou
不笑,bu'xiao
不幸短命死矣,bu'xing'duan'ming'si'yi
不行焉,bu'xing'yan
不学礼,bu'xue'li
不学诗,bu'xue'shi
不以兵车,bu'yi'bing'che
不亿不信,bu'yi'bu'xin
不易得也,bu'yi'de'ye
不义而富且贵,bu'yi'er'fu'qie'gui
不亦君子乎,bu'yi'jun'zi'hu
不亦可乎,bu'yi'ke'hu
不亦乐乎,bu'yi'le'hu
不以礼节之,bu'yi'li'jie'zhi
不以其道得之,bu'yi'qi'dao'de'zhi
不以人废言,bu'yi'ren'fei'yan
不亦善乎,bu'yi'shan'hu
不亦宜乎,bu'yi'yi'hu
不亦远乎,bu'yi'yuan'hu
不亦说乎,bu'yi'yue'hu
不亦重乎,bu'yi'zhong'hu
不有博弈者乎,bu'you'bo'yi'zhe'hu
不忧不惧,bu'you'bu'ju
不尤人,bu'you'ren
不有祝鮀之佞,bu'you'zhu'tuo'zhi'ning
不逾矩,bu'yu'ju
不与其退也,bu'yu'qi'tui'ye
不怨天,bu'yuan'tian
不远游,bu'yuan'you
不曰白乎,bu'yue'bai'hu
不曰坚乎,bu'yue'jian'hu
不曰如之何,bu'yue'ru'zhi'he
不在其位,bu'zai'qi'wei
不在颛臾,bu'zai'zhuan'yu
不占而已矣,bu'zhan'er'yi'yi
不忮不求,bu'zhi'bu'qiu
不知老之将至云尔,bu'zhi'lao'zhi'jiang'zhi'yun'er
不知礼,bu'zhi'li
不知命,bu'zhi'ming
不知其可也,bu'zhi'qi'ke'ye
不知为不知,bu'zhi'wei'bu'zhi
不知言,bu'zhi'yan
不知也,bu'zhi'ye
不至于谷,bu'zhi'yu'gu
不庄,bu'zhuang
不足以为士矣,bu'zu'yi'wei'shi'yi
不坐,bu'zuo
才不才,cai'bu'cai
才难,cai'nan
参乎,can'hu
参也鲁,can'ye'lu
草上之风,cao'shang'zhi'feng
策其马曰,ce'qi'ma'yue
曾是以为,ceng'shi'yi'wei
曾谓泰山不如林放乎,ceng'wei'tai'shan'bu'ru'lin'fang'hu
曾皙后,ceng'xi'hou
曾皙曰,ceng'xi'yue
曾由,ceng'you
察其所安,cha'qi'suo'an
察言而观色,cha'yan'er'guan'se
柴也愚,chai'ye'yu
襜如也,chan'ru'ye
谄也,chan'ye
尝独立,chang'du'li
长而无述焉,chang'er'wu'shu'yan
长沮桀溺耦而耕,chang'ju'jie'ni'ou'er'geng
长沮曰,chang'ju'yue
常师之有,chang'shi'zhi'you
长一身有半,chang'yi'shen'you'ban
朝服而立于阼阶,chao'fu'er'li'yu'zuo'jie
车中不内顾,che'zhong'bu'nei'gu
陈成子弑简公,chen'cheng'zi'shi'jian'gong
陈恒弑其君,chen'heng'shi'qi'jun
陈亢退而喜曰,chen'kang'tui'er'xi'yue
陈亢问于伯鱼曰,chen'kang'wen'yu'bo'yu'yue
陈力就列,chen'li'jiu'lie
晨门曰,chen'men'yue
臣事君,chen'shi'jun
陈司败问,chen'si'bai'wen
陈子禽谓子贡曰,chen'zi'qin'wei'zi'gong'yue
诚不以富,cheng'bu'yi'fu
乘肥马,cheng'fei'ma
称其德也,cheng'qi'de'ye
成事不说,cheng'shi'bu'shuo
逞颜,cheng'yan
乘殷之辂,cheng'yin'zhi'lu
成于乐,cheng'yu'le
诚哉是言也,cheng'zai'shi'yan'ye
称诸异,cheng'zhu'yi
赤尔何如,chi'er'he'ru
耻躬之不逮也,chi'gong'zhi'bu'dai'ye
耻也,chi'ye
赤也惑,chi'ye'huo
赤也为之小,chi'ye'wei'zhi'xiao
赤之适齐也,chi'zhi'shi'qi'ye
崇德也,chong'de'ye
臭恶,chou'e
出辞气,chu'ci'qi
楚狂接舆歌而过孔子曰,chu'kuang'jie'yu'ge'er'guo'kong'zi'yue
出门如见大宾,chu'men'ru'jian'da'bin
出纳之吝,chu'na'zhi'lin
出三日,chu'san'ri
出曰,chu'yue
出则事公卿,chu'ze'shi'gong'qing
出则悌,chu'ze'ti
传不习乎,chuan'bu'xi'hu
春服既成,chun'fu'ji'cheng
纯如也,chun'ru'ye
赐不受命,ci'bu'shou'ming
辞达而已矣,ci'da'er'yi'yi
辞毋,ci'wu
赐也,ci'ye
赐也达,ci'ye'da
赐也可使从政也与,ci'ye'ke'shi'cong'zheng'ye'yu
次矣,ci'yi
赐之墙也及肩,ci'zhi'qiang'ye'ji'jian
从而不改,cong'er'bu'gai
从我于陈蔡者,cong'wo'yu'chen'cai'zhe
从吾所好,cong'wu'suo'hao
从者病,cong'zhe'bing
从者见之,cong'zhe'jian'zhi
从者曰,cong'zhe'yue
从之,cong'zhi
踧如也,cu'ru'ye
大车无輗,da'che'wu'ni
大德不逾闲,da'de'bu'yu'xian
大事不成,da'shi'bu'cheng
大师挚适齐,da'shi'zhi'shi'qi
达巷党人曰,da'xiang'dang'ren'yue
大哉孔子,da'zai'kong'zi
大哉问,da'zai'wen
大哉尧之为君也,da'zai'yao'zhi'wei'jun'ye
荡荡乎,dang'dang'hu
当仁不让于师,dang'ren'bu'rang'yu'shi
当洒扫应对进退,dang'sa'sao'ying'dui'jin'tui
当暑,dang'shu
道不同,dao'bu'tong
道不忧贫,dao'bu'you'pin
祷尔于,dao'er'yu
道千乘之国,dao'qian'sheng'zhi'guo
道听而途说,dao'ting'er'tu'shuo
道之不行,dao'zhi'bu'xing
道之将废也与,dao'zhi'jiang'fei'ye'yu
道之将行也与,dao'zhi'jiang'xing'ye'yu
道之斯行,dao'zhi'si'xing
道之以德,dao'zhi'yi'de
道之以政,dao'zhi'yi'zheng
德不孤,de'bu'gu
得见君子者,de'jian'jun'zi'zhe
得见有恒者,de'jian'you'heng'zhe
得其门者或寡矣,de'qi'men'zhe'huo'gua'yi
德行,de'xing
德之不修,de'zhi'bu'xiu
德之弃也,de'zhi'qi'ye
德之贼也,de'zhi'zei'ye
帝臣不蔽,di'chen'bu'bi
弟也,di'ye
弟子服其劳,di'zi'fu'qi'lao
禘自既灌而往者,di'zi'ji'guan'er'wang'zhe
弟子入则孝,di'zi'ru'ze'xiao
弟子孰为好学,di'zi'shu'wei'hao'xue
颠而不扶,dian'er'bu'fu
点尔何如,dian'er'he'ru
颠沛必于是,dian'pei'bi'yu'shi
定公问,ding'gong'wen
侗而不愿,dong'er'bu'yuan
东里子产润色,dong'li'zi'chan'run'se
动容貌,dong'rong'mao
东首,dong'shou
动之不以礼,dong'zhi'bu'yi'li
动之斯和,dong'zhi'si'he
斗筲之人,dou'shao'zhi'ren
笃信好学,du'xin'hao'xue
短右袂,duan'you'mei
端章甫,duan'zhang'fu
对曰,dui'yue
夺伯氏骈邑三百,duo'bo'shi'pian'yi'san'bai
多见而识,duo'jian'er'shi
多见其不知量也,duo'jian'qi'bu'zhi'liang'ye
多见阙殆,duo'jian'que'dai
多食,duo'shi
多识于鸟兽草木之名,duo'shi'yu'niao'shou'cao'mu'zhi'ming
多闻,duo'wen
多闻阙疑,duo'wen'que'yi
多怨,duo'yuan
恶不仁者,e'bu'ren'zhe
恶不孙以为勇者,e'bu'sun'yi'wei'yong'zhe
恶称人之恶者,e'cheng'ren'zhi'e'zhe
恶果敢而窒者,e'guo'gan'er'zhi'zhe
恶乎成名,e'hu'cheng'ming
恶徼以为知者,e'jiao'yi'wei'zhi'zhe
恶讦以为直,e'jie'yi'wei'zhi
恶利口之覆邦家者,e'li'kou'zhi'fu'bang'jia'zhe
恶衣服而致美乎黻冕,e'yi'fu'er'zhi'mei'hu'fu'mian
恶勇而无礼者,e'yong'er'wu'li'zhe
恶郑声之乱雅乐也,e'zheng'sheng'zhi'luan'ya'yue'ye
恶之欲其,e'zhi'yu'qi
恶紫之夺朱也,e'zi'zhi'duo'zhu'ye
尔爱其羊,er'ai'qi'yang
而不,er'bu
而不耻者,er'bu'chi'zhe
而不能守也,er'bu'neng'shou'ye
而不三黜,er'bu'san'chu
而不与立也,er'bu'yu'li'ye
而不愠,er'bu'yun
而朝齐,er'chao'qi
而耻恶衣恶食者,er'chi'e'yi'e'shi'zhe
而犯之,er'fan'zhi
而非邦也者,er'fei'bang'ye'zhe
而好犯上者,er'hao'fan'shang'zhe
而好作乱者,er'hao'zuo'luan'zhe
而和,er'he
而后从之,er'hou'cong'zhi
而后和之,er'hou'he'zhi
而后其食,er'hou'qi'shi
而患不均,er'huan'bu'jun
而货殖焉,er'huo'zhi'yan
而今而后,er'jin'er'hou
而可大受也,er'ke'da'shou'ye
而可小知也,er'ke'xiao'zhi'ye
而乱大伦,er'luan'da'lun
而谋动干戈于邦内,er'mou'dong'gan'ge'yu'bang'nei
而岂徒哉,er'qi'tu'zai
而亲仁,er'qin'ren
而求也为之聚敛而附益之,er'qiu'ye'wei'zhi'ju'lian'er'fu'yi'zhi
二三子,er'san'zi
二三子何患于丧乎,er'san'zi'he'huan'yu'sang'hu
二三子以我为隐乎,er'san'zi'yi'wo'wei'yin'hu
而谁以易之,er'shui'yi'yi'zhi
尔所不知,er'suo'bu'zhi
尔所谓达者,er'suo'wei'da'zhe
而往拜之,er'wang'bai'zhi
而行违,er'xing'wei
而学诗,er'xue'shi
而亦何,er'yi'he
而由人乎哉,er'you'ren'hu'zai
而有宋朝之美,er'you'song'chao'zhi'mei
而在萧墙之内也,er'zai'xiao'qiang'zhi'nei'ye
迩之事父,er'zhi'shi'fu
而子证之,er'zi'zheng'zhi
发愤忘食,fa'fen'wang'shi
法语之言,fa'yu'zhi'yan
泛爱众,fan'ai'zhong
樊迟出,fan'chi'chu
樊迟从游于舞雩之下,fan'chi'cong'you'yu'wu'yu'zhi'xia
樊迟请学稼,fan'chi'qing'xue'jia
樊迟退,fan'chi'tui
樊迟未达,fan'chi'wei'da
樊迟问仁,fan'chi'wen'ren
樊迟问知,fan'chi'wen'zhi
樊迟御,fan'chi'yu
樊迟曰,fan'chi'yue
犯而不校,fan'er'bu'jiao
饭疏食,fan'shu'shi
樊须也,fan'xu'ye
方六七十,fang'liu'qi'shi
放于利而行,fang'yu'li'er'xing
非不说子之道,fei'bu'shuo'zi'zhi'dao
非崇德与,fei'chong'de'yu
非达也,fei'da'ye
非道弘人,fei'dao'hong'ren
非夫人之为恸而,fei'fu'ren'zhi'wei'tong'er
非敢后也,fei'gan'hou'ye
非敢为,fei'gan'wei
非公事,fei'gong'shi
非惑与,fei'huo'yu
非祭肉,fei'ji'rou
非礼勿动,fei'li'wu'dong
非礼勿视,fei'li'wu'shi
非礼勿听,fei'li'wu'ting
非礼勿言,fei'li'wu'yan
非其鬼而祭之,fei'qi'gui'er'ji'zhi
非求益者也,fei'qiu'yi'zhe'ye
非帷裳,fei'wei'shang
非我也,fei'wo'ye
非吾徒也,fei'wu'tu'ye
非修慝与,fei'xiu'te'yu
非也,fei'ye
菲饮食而致孝乎鬼神,fei'yin'shi'er'zhi'xiao'hu'gui'shen
非曰能之,fei'yue'neng'zhi
废中权,fei'zhong'quan
非诸侯而何,fei'zhu'hou'er'he
非助我者也,fei'zhu'wo'zhe'ye
忿思难,fen'si'nan
风乎舞雩,feng'hu'wu'yu
凤鸟不至,feng'niao'bu'zhi
凤兮凤兮,feng'xi'feng'xi
佛肸以中牟畔,fo'xi'yi'zhong'mu'pan
佛肸召,fo'xi'zhao
夫达也者,fu'da'ye'zhe
富而好礼者也,fu'er'hao'li'zhe'ye
富而可求也,fu'er'ke'qiu'ye
夫二三,fu'er'san
富而无骄,fu'er'wu'jiao
富而无骄易,fu'er'wu'jiao'yi
富贵在天,fu'gui'zai'tian
夫何,fu'he
夫何为哉,fu'he'wei'zai
夫何忧何惧,fu'he'you'he'ju
夫君,fu'jun
父没,fu'mei
父母唯其疾之忧,fu'mu'wei'qi'ji'zhi'you
父母在,fu'mu'zai
父母之年,fu'mu'zhi'nian
复其位,fu'qi'wei
富且贵焉,fu'qie'gui'yan
夫然后行,fu'ran'hou'xing
夫人不言,fu'ren'bu'yan
夫仁者,fu'ren'zhe
夫人自称曰小童,fu'ren'zi'cheng'yue'xiao'tong
夫如是,fu'ru'shi
夫三年之丧,fu'san'nian'zhi'sang
夫三子者之言何如,fu'san'zi'zhe'zhi'yan'he'ru
肤受之愬,fu'shou'zhi'shuo
父为子隐,fu'wei'zi'yin
夫闻也者,fu'wen'ye'zhe
夫我则不暇,fu'wo'ze'bu'xia
富有,fu'you
富与贵,fu'yu'gui
富哉,fu'zai
父在,fu'zai
夫召我者,fu'zhao'wo'zhe
富之,fu'zhi
夫执舆者为谁,fu'zhi'yu'zhe'wei'shui
服周之冕,fu'zhou'zhi'mian
夫颛臾,fu'zhuan'yu
夫子,fu'zi
夫子不答,fu'zi'bu'da
夫子不为也,fu'zi'bu'wei'ye
夫子不言,fu'zi'bu'yan
夫子固有惑志于公伯寮,fu'zi'gu'you'huo'zhi'yu'gong'bo'liao
夫子何哂由也,fu'zi'he'shen'you'ye
夫子何为,fu'zi'he'wei
夫子喟然叹曰,fu'zi'kui'ran'tan'yue
夫子哂之,fu'zi'shen'zhi
夫子圣者与,fu'zi'sheng'zhe'yu
夫子时然后言,fu'zi'shi'ran'hou'yan
夫子矢之曰,fu'zi'shi'zhi'yue
夫子莞尔而笑,fu'zi'wan'er'er'xiao
夫子为卫君乎,fu'zi'wei'wei'jun'hu
夫子温良恭俭让以得之,fu'zi'wen'liang'gong'jian'rang'yi'de'zhi
夫子怃然曰,fu'zi'wu'ran'yue
夫子循循然,fu'zi'xun'xun'ran
夫子焉不学,fu'zi'yan'bu'xue
夫子欲之,fu'zi'yu'zhi
夫子之道,fu'zi'zhi'dao
夫子之得邦家者,fu'zi'zhi'de'bang'jia'zhe
夫子之墙数仞,fu'zi'zhi'qiang'shu'ren
夫子之求之也,fu'zi'zhi'qiu'zhi'ye
夫子之说君子,fu'zi'zhi'shuo'jun'zi
夫子至于是邦也,fu'zi'zhi'yu'shi'bang'ye
夫子之云,fu'zi'zhi'yun
夫子自道也,fu'zi'zi'dao'ye
盖均无贫,gai'jun'wu'pin
盖阙如也,gai'que'ru'ye
盖十世希不失矣,gai'shi'shi'xi'bu'shi'yi
盖有不知而作之者,gai'you'bu'zhi'er'zuo'zhi'zhe
盖有之,gai'you'zhi
改之为贵,gai'zhi'wei'gui
敢问,gan'wen
敢问崇德,gan'wen'chong'de
敢问其次,gan'wen'qi'ci
敢问死,gan'wen'si
敢用玄牡,gan'yong'xuan'mu
敢昭告于皇皇后帝,gan'zhao'gao'yu'huang'huang'hou'di
刚毅木讷,gang'yi'mu'ne
告夫三子,gao'fu'san'zi
羔裘,gao'qiu
羔裘玄冠不以吊,gao'qiu'xuan'guan'bu'yi'diao
告于哀公曰,gao'yu'ai'gong'yue
告诸往而知来者,gao'zhu'wang'er'zhi'lai'zhe
高宗,gao'zong
高宗谅阴,gao'zong'liang'yin
割不正,ge'bu'zheng
割鸡焉用牛刀,ge'ji'yan'yong'niu'dao
各于其党,ge'yu'qi'dang
耕也,geng'ye
更也人皆仰之,geng'ye'ren'jie'yang'zhi
公伯寮其如命何,gong'bo'liao'qi'ru'ming'he
公伯寮愬子路于季孙,gong'bo'liao'shuo'zi'lu'yu'ji'sun
公绰之不欲,gong'chuo'zhi'bu'yu
恭而安,gong'er'an
恭而无礼则劳,gong'er'wu'li'ze'lao
攻乎异端,gong'hu'yi'duan
恭己正南面而已矣,gong'ji'zheng'nan'mian'er'yi'yi
恭近于礼,gong'jin'yu'li
恭宽信敏惠,gong'kuan'xin'min'hui
公明贾对曰,gong'ming'jia'dui'yue
攻其恶,gong'qi'e
公山弗扰以费畔召,gong'shan'fu'rao'yi'fei'pan'zhao
宫室而尽力乎沟洫,gong'shi'er'jin'li'hu'gou'xu
公叔文子之臣大夫僎,gong'shu'wen'zi'zhi'chen'dai'fu'zhuan
公西华曰,gong'xi'hua'yue
躬行君子,gong'xing'jun'zi
工欲善其事,gong'yu'shan'qi'shi
公曰,gong'yue
恭则不侮,gong'ze'bu'wu
公则说,gong'ze'shuo
攻之,gong'zhi
躬自厚而薄责于人,gong'zi'hou'er'bo'ze'yu'ren
苟合矣,gou'he'yi
苟美矣,gou'mei'yi
苟完矣,gou'wan'yi
苟无所不至矣,gou'wu'suo'bu'zhi'yi
苟有过,gou'you'guo
苟有用我者,gou'you'yong'wo'zhe
苟正其身矣,gou'zheng'qi'shen'yi
苟志于仁矣,gou'zhi'yu'ren'yi
苟子之不欲,gou'zi'zhi'bu'yu
觚不觚,gu'bu'gu
故不为也,gu'bu'wei'ye
故多能鄙事,gu'duo'neng'bi'shi
固而近于费,gu'er'jin'yu'fei
鼓方叔入于河,gu'fang'shu'ru'yu'he
故夫三桓之子孙微矣,gu'fu'san'huan'zhi'zi'sun'wei'yi
故进之,gu'jin'zhi
故旧不遗,gu'jiu'bu'yi
沽酒市脯不食,gu'jiu'shi'pu'bu'shi
故旧无大故,gu'jiu'wu'da'gu
故君子名之必可言也,gu'jun'zi'ming'zhi'bi'ke'yan'ye
谷克伐怨欲不行焉,gu'ke'fa'yuan'yu'bu'xing'yan
鼓瑟希,gu'se'xi
固天纵之将圣,gu'tian'zong'zhi'jiang'sheng
故退之,gu'tui'zhi
固相师之道也,gu'xiang'shi'zhi'dao'ye
故艺,gu'yi
故远人不服,gu'yuan'ren'bu'fu
觚哉,gu'zai
古者民有三疾,gu'zhe'min'you'san'ji
古者言之不出,gu'zhe'yan'zhi'bu'chu
古之,gu'zhi
古之道也,gu'zhi'dao'ye
古之狂也肆,gu'zhi'kuang'ye'si
古之人皆然,gu'zhi'ren'jie'ran
古之贤人也,gu'zhi'xian'ren'ye
古之学者为己,gu'zhi'xue'zhe'wei'ji
古之愚也直,gu'zhi'yu'ye'zhi
沽之哉,gu'zhi'zai
瓜祭,gua'ji
观过,guan'guo
关雎,guan'ju
关雎之乱,guan'ju'zhi'luan
观其所由,guan'qi'suo'you
观其行,guan'qi'xing
观其志,guan'qi'zhi
官事不摄,guan'shi'bu'she
管氏而知礼,guan'shi'er'zhi'li
管氏亦树塞门,guan'shi'yi'shu'sai'men
管氏有三归,guan'shi'you'san'gui
冠者五六人,guan'zhe'wu'liu'ren
管仲不死,guan'zhong'bu'si
管仲非仁者与,guan'zhong'fei'ren'zhe'yu
管仲俭乎,guan'zhong'jian'hu
管仲之力也,guan'zhong'zhi'li'ye
管仲之器小哉,guan'zhong'zhi'qi'xiao'zai
归孔子豚,gui'kong'zi'tun
龟玉毁于椟中,gui'yu'hui'yu'du'zhong
过而不改,guo'er'bu'gai
过位,guo'wei
过也人皆见之,guo'ye'ren'jie'jian'zhi
过犹不及,guo'you'bu'ji
果哉,guo'zai
过则勿惮改,guo'ze'wu'dan'gai
过之,guo'zhi
好刚不好学,hao'gang'bu'hao'xue
好古,hao'gu
好谋而成者也,hao'mou'er'cheng'zhe'ye
好仁不好学,hao'ren'bu'hao'xue
好仁者,hao'ren'zhe
好信不好学,hao'xin'bu'hao'xue
好行小慧,hao'xing'xiao'hui
好学也已,hao'xue'ye'yi
好勇不好学,hao'yong'bu'hao'xue
好勇疾贫,hao'yong'ji'pin
好直不好学,hao'zhi'bu'hao'xue
好知不好学,hao'zhi'bu'hao'xue
好之者,hao'zhi'zhe
何必,he'bi
何必读书,he'bi'du'shu
何必改作,he'bi'gai'zuo
何必公山氏之之也,he'bi'gong'shan'shi'zhi'zhi'ye
何必去父母之邦,he'bi'qu'fu'mu'zhi'bang
河不出图,he'bu'chu'tu
盍彻乎,he'che'hu
何德之衰,he'de'zhi'shuai
何陋之有,he'lou'zhi'you
何莫由斯道也,he'mo'you'si'dao'ye
何其多能也,he'qi'duo'neng'ye
何如,he'ru
何如斯可谓之士矣,he'ru'si'ke'wei'zhi'shi'yi
何如斯可以从政矣,he'ru'si'ke'yi'cong'zheng'yi
何伤乎,he'shang'hu
何事于仁,he'shi'yu'ren
何为,he'wei
和为贵,he'wei'gui
何谓惠而不费,he'wei'hui'er'bu'fei
