阿片中毒,a'pian'zhong'du
铅中毒,qian'zhong'du
枪弹创,qiang'dan'chuang
强碱中毒,qiang'jian'zhong'du
强酸中毒,qiang'suan'zhong'du
切创,qie'chuang
亲子鉴定,qin'zi'jian'ding
情感障碍,qing'gan'zhang'ai
氰化物中毒,qing'hua'wu'zhong'du
锐器伤,rui'qi'shang
烧死,shao'si
蛇毒中毒,she'du'zhong'du
砷化物中毒,shen'hua'wu'zhong'du
肾上腺中毒,shen'shang'xian'zhong'du
肾损伤,shen'sun'shang
生前伤,sheng'qian'shang
尸斑,shi'ban
食管机械性损伤,shi'guan'ji'xie'xing'sun'shang
尸僵,shi'jiang
尸蜡,shi'la
尸冷,shi'leng
尸绿,shi'lv
尸体腐败,shi'ti'fu'bai
尸体检查,shi'ti'jian'cha
尸体角膜混浊,shi'ti'jiao'mo'hun'zhuo
尸体现象,shi'ti'xian'xiang
水杨酸类中毒,shui'yang'suan'lei'zhong'du
司法物理检验,si'fa'wu'li'jian'yan
死后伤,si'hou'shang
死亡,si'wang
思维障碍,si'wei'zhang'ai
碎尸检查,sui'shi'jian'cha
损伤的法医鉴定,sun'shang'de'fa'yi'jian'ding
他杀,ta'sha
他伤,ta'shang
烫死,tang'si
铜中毒,tong'zhong'du
头皮损伤,tou'pi'sun'shang
徒手伤,tu'shou'shang
唾液斑检验,tuo'ye'ban'jian'yan
外伤性气胸,wai'shang'xing'qi'xiong
外伤性休克,wai'shang'xing'xiu'ke
妄想,wang'xiang
微痕物证检验,wei'hen'wu'zheng'jian'yan
胃损伤,wei'sun'shang
五氯酚钠中毒,wu'lv'fen'na'zhong'du
无名尸体检查,wu'ming'shi'ti'jian'cha
乌头中毒,wu'tou'zhong'du
硒化物中毒,xi'hua'wu'zhong'du
现场尸体检查,xian'chang'shi'ti'jian'cha
心脏损伤,xin'zang'sun'shang
锌中毒,xin'zhong'du
性倒错,xing'dao'cuo
行为障碍,xing'wei'zhang'ai
血痕定性试验,xue'hen'ding'xing'shi'yan
血痕检验,xue'hen'jian'yan
血痕预试验,xue'hen'yu'shi'yan
血痕种属试验,xue'hen'zhong'shu'shi'yan
血癊,xue'yin
亚硝酸盐中毒,ya'xiao'suan'yan'zhong'du
盐卤中毒,yan'lu'zhong'du
咬伤,yao'shang
癔病,yi'bing
疑病妄想,yi'bing'wang'xiang
乙醇中毒,yi'chun'zhong'du
胰岛素中毒,yi'dao'su'zhong'du
意识障碍,yi'shi'zhang'ai
缢死,yi'si
胰腺损伤,yi'xian'sun'shang
异烟肼中毒,yi'yan'jing'zhong'du
一氧化碳中毒,yi'yang'hua'tan'zhong'du
抑郁症,yi'yu'zheng
意志障碍,yi'zhi'zhang'ai
阴囊和睾丸损伤,yin'nang'he'gao'wan'sun'shang
硬脑膜外血肿,ying'nao'mo'wai'xue'zhong
硬脑膜下血肿,ying'nao'mo'xia'xue'zhong
有机汞农药中毒,you'ji'gong'nong'yao'zhong'du
有机磷农药中毒,you'ji'lin'nong'yao'zhong'du
有机氯农药中毒,you'ji'lv'nong'yao'zhong'du
鱼胆中毒,yu'dan'zhong'du
愚鲁,yu'lu
躁狂症,zao'kuang'zheng
早期尸体现象,zao'qi'shi'ti'xian'xiang
谵妄状态,zhan'wang'zhuang'tai
症状性精神病,zheng'zhuang'xing'jing'shen'bing
知觉障碍,zhi'jue'zhang'ai
致命伤,zhi'ming'shang
智能障碍,zhi'neng'zhang'ai
致伤物推断,zhi'shang'wu'tui'duan
肢体离断,zhi'ti'li'duan
中毒,zhong'du
中毒的法医鉴定,zhong'du'de'fa'yi'jian'ding
中毒性精神病,zhong'du'xing'jing'shen'bing
中毒症状,zhong'du'zheng'zhuang
中毒致死量,zhong'du'zhi'si'liang
中暑死,zhong'shu'si
周期性精神病,zhou'qi'xing'jing'shen'bing
蛛网膜下腔出血,zhu'wang'mo'xia'qiang'chu'xie
注意障碍,zhu'yi'zhang'ai
坠落伤,zhui'luo'shang
自溶,zi'rong
