阿比罗提,a'bi'luo'ti
四种曼荼罗,si'zhong'man'tu'luo
俗谛,su'di
苏婆诃,su'po'he
宿住通,su'zhu'tong
随烦恼,sui'fan'nao
随眠,sui'mian
随喜,sui'xi
随信行,sui'xin'xing
随行,sui'xing
随缘,sui'yuan
随缘真如,sui'yuan'zhen'ru
所,suo
娑婆,suo'po
所依,suo'yi
所缘,suo'yuan
所缘缘,suo'yuan'yuan
所知障,suo'zhi'zhang
他力,ta'li
他心通,ta'xin'tong
他心智,ta'xin'zhi
胎藏界,tai'cang'jie
胎内五位,tai'nei'wu'wei
胎外五位,tai'wai'wu'wei
贪,tan
弹指,tan'zhi
塘奔,tang'ben
醍醐,ti'hu
天,tian
天部,tian'bu
天耳通,tian'er'tong
天盖,tian'gai
天冠,tian'guan
天眼通,tian'yan'tong
铁围山,tie'wei'shan
同分,tong'fen
同教,tong'jiao
同体大悲,tong'ti'da'bei
头,tou
退转,tui'zhuan
托胎,tuo'tai
妄念,wang'nian
妄染,wang'ran
往生,wang'sheng
妄想,wang'xiang
妄执,wang'zhi
微尘,wei'chen
唯识,wei'shi
唯心净土,wei'xin'jing'tu
闻思修,wen'si'xiu
我,wo
我法二空,wo'fa'er'kong
我法二执,wo'fa'er'zhi
我见,wo'jian
我空法有,wo'kong'fa'you
我慢,wo'man
我所,wo'suo
我我所见,wo'wo'suo'jian
我相,wo'xiang
我执,wo'zhi
悟,wu
无,wu
五百大愿,wu'bai'da'yuan
五宝,wu'bao
无表色,wu'biao'se
五部,wu'bu
五部灌顶,wu'bu'guan'ding
五部祕观,wu'bu'mi'guan
五怖畏,wu'bu'wei
五部座,wu'bu'zuo
无常,wu'chang
无常偈,wu'chang'ji
五乘,wu'cheng
五大,wu'da
五大愿,wu'da'yuan
五谛,wu'di
五钝使,wu'dun'shi
五法,wu'fa
五法藏,wu'fa'cang
无分别智,wu'fen'bie'zhi
五分法身,wu'fen'fa'shen
五佛顶,wu'fo'ding
五佛顶法,wu'fo'ding'fa
五盖,wu'gai
五根,wu'gen
五供养,wu'gong'yang
无功用,wu'gong'yong
五观,wu'guan
五果,wu'guo
五悔,wu'hui
无记,wu'ji
五教,wu'jiao
五解脱轮,wu'jie'tuo'lun
无尽藏,wu'jin'cang
无尽灯,wu'jin'deng
五净,wu'jing
五境,wu'jing
五力,wu'li
五利使,wu'li'shi
无漏法,wu'lou'fa
无漏智,wu'lou'zhi
五轮,wu'lun
无明,wu'ming
五摩字,wu'mo'zi
五难,wu'nan
五逆,wu'ni
五品弟子位,wu'pin'di'zi'wei
无情有性,wu'qing'you'xing
五趣生死轮,wu'qu'sheng'si'lun
五取蕴,wu'qu'yun
无色界,wu'se'jie
五善五恶,wu'shan'wu'e
五上分结,wu'shang'fen'jie
无生法忍,wu'sheng'fa'ren
五识,wu'shi
五时,wu'shi
五时八教,wu'shi'ba'jiao
五十二数,wu'shi'er'shu
五十二位,wu'shi'er'wei
无体,wu'ti
五通,wu'tong
五位,wu'wei
五味,wu'wei
五位百法,wu'wei'bai'fa
无为法,wu'wei'fa
五位七十五法,wu'wei'qi'shi'wu'fa
五位无心,wu'wei'wu'xin
无我,wu'wo
五五百年,wu'wu'bai'nian
五下分结,wu'xia'fen'jie
无想,wu'xiang
无相,wu'xiang
无学,wu'xue
五眼,wu'yan
五药,wu'yao
五阴盛苦,wu'yin'sheng'ku
五欲,wu'yu
无余依涅槃,wu'yu'yi'nie'pan
无缘,wu'yuan
五蕴,wu'yun
五障,wu'zhang
无诤,wu'zheng
五智,wu'zhi
五众,wu'zhong
五种三昧道,wu'zhong'san'mei'dao
五种三昧耶,wu'zhong'san'mei'ye
五种姓,wu'zhong'xing
五重玄义,wu'zhong'xuan'yi
五周因果,wu'zhou'yin'guo
无住,wu'zhu
无住处涅槃,wu'zhu'chu'nie'pan
五住地烦恼,wu'zhu'di'fan'nao
五庄严法,wu'zhuang'yan'fa
五浊,wu'zhuo
五宗教,wu'zong'jiao
系,xi
悉地,xi'di
西方净土,xi'fang'jing'tu
戏论,xi'lun
习气,xi'qi
细色,xi'se
喜舍,xi'she
悉昙,xi'tan
细意识,xi'yi'shi
闲,xian
现观,xian'guan
贤劫,xian'jie
贤劫十六尊,xian'jie'shi'liu'zun
贤圣,xian'sheng
现图曼荼罗,xian'tu'man'tu'luo
现行,xian'xing
显正,xian'zheng
想,xiang
相,xiang
相好,xiang'hao
相即,xiang'ji
相入,xiang'ru
香水海,xiang'shui'hai
相续,xiang'xu
相应,xiang'ying
相应心,xiang'ying'xin
小烦恼地法,xiao'fan'nao'de'fa
邪见,xie'jian
胁士,xie'shi
信,xin
心,xin
心不相应行,xin'bu'xiang'ying'xing
心佛众生三法无差,xin'fo'zhong'sheng'san'fa'wu'cha
信解,xin'jie
心具三千,xin'ju'san'qian
信满成佛,xin'man'cheng'fo
信施,xin'shi
心所有法,xin'suo'you'fa
心王心所,xin'wang'xin'suo
心性本净,xin'xing'ben'jing
心意识,xin'yi'shi
心印,xin'yin
行,xing
性,xing
性得,xing'de
性恶,xing'e
性海果分,xing'hai'guo'fen
行解,xing'jie
