岸标立标,an'biao'li'biao
观景台,guan'jing'tai
馆科技馆博物馆展览馆等,guan'ke'ji'guan'bo'wu'guan'zhan'lan'guan'deng
灌木林,guan'mu'lin
广场,guang'chang
轨道交通,gui'dao'jiao'tong
滚水坝,gun'shui'ba
国道,guo'dao
国家行政区,guo'jia'xing'zheng'qu
过街天桥,guo'jie'tian'qiao
国界线,guo'jie'xian
国外区域,guo'wai'qu'yu
国外政区,guo'wai'zheng'qu
国有农场林场牧场界线,guo'you'nong'chang'lin'chang'mu'chang'jie'xian
国有农场林场牧场区,guo'you'nong'chang'lin'chang'mu'chang'qu
国有农场林场牧场区域,guo'you'nong'chang'lin'chang'mu'chang'qu'yu
海岸线,hai'an'xian
海岛,hai'dao
海上平台,hai'shang'ping'tai
海域,hai'yu
旱地,han'di
涵洞,han'dong
航道,hang'dao
行树,hang'shu
河道干河,he'dao'gan'he
河湖岛,he'hu'dao
河流流向,he'liu'liu'xiang
红树林滩,hong'shu'lin'tan
湖泊,hu'po
滑道,hua'dao
滑坡,hua'po
花圃花坛,hua'pu'hua'tan
环境监测站,huan'jing'jian'ce'zhan
环卫设施,huan'wei'she'shi
荒草地,huang'cao'di
黄土漏斗,huang'tu'lou'dou
黄土柱,huang'tu'zhu
火车渡,huo'che'du
火车明峒,huo'che'ming'dong
火车隧道,huo'che'sui'dao
火车站,huo'che'zhan
火山口,huo'shan'kou
机车转盘,ji'che'zhuan'pan
迹地,ji'di
积肥池,ji'fei'chi
级面桥人行拱桥,ji'mian'qiao'ren'xing'gong'qiao
纪念碑柱墩,ji'nian'bei'zhu'dun
计曲线,ji'qu'xian
架空管道,jia'kong'guan'dao
架空索道,jia'kong'suo'dao
架空线,jia'kong'xian
加油气站,jia'you'qi'zhan
建成,jian'cheng
间曲线,jian'qu'xian
建设中铁路,jian'she'zhong'tie'lu
简易轨道,jian'yi'gui'dao
建筑附属设施,jian'zhu'fu'shu'she'shi
建筑中,jian'zhu'zhong
建筑中的,jian'zhu'zhong'de
建筑中水库,jian'zhu'zhong'shui'ku
教堂,jiao'tang
街道,jie'dao
街道设施,jie'dao'she'shi
街区,jie'qu
界桩界碑,jie'zhuang'jie'bei
经线,jing'xian
旧碉堡旧地堡,jiu'diao'bao'jiu'di'bao
居民小区,ju'min'xiao'qu
龟裂地,jun'lie'di
开发区保税区,kai'fa'qu'bao'shui'qu
开发区保税区界线,kai'fa'qu'bao'shui'qu'jie'xian
开发区保税区区域,kai'fa'qu'bao'shui'qu'qu'yu
坎儿井地下渠道暗渠,kan'er'jing'di'xia'qu'dao'an'qu
科学观测台站,ke'xue'guan'ce'tai'zhan
科学观测站,ke'xue'guan'ce'zhan
科学试验站,ke'xue'shi'yan'zhan
坑穴,keng'xue
空地,kong'di
空运设施,kong'yun'she'shi
口岸,kou'an
快速路,kuai'su'lu
矿井,kuang'jing
垃圾台场,la'ji'tai'chang
缆车道,lan'che'dao
拦水坝,lan'shui'ba
缆索桥,lan'suo'qiao
篱笆,li'ba
里程碑,li'cheng'bei
立交桥,li'jiao'qiao
砾石滩,li'shi'tan
粒雪原,li'xue'yuan
粮仓库,liang'cang'ku
晾房,liang'fang
瞭望塔,liao'wang'ta
林地,lin'di
零星树木,ling'xing'shu'mu
陵园,ling'yuan
溜索桥,liu'suo'qiao
垄状沙丘,long'zhuang'sha'qiu
漏斗,lou'dou
路标,lu'biao
陆地通信线,lu'di'tong'xin'xian
露天采掘场,lu'tian'cai'jue'chang
露天货栈选矿厂材料堆放场,lu'tian'huo'zhan'xuan'kuang'chang'cai'liao'dui'fang'chang
露天设备,lu'tian'she'bei
露天体育场,lu'tian'ti'yu'chang
露天体育场出入口,lu'tian'ti'yu'chang'chu'ru'kou
芦苇滩,lu'wei'tan
露岩地,lu'yan'di
乱掘地,luan'jue'di
裸土地,luo'tu'di
漫流干河,man'liu'gan'he
门洞下跨道,men'dong'xia'kua'dao
蒙古包放牧点,meng'gu'bao'fang'mu'dian
苗圃,miao'pu
庙宇,miao'yu
明峒,ming'dong
明礁,ming'jiao
名胜古迹,ming'sheng'gu'ji
内部道路,nei'bu'dao'lu
内图廓线,nei'tu'kuo'xian
能通行沼泽湿地,neng'tong'xing'zhao'ze'shi'di
泥石流,ni'shi'liu
农业及其设施,nong'ye'ji'qi'she'shi
棚房,peng'fang
平峒井口,ping'dong'jing'kou
平沙地,ping'sha'di
破坏房屋,po'huai'fang'wu
瀑布跌水,pu'bu'die'shui
汽车渡,qi'che'du
汽车明峒,qi'che'ming'dong
汽车隧道,qi'che'sui'dao
汽车徒涉场,qi'che'tu'she'chang
其他房屋,qi'ta'fang'wu
其它公路,qi'ta'gong'lu
其他工业企业,qi'ta'gong'ye'qi'ye
其他建筑物及设施,qi'ta'jian'zhu'wu'ji'she'shi
其它交通设施,qi'ta'jiao'tong'she'shi
其他区域,qi'ta'qu'yu
其它窑,qi'ta'yao
其它用途房屋,qi'ta'yong'tu'fang'wu
气象站,qi'xiang'zhan
轻轨磁悬浮,qing'gui'ci'xuan'fu
轻轨站,qing'gui'zhan
清真寺,qing'zhen'si
渠首,qu'shou
人渡,ren'du
人工地貌,ren'gong'di'mao
人工绿地,ren'gong'lv'di
人行桥,ren'xing'qiao
熔岩流,rong'yan'liu
入地口,ru'di'kou
三角点,san'jiao'dian
散热塔,san're'ta
沙地,sha'di
沙砾地戈壁滩,sha'li'di'ge'bi'tan
沙砾滩,sha'li'tan
沙泥滩,sha'ni'tan
沙滩,sha'tan
沙土崩崖,sha'tu'beng'ya
沙洲,sha'zhou
晒佛台,shai'fo'tai
山隘,shan'ai
山洞溶洞,shan'dong'rong'dong
珊瑚礁,shan'hu'jiao
珊瑚滩,shan'hu'tan
省道,sheng'dao
省级行政区,sheng'ji'xing'zheng'qu
省级政府,sheng'ji'zheng'fu
石崩崖,shi'beng'ya
石堆,shi'dui
石块地,shi'kuai'di
石砾地,shi'li'di
时令河,shi'ling'he
时令路,shi'ling'lu
石垄,shi'long
石质陡崖石质有滩陡岸,shi'zhi'dou'ya'shi'zhi'you'tan'dou'an
石质无滩陡岸,shi'zhi'wu'tan'dou'an
收费站,shou'fei'zhan
首曲线,shou'qu'xian
输电线,shu'dian'xian
竖井井口,shu'jing'jing'kou
疏林,shu'lin
输水渡槽,shu'shui'du'cao
输水隧道,shu'shui'sui'dao
水产养殖场,shui'chan'yang'zhi'chang
水厂,shui'chang
水鹤,shui'he
水井,shui'jing
水井房,shui'jing'fang
水库,shui'ku
水磨房水车,shui'mo'fang'shui'che
水深点,shui'shen'dian
水生作物地,shui'sheng'zuo'wu'di
水塔,shui'ta
水塔烟囱,shui'ta'yan'cong
水文站,shui'wen'zhan
水系交汇处,shui'xi'jiao'hui'chu
水系结构线,shui'xi'jie'gou'xian
水下等高线,shui'xia'deng'gao'xian
水下高程点,shui'xia'gao'cheng'dian
水下注记点,shui'xia'zhu'ji'dian
水域等值线,shui'yu'deng'zhi'xian
水运港客运站,shui'yun'gang'ke'yun'zhan
水运设施,shui'yun'she'shi
水闸,shui'zha
水中滩,shui'zhong'tan
水准点,shui'zhun'dian
水准原点,shui'zhun'yuan'dian
巳定界,si'ding'jie
饲养场,si'yang'chang
塑像,su'xiang
隧道,sui'dao
索道,suo'dao
台阶,tai'jie
台田条田,tai'tian'tiao'tian
台屋式窑,tai'wu'shi'yao
探槽,tan'cao
探井,tan'jing
特别行政区界线,te'bie'xing'zheng'qu'jie'xian
特殊地区,te'shu'di'qu
特殊地区界线,te'shu'di'qu'jie'xian
特殊地区区域,te'shu'di'qu'qu'yu
特殊高程点,te'shu'gao'cheng'dian
体育,ti'yu
体育场内轮廓线,ti'yu'chang'nei'lun'kuo'xian
体育馆,ti'yu'guan
田坎路堑沟堑路堤单坡,tian'kan'lu'qian'gou'qian'lu'di'dan'po
天桥,tian'qiao
天文台,tian'wen'tai
跳伞塔,tiao'san'ta
铁路,tie'lu
铁路公路两用桥,tie'lu'gong'lu'liang'yong'qiao
铁路桥,tie'lu'qiao
铁丝网电网,tie'si'wang'dian'wang
停泊场,ting'bo'chang
停车场,ting'che'chang
亭桥廊桥,ting'qiao'lang'qiao
通航河段起止点,tong'hang'he'duan'qi'zhi'dian
通信线,tong'xin'xian
土城墙,tu'cheng'qiang
突出房屋,tu'chu'fang'wu
土地庙,tu'di'miao
土堆,tu'dui
土垄,tu'long
土质,tu'zhi
土质陡崖土质有滩陡岸,tu'zhi'dou'ya'tu'zhi'you'tan'dou'an
土质无滩陡岸,tu'zhi'wu'tan'dou'an
微波塔,wei'bo'ta
未定界,wei'ding'jie
围墙,wei'qiang
纬线,wei'xian
危险岸区,wei'xian'an'qu
危险海区,wei'xian'hai'qu
卫星地面站,wei'xing'di'mian'zhan
卫星定位等级点,wei'xing'ding'wei'deng'ji'dian
卫星定位连续运行站点,wei'xing'ding'wei'lian'xu'yun'xing'zhan'dian
文教卫生,wen'jiao'wei'sheng
温室大棚,wen'shi'da'peng
文物碑石,wen'wu'bei'shi
窝状沙地,wo'zhuang'sha'di
无防洪墙的加固岸,wu'fang'hong'qiang'de'jia'gu'an
污水处理厂,wu'shui'chu'li'chang
系船浮筒,xi'chuan'fu'tong
狭窄干出滩,xia'zhai'gan'chu'tan
县道,xian'dao
县级行政区,xian'ji'xing'zheng'qu
县级政府,xian'ji'zheng'fu
乡村道路,xiang'cun'dao'lu
乡村路,xiang'cun'lu
乡道,xiang'dao
乡级行政区,xiang'ji'xing'zheng'qu
乡镇级政府街道办事处,xiang'zhen'ji'zheng'fu'jie'dao'ban'shi'chu
小草丘地,xiao'cao'qiu'di
小路,xiao'lu
消失河段,xiao'shi'he'duan
泄洪洞出水口,xie'hong'dong'chu'shui'kou
斜井井口,xie'jing'jing'kou
信号灯柱,xin'hao'deng'zhu
信号杆,xin'hao'gan
新月形沙丘,xin'yue'xing'sha'qiu
行人徒涉场,xing'ren'tu'she'chang
行政机构位置标识,xing'zheng'ji'gou'wei'zhi'biao'zhi
行政区界线,xing'zheng'qu'jie'xian
行政区域,xing'zheng'qu'yu
休闲娱乐景区,xiu'xian'yu'le'jing'qu
雪山,xue'shan
雪山等高线,xue'shan'deng'gao'xian
雪山计曲线,xue'shan'ji'qu'xian
雪山首曲线,xue'shan'shou'qu'xian
学校,xue'xiao
烟囱,yan'cong
岩峰,yan'feng
盐蒿滩,yan'hao'tan
盐碱地,yan'jian'di
盐井,yan'jing
岩墙,yan'qiang
岩溶漏斗,yan'rong'lou'dou
岩石滩,yan'shi'tan
盐田盐场,yan'tian'yan'chang
扬水站抽水站,yang'shui'zhan'chou'shui'zhan
药浴池,yao'yu'chi
液气贮存设备,ye'qi'zhu'cun'she'bei
野生动物通道,ye'sheng'dong'wu'tong'dao
一般堤,yi'ban'di
移动通信塔,yi'dong'tong'xin'ta
溢洪道,yi'hong'dao
医疗点,yi'liao'dian
医院,yi'yuan
引道,yin'dao
引桥,yin'qiao
有防洪墙的加固岸,you'fang'hong'qiang'de'jia'gu'an
游乐场,you'le'chang
幼林,you'lin
油气水输送主管道,you'qi'shui'shu'song'zhu'guan'dao
游泳场池,you'yong'chang'chi
淤泥滩,yu'ni'tan
园地,yuan'di
垣栅,yuan'shan
运河,yun'he
匝道,za'dao
栅栏,zha'lan
窄轨铁路,zhai'gui'tie'lu
栈道,zhan'dao
栈桥,zhan'qiao
栈桥式码头,zhan'qiao'shi'ma'tou
站线,zhan'xian
蒸馏塔,zheng'liu'ta
直升机停机坪,zhi'sheng'ji'ting'ji'ping
制水坝,zhi'shui'ba
植物园,zhi'wu'yuan
支线,zhi'xian
钟鼓楼城楼古关塞,zhong'gu'lou'cheng'lou'gu'guan'sai
中国公路零公里标志,zhong'guo'gong'lu'ling'gong'li'biao'zhi
重力点,zhong'li'dian
贮草场,zhu'cao'chang
主干道,zhu'gan'dao
助航标志,zhu'hang'biao'zhi
柱廊,zhu'lang
竹林,zhu'lin
助曲线,zhu'qu'xian
贮水池水窖,zhu'shui'chi'shui'jiao
砖石城墙破坏,zhuan'shi'cheng'qiang'po'huai
砖石城墙完好,zhuan'shi'cheng'qiang'wan'hao
专用公路,zhuan'yong'gong'lu
专用供氧点,zhuan'yong'gong'yang'dian
装卸设备,zhuang'xie'she'bei
自然地貌,zi'ran'di'mao
自然文化保护区界,zi'ran'wen'hua'bao'hu'qu'jie
自然文化保护区域,zi'ran'wen'hua'bao'hu'qu'yu
自然文化区,zi'ran'wen'hua'qu
宗教设施,zong'jiao'she'shi
钻孔,zuan'kong
坐标网线,zuo'biao'wang'xian
