阿帕奇,a'pa'qi
单一积分系统技术,dan'yi'ji'fen'xi'tong'ji'shu
单座,dan'zuo
单座双发,dan'zuo'shuang'fa
单座双发超音速,dan'zuo'shuang'fa'chao'yin'su
单座双发超音速重型喷气战斗机,dan'zuo'shuang'fa'chao'yin'su'zhong'xing'pen'qi'zhan'dou'ji
单座型,dan'zuo'xing
当前的,dang'qian'de
当日上午,dang'ri'shang'wu
导弹挂载图,dao'dan'gua'zai'tu
导弹和炸弹,dao'dan'he'zha'dan
道格拉斯公司,dao'ge'la'si'gong'si
道公司,dao'gong'si
导航和识别系统,dao'hang'he'shi'bie'xi'tong
导航设备,dao'hang'she'bei
导航系统,dao'hang'xi'tong
的比例,de'bi'li
的表面,de'biao'mian
的布局,de'bu'ju
的部署,de'bu'shu
的材料,de'cai'liao
的舱门,de'cang'men
的测试,de'ce'shi
的产生,de'chan'sheng
的成本,de'cheng'ben
的冲击,de'chong'ji
的传闻,de'chuan'wen
的绰号,de'chuo'hao
得到批准,de'dao'pi'zhun
的底部,de'di'bu
的地区,de'di'qu
的订单,de'ding'dan
的发展,de'fa'zhan
的飞机,de'fei'ji
的改型,de'gai'xing
的攻击,de'gong'ji
的国家,de'guo'jia
的航程,de'hang'cheng
的航母,de'hang'mu
的合同,de'he'tong
的花费,de'hua'fei
的机尾,de'ji'wei
的甲板,de'jia'ban
的加速,de'jia'su
的结果,de'jie'guo
的接收,de'jie'shou
的开发,de'kai'fa
的可靠性,de'ke'kao'xing
德克萨斯州,de'ke'sa'si'zhou
的力量,de'li'liang
的贸易,de'mao'yi
的内部,de'nei'bu
的能力,de'neng'li
的评估,de'ping'gu
的全套,de'quan'tao
的任务,de'ren'wu
的设备,de'she'bei
的设计,de'she'ji
的生产,de'sheng'chan
的苏,de'su
的特点,de'te'dian
的透入,de'tou'ru
的图片,de'tu'pian
的项目,de'xiang'mu
的协议,de'xie'yi
的需求,de'xu'qiu
的需要,de'xu'yao
的要求,de'yao'qiu
的优点,de'you'dian
的增加,de'zeng'jia
的战斗机,de'zhan'dou'ji
的战机,de'zhan'ji
的直升机,de'zhi'sheng'ji
的重要性,de'zhong'yao'xing
的姿态,de'zi'tai
的作用,de'zuo'yong
等离子体,deng'li'zi'ti
低成本的,di'cheng'ben'de
低档战斗机,di'dang'zhan'dou'ji
敌对双方,di'dui'shuang'fang
敌方的,di'fang'de
敌方雷达,di'fang'lei'da
敌机雷达,di'ji'lei'da
敌机雷达波,di'ji'lei'da'bo
低空突防,di'kong'tu'fang
低空突防性能,di'kong'tu'fang'xing'neng
地面测试,di'mian'ce'shi
地面滑行试验,di'mian'hua'xing'shi'yan
地面目标,di'mian'mu'biao
地面效应,di'mian'xiao'ying
地平线另一端,di'ping'xian'ling'yi'duan
第三代战斗机,di'san'dai'zhan'dou'ji
第三批次,di'san'pi'ci
第四代,di'si'dai
第四代战斗机,di'si'dai'zhan'dou'ji
第四代战机,di'si'dai'zhan'ji
低速初始生产,di'su'chu'shi'sheng'chan
低头力矩,di'tou'li'ju
敌我识别器,di'wo'shi'bie'qi
敌我识别系统,di'wo'shi'bie'xi'tong
第五代,di'wu'dai
第五代战斗机,di'wu'dai'zhan'dou'ji
地形跟踪雷达,di'xing'gen'zong'lei'da
第一份,di'yi'fen
电磁波,dian'ci'bo
电磁理论和应用研究所,dian'ci'li'lun'he'ying'yong'yan'jiu'suo
电磁频谱,dian'ci'pin'pu
典型型号,dian'xing'xing'hao
电子摧毁,dian'zi'cui'hui
电子对抗设备,dian'zi'dui'kang'she'bei
电子反制,dian'zi'fan'zhi
电子干扰,dian'zi'gan'rao
电子干扰设备,dian'zi'gan'rao'she'bei
电子干扰系统,dian'zi'gan'rao'xi'tong
电子欺骗,dian'zi'qi'pian
电子扫描,dian'zi'sao'miao
电子设备,dian'zi'she'bei
电子设备舱,dian'zi'she'bei'cang
电子系统,dian'zi'xi'tong
电子隐身,dian'zi'yin'shen
电子战系统,dian'zi'zhan'xi'tong
电子战支援系统,dian'zi'zhan'zhi'yuan'xi'tong
电子战支援子系统,dian'zi'zhan'zhi'yuan'zi'xi'tong
电子侦察,dian'zi'zhen'cha
叠合累积,die'he'lei'ji
定单量,ding'dan'liang
订购的,ding'gou'de
定位成,ding'wei'cheng
动力装置,dong'li'zhuang'zhi
都采用了,dou'cai'yong'le
都作了,dou'zuo'le
度环视视界,du'huan'shi'shi'jie
短距降落型,duan'ju'jiang'luo'xing
短距起降特性,duan'ju'qi'jiang'te'xing
短距战机,duan'ju'zhan'ji
短期内,duan'qi'nei
对称地,dui'chen'de
对地,dui'di
对地攻击,dui'di'gong'ji
对地攻击能力,dui'di'gong'ji'neng'li
对空,dui'kong
对空导弹,dui'kong'dao'dan
对外出口,dui'wai'chu'kou
吨到,dun'dao
吨的直升机,dun'de'zhi'sheng'ji
吨级的,dun'ji'de
吨位范围,dun'wei'fan'wei
吨以上,dun'yi'shang
吨左右,dun'zuo'you
多变的,duo'bian'de
多采用,duo'cai'yong
多次改进,duo'ci'gai'jin
多服役,duo'fu'yi
多个国家,duo'ge'guo'jia
多功能的,duo'gong'neng'de
多功能显示器,duo'gong'neng'xian'shi'qi
多功能相控阵火控雷达,duo'gong'neng'xiang'kong'zhen'huo'kong'lei'da
多功能液晶显示器,duo'gong'neng'ye'jing'xian'shi'qi
多功能战机,duo'gong'neng'zhan'ji
多国部队,duo'guo'bu'dui
多阶段改进计划,duo'jie'duan'gai'jin'ji'hua
多面体技术,duo'mian'ti'ji'shu
多普勒导航系统,duo'pu'le'dao'hang'xi'tong
多任务计算机,duo'ren'wu'ji'suan'ji
多任务战斗机,duo'ren'wu'zhan'dou'ji
多维立体战,duo'wei'li'ti'zhan
多项指标,duo'xiang'zhi'biao
多用途前线战斗机,duo'yong'tu'qian'xian'zhan'dou'ji
多用途战斗机,duo'yong'tu'zhan'dou'ji
多用途战机,duo'yong'tu'zhan'ji
多用途战术攻击战斗机,duo'yong'tu'zhan'shu'gong'ji'zhan'dou'ji
多种分类,duo'zhong'fen'lei
恶劣气象,e'lie'qi'xiang
俄罗斯标准,e'luo'si'biao'zhun
俄罗斯公司,e'luo'si'gong'si
俄罗斯科学院,e'luo'si'ke'xue'yuan
俄罗斯式战斗机,e'luo'si'shi'zhan'dou'ji
俄罗斯苏,e'luo'si'su
俄罗斯直升机,e'luo'si'zhi'sheng'ji
俄罗斯总理,e'luo'si'zong'li
俄式战斗机,e'shi'zhan'dou'ji
额外得到了,e'wai'de'dao'le
俄制航空发动机,e'zhi'hang'kong'fa'dong'ji
俄制米格,e'zhi'mi'ge
俄制苏,e'zhi'su
俄制同类机型,e'zhi'tong'lei'ji'xing
二次空中加油,er'ci'kong'zhong'jia'you
而设计的,er'she'ji'de
二者兼备机型,er'zhe'jian'bei'ji'xing
发表了,fa'biao'le
法德英美,fa'de'ying'mei
发动打击能力,fa'dong'da'ji'neng'li
发动机舱,fa'dong'ji'cang
发动机的,fa'dong'ji'de
发动机短舱,fa'dong'ji'duan'cang
发动机二维喷管,fa'dong'ji'er'wei'pen'guan
发动机进气道,fa'dong'ji'jin'qi'dao
发动机企业,fa'dong'ji'qi'ye
发动机维修费用,fa'dong'ji'wei'xiu'fei'yong
发动机最大推力,fa'dong'ji'zui'da'tui'li
法方,fa'fang
法国飞行员,fa'guo'fei'xing'yuan
发炮弹,fa'pao'dan
发生故障,fa'sheng'gu'zhang
发现与识别,fa'xian'yu'shi'bie
法新社,fa'xin'she
发展趋势,fa'zhan'qu'shi
范堡罗航展,fan'bao'luo'hang'zhan
反摧毁,fan'cui'hui
反干扰,fan'gan'rao
反欺骗,fan'qi'pian
反射波,fan'she'bo
反射功能,fan'she'gong'neng
反射源,fan'she'yuan
反坦克导弹,fan'tan'ke'dao'dan
反坦克任务,fan'tan'ke'ren'wu
反坦克武装直升机,fan'tan'ke'wu'zhuang'zhi'sheng'ji
反隐身,fan'yin'shen
反侦察,fan'zhen'cha
反作用力,fan'zuo'yong'li
防冰系统,fang'bing'xi'tong
防腐能力,fang'fu'neng'li
防务专家,fang'wu'zhuan'jia
方向舵,fang'xiang'duo
防御体系,fang'yu'ti'xi
仿真过程中,fang'zhen'guo'cheng'zhong
放置炸弹,fang'zhi'zha'dan
非常广泛,fei'chang'guang'fan
飞得更快,fei'de'geng'kuai
飞机的,fei'ji'de
飞机的平衡,fei'ji'de'ping'heng
飞机横截面积,fei'ji'heng'jie'mian'ji
飞机上,fei'ji'shang
飞机外部,fei'ji'wai'bu
飞机有,fei'ji'you
飞机重心,fei'ji'zhong'xin
飞机阻力,fei'ji'zu'li
飞机座舱,fei'ji'zuo'cang
飞速发展,fei'su'fa'zhan
飞行包线,fei'xing'bao'xian
飞行测试,fei'xing'ce'shi
飞行极限,fei'xing'ji'xian
飞行阶段,fei'xing'jie'duan
飞行控制系统,fei'xing'kong'zhi'xi'tong
飞行器,fei'xing'qi
飞行时间,fei'xing'shi'jian
飞行试验中心,fei'xing'shi'yan'zhong'xin
飞行细节,fei'xing'xi'jie
飞行小时,fei'xing'xiao'shi
飞行仪表,fei'xing'yi'biao
飞行员座舱,fei'xing'yuan'zuo'cang
分别承担,fen'bie'cheng'dan
分别喷涂于,fen'bie'pen'tu'yu
分为三段,fen'wei'san'duan
风偏修正弹药洒布器,feng'pian'xiu'zheng'dan'yao'sa'bu'qi
腹部进气,fu'bu'jin'qi
副部长助理,fu'bu'zhang'zhu'li
复合材料,fu'he'cai'liao
弗吉尼亚州,fu'ji'ni'ya'zhou
副驾驶员,fu'jia'shi'yuan
附近的,fu'jin'de
辐射反雷达导弹,fu'she'fan'lei'da'dao'dan
俯仰姿态,fu'yang'zi'tai
副油箱,fu'you'xiang
复杂数据,fu'za'shu'ju
盖茨,gai'ci
盖茨说,gai'ci'shuo
该飞机,gai'fei'ji
该飞机的,gai'fei'ji'de
该飞机上的,gai'fei'ji'shang'de
该公司,gai'gong'si
该轰炸机,gai'hong'zha'ji
该机,gai'ji
该机型,gai'ji'xing
该机于,gai'ji'yu
改进而成的,gai'jin'er'cheng'de
改进方案,gai'jin'fang'an
改进工作,gai'jin'gong'zuo
改进后的,gai'jin'hou'de
改进了,gai'jin'le
改进型歼,gai'jin'xing'jian
改进型样机,gai'jin'xing'yang'ji
该型飞机,gai'xing'fei'ji
该型机,gai'xing'ji
改装而成,gai'zhuang'er'cheng
干扰机提示能力,gan'rao'ji'ti'shi'neng'li
刚刚开始,gang'gang'kai'shi
高度综合,gao'du'zong'he
高度综合的,gao'du'zong'he'de
高飞行高度,gao'fei'hang'gao'du
高分辨力,gao'fen'bian'li
高分辨力的,gao'fen'bian'li'de
高机动性,gao'ji'dong'xing
高机动性的,gao'ji'dong'xing'de
高级官员,gao'ji'guan'yuan
高技术武器,gao'ji'shu'wu'qi
高技术战争,gao'ji'shu'zhan'zheng
高价格的,gao'jia'ge'de
高空高机动飞行,gao'kong'gao'ji'dong'fei'xing
高空加速性能,gao'kong'jia'su'xing'neng
高空最大速度,gao'kong'zui'da'su'du
高品位钛矿区,gao'pin'wei'tai'kuang'qu
高强度电子战,gao'qiang'du'dian'zi'zhan
高速飞行性能,gao'su'fei'xing'xing'neng
高速气流,gao'su'qi'liu
高速战斗机机体,gao'su'zhan'dou'ji'ji'ti
高位梯形机翼,gao'wei'ti'xing'ji'yi
高性能,gao'xing'neng
高性能重型战斗机,gao'xing'neng'zhong'xing'zhan'dou'ji
高亚音速,gao'ya'yin'su
高亚音速轰炸机,gao'ya'yin'su'hong'zha'ji
高亚音速机动作战能力,gao'ya'yin'su'ji'dong'zuo'zhan'neng'li
格公司,ge'gong'si
各机型,ge'ji'xing
格鲁门公司,ge'lu'men'gong'si
个目标,ge'mu'biao
各模件,ge'mu'jian
个身子,ge'shen'zi
各种武器,ge'zhong'wu'qi
各种信息,ge'zhong'xin'xi
各种仪表,ge'zhong'yi'biao
各种炸弹,ge'zhong'zha'dan
给定使用寿命,gei'ding'shi'yong'shou'ming
更不容易,geng'bu'rong'yi
更长时间的,geng'chang'shi'jian'de
更大功率的,geng'da'gong'lv'de
更大规模的,geng'da'gui'mo'de
更加突出,geng'jia'tu'chu
更接近于,geng'jie'jin'yu
更为出色,geng'wei'chu'se
更先进的,geng'xian'jin'de
更先进的苏,geng'xian'jin'de'su
工程人员,gong'cheng'ren'yuan
工程制造发展阶段,gong'cheng'zhi'zao'fa'zhan'jie'duan
攻击能力,gong'ji'neng'li
攻击重点,gong'ji'zhong'dian
公斤力,gong'jin'li
公里远,gong'li'yuan
工作负担,gong'zuo'fu'dan
工作时,gong'zuo'shi
固定的侧壁,gu'ding'de'ce'bi
固定翼航母,gu'ding'yi'hang'mu
固有缺陷,gu'you'que'xian
惯性导航系统,guan'xing'dao'hang'xi'tong
关于引进,guan'yu'yin'jin
关注不够,guan'zhu'bu'gou
光电传感器系统,guang'dian'chuan'gan'qi'xi'tong
光电雷达,guang'dian'lei'da
广泛使用,guang'fan'shi'yong
广角仪表起飞着陆系统,guang'jiao'yi'biao'qi'fei'zhuo'lu'xi'tong
国防新闻周刊,guo'fang'xin'wen'zhou'kan
国会预算,guo'hui'yu'suan
国际订单,guo'ji'ding'dan
国际订货,guo'ji'ding'huo
国家控制,guo'jia'kong'zhi
国土防空,guo'tu'fang'kong
国营武器出口公司,guo'ying'wu'qi'chu'kou'gong'si
哈尔滨飞机工业公司,ha'er'bin'fei'ji'gong'ye'gong'si
还包括,hai'bao'kuo
海尔法,hai'er'fa
海军的,hai'jun'de
海军舰载机机型,hai'jun'jian'zai'ji'ji'xing
海军陆战队,hai'jun'lu'zhan'dui
还能产生,hai'neng'chan'sheng
还派出,hai'pai'chu
海平面最大速度,hai'ping'mian'zui'da'su'du
海上目标,hai'shang'mu'biao
海上巡逻,hai'shang'xun'luo
海湾战争,hai'wan'zhan'zheng
还装备了,hai'zhuang'bei'le
还装有,hai'zhuang'you
航程,hang'cheng
航程为,hang'cheng'wei
航程远,hang'cheng'yuan
航弹,hang'dan
航电,hang'dian
航电系统,hang'dian'xi'tong
航电与人机接口,hang'dian'yu'ren'ji'jie'kou
航电装备,hang'dian'zhuang'bei
航空兵,hang'kong'bing
航空电子系统,hang'kong'dian'zi'xi'tong
航空发动机,hang'kong'fa'dong'ji
航空分部,hang'kong'fen'bu
航空工业,hang'kong'gong'ye
航空航天技术周刊,hang'kong'hang'tian'ji'shu'zhou'kan
航空机关炮,hang'kong'ji'guan'pao
航空母舰,hang'kong'mu'jian
航空自卫队,hang'kong'zi'wei'dui
航母型,hang'mu'xing
荷兰的,he'lan'de
核潜艇艇壳,he'qian'ting'ting'ke
和英国,he'ying'guo
合作国,he'zuo'guo
合作伙伴,he'zuo'huo'ban
合作伙伴国,he'zuo'huo'ban'guo
合作者,he'zuo'zhe
黑鸟,hei'niao
很大变化,hen'da'bian'hua
很高的,hen'gao'de
很快适应,hen'kuai'shi'ying
很宽,hen'kuan
红外辐射,hong'wai'fu'she
轰炸机的,hong'zha'ji'de
轰炸机群,hong'zha'ji'qun
轰炸机上,hong'zha'ji'shang
轰炸领航员,hong'zha'ling'hang'yuan
轰炸瞄准装置,hong'zha'miao'zhun'zhuang'zhi
后贝加尔军区,hou'bei'jia'er'jun'qu
后段为,hou'duan'wei
后继机,hou'ji'ji
后继型号,hou'ji'xing'hao
后掠角,hou'lue'jiao
后掠翼,hou'lue'yi
后燃器,hou'ran'qi
后三个为,hou'san'ge'wei
后视自防御雷达,hou'shi'zi'fang'yu'lei'da
候选机型,hou'xuan'ji'xing
候选者,hou'xuan'zhe
后缘前掠角,hou'yuan'qian'lue'jiao
互为备份,hu'wei'bei'fen
怀斯,huai'si
惠特尼公司,hui'te'ni'gong'si
会削弱,hui'xue'ruo
伙伴国,huo'ban'guo
获得了,huo'de'le
获得与维持,huo'de'yu'wei'chi
火箭发射器,huo'jian'fa'she'qi
火控设备,huo'kong'she'bei
火控系统,huo'kong'xi'tong
火力强大,huo'li'qiang'da
获取情报,huo'qu'qing'bao
活塞式发动机,huo'sai'shi'fa'dong'ji
火神式六管旋转机炮,huo'shen'shi'liu'guan'xuan'zhuan'ji'pao
机背,ji'bei
基本技术数据,ji'ben'ji'shu'shu'ju
基础上,ji'chu'shang
吉达机场,ji'da'ji'chang
极大提高,ji'da'ti'gao
机动灵活,ji'dong'ling'huo
机动能力,ji'dong'neng'li
机动性,ji'dong'xing
机动性能,ji'dong'xing'neng
机动作战能力,ji'dong'zuo'zhan'neng'li
机队,ji'dui
己方飞机,ji'fang'fei'ji
机高,ji'gao
计划改装,ji'hua'gai'zhuang
计划购买,ji'hua'gou'mai
计划装备,ji'hua'zhuang'bei
机内燃油,ji'nei'ran'you
机内武器舱,ji'nei'wu'qi'cang
机内油箱载油,ji'nei'you'xiang'zai'you
机炮,ji'pao
机上的,ji'shang'de
机上武器系统,ji'shang'wu'qi'xi'tong
极少的,ji'shao'de
机身背部,ji'shen'bei'bu
机身长,ji'shen'chang
机身结构,ji'shen'jie'gou
机身内,ji'shen'nei
机身上部,ji'shen'shang'bu
机身为,ji'shen'wei
技术标准,ji'shu'biao'zhun
技术过渡,ji'shu'guo'du
技术积累,ji'shu'ji'lei
技术特点,ji'shu'te'dian
技术演变,ji'shu'yan'bian
技术验证机阶段,ji'shu'yan'zheng'ji'jie'duan
计算机技术,ji'suan'ji'ji'shu
机体,ji'ti
机体表面,ji'ti'biao'mian
机体内,ji'ti'nei
机体重量,ji'ti'zhong'liang
机头,ji'tou
机头雷达罩,ji'tou'lei'da'zhao
极限纪录,ji'xian'ji'lu
极限速度,ji'xian'su'du
机械传动系统,ji'xie'chuan'dong'xi'tong
机械驱动式,ji'xie'qu'dong'shi
机械仪表式,ji'xie'yi'biao'shi
继续保持,ji'xu'bao'chi
机翼,ji'yi
机翼根部前缘,ji'yi'gen'bu'qian'yuan
机翼面积,ji'yi'mian'ji
机翼内,ji'yi'nei
机翼上,ji'yi'shang
机翼失速,ji'yi'shi'su
机载传感器,ji'zai'chuan'gan'qi
机载飞行设备,ji'zai'fei'xing'she'bei
机载机枪,ji'zai'ji'qiang
机载雷达,ji'zai'lei'da
机载雷达为,ji'zai'lei'da'wei
机载武器,ji'zai'wu'qi
机载无线电电子设备,ji'zai'wu'xian'dian'dian'zi'she'bei
机载无线电系统,ji'zai'wu'xian'dian'xi'tong
机长,ji'zhang
架俄制,jia'e'zhi
价格确定,jia'ge'que'ding
加工工艺,jia'gong'gong'yi
加紧生产,jia'jin'sheng'chan
加力状态,jia'li'zhuang'tai
加洛斯,jia'luo'si
架美制,jia'mei'zhi
驾驶舱,jia'shi'cang
架苏,jia'su
加速性能,jia'su'xing'neng
假想敌,jia'xiang'di
架战斗机,jia'zhan'dou'ji
加装了,jia'zhuang'le
舰队防空,jian'dui'fang'kong
歼击机,jian'ji'ji
减少一半,jian'shao'yi'ban
减速器,jian'su'qi
减小了,jian'xiao'le
简易机场,jian'yi'ji'chang
舰载机,jian'zai'ji
舰载型,jian'zai'xing
舰载战斗机,jian'zai'zhan'dou'ji
将改进,jiang'gai'jin
桨尖喷气,jiang'jian'pen'qi
将具备,jiang'ju'bei
将替换,jiang'ti'huan
将要购买,jiang'yao'gou'mai
将拥有,jiang'yong'you
将油门,jiang'you'men
交错射面,jiao'cuo'she'mian
较大的,jiao'da'de
较大的航程,jiao'da'de'hang'cheng
较大吸力,jiao'da'xi'li
交付日期,jiao'fu'ri'qi
较高的,jiao'gao'de
较好的,jiao'hao'de
较强的,jiao'qiang'de
较新版本,jiao'xin'ban'ben
结构材料,jie'gou'cai'liao
结构性压力,jie'gou'xing'ya'li
结构重量,jie'gou'zhong'liang
截击机,jie'ji'ji
截机作战,jie'ji'zuo'zhan
接近音速,jie'jin'yin'su
解决方案,jie'jue'fang'an
接受测试,jie'shou'ce'shi
接收完毕,jie'shou'wan'bi
近程,jin'cheng
近程格斗空对空导弹,jin'cheng'ge'dou'kong'dui'kong'dao'dan
近程轰炸机,jin'cheng'hong'zha'ji
近程战斗机,jin'cheng'zhan'dou'ji
紧急救护,jin'ji'jiu'hu
近距格斗,jin'ju'ge'dou
近距空空导弹,jin'ju'kong'kong'dao'dan
近距空中支援,jin'ju'kong'zhong'zhi'yuan
近距离空中支援,jin'ju'li'kong'zhong'zhi'yuan
进气道,jin'qi'dao
进气道外侧,jin'qi'dao'wai'ce
进气流量,jin'qi'liu'liang
进入部队服役,jin'ru'bu'dui'fu'yi
进入全速生产,jin'ru'quan'su'sheng'chan
金属部件,jin'shu'bu'jian
金属材料,jin'shu'cai'liao
进行保障,jin'xing'bao'zhang
进行电子战,jin'xing'dian'zi'zhan
进行改进,jin'xing'gai'jin
进行攻击,jin'xing'gong'ji
进行轰炸,jin'xing'hong'zha
进行了,jin'xing'le
进行了调整,jin'xing'le'tiao'zheng
进行替换,jin'xing'ti'huan
进行维护,jin'xing'wei'hu
进行显示,jin'xing'xian'shi
竞标战斗机,jing'biao'zhan'dou'ji
经过机翼,jing'guo'ji'yi
竞技格斗弹,jing'ji'ge'dou'dan
经济性,jing'ji'xing
经济性好,jing'ji'xing'hao
经蒙古,jing'meng'gu
精确目标跟踪,jing'que'mu'biao'gen'zong
竞争对手,jing'zheng'dui'shou
具备隐身能力,ju'bei'yin'shen'neng'li
聚合复合材料,ju'he'fu'he'cai'liao
聚合物材料,ju'he'wu'cai'liao
拒绝透露,ju'jue'tou'lu
具有上半球,ju'you'shang'ban'qiu
军方,jun'fang
军方背景,jun'fang'bei'jing
军方人士,jun'fang'ren'shi
军费收缩,jun'fei'shou'suo
军工航天企业,jun'gong'hang'tian'qi'ye
军购预算,jun'gou'yu'suan
军事材料,jun'shi'cai'liao
军事打击,jun'shi'da'ji
军事斗争,jun'shi'dou'zheng
军事工业,jun'shi'gong'ye
军事观察家,jun'shi'guan'cha'jia
