唉怪,ai'guai
卷煎,juan'jian
绝户头,jue'hu'tou
开泰花园,kai'tai'hua'yuan
可奥了,ke'ao'le
磕碜,ke'chen
坷垃头子,ke'la'tou'zi
柯了头子,ke'le'tou'zi
可是味了,ke'shi'wei'le
可恶,ke'wu
吭人,keng'ren
快活林,kuai'huo'lin
拉呱,la'gua
来着,lai'zhe
老猫吼子,lao'mao'hou'zi
老运河,lao'yun'he
立棱,li'leng
离心,li'xin
练地摊儿,lian'di'tan'er
连哩的,lian'li'de
练摊儿,lian'tan'er
凉亮里,liang'liang'li
列熊,lie'xiong
柳行,liu'xing
刘庄,liu'zhuang
龙行路,long'xing'lu
漏味,lou'wei
鲁抗,lu'kang
鲁塑,lu'su
鲁兴新苑,lu'xing'xin'yuan
啰啰,luo'luo
落落嘛,luo'luo'ma
马古油子,ma'gu'you'zi
嘛哩哩,ma'li'li
嘛离里,ma'li'li
嘛也,ma'ye
马驿桥,ma'yi'qiao
买卖,mai'mai
卖派,mai'pai
毛包,mao'bao
毛儿包,mao'er'bao
没心烦,mei'xin'fan
面儿里,mian'er'li
面筋泡,mian'jin'pao
绵绵呼子,mian'mian'hu'zi
苗营,miao'ying
摸乱,mo'luan
木迪,mu'di
南菜市,nan'cai'shi
南门口,nan'men'kou
嫩拜先,nen'bai'xian
你望望,ni'wang'wang
捻宁,nian'ning
娘们,niang'men
牛市街,niu'shi'jie
侬的慌,nong'de'huang
潘家大楼,pan'jia'da'lou
琵琶山,pi'pa'shan
铺排,pu'pai
前儿里,qian'er'li
茄阔,qie'kuo
秦庄路,qin'zhuang'lu
青皮,qing'pi
求其儿,qiu'qi'er
球球,qiu'qiu
全伙儿,quan'huo'er
瘸腿两,que'tui'liang
瓤白,rang'bai
人武,ren'wu
儒了子,ru'le'zi
腮帮子,sai'bang'zi
赛玛特,sai'ma'te
三郭,san'guo
三里营,san'li'ying
三义庙,san'yi'miao
粆汤,sha'tang
筛月,shai'yue
山个咋子,shan'ge'za'zi
山推,shan'tui
烧包,shao'bao
烧熊,shao'xiong
舌头力子,she'tou'li'zi
什么荒子,shen'me'huang'zi
糁汤,shen'tang
世纪联华,shi'ji'lian'hua
是味,shi'wei
手几盖,shou'ji'gai
水岸盛世,shui'an'sheng'shi
水景花园,shui'jing'hua'yuan
税务街,shui'wu'jie
顺河门,shun'he'men
舜泰园,shun'tai'yuan
梭一,suo'yi
趿拉板,ta'la'ban
太白楼,tai'bai'lou
太白楼路,tai'bai'lou'lu
太东,tai'dong
太和桥,tai'he'qiao
忒好了,tei'hao'le
条更,tiao'geng
条柱各的,tiao'zhu'ge'de
铁塔寺,tie'ta'si
挺畅,ting'chang
万佳广场,wan'jia'guang'chang
王母阁,wang'mu'ge
望望,wang'wang
文昌阁,wen'chang'ge
我原,wo'yuan
我愿,wo'yuan
屋当门,wu'dang'men
乌拉儿牛,wu'la'er'niu
五里营,wu'li'ying
吴泰闸,wu'tai'zha
吴泰闸路,wu'tai'zha'lu
兀子,wu'zi
西得,xi'de
希好,xi'hao
西红庙,xi'hong'miao
西门,xi'men
下巴磕子,xia'ba'ke'zi
瞎话流云,xia'hua'liu'yun
瞎了,xia'le
瞎腰,xia'yao
仙营,xian'ying
仙营绿地,xian'ying'lv'di
小北湖,xiao'bei'hu
小胡,xiao'hu
小南门,xiao'nan'men
小松山推,xiao'song'shan'tui
小闸口,xiao'zha'kou
歇呼,xie'hu
蝎虎,xie'hu
蝎虎子,xie'hu'zi
歇酸,xie'suan
谢营,xie'ying
信人,xin'ren
兴隆桥,xing'long'qiao
熊买儿卖儿,xiong'mai'er'mai'er
秀水城,xiu'shui'cheng
燕儿滴,yan'er'di
洋火,yang'huo
杨柳国际,yang'liu'guo'ji
洋茄子,yang'qie'zi
夜猫子,ye'mao'zi
掖折子,ye'zhe'zi
已爱里,yi'ai'li
伊巴,yi'ba
一镚儿,yi'beng'er
一镚子,yi'beng'zi
益民小区,yi'min'xiao'qu
一天门,yi'tian'men
痍歪人,yi'wai'ren
易易争争,yi'yi'zheng'zheng
意子,yi'zi
易子,yi'zi
由敖屹,you'ao'yi
有局面,you'ju'mian
油篓巷,you'lou'xiang
淤了,yu'le
淤末,yu'mo
玉堂,yu'tang
芋头,yu'tou
原是,yuan'shi
月匙,yue'chi
玥齿,yue'chi
越河,yue'he
越河街,yue'he'jie
运河城,yun'he'cheng
运河佳园,yun'he'jia'yuan
攒的慌,zan'de'huang
枣店阁,zao'dian'ge
咋呼,zha'hu
炸腮,zha'sai
炸歪,zha'wai
真嘚,zhen'de
真恶,zhen'e
真儒,zhen'ru
真是味,zhen'shi'wei
治摆,zhi'bai
知不道,zhi'bu'dao
置城国际,zhi'cheng'guo'ji
纸缺子,zhi'que'zi
吱歪,zhi'wai
竹竿巷,zhu'gan'xiang
兹萨,zi'sa
揍饭,zou'fan
做假,zuo'jia
