把矛头直指,ba'mao'tou'zhi'zhi
刘牢之,liu'lao'zhi
刘劭,liu'shao
刘宋,liu'song
刘宋时黄河以北的,liu'song'shi'huang'he'yi'bei'de
刘义符,liu'yi'fu
刘义隆,liu'yi'long
刘裕,liu'yu
刘豫,liu'yu
刘昱,liu'yu
刘裕鉴于,liu'yu'jian'yu
刘准,liu'zhun
六合东南,lu'he'dong'nan
陆秀夫,lu'xiu'fu
陆续夺去,lu'xu'duo'qu
门阀专政,men'fa'zhuan'zheng
蒙古,meng'gu
蒙古建国,meng'gu'jian'guo
孟太后,meng'tai'hou
面临更强大的敌人,mian'lin'geng'qiang'da'de'di'ren
灭金,mie'jin
灭宋,mie'song
明帝,ming'di
莫须有,mo'xu'you
纳贡称臣,na'gong'cheng'chen
纳土,na'tu
南败楚,nan'bai'chu
南朝,nan'chao
南朝疆域,nan'chao'jiang'yu
南汉,nan'han
南侵,nan'qin
南宋残余势力,nan'song'can'yu'shi'li
南宋非常懦弱,nan'song'fei'chang'nuo'ruo
南宋皇帝,nan'song'huang'di
南宋所,nan'song'suo
南宋也曾,nan'song'ye'ceng
南宋与金朝,nan'song'yu'jin'chao
南宋与西夏,nan'song'yu'xi'xia
南宋在,nan'song'zai
南宋终于在,nan'song'zhong'yu'zai
南唐,nan'tang
南至,nan'zhi
内乱更加炽热,nei'luan'geng'jia'chi're
年金国,nian'jin'guo
年任,nian'ren
宁宗,ning'zong
宁宗以后,ning'zong'yi'hou
农民起义不断发生,nong'min'qi'yi'bu'duan'fa'sheng
女真,nv'zhen
叛臣却以,pan'chen'que'yi
叛国投敌,pan'guo'tou'di
辟公,pi'gong
偏安一隅,pian'an'yi'yu
平定,ping'ding
迫使人民,po'shi'ren'min
契丹,qi'dan
起过,qi'guo
齐桓公,qi'huan'gong
齐湣王,qi'min'wang
其统治,qi'tong'zhi
企图继承,qi'tu'ji'cheng
七雄,qi'xiong
前所未有的,qian'suo'wei'you'de
钦二帝,qin'er'di
秦桧,qin'hui
秦桧削去,qin'hui'xue'qu
侵宋,qin'song
清理户籍,qing'li'hu'ji
穷追不舍,qiong'zhui'bu'she
取淮北之地,qu'huai'bei'zhi'di
劝农,quan'nong
却受到,que'shou'dao
让于赵恒,rang'yu'zhao'heng
人马饥乏在沿江,ren'ma'ji'fa'zai'yan'jiang
人民得以,ren'min'de'yi
人民积欠政府的,ren'min'ji'qian'zheng'fu'de
仁宗,ren'zong
杀害了,sha'hai'le
杀刘昱,sha'liu'yu
杀文帝,sha'wen'di
社会生产有所发展,she'hui'sheng'chan'you'suo'fa'zhan
神宗,shen'zong
失败后,shi'bai'hou
史称北宋,shi'cheng'bei'song
史称南宋,shi'cheng'nan'song
史称元嘉之治,shi'cheng'yuan'jia'zhi'zhi
使得社会,shi'de'she'hui
使皇帝,shi'huang'di
使农民,shi'nong'min
失去了,shi'qu'le
史书上记载的,shi'shu'shang'ji'zai'de
使宋朝,shi'song'chao
是为宋高宗,shi'wei'song'gao'zong
使中国,shi'zhong'guo
是中国,shi'zhong'guo
数百里内,shu'bai'li'nei
庶兄,shu'xiong
双方互不侵犯,shuang'fang'hu'bu'qin'fan
司城子罕,si'cheng'zi'han
四分五裂的的局面,si'fen'wu'lie'di'di'ju'mian
四十三年,si'shi'san'nian
汜水镇,si'shui'zhen
宋常为,song'chang'wei
宋朝的,song'chao'de
宋朝的局面,song'chao'de'ju'mian
宋朝国力,song'chao'guo'li
宋朝廷,song'chao'ting
宋初,song'chu
宋都,song'dou
宋高宗,song'gao'zong
宋桓侯,song'huan'hou
宋徽宗,song'hui'zong
宋江,song'jiang
宋康王,song'kang'wang
宋辽,song'liao
宋宁宗,song'ning'zong
宋钦宗,song'qin'zong
宋太宗,song'tai'zong
宋太祖,song'tai'zu
宋王朝,song'wang'chao
宋文帝,song'wen'di
宋襄公,song'xiang'gong
岁币,sui'bi
岁的,sui'de
随着陆秀夫,sui'zhe'lu'xiu'fu
所建立的,suo'jian'li'de
所取代,suo'qu'dai
所消灭,suo'xiao'mie
他便是,ta'bian'shi
他为了,ta'wei'le
泰豫元年,tai'yu'yuan'nian
太子出奔,tai'zi'chu'ben
逃往南方,tao'wang'nan'fang
逃至金陵,tao'zhi'jin'ling
滕伐薛,teng'fa'xue
提高户等,ti'gao'hu'deng
跳海而死,tiao'hai'er'si
停战和议,ting'zhan'he'yi
统一北方,tong'yi'bei'fang
统一全国的,tong'yi'quan'guo'de
统治方式,tong'zhi'fang'shi
统治末年,tong'zhi'mo'nian
统治者的无能,tong'zhi'zhe'de'wu'neng
推行求和政策,tui'xing'qiu'he'zheng'ce
推行新法,tui'xing'xin'fa
外族的进攻,wai'zu'de'jin'gong
外族的危胁,wai'zu'de'wei'xie
万般无奈之下,wan'ban'wu'nai'zhi'xia
万大军,wan'da'jun
王安石,wang'an'shi
王权弱小,wang'quan'ruo'xiao
为并存政权,wei'bing'cun'zheng'quan
为代价,wei'dai'jia
为帝,wei'di
为界,wei'jie
为金朝所灭,wei'jin'chao'suo'mie
魏军,wei'jun
魏军的,wei'jun'de
魏军只得,wei'jun'zhi'de
为口号的,wei'kou'hao'de
为了使宋,wei'le'shi'song
为了收复,wei'le'shou'fu
伪齐军,wei'qi'jun
为使社会,wei'shi'she'hui
为伪楚皇帝,wei'wei'chu'huang'di
为相,wei'xiang
微子启,wei'zi'qi
文臣武将有的被杀,wen'chen'wu'jiang'you'de'bei'sha
文帝,wen'di
文天祥,wen'tian'xiang
五代十国,wu'dai'shi'guo
武庚,wu'geng
吴越,wu'yue
西路则,xi'lu'ze
西南至,xi'nan'zhi
西周,xi'zhou
下诏立,xia'zhao'li
先后答应,xian'hou'da'ying
先后起兵作乱,xian'hou'qi'bing'zuo'luan
相对稳定,xiang'dui'wen'ding
萧道成,xiao'dao'cheng
萧道成废刘准,xiao'dao'cheng'fei'liu'zhun
小规模的,xiao'gui'mo'de
小皇帝,xiao'huang'di
孝武帝,xiao'wu'di
孝宗,xiao'zong
新法,xin'fa
新建的,xin'jian'de
兴学,xing'xue
兄弟之邦向辽,xiong'di'zhi'bang'xiang'liao
徐羡之,xu'xian'zhi
宣告灭亡,xuan'gao'mie'wang
宣和七年,xuan'he'qi'nian
削弱了各官的职权,xue'ruo'le'ge'guan'de'zhi'quan
崖山海战,ya'shan'hai'zhan
沿淮水,yan'huai'shui
严加监视,yan'jia'jian'shi
沿袭唐制,yan'xi'tang'zhi
燕云十六州,yan'yun'shi'liu'zhou
严重的威胁北宋末年,yan'zhong'de'wei'xie'bei'song'mo'nian
也曾经,ye'ceng'jing
野蛮破坏,ye'man'po'huai
已到达,yi'dao'da
以加强,yi'jia'qiang
已经被,yi'jing'bei
已经大乱,yi'jing'da'luan
已落入,yi'luo'ru
以弭兵,yi'mi'bing
以南地区,yi'nan'di'qu
以扭转,yi'niu'zhuan
以求加强,yi'qiu'jia'qiang
亦日益加重,yi'ri'yi'jia'zhong
义熙土断,yi'xi'tu'duan
以向金国,yi'xiang'jin'guo
一些作用,yi'xie'zuo'yong
一心想和,yi'xin'xiang'he
以增加税收,yi'zeng'jia'shui'shou
一直处于,yi'zhi'chu'yu
抑制豪强兼并减轻人民负担,yi'zhi'hao'qiang'jian'bing'jian'qing'ren'min'fu'dan
因没能,yin'mei'neng
殷商遗民,yin'shang'yi'min
因遭疑忌,yin'zao'yi'ji
英宗,ying'zong
英宗皇后,ying'zong'huang'hou
永初三年,yong'chu'san'nian
拥立了,yong'li'le
又罢免,you'ba'mian
又被分成,you'bei'fen'cheng
又出现了,you'chu'xian'le
又调集,you'diao'ji
又归于统一,you'gui'yu'tong'yi
又恢复了,you'hui'fu'le
有了完全的,you'le'wan'quan'de
又立,you'li
游牧民族的入侵,you'mu'min'zu'de'ru'qin
优秀的政治家,you'xiu'de'zheng'zhi'jia
又以,you'yi
又一次攻打并掠去,you'yi'ci'gong'da'bing'lue'qu
由岳飞,you'yue'fei
又在一定程度上,you'zai'yi'ding'cheng'du'shang
幼主,you'zhu
与此同时北方的强国,yu'ci'tong'shi'bei'fang'de'qiang'guo
于公元,yu'gong'yuan
与金国的联军,yu'jin'guo'de'lian'jun
于康王,yu'kang'wang
与辽国在澶州,yu'liao'guo'zai'chan'zhou
与其定下的,yu'qi'ding'xia'de
与宋同时代的,yu'song'tong'shi'dai'de
元徽五年,yuan'hui'wu'nian
元嘉三十年,yuan'jia'san'shi'nian
元嘉以后,yuan'jia'yi'hou
元嘉之世,yuan'jia'zhi'shi
元军,yuan'jun
原商都,yuan'shang'du
元熙二年,yuan'xi'er'nian
原先的,yuan'xian'de
元佑年间,yuan'you'nian'jian
岳飞,yue'fei
在丞相,zai'cheng'xiang
在出兵,zai'chu'bing
在出兵途中,zai'chu'bing'tu'zhong
再次缩小,zai'ci'suo'xiao
再次统一了,zai'ci'tong'yi'le
在东晋,zai'dong'jin
在黄河两岸,zai'huang'he'liang'an
在军事方面,zai'jun'shi'fang'mian
在开封,zai'kai'feng
在科举方面,zai'ke'ju'fang'mian
在临安,zai'lin'an
在中央,zai'zhong'yang
暂时制止了金国的南侵,zan'shi'zhi'zhi'le'jin'guo'de'nan'qin
造成了,zao'cheng'le
早年曾,zao'nian'ceng
早在刘裕,zao'zai'liu'yu
则深忌之,ze'shen'ji'zhi
战国中期,zhan'guo'zhong'qi
粘罕,zhan'han
张邦昌,zhang'bang'chang
张邦昌在,zhang'bang'chang'zai
掌典机要地方则,zhang'dian'ji'yao'di'fang'ze
张浚,zhang'jun
掌握的,zhang'wo'de
掌握国政,zhang'wo'guo'zheng
掌握权,zhang'wo'quan
赵构,zhao'gou
赵构为帝,zhao'gou'wei'di
赵光义,zhao'guang'yi
赵匡胤,zhao'kuang'yin
招贤,zhao'xian
这次结盟,zhe'ci'jie'meng
这时实权,zhe'shi'shi'quan
哲宗,zhe'zong
镇将,zhen'jiang
真宗,zhen'zong
争夺中心,zheng'duo'zhong'xin
正式即位,zheng'shi'ji'wei
政治腐败,zheng'zhi'fu'bai
至北宋,zhi'bei'song
直抵海滨,zhi'di'hai'bin
制定了一系列的政策方针,zhi'ding'le'yi'xi'lie'de'zheng'ce'fang'zhen
指挥抗金北伐,zhi'hui'kang'jin'bei'fa
直迫,zhi'po
中国大部分地区,zhong'guo'da'bu'fen'di'qu
中国南朝,zhong'guo'nan'chao
中国先秦,zhong'guo'xian'qin
中国先秦时期,zhong'guo'xian'qin'shi'qi
中领军,zhong'ling'jun
中原各国,zhong'yuan'ge'guo
周公,zhou'gong
周恭帝,zhou'gong'di
纣王,zhou'wang
周王朝,zhou'wang'chao
周围的,zhou'wei'de
诸侯,zhu'hou
诛劭,zhu'shao
诸王,zhu'wang
专制皇权,zhuan'zhi'huang'quan
准备渡江,zhun'bei'du'jiang
自立为王,zi'li'wei'wang
自宋朝,zi'song'chao
自唐末而形成的,zi'tang'mo'er'xing'cheng'de
子姓诸侯国,zi'xing'zhu'hou'guo
宗室,zong'shi
宗泽,zong'ze
走投无路的,zou'tou'wu'lu'de
最软弱的王朝,zui'ruan'ruo'de'wang'chao
最终的考核,zui'zhong'de'kao'he
