阿姨,a'yi
饱食终日,bao'shi'zhong'ri
保守,bao'shou
保亭榕,bao'ting'rong
包头,bao'tou
保险,bao'xian
报销,bao'xiao
保修,bao'xiu
保修卡,bao'xiu'ka
保障,bao'zhang
报账,bao'zhang
保重,bao'zhong
孢子,bao'zi
北大,bei'da
北段,bei'duan
被发现,bei'fa'xian
备份,bei'fen
北宫门,bei'gong'men
被记录,bei'ji'lu
背景,bei'jing
北京,bei'jing
北京北京,bei'jing'bei'jing
北京了没有,bei'jing'le'mei'you
北京人,bei'jing'ren
北京市,bei'jing'shi
北京四,bei'jing'si
北京住,bei'jing'zhu
被骗,bei'pian
被讨论,bei'tao'lun
北纬,bei'wei
备选取,bei'xuan'qu
被选择,bei'xuan'ze
北一,bei'yi
备用,bei'yong
北缘,bei'yuan
备注,bei'zhu
备注名,bei'zhu'ming
被子植物,bei'zi'zhi'wu
本本,ben'ben
本不,ben'bu
本地,ben'di
本方法,ben'fang'fa
本科,ben'ke
本来,ben'lai
本人,ben'ren
本省,ben'sheng
本文,ben'wen
本县,ben'xian
本月,ben'yue
本周六周日,ben'zhou'liu'zhou'ri
比啊,bi'a
笔记本,bi'ji'ben
比较,bi'jiao
比骄傲,bi'jiao'ao
比较多,bi'jiao'duo
比较而言,bi'jiao'er'yan
比较哈,bi'jiao'ha
比较好,bi'jiao'hao
比较能,bi'jiao'neng
比较普遍,bi'jiao'pu'bian
逼近高校,bi'jin'gao'xiao
毕竟,bi'jing
比例,bi'li
比率,bi'lv
避免,bi'mian
笔名,bi'ming
逼你,bi'ni
比你,bi'ni
比起,bi'qi
比起这个来,bi'qi'zhe'ge'lai
比钱,bi'qian
比如,bi'ru
比我,bi'wo
比我们,bi'wo'men
必须,bi'xu
必要,bi'yao
必要性,bi'yao'xing
毕业,bi'ye
毕业的,bi'ye'de
毕业的时候,bi'ye'de'shi'hou
毕业了,bi'ye'le
毕业论文,bi'ye'lun'wen
毕业生,bi'ye'sheng
毕业证,bi'ye'zheng
逼着,bi'zhe
变成,bian'cheng
变成了,bian'cheng'le
变得,bian'de
变更,bian'geng
编号,bian'hao
变好一点了,bian'hao'yi'dian'le
变化,bian'hua
变化来,bian'hua'lai
编辑,bian'ji
编辑部,bian'ji'bu
变冷了,bian'leng'liao
辨认,bian'ren
编委,bian'wei
编写,bian'xie
编写的,bian'xie'de
变型,bian'xing
编译,bian'yi
边缘,bian'yuan
标本,biao'ben
表表心意,biao'biao'xin'yi
表达,biao'da
表面,biao'mian
表面积,biao'mian'ji
表皮,biao'pi
表示,biao'shi
表现,biao'xian
标志,biao'zhi
标注一下,biao'zhu'yi'xia
标准版,biao'zhun'ban
标准的,biao'zhun'de
别的,bie'de
别的方法,bie'de'fang'fa
别的图书馆,bie'de'tu'shu'guan
别发了,bie'fa'le
别见外,bie'jian'wai
憋了,bie'le
别名,bie'ming
别人,bie'ren
别省着,bie'sheng'zhe
别忘了,bie'wang'le
别泄气,bie'xie'qi
别有用心,bie'you'yong'xin
别着急,bie'zhao'ji
别找了,bie'zhao'le
别传了,bie'zhuan'le
宾馆,bin'guan
冰纯,bing'chun
并获,bing'huo
并结合,bing'jie'he
并且,bing'qie
波波,bo'bo
博尔,bo'er
波尔,bo'er
薄荷茶,bo'he'cha
博客,bo'ke
玻璃,bo'li
剥皮,bo'pi
剥去,bo'qu
波生,bo'sheng
博士,bo'shi
博士生,bo'shi'sheng
播种啊,bo'zhong'a
不安于,bu'an'yu
不变,bu'bian
不成功,bu'cheng'gong
补充,bu'chong
补充哦,bu'chong'o
不愁嫁,bu'chou'jia
不出国,bu'chu'guo
不出来,bu'chu'lai
不从,bu'cong
不粗,bu'cu
不错,bu'cuo
不错啊,bu'cuo'a
不错吧,bu'cuo'ba
不错了,bu'cuo'le
不大,bu'da
不大不小,bu'da'bu'xiao
不大可能,bu'da'ke'neng
不耽误,bu'dan'wu
不到啊,bu'dao'a
不到饶你了,bu'dao'rao'ni'le
不得人心,bu'de'ren'xin
不懂,bu'dong
不懂得,bu'dong'de
不多,bu'duo
不发,bu'fa
不方便,bu'fang'bian
部分,bu'fen
不分了,bu'fen'le
不符合,bu'fu'he
不干活,bu'gan'huo
不敢去,bu'gan'qu
不搞,bu'gao
不够,bu'gou
不顾,bu'gu
不管,bu'guan
不关心,bu'guan'xin
不贵,bu'gui
不过,bu'guo
不过很久不来了,bu'guo'hen'jiu'bu'lai'le
不过就,bu'guo'jiu
不过快,bu'guo'kuai
不过偶,bu'guo'ou
不好,bu'hao
不好啊,bu'hao'a
不好好哦啊,bu'hao'hao'o'a
不好讲,bu'hao'jiang
不好讲话,bu'hao'jiang'hua
不好进,bu'hao'jin
不好哦,bu'hao'o
不好说,bu'hao'shuo
不好意思,bu'hao'yi'si
不好找,bu'hao'zhao
不和,bu'he
不和你聊天,bu'he'ni'liao'tian
不合适,bu'he'shi
不很,bu'hen
不很辛苦,bu'hen'xin'ku
不花,bu'hua
不会,bu'hui
不会吧,bu'hui'ba
不会加,bu'hui'jia
不会有问题,bu'hui'you'wen'ti
不会这么快,bu'hui'zhe'me'kuai
不积极不,bu'ji'ji'bu
不见,bu'jian
不见了,bu'jian'le
不接受,bu'jie'shou
不借助,bu'jie'zhu
不仅,bu'jin
不经常,bu'jing'chang
不考虑,bu'kao'lv
不可,bu'ke
不可能,bu'ke'neng
不客气,bu'ke'qi
不来,bu'lai
不老,bu'lao
不理,bu'li
不理不睬,bu'li'bu'cai
不理你了,bu'li'ni'le
不了,bu'liao
不了解,bu'liao'jie
不论,bu'lun
不满,bu'man
不忙的,bu'mang'de
不忙着结婚,bu'mang'zhe'jie'hun
部门,bu'men
不能,bu'neng
不能下载,bu'neng'xia'zai
不怕,bu'pa
不切实际,bu'qie'shi'ji
不清楚,bu'qing'chu
不去,bu'qu
不确定,bu'que'ding
不然,bu'ran
不让,bu'rang
不让去,bu'rang'qu
不热,bu're
不认识,bu'ren'shi
不如,bu'ru
不上,bu'shang
不上课,bu'shang'ke
不上了,bu'shang'le
不上树,bu'shang'shu
不少,bu'shao
不少的人,bu'shao'de'ren
不生病,bu'sheng'bing
不是,bu'shi
不受限制,bu'shou'xian'zhi
不睡,bu'shui
不说,bu'shuo
不送,bu'song
不随着,bu'sui'zhe
不太,bu'tai
不太常用,bu'tai'chang'yong
不太懂,bu'tai'dong
不太懂这个,bu'tai'dong'zhe'ge
不太方便,bu'tai'fang'bian
不太好,bu'tai'hao
不太困,bu'tai'kun
不太了解,bu'tai'liao'jie
不太忙,bu'tai'mang
不太清楚,bu'tai'qing'chu
不太习惯,bu'tai'xi'guan
不太像,bu'tai'xiang
不太远,bu'tai'yuan
不太准确,bu'tai'zhun'que
不通,bu'tong
不同,bu'tong
不同的,bu'tong'de
不同的学习,bu'tong'de'xue'xi
不同样地,bu'tong'yang'de
部位,bu'wei
不为,bu'wei
不像,bu'xiang
不想,bu'xiang
不想开通了,bu'xiang'kai'tong'le
不像我,bu'xiang'wo
不小,bu'xiao
不行,bu'xing
不行了,bu'xing'le
不需要,bu'xu'yao
不雅,bu'ya
不严重,bu'yan'zhong
不要,bu'yao
不要紧,bu'yao'jin
不要客气,bu'yao'ke'qi
不要老想,bu'yao'lao'xiang
不易,bu'yi
不一定,bu'yi'ding
不移去,bu'yi'qu
不一样,bu'yi'yang
不用,bu'yong
不用退,bu'yong'tui
不予考虑,bu'yu'kao'lv
不预约,bu'yu'yue
不远,bu'yuan
不再,bu'zai
不在的话,bu'zai'de'hua
不在家,bu'zai'jia
不在一起,bu'zai'yi'qi
不着急,bu'zhao'ji
不着急了,bu'zhao'ji'le
不知,bu'zhi
不知熬,bu'zhi'ao
不知道,bu'zhi'dao
不知道时候,bu'zhi'dao'shi'hou
不知你的芳名,bu'zhi'ni'de'fang'ming
步骤,bu'zhou
不准确,bu'zhun'que
不足,bu'zu
不做,bu'zuo
才不至于,cai'bu'zhi'yu
菜单,cai'dan
采点,cai'dian
才好,cai'hao
彩虹,cai'hong
才会,cai'hui
才可以,cai'ke'yi
踩了,cai'le
采了点,cai'le'dian
材料,cai'liao
才能,cai'neng
才能出来,cai'neng'chu'lai
才你哦个,cai'ni'o'ge
才气,cai'qi
材性,cai'xing
采样,cai'yang
采一点,cai'yi'dian
采一些,cai'yi'xie
采用,cai'yong
参见,can'jian
参考,can'kao
参谋,can'mou
参数及,can'shu'ji
草本,cao'ben
草本层,cao'ben'ceng
草本植物,cao'ben'zhi'wu
曹操,cao'cao
草果,cao'guo
曹洪,cao'hong
曹同,cao'tong
曹县,cao'xian
曹艳丽,cao'yan'li
操作,cao'zuo
测度方法,ce'du'fang'fa
测量,ce'liang
测量树木,ce'liang'shu'mu
侧枝,ce'zhi
层次,ceng'ci
层面,ceng'mian
查案,cha'an
差别,cha'bie
差不多,cha'bu'duo
叉处,cha'chu
查到,cha'dao
查点资料,cha'dian'zi'liao
差额,cha'e
差个,cha'ge
查个东西,cha'ge'dong'xi
查个文献,cha'ge'wen'xian
差距,cha'ju
查看,cha'kan
查看了一下,cha'kan'le'yi'xia
查收,cha'shou
查询,cha'xun
差异,cha'yi
查一下,cha'yi'xia
查阅,cha'yue
查找,cha'zhao
查找一些,cha'zhao'yi'xie
查资料,cha'zi'liao
缠满,chan'man
产品,chan'pin
产权,chan'quan
产生,chan'sheng
长包,chang'bao
长苞毛兰,chang'bao'mao'lan
长臂猿,chang'bi'yuan
长边,chang'bian
长的,chang'de
长度,chang'du
长方形,chang'fang'xing
长方形的,chang'fang'xing'de
常和老婆,chang'he'lao'po
长厚条蕨,chang'hou'tiao'jue
长花,chang'hua
常见,chang'jian
常见种,chang'jian'zhong
长江,chang'jiang
昌江,chang'jiang
昌江县,chang'jiang'xian
长茎,chang'jing
长茎卷,chang'jing'juan
长茎卷瓣兰,chang'jing'juan'ban'lan
常联系,chang'lian'xi
常绿,chang'lv
常绿林,chang'lv'lin
长期,chang'qi
常去看看,chang'qu'kan'kan
长沙,chang'sha
尝试,chang'shi
常识,chang'shi
长提案不能,chang'ti'an'bu'neng
长条蕨,chang'tiao'jue
长些,chang'xie
长一段一点,chang'yi'duan'yi'dian
常用,chang'yong
常用的,chang'yong'de
长圆形,chang'yuan'xing
炒菜,chao'cai
超过,chao'guo
朝核,chao'he
超级,chao'ji
超级玛丽,chao'ji'ma'li
超级小,chao'ji'xiao
吵架,chao'jia
超前,chao'qian
潮湿,chao'shi
朝鲜,chao'xian
朝向,chao'xiang
超星,chao'xing
朝阳,chao'yang
朝阳医院,chao'yang'yi'yuan
车轮,che'lun
陈高,chen'gao
陈高了,chen'gao'le
陈红,chen'hong
陈强,chen'qiang
陈庆,chen'qing
成丛,cheng'cong
成都,cheng'du
程度,cheng'du
成功,cheng'gong
成功的,cheng'gong'de
称号,cheng'hao
称呼,cheng'hu
橙花,cheng'hua
橙花球兰,cheng'hua'qiu'lan
乘积,cheng'ji
成绩,cheng'ji
成绩单,cheng'ji'dan
称其,cheng'qi
成人之美,cheng'ren'zhi'mei
橙色八月,cheng'se'ba'yue
城市,cheng'shi
城市的话,cheng'shi'de'hua
称湿重,cheng'shi'zhong
成熟,cheng'shu
成团,cheng'tuan
成为,cheng'wei
称为,cheng'wei
呈现,cheng'xian
程序,cheng'xu
成员,cheng'yuan
成员之间,cheng'yuan'zhi'jian
成长叶,cheng'zhang'ye
称之为,cheng'zhi'wei
称重,cheng'zhong
吃饱了,chi'bao'le
迟迟,chi'chi
尺寸,chi'cun
吃的,chi'de
吃顿饭,chi'dun'fan
吃法,chi'fa
吃饭,chi'fan
吃饭的,chi'fan'de
吃饭了,chi'fan'le
吃饭去吧,chi'fan'qu'ba
吃个饭,chi'ge'fan
吃过饭,chi'guo'fan
吃过饭了,chi'guo'fan'le
吃亏,chi'kui
吃冷饭,chi'leng'fan
吃你们一顿,chi'ni'men'yi'dun
吃去吧,chi'qu'ba
吃人,chi'ren
持水量,chi'shui'liang
持续,chi'xu
吃粽子,chi'zong'zi
吃粽子没有,chi'zong'zi'mei'you
冲动,chong'dong
充分,chong'fen
重逢,chong'feng
重复,chong'fu
冲过,chong'guo
冲过没哟,chong'guo'mei'yo
冲过没有,chong'guo'mei'you
充话费,chong'hua'fei
重命名,chong'ming'ming
重启,chong'qi
冲突,chong'tu
重新,chong'xin
充值,chong'zhi
重装,chong'zhuang
瞅瞅,chou'chou
臭美,chou'mei
出版,chu'ban
出版了,chu'ban'le
出版社,chu'ban'she
初步研究,chu'bu'yan'jiu
出差,chu'chai
出差的话,chu'chai'de'hua
出的什么题目,chu'de'shen'me'ti'mu
除非,chu'fei
出个,chu'ge
出国,chu'guo
出国了,chu'guo'le
初级,chu'ji
出口,chu'kou
出啦,chu'la
出来,chu'lai
除了,chu'le
处了,chu'le
处理,chu'li
初恋,chu'lian
出钱,chu'qian
出去,chu'qu
出去闯,chu'qu'chuang
出去了,chu'qu'le
出去一次,chu'qu'yi'ci
出席,chu'xi
初夏,chu'xia
出现,chu'xian
出现的,chu'xian'de
出野外,chu'ye'wai
串案,chuan'an
穿不过去,chuan'bu'guo'qu
川大,chuan'da
传粉,chuan'fen
传给,chuan'gei
传给你,chuan'gei'ni
传给我,chuan'gei'wo
传过来,chuan'guo'lai
传过来吧,chuan'guo'lai'ba
传来,chuan'lai
川妹子,chuan'mei'zi
穿暖了,chuan'nuan'le
传奇,chuan'qi
传输,chuan'shu
传统,chuan'tong
传统强项,chuan'tong'qiang'xiang
穿透性,chuan'tou'xing
传完,chuan'wan
传完以后,chuan'wan'yi'hou
穿衣,chuan'yi
传照片给你,chuan'zhao'pian'gei'ni
闯劲,chuang'jin
创刊,chuang'kan
窗外事,chuang'wai'shi
创新,chuang'xin
创意,chuang'yi
吹风机,chui'feng'ji
吹牛,chui'niu
垂直,chui'zhi
唇膏,chun'gao
春节,chun'jie
纯净水,chun'jing'shui
春天,chun'tian
茨坝,ci'ba
词霸,ci'ba
此方法,ci'fang'fa
次级,ci'ji
词句,ci'ju
词库,ci'ku
次数,ci'shu
词条,ci'tiao
此外,ci'wai
次优势种,ci'you'shi'zhong
词语,ci'yu
从而,cong'er
丛花,cong'hua
丛花禾,cong'hua'he
丛花卉,cong'hua'hui
丛花灰木,cong'hua'hui'mu
丛花山矾,cong'hua'shan'fan
从来,cong'lai
从来没有,cong'lai'mei'you
聪明,cong'ming
从哪儿,cong'na'er
从事,cong'shi
粗糙,cu'cao
促进,cu'jin
粗脉,cu'mai
粗脉桂,cu'mai'gui
粗脉樟,cu'mai'zhang
催的,cui'de
催得紧,cui'de'jin
催了一下,cui'le'yi'xia
催着,cui'zhe
存留,cun'liu
存疑,cun'yi
存一下,cun'yi'xia
存在,cun'zai
错过,cuo'guo
搓脸,cuo'lian
错误,cuo'wu
答案,da'an
大宝,da'bao
答辩,da'bian
大辩论,da'bian'lun
打波波,da'bo'bo
达不到,da'bu'dao
大部分,da'bu'fen
打不开,da'bu'kai
打不开了,da'bu'kai'le
达到了,da'dao'le
大得很,da'de'hen
大的学校,da'de'xue'xiao
大地,da'di
打电话,da'dian'hua
打电话给你,da'dian'hua'gei'ni
大多不管用,da'duo'bu'guan'yong
打多了,da'duo'le
大多数,da'duo'shu
大二寸,da'er'cun
大法,da'fa
打发一下,da'fa'yi'xia
打分,da'fen
打个电话,da'ge'dian'hua
打个骚扰,da'ge'sao'rao
打给你,da'gei'ni
大管家,da'guan'jia
大广场,da'guang'chang
大果,da'guo
打过来,da'guo'lai
大海,da'hai
大灰狼,da'hui'lang
大戟科,da'ji'ke
大家,da'jia
大家好,da'jia'hao
大家好哦,da'jia'hao'o
大劫案,da'jie'an
大姐叫,da'jie'jiao
打开,da'kai
打开就关闭,da'kai'jiu'guan'bi
大款,da'kuan
达赖喇嘛,da'lai'la'ma
打篮球的,da'lan'qiu'de
打了,da'le
打了好一会,da'le'hao'yi'hui
打了一下,da'le'yi'xia
打理,da'li
大理学院,da'li'xue'yuan
大力支持,da'li'zhi'chi
大量,da'liang
大美女,da'mei'nv
大米饭,da'mi'fan
大面积,da'mian'ji
大明宫,da'ming'gong
大气,da'qi
大企业,da'qi'ye
大缺憾,da'que'han
打扰,da'rao
大厦,da'sha
搭讪,da'shan
大叔,da'shu
打算,da'suan
大体相同,da'ti'xiang'tong
打听,da'ting
打听了,da'ting'le
大同,da'tong
大团,da'tuan
大小,da'xiao
打消,da'xiao
大型,da'xing
大学,da'xue
大学毕业,da'xue'bi'ye
大学里,da'xue'li
大洋洲,da'yang'zhou
大叶,da'ye
打一下,da'yi'xia
打印,da'yin
打印出来,da'yin'chu'lai
打印此文件,da'yin'ci'wen'jian
打印后,da'yin'hou
打印机,da'yin'ji
打印一份吧,da'yin'yi'fen'ba
打游戏,da'you'xi
大于,da'yu
大约,da'yue
大炸弹,da'zha'dan
打招呼,da'zhao'hu
打着字,da'zhe'zi
大致,da'zhi
大众,da'zhong
打字,da'zi
代表,dai'biao
代表了,dai'biao'le
代表团,dai'biao'tuan
代表性,dai'biao'xing
代表性的,dai'biao'xing'de
待过,dai'guo
带过来吧,dai'guo'lai'ba
带过去吧,dai'guo'qu'ba
待会,dai'hui
代理,dai'li
代理上网,dai'li'shang'wang
带票,dai'piao
代谢,dai'xie
呆一会,dai'yi'hui
待遇,dai'yu
带着,dai'zhe
带着笔记本,dai'zhe'bi'ji'ben
带状瓶儿小草,dai'zhuang'ping'er'xiao'cao
袋子,dai'zi
蛋白质,dan'bai'zhi
单机版,dan'ji'ban
但见,dan'jian
单间,dan'jian
单棵树,dan'ke'shu
单木,dan'mu
但如果哦,dan'ru'guo'o
单绳攀爬,dan'sheng'pan'pa
但是,dan'shi
但它是有女朋友的,dan'ta'shi'you'nv'peng'you'de
单位,dan'wei
单位的,dan'wei'de
但威尔,dan'wei'er
单位面积,dan'wei'mian'ji
单位是,dan'wei'shi
耽误,dan'wu
单行本,dan'xing'ben
单因素,dan'yin'su
单元,dan'yuan
单元格,dan'yuan'ge
单种,dan'zhong
单子叶,dan'zi'ye
档案,dang'an
档次,dang'ci
当当,dang'dang
当当网,dang'dang'wang
当地,dang'di
当地补充,dang'di'bu'chong
当地人,dang'di'ren
当官,dang'guan
当然,dang'ran
当时,dang'shi
当学生呢,dang'xue'sheng'ne
党员,dang'yuan
到不到,dao'bu'dao
到处,dao'chu
到底,dao'di
到家,dao'jia
到了再说,dao'le'zai'shuo
道理,dao'li
倒木,dao'mu
导入,dao'ru
倒是,dao'shi
导师,dao'shi
到时候,dao'shi'hou
到时候再说,dao'shi'hou'zai'shuo
到手,dao'shou
到一块,dao'yi'kuai
岛屿,dao'yu
到账,dao'zhang
的吧,de'ba
的不能,de'bu'neng
得出,de'chu
的房间阿拉丁方点击放大缴费额如日俄方的房间日日看老师,de'fang'jian'a'la'ding'fang'dian'ji'fang'da'jiao'fei'e'ru'ri'e'fang'de'fang'jian'ri'ri'kan'lao'shi
得分一个,de'fen'yi'ge
的高度,de'gao'du
的股份,de'gu'fen
德国,de'guo
的过程,de'guo'cheng
得好,de'hao
得好好,de'hao'hao
的话,de'hua
的机会,de'ji'hui
的考公务员,de'kao'gong'wu'yuan
的科学,de'ke'xue
得了,de'liao
得了当然好,de'liao'dang'ran'hao
的那个,de'na'ge
的那片,de'na'pian
的哦,de'o
的什么,de'shen'me
的是,de'shi
的时候,de'shi'hou
的缩写,de'suo'xie
得天独厚,de'tian'du'hou
的写出来,de'xie'chu'lai
的学生,de'xue'sheng
得以确认,de'yi'que'ren
的邮件,de'you'jian
得找个,de'zhao'ge
得看看,dei'kan'kan
等到,deng'dao
等等,deng'deng
等会,deng'hui
等会再和,deng'hui'zai'he
登记,deng'ji
等级,deng'ji
登记照,deng'ji'zhao
登陆,deng'lu
登陆不上了,deng'lu'bu'shang'le
登录器,deng'lu'qi
等一下,deng'yi'xia
等着,deng'zhe
地表,di'biao
低的,di'de
低等植物,di'deng'zhi'wu
低地,di'di
弟弟,di'di
低地雨林,di'di'yu'lin
第二,di'er
第二版,di'er'ban
第二笔,di'er'bi
第二册,di'er'ce
第二个,di'er'ge
第二故乡,di'er'gu'xiang
第二届,di'er'jie
第二页,di'er'ye
第二种,di'er'zhong
地方,di'fang
地方时,di'fang'shi
低干区,di'gan'qu
递减,di'jian
第九季,di'jiu'ji
地理,di'li
地理学,di'li'xue
低密度种,di'mi'du'zhong
地面,di'mian
地面接近,di'mian'jie'jin
地区,di'qu
地区研究的,di'qu'yan'jiu'de
的确,di'que
第三,di'san
第三掉线,di'san'diao'xian
第三个,di'san'ge
第三书,di'san'shu
地上,di'shang
地势,di'shi
敌视,di'shi
第四期,di'si'qi
地毯,di'tan
地图,di'tu
地下,di'xia
地形,di'xing
地衣,di'yi
第一,di'yi
第一版本,di'yi'ban'ben
第一第二,di'yi'di'er
第一第二卷,di'yi'di'er'juan
第一个,di'yi'ge
第一关,di'yi'guan
第一节,di'yi'jie
第一款,di'yi'kuan
第一页,di'yi'ye
第一张看了,di'yi'zhang'kan'le
第一枝,di'yi'zhi
地址,di'zhi
地主,di'zhu
点奥,dian'ao
垫层,dian'ceng
电灯光,dian'deng'guang
点东西,dian'dong'xi
电工,dian'gong
点好,dian'hao
电话,dian'hua
点击,dian'ji
电镜,dian'jing
滇南,dian'nan
电脑,dian'nao
店铺,dian'pu
点头之交,dian'tou'zhi'jiao
电线杆,dian'xian'gan
电信,dian'xin
典型,dian'xing
典型的,dian'xing'de
电影,dian'ying
电影格式,dian'ying'ge'shi
店主,dian'zhu
电子,dian'zi
电子版,dian'zi'ban
电子版本的,dian'zi'ban'ben'de
电子书,dian'zi'shu
调查,diao'cha
调查了,diao'cha'le
调动,diao'dong
吊兰苦梓,diao'lan'ku'zi
凋落,diao'luo
吊罗山,diao'luo'shan
吊塔,diao'ta
掉线,diao'xian
钓鱼台,diao'yu'tai
刁钻,diao'zuan
碟斗,die'dou
碟斗椆,die'dou'chou
蝶斗青冈,die'dou'qing'gang
碟斗青冈,die'dou'qing'gang
顶岑,ding'cen
顶层,ding'ceng
订单,ding'dan
顶点,ding'dian
丁丁,ding'ding
定好,ding'hao
定价,ding'jia
定居,ding'ju
定了,ding'le
丁师兄,ding'shi'xiong
定位,ding'wei
定位在,ding'wei'zai
定下来,ding'xia'lai
钉鞋,ding'xie
定义,ding'yi
订阅,ding'yue
订阅的,ding'yue'de
丢了,diu'le
丢失,diu'shi
东北,dong'bei
懂点,dong'dian
东东,dong'dong
东二,dong'er
东风,dong'feng
东凤兰,dong'feng'lan
冬凤兰,dong'feng'lan
东华大学,dong'hua'da'xue
东经,dong'jing
冻了心,dong'le'xin
动力,dong'li
东六,dong'liu
东南,dong'nan
懂事,dong'shi
动手,dong'shou
动态,dong'tai
动态口令卡,dong'tai'kou'ling'ka
冬天,dong'tian
冬天了,dong'tian'le
动物,dong'wu
东西,dong'xi
东站,dong'zhan
动植物,dong'zhi'wu
动作,dong'zuo
都不错,dou'bu'cuo
都不敢,dou'bu'gan
都不能,dou'bu'neng
都不一定,dou'bu'yi'ding
都出来,dou'chu'lai
陡度,dou'du
都给一个人,dou'gei'yi'ge'ren
都还没有定呢,dou'hai'mei'you'ding'ne
都很,dou'hen
都很难找,dou'hen'nan'zhao
都户吵架,dou'hu'chao'jia
都会过去的,dou'hui'guo'qu'de
都会有,dou'hui'you
豆科,dou'ke
都可以,dou'ke'yi
都来,dou'lai
都满了,dou'man'le
都没哟,dou'mei'yo
都没有,dou'mei'you
都能,dou'neng
都能聊,dou'neng'liao
都去,dou'qu
都是,dou'shi
都是些,dou'shi'xie
都死,dou'si
都挺忙,dou'ting'mang
都兴,dou'xing
都行啊,dou'xing'a
都行那个,dou'xing'na'ge
都要考试,dou'yao'kao'shi
都已经,dou'yi'jing
都一样,dou'yi'yang
都用,dou'yong
都有,dou'you
都有点,dou'you'dian
都有好人,dou'you'hao'ren
都有名,dou'you'ming
都有人,dou'you'ren
都在,dou'zai
都在学习,dou'zai'xue'xi
都知道,dou'zhi'dao
斗转星移,dou'zhuan'xing'yi
读博士,du'bo'shi
都会,du'hui
都会被,du'hui'bei
杜鹃,du'juan
杜鹃花科,du'juan'hua'ke
杜克大学,du'ke'da'xue
独立显存,du'li'xian'cun
杜宁,du'ning
赌气,du'qi
读书,du'shu
独特,du'te
杜英,du'ying
短穗石松,duan'sui'shi'song
端午,duan'wu
短信,duan'xin
对比,dui'bi
对称性,dui'chen'xing
对等,dui'deng
对口,dui'kou
对老婆,dui'lao'po
对你,dui'ni
对偶式,dui'ou'shi
对其,dui'qi
对人,dui'ren
对头,dui'tou
兑现,dui'xian
对象,dui'xiang
对象啊,dui'xiang'a
对象了,dui'xiang'le
对于,dui'yu
对照,dui'zhao
对照试验,dui'zhao'shi'yan
对作业,dui'zuo'ye
盾形,dun'xing
多吧,duo'ba
多吃饭,duo'chi'fan
多出来,duo'chu'lai
多带点银子,duo'dai'dian'yin'zi
多的,duo'de
多的好,duo'de'hao
多度,duo'du
多度上,duo'du'shang
多付,duo'fu
多个,duo'ge
多好,duo'hao
