安全库存,an'quan'ku'cun
分区隔离储存,fen'qu'ge'li'chu'cun
分析性购买者,fen'xi'xing'gou'mai'zhe
分销渠道,fen'xiao'qu'dao
分销需求规划,fen'xiao'xu'qiu'gui'hua
分销资源规划,fen'xiao'zi'yuan'gui'hua
封闭回路系统,feng'bi'hui'lu'xi'tong
封闭式配送系统,feng'bi'shi'pei'song'xi'tong
封箱机,feng'xiang'ji
封装机,feng'zhuang'ji
负荷高度对,fu'he'gao'du'dui
复合运输,fu'he'yun'shu
附加价值,fu'jia'jia'zhi
附加价值服务,fu'jia'jia'zhi'fu'wu
服务,fu'wu
服务非弹性,fu'wu'fei'tan'xing
服务价值订价法,fu'wu'jia'zhi'ding'jia'fa
服务弹性,fu'wu'tan'xing
服务业,fu'wu'ye
付现购买者,fu'xian'gou'mai'zhe
付现后带走,fu'xian'hou'dai'zou
甘特图,gan'te'tu
隔日送达,ge'ri'song'da
根据价值,gen'ju'jia'zhi
更正性控制,geng'zheng'xing'kong'zhi
公定运价表,gong'ding'yun'jia'biao
公共仓库,gong'gong'cang'ku
公共型物流中心,gong'gong'xing'wu'liu'zhong'xin
共同配送,gong'tong'pei'song
共同运送,gong'tong'yun'song
工业工程,gong'ye'gong'cheng
工业管理,gong'ye'guan'li
供应链,gong'ying'lian
供应链管理,gong'ying'lian'guan'li
供应链软件,gong'ying'lian'ruan'jian
供应链社群,gong'ying'lian'she'qun
供应链位置,gong'ying'lian'wei'zhi
供应商管理库存,gong'ying'shang'guan'li'ku'cun
供应商管理库存系统,gong'ying'shang'guan'li'ku'cun'xi'tong
供应物流,gong'ying'wu'liu
供应者直接配送,gong'ying'zhe'zhi'jie'pei'song
工作区域,gong'zuo'qu'yu
购物中心,gou'wu'zhong'xin
固定储位法,gu'ding'chu'wei'fa
固定路径理货设备,gu'ding'lu'jing'li'huo'she'bei
固定路线运送业者,gu'ding'lu'xian'yun'song'ye'zhe
管理集中度,guan'li'ji'zhong'du
管理全部物流,guan'li'quan'bu'wu'liu
管理信息系统,guan'li'xin'xi'xi'tong
管理原则,guan'li'yuan'ze
关联产品,guan'lian'chan'pin
光碟购物,guang'die'gou'wu
国际物流,guo'ji'wu'liu
国际性零担,guo'ji'xing'ling'dan
航空货运承揽业,hang'kong'huo'yun'cheng'lan'ye
合并规划,he'bing'gui'hua
合并库存,he'bing'ku'cun
合理报酬,he'li'bao'chou
核心能力,he'xin'neng'li
核心业务,he'xin'ye'wu
合约物流,he'yue'wu'liu
后进先出,hou'jin'xian'chu
缓冲包装,huan'chong'bao'zhuang
缓冲存货,huan'chong'cun'huo
缓冲物,huan'chong'wu
汇编语言,hui'bian'yu'yan
回程容量利用,hui'cheng'rong'liang'li'yong
回收物流,hui'shou'wu'liu
混合托盘,hun'he'tuo'pan
混合装运,hun'he'zhuang'yun
货到通知,huo'dao'tong'zhi
货垛,huo'duo
货号,huo'hao
货架,huo'jia
货签,huo'qian
货物入库,huo'wu'ru'ku
货物追踪,huo'wu'zhui'zong
货源,huo'yuan
货运事故,huo'yun'shi'gu
集货,ji'huo
计算机付诸订货系统,ji'suan'ji'fu'zhu'ding'huo'xi'tong
集装化,ji'zhuang'hua
集装箱运输,ji'zhuang'xiang'yun'shu
集装运输,ji'zhuang'yun'shu
检验,jian'yan
交接单,jiao'jie'dan
阶层,jie'ceng
经常库存,jing'chang'ku'cun
经济订货批量,jing'ji'ding'huo'pi'liang
军事物流,jun'shi'wu'liu
库存,ku'cun
库存控制,ku'cun'kong'zhi
库存周期,ku'cun'zhou'qi
库管理,ku'guan'li
快速反映,kuai'su'fan'ying
冷链,leng'lian
联动战略,lian'dong'zhan'lue
联合采购,lian'he'cai'gou
联合运输,lian'he'yun'shu
连续库存补充计划,lian'xu'ku'cun'bu'chong'ji'hua
领导单一化,ling'dao'dan'yi'hua
零库存技术,ling'ku'cun'ji'shu
流通加工,liu'tong'jia'gong
绿色物流,lv'se'wu'liu
满足客户的需求,man'zu'ke'hu'de'xu'qiu
门到门,men'dao'men
派送部门,pai'song'bu'men
配送,pei'song
配送需要计划,pei'song'xu'yao'ji'hua
配送中心,pei'song'zhong'xin
配送资源计划,pei'song'zi'yuan'ji'hua
配载部门,pei'zai'bu'men
拼箱货,pin'xiang'huo
破损,po'sun
企业物流,qi'ye'wu'liu
企业资源计划,qi'ye'zi'yuan'ji'hua
欠件,qian'jian
签收单,qian'shou'dan
前置期,qian'zhi'qi
区分级别,qu'fen'ji'bie
权威和责任,quan'wei'he'ze'ren
确定到达站,que'ding'dao'da'zhan
确定发送员,que'ding'fa'song'yuan
确定件数,que'ding'jian'shu
人和组织利益,ren'he'zu'zhi'li'yi
散装化,san'zhuang'hua
社会物流,she'hui'wu'liu
生产物流,sheng'chan'wu'liu
市场更有效率,shi'chang'geng'you'xiao'lv
收货人,shou'huo'ren
甩挂运输,shuai'gua'yun'shu
顺序,shun'xu
条码,tiao'ma
团队精神,tuan'dui'jing'shen
托盘包装,tuo'pan'bao'zhuang
托运单号码,tuo'yun'dan'hao'ma
托运号码,tuo'yun'hao'ma
托运人,tuo'yun'ren
托运书,tuo'yun'shu
外发代理,wai'fa'dai'li
无板货件,wu'ban'huo'jian
误积,wu'ji
物料需要计划,wu'liao'xu'yao'ji'hua
物流,wu'liu
物流成本,wu'liu'cheng'ben
物流成本管理,wu'liu'cheng'ben'guan'li
物流单证,wu'liu'dan'zheng
物流管理,wu'liu'guan'li
物流活动,wu'liu'huo'dong
物流技术,wu'liu'ji'shu
物流联盟,wu'liu'lian'meng
物流模数,wu'liu'mo'shu
物流企业,wu'liu'qi'ye
物流网络,wu'liu'wang'luo
物流信息,wu'liu'xin'xi
物流战略,wu'liu'zhan'lue
物流中心,wu'liu'zhong'xin
物流资源计划,wu'liu'zi'yuan'ji'hua
物流作业,wu'liu'zuo'ye
物流作业术语,wu'liu'zuo'ye'shu'yu
物品,wu'pin
物品储存,wu'pin'chu'cun
误受付,wu'shou'fu
误卸,wu'xie
无形损耗,wu'xing'sun'hao
销售包装,xiao'shou'bao'zhuang
销售物流,xiao'shou'wu'liu
虚拟物流,xu'ni'wu'liu
业务外包,ye'wu'wai'bao
有效客户反映,you'xiao'ke'hu'fan'ying
有形损耗,you'xing'sun'hao
预防性控制,yu'fang'xing'kong'zhi
员工因才而用,yuan'gong'yin'cai'er'yong
原欠,yuan'qian
越载,yue'zai
运输,yun'shu
运输包装,yun'shu'bao'zhuang
在上,zai'shang
在下,zai'xia
增加利润,zeng'jia'li'run
增值物流服务,zeng'zhi'wu'liu'fu'wu
侦察性控制,zhen'cha'xing'kong'zhi
整车配送的回头车,zheng'che'pei'song'de'hui'tou'che
政府托运单号码,zheng'fu'tuo'yun'dan'hao'ma
整箱货,zheng'xiang'huo
直达运输,zhi'da'yun'shu
直接换装,zhi'jie'huan'zhuang
制造资源计划,zhi'zao'zi'yuan'ji'hua
中继点欠,zhong'ji'dian'qian
中性包装,zhong'xing'bao'zhuang
中转运输,zhong'zhuan'yun'shu
诸位档案,zhu'wei'dang'an
诸位核对,zhu'wei'he'dui
诸位转移,zhu'wei'zhuan'yi
装卸,zhuang'xie
准时制,zhun'shi'zhi
准时制物流,zhun'shi'zhi'wu'liu
自用型物流中心,zi'yong'xing'wu'liu'zhong'xin
组配,zu'pei
