爱国主义,ai'guo'zhu'yi
国家安全,guo'jia'an'quan
国家安全体制,guo'jia'an'quan'ti'zhi
国家安全统一,guo'jia'an'quan'tong'yi
国家安全战略,guo'jia'an'quan'zhan'lue
国家富强,guo'jia'fu'qiang
国家副主席习近平,guo'jia'fu'zhu'xi'xi'jin'ping
国君之子,guo'jun'zhi'zi
过去经验,guo'qu'jing'yan
过硬措施,guo'ying'cuo'shi
韩非,han'fei
韩非子,han'fei'zi
韩非子曾对,han'fei'zi'ceng'dui
韩非子认为,han'fei'zi'ren'wei
韩非子之前,han'fei'zi'zhi'qian
韩国公子,han'guo'gong'zi
韩国人,han'guo'ren
捍卫者,han'wei'zhe
韩愈等,han'yu'deng
韩子,han'zi
和个人关系,he'ge'ren'guan'xi
和小贵族,he'xiao'gui'zu
和谐检察广播站,he'xie'jian'cha'guang'bo'zhan
和谐社会,he'xie'she'hui
和周公,he'zhou'gong
很少外出旅行,hen'shao'wai'chu'lv'xing
红军,hong'jun
胡锦涛,hu'jin'tao
黄老之法,huang'lao'zhi'fa
惠及现在,hui'ji'xian'zai
汇聚力量,hui'ju'li'liang
活力源泉,huo'li'yuan'quan
火线喊话,huo'xian'han'hua
火线立功,huo'xian'li'gong
火线联欢,huo'xian'lian'huan
火线入党,huo'xian'ru'dang
基本点,ji'ben'dian
基层党委,ji'ceng'dang'wei
基层建设,ji'ceng'jian'she
集大成者,ji'da'cheng'zhe
积极营造,ji'ji'ying'zao
纪律检查委员会,ji'lv'jian'cha'wei'yuan'hui
纪律作风,ji'lv'zuo'feng
机密,ji'mi
纪念章,ji'nian'zhang
即权力,ji'quan'li
极权主义的,ji'quan'zhu'yi'de
集体主义,ji'ti'zhu'yi
机制性,ji'zhi'xing
集中体现,ji'zhong'ti'xian
嘉奖,jia'jiang
加快创建步伐,jia'kuai'chuang'jian'bu'fa
检察工作,jian'cha'gong'zuo
检察工作考核评价体系,jian'cha'gong'zuo'kao'he'ping'jia'ti'xi
检察工作科学发展,jian'cha'gong'zuo'ke'xue'fa'zhan
检察工作一体化,jian'cha'gong'zuo'yi'ti'hua
兼称霸力,jian'cheng'ba'li
坚定性,jian'ding'xing
监督不到位,jian'du'bu'dao'wei
监督不规范,jian'du'bu'gui'fan
监督纠正,jian'du'jiu'zheng
监督权,jian'du'quan
监督有力,jian'du'you'li
监督制约机制,jian'du'zhi'yue'ji'zhi
监督制约机制建设,jian'du'zhi'yue'ji'zhi'jian'she
艰苦创业,jian'ku'chuang'ye
建设者,jian'she'zhe
建言献策,jian'yan'xian'ce
奖惩权,jiang'cheng'quan
奖惩制度,jiang'cheng'zhi'du
讲党性,jiang'dang'xing
奖励,jiang'li
奖旗,jiang'qi
奖章,jiang'zhang
奖章证书,jiang'zhang'zheng'shu
奖状,jiang'zhuang
焦裕禄,jiao'yu'lu
焦裕禄精神,jiao'yu'lu'jing'shen
皆帝王之具也,jie'di'wang'zhi'ju'ye
借东西要还,jie'dong'xi'yao'huan
解放军进行曲,jie'fang'jun'jin'xing'qu
解放勋章,jie'fang'xun'zhang
结合点,jie'he'dian
阶级觉悟,jie'ji'jue'wu
阶级友爱,jie'ji'you'ai
解决当前的,jie'jue'dang'qian'de
解难事,jie'nan'shi
皆守株之类也,jie'shou'zhu'zhi'lei'ye
今河南省新郑,jin'he'nan'sheng'xin'zheng
进教材,jin'jiao'cai
进课堂,jin'ke'tang
紧密结合,jin'mi'jie'he
今人有五子不为多,jin'ren'you'wu'zi'bu'wei'duo
进学生头脑,jin'xue'sheng'tou'nao
进一步巩固,jin'yi'bu'gong'gu
今欲以先王之政,jin'yu'yi'xian'wang'zhi'zheng
经济建设,jing'ji'jian'she
经济民主,jing'ji'min'zhu
经济实力,jing'ji'shi'li
经济体制,jing'ji'ti'zhi
境内不什数,jing'nei'bu'shen'shu
精神文明创建活动,jing'shen'wen'ming'chuang'jian'huo'dong
就想过去,jiu'xiang'guo'qu
就需要中央集权,jiu'xu'yao'zhong'yang'ji'quan
据此推论,ju'ci'tui'lun
具体实在,ju'ti'shi'zai
具体行动,ju'ti'xing'dong
举贤能,ju'xian'neng
决策科学,jue'ce'ke'xue
绝密,jue'mi
决心干劲,jue'xin'gan'jin
君臣自正,jun'chen'zi'zheng
军队政治工作,jun'dui'zheng'zhi'gong'zuo
军队政治工作制度,jun'dui'zheng'zhi'gong'zuo'zhi'du
军队政治机关,jun'dui'zheng'zhi'ji'guan
军法,jun'fa
军烈属,jun'lie'shu
军民一致,jun'min'yi'zhi
军人俱乐部,jun'ren'ju'le'bu
军人誓词,jun'ren'shi'ci
军人牺牲病故证明书,jun'ren'xi'sheng'bing'gu'zheng'ming'shu
军事法庭,jun'shi'fa'ting
军事机密,jun'shi'ji'mi
军事检察院,jun'shi'jian'cha'yuan
军事民主,jun'shi'min'zhu
军事训练中的政治工作,jun'shi'xun'lian'zhong'de'zheng'zhi'gong'zuo
军属,jun'shu
君王的各种问题,jun'wang'de'ge'zhong'wen'ti
君王驾驭人时,jun'wang'jia'yu'ren'shi
君王拥有威严,jun'wang'yong'you'wei'yan
君王治国,jun'wang'zhi'guo
君主当执术无刑,jun'zhu'dang'zhi'shu'wu'xing
开拓进取,kai'tuo'jin'qu
抗美援朝,kang'mei'yuan'chao
抗美援朝战争,kang'mei'yuan'chao'zhan'zheng
抗日战争,kang'ri'zhan'zheng
可是都过于理想化,ke'shi'dou'guo'yu'li'xiang'hua
科学发展,ke'xue'fa'zhan
科学发展观,ke'xue'fa'zhan'guan
科学发展观武装头脑,ke'xue'fa'zhan'guan'wu'zhuang'tou'nao
科学理论,ke'xue'li'lun
科学文化教育,ke'xue'wen'hua'jiao'yu
科学性,ke'xue'xing
科学执政,ke'xue'zhi'zheng
可以惩罚,ke'yi'cheng'fa
可以得到印证,ke'yi'de'dao'yin'zheng
可以奖赏,ke'yi'jiang'shang
可以依循,ke'yi'yi'xun
控告,kong'gao
孔子喜欢,kong'zi'xi'huan
跨越时空,kua'yue'shi'kong
扩大和转化,kuo'da'he'zhuan'hua
来督促,lai'du'cu
来维持,lai'wei'chi
来源于中国,lai'yuan'yu'zhong'guo
来支持自己,lai'zhi'chi'zi'ji
立功奖章,li'gong'jiang'zhang
立功喜报,li'gong'xi'bao
立功运动,li'gong'yun'dong
立国之本,li'guo'zhi'ben
礼和刑,li'he'xing
历久弥新,li'jiu'mi'xin
理论称为,li'lun'cheng'wei
理论和方法,li'lun'he'fang'fa
理论认同,li'lun'ren'tong
理论依据,li'lun'yi'ju
历史的必然,li'shi'de'bi'ran
历史的舞台,li'shi'de'wu'tai
历史退化观,li'shi'tui'hua'guan
历史在逐渐退化,li'shi'zai'zhu'jian'tui'hua
理顺关系,li'shun'guan'xi
李斯,li'si
力图解决,li'tu'jie'jue
利益格局,li'yi'ge'ju
利益问题,li'yi'wen'ti
立足本职,li'zu'ben'zhi
连队党支部,lian'dui'dang'zhi'bu
连队革命军人委员会,lian'dui'ge'ming'jun'ren'wei'yuan'hui
连队经济委员会,lian'dui'jing'ji'wei'yuan'hui
连队军人大会,lian'dui'jun'ren'da'hui
廉洁高效,lian'jie'gao'xiao
联系群众,lian'xi'qun'zhong
廉政勤政,lian'zheng'qin'zheng
两不误,liang'bu'wu
两促进,liang'cu'jin
两个基本点,liang'ge'ji'ben'dian
量刑畸轻,liang'xing'ji'qing
两忆三查,liang'yi'san'cha
烈属,lie'shu
令出如山,ling'chu'ru'shan
领导小组,ling'dao'xiao'zu
令人无法捉摸,ling'ren'wu'fa'zhuo'mo
论世之事,lun'shi'zhi'shi
落实中央关于,luo'shi'zhong'yang'guan'yu
履行职责,lv'xing'zhi'ze
买卖公平,mai'mai'gong'ping
每个时代,mei'ge'shi'dai
没有直接关系,mei'you'zhi'jie'guan'xi
孟子为,meng'zi'wei
秘密,mi'mi
面对这样的形势,mian'dui'zhe'yang'de'xing'shi
民在心中,min'zai'xin'zhong
民众的安居乐业,min'zhong'de'an'ju'le'ye
民主法治,min'zhu'fa'zhi
民主监督,min'zhu'jian'du
民主执政,min'zhu'zhi'zheng
民族振兴,min'zu'zhen'xing
明君如天,ming'jun'ru'tian
墨家等,mo'jia'deng
墨子与,mo'zi'yu
南昌起义,nan'chang'qi'yi
能动性,neng'dong'xing
能凌驾墨家之上,neng'ling'jia'mo'jia'zhi'shang
农民通常,nong'min'tong'chang
农民种地,nong'min'zhong'di
平等性管理,ping'deng'xing'guan'li
评功,ping'gong
迫使庶民服从,po'shi'shu'min'fu'cong
其责深刻,qi'ze'shen'ke
前敌委员会,qian'di'wei'yuan'hui
前委,qian'wei
前线委员会,qian'xian'wei'yuan'hui
强大国家军事,qiang'da'guo'jia'jun'shi
强大洪流,qiang'da'hong'liu
强国之路,qiang'guo'zhi'lu
强化法律监督,qiang'hua'fa'lv'jian'du
强化国家的统治,qiang'hua'guo'jia'de'tong'zhi
切入点,qie'ru'dian
切身利益,qie'shen'li'yi
切实担负起,qie'shi'dan'fu'qi
切实维护,qie'shi'wei'hu
勤奋学习,qin'fen'xue'xi
秦王政十四年,qin'wang'zheng'shi'si'nian
勤于学习,qin'yu'xue'xi
请出伏曦,qing'chu'fu'xi
请功,qing'gong
清简无为,qing'jian'wu'wei
清正廉洁,qing'zheng'lian'jie
秋收起义,qiu'shou'qi'yi
求真务实,qiu'zhen'wu'shi
权利原则,quan'li'yuan'ze
权威周文王,quan'wei'zhou'wen'wang
全心全意,quan'xin'quan'yi
权责一致,quan'ze'yi'zhi
确保取得实效,que'bao'qu'de'shi'xiao
确保社会大局稳定,que'bao'she'hui'da'ju'wen'ding
群众纪律,qun'zhong'ji'lv
群众监督,qun'zhong'jian'du
群众满意,qun'zhong'man'yi
人大监督,ren'da'jian'du
人的拯救,ren'de'zheng'jiu
人格魅力,ren'ge'mei'li
人类社会的黄金时代在过去,ren'lei'she'hui'de'huang'jin'shi'dai'zai'guo'qu
人民权益,ren'min'quan'yi
人民少而财有余,ren'min'shao'er'cai'you'yu
人民幸福,ren'min'xing'fu
人民英雄纪念碑,ren'min'ying'xiong'ji'nian'bei
人人不作恶,ren'ren'bu'zuo'e
人人为善,ren'ren'wei'shan
认为他们,ren'wei'ta'men
人性趋利避害,ren'xing'qu'li'bi'hai
荣誉称号,rong'yu'cheng'hao
荣誉室,rong'yu'shi
入城守则,ru'cheng'shou'ze
儒家和墨家,ru'jia'he'mo'jia
儒家学派,ru'jia'xue'pai
儒家争辩,ru'jia'zheng'bian
儒墨之道,ru'mo'zhi'dao
儒学大师,ru'xue'da'shi
锐意进取,rui'yi'jin'qu
弱肉强食的,ruo'rou'qiang'shi'de
三查,san'cha
三大纪律八项注意,san'da'ji'lv'ba'xiang'zhu'yi
三大民主,san'da'min'zhu
三大任务,san'da'ren'wu
三等功,san'deng'gong
三个代表,san'ge'dai'biao
三家的这种观念,san'jia'de'zhe'zhong'guan'nian
三视教育,san'shi'jiao'yu
三十五年,san'shi'wu'nian
三湾改编,san'wan'gai'bian
散文家,san'wen'jia
陕北红军,shan'bei'hong'jun
善于著述,shan'yu'zhu'shu
商鞅,shang'yang
商鞅也提过,shang'yang'ye'ti'guo
社会氛围,she'hui'fen'wei
社会各阶层,she'hui'ge'jie'ceng
社会和谐,she'hui'he'xie
社会建设,she'hui'jian'she
社会结构,she'hui'jie'gou
社会金字塔,she'hui'jin'zi'ta
社会矛盾,she'hui'mao'dun
社会生活共同体,she'hui'sheng'huo'gong'tong'ti
社会体制,she'hui'ti'zhi
社会主义,she'hui'zhu'yi
社会主义初级阶段,she'hui'zhu'yi'chu'ji'jie'duan
社会主义法制,she'hui'zhu'yi'fa'zhi
社会主义法制理论,she'hui'zhu'yi'fa'zhi'li'lun
社会主义法治理念,she'hui'zhu'yi'fa'zhi'li'nian
社会主义革命,she'hui'zhu'yi'ge'ming
社会主义和谐社会,she'hui'zhu'yi'he'xie'she'hui
社会主义核心价值体系,she'hui'zhu'yi'he'xin'jia'zhi'ti'xi
社会主义理论体系,she'hui'zhu'yi'li'lun'ti'xi
社会主义民主法治,she'hui'zhu'yi'min'zhu'fa'zhi
社会主义荣辱观,she'hui'zhu'yi'rong'ru'guan
社会主义社会,she'hui'zhu'yi'she'hui
社会主义市场经济体制,she'hui'zhu'yi'shi'chang'jing'ji'ti'zhi
社会主义司法制度,she'hui'zhu'yi'si'fa'zhi'du
社会主义所有制,she'hui'zhu'yi'suo'you'zhi
社会主义现代化,she'hui'zhu'yi'xian'dai'hua
社会主义政权,she'hui'zhu'yi'zheng'quan
社会主义制度,she'hui'zhu'yi'zhi'du
设之于官府,she'zhi'yu'guan'fu
申不害,shen'bu'hai
慎到,shen'dao
慎到为首,shen'dao'wei'shou
深刻变动,shen'ke'bian'dong
深刻变革,shen'ke'bian'ge
深刻变化,shen'ke'bian'hua
深刻调整,shen'ke'tiao'zheng
神农等三皇五帝,shen'nong'deng'san'huang'wu'di
深入贯彻落实,shen'ru'guan'che'luo'shi
深入基层,shen'ru'ji'ceng
深入学习,shen'ru'xue'xi
深入学习实践,shen'ru'xue'xi'shi'jian
神圣使命,shen'sheng'shi'ming
申诉,shen'su
生产队,sheng'chan'dui
生存发展,sheng'cun'fa'zhan
生动鲜活,sheng'dong'xian'huo
生活在,sheng'huo'zai
生命不息,sheng'ming'bu'xi
圣人治国,sheng'ren'zhi'guo
时代内涵,shi'dai'nei'han
实干兴业,shi'gan'xing'ye
实际问题,shi'ji'wen'ti
实际行动,shi'ji'xing'dong
事力劳而供养薄,shi'li'lao'er'gong'yang'bo
是两项,shi'liang'xiang
是农民,shi'nong'min
士气,shi'qi
恃人之为吾善也,shi'ren'zhi'wei'wu'shan'ye
世事变而行道异也,shi'shi'bian'er'xing'dao'yi'ye
实现好,shi'xian'hao
事业为重,shi'ye'wei'zhong
是以人民众而货财寡,shi'yi'ren'min'zhong'er'huo'cai'gua
是以圣人不期修古,shi'yi'sheng'ren'bu'qi'xiu'gu
是约束,shi'yue'shu
受利益驱动办案,shou'li'yi'qu'dong'ban'an
守株待兔的故事,shou'zhu'dai'tu'de'gu'shi
率先垂范,shuai'xian'chui'fan
双重领导制度,shuang'chong'ling'dao'zhi'du
顺服王法,shun'fu'wang'fa
说话和气,shuo'hua'he'qi
司法公正,si'fa'gong'zheng
四方面军,si'fang'mian'jun
思想工作,si'xiang'gong'zuo
思想观念,si'xiang'guan'nian
四项基本原则,si'xiang'ji'ben'yuan'ze
思想建设,si'xiang'jian'she
思想教育工作,si'xiang'jiao'yu'gong'zuo
思想明确,si'xiang'ming'que
思想问题,si'xiang'wen'ti
思想政治建设,si'xiang'zheng'zhi'jian'she
思想主张,si'xiang'zhu'zhang
随军家属,sui'jun'jia'shu
虽然思想主张,sui'ran'si'xiang'zhu'zhang
损坏东西要赔,sun'huai'dong'xi'yao'pei
所束缚,suo'shu'fu
所造成的,suo'zao'cheng'de
他们认为,ta'men'ren'wei
谈心活动,tan'xin'huo'dong
特等功,te'deng'gong
提高公共服务质量,ti'gao'gong'gong'fu'wu'zhi'liang
提高效能,ti'gao'xiao'neng
提供理论依据,ti'gong'li'lun'yi'ju
体制性,ti'zhi'xing
天道鬼神,tian'dao'gui'shen
统筹兼顾,tong'chou'jian'gu
同甘共苦,tong'gan'gong'ku
通过赏罚,tong'guo'shang'fa
统一部署,tong'yi'bu'shu
统治方略,tong'zhi'fang'lue
突出问题,tu'chu'wen'ti
土地革命战争,tu'di'ge'ming'zhan'zheng
推动历史,tui'dong'li'shi
推进党的十七大精神,tui'jin'dang'de'shi'qi'da'jing'shen
瓦解敌军,wa'jie'di'jun
顽强拼搏,wan'qiang'pin'bo
完全是一种全新,wan'quan'shi'yi'zhong'quan'xin
往往援引尧舜,wang'wang'yuan'yin'yao'shun
忘我工作,wang'wo'gong'zuo
未必普遍,wei'bi'pu'bian
伟大旗帜,wei'da'qi'zhi
违法办案,wei'fa'ban'an
违法之人,wei'fa'zhi'ren
维护公平正义,wei'hu'gong'ping'zheng'yi
维护好,wei'hu'hao
未来的方向,wei'lai'de'fang'xiang
为民掌权,wei'min'zhang'quan
为他们,wei'ta'men
为治者用众而舍寡,wei'zhi'zhe'yong'zhong'er'she'gua
稳步发展,wen'bu'fa'zhan
稳步推进,wen'bu'tui'jin
文化建设,wen'hua'jian'she
文化体制,wen'hua'ti'zhi
文明单位创建活动,wen'ming'dan'wei'chuang'jian'huo'dong
文明祥和,wen'ming'xiang'he
文明执法,wen'ming'zhi'fa
我军的宗旨,wo'jun'de'zong'zhi
我军性质,wo'jun'xing'zhi
无偿性管理,wu'chang'xing'guan'li
无私奉献,wu'si'feng'xian
物质条件的低下,wu'zhi'tiao'jian'de'di'xia
五种精神,wu'zhong'jing'shen
西华检察内网,xi'hua'jian'cha'nei'wang
系统思维,xi'tong'si'wei
喜刑名法术之学,xi'xing'ming'fa'shu'zhi'xue
西周封建社会,xi'zhou'feng'jian'she'hui
下级诸侯,xia'ji'zhu'hou
先进典型,xian'jin'dian'xing
先秦各,xian'qin'ge
现实地,xian'shi'de
现实的选择,xian'shi'de'xuan'ze
相对于其他,xiang'dui'yu'qi'ta
相辅相成,xiang'fu'xiang'cheng
项宗西,xiang'zong'xi
协调关系,xie'tiao'guan'xi
协调性,xie'tiao'xing
新期待,xin'qi'dai
新式整军运动,xin'shi'zheng'jun'yun'dong
新四军,xin'si'jun
新形势,xin'xing'shi
新要求,xin'yao'qiu
行动有力,xing'dong'you'li
兴国之要,xing'guo'zhi'yao
刑名,xing'ming
刑名法术之学,xing'ming'fa'shu'zhi'xue
兴旺发达,xing'wang'fa'da
行为规范,xing'wei'gui'fan
