艾滋病,ai'zi'bing
胆囊炎,dan'nang'yan
单神经炎,dan'shen'jing'yan
单瘫,dan'tan
胆小管癌,dan'xiao'guan'ai
胆小管狭窄,dan'xiao'guan'xia'zhai
胆汁尿,dan'zhi'niao
胆汁性肝硬化,dan'zhi'xing'gan'ying'hua
胆汁淤积型肝炎,dan'zhi'yu'ji'xing'gan'yan
盗汗,dao'han
倒睫,dao'jie
低蛋白血症,di'dan'bai'xue'zheng
低胆固醇血症,di'dan'gu'chun'xue'zheng
低钙血症,di'gai'xue'zheng
低磷酸盐血症,di'lin'suan'yan'xue'zheng
低氯血症,di'lv'xue'zheng
低镁血症,di'mei'xue'zheng
低钠血性惊厥,di'na'xue'xing'jing'jue
低钠血症,di'na'xue'zheng
低血钾,di'xue'jia
低血容量症,di'xue'rong'liang'zheng
低血色素性贫血,di'xue'se'su'xing'pin'xue
低血糖,di'xue'tang
低血糖反应,di'xue'tang'fan'ying
低血糖昏迷,di'xue'tang'hun'mi
低血压,di'xue'ya
淀粉酶降低,dian'fen'mei'jiang'di
淀粉酶增加,dian'fen'mei'zeng'jia
淀粉样变性,dian'fen'yang'bian'xing
电解质异常,dian'jie'zhi'yi'chang
癫痫大发作,dian'xian'da'fa'zuo
跌倒发作,die'dao'fa'zuo
动脉导管开放,dong'mai'dao'guan'kai'fang
动脉畸形,dong'mai'ji'xing
动脉瘤,dong'mai'liu
动脉瘤破裂,dong'mai'liu'po'lie
动脉栓塞,dong'mai'shuan'sai
动脉血栓形成,dong'mai'xue'shuan'xing'cheng
动脉炎,dong'mai'yan
动脉硬化,dong'mai'ying'hua
动脉粥样硬化,dong'mai'zhou'yang'ying'hua
动眼神经危象,dong'yan'shen'jing'wei'xiang
窦房结传导阻滞,dou'fang'jie'chuan'dao'zu'zhi
窦炎,dou'yan
多发性骨髓瘤,duo'fa'xing'gu'sui'liu
多发性畸形,duo'fa'xing'ji'xing
多发性浅血栓性静脉炎,duo'fa'xing'qian'xue'shuan'xing'jing'mai'yan
多发性深血栓性静脉炎,duo'fa'xing'shen'xue'shuan'xing'jing'mai'yan
多发性血栓性静脉炎,duo'fa'xing'xue'shuan'xing'jing'mai'yan
多发性硬化加重,duo'fa'xing'ying'hua'jia'zhong
多发性硬化样综合征,duo'fa'xing'ying'hua'yang'zong'he'zheng
多汗,duo'han
多肌炎,duo'ji'yan
多浆膜炎,duo'jiang'mo'yan
多毛症,duo'mao'zheng
多毛症加重,duo'mao'zheng'jia'zhong
多尿症,duo'niao'zheng
多胎妊娠,duo'tai'ren'shen
多形性红斑,duo'xing'xing'hong'ban
恶病质,e'bing'zhi
腭裂,e'lie
恶梦,e'meng
呃逆,e'ni
恶心,e'xin
恶性肝肿瘤,e'xing'gan'zhong'liu
恶性高热,e'xing'gao're
恶性黑瘤,e'xing'hei'liu
恶性喉肿瘤,e'xing'hou'zhong'liu
恶性甲状腺瘤,e'xing'jia'zhuang'xian'liu
恶性淋巴瘤,e'xing'lin'ba'liu
恶性卵巢囊肿,e'xing'luan'chao'nang'zhong
恶性脑瘤,e'xing'nao'liu
恶性皮肤肿瘤,e'xing'pi'fu'zhong'liu
恶性咽肿瘤,e'xing'yan'zhong'liu
恶性胰腺瘤,e'xing'yi'xian'liu
恶性肿瘤,e'xing'zhong'liu
耳毒性,er'du'xing
耳畸形,er'ji'xing
二尖瓣闭锁不全,er'jian'ban'bi'suo'bu'quan
耳聋,er'long
耳鸣,er'ming
耳痛,er'tong
儿童期蜕变性病,er'tong'qi'tui'bian'xing'bing
耳咽鼓管炎,er'yan'gu'guan'yan
耳硬化症,er'ying'hua'zheng
发热,fa're
发音困难,fa'yin'kun'nan
发育迟缓者,fa'yu'chi'huan'zhe
发作性睡病,fa'zuo'xing'shui'bing
泛化性痉挛,fan'hua'xing'jing'luan
反射减弱,fan'she'jian'ruo
反射亢进,fan'she'kang'jin
房颤,fang'chan
房间隔缺,fang'jian'ge'que
放射性烧伤,fang'she'xing'shao'shang
房室传导阻滞,fang'shi'chuan'dao'zu'zhi
房性心律失常,fang'xing'xin'lv'shi'chang
肺癌,fei'ai
肺部肉芽肿,fei'bu'rou'ya'zhong
肺不张,fei'bu'zhang
非产后泌乳,fei'chan'hou'mi'ru
肺充血,fei'chong'xue
肺出血,fei'chu'xie
非蛋白氮减少,fei'dan'bai'dan'jian'shao
非蛋白氮增多,fei'dan'bai'dan'zeng'duo
非典型性淋巴细胞异常,fei'dian'xing'xing'lin'ba'xi'bao'yi'chang
肺动脉高压,fei'dong'mai'gao'ya
肺梗死,fei'geng'si
肺畸形,fei'ji'xing
非结肠憩室炎,fei'jie'chang'qi'shi'yan
肺浸润,fei'jin'run
肥胖,fei'pang
肺气肿,fei'qi'zhong
肺栓塞,fei'shuan'sai
肺水肿,fei'shui'zhong
非特异性白细胞异常,fei'te'yi'xing'bai'xi'bao'yi'chang
非特异性触痛,fei'te'yi'xing'chu'tong
非特异性出血,fei'te'yi'xing'chu'xie
非特异性垂体瘤,fei'te'yi'xing'chui'ti'liu
非特异性耳病,fei'te'yi'xing'er'bing
非特异性瘤,fei'te'yi'xing'liu
非特异性内分泌病,fei'te'yi'xing'nei'fen'mi'bing
非特异性事故,fei'te'yi'xing'shi'gu
非特异性食欲异常,fei'te'yi'xing'shi'yu'yi'chang
非特异性术后并发症,fei'te'yi'xing'shu'hou'bing'fa'zheng
非特异性胃肠道病,fei'te'yi'xing'wei'chang'dao'bing
非特异性腺癌,fei'te'yi'xing'xian'ai
非特异性先天异常,fei'te'yi'xing'xian'tian'yi'chang
非特异性粘膜炎,fei'te'yi'xing'zhan'mo'yan
非特异性脂代谢病,fei'te'yi'xing'zhi'dai'xie'bing
非特异性子宫病,fei'te'yi'xing'zi'gong'bing
肺萎缩,fei'wei'suo
肺纤维化,fei'xian'wei'hua
肺心病,fei'xin'bing
肺血栓形成,fei'xue'shuan'xing'cheng
肺炎,fei'yan
非药物过敏,fei'yao'wu'guo'min
肺硬化,fei'ying'hua
飞蝇幻视,fei'ying'huan'shi
非预期的药物无效,fei'yu'qi'de'yao'wu'wu'xiao
粪结石,fen'jie'shi
分娩异常,fen'mian'yi'chang
风湿性多肌痛,feng'shi'xing'duo'ji'tong
蜂窝织炎,feng'wo'zhi'yan
腹部强直,fu'bu'qiang'zhi
腹部胀大,fu'bu'zhang'da
附睾炎,fu'gao'yan
腹膜出血,fu'mo'chu'xie
腹膜后出血,fu'mo'hou'chu'xie
腹膜后纤维化,fu'mo'hou'xian'wei'hua
腹膜炎,fu'mo'yan
腹腔内出血,fu'qiang'nei'chu'xie
复视,fu'shi
腹水,fu'shui
腹痛,fu'tong
腹泻,fu'xie
钙质沉着,gai'zhi'chen'zhuo
肝出血,gan'chu'xie
肝大,gan'da
肝功能异常,gan'gong'neng'yi'chang
肝坏死,gan'huai'si
肝昏迷,gan'hun'mi
感觉迟钝,gan'jue'chi'dun
感觉过敏,gan'jue'guo'min
感觉混乱,gan'jue'hun'luan
感觉神经炎,gan'jue'shen'jing'yan
感觉异常,gan'jue'yi'chang
肝酶升高,gan'mei'sheng'gao
肝囊肿,gan'nang'zhong
肝脾大,gan'pi'da
感染,gan'ran
感染加重,gan'ran'jia'zhong
感染性关节炎,gan'ran'xing'guan'jie'yan
感染易感性增加,gan'ran'yi'gan'xing'zeng'jia
肝肾综合征,gan'shen'zong'he'zheng
肝衰竭,gan'shuai'jie
肝细胞损害,gan'xi'bao'sun'hai
肝炎,gan'yan
干眼病,gan'yan'bing
肝硬变,gan'ying'bian
肝硬化,gan'ying'hua
肝肿瘤,gan'zhong'liu
肛门闭锁,gang'men'bi'suo
肛门骚痒,gang'men'sao'yang
肛门障碍,gang'men'zhang'ai
肛痛,gang'tong
高氨血症,gao'an'xue'zheng
高草酸尿,gao'cao'suan'niao
高催乳素血症,gao'cui'ru'su'xue'zheng
高胆固醇血症,gao'dan'gu'chun'xue'zheng
高钙尿,gao'gai'niao
高钙血症,gao'gai'xue'zheng
高甘油三酯血症,gao'gan'you'san'zhi'xue'zheng
高钾血症,gao'jia'xue'zheng
高磷酸盐血症,gao'lin'suan'yan'xue'zheng
高氯血症,gao'lv'xue'zheng
高镁血症,gao'mei'xue'zheng
高密度脂蛋白减少,gao'mi'du'zhi'dan'bai'jian'shao
高钠血症,gao'na'xue'zheng
高尿酸血症,gao'niao'suan'xue'zheng
高尿酸血症性肾病,gao'niao'suan'xue'zheng'xing'shen'bing
高球蛋白血症,gao'qiu'dan'bai'xue'zheng
高热,gao're
高碳酸血症,gao'tan'suan'xue'zheng
睾丸病,gao'wan'bing
睾丸恶性肿瘤,gao'wan'e'xing'zhong'liu
睾丸发育不全,gao'wan'fa'yu'bu'quan
睾丸炎,gao'wan'yan
高血色素性贫血,gao'xue'se'su'xing'pin'xue
高血糖,gao'xue'tang
高血压,gao'xue'ya
高血压加重,gao'xue'ya'jia'zhong
高血压性脑病,gao'xue'ya'xing'nao'bing
高脂血症,gao'zhi'xue'zheng
跟骨骨刺,gen'gu'gu'ci
梗死后心肌破裂,geng'si'hou'xin'ji'po'lie
共济失调,gong'ji'shi'tiao
攻击性反应,gong'ji'xing'fan'ying
宫颈癌,gong'jing'ai
宫颈发育不良,gong'jing'fa'yu'bu'liang
宫颈损害,gong'jing'sun'hai
宫颈涂片试验阳性,gong'jing'tu'pian'shi'yan'yang'xing
宫颈息肉,gong'jing'xi'rou
宫颈炎,gong'jing'yan
巩膜炎,gong'mo'yan
宫内避孕器并发症,gong'nei'bi'yun'qi'bing'fa'zheng
弓形体病,gong'xing'ti'bing
谷氨酰转肽酶增加,gu'an'xian'zhuan'tai'mei'zeng'jia
骨病,gu'bing
谷丙转氨酶升高,gu'bing'zhuan'an'mei'sheng'gao
谷草转氨酶升高,gu'cao'zhuan'an'mei'sheng'gao
固定型皮疹,gu'ding'xing'pi'zhen
骨发育异常,gu'fa'yu'yi'chang
骨肥厚,gu'fei'hou
骨骼畸形,gu'ge'ji'xing
股骨头无血管性坏死,gu'gu'tou'wu'xue'guan'xing'huai'si
骨坏死,gu'huai'si
骨连接,gu'lian'jie
骨瘤,gu'liu
鼓膜穿孔,gu'mo'chuan'kong
骨盆静脉血栓性静脉炎,gu'pen'jing'mai'xue'shuan'xing'jing'mai'yan
孤僻,gu'pi
孤僻病,gu'pi'bing
骨软化,gu'ruan'hua
骨髓纤维变性,gu'sui'xian'wei'bian'xing
骨髓炎,gu'sui'yan
骨髓抑制,gu'sui'yi'zhi
骨髓移植,gu'sui'yi'zhi
骨髓再生不全,gu'sui'zai'sheng'bu'quan
骨髓增生,gu'sui'zeng'sheng
骨髓增生病,gu'sui'zeng'sheng'bing
骨髓转化,gu'sui'zhuan'hua
骨痛,gu'tong
骨无菌性坏死,gu'wu'jun'xing'huai'si
骨炎,gu'yan
骨硬化,gu'ying'hua
骨质疏松症,gu'zhi'shu'song'zheng
关节病,guan'jie'bing
关节成形术,guan'jie'cheng'xing'shu
关节畸形,guan'jie'ji'xing
关节积血,guan'jie'ji'xue
关节内游离体,guan'jie'nei'you'li'ti
关节痛,guan'jie'tong
关节炎,guan'jie'yan
关节炎加重,guan'jie'yan'jia'zhong
冠脉病,guan'mai'bing
管行尿,guan'xing'niao
冠状动脉术,guan'zhuang'dong'mai'shu
冠状动脉血栓形成,guan'zhuang'dong'mai'xue'shuan'xing'cheng
光学缺血性神经病,guang'xue'que'xue'xing'shen'jing'bing
龟头包皮炎,gui'tou'bao'pi'yan
过度成熟分娩,guo'du'cheng'shu'fen'mian
过敏性休克,guo'min'xing'xiu'ke
过敏性紫癫,guo'min'xing'zi'dian
过敏样反应,guo'min'yang'fan'ying
过期流产,guo'qi'liu'chan
汗变色,han'bian'se
汗腺病,han'xian'bing
寒战,han'zhan
颌骨畸形,he'gu'ji'xing
呵欠,he'qian
黑变病,hei'bian'bing
黑粪症,hei'fen'zheng
黑尿病,hei'niao'bing
横膈发育不良,heng'ge'fa'yu'bu'liang
横纹肌溶解,heng'wen'ji'rong'jie
红白血病,hong'bai'xue'bing
红斑狼疮试验异常,hong'ban'lang'chuang'shi'yan'yi'chang
红斑狼疮性疹,hong'ban'lang'chuang'xing'zhen
红斑狼疮综合征,hong'ban'lang'chuang'zong'he'zheng
红斑狼疮综合征加重,hong'ban'lang'chuang'zong'he'zheng'jia'zhong
红斑性肢痛病,hong'ban'xing'zhi'tong'bing
红斑疹,hong'ban'zhen
虹膜睫状体炎,hong'mo'jie'zhuang'ti'yan
虹膜炎,hong'mo'yan
红细胞发育不全,hong'xi'bao'fa'yu'bu'quan
红细胞凝集,hong'xi'bao'ning'ji
红细胞异常,hong'xi'bao'yi'chang
红细胞增多,hong'xi'bao'zeng'duo
骺分离,hou'fen'li
喉痉挛,hou'jing'luan
喉水肿,hou'shui'zhong
后天脑积水,hou'tian'nao'ji'shui
后天性巨结肠,hou'tian'xing'ju'jie'chang
后天性血管瘤,hou'tian'xing'xue'guan'liu
喉炎,hou'yan
呼吸病,hu'xi'bing
呼吸道出血,hu'xi'dao'chu'xie
呼吸道畸形,hu'xi'dao'ji'xing
呼吸功能不全,hu'xi'gong'neng'bu'quan
呼吸困难,hu'xi'kun'nan
呼吸兴奋,hu'xi'xing'fen
呼吸性碱中毒,hu'xi'xing'jian'zhong'du
呼吸徐缓,hu'xi'xu'huan
呼吸抑制,hu'xi'yi'zhi
滑膜炎,hua'mo'yan
滑囊炎,hua'nang'yan
坏疽,huai'ju
坏疽性脓皮病,huai'ju'xing'nong'pi'bing
坏死性口炎,huai'si'xing'kou'yan
幻觉,huan'jue
换气不足,huan'qi'bu'zu
换气过度,huan'qi'guo'du
黄斑变性,huang'ban'bian'xing
黄疸,huang'dan
黄褐斑,huang'he'ban
黄瘤病,huang'liu'bing
回,hui
回肠炎,hui'chang'yan
灰婴综合征,hui'ying'zong'he'zheng
昏迷,hun'mi
活动性真菌病,huo'dong'xing'zhen'jun'bing
肌病,ji'bing
肌出血,ji'chu'xie
基底细胞癌,ji'di'xi'bao'ai
继发性脓毒病,ji'fa'xing'nong'du'bing
肌肥厚,ji'fei'hou
肌酐清除率降低,ji'gan'qing'chu'lv'jiang'di
肌红蛋白尿,ji'hong'dan'bai'niao
激活的疼痛性炎症,ji'huo'de'teng'tong'xing'yan'zheng
肌畸形,ji'ji'xing
肌腱损害,ji'jian'sun'hai
肌腱炎,ji'jian'yan
棘皮症,ji'pi'zheng
肌肉不随意收缩,ji'rou'bu'sui'yi'shou'suo
肌肉骨骼病,ji'rou'gu'ge'bing
肌肉骨骼痛,ji'rou'gu'ge'tong
肌肉萎缩,ji'rou'wei'suo
肌酸磷酸激酶升高,ji'suan'lin'suan'ji'mei'sheng'gao
脊髓灰质炎,ji'sui'hui'zhi'yan
脊髓脊膜突出,ji'sui'ji'mo'tu'chu
脊髓炎,ji'sui'yan
畸胎瘤,ji'tai'liu
肌痛,ji'tong
肌无力,ji'wu'li
急性白血病,ji'xing'bai'xue'bing
急性荨麻疹,ji'xing'qian'ma'zhen
急性全身性小脓疱,ji'xing'quan'shen'xing'xiao'nong'pao
急性肾衰竭,ji'xing'shen'shuai'jie
畸形手,ji'xing'shou
急性应激性反应,ji'xing'ying'ji'xing'fan'ying
畸形足,ji'xing'zu
肌炎,ji'yan
脊柱畸形,ji'zhu'ji'xing
脊柱裂,ji'zhu'lie
甲病,jia'bing
甲沟炎,jia'gou'yan
钾尿增多,jia'niao'zeng'duo
甲胎蛋白含量增加,jia'tai'dan'bai'han'liang'zeng'jia
假性脑膜炎,jia'xing'nao'mo'yan
假孕,jia'yun
甲状旁腺功能减退,jia'zhuang'pang'xian'gong'neng'jian'tui
甲状旁腺功能亢进,jia'zhuang'pang'xian'gong'neng'kang'jin
甲状腺病,jia'zhuang'xian'bing
甲状腺功能减退,jia'zhuang'xian'gong'neng'jian'tui
甲状腺功能亢进,jia'zhuang'xian'gong'neng'kang'jin
甲状腺功能亢进加重,jia'zhuang'xian'gong'neng'kang'jin'jia'zhong
甲状腺瘤,jia'zhuang'xian'liu
甲状腺囊肿,jia'zhuang'xian'nang'zhong
甲状腺素减少,jia'zhuang'xian'su'jian'shao
甲状腺素增加,jia'zhuang'xian'su'zeng'jia
甲状腺炎,jia'zhuang'xian'yan
甲状腺肿,jia'zhuang'xian'zhong
艰难梭菌腹泻,jian'nan'suo'jun'fu'xie
踺破裂,jian'po'lie
腱鞘炎,jian'qiao'yan
健忘,jian'wang
间歇性跛行,jian'xie'xing'bo'xing
碱性磷酸酶升高,jian'xing'lin'suan'mei'sheng'gao
间质性肾炎,jian'zhi'xing'shen'yan
碱中毒,jian'zhong'du
交叉感染,jiao'cha'gan'ran
角弓反张,jiao'gong'fan'zhang
角化过度,jiao'hua'guo'du
焦急不安,jiao'ji'bu'an
交流障碍,jiao'liu'zhang'ai
焦虑,jiao'lv
角膜病,jiao'mo'bing
角膜浑浊,jiao'mo'hun'zhuo
角膜积物,jiao'mo'ji'wu
角膜结膜炎,jiao'mo'jie'mo'yan
角膜溃疡,jiao'mo'kui'yang
角膜水肿,jiao'mo'shui'zhong
角膜炎,jiao'mo'yan
胶原病,jiao'yuan'bing
疖病,jie'bing
结肠癌,jie'chang'ai
结肠憩室病,jie'chang'qi'shi'bing
结肠憩室炎,jie'chang'qi'shi'yan
结肠炎,jie'chang'yan
接触性皮炎,jie'chu'xing'pi'yan
结核菌感染,jie'he'jun'gan'ran
结核性骨炎,jie'he'xing'gu'yan
结痂,jie'jia
结节性多发性动脉炎,jie'jie'xing'duo'fa'xing'dong'mai'yan
结节性红斑,jie'jie'xing'hong'ban
睫毛生长,jie'mao'sheng'zhang
结膜病,jie'mo'bing
结膜出血,jie'mo'chu'xie
结膜溃疡,jie'mo'kui'yang
结膜色素异常,jie'mo'se'su'yi'chang
结膜炎,jie'mo'yan
结舌,jie'she
截瘫,jie'tan
结性心律不齐,jie'xing'xin'lv'bu'qi
近视,jin'shi
紧张症反应,jin'zhang'zheng'fan'ying
颈动脉血栓形成,jing'dong'mai'xue'shuan'xing'cheng
惊厥,jing'jue
惊厥加重,jing'jue'jia'zhong
颈淋巴结病,jing'lin'ba'jie'bing
痉挛性肠梗阻,jing'luan'xing'chang'geng'zu
痉挛性麻痹,jing'luan'xing'ma'bi
静脉闭塞性肝病,jing'mai'bi'se'xing'gan'bing
静脉病,jing'mai'bing
静脉扩张,jing'mai'kuo'zhang
静脉曲张,jing'mai'qu'zhang
静脉痛,jing'mai'tong
静脉炎,jing'mai'yan
静脉炎后综合征,jing'mai'yan'hou'zong'he'zheng
精神病,jing'shen'bing
精神分裂样反应,jing'shen'fen'lie'yang'fan'ying
精神性失用症,jing'shen'xing'shi'yong'zheng
精神性性交困难,jing'shen'xing'xing'jiao'kun'nan
精神性抑郁,jing'shen'xing'yi'yu
精神运动发育障碍,jing'shen'yun'dong'fa'yu'zhang'ai
精原细胞瘤,jing'yuan'xi'bao'liu
精子颈部环代综合征,jing'zi'jing'bu'huan'dai'zong'he'zheng
精子异常,jing'zi'yi'chang
酒精中毒,jiu'jing'zhong'du
酒渣鼻,jiu'zha'bi
局部麻木,ju'bu'ma'mu
局部用药反应,ju'bu'yong'yao'fan'ying
巨人症,ju'ren'zheng
巨细胞性贫血,ju'xi'bao'xing'pin'xue
局限性抽搐,ju'xian'xing'chou'chu
巨幼红细胞性贫血,ju'you'hong'xi'bao'xing'pin'xue
皲裂,jun'lie
菌尿,jun'niao
卡氏肺囊虫感染,ka'shi'fei'nang'chong'gan'ran
咯血,ka'xie
抗胆碱能综合征,kang'dan'jian'neng'zong'he'zheng
抗核因子试验阳性,kang'he'yin'zi'shi'yan'yang'xing
抗利尿激素病,kang'li'niao'ji'su'bing
抗利尿激素异常分泌综合征,kang'li'niao'ji'su'yi'chang'fen'mi'zong'he'zheng
糠疹,kang'zhen
咳嗽,ke'sou
口臭,kou'chou
口疮性口炎,kou'chuang'xing'kou'yan
口干,kou'gan
口渴,kou'ke
口腔出血,kou'qiang'chu'xie
口腔良性肿瘤,kou'qiang'liang'xing'zhong'liu
口腔粘膜白斑病,kou'qiang'nian'mo'bai'ban'bing
口炎,kou'yan
哭声异常,ku'sheng'yi'chang
眶周水肿,kuang'zhou'shui'zhong
溃疡性鼻炎,kui'yang'xing'bi'yan
溃疡性结肠炎,kui'yang'xing'jie'chang'yan
溃疡性结肠炎加重,kui'yang'xing'jie'chang'yan'jia'zhong
溃疡性口炎,kui'yang'xing'kou'yan
溃疡性阴道炎,kui'yang'xing'yin'dao'yan
溃疡性直肠炎,kui'yang'xing'zhi'chang'yan
劳动能力丧失,lao'dong'neng'li'sang'shi
类风湿性关节炎,lei'feng'shi'xing'guan'jie'yan
类风湿性关节炎加重,lei'feng'shi'xing'guan'jie'yan'jia'zhong
泪管梗阻,lei'guan'geng'zu
泪腺病,lei'xian'bing
冷凝集试验阳性,leng'ning'ji'shi'yan'yang'xing
冷凝球蛋白血症,leng'ning'qiu'dan'bai'xue'zheng
冷荨麻疹,leng'qian'ma'zhen
里急后重,li'ji'hou'zhong
立毛,li'mao
粒细胞减少,li'xi'bao'jian'shao
粒细胞缺乏症,li'xi'bao'que'fa'zheng
粒细胞性白血病,li'xi'bao'xing'bai'xue'bing
粒细胞增多,li'xi'bao'zeng'duo
良性垂体瘤,liang'xing'chui'ti'liu
良性肝肿瘤,liang'xing'gan'zhong'liu
良性喉肿瘤,liang'xing'hou'zhong'liu
良性脑瘤,liang'xing'nao'liu
疗效降低,liao'xiao'jiang'di
疗效增加,liao'xiao'zeng'jia
淋巴管炎,lin'ba'guan'yan
淋巴结病,lin'ba'jie'bing
淋巴瘤样病,lin'ba'liu'yang'bing
淋巴水肿,lin'ba'shui'zhong
淋巴细胞减少,lin'ba'xi'bao'jian'shao
淋巴细胞型白血病,lin'ba'xi'bao'xing'bai'xue'bing
淋巴细胞增多,lin'ba'xi'bao'zeng'duo
流产,liu'chan
流感样症状,liu'gan'yang'zheng'zhuang
硫红血红蛋白血症,liu'hong'xue'hong'dan'bai'xue'zheng
流泪异常,liu'lei'yi'chang
颅内产伤,lu'nei'chan'shang
颅内出血,lu'nei'chu'xie
颅内压升高,lu'nei'ya'sheng'gao
颅神经损害,lu'shen'jing'sun'hai
颅神经炎,lu'shen'jing'yan
卵巢病,luan'chao'bing
卵巢囊肿,luan'chao'nang'zhong
滤疱性疹,lv'pao'xing'zhen
麻痹,ma'bi
麻痹性肠梗阻,ma'bi'xing'chang'geng'zu
脉管炎,mai'guan'yan
脉弱,mai'ruo
慢性疲劳综合征,man'xing'pi'lao'zong'he'zheng
盲点,mang'dian
毛发变色,mao'fa'bian'se
