阿巴耶卡罗笈多,a'ba'ye'ka'luo'ji'duo
阿湿波国,a'shi'bo'guo
阿氏多尊者,a'shi'duo'zun'zhe
阿输迦树,a'shu'jia'shu
阿说示,a'shuo'shi
阿私陀仙,a'si'tuo'xian
阿娑缚抄,a'suo'fu'chao
阿特曼,a'te'man
阿秃师,a'tu'shi
阿陀那识,a'tuo'na'shi
阿王老藏,a'wang'lao'cang
阿旺洛桑,a'wang'luo'sang
阿旺洛桑丹巴坚赞,a'wang'luo'sang'dan'ba'jian'zan
阿旺罗桑丹白坚赞,a'wang'luo'sang'dan'bai'jian'zan
阿旺洛桑丹贝坚赞,a'wang'luo'sang'dan'bei'jian'zan
阿旺曲培,a'wang'qu'pei
阿旺云登桑布法王,a'wang'yun'deng'sang'bu'fa'wang
阿旺扎巴,a'wang'zha'ba
阿尾奢法,a'wei'she'fa
阿惟越致,a'wei'yue'zhi
阿悉多伽那,a'xi'duo'ga'na
阿修罗,a'xiu'luo
阿修罗道,a'xiu'luo'dao
阿修罗界,a'xiu'luo'jie
阿修罗王,a'xiu'luo'wang
阿修罗战,a'xiu'luo'zhan
阿逸多,a'yi'duo
阿诣罗,a'yi'luo
阿由多,a'you'duo
阿踰陀国,a'yu'tuo'guo
阿育王,a'yu'wang
阿育王参礼优波鞠多,a'yu'wang'can'li'you'bo'ju'duo
阿育王法勒,a'yu'wang'fa'le
阿育王经,a'yu'wang'jing
阿育王寺,a'yu'wang'si
阿育王塔,a'yu'wang'ta
阿育王息坏目因缘经,a'yu'wang'xi'huai'mu'yin'yuan'jing
阿育王造塔缘起,a'yu'wang'zao'ta'yuan'qi
阿咤力教,a'zha'li'jiao
阿渣雅移喜杨,a'zha'ya'yi'xi'yang
阿旃陀石窟,a'zhan'tuo'shi'ku
阿知活佛略传,a'zhi'huo'fo'lue'zhuan
阿专师,a'zhuan'shi
阿卓基,a'zhuo'ji
阿字本不生,a'zi'ben'bu'sheng
阿字布心,a'zi'bu'xin
阿字观,a'zi'guan
阿字七义,a'zi'qi'yi
阿字数息观,a'zi'shu'xi'guan
阿字五转,a'zi'wu'zhuan
阿宗江嘎仁波切,a'zong'jiang'ga'ren'bo'qie
阿宗珠巴仁波切土丹白玛逞列,a'zong'zhu'ba'ren'bo'qie'tu'dan'bai'ma'cheng'lie
阿宗珠巴卓兑巴沃多杰,a'zong'zhu'ba'zhuo'dui'ba'wo'duo'jie
爱别离苦,ai'bie'li'ku
爱道,ai'dao
爱缚,ai'fu
爱国寺念佛堂,ai'guo'si'nian'fo'tang
爱见,ai'jian
爱见大悲,ai'jian'da'bei
爱结,ai'jie
埃勒凡达岛,ai'le'fan'da'dao
艾略特,ai'lue'te
爱论,ai'lun
艾罗拉石窟,ai'luo'la'shi'ku
爱取,ai'qu
爱染明王,ai'ran'ming'wang
爱同四,ai'tong'si
爱系,ai'xi
爱行,ai'xing
爱语,ai'yu
爱欲,ai'yu
艾泽顿,ai'ze'dun
爱执,ai'zhi
爱之歌,ai'zhi'ge
爱著,ai'zhu
安柏克博士,an'bai'ke'bo'shi
安贝卡,an'bei'ka
安禅那,an'chan'na
安禅师,an'chan'shi
岸禅师,an'chan'shi
安澄,an'cheng
安呾罗缚国,an'da'luo'fu'guo
案达罗国,an'da'luo'guo
案达派,an'da'pai
安闍那林,an'du'na'lin
安多政教多,an'duo'zheng'jiao'duo
安法钦,an'fa'qin
安国,an'guo
安国寺,an'guo'si
安国兴国寺,an'guo'xing'guo'si
安含,an'han
安慧,an'hui
安慧则,an'hui'ze
安静,an'jing
安居,an'ju
安居竟,an'ju'jing
安克迭都培龙,an'ke'die'dou'pei'long
安乐国,an'le'guo
安乐行院,an'le'hang'yuan
安乐集,an'le'ji
安乐净土,an'le'jing'tu
安乐寿院,an'le'shou'yuan
安乐寺,an'le'si
安立,an'li
安廪,an'lin
安廪法师,an'lin'fa'shi
安令首,an'ling'shou
安流传授纪要,an'liu'chuan'shou'ji'yao
鞍马寺,an'ma'si
菴没罗园,an'mei'luo'yuan
庵摩罗识,an'mo'luo'shi
安忍,an'ren
案山吉道,an'shan'ji'dao
安生塑真容菩萨,an'sheng'su'zhen'rong'pu'sa
安世高,an'shi'gao
安受苦忍,an'shou'ku'ren
安土宗论,an'tu'zong'lun
安陀会,an'tuo'hui
安息国,an'xi'guo
安息沙门昙谛,an'xi'sha'men'tan'di
安息香,an'xi'xiang
安祥寺,an'xiang'si
安养抄,an'yang'chao
安养集,an'yang'ji
安阳沮渠侯,an'yang'ju'qu'hou
安养寺,an'yang'si
安永,an'yong
安元,an'yuan
庵元禅师,an'yuan'chan'shi
安远庙,an'yuan'miao
安岳了悟,an'yue'liao'wu
安乐律,an'yue'lv
安乐律院,an'yue'lv'yuan
安岳磨崖佛像,an'yue'mo'ya'fo'xiang
安宅神咒经,an'zhai'shen'zhou'jing
安章竹巴,an'zhang'zhu'ba
安住何处,an'zhu'he'chu
鞍作鸟,an'zuo'niao
昂旺敦振,ang'wang'dun'zhen
昂旺朗吉堪布,ang'wang'lang'ji'kan'bu
奥俱啰那陀,ao'ju'luo'na'tuo
奥义书,ao'yi'shu
八辈,ba'bei
八背舍,ba'bei'she
八辩,ba'bian
八变化,ba'bian'hua
八不,ba'bu
八部鬼众,ba'bu'gui'zhong
八不净,ba'bu'jing
八不净物,ba'bu'jing'wu
八不显实,ba'bu'xian'shi
八不正观,ba'bu'zheng'guan
八部众,ba'bu'zhong
八不中道,ba'bu'zhong'dao
八不中观,ba'bu'zhong'guan
巴操尼玛札,ba'cao'ni'ma'zha
巴查巴,ba'cha'ba
巴察贡巴,ba'cha'gong'ba
八缠,ba'chan
跋祇国,ba'chi'guo
八触,ba'chu
八除入,ba'chu'ru
八大,ba'da
八大地狱,ba'da'di'yu
巴达利,ba'da'li
八大灵塔,ba'da'ling'ta
八大灵塔梵赞,ba'da'ling'ta'fan'zan
八大灵塔名号经,ba'da'ling'ta'ming'hao'jing
八大龙王,ba'da'long'wang
巴达弥,ba'da'mi
八大明王,ba'da'ming'wang
八大菩萨,ba'da'pu'sa
八大菩萨曼荼罗经,ba'da'pu'sa'man'tu'luo'jing
八大人觉,ba'da'ren'jue
八大人觉经,ba'da'ren'jue'jing
八大山人,ba'da'shan'ren
八大童子,ba'da'tong'zi
八大自在我,ba'da'zi'zai'wo
巴丹闍梨,ba'dan'du'li
巴丹巿,ba'dan'fu
八倒,ba'dao
巴德拉巴夫,ba'de'la'ba'fu
八颠倒,ba'dian'dao
八定,ba'ding
八段,ba'duan
八段五篇,ba'duan'wu'pian
拔队得胜,ba'dui'de'sheng
八堕,ba'duo
巴尔夫,ba'er'fu
巴尔拉姆与乔萨发特,ba'er'la'mu'yu'qiao'sa'fa'te
八法,ba'fa
八梵,ba'fan
八幡大菩萨,ba'fan'da'pu'sa
八分斋戒,ba'fen'zhai'jie
八风,ba'feng
八风吹不动,ba'feng'chui'bu'dong
八风吹不动一屁过江来,ba'feng'chui'bu'dong'yi'pi'guo'jiang'lai
八福生处,ba'fu'sheng'chu
八福田,ba'fu'tian
巴格石窟,ba'ge'shi'ku
八供,ba'gong
八功德水,ba'gong'de'shui
八功德水想,ba'gong'de'shui'xiang
八关会,ba'guan'hui
八关斋戒,ba'guan'zhai'jie
八海,ba'hai
八寒八热,ba'han'ba're
八寒地狱,ba'han'di'yu
巴壶天,ba'hu'tian
巴壶天居士,ba'hu'tian'ju'shi
八会,ba'hui
八秽,ba'hui
八吉祥经,ba'ji'xiang'jing
八吉祥颂,ba'ji'xiang'song
八教,ba'jiao
八戒,ba'jie
八解脱,ba'jie'tuo
八戒斋,ba'jie'zhai
八戒斋八种胜法,ba'jie'zhai'ba'zhong'sheng'fa
八敬法,ba'jing'fa
八敬戒,ba'jing'jie
八句义,ba'ju'yi
八觉,ba'jue
八苦,ba'ku
拔苦,ba'ku
巴里岛,ba'li'dao
巴利律藏,ba'li'lv'cang
巴利圣典协会,ba'li'sheng'dian'xie'hui
巴利语,ba'li'yu
巴利语佛典,ba'li'yu'fo'dian
巴林右旗荟福寺,ba'lin'you'qi'hui'fu'si
巴路特,ba'lu'te
八轮,ba'lun
八慢,ba'man
把门关好,ba'men'guan'hao
八迷,ba'mi
巴米扬石窟,ba'mi'yang'shi'ku
八魔,ba'mo
拔目鸟,ba'mu'niao
巴拿哈,ba'na'ha
八难,ba'nan
八念,ba'nian
八弃,ba'qi
八千枚护摩供,ba'qian'mei'hu'mo'gong
八热地狱,ba're'di'yu
八忍,ba'ren
八忍八智,ba'ren'ba'zhi
巴戎巴达玛旺秀,ba'rong'ba'da'ma'wang'xiu
巴赛囊,ba'sai'nang
巴桑希译师,ba'sang'xi'yi'shi
拔舌地狱,ba'she'di'yu
八神变,ba'shen'bian
八圣,ba'sheng
八胜处,ba'sheng'chu
八圣道,ba'sheng'dao
八圣吉祥祈请文,ba'sheng'ji'xiang'qi'qing'wen
八圣吉祥颂,ba'sheng'ji'xiang'song
八识,ba'shi
八十八佛,ba'shi'ba'fo
八十八品见惑,ba'shi'ba'pin'jian'huo
八十八使,ba'shi'ba'shi
八十八祖道影传赞,ba'shi'ba'zu'dao'ying'chuan'zan
八识二无我,ba'shi'er'wu'wo
八世风,ba'shi'feng
八识规矩颂,ba'shi'gui'ju'song
八十九心,ba'shi'jiu'xin
八十诵律,ba'shi'song'lv
八十随形好,ba'shi'sui'xing'hao
八识体别,ba'shi'ti'bie
八识体一,ba'shi'ti'yi
八识田,ba'shi'tian
八识心王,ba'shi'xin'wang
八十一品思惑,ba'shi'yi'pin'si'huo
八十种好,ba'shi'zhong'hao
把手放下来,ba'shou'fang'xia'lai
八思巴,ba'si'ba
八思巴洛哲坚赞,ba'si'ba'luo'zhe'jian'zan
八思巴文字,ba'si'ba'wen'zi
巴特那,ba'te'na
八天,ba'tian
跋陀罗尊者,ba'tuo'luo'zun'zhe
巴哇希,ba'wa'xi
八万法藏,ba'wan'fa'cang
八万法门,ba'wan'fa'men
八万四千,ba'wan'si'qian
八万四千病,ba'wan'si'qian'bing
八万四千尘劳,ba'wan'si'qian'chen'lao
八万四千法门,ba'wan'si'qian'fa'men
八万四千光明,ba'wan'si'qian'guang'ming
八万四千相好,ba'wan'si'qian'xiang'hao
八万威仪,ba'wan'wei'yi
八万细行,ba'wan'xi'xing
八妄想,ba'wang'xiang
八味,ba'wei
八未曾有,ba'wei'ceng'you
八位胎藏,ba'wei'tai'cang
八惟无,ba'wei'wu
拔希,ba'xi
巴西佛教,ba'xi'fo'jiao
把溪寺,ba'xi'si
八相,ba'xiang
八相成道,ba'xiang'cheng'dao
八邪,ba'xie
巴协,ba'xie
八叶莲花,ba'ye'lian'hua
八叶莲华观,ba'ye'lian'hua'guan
八叶莲台,ba'ye'lian'tai
八叶肉团心,ba'ye'rou'tuan'xin
八叶印,ba'ye'yin
八叶院,ba'ye'yuan
八叶中台,ba'ye'zhong'tai
八叶中尊,ba'ye'zhong'zun
八音,ba'yin
八游行,ba'you'xing
八圆,ba'yuan
八灾患,ba'zai'huan
巴札力巴,ba'zha'li'ba
八遮,ba'zhe
八折诵经,ba'zhe'song'jing
八正道,ba'zheng'dao
八智,ba'zhi
八支甘露心要祕密教授续,ba'zhi'gan'lu'xin'yao'mi'mi'jiao'shou'xu
八指头陀,ba'zhi'tou'tuo
八指头陀诗集,ba'zhi'tou'tuo'shi'ji
巴支汪朱,ba'zhi'wang'zhu
巴支星叽,ba'zhi'xing'ji
巴支移喜,ba'zhi'yi'xi
八支瑜伽,ba'zhi'yu'jia
八支斋,ba'zhi'zhai
八重,ba'zhong
八种别解脱戒,ba'zhong'bie'jie'tuo'jie
八种法,ba'zhong'fa
八种谬,ba'zhong'miu
八种胜法,ba'zhong'sheng'fa
八种施,ba'zhong'shi
八中洲,ba'zhong'zhou
巴宙,ba'zhou
霸州市净心佛堂,ba'zhou'shi'jing'xin'fo'tang
霸州市龙泉禅寺,ba'zhou'shi'long'quan'chan'si
巴珠仁波且,ba'zhu'ren'bo'qie
八转声,ba'zhuan'sheng
八字文殊菩萨,ba'zi'wen'shu'pu'sa
八宗,ba'zong
八宗纲要,ba'zong'gang'yao
八祖佛陀密多尊者,ba'zu'fo'tuo'mi'duo'zun'zhe
八祖佛陀难提传法伏驮蜜多,ba'zu'fo'tuo'nan'ti'chuan'fa'fu'tuo'mi'duo
八祖佛陀难提尊者,ba'zu'fo'tuo'nan'ti'zun'zhe
八祖左溪尊者玄朗,ba'zu'zuo'xi'zun'zhe'xuan'lang
白庵金禅师,bai'an'jin'chan'shi
百八,bai'ba
百八烦恼,bai'ba'fan'nao
百八结业,bai'ba'jie'ye
百八三昧,bai'ba'san'mei
百八塔,bai'ba'ta
百八钟,bai'ba'zhong
白报,bai'bao
拜忏,bai'chan
白度母咒,bai'du'mu'zhou
白法,bai'fa
百法,bai'fa
白法黑法,bai'fa'hei'fa
百法明门,bai'fa'ming'men
百法五位,bai'fa'wu'wei
拜佛,bai'fo
百福庄严,bai'fu'zhuang'yan
百福庄严相,bai'fu'zhuang'yan'xiang
白古,bai'gu
百光遍照王,bai'guang'bian'zhao'wang
白国因由,bai'guo'yin'you
白毫,bai'hao
百即百生,bai'ji'bai'sheng
百济观音,bai'ji'guan'yin
百劫,bai'jie
百界,bai'jie
百界千如,bai'jie'qian'ru
白居易,bai'ju'yi
白居易居士,bai'ju'yi'ju'shi
白居易问禅,bai'ju'yi'wen'chan
百苦,bai'ku
白乐天,bai'le'tian
白莲社,bai'lian'she
白莲宗,bai'lian'zong
百灵庙,bai'ling'miao
白龙,bai'long
白龙城,bai'long'cheng
百论,bai'lun
百论疏,bai'lun'shu
白马,bai'ma
白玛曲英乔达尔尊者,bai'ma'qu'ying'qiao'da'er'zun'zhe
白马寺,bai'ma'si
百衲衣,bai'na'yi
百年一梦,bai'nian'yi'meng
白牛,bai'niu
白伞盖佛顶,bai'san'gai'fo'ding
白少傅,bai'shao'fu
白圣,bai'sheng
白圣法师,bai'sheng'fa'shi
百松,bai'song
百颂诗集,bai'song'shi'ji
百岁宫,bai'sui'gong
白塔寺,bai'ta'si
百塔寺,bai'ta'si
白檀,bai'tan
柏万安之母曹氏,bai'wan'an'zhi'mu'cao'shi
百万塔陀罗尼,bai'wan'ta'tuo'luo'ni
百味具足,bai'wei'ju'zu
百味饮食,bai'wei'yin'shi
白文殊咒,bai'wen'shu'zhou
百屋禅师清珙,bai'wu'chan'shi'qing'gong
白夏瓦,bai'xia'wa
白心,bai'xin
白雪,bai'xue
白崖宝生,bai'ya'bao'sheng
白崖山无住禅师,bai'ya'shan'wu'zhu'chan'shi
柏岩禅师,bai'yan'chan'shi
白杨法顺禅师,bai'yang'fa'shun'chan'shi
白杨顺禅师,bai'yang'shun'chan'shi
白羊寺,bai'yang'si
白业,bai'ye
白衣,bai'yi
百一供身,bai'yi'gong'shen
白衣观音,bai'yi'guan'yin
白衣观音灵感真言,bai'yi'guan'yin'ling'gan'zhen'yan
百一物,bai'yi'wu
百一众具,bai'yi'zhong'ju
白隐禅师,bai'yin'chan'shi
白隐慧鹤,bai'yin'hui'he
百喻经,bai'yu'jing
拜愿,bai'yuan
白月,bai'yue
白云,bai'yun
白云禅师智度,bai'yun'chan'shi'zhi'du
白云度公,bai'yun'du'gong
白云端禅师,bai'yun'duan'chan'shi
白云花,bai'yun'hua
白云慧晓,bai'yun'hui'xiao
白云寂照明首座,bai'yun'ji'zhao'ming'shou'zuo
白云孔清觉,bai'yun'kong'qing'jue
白云守端禅师,bai'yun'shou'duan'chan'shi
白云子祥,bai'yun'zi'xiang
白云宗,bai'yun'zong
百丈,bai'zhang
百丈丛林清规,bai'zhang'cong'lin'qing'gui
百丈道恒,bai'zhang'dao'heng
百丈海禅师,bai'zhang'hai'chan'shi
百丈怀海禅师,bai'zhang'huai'hai'chan'shi
百丈清规证义记,bai'zhang'qing'gui'zheng'yi'ji
百丈山,bai'zhang'shan
百丈山怀海禅师,bai'zhang'shan'huai'hai'chan'shi
百丈野狐,bai'zhang'ye'hu
百丈野鸭子,bai'zhang'ye'ya'zi
百丈珍禅师,bai'zhang'zhen'chan'shi
百丈政,bai'zhang'zheng
百字论,bai'zi'lun
百字明修法,bai'zi'ming'xiu'fa
班禅喇嘛,ban'chan'la'ma
办道,ban'dao
班德巴,ban'de'ba
般闍罗国,ban'du'luo'guo
半跏趺坐,ban'jia'fu'zuo
半跏思惟像,ban'jia'si'wei'xiang
半肯半不肯,ban'ken'ban'bu'ken
般苦三昧,ban'ku'san'mei
班玛瓜唐,ban'ma'gua'tang
般涅槃,ban'nie'pan
般涅槃那,ban'nie'pan'na
班钦索南札巴,ban'qin'suo'nan'zha'ba
班台斯利,ban'tai'si'li
半托迦,ban'tuo'jia
半托迦尊者,ban'tuo'jia'zun'zhe
半择迦,ban'ze'jia
半斋,ban'zhai
般舟三昧,ban'zhou'san'mei
半字满字,ban'zi'man'zi
半座,ban'zuo
谤法阐提,bang'fa'chan'ti
谤三宝戒,bang'san'bao'jie
傍生,bang'sheng
傍生趣,bang'sheng'qu
宝安,bao'an
保安寺,bao'an'si
报本元禅师,bao'ben'yuan'chan'shi
保参玉泉,bao'can'yu'quan
宝唱,bao'chang
宝车,bao'che
宝称,bao'cheng
宝称律师,bao'cheng'lv'shi
宝池观,bao'chi'guan
报慈,bao'ci
宝达,bao'da
报得,bao'de
宝地,bao'di
保定博野护国寺,bao'ding'bo'ye'hu'guo'si
保定阜平县嘉绒观音寺,bao'ding'fu'ping'xian'jia'rong'guan'yin'si
保定市安国兴国寺,bao'ding'shi'an'guo'xing'guo'si
宝鼎赞,bao'ding'zan
报恩,bao'en
报恩禅师论三教大要,bao'en'chan'shi'lun'san'jiao'da'yao
报恩禅寺,bao'en'chan'si
报恩寺,bao'en'si
报恩田,bao'en'tian
宝峰,bao'feng
宝峰阐提照禅师,bao'feng'chan'ti'zhao'chan'shi
宝峰清禅师,bao'feng'qing'chan'shi
宝峰祥禅师,bao'feng'xiang'chan'shi
宝峰英禅师,bao'feng'ying'chan'shi
宝峰湛堂准禅师,bao'feng'zhan'tang'zhun'chan'shi
宝峰准禅师,bao'feng'zhun'chan'shi
报佛,bao'fo
保福,bao'fu
报父母恩咒,bao'fu'mu'en'zhou
宝盖,bao'gai
保恭,bao'gong
宝公,bao'gong
宝公大士,bao'gong'da'shi
宝公慧洪,bao'gong'hui'hong
宝光寺,bao'guang'si
保国寺,bao'guo'si
报国寺,bao'guo'si
宝海,bao'hai
宝华山,bao'hua'shan
宝积,bao'ji
宝积禅师,bao'ji'chan'shi
薄迦梵,bao'jia'fan
宝金禅师,bao'jin'chan'shi
宝镜三昧,bao'jing'san'mei
薄拘罗,bao'ju'luo
宝卷,bao'juan
宝觉禅寺,bao'jue'chan'si
宝觉道法师,bao'jue'dao'fa'shi
宝觉寺,bao'jue'si
宝莲禅寺,bao'lian'chan'si
宝亮,bao'liang
宝亮法师,bao'liang'fa'shi
宝林迦陵,bao'lin'jia'ling
宝轮寺,bao'lun'si
薄瞑,bao'ming
保宁玑禅师,bao'ning'ji'chan'shi
保宁玑道,bao'ning'ji'dao
保宁寺,bao'ning'si
宝女所问经,bao'nv'suo'wen'jing
宝瓶气,bao'ping'qi
宝箧印陀罗尼,bao'qie'yin'tuo'luo'ni
宝箧印陀罗尼的故事,bao'qie'yin'tuo'luo'ni'de'gu'shi
宝庆记,bao'qing'ji
宝庆寂圆,bao'qing'ji'yuan
宝琼,bao'qiong
宝儒,bao'ru
宝山浮玉,bao'shan'fu'yu
宝山石窟,bao'shan'shi'ku
报身,bao'shen
报生,bao'sheng
宝生佛,bao'sheng'fo
宝胜如来,bao'sheng'ru'lai
报生三昧,bao'sheng'san'mei
保圣寺,bao'sheng'si
宝寿,bao'shou
抱树,bao'shu
宝树观,bao'shu'guan
宝思惟,bao'si'wei
宝通,bao'tong
报通,bao'tong
宝通禅师,bao'tong'chan'shi
宝通禅寺,bao'tong'chan'si
报土,bao'tu
宝彖,bao'tuan
宝王,bao'wang
宝王三昧,bao'wang'san'mei
宝王三昧念佛直指,bao'wang'san'mei'nian'fo'zhi'zhi
宝袭,bao'xi
宝贤,bao'xian
宝宪,bao'xian
保贤法师,bao'xian'fa'shi
宝相,bao'xiang
宝性,bao'xing
鲍性泉,bao'xing'quan
宝行王正论,bao'xing'wang'zheng'lun
宝严,bao'yan
宝岩,bao'yan
宝一老人行实,bao'yi'lao'ren'hang'shi
宝印,bao'yin
报因,bao'yin
宝印禅师,bao'yin'chan'shi
宝印法师,bao'yin'fa'shi
宝应寺,bao'ying'si
抱玉,bao'yu
宝雨经,bao'yu'jing
宝渊,bao'yuan
宝云,bao'yun
宝藏禅师,bao'zang'chan'shi
宝藏论,bao'zang'lun
报障,bao'zhang
保志,bao'zhi
宝志,bao'zhi
宝志大士,bao'zhi'da'shi
宝志公禅师,bao'zhi'gong'chan'shi
宝洲沙门觉岸,bao'zhou'sha'men'jue'an
宝作寂,bao'zuo'ji
北碚天台禅院,bei'bei'tian'tai'chan'yuan
背柴走江湖,bei'chai'zou'jiang'hu
北禅贤禅师,bei'chan'xian'chan'shi
北朝佛教,bei'chao'fo'jiao
北传佛教,bei'chuan'fo'jiao
北斗法,bei'dou'fa
杯度,bei'du
杯渡,bei'du
杯度比丘,bei'du'bi'qiu
杯渡尊者,bei'du'zun'zhe
悲观,bei'guan
北海白塔,bei'hai'bai'ta
悲华经,bei'hua'jing
北涧简禅师,bei'jian'jian'chan'shi
北涧居简禅师,bei'jian'ju'jian'chan'shi
北涧居简禅师语录,bei'jian'ju'jian'chan'shi'yu'lu
北京八大处,bei'jing'ba'da'chu
北京律,bei'jing'lv
北俱卢洲,bei'ju'lu'zhou
北拘卢洲,bei'ju'lu'zhou
北凉三藏昙无谶,bei'liang'san'zang'tan'wu'chen
悲门,bei'men
卑摩罗叉,bei'mo'luo'cha
背念,bei'nian
贝诺法王二世,bei'nuo'fa'wang'er'shi
贝诺法王三世,bei'nuo'fa'wang'san'shi
贝诺法王一世,bei'nuo'fa'wang'yi'shi
北平庆寿简禅师禅师,bei'ping'qing'shou'jian'chan'shi'chan'shi
北齐道凭,bei'qi'dao'ping
北齐慧光,bei'qi'hui'guang
北山禅寺,bei'shan'chan'si
北山录,bei'shan'lu
北山住部,bei'shan'zhu'bu
背舍,bei'she
北石窟寺,bei'shi'ku'si
杯水禅机,bei'shui'chan'ji
北寺塔,bei'si'ta
悲田,bei'tian
悲田坊,bei'tian'fang
北条时赖,bei'tiao'shi'lai
北条时宗,bei'tiao'shi'zong
悲无量心,bei'wu'liang'xin
贝叶,bei'ye
贝叶经,bei'ye'jing
北印度佛陀波利尊者,bei'yin'du'fo'tuo'bo'li'zun'zhe
悲愿金刚,bei'yuan'jin'gang
悲增,bei'zeng
悲智,bei'zhi
悲智圆满,bei'zhi'yuan'man
北周慧命,bei'zhou'hui'ming
北周静蔼,bei'zhou'jing'ai
北周武帝,bei'zhou'wu'di
贝子庙,bei'zi'miao
北宗,bei'zong
北宗神秀禅师,bei'zong'shen'xiu'chan'shi
本朝高僧传,ben'chao'gao'seng'chuan
本初佛,ben'chu'fo
本道法师,ben'dao'fa'shi
本地,ben'di
本地垂迹,ben'di'chui'ji
本地风光,ben'di'feng'guang
本地身,ben'di'shen
本高,ben'gao
本光法师,ben'guang'fa'shi
本化,ben'hua
本化别头佛祖统纪,ben'hua'bie'tou'fo'zu'tong'ji
本焕法师,ben'huan'fa'shi
本慧法师,ben'hui'fa'shi
本惑,ben'huo
本寂,ben'ji
本济,ben'ji
本寂禅师,ben'ji'chan'shi
本迹二门,ben'ji'er'men
本际法师,ben'ji'fa'shi
