阿苯达唑,a'ben'da'zuo
内科副教授,nei'ke'fu'jiao'shou
内科工作,nei'ke'gong'zuo
内科疾病,nei'ke'ji'bing
内科科室,nei'ke'ke'shi
内科学,nei'ke'xue
内科医生,nei'ke'yi'sheng
内科治疗,nei'ke'zhi'liao
内科主任,nei'ke'zhu'ren
能够预防,neng'gou'yu'fang
年龄阶段,nian'ling'jie'duan
年轻化,nian'qing'hua
尿道炎,niao'dao'yan
尿毒症,niao'du'zheng
尿毒症患者,niao'du'zheng'huan'zhe
尿量异常,niao'liang'yi'chang
尿糖,niao'tang
欧盟内科年会,ou'meng'nei'ke'nian'hui
呕吐恶心,ou'tu'e'xin
排查工作,pai'cha'gong'zuo
配套设备,pei'tao'she'bei
盆腔炎,pen'qiang'yan
脾腹壁静脉曲张,pi'fu'bi'jing'mai'qu'zhang
皮肤科,pi'fu'ke
疲劳感,pi'lao'gan
疲劳综合症,pi'lao'zong'he'zheng
脾脏,pi'zang
平稳阶段,ping'wen'jie'duan
破口处,po'kou'chu
普内科医生,pu'nei'ke'yi'sheng
普通流感,pu'tong'liu'gan
普通门诊,pu'tong'men'zhen
普通外科,pu'tong'wai'ke
普外科,pu'wai'ke
气道病变,qi'dao'bing'bian
气候因素,qi'hou'yin'su
浅度睡眠阶段,qian'du'shui'mian'jie'duan
前列腺癌,qian'lie'xian'ai
浅睡期,qian'shui'qi
禽流感,qin'liu'gan
秦玉明,qin'yu'ming
轻性,qing'xing
情绪不稳定,qing'xu'bu'wen'ding
青壮年,qing'zhuang'nian
趋于平稳,qu'yu'ping'wen
全部患者数量,quan'bu'huan'zhe'shu'liang
全民医保政策,quan'min'yi'bao'zheng'ce
全脑血管造影,quan'nao'xue'guan'zao'ying
全球每年,quan'qiu'mei'nian
全球首例,quan'qiu'shou'li
全身抗结核,quan'shen'kang'jie'he
缺乏运动,que'fa'yun'dong
人的思维,ren'de'si'wei
人工终止妊娠手术,ren'gong'zhong'zhi'ren'shen'shou'shu
任军,ren'jun
人乳头状瘤病毒,ren'ru'tou'zhuang'liu'bing'du
仍处于,reng'chu'yu
容易出现,rong'yi'chu'xian
如何预防,ru'he'yu'fang
乳腺癌,ru'xian'ai
乳腺疾病,ru'xian'ji'bing
乳腺内科,ru'xian'nei'ke
乳腺专业组,ru'xian'zhuan'ye'zu
瑞金医院,rui'jin'yi'yuan
三高,san'gao
三级甲等,san'ji'jia'deng
三医院,san'yi'yuan
擅自开展,shan'zi'kai'zhan
上皮组织,shang'pi'zu'zhi
伤身体,shang'shen'ti
社会角色,she'hui'jue'se
肾病内科,shen'bing'nei'ke
深度睡眠,shen'du'shui'mian
神经癌,shen'jing'ai
神经官能症,shen'jing'guan'neng'zheng
神经内科,shen'jing'nei'ke
神经内科副主任医师,shen'jing'nei'ke'fu'zhu'ren'yi'shi
神经内科主任,shen'jing'nei'ke'zhu'ren
神经内科专家,shen'jing'nei'ke'zhuan'jia
神经系统,shen'jing'xi'tong
神经心理疾患,shen'jing'xin'li'ji'huan
神经症,shen'jing'zheng
肾内科,shen'nei'ke
身体检查,shen'ti'jian'cha
肾小管,shen'xiao'guan
肾小球,shen'xiao'qiu
肾友会,shen'you'hui
肾友俱乐部,shen'you'ju'le'bu
肾脏疾病,shen'zang'ji'bing
肾脏内科,shen'zang'nei'ke
生活不规律,sheng'huo'bu'gui'lv
生活习惯,sheng'huo'xi'guan
盛京医院,sheng'jing'yi'yuan
生理构造,sheng'li'gou'zao
生命绿色通道,sheng'ming'lv'se'tong'dao
生命体征,sheng'ming'ti'zheng
省卫生厅,sheng'wei'sheng'ting
省医院,sheng'yi'yuan
生长发育异常,sheng'zhang'fa'yu'yi'chang
市北医院,shi'bei'yi'yuan
十佳护士,shi'jia'hu'shi
世界首例,shi'jie'shou'li
市立医院,shi'li'yi'yuan
市三医院,shi'san'yi'yuan
市卫生局,shi'wei'sheng'ju
食物中毒,shi'wu'zhong'du
史晓红,shi'xiao'hong
试验结果,shi'yan'jie'guo
食欲不振,shi'yu'bu'zhen
市中心医院,shi'zhong'xin'yi'yuan
收费标准,shou'fei'biao'zhun
手术成功,shou'shu'cheng'gong
手术麻醉,shou'shu'ma'zui
手术室,shou'shu'shi
睡眠不好,shui'mian'bu'hao
睡眠时间,shui'mian'shi'jian
睡眠瘫痪,shui'mian'tan'huan
睡眠质量,shui'mian'zhi'liang
水肿,shui'zhong
睡姿,shui'zi
硕士研究生导师,shuo'shi'yan'jiu'sheng'dao'shi
死亡例数,si'wang'li'shu
所发生的,suo'fa'sheng'de
所致的,suo'zhi'de
特别注意,te'bie'zhu'yi
特需门诊,te'xu'men'zhen
提高疗效,ti'gao'liao'xiao
体检报告,ti'jian'bao'gao
体温超过,ti'wen'chao'guo
体质虚弱,ti'zhi'xu'ruo
体质虚弱者,ti'zhi'xu'ruo'zhe
天津医科大学,tian'jin'yi'ke'da'xue
天坛医院,tian'tan'yi'yuan
听力减退,ting'li'jian'tui
停留在,ting'liu'zai
统称为,tong'cheng'wei
痛风病,tong'feng'bing
同仁堂医院,tong'ren'tang'yi'yuan
同仁堂中医医院,tong'ren'tang'zhong'yi'yi'yuan
透析知识,tou'xi'zhi'shi
头晕昏厥,tou'yun'hun'jue
突然发热,tu'ran'fa're
突然感到,tu'ran'gan'dao
推拿科,tui'na'ke
外科工作,wai'ke'gong'zuo
外科学,wai'ke'xue
外科医生,wai'ke'yi'sheng
王华庆,wang'hua'qing
王庆松,wang'qing'song
未按规定,wei'an'gui'ding
胃肠道疾病,wei'chang'dao'ji'bing
胃肠科,wei'chang'ke
未服,wei'fu
未经批准,wei'jing'pi'zhun
卫生保障工作,wei'sheng'bao'zhang'gong'zuo
卫生部门,wei'sheng'bu'men
卫生服务中心,wei'sheng'fu'wu'zhong'xin
卫生室,wei'sheng'shi
卫生所,wei'sheng'suo
卫生专业,wei'sheng'zhuan'ye
胃食管反流病,wei'shi'guan'fan'liu'bing
危险食品,wei'xian'shi'pin
危险物品,wei'xian'wu'pin
韦小鹏,wei'xiao'peng
味药,wei'yao
误服,wu'fu
无节制,wu'jie'zhi
无痛人流,wu'tong'ren'liu
无痛胃肠镜,wu'tong'wei'chang'jing
西京医院,xi'jing'yi'yuan
细菌潜伏量,xi'jun'qian'fu'liang
吸气时,xi'qi'shi
西医内科,xi'yi'nei'ke
西医内科诊所,xi'yi'nei'ke'zhen'suo
显眼位置,xian'yan'wei'zhi
小儿内科,xiao'er'nei'ke
消化道出血,xiao'hua'dao'chu'xie
消化内科,xiao'hua'nei'ke
消化内科主任,xiao'hua'nei'ke'zhu'ren
消化内科主任医师,xiao'hua'nei'ke'zhu'ren'yi'shi
消化系统,xiao'hua'xi'tong
消化性溃疡,xiao'hua'xing'kui'yang
小龙虾,xiao'long'xia
啸鸣音,xiao'ming'yin
协和医院,xie'he'yi'yuan
新安县,xin'an'xian
心电监护仪,xin'dian'jian'hu'yi
心肺听诊,xin'fei'ting'zhen
心梗现象,xin'geng'xian'xiang
新华医院,xin'hua'yi'yuan
心肌梗塞,xin'ji'geng'se
心悸胸闷,xin'ji'xiong'men
心肌炎,xin'ji'yan
心理疾病,xin'li'ji'bing
心理康复,xin'li'kang'fu
心理压力,xin'li'ya'li
心理治疗,xin'li'zhi'liao
心理专家,xin'li'zhuan'jia
心理咨询,xin'li'zi'xun
心律,xin'lv
心率,xin'lv
心脑血管,xin'nao'xue'guan
心脑血管疾病,xin'nao'xue'guan'ji'bing
心内科,xin'nei'ke
心内科主任,xin'nei'ke'zhu'ren
新桥医院,xin'qiao'yi'yuan
新三区,xin'san'qu
心血管,xin'xue'guan
心血管病,xin'xue'guan'bing
心血管疾病,xin'xue'guan'ji'bing
心血管内科,xin'xue'guan'nei'ke
新药评审专家,xin'yao'ping'shen'zhuan'jia
心脏监护室,xin'zang'jian'hu'shi
心脏停跳,xin'zang'ting'tiao
性格特点,xing'ge'te'dian
性功能障碍,xing'gong'neng'zhang'ai
胸部疼痛,xiong'bu'teng'tong
胸闷,xiong'men
休眠状态,xiu'mian'zhuang'tai
悬挂于,xuan'gua'yu
宣武医院,xuan'wu'yi'yuan
眩晕,xuan'yun
血流量,xue'liu'liang
学术交流,xue'shu'jiao'liu
学术研讨会,xue'shu'yan'tao'hui
血压波动,xue'ya'bo'dong
血压升高,xue'ya'sheng'gao
血液科,xue'ye'ke
血液内科,xue'ye'nei'ke
血液粘稠度,xue'ye'nian'chou'du
血晕症状,xue'yun'zheng'zhuang
牙科学院,ya'ke'xue'yuan
压迫性,ya'po'xing
眼睛发红,yan'jing'fa'hong
研究发现,yan'jiu'fa'xian
研究信息,yan'jiu'xin'xi
眼科,yan'ke
严重并发症,yan'zhong'bing'fa'zheng
杨琪,yang'qi
药物治疗,yao'wu'zhi'liao
叶酸,ye'suan
叶涛,ye'tao
已成立,yi'cheng'li
一旦出现,yi'dan'chu'xian
乙肝病,yi'gan'bing
医护人员,yi'hu'ren'yuan
医家,yi'jia
医疗管理模式,yi'liao'guan'li'mo'shi
医疗机构,yi'liao'ji'gou
医疗机构执业许可证,yi'liao'ji'gou'zhi'ye'xu'ke'zheng
医疗救治工作,yi'liao'jiu'zhi'gong'zuo
医疗卫生机构,yi'liao'wei'sheng'ji'gou
医疗小组,yi'liao'xiao'zu
医疗用房,yi'liao'yong'fang
疑难病,yi'nan'bing
疫情中,yi'qing'zhong
医务室,yi'wu'shi
一些患者,yi'xie'huan'zhe
医学博士后,yi'xue'bo'shi'hou
医学会,yi'xue'hui
医学院,yi'xue'yuan
医药卫生,yi'yao'wei'sheng
医院等级,yi'yuan'deng'ji
医院科室,yi'yuan'ke'shi
医院内科,yi'yuan'nei'ke
易致,yi'zhi
移植手术,yi'zhi'shou'shu
阴道炎,yin'dao'yan
应急培训,ying'ji'pei'xun
应急医院,ying'ji'yi'yuan
应急指挥部,ying'ji'zhi'hui'bu
有可能是,you'ke'neng'shi
由人,you'ren
语言训练,yu'yan'xun'lian
原发性高血压,yuan'fa'xing'gao'xue'ya
原发于,yuan'fa'yu
原因之一,yuan'yin'zhi'yi
运动神经细胞,yun'dong'shen'jing'xi'bao
运动神经元病,yun'dong'shen'jing'yuan'bing
杂音,za'yin
在人群间,zai'ren'qun'jian
在医学上,zai'yi'xue'shang
早泄,zao'xie
张慧芬,zhang'hui'fen
张晓红,zhang'xiao'hong
这个人群,zhe'ge'ren'qun
浙医二院,zhe'yi'er'yuan
这一因素,zhe'yi'yin'su
这种病,zhe'zhong'bing
震颤麻痹,zhen'chan'ma'bi
阵发性无力,zhen'fa'xing'wu'li
针灸理疗科,zhen'jiu'li'liao'ke
诊疗活动,zhen'liao'huo'dong
枕头过高,zhen'tou'guo'gao
诊治中心,zhen'zhi'zhong'xin
症状加重,zheng'zhuang'jia'zhong
职场人群,zhi'chang'ren'qun
脂肪肝,zhi'fang'gan
直接称为,zhi'jie'cheng'wei
直接作用,zhi'jie'zuo'yong
治疗方法,zhi'liao'fang'fa
治疗过程,zhi'liao'guo'cheng
支气管镜,zhi'qi'guan'jing
肢体康复,zhi'ti'kang'fu
植物神经,zhi'wu'shen'jing
执行委员,zhi'xing'wei'yuan
执业医师,zhi'ye'yi'shi
执业医师资格证,zhi'ye'yi'shi'zi'ge'zheng
重点学科,zhong'dian'xue'ke
重点专科,zhong'dian'zhuan'ke
中毒性肠炎,zhong'du'xing'chang'yan
中风患者,zhong'feng'huan'zhe
中国抗癌协会,zhong'guo'kang'ai'xie'hui
中国老年学会,zhong'guo'lao'nian'xue'hui
肿瘤科,zhong'liu'ke
肿瘤学,zhong'liu'xue
肿瘤医院,zhong'liu'yi'yuan
肿瘤专业委员会,zhong'liu'zhuan'ye'wei'yuan'hui
钟山医院,zhong'shan'yi'yuan
中山医院,zhong'shan'yi'yuan
终身长期透析,zhong'shen'chang'qi'tou'xi
中枢神经,zhong'shu'shen'jing
中西医结合医院,zhong'xi'yi'jie'he'yi'yuan
中心医院,zhong'xin'yi'yuan
中医妇科,zhong'yi'fu'ke
中医内科,zhong'yi'nei'ke
中医皮肤科,zhong'yi'pi'fu'ke
中医外科,zhong'yi'wai'ke
主动脉窦瘤,zhu'dong'mai'dou'liu
主动脉窦瘤破裂,zhu'dong'mai'dou'liu'po'lie
主动排查,zhu'dong'pai'cha
逐年升高,zhu'nian'sheng'gao
主任医师,zhu'ren'yi'shi
主要表现,zhu'yao'biao'xian
住院部,zhu'yuan'bu
住院患者,zhu'yuan'huan'zhe
住院难,zhu'yuan'nan
主治医生,zhu'zhi'yi'sheng
专家门诊,zhuan'jia'men'zhen
滋补佳品,zi'bu'jia'pin
子宫颈癌,zi'gong'jing'ai
自我操作方法,zi'wo'cao'zuo'fang'fa
滋阴补气,zi'yin'bu'qi
滋阴补气药,zi'yin'bu'qi'yao
综合医院,zong'he'yi'yuan
最常见的,zui'chang'jian'de
最轻微,zui'qing'wei
