艾克制药,ai'ke'zhi'yao
红旗中学,hong'qi'zhong'xue
红旗中学分校,hong'qi'zhong'xue'fen'xiao
红山宾馆,hong'shan'bin'guan
红山供电局,hong'shan'gong'dian'ju
红山公园,hong'shan'gong'yuan
红山广场,hong'shan'guang'chang
红山驾校,hong'shan'jia'xiao
红山粮食储备库,hong'shan'liang'shi'chu'bei'ku
红山日化,hong'shan'ri'hua
红山森林公园,hong'shan'sen'lin'gong'yuan
红山税务,hong'shan'shui'wu
红山园林苗圃,hong'shan'yuan'lin'miao'pu
宏兴大厦,hong'xing'da'sha
后道村委会,hou'dao'cun'wei'hui
华邦车检公司,hua'bang'che'jian'gong'si
花卉宠物古玩市场,hua'hui'chong'wu'gu'wan'shi'chang
华信汽车维修,hua'xin'qi'che'wei'xiu
皇家帝苑,huang'jia'di'yuan
黄金大厦金店,huang'jin'da'sha'jin'dian
回小,hui'xiao
火车站,huo'che'zhan
活畜交易市场,huo'chu'jiao'yi'shi'chang
机务段道口,ji'wu'duan'dao'kou
机务段家属院,ji'wu'duan'jia'shu'yuan
吉祥家园,ji'xiang'jia'yuan
嘉宝公司,jia'bao'gong'si
检察院,jian'cha'yuan
建和化工,jian'he'hua'gong
建化集团,jian'hua'ji'tuan
剑侠驾校,jian'xia'jia'xiao
建源气体厂,jian'yuan'qi'ti'chang
建筑集团一公司,jian'zhu'ji'tuan'yi'gong'si
建筑勘察设计院,jian'zhu'kan'cha'she'ji'yuan
交通技校,jiao'tong'ji'xiao
交通职业技术学院,jiao'tong'zhi'ye'ji'shu'xue'yuan
金达金店有限公司,jin'da'jin'dian'you'xian'gong'si
锦山,jin'shan
锦山大厦,jin'shan'da'sha
锦山路,jin'shan'lu
锦山汽车站,jin'shan'qi'che'zhan
锦山欣欣小区,jin'shan'xin'xin'xiao'qu
金旭隆,jin'xu'long
金钰大都会,jin'yu'da'du'hui
警察学校,jing'cha'xue'xiao
军分区,jun'fen'qu
开发区委员会,kai'fa'qu'wei'yuan'hui
科技园区,ke'ji'yuan'qu
孔家湾,kong'jia'wan
库博红烨,ku'bo'hong'ye
库博红烨锌业公司,ku'bo'hong'ye'xin'ye'gong'si
矿业仓储区,kuang'ye'cang'chu'qu
雷达团,lei'da'tuan
利丰汽贸,li'feng'qi'mao
立交桥,li'jiao'qiao
力王公司,li'wang'gong'si
良种研发中心,liang'zhong'yan'fa'zhong'xin
临潢大街,lin'huang'da'jie
临潢大街东口,lin'huang'da'jie'dong'kou
六大份村,liu'da'fen'cun
龙山,long'shan
龙头山镇,long'tou'shan'zhen
龙头山庄,long'tou'shan'zhuang
罗营子道口,luo'ying'zi'dao'kou
马架子,ma'jia'zi
蒙隆钢材胜业公司,meng'long'gang'cai'sheng'ye'gong'si
蒙申加油站,meng'shen'jia'you'zhan
蒙欣药业,meng'xin'yao'ye
穆家营,mu'jia'ying
木兰街东口,mu'lan'jie'dong'kou
南山生态园,nan'shan'sheng'tai'yuan
内蒙纺校,nei'meng'fang'xiao
内蒙交通职业技术学院,nei'meng'jiao'tong'zhi'ye'ji'shu'xue'yuan
牛家营市场,niu'jia'ying'shi'chang
牛家营子镇政府,niu'jia'ying'zi'zhen'zheng'fu
牛头沟门,niu'tou'gou'men
农贸市场,nong'mao'shi'chang
农牧学校,nong'mu'xue'xiao
农研路口,nong'yan'lu'kou
平巴路口,ping'ba'lu'kou
平双路桥,ping'shuang'lu'qiao
汽大众凯富达,qi'da'zhong'kai'fu'da
汽贸,qi'mao
汽贸园区,qi'mao'yuan'qu
旗医院,qi'yi'yuan
七中,qi'zhong
千禧建材市场,qian'xi'jian'cai'shi'chang
前小窖,qian'xiao'jiao
青藤茶艺楼,qing'teng'cha'yi'lou
曲家沟,qu'jia'gou
区政府,qu'zheng'fu
全宁街,quan'ning'jie
全泰,quan'tai
热电小区,re'dian'xiao'qu
热福达锅炉安装公司,re'fu'da'guo'lu'an'zhuang'gong'si
人大招待所,ren'da'zhao'dai'suo
人寿保险公司,ren'shou'bao'xian'gong'si
荣济堂医院,rong'ji'tang'yi'yuan
如意花园,ru'yi'hua'yuan
润峰大厦,run'feng'da'sha
三道井子,san'dao'jing'zi
三道井子村桥东,san'dao'jing'zi'cun'qiao'dong
三道井子乐儿乐庄园,san'dao'jing'zi'le'er'le'zhuang'yuan
三食品厂,san'shi'pin'chang
三医院,san'yi'yuan
山西营子,shan'xi'ying'zi
上水地道口,shang'shui'di'dao'kou
市保险公司,shi'bao'xian'gong'si
市拆迁办,shi'chai'qian'ban
市工商局,shi'gong'shang'ju
市规划局,shi'gui'hua'ju
市国税局,shi'guo'shui'ju
市环保局,shi'huan'bao'ju
市建委,shi'jian'wei
市建委办公大楼,shi'jian'wei'ban'gong'da'lou
市气象局,shi'qi'xiang'ju
市实验中学,shi'shi'yan'zhong'xue
十小,shi'xiao
实验二小,shi'yan'er'xiao
实验中学,shi'yan'zhong'xue
市医院,shi'yi'yuan
市医院新城分院,shi'yi'yuan'xin'cheng'fen'yuan
石油公司,shi'you'gong'si
石油公司油库,shi'you'gong'si'you'ku
市运管处,shi'yun'guan'chu
市中心血站,shi'zhong'xin'xue'zhan
收费站,shou'fei'zhan
双拥碑,shuang'yong'bei
水上公园,shui'shang'gong'yuan
水榭花都,shui'xie'hua'du
四化水经销处,si'hua'shui'jing'xiao'chu
四家子村,si'jia'zi'cun
四粮店,si'liang'dian
四龙农机,si'long'nong'ji
四小,si'xiao
四中,si'zhong
松山二小,song'shan'er'xiao
松山妇幼保健所,song'shan'fu'you'bao'jian'suo
松山驾校,song'shan'jia'xiao
松山林业局,song'shan'lin'ye'ju
松山蒙中,song'shan'meng'zhong
松山区政府,song'shan'qu'zheng'fu
松山人保公司,song'shan'ren'bao'gong'si
松山三小,song'shan'san'xiao
松山三中,song'shan'san'zhong
松山四中,song'shan'si'zhong
松山新华书店,song'shan'xin'hua'shu'dian
松山一小,song'shan'yi'xiao
松山职教中学,song'shan'zhi'jiao'zhong'xue
松山种子公司,song'shan'zhong'zi'gong'si
松洲巷北口,song'zhou'xiang'bei'kou
松洲园小区,song'zhou'yuan'xiao'qu
塑钢门窗厂,su'gang'men'chuang'chang
天奇制药,tian'qi'zhi'yao
天拓汽贸,tian'tuo'qi'mao
天元生日城,tian'yuan'sheng'ri'cheng
天越建材城,tian'yue'jian'cai'cheng
天泽酒楼,tian'ze'jiu'lou
铁路俱乐部,tie'lu'ju'le'bu
铁路桥,tie'lu'qiao
铁南办事处,tie'nan'ban'shi'chu
同兴市场,tong'xing'shi'chang
土城子,tu'cheng'zi
土城子村,tu'cheng'zi'cun
驼店,tuo'dian
瓦房地,wa'fang'di
外贸矿业仓储区,wai'mao'kuang'ye'cang'chu'qu
万泽制药,wan'ze'zhi'yao
湾子,wan'zi
王府花园,wang'fu'hua'yuan
王府花园北门,wang'fu'hua'yuan'bei'men
王府花园东门,wang'fu'hua'yuan'dong'men
网通赤峰通信分公司,wang'tong'chi'feng'tong'xin'fen'gong'si
王营子,wang'ying'zi
魏家营子,wei'jia'ying'zi
维信公司,wei'xin'gong'si
文化广场,wen'hua'guang'chang
文联路山下,wen'lian'lu'shan'xia
文中二中,wen'zhong'er'zhong
文中一砖厂,wen'zhong'yi'zhuan'chang
文中镇政府,wen'zhong'zhen'zheng'fu
乌兰营子,wu'lan'ying'zi
物流园区办公室,wu'liu'yuan'qu'ban'gong'shi
五门市,wu'men'shi
五三村二组,wu'san'cun'er'zu
五三村干沟子,wu'san'cun'gan'gou'zi
五三村三组,wu'san'cun'san'zu
五三道口,wu'san'dao'kou
五三地区中学,wu'san'di'qu'zhong'xue
五三路口,wu'san'lu'kou
五三小南营子,wu'san'xiao'nan'ying'zi
五三信用社,wu'san'xin'yong'she
污水处理厂,wu'shui'chu'li'chang
污水处理厂东门,wu'shui'chu'li'chang'dong'men
西八家村,xi'ba'jia'cun
西北营子,xi'bei'ying'zi
锡泊桥,xi'bo'qiao
西城菜市场,xi'cheng'cai'shi'chang
西出口,xi'chu'kou
西大桥,xi'da'qiao
西荒村,xi'huang'cun
西客站,xi'ke'zhan
西南村,xi'nan'cun
西南地,xi'nan'di
西山,xi'shan
西山生态园,xi'shan'sheng'tai'yuan
西水地,xi'shui'di
西水地二队,xi'shui'di'er'dui
西水地六队,xi'shui'di'liu'dui
西水地七队,xi'shui'di'qi'dui
西水地三队,xi'shui'di'san'dui
西水地三队西,xi'shui'di'san'dui'xi
西水地五队,xi'shui'di'wu'dui
西水地小学,xi'shui'di'xiao'xue
西屯五金,xi'tun'wu'jin
希望饲料,xi'wang'si'liao
西域药店,xi'yu'yao'dian
下海苏沟,xia'hai'su'gou
下水地,xia'shui'di
向秀丽商场,xiang'xiu'li'shang'chang
向阳小区东口,xiang'yang'xiao'qu'dong'kou
小府,xiao'fu
小府山头,xiao'fu'shan'tou
小梁子村,xiao'liang'zi'cun
小新地,xiao'xin'di
新安屯,xin'an'tun
新城富龙管道燃气公司,xin'cheng'fu'long'guan'dao'ran'qi'gong'si
新城驾校,xin'cheng'jia'xiao
信达通讯,xin'da'tong'xun
馨风雅居东门,xin'feng'ya'ju'dong'men
新井村,xin'jing'cun
新区公交枢纽站,xin'qu'gong'jiao'shu'niu'zhan
新新杰果菜保鲜公司,xin'xin'jie'guo'cai'bao'xian'gong'si
兴华小区,xing'hua'xiao'qu
兴隆洼村,xing'long'wa'cun
兴业大厦,xing'ye'da'sha
行政审批服务中心,xing'zheng'shen'pi'fu'wu'zhong'xin
薛家营子,xue'jia'ying'zi
学院附中,xue'yuan'fu'zhong
焱邦锅炉有限公司,yan'bang'guo'lu'you'xian'gong'si
烟草专卖局,yan'cao'zhuan'mai'ju
闫家地,yan'jia'di
羊毛衫厂,yang'mao'shan'chang
杨树洼,yang'shu'wa
药王庙,yao'wang'miao
液压机械厂,ye'ya'ji'xie'chang
怡安小区,yi'an'xiao'qu
衣家营,yi'jia'ying
一汽二站,yi'qi'er'zhan
银河大桥,yin'he'da'qiao
英才学校,ying'cai'xue'xiao
英金宾馆,ying'jin'bin'guan
永丰道口,yong'feng'dao'kou
永巨小区,yong'ju'xiao'qu
友谊宾馆,you'yi'bin'guan
玉皇庙道口,yu'huang'miao'dao'kou
玉龙大街口,yu'long'da'jie'kou
玉龙家园,yu'long'jia'yuan
榆树林,yu'shu'lin
宇太工业泵制造公司,yu'tai'gong'ye'beng'zhi'zao'gong'si
于营子,yu'ying'zi
元宝山,yuan'bao'shan
远航水泥厂,yuan'hang'shui'ni'chang
元坤变压器厂,yuan'kun'bian'ya'qi'chang
园林路南口,yuan'lin'lu'nan'kou
昭乌达剧场,zhao'wu'da'ju'chang
昭乌达桥,zhao'wu'da'qiao
振兴宾馆,zhen'xing'bin'guan
振兴大厦,zhen'xing'da'sha
振兴旅社,zhen'xing'lv'she
郑营子,zheng'ying'zi
植物园,zhi'wu'yuan
中昊物流,zhong'hao'wu'liu
中林中天,zhong'lin'zhong'tian
钟楼,zhong'lou
中蒙医院,zhong'meng'yi'yuan
中医院,zhong'yi'yuan
中医院北门,zhong'yi'yuan'bei'men
铸剂厂,zhu'ji'chang
铸造厂,zhu'zao'chang
砖厂,zhuan'chang
组道口,zu'dao'kou
左家店,zuo'jia'dian
