阿不都,a'bu'dou
呕呦,ou'you
怕东西,pa'dong'xi
皮牙子,pi'ya'zi
凭撒,ping'sa
强市,qiang'shi
强市论坛,qiang'shi'lun'tan
乔尔玛,qiao'er'ma
去克拉玛依,qu'ke'la'ma'yi
去奎屯,qu'kui'tun
去石河子,qu'shi'he'zi
去乌鲁木齐,qu'wu'lu'mu'qi
去乌市,qu'wu'shi
去伊犁,qu'yi'li
全疆,quan'jiang
日豪,ri'hao
融汇,rong'hui
肉孜节,rou'zi'jie
瑞基,rui'ji
润福家园,run'fu'jia'yuan
撒表情,sa'biao'qing
撒东西,sa'dong'xi
撒都没有,sa'dou'mei'you
撒感觉,sa'gan'jue
撒时候,sa'shi'hou
撒时候回来,sa'shi'hou'hui'lai
撒时候去,sa'shi'hou'qu
撒玩意,sa'wan'yi
撒颜色,sa'yan'se
撒样的,sa'yang'de
撒也,sa'ye
撒意思,sa'yi'si
撒作业,sa'zuo'ye
赛里木,sai'li'mu
赛里木湖,sai'li'mu'hu
三达,san'da
森口,sen'kou
勺子么,shao'zi'me
声明书,sheng'ming'shu
石河子,shi'he'zi
石河子的,shi'he'zi'de
石河子了,shi'he'zi'le
石化公司,shi'hua'gong'si
世纪公园,shi'ji'gong'yuan
是撒意思,shi'sa'yi'si
石西,shi'xi
石油石化,shi'you'shi'hua
石油学校,shi'you'xue'xiao
说撒了,shuo'sa'le
说撒呢,shuo'sa'ne
塔城,ta'cheng
塔城的,ta'cheng'de
塔城地区,ta'cheng'di'qu
塔河路,ta'he'lu
他说撒,ta'shuo'sa
抬死你,tai'si'ni
太抓,tai'zhua
太抓了,tai'zhua'le
特克斯,te'ke'si
特可笑,te'ke'xiao
提不成,ti'bu'cheng
天池北,tian'chi'bei
天池南,tian'chi'nan
天利高新,tian'li'gao'xin
天利实业,tian'li'shi'ye
通德,tong'de
吐尔逊,tu'er'xun
团场,tuan'chang
退休站,tui'xiu'zhan
拓湖,tuo'hu
托里县,tuo'li'xian
托洛盖,tuo'luo'gai
外江,wai'jiang
外滩区,wai'tan'qu
位置值,wei'zhi'zhi
维族,wei'zu
文化大厦,wen'hua'da'sha
我好的呢,wo'hao'de'ne
我来号,wo'lai'hao
我亲爱的宝贝,wo'qin'ai'de'bao'bei
我撒时候,wo'sa'shi'hou
我是新疆的,wo'shi'xin'jiang'de
我说撒,wo'shuo'sa
我为撒,wo'wei'sa
我新疆,wo'xin'jiang
我在独山子,wo'zai'du'shan'zi
我在克拉玛依,wo'zai'ke'la'ma'yi
我在新疆,wo'zai'xin'jiang
武昌路,wu'chang'lu
乌尔禾,wu'er'he
乌尔禾区,wu'er'he'qu
乌鲁木齐的,wu'lu'mu'qi'de
乌鲁木齐了,wu'lu'mu'qi'le
乌鲁木齐呢,wu'lu'mu'qi'ne
乌苏,wu'su
西部钻探,xi'bu'zuan'tan
喜欢火锅,xi'huan'huo'guo
西郊水库,xi'jiao'shui'ku
喜慕,xi'mu
西月潭,xi'yue'tan
线路车,xian'lu'che
想撒呢,xiang'sa'ne
小拐,xiao'guai
小拐乡,xiao'guai'xiang
新疆克拉玛依,xin'jiang'ke'la'ma'yi
新疆克拉玛依市,xin'jiang'ke'la'ma'yi'shi
新疆时间,xin'jiang'shi'jian
新捷,xin'jie
新源县,xin'yuan'xian
星缘,xing'yuan
丫头一,ya'tou'yi
叶尔森,ye'er'sen
也没撒,ye'mei'sa
一顿一,yi'dun'yi
一顿子,yi'dun'zi
伊犁,yi'li
伊犁州,yi'li'zhou
伊宁市,yi'ning'shi
伊宁县,yi'ning'xian
乙烯厂,yi'xi'chang
永红路,yong'hong'lu
油城,you'cheng
油城信息港,you'cheng'xin'xi'gang
友联大厦,you'lian'da'sha
有撒的,you'sa'de
有撒用,you'sa'yong
油田公司,you'tian'gong'si
油条公司,you'tiao'gong'si
友谊大厦,you'yi'da'sha
苑泉,yuan'quan
在独山子,zai'du'shan'zi
在克拉玛依,zai'ke'la'ma'yi
在奎屯,zai'kui'tun
在石河子,zai'shi'he'zi
在乌鲁木齐,zai'wu'lu'mu'qi
在伊犁,zai'yi'li
扎巴依,zha'ba'yi
这是撒,zhe'shi'sa
这有撒,zhe'you'sa
猪姥姥,zhu'lao'lao
抓饭,zhua'fan
准东,zhun'dong
准噶尔,zhun'ga'er
准葛尔,zhun'ge'er
准南,zhun'nan
自由市场,zi'you'shi'chang
族别,zu'bie
