阿弗他溃疡,a'fu'ta'kui'yang
盖嵴式桥体,gai'ji'shi'qiao'ti
改良式箭头卡环,gai'liang'shi'jian'tou'ka'huan
改良威德曼翻瓣术,gai'liang'wei'de'man'fan'ban'shu
盖髓,gai'sui
干槽症,gan'cao'zheng
杆单元,gan'dan'yuan
杆关节,gan'guan'jie
坩埚形成座,gan'guo'xing'cheng'zuo
干髓术,gan'sui'shu
杆形卡环,gan'xing'ka'huan
高嵌体,gao'qian'ti
高铜汞合金,gao'tong'gong'he'jin
高位牙,gao'wei'ya
个别托盘,ge'bie'tuo'pan
格雷西刮治器,ge'lei'xi'gua'zhi'qi
哥特式弓描记器,ge'te'shi'gong'miao'ji'qi
根侧牙周囊肿,gen'ce'ya'zhou'nang'zhong
根固位体,gen'gu'wei'ti
根管闭塞,gen'guan'bi'se
根管长度测量仪,gen'guan'chang'du'ce'liang'yi
根管充填银尖,gen'guan'chong'tian'yin'jian
根管锉,gen'guan'cuo
根管封闭,gen'guan'feng'bi
根管口,gen'guan'kou
根管内封药,gen'guan'nei'feng'yao
根管内预备,gen'guan'nei'yu'bei
根管内种植体,gen'guan'nei'zhong'zhi'ti
根管治疗术,gen'guan'zhi'liao'shu
根管钻,gen'guan'zuan
根间截骨术,gen'jian'jie'gu'shu
根尖片,gen'jian'pian
根尖切除术,gen'jian'qie'chu'shu
根尖下截骨术,gen'jian'xia'jie'gu'shu
根间纤维,gen'jian'xian'wei
根尖纤维,gen'jian'xian'wei
根尖诱导形成术,gen'jian'you'dao'xing'cheng'shu
根尖周囊肿,gen'jian'zhou'nang'zhong
根尖周脓肿,gen'jian'zhou'nong'zhong
根尖周肉芽肿,gen'jian'zhou'rou'ya'zhong
根尖周吸收,gen'jian'zhou'xi'shou
根尖周牙骨质异常增生,gen'jian'zhou'ya'gu'zhi'yi'chang'zeng'sheng
根尖周炎,gen'jian'zhou'yan
根面平整术,gen'mian'ping'zheng'shu
根内固位体,gen'nei'gu'wei'ti
根向复位瓣术,gen'xiang'fu'wei'ban'shu
根治性颈清扫术,gen'zhi'xing'jing'qing'sao'shu
汞毒性口炎,gong'du'xing'kou'yan
弓杆,gong'gan
公共卫生口腔医学,gong'gong'wei'sheng'kou'qiang'yi'xue
汞合金匙,gong'he'jin'chi
汞合金充填器,gong'he'jin'chong'tian'qi
汞合金搅拌机,gong'he'jin'jiao'ban'ji
汞合金输送器,gong'he'jin'shu'song'qi
汞合金悬突磨除器,gong'he'jin'xuan'tu'mo'chu'qi
汞合金压缩器,gong'he'jin'ya'suo'qi
功能性矫治器,gong'neng'xing'jiao'zhi'qi
功能性颈清扫术,gong'neng'xing'jing'qing'sao'shu
功能印模,gong'neng'yin'mo
弓丝成型器,gong'si'cheng'xing'qi
弓体,gong'ti
工作侧,gong'zuo'ce
骨成形瓣,gu'cheng'xing'ban
固定矫治器,gu'ding'jiao'zhi'qi
固定连接体,gu'ding'lian'jie'ti
固定桥,gu'ding'qiao
固定修复术,gu'ding'xiu'fu'shu
固定义齿修复学,gu'ding'yi'chi'xiu'fu'xue
骨膜上浸润麻醉,gu'mo'shang'jin'run'ma'zui
骨膜下浸润麻醉,gu'mo'xia'jin'run'ma'zui
骨膜下植入桥基,gu'mo'xia'zhi'ru'qiao'ji
骨膜下种植体,gu'mo'xia'zhong'zhi'ti
骨内袋,gu'nei'dai
骨内固定器种植体,gu'nei'gu'ding'qi'zhong'zhi'ti
骨内叶状闭口种植体,gu'nei'ye'zhuang'bi'kou'zhong'zhi'ti
骨内叶状开口种植体,gu'nei'ye'zhuang'kai'kou'zhong'zhi'ti
骨内种植术,gu'nei'zhong'zhi'shu
骨内种植体,gu'nei'zhong'zhi'ti
骨外成釉细胞瘤,gu'wai'cheng'you'xi'bao'liu
固位,gu'wei
固位体,gu'wei'ti
固位形,gu'wei'xing
固位指,gu'wei'zhi
骨下袋,gu'xia'dai
骨下袋植骨术,gu'xia'dai'zhi'gu'shu
骨性颞下颌关节强直,gu'xing'nie'xia'he'guan'jie'qiang'zhi
骨牙粘连,gu'ya'zhan'lian
骨样牙本质,gu'yang'ya'ben'zhi
骨隐窝,gu'yin'wo
固有牙槽骨,gu'you'ya'cao'gu
刮匙,gua'chi
刮治,gua'zhi
观测线,guan'ce'xian
关节点,guan'jie'dian
关节结节,guan'jie'jie'jie
关节盘,guan'jie'pan
关节窝,guan'jie'wo
冠内固位,guan'nei'gu'wei
冠内固位体,guan'nei'gu'wei'ti
冠桥学,guan'qiao'xue
冠外固位,guan'wai'gu'wei
冠向复位瓣,guan'xiang'fu'wei'ban
管形牙,guan'xing'ya
冠周炎,guan'zhou'yan
管状腺瘤,guan'zhuang'xian'liu
光固化复合树脂,guang'gu'hua'fu'he'shu'zhi
光固化树脂,guang'gu'hua'shu'zhi
光固化装置,guang'gu'hua'zhuang'zhi
光滑髓针,guang'hua'sui'zhen
硅酸盐粘固剂,gui'suan'yan'zhan'gu'ji
硅酮,gui'tong
硅橡胶印模材料,gui'xiang'jiao'yin'mu'cai'liao
哈瑙咬合关系组合图,ha'nao'yao'he'guan'xi'zu'he'tu
哈钦森牙,ha'qin'sen'ya
含氟磨光糊剂,han'fu'mo'guang'hu'ji
含牙囊肿,han'ya'nang'zhong
航空牙疼,hang'kong'ya'teng
豪氏钳,hao'shi'qian
合成橡胶印模材料,he'cheng'xiang'jiao'yin'mu'cai'liao
颌导板,he'dao'ban
颌骨间关系,he'gu'jian'guan'xi
颌骨间正中关系,he'gu'jian'zheng'zhong'guan'xi
颌骨正中关系,he'gu'zheng'zhong'guan'xi
颌骨中枢癌,he'gu'zhong'shu'ai
颌后缩,he'hou'suo
颌间垂直关系,he'jian'chui'zhi'guan'xi
颌间固定,he'jian'gu'ding
颌间间隙,he'jian'jian'xi
颌间距离,he'jian'ju'li
颌间挛缩,he'jian'luan'suo
颌间牵引,he'jian'qian'yin
颌间水平关系,he'jian'shui'ping'guan'xi
颌间支抗,he'jian'zhi'kang
颌力计,he'li'ji
颌裂,he'lie
颌面侧位投照术,he'mian'ce'wei'tou'zhao'shu
颌面修复学,he'mian'xiu'fu'xue
颌内支抗,he'nei'zhi'kang
颌舌骨嵴,he'she'gu'ji
颌跳反射,he'tiao'fan'she
颌外支抗,he'wai'zhi'kang
颌下腺炎,he'xia'xian'yan
颌下腺造影侧位投影术,he'xia'xian'zao'ying'ce'wei'tou'ying'shu
颌学,he'xue
核桩冠,he'zhuang'guan
黑毛舌,hei'mao'she
黑色素神经外胚瘤,hei'se'su'shen'jing'wai'pei'liu
横嵴,heng'ji
恒基托,heng'ji'tuo
横纤维,heng'xian'wei
恒牙,heng'ya
恒牙列,heng'ya'lie
后退接触位,hou'tui'jie'chu'wei
后推术,hou'tui'shu
后牙,hou'ya
滑动器械台,hua'dong'qi'xie'tai
化脓性腮腺炎,hua'nong'xing'sai'xian'yan
滑行截骨术,hua'xing'jie'gu'shu
坏疽性口炎,huai'ju'xing'kou'yan
坏死性涎腺化生,huai'si'xing'xian'xian'hua'sheng
缓冲区,huan'chong'qu
环绕结扎术,huan'rao'jie'za'shu
环绕颧骨结扎术,huan'rao'quan'gu'jie'za'shu
环绕颧骨悬吊上颌术,huan'rao'quan'gu'xuan'diao'shang'he'shu
环绕下颌结扎术,huan'rao'xia'he'jie'za'shu
环形卡环,huan'xing'ka'huan
环行纤维,huan'xing'xian'wei
黄毛舌,huang'mao'she
回力卡环,hui'li'ka'huan
喙突,hui'tu
喙突后注射法,hui'tu'hou'zhu'she'fa
回旋手机,hui'xuan'shou'ji
混合型卡环,hun'he'xing'ka'huan
混合性牙瘤,hun'he'xing'ya'liu
混合牙列,hun'he'ya'lie
活动连接体,huo'dong'lian'jie'ti
霍利保持器,huo'li'bao'chi'qi
继承牙,ji'cheng'ya
继承牙板,ji'cheng'ya'ban
记存模型,ji'cun'mo'xing
系带切断术,ji'dai'qie'duan'shu
基底细胞腺癌,ji'di'xi'bao'xian'ai
基底细胞腺瘤,ji'di'xi'bao'xian'liu
基底细胞型成釉细胞瘤,ji'di'xi'bao'xing'cheng'you'xi'bao'liu
继发龋,ji'fa'qu
继发性牙本质,ji'fa'xing'ya'ben'zhi
肌功能矫治器,ji'gong'neng'jiao'zhi'qi
肌监控仪,ji'jian'kong'yi
即刻义齿,ji'ke'yi'chi
肌能修整,ji'neng'xiu'zheng
棘皮瘤型成釉细胞瘤,ji'pi'liu'xing'cheng'you'xi'bao'liu
肌肉位,ji'rou'wei
肌上皮癌,ji'shang'pi'ai
肌上皮岛,ji'shang'pi'dao
肌上皮瘤,ji'shang'pi'liu
基托成形器,ji'tuo'cheng'xing'qi
基托蜡片,ji'tuo'la'pian
吉西切道描记器,ji'xi'qie'dao'miao'ji'qi
急性多发性龈脓肿,ji'xing'duo'fa'xing'yin'nong'zhong
急性非特异性龈炎,ji'xing'fei'te'yi'xing'yin'yan
急性化脓性牙髓炎,ji'xing'hua'nong'xing'ya'sui'yan
急性坏死溃疡性龈炎,ji'xing'huai'si'kui'yang'xing'yin'yan
急性浆液性牙髓炎,ji'xing'jiang'ye'xing'ya'sui'yan
急性链球菌性龈口炎,ji'xing'lian'qiu'jun'xing'yin'kou'yan
畸形舌侧尖,ji'xing'she'ce'jian
畸形舌侧窝,ji'xing'she'ce'wo
夹板,jia'ban
夹板卡环,jia'ban'ka'huan
颊板区,jia'ban'qu
颊侧翼缘,jia'ce'yi'yuan
甲冠,jia'guan
假关节形成,jia'guan'jie'xing'cheng
架环,jia'huan
甲基丙烯酸甲酯树脂,jia'ji'bing'xi'suan'jia'zhi'shu'zhi
颊间隙,jia'jian'xi
颊颈嵴,jia'jing'ji
颊面,jia'mian
颊面管,jia'mian'guan
甲醛煤酚,jia'quan'mei'fen
颊系带,jia'xi'dai
颊腺,jia'xian
颊线,jia'xian
颊向阻生,jia'xiang'zu'sheng
颊脂垫,jia'zhi'dian
家族性巨颌症,jia'zu'xing'ju'he'zheng
简单支抗,jian'dan'zhi'kang
间接盖髓术,jian'jie'gai'sui'shu
间接固位体,jian'jie'gu'wei'ti
肩台,jian'tai
间隙卡环,jian'xi'ka'huan
尖牙,jian'ya
尖牙卡环,jian'ya'ka'huan
浆细胞龈炎,jiang'xi'bao'yin'yan
浆液性根尖周炎,jiang'ye'xing'gen'jian'zhou'yan
交互支抗,jiao'hu'zhi'kang
嚼肌肥大,jiao'ji'fei'da
嚼肌间隙,jiao'ji'jian'xi
铰链位,jiao'lian'wei
铰链运动,jiao'lian'yun'dong
铰链轴,jiao'lian'zhou
铰链轴点,jiao'lian'zhou'dian
矫形力,jiao'xing'li
矫正固位器,jiao'zheng'gu'wei'qi
矫治器,jiao'zhi'qi
接触点,jie'chu'dian
接触面,jie'chu'mian
接触区,jie'chu'qu
接触性毒性口炎,jie'chu'xing'du'xing'kou'yan
截根术,jie'gen'shu
结合上皮,jie'he'shang'pi
结合牙,jie'he'ya
结节性白斑,jie'jie'xing'bai'ban
解剖根,jie'pou'gen
解剖冠,jie'pou'guan
解剖式牙,jie'pou'shi'ya
结扎丝切断钳,jie'za'si'qie'duan'qian
洁治器,jie'zhi'qi
洁治术,jie'zhi'shu
金钢砂轮,jin'gang'sha'lun
金钢砂石,jin'gang'sha'shi
金钢砂钻,jin'gang'sha'zuan
金属背牙,jin'shu'bei'ya
金属基托,jin'shu'ji'tuo
金属磨带,jin'shu'mo'dai
金属陶瓷,jin'shu'tao'ci
金属支架,jin'shu'zhi'jia
近中错位,jin'zhong'cuo'wei
近中面,jin'zhong'mian
近中向阻生,jin'zhong'xiang'zu'sheng
精密附着体,jing'mi'fu'zhuo'ti
精密支托,jing'mi'zhi'tuo
颈支抗,jing'zhi'kang
静止龋,jing'zhi'qu
静止性牙周炎,jing'zhi'xing'ya'zhou'yan
就位道,jiu'wei'dao
鸠尾峡,jiu'wei'xia
鸠尾形,jiu'wei'xing
巨唇症,ju'chun'zheng
巨大牙骨质瘤,ju'da'ya'gu'zhi'liu
巨颌症,ju'he'zheng
咀嚼粘膜,ju'jue'nian'mo
咀嚼生理学,ju'jue'sheng'li'xue
咀嚼系统,ju'jue'xi'tong
咀嚼效能,ju'jue'xiao'neng
咀嚼型,ju'jue'xing
咀嚼循环,ju'jue'xun'huan
咀嚼运动,ju'jue'yun'dong
巨口畸形,ju'kou'ji'xing
聚醚橡胶印模材料,ju'mi'xiang'jiao'yin'mu'cai'liao
巨舌症,ju'she'zheng
聚羧酸盐粘固剂,ju'suo'suan'yan'zhan'gu'ji
巨细胞肉芽肿,ju'xi'bao'rou'ya'zhong
巨细胞透明血管病,ju'xi'bao'tou'ming'xue'guan'bing
巨细胞性牙龈瘤,ju'xi'bao'xing'ya'yin'liu
巨牙症,ju'ya'zheng
局灶性黑变症,ju'zao'xing'hei'bian'zheng
局灶性上皮增生,ju'zao'xing'shang'pi'zeng'sheng
菌斑控制,jun'ban'kong'zhi
菌斑显示剂,jun'ban'xian'shi'ji
菌斑指数,jun'ban'zhi'shu
均质性白斑,jun'zhi'xing'bai'ban
卡环,ka'huan
卡环臂,ka'huan'bi
卡环固位,ka'huan'gu'wei
卡环体,ka'huan'ti
开口印模,kai'kou'yin'mo
开面冠,kai'mian'guan
抗基弯曲,kang'ji'wan'qu
抗力形,kang'li'xing
烤瓷熔附金属修复体,kao'ci'rong'fu'jin'shu'xiu'fu'ti
髁槽,ke'cao
髁侧方指标刻度,ke'ce'fang'zhi'biao'ke'du
颏成形术,ke'cheng'xing'shu
髁道,ke'dao
髁导,ke'dao
髁道斜度,ke'dao'xie'du
髁导斜度,ke'dao'xie'du
颏顶点,ke'ding'dian
可动牙科治疗台,ke'dong'ya'ke'zhi'liao'tai
颏兜,ke'dou
科尔夫纤维,ke'er'fu'xian'wei
髁杆,ke'gan
壳冠,ke'guan
髁环,ke'huan
颏结节,ke'jie'jie
克里斯坦森现象,ke'li'si'tan'sen'xian'xiang
颗粒细胞型成釉细胞瘤,ke'li'xi'bao'xing'cheng'you'xi'bao'liu
髁梁,ke'liang
克罗扎矫治器,ke'luo'zha'jiao'zhi'qi
颏前点,ke'qian'dian
髁前伸指标刻度,ke'qian'shen'zhi'biao'ke'du
髁球,ke'qiu
科斯滕综合征,ke'si'teng'zong'he'zheng
髁突,ke'tu
髁突间距离,ke'tu'jian'ju'li
髁突下截骨术,ke'tu'xia'jie'gu'shu
髁突运动,ke'tu'yun'dong
颏下点,ke'xia'dian
颏下间隙,ke'xia'jian'xi
可摘矫治器,ke'zhai'jiao'zhi'qi
可摘局部义齿,ke'zhai'ju'bu'yi'chi
可摘局部义齿修复学,ke'zhai'ju'bu'yi'chi'xiu'fu'xue
可摘义齿修复学,ke'zhai'yi'chi'xiu'fu'xue
髁柱,ke'zhu
壳状牙,ke'zhuang'ya
肯尼迪分类法,ken'ni'di'fen'lei'fa
口臭,kou'chou
口干燥症,kou'gan'zao'zheng
口颌系统,kou'he'xi'tong
口角唇炎,kou'jiao'chun'yan
口角线,kou'jiao'xian
口镜,kou'jing
口内描记器,kou'nei'miao'ji'qi
口内支抗,kou'nei'zhi'kang
口腔白斑症,kou'qiang'bai'ban'zheng
口腔病理学,kou'qiang'bing'li'xue
口腔病灶,kou'qiang'bing'zao
口腔病灶感染,kou'qiang'bing'zao'gan'ran
口腔材料学,kou'qiang'cai'liao'xue
口腔法医学,kou'qiang'fa'yi'xue
口腔放射学,kou'qiang'fang'she'xue
口腔公共卫生,kou'qiang'gong'gong'wei'sheng
口腔颌面解剖学,kou'qiang'he'mian'jie'pou'xue
口腔颌面外科学,kou'qiang'he'mian'wai'ke'xue
口腔黑斑症,kou'qiang'hei'ban'zheng
口腔红斑,kou'qiang'hong'ban
口腔技工学,kou'qiang'ji'gong'xue
口腔急诊学,kou'qiang'ji'zhen'xue
口腔康复,kou'qiang'kang'fu
口腔淋巴上皮囊肿,kou'qiang'lin'ba'shang'pi'nang'zhong
口腔伦理学,kou'qiang'lun'li'xue
口腔麻醉学,kou'qiang'ma'zui'xue
口腔美容学,kou'qiang'mei'rong'xue
口腔内科学,kou'qiang'nei'ke'xue
口腔粘膜,kou'qiang'nian'mo
口腔粘膜下纤维化,kou'qiang'nian'mo'xia'xian'wei'hua
口腔胚胎学,kou'qiang'pei'tai'xue
口腔前庭,kou'qiang'qian'ting
口腔褥疮,kou'qiang'ru'chuang
口腔上颌窦瘘,kou'qiang'shang'he'dou'lou
口腔生理学,kou'qiang'sheng'li'xue
口腔体腔摄影机,kou'qiang'ti'qiang'she'ying'ji
口腔外科学,kou'qiang'wai'ke'xue
口腔卫生,kou'qiang'wei'sheng
口腔修复学,kou'qiang'xiu'fu'xue
口腔医学,kou'qiang'yi'xue
口腔诊断学,kou'qiang'zhen'duan'xue
口腔正畸点焊机,kou'qiang'zheng'ji'dian'han'ji
口腔正畸学,kou'qiang'zheng'ji'xue
口腔种植学,kou'qiang'zhong'zhi'xue
口腔组织学,kou'qiang'zu'zhi'xue
口外描记器,kou'wai'miao'ji'qi
口外支抗,kou'wai'zhi'kang
库勒压力栓钉系列,ku'le'ya'li'shuan'ding'xi'lie
快速进行性牙周炎,kuai'su'jin'xing'xing'ya'zhou'yan
眶点,kuang'dian
眶下间隙,kuang'xia'jian'xi
眶下孔管注射法,kuang'xia'kong'guan'zhu'she'fa
