巴黎统筹委员会,ba'li'tong'chou'wei'yuan'hui
进口存款制,jin'kou'cun'kuan'zhi
进口附加税,jin'kou'fu'jia'shui
进口配额,jin'kou'pei'e
进口配额制,jin'kou'pei'e'zhi
进口限额,jin'kou'xian'e
进口许可证免办,jin'kou'xu'ke'zheng'mian'ban
进口许可证制,jin'kou'xu'ke'zheng'zhi
进口许口证,jin'kou'xu'kou'zheng
进口押金制,jin'kou'ya'jin'zhi
进口依存度,jin'kou'yi'cun'du
进口总额,jin'kou'zong'e
进料加工,jin'liao'jia'gong
禁运,jin'yun
净出进口,jing'chu'jin'kou
经济同盟,jing'ji'tong'meng
净价,jing'jia
绝对成本论,jue'dui'cheng'ben'lun
绝对利益论,jue'dui'li'yi'lun
绝对配额,jue'dui'pei'e
空运提单,kong'yun'ti'dan
跨国公司,kua'guo'gong'si
来件装配,lai'jian'zhuang'pei
来料加工,lai'liao'jia'gong
来料装配,lai'liao'zhuang'pei
来样加工,lai'yang'jia'gong
累计佣金,lei'ji'yong'jin
离岸价船上交货价,li'an'jia'chuan'shang'jiao'huo'jia
离岸价格,li'an'jia'ge
里昂惕夫反论,li'ang'ti'fu'fan'lun
里昂惕夫之谜,li'ang'ti'fu'zhi'mi
理赔,li'pei
零售价,ling'shou'jia
路透社商品价格指数,lu'tou'she'shang'pin'jia'ge'zhi'shu
陆运,lu'yun
轮船,lun'chuan
码头费,ma'tou'fei
贸易壁垒,mao'yi'bi'lei
贸易差额,mao'yi'cha'e
贸易差额论,mao'yi'cha'e'lun
贸易方式,mao'yi'fang'shi
贸易格局,mao'yi'ge'ju
贸易禁运,mao'yi'jin'yun
贸易逆差,mao'yi'ni'cha
贸易平衡论,mao'yi'ping'heng'lun
贸易顺差,mao'yi'shun'cha
贸易条件,mao'yi'tiao'jian
贸易条约与协定,mao'yi'tiao'yue'yu'xie'ding
贸易托收,mao'yi'tuo'shou
贸易协定,mao'yi'xie'ding
贸易议定书,mao'yi'yi'ding'shu
贸易战,mao'yi'zhan
贸易政策审议机制,mao'yi'zheng'ce'shen'yi'ji'zhi
目的港,mu'di'gang
目的港船上交货价,mu'di'gang'chuan'shang'jiao'huo'jia
逆差,ni'cha
拍卖,pai'mai
批发价,pi'fa'jia
品质,pin'zhi
品质证明书,pin'zhi'zheng'ming'shu
平安险,ping'an'xian
凭标准买卖,ping'biao'zhun'mai'mai
凭产地买卖,ping'chan'di'mai'mai
凭规格买卖,ping'gui'ge'mai'mai
凭商标牌号买卖,ping'shang'biao'pai'hao'mai'mai
凭说明书买卖,ping'shuo'ming'shu'mai'mai
凭样品买卖,ping'yang'pin'mai'mai
普遍优惠制,pu'bian'you'hui'zhi
期货价格,qi'huo'jia'ge
人事处,ren'shi'chu
三方贸易,san'fang'mao'yi
三角贸易,san'jiao'mao'yi
汕头经济特区,shan'tou'jing'ji'te'qu
商品目录,shang'pin'mu'lu
商品倾销,shang'pin'qing'xiao
商品综合方案,shang'pin'zong'he'fang'an
商务条约,shang'wu'tiao'yue
商战,shang'zhan
深圳经济特区,shen'zhen'jing'ji'te'qu
生产型自由贸易区,sheng'chan'xing'zi'you'mao'yi'qu
世界贸易,shi'jie'mao'yi
世界贸易组织,shi'jie'mao'yi'zu'zhi
世界市场,shi'jie'shi'chang
收货人,shou'huo'ren
收据,shou'ju
输出,shu'chu
输入,shu'ru
双边贸易,shuang'bian'mao'yi
双边贸易协定,shuang'bian'mao'yi'xie'ding
水货,shui'huo
水平贸易,shui'ping'mao'yi
水渍险,shui'zi'xian
顺差,shun'cha
说明,shuo'ming
速复,su'fu
速遣费,su'qian'fei
索赔,suo'pei
特惠税,te'hui'shui
提单,ti'dan
提货,ti'huo
厅领导,ting'ling'dao
通关手续,tong'guan'shou'xu
通过贸易,tong'guo'mao'yi
通商航海条约,tong'shang'hang'hai'tiao'yue
通商条约,tong'shang'tiao'yue
投标,tou'biao
透明度原则,tou'ming'du'yuan'ze
退关,tui'guan
托运人,tuo'yun'ren
外汇倾销,wai'hui'qing'xiao
外经贸厅,wai'jing'mao'ting
完全经济一体化,wan'quan'jing'ji'yi'ti'hua
往返贸易,wang'fan'mao'yi
无形贸易,wu'xing'mao'yi
习惯做法,xi'guan'zuo'fa
厦门经济特区,xia'men'jing'ji'te'qu
现货价格,xian'huo'jia'ge
现行价格,xian'xing'jia'ge
限制性商业惯例,xian'zhi'xing'shang'ye'guan'li
相互需求论,xiang'hu'xu'qiu'lun
销售合同,xiao'shou'he'tong
销售确认书,xiao'shou'que'ren'shu
卸货费,xie'huo'fei
协作生产,xie'zuo'sheng'chan
新疆外经贸,xin'jiang'wai'jing'mao
新疆外经贸厅,xin'jiang'wai'jing'mao'ting
新疆外经贸系统,xin'jiang'wai'jing'mao'xi'tong
新疆维吾尔自治区,xin'jiang'wei'wu'er'zi'zhi'qu
新疆维吾尔自治区对外贸易经济合作厅,xin'jiang'wei'wu'er'zi'zhi'qu'dui'wai'mao'yi'jing'ji'he'zuo'ting
新疆自治区,xin'jiang'zi'zhi'qu
需经卖方确认,xu'jing'mai'fang'que'ren
需经我方最后确认,xu'jing'wo'fang'zui'hou'que'ren
许可证贸易,xu'ke'zheng'mao'yi
许可证贸易联盟,xu'ke'zheng'mao'yi'lian'meng
许可证协议,xu'ke'zheng'xie'yi
宣传小册,xuan'chuan'xiao'ce
选港费,xuan'gang'fei
选择港,xuan'ze'gang
巡视员,xun'shi'yuan
延期费,yan'qi'fei
样品,yang'pin
业务洽谈,ye'wu'qia'tan
一般代理人,yi'ban'dai'li'ren
一般交易条件,yi'ban'jiao'yi'tiao'jian
溢短装条款,yi'duan'zhuang'tiao'kuan
易货贸易,yi'huo'mao'yi
一切险,yi'qie'xian
以未售出为准,yi'wei'shou'chu'wei'zhun
印花税,yin'hua'shui
优惠关税,you'hui'guan'shui
油轮,you'lun
有效期限,you'xiao'qi'xian
有形贸易,you'xing'mao'yi
有秩序销售协议,you'zhi'xu'xiao'shou'xie'yi
原样,yuan'yang
运费,yun'fei
再出进口,zai'chu'jin'kou
再输出贸易,zai'shu'chu'mao'yi
暂时出进口,zan'shi'chu'jin'kou
招标,zhao'biao
折扣,zhe'kou
正本提单,zheng'ben'ti'dan
政策研究室,zheng'ce'yan'jiu'shi
争端解决机制,zheng'duan'jie'jue'ji'zhi
政研室,zheng'yan'shi
直接贸易,zhi'jie'mao'yi
滞期费,zhi'qi'fei
指示性价格,zhi'shi'xing'jia'ge
仲裁,zhong'cai
中国出口商品交易会,zhong'guo'chu'kou'shang'pin'jiao'yi'hui
中国对外经济贸易咨询公司,zhong'guo'dui'wai'jing'ji'mao'yi'zi'xun'gong'si
中介贸易,zhong'jie'mao'yi
珠海经济特区,zhu'hai'jing'ji'te'qu
转口贸易,zhuan'kou'mao'yi
专利特许贸易,zhuan'li'te'xu'mao'yi
专门贸易,zhuan'men'mao'yi
专营权,zhuan'ying'quan
装运港,zhuang'yun'gang
装运港船上交货价,zhuang'yun'gang'chuan'shang'jiao'huo'jia
装运期限,zhuang'yun'qi'xian
自动出口限额,zi'dong'chu'kou'xian'e
资金创汇率,zi'jin'chuang'hui'lv
自由港,zi'you'gang
自由港或自由贸易区,zi'you'gang'huo'zi'you'mao'yi'qu
自由口岸,zi'you'kou'an
自由贸易,zi'you'mao'yi
自由贸易区,zi'you'mao'yi'qu
自由贸易原则,zi'you'mao'yi'yuan'ze
自由贸易政策,zi'you'mao'yi'zheng'ce
自由贸易主义,zi'you'mao'yi'zhu'yi
自愿出口限制,zi'yuan'chu'kou'xian'zhi
自治区,zi'zhi'qu
自治区外经贸,zi'zhi'qu'wai'jing'mao
自治区外经贸厅,zi'zhi'qu'wai'jing'mao'ting
自治区外经贸系统,zi'zhi'qu'wai'jing'mao'xi'tong
自主关税,zi'zhu'guan'shui
总代理人,zong'dai'li'ren
总贸易,zong'mao'yi
总值,zong'zhi
租船,zu'chuan
租赁贸易,zu'lin'mao'yi
最惠国待遇,zui'hui'guo'dai'yu
最惠国待遇条款,zui'hui'guo'dai'yu'tiao'kuan
最惠国待遇原则,zui'hui'guo'dai'yu'yuan'ze
