俺答,an'da
景帝病重,jing'di'bing'zhong
经济规模,jing'ji'gui'mo
靖难,jing'nan
靖难之役,jing'nan'zhi'yi
京师,jing'shi
景泰,jing'tai
景泰八年,jing'tai'ba'nian
景泰八年正月,jing'tai'ba'nian'zheng'yue
景泰帝,jing'tai'di
景泰皇帝,jing'tai'huang'di
景泰景帝,jing'tai'jing'di
经营恢复,jing'ying'hui'fu
就藩北平,jiu'fan'bei'ping
聚集地,ju'ji'di
居住在,ju'zhu'zai
军事优势,jun'shi'you'shi
军政大事,jun'zheng'da'shi
浚治黄淮,jun'zhi'huang'huai
开放海禁,kai'fang'hai'jin
开宫门,kai'gong'men
开国功臣,kai'guo'gong'chen
开始擅权,kai'shi'shan'quan
开始削弱,kai'shi'xue'ruo
康熙年间,kang'xi'nian'jian
客氏,ke'shi
蓝玉,lan'yu
累迁,lei'qian
吏部尚书,li'bu'shang'shu
礼部尚书,li'bu'shang'shu
吏部尚书王文,li'bu'shang'shu'wang'wen
吏部右侍郎,li'bu'you'shi'lang
吏部左侍郎,li'bu'zuo'shi'lang
李成梁,li'cheng'liang
立春日,li'chun'ri
李善长,li'shan'chang
历史上称为,li'shi'shang'cheng'wei
历史上的,li'shi'shang'de
李文忠,li'wen'zhong
李自成,li'zi'cheng
连年灾害,lian'nian'zai'hai
廉慎堂,lian'shen'tang
两案,liang'an
两朝,liang'chao
两大外患,liang'da'wai'huan
两年而殁,liang'nian'er'mo
令其抵死,ling'qi'di'si
六部,liu'bu
留都,liu'du
刘桢,liu'zhen
隆庆二年,long'qing'er'nian
隆庆六年,long'qing'liu'nian
隆庆年间,long'qing'nian'jian
隆庆时,long'qing'shi
隆庆元年,long'qing'yuan'nian
论复辟功,lun'fu'bi'gong
率更令,lv'geng'ling
煤山,mei'shan
孟明,meng'ming
孟明视,meng'ming'shi
蒙元,meng'yuan
面临末日,mian'lin'mo'ri
旻氏,min'shi
旻玉珍,min'yu'zhen
明灿,ming'can
明朝初年,ming'chao'chu'nian
明朝的,ming'chao'de
明朝共传,ming'chao'gong'chuan
明朝皇帝,ming'chao'huang'di
明朝开始,ming'chao'kai'shi
明朝灭亡,ming'chao'mie'wang
明朝权臣,ming'chao'quan'chen
明朝是,ming'chao'shi
明朝早期,ming'chao'zao'qi
明朝政府,ming'chao'zheng'fu
明朝政治,ming'chao'zheng'zhi
明朝宗室,ming'chao'zong'shi
明成祖,ming'cheng'zu
明成祖朱棣,ming'cheng'zu'zhu'di
明初,ming'chu
明代将领,ming'dai'jiang'ling
明代宗,ming'dai'zong
明代宗景泰景帝,ming'dai'zong'jing'tai'jing'di
明帝国,ming'di'guo
明光宗,ming'guang'zong
名叫视,ming'jiao'shi
明克让,ming'ke'rang
明末农民大起义,ming'mo'nong'min'da'qi'yi
明神宗,ming'shen'zong
明神宗朱翊钧,ming'shen'zong'zhu'yi'jun
明史,ming'shi
明世宗,ming'shi'zong
明思宗,ming'si'zong
明太祖,ming'tai'zu
明太祖朱元璋,ming'tai'zu'zhu'yuan'zhang
明庭,ming'ting
明王朝,ming'wang'chao
明武宗,ming'wu'zong
明熹宗,ming'xi'zong
明熹宗朱由校,ming'xi'zong'zhu'you'xiao
名相,ming'xiang
明孝宗,ming'xiao'zong
明姓,ming'xing
明英宗,ming'ying'zong
明英宗朱祁镇,ming'ying'zong'zhu'qi'zhen
明由,ming'you
明玉珍,ming'yu'zhen
明郑政府,ming'zheng'zheng'fu
明中叶,ming'zhong'ye
谋逆罪,mou'ni'zui
母刘氏,mu'liu'shi
穆宗,mu'zong
穆宗病死,mu'zong'bing'si
南北两京,nan'bei'liang'jing
南宫复辟,nan'gong'fu'bi
南宫门,nan'gong'men
南京应天府,nan'jing'ying'tian'fu
南明,nan'ming
南明四帝,nan'ming'si'di
南明政权,nan'ming'zheng'quan
年号,nian'hao
年号洪武,nian'hao'hong'wu
年间,nian'jian
年之久,nian'zhi'jiu
农民大起义,nong'min'da'qi'yi
努尔哈赤,nu'er'ha'chi
女真,nv'zhen
排除异己,pai'chu'yi'ji
潘季驯,pan'ji'xun
平原人,ping'yuan'ren
平原县一带,ping'yuan'xian'yi'dai
破京师,po'jing'shi
起兵自称,qi'bing'zi'cheng
七大恨,qi'da'hen
戚继光,qi'ji'guang
企图改良,qi'tu'gai'liang
迁都北京,qian'du'bei'jing
迁都洛阳,qian'du'luo'yang
前后当国,qian'hou'dang'guo
迁徙分布,qian'xi'fen'bu
迁于西内,qian'yu'xi'nei
谯明氏,qiao'ming'shi
窃权罔利,qie'quan'wang'li
秦国丞相,qin'guo'cheng'xiang
秦王朱樉,qin'wang'zhu'shang
亲政无方,qin'zheng'wu'fang
清朝,qing'chao
清军,qing'jun
清军入关,qing'jun'ru'guan
权力机构,quan'li'ji'gou
缺官现象,que'guan'xian'xiang
任贤有道,ren'xian'you'dao
仍掌礼部事,reng'zhang'li'bu'shi
入宫,ru'gong
若干个,ruo'gan'ge
三礼礼论,san'li'li'lun
三杨,san'yang
山海关外,shan'hai'guan'wai
陕西榆林人,shan'xi'yu'lin'ren
上书告,shang'shu'gao
上柱国,shang'zhu'guo
少傅,shao'fu
少好儒雅,shao'hao'ru'ya
少师,shao'shi
社会矛盾,she'hui'mao'dun
升奉天殿,sheng'feng'tian'dian
生于应天,sheng'yu'ying'tian
十八年,shi'ba'nian
史称,shi'cheng
是当时,shi'dang'shi
石亨,shi'heng
侍讲学士令,shi'jiang'xue'shi'ling
十六位皇帝,shi'liu'wei'huang'di
十三年,shi'san'nian
谥文忠,shi'wen'zhong
实行了,shi'xing'le
实行削藩,shi'xing'xue'fan
十一月甲子,shi'yi'yue'jia'zi
十一月乙巳,shi'yi'yue'yi'si
使用时间,shi'yong'shi'jian
时值廷议,shi'zhi'ting'yi
是中国,shi'zhong'guo
世宗,shi'zong
受封燕王,shou'feng'yan'wang
首辅,shou'fu
守旧官僚,shou'jiu'guan'liao
受禅,shou'shan
受禅后,shou'shan'hou
庶吉士,shu'ji'shi
率众加入,shuai'zhong'jia'ru
司调大夫,si'tiao'da'fu
肆行贪污,si'xing'tan'wu
四佐,si'zuo
肃整内政,su'zheng'nei'zheng
隋朝,sui'chao
遂留京,sui'liu'jing
燧人氏,sui'ren'shi
隋文帝,sui'wen'di
随州人,sui'zhou'ren
他的部下,ta'de'bu'xia
他的后代,ta'de'hou'dai
他的名字,ta'de'ming'zi
太监曹吉祥,tai'jian'cao'ji'xiang
太上皇,tai'shang'huang
太子太保,tai'zi'tai'bao
太子太师,tai'zi'tai'shi
太子朱标,tai'zi'zhu'biao
堂号,tang'hao
汤和,tang'he
天启,tian'qi
天启年间,tian'qi'nian'jian
天启七年,tian'qi'qi'nian
天顺,tian'shun
天下兵马籍,tian'xia'bing'ma'ji
统治时期,tong'zhi'shi'qi
涂节,tu'jie
土木堡之变,tu'mu'bao'zhi'bian
土木之变,tu'mu'zhi'bian
突破长城,tu'po'chang'cheng
吞没军饷,tun'mo'jun'xiang
瓦剌,wa'la
挽车者,wan'che'zhe
万历,wan'li
万历朝,wan'li'chao
万历初年,wan'li'chu'nian
万历末年,wan'li'mo'nian
万历卅年,wan'li'sa'nian
万历十年,wan'li'shi'nian
万历十五年,wan'li'shi'wu'nian
万历四十六年,wan'li'si'shi'liu'nian
万历中兴,wan'li'zhong'xing
万寿节,wan'shou'jie
枉法诬贤,wang'fa'wu'xian
王文,wang'wen
王振,wang'zhen
为参谋,wei'can'mou
为帝,wei'di
魏广微籍,wei'guang'wei'ji
为京师,wei'jing'shi
魏良卿,wei'liang'qing
为太上皇,wei'tai'shang'huang
魏孝文帝,wei'xiao'wen'di
魏忠贤,wei'zhong'xian
文渊阁,wen'yuan'ge
倭寇,wo'kou
无力回天,wu'li'hui'tian
五入关内,wu'ru'guan'nei
吴王,wu'wang
吴兴,wu'xing
武英殿大学士,wu'ying'dian'da'xue'shi
西吴,xi'wu
西吴政权,xi'wu'zheng'quan
西学,xi'xue
鲜卑族,xian'bei'zu
先后处死,xian'hou'chu'si
先后死去,xian'hou'si'qu
小冰河期,xiao'bing'he'qi
孝经义疏,xiao'jing'yi'shu
孝宗,xiao'zong
信奉明教,xin'feng'ming'jiao
新疆东部,xin'jiang'dong'bu
徐达,xu'da
续名僧记,xu'ming'seng'ji
徐寿辉,xu'shou'hui
徐有贞,xu'you'zhen
旋病休归里,xuan'bing'xiu'gui'li
宣告结束,xuan'gao'jie'shu
削弱了,xue'ruo'le
阉党,yan'dang
阉党头子,yan'dang'tou'zi
阉党专政,yan'dang'zhuan'zheng
燕王,yan'wang
杨溥,yang'pu
杨荣,yang'rong
杨士奇,yang'shi'qi
遥尊,yao'zun
遥尊英宗,yao'zun'ying'zong
也是中国,ye'shi'zhong'guo
也随着,ye'sui'zhe
掖英宗登辇,ye'ying'zong'deng'nian
异常寒冷,yi'chang'han'leng
乙丑诏狱,yi'chou'zhao'yu
已复位,yi'fu'wei
以事激怒,yi'shi'ji'nu
以顺天府,yi'shun'tian'fu
一条鞭法,yi'tiao'bian'fa
一意媚上,yi'yi'mei'shang
以应天府,yi'ying'tian'fu
应天府,ying'tian'fu
英宗,ying'zong
英宗弟,ying'zong'di
永乐,yong'le
永乐十九年,yong'le'shi'jiu'nian
永历十六年,yong'li'shi'liu'nian
由汉族,you'han'zu
又令,you'ling
有所回升,you'suo'hui'sheng
有一个叫,you'yi'ge'jiao
有一支,you'yi'zhi
虞国,yu'guo
于谦,yu'qian
御史大夫陈宁,yu'shi'da'fu'chen'ning
于是也,yu'shi'ye
与元朝,yu'yuan'chao
元朝,yuan'chao
元朝末年,yuan'chao'mo'nian
元惠宗,yuan'hui'zong
元末,yuan'mo
元顺帝,yuan'shun'di
元顺帝北逃,yuan'shun'di'bei'tao
元亡,yuan'wang
宰辅,zai'fu
在位君主,zai'wei'jun'zhu
在位时,zai'wei'shi
在位时间,zai'wei'shi'jian
宰相专权,zai'xiang'zhuan'quan
遭到破坏,zao'dao'po'huai
战争中,zhan'zheng'zhong
张诚,zhang'cheng
张居正,zhang'ju'zheng
张狂跋扈,zhang'kuang'ba'hu
张軏,zhang'yue
招权纳贿,zhao'quan'na'hui
这一进程,zhe'yi'jin'cheng
镇守北平,zhen'shou'bei'ping
正德,zheng'de
正德十一年,zheng'de'shi'yi'nian
正统七年,zheng'tong'qi'nian
正统十四年,zheng'tong'shi'si'nian
正月丙戌,zheng'yue'bing'xu
正月丁丑,zheng'yue'ding'chou
政治腐败,zheng'zhi'fu'bai
至京师,zhi'jing'shi
至正十一年,zhi'zheng'shi'yi'nian
中丞涂节,zhong'cheng'tu'jie
中官,zhong'guan
中国历史上,zhong'guo'li'shi'shang
中国明代,zhong'guo'ming'dai
中书省,zhong'shu'sheng
中书省吏,zhong'shu'sheng'li
朱标,zhu'biao
朱常洛,zhu'chang'luo
主持裁决,zhu'chi'cai'jue
主持政局,zhu'chi'zheng'ju
朱棣,zhu'di
逐渐中衰,zhu'jian'zhong'shuai
朱亮祖,zhu'liang'zu
朱祁钰,zhu'qi'yu
朱祁镇,zhu'qi'zhen
朱樉,zhu'shang
朱升,zhu'sheng
朱翊钧,zhu'yi'jun
朱由检,zhu'you'jian
朱由校,zhu'you'xiao
朱元璋,zhu'yuan'zhang
朱元璋第四子,zhu'yuan'zhang'di'si'zi
朱元璋就是,zhu'yuan'zhang'jiu'shi
朱允炆,zhu'yun'wen
朱载垕,zhu'zai'hou
诸政权,zhu'zheng'quan
专国政,zhuan'guo'zheng
专擅国政,zhuan'shan'guo'zheng
字辩之,zi'bian'zhi
自称为,zi'cheng'wei
字弘道,zi'hong'dao
字孟明,zi'meng'ming
子孙后代,zi'sun'hou'dai
字惟中,zi'wei'zhong
自缢,zi'yi
奏事,zou'shi
走向衰亡,zou'xiang'shuai'wang
最后一个,zui'hou'yi'ge
左丞相,zuo'cheng'xiang
作为姓氏,zuo'wei'xing'shi
坐中书省,zuo'zhong'shu'sheng
