爱周中学,ai'zhou'zhong'xue
南油迎宾馆,nan'you'ying'bin'guan
南油迎宾馆路口,nan'you'ying'bin'guan'lu'kou
南站批发市场,nan'zhan'pi'fa'shi'chang
年丰豪庭,nian'feng'hao'ting
聂村,nie'cun
农工商学院,nong'gong'shang'xue'yuan
农垦医院,nong'ken'yi'yuan
垉城村,pao'cheng'cun
啤酒厂,pi'jiu'chang
平乐村,ping'le'cun
平乐渡口,ping'le'du'kou
平乐冷冻厂,ping'le'leng'dong'chang
坡塘村,po'tang'cun
坡头区政府,po'tou'qu'zheng'fu
坡头镇政府,po'tou'zhen'zheng'fu
铺仔,pu'zai
汽车南站,qi'che'nan'zhan
青岛路,qing'dao'lu
区地税局,qu'di'shui'ju
群井村,qun'jing'cun
群麻坡村,qun'ma'po'cun
人民大道北,ren'min'da'dao'bei
人民大道一号桥,ren'min'da'dao'yi'hao'qiao
人民东二路,ren'min'dong'er'lu
人民广场,ren'min'guang'chang
人民西四路,ren'min'xi'si'lu
荣基国际广场,rong'ji'guo'ji'guang'chang
瑞云中路,rui'yun'zhong'lu
三叉路口,san'cha'lu'kou
三星,san'xing
森林公园,sen'lin'gong'yuan
沙墩村,sha'dun'cun
沙湾大厦,sha'wan'da'sha
沙尾村,sha'wei'cun
山辽村,shan'liao'cun
少林学校,shao'lin'xue'xiao
社保局,she'bao'ju
社坛路北,she'tan'lu'bei
社坛路南,she'tan'lu'nan
椹川东二路,shen'chuan'dong'er'lu
椹川西一路,shen'chuan'xi'yi'lu
圣华玻璃厂,sheng'hua'bo'li'chang
胜利路,sheng'li'lu
省农工商学校,sheng'nong'gong'shang'xue'xiao
时代广场,shi'dai'guang'chang
市党校,shi'dang'xiao
市第二小学,shi'di'er'xiao'xue
市第二中学,shi'di'er'zhong'xue
市第六中学,shi'di'liu'zhong'xue
市第七小学,shi'di'qi'xiao'xue
市二人民医院,shi'er'ren'min'yi'yuan
市二十九小,shi'er'shi'jiu'xiao
市二十七小,shi'er'shi'qi'xiao
市二十小学,shi'er'shi'xiao'xue
市二十中学,shi'er'shi'zhong'xue
市二中医院,shi'er'zhong'yi'yuan
市公安局,shi'gong'an'ju
市九小,shi'jiu'xiao
世贸,shi'mao
市七小,shi'qi'xiao
市十八中学,shi'shi'ba'zhong'xue
市十九中学,shi'shi'jiu'zhong'xue
市十七中学,shi'shi'qi'zhong'xue
市十四中学,shi'shi'si'zhong'xue
石头村,shi'tou'cun
市委,shi'wei
十五中,shi'wu'zhong
市行政服务中心,shi'xing'zheng'fu'wu'zhong'xin
试验站路口,shi'yan'zhan'lu'kou
十一巷路口,shi'yi'xiang'lu'kou
市一中,shi'yi'zhong
市一中医院,shi'yi'zhong'yi'yuan
市政大厦,shi'zheng'da'sha
市中级法院,shi'zhong'ji'fa'yuan
市中心人民医院,shi'zhong'xin'ren'min'yi'yuan
双港村,shuang'gang'cun
水产研究所,shui'chan'yan'jiu'suo
水泥厂,shui'ni'chang
四二二医院,si'er'er'yi'yuan
太平车站,tai'ping'che'zhan
谭汉,tan'han
谭排村,tan'pai'cun
潭屋村,tan'wu'cun
糖厂,tang'chang
体育北路,ti'yu'bei'lu
体育北路东,ti'yu'bei'lu'dong
体育北路西,ti'yu'bei'lu'xi
体育场,ti'yu'chang
体育南路西,ti'yu'nan'lu'xi
体育南路中,ti'yu'nan'lu'zhong
体育中心,ti'yu'zhong'xin
调白,tiao'bai
调东村,tiao'dong'cun
调罗村,tiao'luo'cun
调顺村,tiao'shun'cun
调顺加油站,tiao'shun'jia'you'zhan
调顺派出所,tiao'shun'pai'chu'suo
通用机械厂,tong'yong'ji'xie'chang
土地总公司,tu'di'zong'gong'si
土木路,tu'mu'lu
图书馆,tu'shu'guan
挖尾村,wa'wei'cun
外加剂厂,wai'jia'ji'chang
外经局,wai'jing'ju
外贸码头,wai'mao'ma'tou
外坡村,wai'po'cun
湾北路东,wan'bei'lu'dong
湾北路西,wan'bei'lu'xi
湾南路北,wan'nan'lu'bei
万象金沙湾广场,wan'xiang'jin'sha'wan'guang'chang
王村,wang'cun
网辽船厂,wang'liao'chuan'chang
威龙公司,wei'long'gong'si
文保市场,wen'bao'shi'chang
文参村,wen'can'cun
文丹村,wen'dan'cun
文化局,wen'hua'ju
文明北一路,wen'ming'bei'yi'lu
五金批发市场,wu'jin'pi'fa'shi'chang
屋山村,wu'shan'cun
屋山家私城,wu'shan'jia'si'cheng
物业公司,wu'ye'gong'si
西墩路口,xi'dun'lu'kou
西岭村,xi'ling'cun
西亭村,xi'ting'cun
西厅村,xi'ting'cun
西厅外村,xi'ting'wai'cun
西站路口,xi'zhan'lu'kou
霞海市场,xia'hai'shi'chang
霞湖医院,xia'hu'yi'yuan
霞山分站,xia'shan'fen'zhan
霞山区人民检察院,xia'shan'qu'ren'min'jian'cha'yuan
霞山区政府,xia'shan'qu'zheng'fu
霞山邮电局,xia'shan'you'dian'ju
霞山总站,xia'shan'zong'zhan
仙村,xian'cun
响水洞村,xiang'shui'dong'cun
向阳药厂,xiang'yang'yao'chang
谢家村,xie'jia'cun
新奥燃气公司,xin'ao'ran'qi'gong'si
新春路,xin'chun'lu
新春路口,xin'chun'lu'kou
新村,xin'cun
新村东新路,xin'cun'dong'xin'lu
新村椹川大道南,xin'cun'shen'chuan'da'dao'nan
新大天然,xin'da'tian'ran
鑫海名城,xin'hai'ming'cheng
新华书店仓库,xin'hua'shu'dian'cang'ku
新坡路口,xin'po'lu'kou
新尚路公交站,xin'shang'lu'gong'jiao'zhan
信威,xin'wei
新圩,xin'xu
新园路北,xin'yuan'lu'bei
新园路南,xin'yuan'lu'nan
新园派出所,xin'yuan'pai'chu'suo
兴隆村,xing'long'cun
亚洲水产公司,ya'zhou'shui'chan'gong'si
延安路,yan'an'lu
沿河路南,yan'he'lu'nan
烟楼小学,yan'lou'xiao'xue
阳光花园,yang'guang'hua'yuan
移动公司,yi'dong'gong'si
艺海影剧院,yi'hai'ying'ju'yuan
一横路口,yi'heng'lu'kou
一九六医院,yi'jiu'liu'yi'yuan
逸仙路,yi'xian'lu
医学院,yi'xue'yuan
一中侧门,yi'zhong'ce'men
饮料市场,yin'liao'shi'chang
英豪村,ying'hao'cun
影剧院,ying'ju'yuan
育才北路,yu'cai'bei'lu
渔港公园,yu'gang'gong'yuan
圆岭路口,yuan'ling'lu'kou
圆岭路西,yuan'ling'lu'xi
跃进路南,yue'jin'lu'nan
跃进路中,yue'jin'lu'zhong
粤西技校,yue'xi'ji'xiao
云头油站,yun'tou'you'zhan
湛海公寓,zhan'hai'gong'yu
湛江报社,zhan'jiang'bao'she
湛江海关,zhan'jiang'hai'guan
湛江机场,zhan'jiang'ji'chang
湛江师院,zhan'jiang'shi'yuan
湛江艺校,zhan'jiang'yi'xiao
站前路南,zhan'qian'lu'nan
湛新市场,zhan'xin'shi'chang
镇海酒店,zhen'hai'jiu'dian
振兴路口,zhen'xing'lu'kou
镇医院,zhen'yi'yuan
质监局,zhi'jian'ju
志满,zhi'man
中国城酒店,zhong'guo'cheng'jiu'dian
中医学校,zhong'yi'xue'xiao
中医学校路口,zhong'yi'xue'xiao'lu'kou
中英文学校,zhong'ying'wen'xue'xiao
祝美村,zhu'mei'cun
紫荆苑度假村,zi'jing'yuan'du'jia'cun
