凹顶活塞,ao'ding'huo'sai
离合器的微处理机控制,li'he'qi'de'wei'chu'li'ji'kong'zhi
离合器机械式操纵机构,li'he'qi'ji'xie'shi'cao'zong'ji'gou
螺纹安装燃油喷射泵,luo'wen'an'zhuang'ran'you'pen'she'beng
螺旋进气道进气,luo'xuan'jin'qi'dao'jin'qi
螺旋弹簧加载双坡口油环,luo'xuan'tan'huang'jia'zai'shuang'po'kou'you'huan
美国烟排放物试验循环,mei'guo'yan'pai'fang'wu'shi'yan'xun'huan
美国重型柴油机瞬态法,mei'guo'zhong'xing'chai'you'ji'shun'tai'fa
钠冷却气门,na'leng'que'qi'men
逆时针,ni'shi'zhen
扭振减振器,niu'zhen'jian'zhen'qi
扭振平衡器,niu'zhen'ping'heng'qi
排气排放物控制系统,pai'qi'pai'fang'wu'kong'zhi'xi'tong
排气歧管热量控制阀,pai'qi'qi'guan're'liang'kong'zhi'fa
抛油圈,pao'you'quan
喷孔长径比,pen'kong'chang'jing'bi
喷油泵油缸数目,pen'you'beng'you'gang'shu'mu
喷油始点,pen'you'shi'dian
喷油总效率,pen'you'zong'xiao'lv
喷嘴液动力特性,pen'zui'ye'dong'li'te'xing
偏心轴,pian'xin'zhou
平顶活塞,ping'ding'huo'sai
平衡重,ping'heng'zhong
气波增压器,qi'bo'zeng'ya'qi
汽车尺寸控制图,qi'che'chi'cun'kong'zhi'tu
汽车发动机,qi'che'fa'dong'ji
汽车列车最大设计质量,qi'che'lie'che'zui'da'she'ji'zhi'liang
汽车列车最大允许质量,qi'che'lie'che'zui'da'yun'xu'zhi'liang
汽车模拟碰撞滑车试验装置,qi'che'mo'ni'peng'zhuang'hua'che'shi'yan'zhuang'zhi
汽车平顺性单脉冲输入行驶试验,qi'che'ping'shun'xing'dan'mai'chong'shu'ru'xing'shi'shi'yan
汽车平顺性随机输入行驶试验,qi'che'ping'shun'xing'sui'ji'shu'ru'xing'shi'shi'yan
汽车设计的技术经济分析,qi'che'she'ji'de'ji'shu'jing'ji'fen'xi
汽车噪声测量方法,qi'che'zao'sheng'ce'liang'fang'fa
气缸盖罩,qi'gang'gai'zhao
气门间隙调节螺钉,qi'men'jian'xi'tiao'jie'luo'ding
气门座镶圈嵌镶式气门座圈,qi'men'zuo'xiang'quan'qian'xiang'shi'qi'men'zuo'quan
气密性,qi'mi'xing
气卸散装电石粉车,qi'xie'san'zhuang'dian'shi'fen'che
气卸散装化学粉粒车,qi'xie'san'zhuang'hua'xue'fen'li'che
气卸散装煤粉车,qi'xie'san'zhuang'mei'fen'che
气卸散装水泥车,qi'xie'san'zhuang'shui'ni'che
气压补偿,qi'ya'bu'chang
汽油供给管,qi'you'gong'ji'guan
汽油箱,qi'you'xiang
牵引叉销至车辆前端的距离,qian'yin'cha'xiao'zhi'che'liang'qian'duan'de'ju'li
牵引装置至车辆前端的距离,qian'yin'zhuang'zhi'zhi'che'liang'qian'duan'de'ju'li
强化试验,qiang'hua'shi'yan
强制循环式化冷系统,qiang'zhi'xun'huan'shi'hua'leng'xi'tong
切向进气道进气,qie'xiang'jin'qi'dao'jin'qi
曲柄,qu'bing
曲柄半径,qu'bing'ban'jing
曲柄臂,qu'bing'bi
曲柄销,qu'bing'xiao
曲柄转角,qu'bing'zhuan'jiao
曲轴链轮,qu'zhou'lian'lun
曲轴箱,qu'zhou'xiang
曲轴箱排放物控制系统,qu'zhou'xiang'pai'fang'wu'kong'zhi'xi'tong
曲轴箱强制通风装置,qu'zhou'xiang'qiang'zhi'tong'feng'zhuang'zhi
曲轴油道,qu'zhou'you'dao
曲轴止推轴承,qu'zhou'zhi'tui'zhou'cheng
全斜齿常啮式变速器,quan'xie'chi'chang'nie'shi'bian'su'qi
全直齿常啮式变速器,quan'zhi'chi'chang'nie'shi'bian'su'qi
裙部开槽活塞,qun'bu'kai'cao'huo'sai
燃烧室口径比,ran'shao'shi'kou'jing'bi
燃油喷射泵传动装置,ran'you'pen'she'beng'chuan'dong'zhuang'zhi
燃油箱,ran'you'xiang
燃油蒸气回收系统,ran'you'zheng'qi'hui'shou'xi'tong
热流循环液冷却系统,re'liu'xun'huan'ye'leng'que'xi'tong
扫气储器,sao'qi'chu'qi
上部安装燃油喷射泵,shang'bu'an'zhuang'ran'you'pen'she'beng
声强与声强级,sheng'qiang'yu'sheng'qiang'ji
声压与声压级,sheng'ya'yu'sheng'ya'ji
湿度较正系数,shi'du'jiao'zheng'xi'shu
收缩行程,shou'suo'xing'cheng
水泵循环冷却系统,shui'beng'xun'huan'leng'que'xi'tong
顺时针,shun'shi'zhen
速度测量典型方法,su'du'ce'liang'dian'xing'fang'fa
算术平均值,suan'shu'ping'jun'zhi
台架试验,tai'jia'shi'yan
调温式空气滤清器,tiao'wen'shi'kong'qi'lv'qing'qi
通道面积比,tong'dao'mian'ji'bi
筒形活塞,tong'xing'huo'sai
凸顶活塞,tu'ding'huo'sai
突缘安装喷油器壳体,tu'yuan'an'zhuang'pen'you'qi'qiao'ti
推迟喷油时刻控制系统,tui'chi'pen'you'shi'ke'kong'zhi'xi'tong
椭圆形活塞,tuo'yuan'xing'huo'sai
往复式内燃机,wang'fu'shi'nei'ran'ji
温差循环液冷却系统,wen'cha'xun'huan'ye'leng'que'xi'tong
涡流比,wo'liu'bi
无级传动,wu'ji'chuan'dong
五氧化二碘法,wu'yang'hua'er'dian'fa
系列化通用化标准化,xi'lie'hua'tong'yong'hua'biao'zhun'hua
稀释空气样气收集袋,xi'shi'kong'qi'yang'qi'shou'ji'dai
稀释排气混合气收集袋,xi'shi'pai'qi'hun'he'qi'shou'ji'dai
响度级与等响曲线,xiang'du'ji'yu'deng'xiang'qu'xian
镶因瓦钢片活塞,xiang'yin'wa'gang'pian'huo'sai
谐振平衡器,xie'zhen'ping'heng'qi
形槽活塞,xing'cao'huo'sai
行星式液力变速器,xing'xing'shi'ye'li'bian'su'qi
旋转方向,xuan'zhuan'fang'xiang
压力式水冷却系统,ya'li'shi'shui'leng'que'xi'tong
烟度计物理反应时间,yan'du'ji'wu'li'fan'ying'shi'jian
液压蓄能传动,ye'ya'xu'neng'chuan'dong
仪表参考平面,yi'biao'can'kao'ping'mian
一氧化碳容积百分率,yi'yang'hua'tan'rong'ji'bai'fen'lv
油位表,you'wei'biao
油箱盖,you'xiang'gai
油浴式空气滤清器,you'yu'shi'kong'qi'lv'qing'qi
右转,you'zhuan
预行程,yu'xing'cheng
圆顶活塞,yuan'ding'huo'sai
增压和扫气装置,zeng'ya'he'sao'qi'zhuang'zhi
增压器调节容气量的旁通阀,zeng'ya'qi'tiao'jie'rong'qi'liang'de'pang'tong'fa
振动平衡器,zhen'dong'ping'heng'qi
蒸发排放物控制系统,zheng'fa'pai'fang'wu'kong'zhi'xi'tong
制动平均有效压力,zhi'dong'ping'jun'you'xiao'ya'li
直接冷却式活塞,zhi'jie'leng'que'shi'huo'sai
质量分配用牵引座前置距,zhi'liang'fen'pei'yong'qian'yin'zuo'qian'zhi'ju
轴套,zhou'tao
主缸活塞回位弹簧,zhu'gang'huo'sai'hui'wei'tan'huang
注油控制装置,zhu'you'kong'zhi'zhuang'zhi
转速控制的推迟喷油时刻,zhuan'su'kong'zhi'de'tui'chi'pen'you'shi'ke
转向盘毂及辐条盲区,zhuan'xiang'pan'gu'ji'fu'tiao'mang'qu
转向盘转角阶跃输入试验,zhuan'xiang'pan'zhuan'jiao'jie'yue'shu'ru'shi'yan
转向盘转角脉冲试验,zhuan'xiang'pan'zhuan'jiao'mai'chong'shi'yan
转子轴颈,zhuan'zi'zhou'jing
自动换档机械式变速器,zi'dong'huan'dang'ji'xie'shi'bian'su'qi
自动调心分离轴承,zi'dong'tiao'xin'fen'li'zhou'cheng
自动愈合的防腐材料,zi'dong'yu'he'de'fang'fu'cai'liao
自然循环液冷却系统,zi'ran'xun'huan'ye'leng'que'xi'tong
综合排放浓度,zong'he'pai'fang'nong'du
综合排放质量,zong'he'pai'fang'zhi'liang
最低稳定工作转速试验,zui'di'wen'ding'gong'zuo'zhuan'su'shi'yan
左转,zuo'zhuan
