凹缘菱纹叶蝉,ao'yuan'ling'wen'ye'chan
棉铃曲霉病,mian'ling'qu'mei'bing
棉铃软腐病,mian'ling'ruan'fu'bing
棉盲蝽,mian'mang'chun
棉苗猝倒病,mian'miao'cu'dao'bing
棉苗立枯病,mian'miao'li'ku'bing
棉苗小象,mian'miao'xiao'xiang
棉双斜卷蛾,mian'shuang'xie'juan'e
棉四点叶甲,mian'si'dian'ye'jia
棉小卵象,mian'xiao'luan'xiang
棉小造桥虫,mian'xiao'zao'qiao'chong
棉蚜,mian'ya
棉叶蝉,mian'ye'chan
牧草盲蝽,mu'cao'mang'chun
木橑尺蠖,mu'lao'chi'huo
苜蓿盲蝽,mu'xu'mang'chun
苜蓿夜蛾,mu'xu'ye'e
拟菱纹叶蝉,ni'ling'wen'ye'chan
茄二十八星瓢虫,qie'er'shi'ba'xing'piao'chong
青蛾蜡蝉,qing'e'la'chan
人纹污灯蛾,ren'wen'wu'deng'e
日本龟蜡蚧,ri'ben'gui'la'jie
三点盲蝽,san'dian'mang'chun
桑白盾蚧,sang'bai'dun'jie
桑白绢病,sang'bai'juan'bing
桑白毛虫,sang'bai'mao'chong
桑白纹羽病,sang'bai'wen'yu'bing
桑橙瘿蚊,sang'cheng'ying'wen
桑尺蠖,sang'chi'huo
桑赤锈病,sang'chi'xiu'bing
桑断梢病,sang'duan'shao'bing
桑粉蚧,sang'fen'jie
桑粉虱,sang'fen'shi
桑干枯病,sang'gan'ku'bing
桑膏药,sang'gao'yao
桑根结线虫病,sang'gen'jie'xian'chong'bing
桑根瘿蚊,sang'gen'ying'wen
桑褐斑病,sang'he'ban'bing
桑虎天牛,sang'hu'tian'niu
桑花叶病,sang'hua'ye'bing
桑花叶型萎缩病,sang'hua'ye'xing'wei'suo'bing
桑蟥,sang'huang
桑黄化型萎缩病,sang'huang'hua'xing'wei'suo'bing
桑黄迷萤叶甲,sang'huang'mi'ying'ye'jia
桑灰霉病,sang'hui'mei'bing
桑蓟马,sang'ji'ma
桑寄生,sang'ji'sheng
桑里白粉病,sang'li'bai'fen'bing
桑螟,sang'ming
桑木虱,sang'mu'shi
桑拟干枯病,sang'ni'gan'ku'bing
桑青枯病,sang'qing'ku'bing
桑梢小蠹虫,sang'shao'xiao'du'chong
桑椹菌核病,sang'shen'jun'he'bing
桑虱,sang'shi
桑始叶螨,sang'shi'ye'man
桑丝叶病毒病,sang'si'ye'bing'du'bing
桑蓑蛾,sang'suo'e
桑炭疽病,sang'tan'ju'bing
桑天牛,sang'tian'niu
桑萎缩型萎缩病,sang'wei'suo'xing'wei'suo'bing
桑污叶病,sang'wu'ye'bing
桑吸浆虫,sang'xi'jiang'chong
桑细菌性疫病,sang'xi'jun'xing'yi'bing
桑象甲,sang'xiang'jia
桑小灰象虫,sang'xiao'hui'xiang'chong
桑芽枯病,sang'ya'ku'bing
桑叶蝉,sang'ye'chan
桑叶枯病,sang'ye'ku'bing
桑褶翅尺蠖,sang'zhe'chi'chi'huo
桑蛀虫,sang'zhu'chong
桑紫纹羽病,sang'zi'wen'yu'bing
蛇眼蚧,she'yan'jie
肾毒蛾,shen'du'e
神泽氏叶螨,shen'ze'shi'ye'man
食根缘齿天牛,shi'gen'yuan'chi'tian'niu
食叶性害虫螟蛾,shi'ye'xing'hai'chong'ming'e
粟灰螟,su'hui'ming
台湾稻螟,tai'wan'dao'ming
台湾黄毒蛾,tai'wan'huang'du'e
桃蚜,tao'ya
甜菜白带野螟,tian'cai'bai'dai'ye'ming
甜菜白粉病,tian'cai'bai'fen'bing
甜菜丛根病,tian'cai'cong'gen'bing
甜菜大龟甲,tian'cai'da'gui'jia
甜菜根腐病,tian'cai'gen'fu'bing
甜菜根结线虫病,tian'cai'gen'jie'xian'chong'bing
甜菜褐斑病,tian'cai'he'ban'bing
甜菜花叶病毒病,tian'cai'hua'ye'bing'du'bing
甜菜黄化病毒病,tian'cai'huang'hua'bing'du'bing
甜菜立枯病,tian'cai'li'ku'bing
甜菜苗腐病,tian'cai'miao'fu'bing
甜菜潜叶蝇,tian'cai'qian'ye'ying
甜菜蛇眼病,tian'cai'she'yan'bing
甜菜霜霉病,tian'cai'shuang'mei'bing
甜菜跳甲,tian'cai'tiao'jia
甜菜细菌性斑枯病,tian'cai'xi'jun'xing'ban'ku'bing
甜菜象甲,tian'cai'xiang'jia
甜菜叶斑病,tian'cai'ye'ban'bing
甜菜夜蛾,tian'cai'ye'e
铜绿丽金龟子,tong'lv'li'jin'gui'zi
同型巴蜗牛,tong'xing'ba'wo'niu
突背蔗龟,tu'bei'zhe'gui
菟丝子,tu'si'zi
舞毒蛾,wu'du'e
稀点雪灯蛾,xi'dian'xue'deng'e
小地老虎,xiao'di'lao'hu
小绿叶蝉,xiao'lv'ye'chan
斜纹夜蛾,xie'wen'ye'e
星白灯蛾,xing'bai'deng'e
星天牛,xing'tian'niu
锈病,xiu'bing
旋花天蛾,xuan'hua'tian'e
亚麻斑点病,ya'ma'ban'dian'bing
亚麻假黑斑病,ya'ma'jia'hei'ban'bing
亚麻菌核病,ya'ma'jun'he'bing
亚麻炭疽病,ya'ma'tan'ju'bing
亚洲玉米螟,ya'zhou'yu'mi'ming
烟草白粉病,yan'cao'bai'fen'bing
烟草白绢病,yan'cao'bai'juan'bing
烟草斑点病,yan'cao'ban'dian'bing
烟草胞囊线虫病,yan'cao'bao'nang'xian'chong'bing
烟草赤星病,yan'cao'chi'xing'bing
烟草丛枝病,yan'cao'cong'zhi'bing
烟草猝倒病,yan'cao'cu'dao'bing
烟草低头黑病,yan'cao'di'tou'hei'bing
烟草番茄斑萎病毒病,yan'cao'fan'qie'ban'wei'bing'du'bing
烟草粉螟,yan'cao'fen'ming
烟草根褐腐线虫病,yan'cao'gen'he'fu'xian'chong'bing
烟草根黑腐病,yan'cao'gen'hei'fu'bing
烟草根结线虫病,yan'cao'gen'jie'xian'chong'bing
烟草黑胫病,yan'cao'hei'jing'bing
烟草坏死病毒病,yan'cao'huai'si'bing'du'bing
烟草环斑病毒病,yan'cao'huan'ban'bing'du'bing
烟草黄瓜花叶病毒病,yan'cao'huang'gua'hua'ye'bing'du'bing
烟草灰霉病,yan'cao'hui'mei'bing
烟草剑叶病,yan'cao'jian'ye'bing
烟草角斑病,yan'cao'jiao'ban'bing
烟草菌核病,yan'cao'jun'he'bing
烟草空胫病,yan'cao'kong'jing'bing
烟草枯萎病,yan'cao'ku'wei'bing
烟草立枯病,yan'cao'li'ku'bing
烟草马铃薯病毒病,yan'cao'ma'ling'shu'bing'du'bing
烟草煤污病,yan'cao'mei'wu'bing
烟草破烂叶斑病,yan'cao'po'lan'ye'ban'bing
烟草普通花叶病毒病,yan'cao'pu'tong'hua'ye'bing'du'bing
烟草气候斑点病,yan'cao'qi'hou'ban'dian'bing
烟草潜叶蛾,yan'cao'qian'ye'e
烟草青枯病,yan'cao'qing'ku'bing
烟草曲叶病毒病,yan'cao'qu'ye'bing'du'bing
烟草蚀纹病毒病,yan'cao'shi'wen'bing'du'bing
烟草霜霉病,yan'cao'shuang'mei'bing
烟草炭疽病,yan'cao'tan'ju'bing
烟草甜菜曲顶病毒病,yan'cao'tian'cai'qu'ding'bing'du'bing
烟草蛙眼病,yan'cao'wa'yan'bing
烟草野火病,yan'cao'ye'huo'bing
烟草蛀茎蛾,yan'cao'zhu'jing'e
烟粉虱,yan'fen'shi
烟蓟马,yan'ji'ma
烟青虫,yan'qing'chong
烟实夜蛾,yan'shi'ye'e
烟田大灰象,yan'tian'da'hui'xiang
野蚕,ye'can
野蛞蝓,ye'kuo'yu
椰圆蚧,ye'yuan'jie
奕刺蛾,yi'ci'e
银纹夜蛾,yin'wen'ye'e
油茶宽盾蝽,you'cha'kuan'dun'chun
油葫芦,you'hu'lu
油桐尺蠖,you'tong'chi'huo
圆纹宽广蜡蝉,yuan'wen'kuan'guang'la'chan
云斑天牛,yun'ban'tian'niu
云尺蠖,yun'chi'huo
折带黄毒蛾,zhe'dai'huang'du'e
芝麻天蛾,zhi'ma'tian'e
中黑盲蝽,zhong'hei'mang'chun
中华稻蝗,zhong'hua'dao'huang
中华蚱蜢,zhong'hua'zha'meng
苎麻白纹羽病,zhu'ma'bai'wen'yu'bing
苎麻赤蛱蝶,zhu'ma'chi'jia'die
苎麻根腐线虫病,zhu'ma'gen'fu'xian'chong'bing
苎麻褐斑病,zhu'ma'he'ban'bing
苎麻花叶病,zhu'ma'hua'ye'bing
苎麻黄蛱蝶,zhu'ma'huang'jia'die
苎麻角斑病,zhu'ma'jiao'ban'bing
苎麻茎腐病,zhu'ma'jing'fu'bing
苎麻青枯病,zhu'ma'qing'ku'bing
苎麻炭疽病,zhu'ma'tan'ju'bing
苎麻天牛,zhu'ma'tian'niu
苎麻夜蛾,zhu'ma'ye'e
苎麻疫病,zhu'ma'yi'bing
朱砂叶螨,zhu'sha'ye'man
