阿布都,a'bu'dou
良种场,liang'zhong'chang
刘宝珍,liu'bao'zhen
洛浦县,luo'pu'xian
马木提,ma'mu'ti
马若尧,ma'ruo'yao
麦盖提,mai'gai'ti
麦盖提县,mai'gai'ti'xian
买合木提,mai'he'mu'ti
买买提,mai'mai'ti
麦麦提艾力,mai'mai'ti'ai'li
买买提江,mai'mai'ti'jiang
麦麦提敏,mai'mai'ti'min
买买提明,mai'mai'ti'ming
买买提依明,mai'mai'ti'yi'ming
没有未,mei'you'wei
米吉提,mi'ji'ti
米娜瓦尔,mi'na'wa'er
米夏乡,mi'xia'xiang
民考汉,min'kao'han
沫宝,mo'bao
墨玉县,mo'yu'xian
木合塔尔,mu'he'ta'er
木拉提,mu'la'ti
木沙,mu'sha
尼亚孜,ni'ya'zi
你在喀什,ni'zai'ka'shi
农行汇给你哟,nong'hang'hui'gei'ni'yo
农三师,nong'san'shi
农一师,nong'yi'shi
努尔,nu'er
努尔艾合买提,nu'er'ai'he'mai'ti
努尔艾力,nu'er'ai'li
努尔比亚,nu'er'bi'ya
努尔古丽,nu'er'gu'li
努尔买买提,nu'er'mai'mai'ti
帕尔哈提,pa'er'ha'ti
帕提古丽,pa'ti'gu'li
帕提曼,pa'ti'man
皮毛子,pi'mao'zi
皮山,pi'shan
皮山县,pi'shan'xian
七里桥,qi'li'qiao
其尼瓦克,qi'ni'wa'ke
恰尔巴格,qia'er'ba'ge
恰尔巴格乡,qia'er'ba'ge'xiang
恰热克,qia're'ke
歉意汇了,qian'yi'hui'le
去喀什,qu'ka'shi
热合曼,re'he'man
热西提,re'xi'ti
热依拉,re'yi'la
热依木,re'yi'mu
热孜克,re'zi'ke
热孜万古丽,re'zi'wan'gu'li
萨迪克,sa'di'ke
萨吾提,sa'wu'ti
萨依巴格,sa'yi'ba'ge
赛买提,sai'mai'ti
三非,san'fei
三师,san'shi
三运司,san'yun'si
色力布亚,se'li'bu'ya
色力布亚镇,se'li'bu'ya'zhen
色满路,se'man'lu
色满乡,se'man'xiang
莎车,sha'che
莎车县,sha'che'xian
莎车镇,sha'che'zhen
沙吾提,sha'wu'ti
山钢,shan'gang
神木园,shen'mu'yuan
石油基地,shi'you'ji'di
疏附,shu'fu
疏附县,shu'fu'xian
疏勒县,shu'le'xian
水管站,shui'guan'zhan
斯迪克,si'di'ke
斯依提,si'yi'ti
速啊不可,su'a'bu'ke
苏盖提,su'gai'ti
塔吉古丽,ta'ji'gu'li
塔吉克,ta'ji'ke
塔里木河,ta'li'mu'he
塔什库尔干,ta'shi'ku'er'gan
塔什库尔干县,ta'shi'ku'er'gan'xian
塔西南,ta'xi'nan
塔依尔,ta'yi'er
吐尔,tu'er
吐尔地,tu'er'di
吐尔洪,tu'er'hong
吐尔孙,tu'er'sun
吐尔逊,tu'er'xun
吐汗,tu'han
吐鲁甫,tu'lu'fu
吐鲁洪,tu'lu'hong
图木舒克,tu'mu'shu'ke
图木舒克市,tu'mu'shu'ke'shi
图市,tu'shi
吐逊,tu'xun
团场,tuan'chang
托合提,tuo'he'ti
托木吾斯塘乡,tuo'mu'wu'si'tang'xiang
万宝泉,wan'bao'quan
维利麦,wei'li'mai
维文,wei'wen
维吾尔,wei'wu'er
维语,wei'yu
维族,wei'zu
维族的,wei'zu'de
维族人,wei'zu'ren
温宿县,wen'su'xian
我在喀什,wo'zai'ka'shi
吾布力,wu'bu'li
吾买尔,wu'mai'er
吾普尔,wu'pu'er
乌恰,wu'qia
吾守尔,wu'shou'er
吾舒尔,wu'shu'er
吾斯曼,wu'si'man
西部明珠,xi'bu'ming'zhu
西域大道,xi'yu'da'dao
新疆喀什,xin'jiang'ka'shi
新疆时间,xin'jiang'shi'jian
亚库普,ya'ku'pu
亚森,ya'sen
亚森江,ya'sen'jiang
羊缸子,yang'gang'zi
叶城,ye'cheng
叶城县,ye'cheng'xian
叶尔羌河,ye'er'qiang'he
依马木,yi'ma'mu
依米提,yi'mi'ti
伊什库力乡,yi'shen'ku'li'xiang
银瑞林,yin'rui'lin
英阿瓦提,ying'a'wa'ti
英吉沙,ying'ji'sha
英吉沙县,ying'ji'sha'xian
英吾斯塘,ying'wu'si'tang
英吾斯塘乡,ying'wu'si'tang'xiang
玉素甫,yu'su'fu
玉苏普,yu'su'pu
援疆,yuan'jiang
岳普湖,yue'pu'hu
岳普湖县,yue'pu'hu'xian
岳普湖乡,yue'pu'hu'xiang
在阿克苏,zai'a'ke'su
在和田,zai'he'tian
在喀什,zai'ka'shi
在木呀,zai'mu'ya
在那个家,zai'na'ge'jia
泽普,ze'pu
泽普县,ze'pu'xian
猪姥姥,zhu'lao'lao
祖农,zu'nong
