阿嘎,a'ga
黑土,hei'tu
黑土河,hei'tu'he
红枫湖,hong'feng'hu
红果,hong'guo
红花岗区,hong'hua'gang'qu
红林,hong'lin
洪水,hong'shui
红岩,hong'yan
洪州,hong'zhou
猴场,hou'chang
后巢,hou'chao
后山,hou'shan
后寨,hou'zhai
湖潮,hu'chao
化处,hua'chu
花嘎,hua'ga
花贡,hua'gong
花江,hua'jiang
化觉,hua'jue
化乐,hua'le
花梨,hua'li
化起,hua'qi
滑石,hua'shi
花溪,hua'xi
花溪区,hua'xi'qu
化作,hua'zuo
黄果树,huang'guo'shu
黄腊,huang'la
黄泥,huang'ni
黄泥塘,huang'ni'tang
黄飘,huang'piao
黄平县,huang'ping'xian
汇川区,hui'chuan'qu
回龙,hui'long
惠水县,hui'shui'xian
火花,huo'hua
火铺,huo'pu
鸡场,ji'chang
鸡场坪,ji'chang'ping
鸡场坡,ji'chang'po
计划,ji'hua
加榜,jia'bang
加鸠,jia'jiu
加勉,jia'mian
简嘎,jian'ga
剑河县,jian'he'xian
江东,jiang'dong
江古,jiang'gu
江口县,jiang'kou'xian
江龙,jiang'long
江西坡,jiang'xi'po
郊纳,jiao'na
蕉溪,jiao'xi
轿子山,jiao'zi'shan
结构,jie'gou
金堡,jin'bao
金碧,jin'bi
金斗,jin'dou
金华,jin'hua
金龙,jin'long
金盆,jin'pen
锦屏县,jin'ping'xian
金坡,jin'po
金沙县,jin'sha'xian
锦星,jin'xing
金钟,jin'zhong
金中,jin'zhong
箐口,jing'kou
箐门,jing'men
敬南,jing'nan
景阳,jing'yang
久安,jiu'an
久长,jiu'chang
九潮,jiu'chao
久仰,jiu'yang
旧营,jiu'ying
旧州,jiu'zhou
九庄,jiu'zhuang
凯本,kai'ben
凯里市,kai'li'shi
凯棠,kai'tang
开阳县,kai'yang'xian
坎边,kan'bian
可乐,ke'le
客楼,ke'lou
口江,kou'jiang
款场,kuan'chang
昆寨,kun'zhai
滥坝,lan'ba
兰田,lan'tian
岚头,lan'tou
郎岱,lang'dai
郎德,lang'de
朗洞,lang'dong
浪洞,lang'dong
老凹坝,lao'ao'ba
老厂,lao'chang
老屯,lao'tun
老鹰山,lao'ying'shan
乐里,le'li
乐民,le'min
乐平,le'ping
乐旺,le'wang
乐元,le'yuan
乐治,le'zhi
雷洞,lei'dong
雷山县,lei'shan'xian
荔波县,li'bo'xian
李关,li'guan
理化,li'hua
黎平县,li'ping'xian
梨树,li'shu
犁倭,li'wo
莲城,lian'cheng
连环,lian'huan
两河,liang'he
良上,liang'shang
良田,liang'tian
两汪,liang'wang
亮岩,liang'yan
林口,lin'kou
林泉,lin'quan
流长,liu'chang
柳川,liu'chuan
刘官,liu'guan
六广,liu'guang
六龙,liu'long
六马,liu'ma
六盘水市,liu'pan'shui'shi
六曲河,liu'qu'he
六桶,liu'tong
六屯,liu'tun
六枝特区,liu'zhi'te'qu
龙坝,long'ba
龙场,long'chang
龙场营,long'chang'ying
龙额,long'e
龙岗,long'gang
龙宫,long'gong
龙广,long'guang
陇脚,long'jiao
龙街,long'jie
隆里,long'li
龙里县,long'li'xian
龙泉,long'quan
龙山,long'shan
龙水,long'shui
龙田,long'tian
龙吟,long'yin
楼下,lou'xia
鲁布格,lu'bu'ge
鲁础,lu'chu
鲁贡,lu'gong
鲁容,lu'rong
炉山,lu'shan
鲁屯,lu'tun
鹿窝,lu'wo
落别,luo'bie
罗甸县,luo'dian'xian
罗汉,luo'han
罗里,luo'li
洛万,luo'wan
洛香,luo'xiang
罗州,luo'zhou
绿化,lv'hua
绿塘,lv'tang
马厂,ma'chang
马场,ma'chang
妈姑,ma'gu
马官,ma'guan
马号,ma'hao
麻江县,ma'jiang'xian
马铃,ma'ling
马岭,ma'ling
马路,ma'lu
麻山,ma'shan
马溪,ma'xi
玛依,ma'yi
麻乍,ma'zha
麦格,mai'ge
麦架,mai'jia
麦坪,mai'ping
猫场,mao'chang
猫洞,mao'dong
茅贡,mao'gong
毛口,mao'kou
茅坪,mao'ping
猫营,mao'ying
毛云,mao'yun
湄潭县,mei'tan'xian
孟关,meng'guan
孟彦,meng'yan
米箩,mi'luo
米坪,mi'ping
苗陇,miao'long
敏洞,min'dong
珉谷,min'gu
民建,min'jian
民主,min'zhu
木岗,mu'gang
木果,mu'guo
木孔,mu'kong
募役,mu'yi
木咱,mu'zan
纳夜,na'ye
纳雍,na'yong
纳雍县,na'yong'xian
南皋,nan'gao
南宫,nan'gong
南加,nan'jia
南江,nan'jiang
南开,nan'kai
南龙,nan'long
南明,nan'ming
南明区,nan'ming'qu
楠木渡,nan'mu'du
南哨,nan'shao
南寨,nan'zhai
泥凼,ni'dang
宁谷,ning'gu
牛场,niu'chang
牛大场,niu'da'chang
牛棚,niu'peng
偶里,ou'li
排调,pai'tiao
排羊,pai'yang
潘家庄,pan'jia'zhuang
盘江,pan'jiang
蟠龙,pan'long
盘水,pan'shui
磻溪,pan'xi
盘县,pan'xian
旁海,pang'hai
捧乍,peng'zha
偏坡,pian'po
瓢井,piao'jing
平坝,ping'ba
平坝县,ping'ba'xian
坪地,ping'di
平关,ping'guan
平江,ping'jiang
平街,ping'jie
平乐,ping'le
平略,ping'lue
平秋,ping'qiu
平山,ping'shan
坪上,ping'shang
平塘县,ping'tang'xian
平溪,ping'xi
平阳,ping'yang
平永,ping'yong
坪寨,ping'zhai
平寨,ping'zhai
平庄,ping'zhuang
坡贡,po'gong
坡脚,po'jiao
坡妹,po'mei
普安县,pu'an'xian
普底,pu'di
普定县,pu'ding'xian
普古,pu'gu
普利,pu'li
普坪,pu'ping
普田,pu'tian
普翁,pu'weng
普宜,pu'yi
齐伯,qi'bo
启蒙,qi'meng
绮陌,qi'mo
七舍,qi'she
七眼桥,qi'yan'qiao
黔东南州,qian'dong'nan'zhou
黔灵,qian'ling
黔南州,qian'nan'zhou
黔陶,qian'tao
千溪,qian'xi
黔西南州,qian'xi'nan'zhou
黔西县,qian'xi'xian
钱相,qian'xiang
巧马,qiao'ma
青场,qing'chang
清池,qing'chi
青林,qing'lin
晴隆县,qing'long'xian
庆坪,qing'ping
青山,qing'shan
清水河,qing'shui'he
清水铺,qing'shui'pu
青溪,qing'xi
青岩,qing'yan
庆云,qing'yun
清镇市,qing'zhen'shi
仁和,ren'he
仁怀市,ren'huai'shi
仁里,ren'li
冗渡,rong'du
榕江县,rong'jiang'xian
洒基,sa'ji
撒拉溪,sa'la'xi
洒坪,sa'ping
洒雨,sa'yu
洒志,sa'zhi
三板桥,san'ban'qiao
三宝,san'bao
三都县,san'du'xian
三甲,san'jia
三江,san'jiang
三江口,san'jiang'kou
三棵树,san'ke'shu
三穗县,san'sui'xian
三塘,san'tang
三元,san'yuan
桑郎,sang'lang
沙包,sha'bao
沙厂,sha'chang
沙井,sha'jing
沙坪,sha'ping
沙土,sha'tu
沙文,sha'wen
沙营,sha'ying
沙子,sha'zi
上关,shang'guan
上坪,shang'ping
上塘,shang'tang
尚寨,shang'zhai
尚重,shang'zhong
勺米,shao'mi
少普,shao'pu
勺窝,shao'wo
厍东,she'dong
社学,she'xue
生机,sheng'ji
石板,shi'ban
施秉县,shi'bing'xian
石场,shi'chang
施洞,shi'dong
石洞,shi'dong
石硐,shi'dong
石门,shi'men
石阡县,shi'qian'xian
石桥,shi'qiao
石屯,shi'tun
实兴,shi'xing
十字,shi'zi
曙光,shu'guang
双堡,shuang'bao
双嘎,shuang'ga
双江,shuang'jiang
双井,shuang'jing
双流,shuang'liu
双龙,shuang'long
双坪,shuang'ping
双山,shuang'shan
水城县,shui'cheng'xian
水东,shui'dong
水箐,shui'jing
水口,shui'kou
水塘,shui'tang
水塘堡,shui'tang'bao
水田,shui'tian
水尾,shui'wei
顺场,shun'chang
顺化,shun'hua
四大寨,si'da'zhai
四格,si'ge
四联,si'lian
思南县,si'nan'xian
思旸,si'yang
松河,song'he
松林坡,song'lin'po
宋旗,song'qi
松山,song'shan
松桃县,song'tao'xian
素朴,su'pu
绥阳县,sui'yang'xian
梭嘎,suo'ga
塔石,ta'shi
台拱,tai'gong
台江县,tai'jiang'xian
太来,tai'lai
台烈,tai'lie
台盘,tai'pan
太平,tai'ping
太拥,tai'yong
桃江,tao'jiang
田坝,tian'ba
田坝桥,tian'ba'qiao
田坎,tian'kan
天龙,tian'long
天马,tian'ma
田湾,tian'wan
天星,tian'xing
天柱县,tian'zhu'xian
铁古,tie'gu
铁匠,tie'jiang
停洞,ting'dong
铜鼓,tong'gu
桐林,tong'lin
铜仁地区,tong'ren'di'qu
铜仁市,tong'ren'shi
桐梓县,tong'zi'xian
兔街,tu'jie
团结,tuan'jie
屯脚,tun'jiao
瓦寨,wa'zhai
万潮,wan'chao
万峰湖,wan'feng'hu
万山特区,wan'shan'te'qu
湾水,wan'shui
万屯,wan'tun
挽漾,wan'yang
往洞,wang'dong
望丰,wang'feng
汪家寨,wang'jia'zhai
王家寨,wang'jia'zhai
望谟县,wang'mo'xian
王庄,wang'zhuang
卫城,wei'cheng
威宁县,wei'ning'xian
威旁,wei'pang
威舍,wei'she
威奢,wei'she
维新,wei'xin
文阁,wen'ge
温泉,wen'quan
瓮安县,weng'an'xian
瓮洞,weng'dong
翁坪,weng'ping
窝沿,wo'yan
务川县,wu'chuan'xian
乌当区,wu'dang'qu
五里,wu'li
乌沙,wu'sha
西冲,xi'chong
息烽县,xi'feng'xian
西江,xi'jiang
西洛,xi'luo
西山,xi'shan
习水县,xi'shui'xian
西秀区,xi'xiu'qu
下坝,xia'ba
下江,xia'jiang
下山,xia'shan
下司,xia'si
夏云,xia'yun
贤昌,xian'chang
响水,xiang'shui
小坝,xiao'ba
小碧,xiao'bi
小海,xiao'hai
小河区,xiao'he'qu
小吉场,xiao'ji'chang
小箐,xiao'jing
小屯,xiao'tun
小寨坝,xiao'zhai'ba
新安,xin'an
新堡,xin'bao
新场,xin'chang
新店,xin'dian
新发,xin'fa
新房,xin'fang
新化,xin'hua
新华,xin'hua
新街,xin'jie
新龙场,xin'long'chang
新马场,xin'ma'chang
新民,xin'min
新铺,xin'pu
新桥,xin'qiao
新仁,xin'ren
新屯,xin'tun
新窑,xin'yao
新州,xin'zhou
兴发,xing'fa
兴华,xing'hua
兴隆,xing'long
兴仁,xing'ren
兴仁县,xing'ren'xian
杏山,xing'shan
星宿,xing'xiu
兴义市,xing'yi'shi
熊家场,xiong'jia'chang
雄武,xiong'wu
秀水,xiu'shui
秀塘,xiu'tang
修文县,xiu'wen'xian
宣威,xuan'wei
雪洞,xue'dong
雪浦,xue'pu
雪山,xue'shan
鸭池,ya'chi
雅灰,ya'hui
丫他,ya'ta
鸭塘,ya'tang
盐仓,yan'cang
岩洞,yan'dong
彦洞,yan'dong
沿河县,yan'he'xian
岩架,yan'jia
岩脚,yan'jiao
盐井,yan'jing
岩孔,yan'kong
岩腊,yan'la
燕楼,yan'lou
艳山红,yan'shan'hong
燕子口,yan'zi'kou
秧坝,yang'ba
阳长,yang'chang
羊场,yang'chang
羊昌,yang'chang
杨家湾,yang'jia'wan
羊街,yang'jie
杨柳塘,yang'liu'tang
养龙司,yang'long'si
杨梅,yang'mei
羊坪,yang'ping
羊桥,yang'qiao
扬武,yang'wu
杨武,yang'wu
幺铺,yao'pu
幺站,yao'zhan
野洞河,ye'dong'he
野角,ye'jiao
野马川,ye'ma'chuan
野钟,ye'zhong
迤那,yi'na
以那,yi'na
一碗水,yi'wan'shui
阴底,yin'di
印江县,yin'jiang'xian
营合,ying'he
营盘,ying'pan
英武,ying'wu
永从,yong'cong
永靖,yong'jing
永乐,yong'le
雍里,yong'li
永宁,yong'ning
永燊,yong'shen
永温,yong'wen
雍熙,yong'xi
涌溪,yong'xi
油迈,you'mai
雨冲,yu'chong
雨朵,yu'duo
玉龙,yu'long
禹谟,yu'mo
淤泥,yu'ni
玉屏县,yu'ping'xian
余庆县,yu'qing'xian
玉舍,yu'she
雨樟,yu'zhang
源村,yuan'cun
远口,yuan'kou
月照,yue'zhao
云关,yun'guan
云贵,yun'gui
云岩区,yun'yan'qu
宰便,zai'bian
栽麻,zai'ma
则戎,ze'rong
扎佐,zha'zuo
寨蒿,zhai'hao
宅吉,zhai'ji
寨乐,zhai'le
站街,zhan'jie
张家湾,zhang'jia'wan
肇兴,zhao'xing
哲觉,zhe'jue
者楼,zhe'lou
折溪,zhe'xi
者相,zhe'xiang
蔗香,zhe'xiang
哲庄,zhe'zhuang
贞丰县,zhen'feng'xian
镇宁布县,zhen'ning'bu'xian
镇远县,zhen'yuan'xian
正安县,zheng'an'xian
郑屯,zheng'tun
纸厂,zhi'chang
纸房,zhi'fang
雉街,zhi'jie
织金县,zhi'jin'xian
中潮,zhong'chao
忠诚,zhong'cheng
中建,zhong'jian
钟灵,zhong'ling
中坪,zhong'ping
钟山,zhong'shan
钟山区,zhong'shan'qu
中水,zhong'shui
忠义,zhong'yi
中营,zhong'ying
中寨,zhong'zhai
舟溪,zhou'xi
珠藏,zhu'cang
朱昌,zhu'chang
猪场,zhu'chang
猪场坪,zhu'chang'ping
珠东,zhu'dong
竹林,zhu'lin
朱明,zhu'ming
珠市,zhu'shi
注溪,zhu'xi
竹园,zhu'yuan
紫马,zi'ma
自强,zi'qiang
紫云县,zi'yun'xian
宗地,zong'di
鬃岭,zong'ling
遵义市,zun'yi'shi
遵义县,zun'yi'xian
左鶂嘎,zuo'yi'ga
