阿波林主义,a'bo'lin'zhu'yi
法律,fa'lv
发展,fa'zhan
梵蒂冈,fan'di'gang
梵蒂冈第二届大公会议,fan'di'gang'di'er'jie'da'gong'hui'yi
梵蒂冈第一届大公会议,fan'di'gang'di'yi'jie'da'gong'hui'yi
反基督,fan'ji'du
反闪族主义,fan'shan'zu'zhu'yi
泛神论,fan'shen'lun
非基督宗教,fei'ji'du'zong'jiao
非基督宗教神学,fei'ji'du'zong'jiao'shen'xue
菲律宾神学,fei'lv'bin'shen'xue
非洲神学,fei'zhou'shen'xue
佛教,fo'jiao
佛罗伦斯大公会议,fo'luo'lun'si'da'gong'hui'yi
否定神学,fou'ding'shen'xue
服从,fu'cong
服从潜能,fu'cong'qian'neng
复临派,fu'lin'pai
附魔,fu'mo
妇女神学,fu'nv'shen'xue
附属说,fu'shu'shuo
福音,fu'yin
福音劝谕,fu'yin'quan'yu
福音作者,fu'yin'zuo'zhe
附质,fu'zhi
辅助原则,fu'zhu'yuan'ze
改革宗教会,gai'ge'zong'jiao'hui
感恩圣事,gan'en'sheng'shi
割损,ge'sun
共产主义,gong'chan'zhu'yi
功绩,gong'ji
公教进行会,gong'jiao'jin'xing'hui
功利主义,gong'li'zhu'yi
公审判,gong'shen'pan
公益,gong'yi
公职,gong'zhi
工作,gong'zuo
古圣所,gu'sheng'suo
观念论,guan'nian'lun
关系,guan'xi
皈依,gui'yi
过程神学,guo'cheng'shen'xue
韩国神学,han'guo'shen'xue
和好圣事,he'hao'sheng'shi
和平,he'ping
黑人神学,hei'ren'shen'xue
护教学,hu'jiao'xue
怀疑主义,huai'yi'zhu'yi
幻象论,huan'xiang'lun
混合主义,hun'he'zhu'yi
婚姻圣事,hun'yin'sheng'shi
基本抉择,ji'ben'jue'ze
基本神学,ji'ben'shen'xue
基层团体,ji'ceng'tuan'ti
继承说,ji'cheng'shuo
基督复活,ji'du'fu'huo
基督教,ji'du'jiao
基督教神学,ji'du'jiao'shen'xue
基督来临,ji'du'lai'lin
基督论,ji'du'lun
基督升天,ji'du'sheng'tian
基督司祭职,ji'du'si'ji'zhi
基督徒价值,ji'du'tu'jia'zhi
基督徒灵修,ji'du'tu'ling'xiu
基督徒伦理生活,ji'du'tu'lun'li'sheng'huo
基督徒人学,ji'du'tu'ren'xue
基督徒神学,ji'du'tu'shen'xue
基督徒召唤,ji'du'tu'zhao'huan
基督徒哲学,ji'du'tu'zhe'xue
基督为中心说,ji'du'wei'zhong'xin'shuo
基督下降冥府,ji'du'xia'jiang'ming'fu
基督演化,ji'du'yan'hua
基督宗教,ji'du'zong'jiao
寂静主义,ji'jing'zhu'yi
纪念,ji'nian
极权主义,ji'quan'zhu'yi
祭祀,ji'si
集体主义,ji'ti'zhu'yi
祭天,ji'tian
祭献,ji'xian
基要主义,ji'yao'zhu'yi
及由子,ji'you'zi
加采东大公会议,jia'cai'dong'da'gong'hui'yi
加尔文主义,jia'er'wen'zhu'yi
加利刚主义,jia'li'gang'zhu'yi
家庭,jia'ting
坚振圣事,jian'zhen'sheng'shi
见证,jian'zheng
降生,jiang'sheng
降生神学,jiang'sheng'shen'xue
教父,jiao'fu
教父学,jiao'fu'xue
教会,jiao'hui
教会不可错误性,jiao'hui'bu'ke'cuo'wu'xing
教会不致缺损性,jiao'hui'bu'zhi'que'sun'xing
教会的合一,jiao'hui'de'he'yi
教会法典,jiao'hui'fa'dian
教会会议,jiao'hui'hui'yi
教会会议至上主义,jiao'hui'hui'yi'zhi'shang'zhu'yi
教会诫命,jiao'hui'jie'ming
教会权威,jiao'hui'quan'wei
教会社会思想,jiao'hui'she'hui'si'xiang
教会史,jiao'hui'shi
教会学,jiao'hui'xue
教会训导权,jiao'hui'xun'dao'quan
教会与国家,jiao'hui'yu'guo'jia
教会与世界,jiao'hui'yu'shi'jie
教会与文化,jiao'hui'yu'wen'hua
教理讲授,jiao'li'jiang'shou
教理讲授学,jiao'li'jiang'shou'xue
教理书,jiao'li'shu
教派,jiao'pai
教区,jiao'qu
教条主义,jiao'tiao'zhu'yi
教外人,jiao'wai'ren
教义,jiao'yi
教义部,jiao'yi'bu
教友,jiao'you
教宗,jiao'zong
解放,jie'fang
解放神学,jie'fang'shen'xue
结构性的罪,jie'gou'xing'de'zui
结构主义,jie'gou'zhu'yi
解释学,jie'shi'xue
节育,jie'yu
进步,jin'bu
进化,jin'hua
进化主义,jin'hua'zhu'yi
禁忌,jin'ji
浸信会,jin'xin'hui
敬礼,jing'li
经验主义,jing'yan'zhu'yi
救恩,jiu'en
救恩神学,jiu'en'shen'xue
救恩史,jiu'en'shi
旧约,jiu'yue
旧约神学,jiu'yue'shen'xue
决定论,jue'ding'lun
绝对者,jue'dui'zhe
绝罚,jue'fa
君士坦丁堡第二届大公会议,jun'shi'tan'ding'bao'di'er'jie'da'gong'hui'yi
君士坦丁堡第三届大公会议,jun'shi'tan'ding'bao'di'san'jie'da'gong'hui'yi
君士坦丁堡第四届大公会议,jun'shi'tan'ding'bao'di'si'jie'da'gong'hui'yi
君士坦丁堡第一届大公会议,jun'shi'tan'ding'bao'di'yi'jie'da'gong'hui'yi
康士坦斯大公会议,kang'shi'tan'si'da'gong'hui'yi
克修,ke'xiu
科学与宗教,ke'xue'yu'zong'jiao
肯定神学,ken'ding'shen'xue
空间,kong'jian
宽免,kuan'mian
拉丁美洲神学,la'ding'mei'zhou'shen'xue
拉丁文通行本圣经,la'ding'wen'tong'xing'ben'sheng'jing
拉特朗第二届大公会议,la'te'lang'di'er'jie'da'gong'hui'yi
拉特朗第三届大公会议,la'te'lang'di'san'jie'da'gong'hui'yi
拉特朗第四届大公会议,la'te'lang'di'si'jie'da'gong'hui'yi
拉特朗第五届大公会议,la'te'lang'di'wu'jie'da'gong'hui'yi
拉特朗第一届大公会议,la'te'lang'di'yi'jie'da'gong'hui'yi
来生,lai'sheng
老派天主教会,lao'pai'tian'zhu'jiao'hui
乐园,le'yuan
类比,lei'bi
类型批判,lei'xing'pi'pan
里昂第二届大公会议,li'ang'di'er'jie'da'gong'hui'yi
里昂第一届大公会议,li'ang'di'yi'jie'da'gong'hui'yi
离婚,li'hun
理论与实践,li'lun'yu'shi'jian
历史,li'shi
历史主义,li'shi'zhu'yi
理性主义,li'xing'zhu'yi
礼仪,li'yi
礼仪历史与运动,li'yi'li'shi'yu'yun'dong
礼仪神学,li'yi'shen'xue
炼狱,lian'yu
良心,liang'xin
列入圣品,lie'ru'sheng'pin
列入真福,lie'ru'zhen'fu
临在,lin'zai
灵魂不灭,ling'hun'bu'mie
灵修,ling'xiu
灵修神学,ling'xiu'shen'xue
流出说,liu'chu'shuo
路德会,lu'de'hui
轮回,lun'hui
伦理道德,lun'li'dao'de
伦理神学,lun'li'shen'xue
伦理行为,lun'li'xing'wei
马克思社会分析,ma'ke'si'she'hui'fen'xi
马克思主义,ma'ke'si'zhu'yi
马西翁主义,ma'xi'weng'zhu'yi
曼达教,man'da'jiao
玫瑰经,mei'gui'jing
门徒,men'tu
蒙丹派,meng'dan'pai
盟约,meng'yue
秘教,mi'jiao
密契的结合,mi'qi'de'jie'he
弥撒,mi'sa
迷信,mi'xin
民法,min'fa
民间宗教,min'jian'zong'jiao
命运,ming'yun
魔鬼,mo'gui
摩里纳学派,mo'li'na'xue'pai
摩尼教,mo'ni'jiao
默示,mo'shi
末世论,mo'shi'lun
默示文学,mo'shi'wen'xue
末世主义,mo'shi'zhu'yi
默西亚,mo'xi'ya
默想默观,mo'xiang'mo'guan
慕道期,mu'dao'qi
慕道者,mu'dao'zhe
目的变换,mu'di'bian'huan
目的论证,mu'di'lun'zheng
牧灵神学,mu'ling'shen'xue
牧灵职务,mu'ling'zhi'wu
奈斯多利派,nai'si'duo'li'pai
内在论,nei'zai'lun
内在性,nei'zai'xing
拟人,ni'ren
尼西亚第二届大公会议,ni'xi'ya'di'er'jie'da'gong'hui'yi
尼西亚第一届大公会议,ni'xi'ya'di'yi'jie'da'gong'hui'yi
诺斯底主义,nuo'si'di'zhu'yi
女人,nv'ren
偶像崇拜,ou'xiang'chong'bai
欧洲神学,ou'zhou'shen'xue
派遣,pai'qian
平信徒,ping'xin'tu
平信徒灵修,ping'xin'tu'ling'xiu
普世基督教协会,pu'shi'ji'du'jiao'xie'hui
普世教会,pu'shi'jiao'hui
普世主教集体性,pu'shi'zhu'jiao'ji'ti'xing
普通司祭职,pu'tong'si'ji'zhi
祈祷,qi'dao
奇迹,qi'ji
启蒙运动,qi'meng'yun'dong
启示,qi'shi
七十贤士译本,qi'shi'xian'shi'yi'ben
启示宗教,qi'shi'zong'jiao
千年说,qian'nian'shuo
虔信派,qian'xin'pai
清教派,qing'jiao'pai
情况伦理学,qing'kuang'lun'li'xue
全能,quan'neng
全在,quan'zai
全知,quan'zhi
确实性,que'shi'xing
仁慈,ren'ci
人的尊严,ren'de'zun'yan
人化,ren'hua
人权,ren'quan
人为中心说,ren'wei'zhong'xin'shuo
人文主义,ren'wen'zhu'yi
日本神学,ri'ben'shen'xue
荣福直观,rong'fu'zhi'guan
肉身复活,rou'shen'fu'huo
儒家,ru'jia
入门圣事,ru'men'sheng'shi
萨培里派,sa'pei'li'pai
社会,she'hui
社会分析,she'hui'fen'xi
社会主义,she'hui'zhu'yi
神的显现,shen'de'xian'xian
神恩,shen'en
神恩复兴运动,shen'en'fu'xing'yun'dong
神话,shen'hua
神话学,shen'hua'xue
神律,shen'lv
审美神学,shen'mei'shen'xue
神秘的结合,shen'mi'de'jie'he
神秘神学,shen'mi'shen'xue
神秘思想与生活,shen'mi'si'xiang'yu'sheng'huo
审判,shen'pan
神人合作说,shen'ren'he'zuo'shuo
神视,shen'shi
神体一位论,shen'ti'yi'wei'lun
神为中心说,shen'wei'zhong'xin'shuo
神性生命,shen'xing'sheng'ming
神学,shen'xue
神学反省,shen'xue'fan'xing
神学方法,shen'xue'fang'fa
神学培育,shen'xue'pei'yu
神学认识论,shen'xue'ren'shi'lun
神学史,shen'xue'shi
神学与科学,shen'xue'yu'ke'xue
神学正确性,shen'xue'zheng'que'xing
神印,shen'yin
神召会,shen'zhao'hui
圣父受难说,sheng'fu'shou'nan'shuo
圣公会,sheng'gong'hui
圣化,sheng'hua
生活品质,sheng'huo'pin'zhi
生界,sheng'jie
圣经,sheng'jing
圣经的无误性,sheng'jing'de'wu'wu'xing
圣经灵感,sheng'jing'ling'gan
圣经伦理学,sheng'jing'lun'li'xue
圣经批判学,sheng'jing'pi'pan'xue
圣经诠释学,sheng'jing'quan'shi'xue
圣经神学,sheng'jing'shen'xue
圣经与传统,sheng'jing'yu'chuan'tong
圣经正典,sheng'jing'zheng'dian
生命,sheng'ming
圣母敬礼,sheng'mu'jing'li
圣母论,sheng'mu'lun
圣母升天,sheng'mu'sheng'tian
圣母中保,sheng'mu'zhong'bao
圣人,sheng'ren
圣人敬礼,sheng'ren'jing'li
圣人列品,sheng'ren'lie'pin
圣神,sheng'shen
圣神的恩赐,sheng'shen'de'en'ci
圣神降临节,sheng'shen'jiang'lin'jie
圣神论,sheng'shen'lun
圣事,sheng'shi
圣师,sheng'shi
圣事神学,sheng'shi'shen'xue
圣事主义,sheng'shi'zhu'yi
生态神学,sheng'tai'shen'xue
生态体系,sheng'tai'ti'xi
生态学,sheng'tai'xue
圣体的共融,sheng'ti'de'gong'rong
圣体圣事,sheng'ti'sheng'shi
圣统制,sheng'tong'zhi
圣徒遗物,sheng'tu'yi'wu
圣洗圣事,sheng'xi'sheng'shi
圣言,sheng'yan
圣仪,sheng'yi
圣召,sheng'zhao
圣职人员,sheng'zhi'ren'yuan
圣职圣事,sheng'zhi'sheng'shi
圣座,sheng'zuo
世代,shi'dai
时间,shi'jian
世界,shi'jie
十诫,shi'jie
世界观,shi'jie'guan
世界主教会议,shi'jie'zhu'jiao'hui'yi
士林学派,shi'lin'xue'pai
使命,shi'ming
实体,shi'ti
实现与潜能,shi'xian'yu'qian'neng
时效论证,shi'xiao'lun'zheng
实用主义,shi'yong'zhu'yi
始元,shi'yuan
实在界,shi'zai'jie
实证神学,shi'zheng'shen'xue
实证主义,shi'zheng'zhu'yi
十字架神学,shi'zi'jia'shen'xue
授圣职礼,shou'sheng'zhi'li
守斋,shou'zhai
枢德,shu'de
枢机,shu'ji
疏离,shu'li
属性交流,shu'xing'jiao'liu
双果律,shuang'guo'lv
说异语的神恩,shuo'yi'yu'de'shen'en
司铎,si'duo
斯多亚主义,si'duo'ya'zhu'yi
思高学派,si'gao'xue'pai
司祭,si'ji
死人复活,si'ren'fu'huo
私人启示,si'ren'qi'shi
私审判,si'shen'pan
死亡,si'wang
思想典范,si'xiang'dian'fan
私欲偏情,si'yu'pian'qing
俗化,su'hua
俗化思想,su'hua'si'xiang
俗化主义,su'hua'zhu'yi
宿命论,su'ming'lun
苏亚雷学派,su'ya'lei'xue'pai
溯源论,su'yuan'lun
台湾神学,tai'wan'shen'xue
堂区,tang'qu
特利腾大公会议,te'li'teng'da'gong'hui'yi
体变,ti'bian
剔秘,ti'mi
天地,tian'di
天地人合一,tian'di'ren'he'yi
天父,tian'fu
天人,tian'ren
天使,tian'shi
天使论,tian'shi'lun
天堂,tian'tang
天佑,tian'you
天主,tian'zhu
天主的参与,tian'zhu'de'can'yu
天主的光荣,tian'zhu'de'guang'rong
天主的国,tian'zhu'de'guo
天主的名字,tian'zhu'de'ming'zi
天主的启示,tian'zhu'de'qi'shi
天主的属性,tian'zhu'de'shu'xing
天主的肖像,tian'zhu'de'xiao'xiang
天主的寓居,tian'zhu'de'yu'ju
天主的旨意,tian'zhu'de'zhi'yi
天主教的思想与生活,tian'zhu'jiao'de'si'xiang'yu'sheng'huo
天主教会,tian'zhu'jiao'hui
天主教神学,tian'zhu'jiao'shen'xue
天主圣母玛利亚,tian'zhu'sheng'mu'ma'li'ya
天主圣三,tian'zhu'sheng'san
天主之死神学,tian'zhu'zhi'si'shen'xue
天主子民,tian'zhu'zi'min
痛悔,tong'hui
痛苦神学,tong'ku'shen'xue
通灵论,tong'ling'lun
同性恋,tong'xing'lian
同性同体,tong'xing'tong'ti
通谕,tong'yu
童贞,tong'zhen
童贞生子,tong'zhen'sheng'zi
瓦勒度派,wa'le'du'pai
万有复兴,wan'you'fu'xing
万有在神论,wan'you'zai'shen'lun
未定论,wei'ding'lun
位格,wei'ge
位格思想,wei'ge'si'xiang
伪经,wei'jing
唯靠恩宠,wei'kao'en'chong
唯靠圣经,wei'kao'sheng'jing
唯靠信仰,wei'kao'xin'yang
未来,wei'lai
卫理会,wei'li'hui
唯名论,wei'ming'lun
唯物论,wei'wu'lun
维也诺大公会议,wei'ye'nuo'da'gong'hui'yi
文化,wen'hua
文学批判,wen'xue'pi'pan
文艺复兴,wen'yi'fu'xing
文字批判,wen'zi'pi'pan
物化,wu'hua
无名基督徒,wu'ming'ji'du'tu
无染原罪,wu'ran'yuan'zui
无神论,wu'shen'lun
乌托邦,wu'tuo'bang
无限,wu'xian
西方灵修,xi'fang'ling'xiu
西方哲学,xi'fang'zhe'xue
希腊主义,xi'la'zhu'yi
希望,xi'wang
熙雍主义,xi'yong'zhu'yi
先存,xian'cun
现代主义,xian'dai'zhu'yi
显容,xian'rong
显现,xian'xian
现象学,xian'xiang'xue
先验神学,xian'yan'shen'xue
先验哲学,xian'yan'zhe'xue
先知,xian'zhi
相对主义,xiang'dui'zhu'yi
象征,xiang'zheng
消除圣像之争,xiao'chu'sheng'xiang'zhi'zheng
新柏拉图主义,xin'bo'la'tu'zhu'yi
信经,xin'jing
信理,xin'li
信理定断,xin'li'ding'duan
信理发展,xin'li'fa'zhan
信理神学,xin'li'shen'xue
信理史,xin'li'shi
新神学,xin'shen'xue
新时代,xin'shi'dai
新士林学派,xin'shi'lin'xue'pai
信仰,xin'yang
信仰宝库,xin'yang'bao'ku
信仰传播,xin'yang'chuan'bo
信仰动机,xin'yang'dong'ji
信仰分析,xin'yang'fen'xi
信仰与理性,xin'yang'yu'li'xing
信仰真理,xin'yang'zhen'li
信仰主义,xin'yang'zhu'yi
信仰准备条件,xin'yang'zhun'bei'tiao'jian
信义会,xin'yi'hui
新约,xin'yue
新约神学,xin'yue'shen'xue
形上学,xing'shang'xue
形式派,xing'shi'pai
型质论,xing'zhi'lun
修会,xiu'hui
修会生活,xiu'hui'sheng'huo
修院灵修,xiu'yuan'ling'xiu
许诺,xu'nuo
叙述神学,xu'shu'shen'xue
虚无主义,xu'wu'zhu'yi
宣布信仰,xuan'bu'xin'yang
宣道,xuan'dao
宣信,xuan'xin
循道会,xun'dao'hui
殉道者,xun'dao'zhe
亚大纳修信经,ya'da'na'xiu'xin'jing
亚历山大学派,ya'li'shan'da'xue'pai
亚里斯多德主义,ya'li'si'duo'de'zhu'yi
亚略主义,ya'lue'zhu'yi
雅威,ya'wei
亚洲神学,ya'zhou'shen'xue
杨森主义,yang'sen'zhu'yi
耶稣基督,ye'su'ji'du
耶稣基督受难圣死,ye'su'ji'du'shou'nan'sheng'si
耶稣圣心敬礼,ye'su'sheng'xin'jing'li
异端,yi'duan
异端裁判,yi'duan'cai'pan
一夫一妻制,yi'fu'yi'qi'zhi
一妻多夫制,yi'qi'duo'fu'zhi
以色列,yi'se'lie
仪式,yi'shi
意识型态,yi'shi'xing'tai
伊斯兰教,yi'si'lan'jiao
伊斯兰教神学,yi'si'lan'jiao'shen'xue
一性论,yi'xing'lun
意义变换,yi'yi'bian'huan
一元论,yi'yuan'lun
医治职务,yi'zhi'zhi'wu
意志主义,yi'zhi'zhu'yi
印度教,yin'du'jiao
印度神学,yin'du'shen'xue
隐修制度与生活,yin'xiu'zhi'du'yu'sheng'huo
阴阳,yin'yang
隐喻,yin'yu
婴孩洗礼,ying'hai'xi'li
永恒,yong'heng
永生,yong'sheng
永续的创造,yong'xu'de'chuang'zao
有关天主存在的论证,you'guan'tian'zhu'cun'zai'de'lun'zheng
诱惑,you'huo
有神论,you'shen'lun
有始无终之境,you'shi'wu'zhong'zhi'jing
犹太教的思想与生活,you'tai'jiao'de'si'xiang'yu'sheng'huo
犹太神学,you'tai'shen'xue
犹太宗教,you'tai'zong'jiao
优提克斯主义,you'ti'ke'si'zhu'yi
由主义神学,you'zhu'yi'shen'xue
预定,yu'ding
预像论,yu'xiang'lun
寓意,yu'yi
逾越奥迹,yu'yue'ao'ji
宇宙,yu'zhou
宇宙开辟论,yu'zhou'kai'pi'lun
宇宙论,yu'zhou'lun
宇宙论证,yu'zhou'lun'zheng
原理,yuan'li
源流批判,yuan'liu'pi'pan
原始启示,yuan'shi'qi'shi
原始与终结,yuan'shi'yu'zhong'jie
原始正义,yuan'shi'zheng'yi
原因,yuan'yin
原则,yuan'ze
原罪,yuan'zui
原罪神学,yuan'zui'shen'xue
造世者,zao'shi'zhe
哲学,zhe'xue
哲学伦理学,zhe'xue'lun'li'xue
贞洁,zhen'jie
真理,zhen'li
真理的层次,zhen'li'de'ceng'ci
争论神学,zheng'lun'shen'xue
正统实践,zheng'tong'shi'jian
正统信仰,zheng'tong'xin'yang
正义,zheng'yi
政治神学,zheng'zhi'shen'xue
智慧,zhi'hui
治理权,zhi'li'quan
殖民地主义,zhi'min'di'zhu'yi
执事,zhi'shi
职务,zhi'wu
中保,zhong'bao
中国各种思想典范,zhong'guo'ge'zhong'si'xiang'dian'fan
中国礼仪之争,zhong'guo'li'yi'zhi'zheng
中国伦理学,zhong'guo'lun'li'xue
中国神学,zhong'guo'shen'xue
中国哲学,zhong'guo'zhe'xue
中文圣经,zhong'wen'sheng'jing
中央集权,zhong'yang'ji'quan
祝福,zhu'fu
主观主义,zhu'guan'zhu'yi
主教,zhu'jiao
主教团,zhu'jiao'tuan
主教主义,zhu'jiao'zhu'yi
主任司铎,zhu'ren'si'duo
主日,zhu'ri
诸圣相通功,zhu'sheng'xiang'tong'gong
主体,zhu'ti
资本主义,zi'ben'zhu'yi
自界神学,zi'jie'shen'xue
自律,zi'lv
自启示,zi'qi'shi
自然渴望,zi'ran'ke'wang
自然与恩宠,zi'ran'yu'en'chong
自神论,zi'shen'lun
自神学,zi'shen'xue
自性,zi'xing
自由,zi'you
自真理,zi'zhen'li
自主义,zi'zhu'yi
自宗教,zi'zong'jiao
总归于基督,zong'gui'yu'ji'du
宗教,zong'jiao
宗教分裂,zong'jiao'fen'lie
宗教改革,zong'jiao'gai'ge
宗教经验,zong'jiao'jing'yan
宗教批判,zong'jiao'pi'pan
宗教容忍,zong'jiao'rong'ren
宗教社会学,zong'jiao'she'hui'xue
宗教神学,zong'jiao'shen'xue
宗教史,zong'jiao'shi
宗教无差别论,zong'jiao'wu'cha'bie'lun
宗教现象学,zong'jiao'xian'xiang'xue
宗教心理学,zong'jiao'xin'li'xue
宗教行为,zong'jiao'xing'wei
宗教语言,zong'jiao'yu'yan
宗教哲学,zong'jiao'zhe'xue
宗教自由,zong'jiao'zi'you
宗派主义,zong'pai'zhu'yi
宗徒,zong'tu
宗徒传统,zong'tu'chuan'tong
宗徒继承,zong'tu'ji'cheng
宗徒信经,zong'tu'xin'jing
宗徒性,zong'tu'xing
宗徒训诲录,zong'tu'xun'hui'lu
宗主教,zong'zhu'jiao
宗座正义与和平委员会,zong'zuo'zheng'yi'yu'he'ping'wei'yuan'hui
祖先崇拜,zu'xian'chong'bai
最后晚餐,zui'hou'wan'can
罪咎,zui'jiu
作用神学,zuo'yong'shen'xue
