隘路,ai'lu
底质,di'zhi
地轴,di'zhou
陡石山,dou'shi'shan
陡崖,dou'ya
独立地物,du'li'di'wu
独立房屋,du'li'fang'wu
断绝地,duan'jue'di
多光谱摄影,duo'guang'pu'she'ying
防界线,fang'jie'xian
方位角,fang'wei'jiao
方位判定,fang'wei'pan'ding
方位图,fang'wei'tu
方位物,fang'wei'wu
方位物要图,fang'wei'wu'yao'tu
分水线,fen'shui'xian
峰林,feng'lin
辅助等高线,fu'zhu'deng'gao'xian
高差,gao'cha
高程,gao'cheng
高程的基准面,gao'cheng'de'ji'zhun'mian
高程基准面,gao'cheng'ji'zhun'mian
高地,gao'di
高苗地,gao'miao'di
高斯克吕格投影,gao'si'ke'lv'ge'tou'ying
高斯投影,gao'si'tou'ying
高原,gao'yuan
公路,gong'lu
公路便桥,gong'lu'bian'qiao
公路渡口,gong'lu'du'kou
谷地,gu'di
灌木,guan'mu
光线法,guang'xian'fa
国防公路,guo'fang'gong'lu
海岸,hai'an
海岸线,hai'an'xian
海拔,hai'ba
海道测量,hai'dao'ce'liang
海底地貌,hai'di'di'mao
海滩,hai'tan
海图,hai'tu
海湾,hai'wan
海洋测量,hai'yang'ce'liang
涵洞,han'dong
航测,hang'ce
航空地理要素,hang'kong'di'li'yao'su
航空摄影,hang'kong'she'ying
航空摄影测量,hang'kong'she'ying'ce'liang
航空图,hang'kong'tu
航空照相,hang'kong'zhao'xiang
航天航空摄影测量,hang'tian'hang'kong'she'ying'ce'liang
航天摄影,hang'tian'she'ying
航天摄影测量,hang'tian'she'ying'ce'liang
航图,hang'tu
河岸,he'an
河坝,he'ba
河槽,he'cao
河床,he'chuang
河堤,he'di
河底,he'di
河幅,he'fu
河宽,he'kuan
河流,he'liu
河深,he'shen
合水线,he'shui'xian
恒星,heng'xing
洪水河床,hong'shui'he'chuang
红外线摄影,hong'wai'xian'she'ying
红外照相,hong'wai'zhao'xiang
后方交会法,hou'fang'jiao'hui'fa
湖泊,hu'po
滑坡,hua'po
荒漠,huang'mo
绘制要图,hui'zhi'yao'tu
基本比例尺地形图,ji'ben'bi'li'chi'di'xing'tu
基本等高线,ji'ben'deng'gao'xian
基本河床,ji'ben'he'chuang
计曲线,ji'qu'xian
集团房屋,ji'tuan'fang'wu
记忆测图,ji'yi'ce'tu
加粗等高线,jia'cu'deng'gao'xian
假定高程,jia'ding'gao'cheng
岬角,jia'jiao
渐长投影,jian'chang'tou'ying
间曲线,jian'qu'xian
简易测图,jian'yi'ce'tu
江河,jiang'he
交会法,jiao'hui'fa
胶印机,jiao'yin'ji
截线法,jie'xian'fa
经差,jing'cha
经度,jing'du
经纬仪,jing'wei'yi
经线,jing'xian
纠正仪,jiu'zheng'yi
居民地,ju'min'di
绝对高程,jue'dui'gao'cheng
绝崖,jue'ya
军控点,jun'kong'dian
军事测绘,jun'shi'ce'hui
军事测绘部门,jun'shi'ce'hui'bu'men
军事测绘勤务,jun'shi'ce'hui'qin'wu
军事测绘装备,jun'shi'ce'hui'zhuang'bei
军事测绘资料,jun'shi'ce'hui'zi'liao
军事地形学,jun'shi'di'xing'xue
军事工程测量,jun'shi'gong'cheng'ce'liang
军事交通图,jun'shi'jiao'tong'tu
军事目标判读,jun'shi'mu'biao'pan'du
军用地图,jun'yong'di'tu
军用控制点,jun'yong'kong'zhi'dian
喀斯特地貌,ka'si'te'di'mao
开阔地,kai'kuo'di
枯水河床,ku'shui'he'chuang
阔叶林,kuo'ye'lin
棱线,leng'xian
立体测绘仪,li'ti'ce'hui'yi
立体观察,li'ti'guan'cha
立体像对,li'ti'xiang'dui
利用地图行进,li'yong'di'tu'xing'jin
列岛,lie'dao
邻带补充坐标网,lin'dai'bu'chong'zuo'biao'wang
林间空地,lin'jian'kong'di
流量,liu'liang
流速,liu'su
流向,liu'xiang
罗经圈,luo'jing'quan
落水洞,luo'shui'dong
墨卡托投影,mo'ka'tuo'tou'ying
目测,mu'ce
南十字星座,nan'shi'zi'xing'zuo
盆地,pen'di
平均海平面,ping'jun'hai'ping'mian
平面直角坐标,ping'mian'zhi'jiao'zuo'biao
平原,ping'yuan
坡度,po'du
普通地图,pu'tong'di'tu
起伏地,qi'fu'de
起始经线,qi'shi'jing'xian
前方交会法,qian'fang'jiao'hui'fa
桥梁,qiao'liang
乔木,qiao'mu
倾斜航空摄影,qing'xie'hang'kong'she'ying
倾斜航空照相,qing'xie'hang'kong'zhao'xiang
晴雨通车公路,qing'yu'tong'che'gong'lu
丘陵地,qiu'ling'di
全景航空摄影,quan'jing'hang'kong'she'ying
全景航空照相,quan'jing'hang'kong'zhao'xiang
确定站立点,que'ding'zhan'li'dian
热带山林地,re'dai'shan'lin'di
热带雨林,re'dai'yu'lin
溶洞,rong'dong
溶斗,rong'dou
三角点,san'jiao'dian
三角洲,san'jiao'zhou
森林,sen'lin
沙漠,sha'mo
砂漠,sha'mo
沙盘,sha'pan
沙丘,sha'qiu
沙洲,sha'zhou
山隘,shan'ai
山背,shan'bei
山地,shan'di
山顶,shan'ding
山腹,shan'fu
山沟,shan'gou
山谷,shan'gu
山脊,shan'ji
山脚,shan'jiao
山口,shan'kou
山林地,shan'lin'di
山麓,shan'lu
山垭口,shan'ya'kou
山腰,shan'yao
上游,shang'you
深度基准面,shen'du'ji'zhun'mian
深度零点,shen'du'ling'dian
世界时,shi'jie'shi
石林,shi'lin
时令河,shi'ling'he
时令路,shi'ling'lu
时区,shi'qu
识图用图,shi'tu'yong'tu
首曲线,shou'qu'xian
首子午线,shou'zi'wu'xian
数字化地图,shu'zi'hua'di'tu
水库,shui'ku
水宽,shui'kuan
水深,shui'shen
水网稻田地,shui'wang'dao'tian'di
水位,shui'wei
水系,shui'xi
水准点,shui'zhun'dian
水准零点,shui'zhun'ling'dian
水准仪,shui'zhun'yi
素图,su'tu
隧道,sui'dao
随军测绘分队,sui'jun'ce'hui'fen'dui
缩尺,suo'chi
台地,tai'di
太阳系,tai'yang'xi
滩头,tan'tou
天体,tian'ti
天文大地测量,tian'wen'da'di'ce'liang
调制要图,tiao'zhi'yao'tu
铁道,tie'dao
铁路,tie'lu
图根点,tu'gen'dian
图库,tu'ku
凸形斜面,tu'xing'xie'mian
纬差,wei'cha
纬度,wei'du
纬度圈,wei'du'quan
纬线,wei'xian
卫星,wei'xing
卫星大地测量,wei'xing'da'di'ce'liang
无名高地,wu'ming'gao'di
下游,xia'you
仙后星座,xian'hou'xing'zuo
像对,xiang'dui
相对高程,xiang'dui'gao'cheng
像片判读,xiang'pian'pan'du
小熊星座,xiao'xiong'xing'zuo
斜面,xie'mian
行星,xing'xing
行星星座,xing'xing'xing'zuo
悬崖,xuan'ya
严寒地区,yan'han'di'qu
岩溶地貌,yan'rong'di'mao
摇摆航空摄影,yao'bai'hang'kong'she'ying
摇摆航空照相,yao'bai'hang'kong'zhao'xiang
要图,yao'tu
野战制印,ye'zhan'zhi'yin
野战制印车,ye'zhan'zhi'yin'che
野战制印作业,ye'zhan'zhi'yin'zuo'ye
野战制印作业装备,ye'zhan'zhi'yin'zuo'ye'zhuang'bei
影像地图,ying'xiang'di'tu
雨裂,yu'lie
运河,yun'he
战备公路,zhan'bei'gong'lu
沼泽,zhao'ze
遮蔽地,zhe'bi'di
真北,zhen'bei
阵地目标编号图,zhen'di'mu'biao'bian'hao'tu
真高,zhen'gao
针叶林,zhen'ye'lin
真子午线,zhen'zi'wu'xian
植被,zhi'bei
指北针,zhi'bei'zhen
制高点,zhi'gao'dian
指挥尺,zhi'hui'chi
指极星,zhi'ji'xing
指南针,zhi'nan'zhen
重力测量,zhong'li'ce'liang
中游,zhong'you
主峰,zhu'feng
助曲线,zhu'qu'xian
子午面,zi'wu'mian
子午线,zi'wu'xian
坐标,zuo'biao
坐标网,zuo'biao'wang
