阿母白媒人,a'mu'bai'mei'ren
白发刘郎孤负,bai'fa'liu'lang'gu'fu
白发三千丈,bai'fa'san'qian'zhang
白发书生神州泪,bai'fa'shu'sheng'shen'zhou'lei
白发谁家翁媪,bai'fa'shui'jia'weng'ao
白发他时不放君,bai'fa'ta'shi'bu'fang'jun
百工居肆以成其事,bai'gong'ju'si'yi'cheng'qi'shi
百工有器械之巧则壮,bai'gong'you'qi'xie'zhi'qiao'ze'zhuang
白公争而灭,bai'gong'zheng'er'mie
百工之事,bai'gong'zhi'shi
白骨乱蓬蒿,bai'gu'luan'peng'hao
百官牛羊食廪备,bai'guan'niu'yang'shi'lin'bei
百官有司,bai'guan'you'si
百官之富,bai'guan'zhi'fu
百官总己以听于冢宰,bai'guan'zong'ji'yi'ting'yu'zhong'zai
百官族人,bai'guan'zu'ren
白鹤江入京,bai'he'jiang'ru'jing
败荷零落,bai'he'ling'luo
白鹤在何处,bai'he'zai'he'chu
败红趁一叶寒涛,bai'hong'chen'yi'ye'han'tao
白酒床头初熟,bai'jiu'chuang'tou'chu'shu
柏矩学于老聃,bai'ju'xue'yu'lao'dan
白狼河北音书断,bai'lang'he'bei'yin'shu'duan
白了人头,bai'le'ren'tou
白了少年头,bai'le'shao'nian'tou
百里奚不谏,bai'li'xi'bu'jian
百里奚爵禄不入于心,bai'li'xi'jue'lu'bu'ru'yu'xin
百里奚自鬻於秦养牲者,bai'li'xi'zi'yu'yu'qin'yang'sheng'zhe
白露横江,bai'lu'heng'jiang
白马嚼啮黄金勒,bai'ma'jiao'nie'huang'jin'le
白毛浮绿水,bai'mao'fu'lv'shui
白门寥落意多违,bai'men'liao'luo'yi'duo'wei
百亩之粪,bai'mu'zhi'fen
百亩之田,bai'mu'zhi'tian
百年悲笑,bai'nian'bei'xiao
百年都是几多时,bai'nian'dou'shi'ji'duo'shi
百年多病独登台,bai'nian'duo'bing'du'deng'tai
百年而後崩,bai'nian'er'hou'beng
百年老屋,bai'nian'lao'wu
百年蒲柳先衰,bai'nian'pu'liu'xian'shuai
百年树人,bai'nian'shu'ren
百年之木,bai'nian'zhi'mu
白鸟鹤鹤,bai'niao'he'he
白鸟无言定自愁,bai'niao'wu'yan'ding'zi'chou
白苹花满湔裙处,bai'ping'hua'man'jian'qun'chu
白苹洲畔,bai'ping'zhou'pan
白刃交于前,bai'ren'jiao'yu'qian
白日登山望烽火,bai'ri'deng'shan'wang'feng'huo
白日放歌须纵酒,bai'ri'fang'ge'xu'zong'jiu
白日落梁州,bai'ri'luo'liang'zhou
白日销残战骨,bai'ri'xiao'can'zhan'gu
白日依山尽,bai'ri'yi'shan'jin
百舍重趼而不敢息,bai'she'chong'jian'er'bu'gan'xi
百乘之家,bai'sheng'zhi'jia
百世不能改也,bai'shi'bu'neng'gai'ye
白首方悔读书迟,bai'shou'fang'hui'du'shu'chi
白首卧松云,bai'shou'wo'song'yun
百兽震恐,bai'shou'zhen'kong
白水绕东城,bai'shui'rao'dong'cheng
白头宫女在,bai'tou'gong'nv'zai
白头孤客,bai'tou'gu'ke
白头搔更短,bai'tou'sao'geng'duan
白兔捣药成,bai'tu'dao'yao'cheng
百万之师,bai'wan'zhi'shi
百物生焉,bai'wu'sheng'yan
百姓安之,bai'xing'an'zhi
百姓不足,bai'xing'bu'zu
百姓皆谓,bai'xing'jie'wei
百姓皆以王为爱也,bai'xing'jie'yi'wang'wei'ai'ye
百姓皆注其耳目,bai'xing'jie'zhu'qi'er'mu
百姓如丧考妣,bai'xing'ru'sang'kao'bi
百姓闻王车马之音,bai'xing'wen'wang'che'ma'zhi'yin
百姓闻王钟鼓之声,bai'xing'wen'wang'zhong'gu'zhi'sheng
百姓有过,bai'xing'you'guo
拜星月慢,bai'xing'yue'man
百姓悦之,bai'xing'yue'zhi
百姓之不见保,bai'xing'zhi'bu'jian'bao
败絮其中,bai'xu'qi'zhong
白雪歌送武判官归京,bai'xue'ge'song'wu'pan'guan'gui'jing
白雪却嫌春色晚,bai'xue'que'xian'chun'se'wan
白雁哀鸣去黄叶下,bai'yan'ai'ming'qu'huang'ye'xia
白也诗无敌,bai'ye'shi'wu'di
白衣裳凭朱阑立,bai'yi'shang'ping'zhu'lan'li
白银盘里一青螺,bai'yin'pan'li'yi'qing'luo
拜迎长官心欲碎,bai'ying'zhang'guan'xin'yu'sui
百有余年矣,bai'you'yu'nian'yi
白玉不毁,bai'yu'bu'hui
白雨跳珠乱入船,bai'yu'tiao'zhu'luan'ru'chuan
百越之君,bai'yue'zhi'jun
白云回望合,bai'yun'hui'wang'he
白云千载空悠悠,bai'yun'qian'zai'kong'you'you
白云深处有人家,bai'yun'shen'chu'you'ren'jia
白云生处有人家,bai'yun'sheng'chu'you'ren'jia
白云无尽时,bai'yun'wu'jin'shi
白云依静渚,bai'yun'yi'jing'zhu
白云一片去悠悠,bai'yun'yi'pian'qu'you'you
百战不殆,bai'zhan'bu'dai
百转黄鹂语,bai'zhuan'huang'li'yu
百啭千声随意移,bai'zhuan'qian'sheng'sui'yi'yi
百转千声随意移,bai'zhuan'qian'sheng'sui'yi'yi
百啭无人能解,bai'zhuan'wu'ren'neng'jie
百紫千红花正乱,bai'zi'qian'hong'hua'zheng'luan
颁白者不负戴于道路矣,ban'bai'zhe'bu'fu'dai'yu'dao'lu'yi
颁白者不负戴於道路矣,ban'bai'zhe'bu'fu'dai'yu'dao'lu'yi
半壁见海日,ban'bi'jian'hai'ri
板荡识诚臣,ban'dang'shi'cheng'chen
半篙波渐别浦萦回,ban'gao'bo'jian'bie'pu'ying'hui
半壶秋水荐黄花,ban'hu'qiu'shui'jian'huang'hua
半黄梅子,ban'huang'mei'zi
半江瑟瑟半江红,ban'jiang'se'se'ban'jiang'hong
半卷红旗临易水,ban'juan'hong'qi'lin'yi'shui
伴君幽独,ban'jun'you'du
半空烟雨,ban'kong'yan'yu
半零落依依,ban'ling'luo'yi'yi
半落梅花婉娩香,ban'luo'mei'hua'wan'mian'xiang
半亩方塘一鉴开,ban'mu'fang'tang'yi'jian'kai
半匹红绡一丈绫,ban'pi'hong'xiao'yi'zhang'ling
伴人一霎,ban'ren'yi'sha
半入江风半入云,ban'ru'jiang'feng'ban'ru'yun
半生已分孤眠过,ban'sheng'yi'fen'gu'mian'guo
半世浮萍随逝水,ban'shi'fu'ping'sui'shi'shui
伴我微吟,ban'wo'wei'yin
半醒半醉日复日,ban'xing'ban'zui'ri'fu'ri
半夜军行戈相拨,ban'ye'jun'xing'ge'xiang'bo
半夜凉初透,ban'ye'liang'chu'tou
半阴半晴云暮,ban'yin'ban'qing'yun'mu
半缘修道半缘君,ban'yuan'xiu'dao'ban'yuan'jun
斑骓一系无寻处,ban'zhui'yi'xi'wu'xun'chu
斑骓只系垂杨岸,ban'zhui'zhi'xi'chui'yang'an
邦分崩离析而不能守也,bang'fen'beng'li'xi'er'bu'neng'shou'ye
傍海棠偏爱,bang'hai'tang'pian'ai
傍花随柳过前川,bang'hua'sui'liu'guo'qian'chuan
邦君树塞门,bang'jun'shu'sai'men
邦君为两君之好,bang'jun'wei'liang'jun'zhi'hao
邦君之妻,bang'jun'zhi'qi
傍枯林古道,bang'ku'lin'gu'dao
傍邻闻者多叹息,bang'lin'wen'zhe'duo'tan'xi
傍柳系马,bang'liu'xi'ma
邦人称之曰,bang'ren'cheng'zhi'yue
邦无道如矢,bang'wu'dao'ru'shi
邦无道则可卷而怀之,bang'wu'dao'ze'ke'juan'er'huai'zhi
邦有道如矢,bang'you'dao'ru'shi
邦有道则仕,bang'you'dao'ze'shi
抱布贸丝,bao'bu'mao'si
宝钗楼上,bao'chai'lou'shang
宝钗楼外秋深,bao'chai'lou'wai'qiu'shen
宝钗贳酒,bao'chai'shi'jiu
褒禅山亦谓之华山,bao'chan'shan'yi'wei'zhi'hua'shan
保此道者,bao'ci'dao'zhe
报答平生未展眉,bao'da'ping'sheng'wei'zhan'mei
宝带金章,bao'dai'jin'zhang
报到山中去,bao'dao'shan'zhong'qu
报得三春晖,bao'de'san'chun'hui
报得三春辉,bao'de'san'chun'hui
抱德炀和,bao'de'yang'he
褒公鄂公毛发动,bao'gong'e'gong'mao'fa'dong
抱关击柝,bao'guan'ji'tuo
抱关击柝者,bao'guan'ji'tuo'zhe
苞裹六极,bao'guo'liu'ji
暴虎冯河,bao'hu'ping'he
暴见於王,bao'jian'yu'wang
宝镜难寻,bao'jing'nan'xun
包举宇内,bao'ju'yu'nei
暴君代作,bao'jun'dai'zuo
报君黄金台上意,bao'jun'huang'jin'tai'shang'yi
暴君污吏,bao'jun'wu'li
宝勒倚残云,bao'le'yi'can'yun
宝奁挂秋冷,bao'lian'gua'qiu'leng
宝奁如月不欺人,bao'lian'ru'yue'bu'qi'ren
宝帘闲挂小银钩,bao'lian'xian'gua'xiao'yin'gou
报刘之日短也,bao'liu'zhi'ri'duan'ye
宝马雕鞍,bao'ma'diao'an
宝马雕车香满路,bao'ma'diao'che'xiang'man'lu
抱明月而长终,bao'ming'yue'er'chang'zhong
暴其民甚,bao'qi'min'shen
报任安书节选,bao'ren'an'shu'jie'xuan
暴人之前者,bao'ren'zhi'qian'zhe
宝扇迎归九华帐,bao'shan'ying'gui'jiu'hua'zhang
宝扇重寻明月影,bao'shan'zhong'xun'ming'yue'ying
抱神以静,bao'shen'yi'jing
饱食终日,bao'shi'zhong'ri
薄霜庭院怯生衣,bao'shuang'ting'yuan'qie'sheng'yi
暴未有以对也,bao'wei'you'yi'dui'ye
抱瓮而出灌,bao'weng'er'chu'guan
抱膝思量,bao'xi'si'liang
宝杨花转,bao'yang'hua'zhuan
豹养其内而虎食其外,bao'yang'qi'nei'er'hu'shi'qi'wai
抱影无眠,bao'ying'wu'mian
胞有重阆,bao'you'zhong'lang
褒之庐冢也,bao'zhi'lu'zhong'ye
报之以李,bao'zhi'yi'li
暴之於民而民受之,bao'zhi'yu'min'er'min'shou'zhi
宝之至也,bao'zhi'zhi'ye
爆竹声中一岁除,bao'zhu'sheng'zhong'yi'sui'chu
背城渐杳,bei'cheng'jian'yao
陂池之鱼,bei'chi'zhi'yu
北窗高卧,bei'chuang'gao'wo
被箠楚受辱,bei'chui'chu'shou'ru
北村南郭,bei'cun'nan'guo
备得太尉遗事,bei'de'tai'wei'yi'shi
背灯和月就花阴,bei'deng'he'yue'jiu'hua'yin
北斗兼春远,bei'dou'jian'chun'yuan
北斗阑干南斗斜,bei'dou'lan'gan'nan'dou'xie
北斗七星高,bei'dou'qi'xing'gao
卑而不可不因者,bei'er'bu'ke'bu'yin'zhe
被发行歌而游于塘下,bei'fa'xing'ge'er'you'yu'tang'xia
被翻红浪,bei'fan'hong'lang
北方之贤者也,bei'fang'zhi'xian'zhe'ye
北方之学者,bei'fang'zhi'xue'zhe
背飞双燕贴云寒,bei'fei'shuang'yan'tie'yun'han
北风吹雁雪纷纷,bei'feng'chui'yan'xue'fen'fen
北风江上寒,bei'feng'jiang'shang'han
北风卷地白草折,bei'feng'juan'di'bai'cao'zhe
北风雨雪恨难裁,bei'feng'yu'xue'hen'nan'cai
背负青天而莫之夭阏者,bei'fu'qing'tian'er'mo'zhi'yao'yan'zhe
碑高三丈字如斗,bei'gao'san'zhang'zi'ru'dou
悲歌未彻,bei'ge'wei'che
北宫奢为卫灵公赋敛以为钟,bei'gong'she'wei'wei'ling'gong'fu'lian'yi'wei'zhong
卑宫室而尽力乎沟洫,bei'gong'shi'er'jin'li'hu'gou'xu
北宫问曰,bei'gong'wen'yue
北宫黝似子夏,bei'gong'you'si'zi'xia
北宫黝之养勇也,bei'gong'you'zhi'yang'yong'ye
北海若曰,bei'hai'ruo'yue
北海之帝为忽,bei'hai'zhi'di'wei'hu
悲恨相续,bei'hen'xiang'xu
背后何所见,bei'hou'he'suo'jian
北极朝庭终不改,bei'ji'chao'ting'zhong'bu'gai
北京中华书局,bei'jing'zhong'hua'shu'ju
被酒莫惊春睡重,bei'jiu'mo'jing'chun'shui'zhong
被冷香消新梦觉,bei'leng'xiang'xiao'xin'meng'jue
背立盈盈故作羞,bei'li'ying'ying'gu'zuo'xiu
北楼闲上,bei'lou'xian'shang
北邙无数荒丘,bei'mang'wu'shu'huang'qiu
北门成问于黄帝曰,bei'men'cheng'wen'yu'huang'di'yue
背面楚腰身,bei'mian'chu'yao'shen
北面而不见冥山,bei'mian'er'bu'jian'ming'shan
北面而问曰,bei'mian'er'wen'yue
北面稽首再拜而不受,bei'mian'qi'shou'zai'bai'er'bu'shou
北面之祸也,bei'mian'zhi'huo'ye
北冥有鱼,bei'ming'you'yu
杯盘狼籍,bei'pan'lang'ji
被驱不异犬与鸡,bei'qu'bu'yi'quan'yu'ji
北阙休上书,bei'que'xiu'shang'shu
背人还过木末,bei'ren'hai'guo'mu'mo
杯汝来前,bei'ru'lai'qian
背若泰山,bei'ruo'tai'shan
北山白云里,bei'shan'bai'yun'li
北山猿鹤,bei'shan'yuan'he
北上马岭,bei'shang'ma'ling
卑身而伏,bei'shen'er'fu
北收要害之郡,bei'shou'yao'hai'zhi'jun
备他盗出入与非常也,bei'ta'dao'chu'ru'yu'fei'chang'ye
备他盗之出入与非常也,bei'ta'dao'zhi'chu'ru'yu'fei'chang'ye
被他引惹其他恨,bei'ta'yin're'qi'ta'hen
北土非吾愿,bei'tu'fei'wu'yuan
备物将以形,bei'wu'jiang'yi'xing
被西风吹尽,bei'xi'feng'chui'jin
被惜余熏,bei'xi'yu'xun
北行见杏花,bei'xing'jian'xing'hua
北学於中国,bei'xue'yu'zhong'guo
被衣大说,bei'yi'da'shuo
杯中酒不空,bei'zhong'jiu'bu'kong
本长安倡女,ben'chang'an'chang'nv
奔凑如朝东,ben'cou'ru'chao'dong
本电子版,ben'dian'zi'ban
奔蜂不能化藿,ben'feng'bu'neng'hua'huo
本纪十二,ben'ji'shi'er
本立而道生,ben'li'er'dao'sheng
奔流到海不复回,ben'liu'dao'hai'bu'fu'hui
本是同根生,ben'shi'tong'gen'sheng
本图宦达,ben'tu'huan'da
本为蓝本,ben'wei'lan'ben
本以高难饱,ben'yi'gao'nan'bao
本在于上,ben'zai'yu'shang
本之则无,ben'zhi'ze'wu
本直中绳,ben'zhi'zhong'sheng
本自无教训,ben'zi'wu'jiao'xun
崩年亦在永安宫,beng'nian'yi'zai'yong'an'gong
迸泉飒飒飞木末,beng'quan'sa'sa'fei'mu'mo
必百乘之家,bi'bai'sheng'zhi'jia
彼必相与异,bi'bi'xiang'yu'yi
必变色而作,bi'bian'se'er'zuo
必表而出之,bi'biao'er'chu'zhi
彼不得梦,bi'bu'de'meng
必不得已而去,bi'bu'de'yi'er'qu
必不能禁失吾之悲,bi'bu'neng'jin'shi'wu'zhi'bei
必不胜任矣,bi'bu'sheng'ren'yi
必朝服而朝,bi'chao'fu'er'chao
鼻彻为颤,bi'che'wei'chan
必出乎无有,bi'chu'hu'wu'you
彼出于是,bi'chu'yu'shi
必从吾言矣,bi'cong'wu'yan'yi
必达其志,bi'da'qi'zhi
彼得全于酒而犹若是,bi'de'quan'yu'jiu'er'you'ruo'shi
彼夺其民时,bi'duo'qi'min'shi
彼恶得而鬻之,bi'e'de'er'yu'zhi
彼恶得而知之,bi'e'de'er'zhi'zhi
彼恶敢当我哉,bi'e'gan'dang'wo'zai
彼恶知之,bi'e'zhi'zhi
比而得禽兽,bi'er'de'qin'shou
彼方且与造物者为人,bi'fang'qie'yu'zao'wu'zhe'wei'ren
臂非如长也,bi'fei'ru'chang'ye
彼非所明而明之,bi'fei'suo'ming'er'ming'zhi
必分其能,bi'fen'qi'neng
必服恭俭,bi'fu'gong'jian
比干谏而死,bi'gan'jian'er'si
必告父母,bi'gao'fu'mu
彼固惑而来矣,bi'gu'huo'er'lai'yi
必固其根本,bi'gu'qi'gen'ben
必故强之,bi'gu'qiang'zhi
必故兴之,bi'gu'xing'zhi
彼故鬻之,bi'gu'yu'zhi
必故与之,bi'gu'yu'zhi
必故张之,bi'gu'zhang'zhi
彼故知之,bi'gu'zhi'zhi
必归其天,bi'gui'qi'tian
碧海飞金镜,bi'hai'fei'jin'jing
避含羞笑相语,bi'han'xiu'xiao'xiang'yu
比好游者尚不能十一,bi'hao'you'zhe'shang'bu'neng'shi'yi
彼何宾宾以学子为,bi'he'bin'bin'yi'xue'zi'wei
彼何人哉,bi'he'ren'zai
彼何人哉轩与羲,bi'he'ren'zai'xuan'yu'xi
彼何人者邪,bi'he'ren'zhe'xie
彼何暇安其性命之情哉,bi'he'xia'an'qi'xing'ming'zhi'qing'zai
彼何罪焉,bi'he'zui'yan
必积其德义,bi'ji'qi'de'yi
比及三年,bi'ji'san'nian
彼假修浑沌氏之术者也,bi'jia'xiu'hun'dun'shi'zhi'shu'zhe'ye
毕见其情事而行其所为,bi'jian'qi'qing'shi'er'xing'qi'suo'wei
彼将处乎不淫之度,bi'jiang'chu'hu'bu'yin'zhi'du
彼将内求于己而不得,bi'jiang'nei'qiu'yu'ji'er'bu'de
彼教不学,bi'jiao'bu'xue
彼皆与我之所同,bi'jie'yu'wo'zhi'suo'tong
彼节者有间而刀刃者无厚,bi'jie'zhe'you'jian'er'dao'ren'zhe'wu'hou
彼近吾死而我不听,bi'jin'wu'si'er'wo'bu'ting
必敬必戒,bi'jing'bi'jie
必静必清,bi'jing'bi'qing
毕竟东流去,bi'jing'dong'liu'qu
毕竟西湖六月中,bi'jing'xi'hu'liu'yue'zhong
必浚其泉源,bi'jun'qi'quan'yuan
必来取法,bi'lai'qu'fa
壁立千仞,bi'li'qian'ren
碧楼帘影不遮愁,bi'lou'lian'ying'bu'zhe'chou
鄙陋没世,bi'lou'mo'shi
笔落惊风雨,bi'luo'jing'feng'yu
碧落知何许,bi'luo'zhi'he'xu
必慢其经界,bi'man'qi'jing'jie
闭门愁寂,bi'men'chou'ji
彼民有常性,bi'min'you'chang'xing
逼迫兼阿兄,bi'po'jian'a'xiong
逼迫有阿母,bi'po'you'a'mu
彼其道幽远而无人,bi'qi'dao'you'yuan'er'wu'ren
彼其道远而险,bi'qi'dao'yuan'er'xian
比其反也,bi'qi'fan'ye
彼其乎归居,bi'qi'hu'gui'ju
必齐如也,bi'qi'ru'ye
避其锐气,bi'qi'rui'qi
彼其所殉仁义也,bi'qi'suo'xun'ren'yi'ye
彼其所以会之,bi'qi'suo'yi'hui'zhi
彼其外与,bi'qi'wai'yu
彼其物无测,bi'qi'wu'wu'ce
彼其物无穷,bi'qi'wu'wu'qiong
必齐以静心,bi'qi'yi'jing'xin
