鞍底,an'di
胫骨外侧髁,jing'gu'wai'ce'ke
胫骨外侧平台,jing'gu'wai'ce'ping'tai
颈后三角区淋巴结,jing'hou'san'jiao'qu'lin'ba'jie
颈静脉链,jing'jing'mai'lian
颈静脉球,jing'jing'mai'qiu
颈静脉球高位,jing'jing'mai'qiu'gao'wei
颈静脉窝,jing'jing'mai'wo
静脉石,jing'mai'shi
静脉压,jing'mai'ya
静脉压性肺水肿,jing'mai'ya'xing'fei'shui'zhong
颈内静脉链上组,jing'nei'jing'mai'lian'shang'zu
颈内静脉链下组,jing'nei'jing'mai'lian'xia'zu
颈内静脉中组,jing'nei'jing'mai'zhong'zu
颈内外动脉,jing'nei'wai'dong'mai
颈椎,jing'zhui
颈椎骨质增生,jing'zhui'gu'zhi'zeng'sheng
颈椎退行性变,jing'zhui'tui'xing'xing'bian
颈总动脉,jing'zong'dong'mai
局部,ju'bu
距腓后韧带,ju'fei'hou'ren'dai
距跟后韧带,ju'gen'hou'ren'dai
距骨,ju'gu
局限性向后方突出,ju'xian'xing'xiang'hou'fang'tu'chu
局限型子宫腺肌症,ju'xian'xing'zi'gong'xian'ji'zheng
居中,ju'zhong
均见,jun'jian
均匀,jun'yun
卡氏肺孢子菌肺炎,ka'shi'fei'bao'zi'jun'fei'yan
髁间隆起,ke'jian'long'qi
颏下,ke'xia
颏下及颌下淋巴结,ke'xia'ji'he'xia'lin'ba'jie
空蝶鞍,kong'die'an
空洞影,kong'dong'ying
空泡,kong'pao
空泡蝶鞍,kong'pao'die'an
扣带回,kou'dai'hui
快速反转恢复,kuai'su'fan'zhuan'hui'fu
快速自旋回波,kuai'su'zi'xuan'hui'bo
髋关节,kuan'guan'jie
宽基底,kuan'ji'di
朗格汉斯细胞性组织细胞增生症,lang'ge'han'si'xi'bao'xing'zu'zhi'xi'bao'zeng'sheng'zheng
肋骨三维成像,lei'gu'san'wei'cheng'xiang
两侧侧隐窝,liang'ce'ce'yin'wo
两侧放射冠,liang'ce'fang'she'guan
两侧基底节区,liang'ce'ji'di'jie'qu
两侧神经根,liang'ce'shen'jing'gen
两侧神经根出口变窄,liang'ce'shen'jing'gen'chu'kou'bian'zhai
两侧神经根出口未见变窄,liang'ce'shen'jing'gen'chu'kou'wei'jian'bian'zhai
两侧神经根受压,liang'ce'shen'jing'gen'shou'ya
两侧肾上腺,liang'ce'shen'shang'xian
两侧外耳道,liang'ce'wai'er'dao
两侧外耳道软组织密度影,liang'ce'wai'er'dao'ruan'zu'zhi'mi'du'ying
两侧胸膜肥厚,liang'ce'xiong'mo'fei'hou
两侧胸膜腔见,liang'ce'xiong'mo'qiang'jian
两侧胸膜腔未见积液,liang'ce'xiong'mo'qiang'wei'jian'ji'ye
两侧咽旁间隔,liang'ce'yan'pang'jian'ge
两侧咽隐窝,liang'ce'yan'yin'wo
两侧椎间孔,liang'ce'zhui'jian'kong
两肺下叶,liang'fei'xia'ye
两肺炎症,liang'fei'yan'zheng
淋巴结,lin'ba'jie
淋巴结肿大,lin'ba'jie'zhong'da
邻近椎间盘疝入,lin'jin'zhui'jian'pan'shan'ru
颅底,lu'di
颅底骨质,lu'di'gu'zhi
颅骨骨质及头皮未见异常信号影,lu'gu'gu'zhi'ji'tou'pi'wei'jian'yi'chang'xin'hao'ying
颅骨内板外见,lu'gu'nei'ban'wai'jian
颅骨内板下见,lu'gu'nei'ban'xia'jian
颅骨未见骨折征,lu'gu'wei'jian'gu'zhe'zheng
略大,lue'da
略低,lue'di
轮廓征,lun'kuo'zheng
马尾神经,ma'wei'shen'jing
马尾神经冗余,ma'wei'shen'jing'rong'yu
慢性期,man'xing'qi
慢支,man'zhi
毛糙,mao'cao
毛刺,mao'ci
门脉期,men'mai'qi
密度增高,mi'du'zeng'gao
密度增高模糊影,mi'du'zeng'gao'mo'hu'ying
密度增高影,mi'du'zeng'gao'ying
弥漫性轴索损伤,mi'man'xing'zhou'suo'sun'shang
弥漫液性密度影,mi'man'ye'xing'mi'du'ying
弥散加权成像,mi'san'jia'quan'cheng'xiang
弥散受限,mi'san'shou'xian
磨玻璃结节,mo'bo'li'jie'jie
磨玻璃结节影,mo'bo'li'jie'jie'ying
磨玻璃影,mo'bo'li'ying
砪长屈肌,mu'chang'qu'ji
砪长屈肌肌腱,mu'chang'qu'ji'ji'jian
拇指,mu'zhi
囊肿,nang'zhong
囊状,nang'zhuang
囊状影,nang'zhuang'ying
脑白质疏松,nao'bai'zhi'shu'song
脑出血,nao'chu'xue
脑梗死,nao'geng'si
脑回样,nao'hui'yang
脑脊液,nao'ji'ye
脑脊液样信号影,nao'ji'ye'yang'xin'hao'ying
脑膜,nao'mo
脑桥,nao'qiao
脑桥臂,nao'qiao'bi
脑桥中央髓鞘溶解,nao'qiao'zhong'yang'sui'qiao'rong'jie
脑炎,nao'yan
脑质,nao'zhi
内侧半月板,nei'ce'ban'yue'ban
内侧楔骨,nei'ce'xie'gu
内低外高信号,nei'di'wai'gao'xin'hao
内含,nei'han
内踝,nei'huai
内膜,nei'mo
内上髁,nei'shang'ke
内听道,nei'ting'dao
内有,nei'you
泥沙样,ni'sha'yang
泥沙样结石影,ni'sha'yang'jie'shi'ying
粘膜,nian'mo
粘膜下,nian'mo'xia
粘膜下囊肿,nian'mo'xia'nang'zhong
粘膜下子宫肌瘤,nian'mo'xia'zi'gong'ji'liu
粘液,nian'ye
粘液性囊腺瘤,nian'ye'xing'nang'xian'liu
颞叶,nie'ye
扭曲,niu'qu
脓肿,nong'zhong
排除,pai'chu
膀胱,pang'guang
膀胱结石,pang'guang'jie'shi
膀胱直肠窝,pang'guang'zhi'chang'wo
旁中央型,pang'zhong'yang'xing
盆壁,pen'bi
盆壁未见肿大淋巴结影,pen'bi'wei'jian'zhong'da'lin'ba'jie'ying
膨出,peng'chu
膨胀不全,peng'zhang'bu'quan
皮层,pi'ceng
皮肤完整,pi'fu'wan'zheng
皮下脂肪,pi'xia'zhi'fang
偏高,pian'gao
胼胝体,pian'zhi'ti
平衡期,ping'heng'qi
平扫,ping'sao
破入,po'ru
普遍,pu'bian
脐凹陷,qi'ao'xian
脐凹陷切迹,qi'ao'xian'qie'ji
气房,qi'fang
气腹,qi'fu
气管旁淋巴结,qi'guan'pang'lin'ba'jie
气管前,qi'guan'qian
其余未见异常,qi'yu'wei'jian'yi'chang
髂股韧带,qia'gu'ren'dai
髂内,qia'nei
髂前韧带,qia'qian'ren'dai
髂腰韧带,qia'yao'ren'dai
前床突,qian'chuang'tu
前方,qian'fang
前方突出,qian'fang'tu'chu
欠光整,qian'guang'zheng
前后,qian'hou
前后角,qian'hou'jiao
前后径约,qian'hou'jing'yue
前踝,qian'huai
前交叉韧带,qian'jiao'cha'ren'dai
前颅窝,qian'lu'wo
前纵裂池,qian'zong'lie'chi
强化,qiang'hua
腔内,qiang'nei
腔隙性,qiang'xi'xing
腔隙性脑梗死,qiang'xi'xing'nao'geng'si
鞘膜腔,qiao'mo'qiang
桥脑,qiao'nao
侵犯,qin'fan
请结合,qing'jie'he
请结合临床,qing'jie'he'lin'chuang
丘脑,qiu'nao
桡骨,rao'gu
桡骨颈,rao'gu'jing
桡骨小头,rao'gu'xiao'tou
韧带,ren'dai
人字缝,ren'zi'feng
冗余,rong'yu
乳房后间隙,ru'fang'hou'jian'xi
乳头无凹陷,ru'tou'wu'ao'xian
乳突,ru'tu
乳突炎,ru'tu'yan
乳腺悬韧带清晰,ru'xian'xuan'ren'dai'qing'xi
软骨,ruan'gu
软组织,ruan'zu'zhi
软组织密度影,ruan'zu'zhi'mi'du'ying
软组织肿胀,ruan'zu'zhi'zhong'zhang
腮腺,sai'xian
三角骨,san'jiao'gu
三角肌,san'jiao'ji
三角区,san'jiao'qu
三维重建,san'wei'chong'jian
筛窦,shai'dou
疝入,shan'ru
上方,shang'fang
上腹部,shang'fu'bu
上关节突,shang'guan'jie'tu
上颌部,shang'he'bu
上颌窦,shang'he'dou
上颌窦壁,shang'he'dou'bi
上颌窦窦口,shang'he'dou'dou'kou
上颌骨,shang'he'gu
上矢状窦,shang'shi'zhuang'dou
上盂唇,shang'yu'chun
上纵隔淋巴结,shang'zong'ge'lin'ba'jie
稍低密度影,shao'di'mi'du'ying
稍低信号,shao'di'xin'hao
稍高,shao'gao
稍高密度影,shao'gao'mi'du'ying
稍高信号,shao'gao'xin'hao
少许,shao'xu
舌根,she'gen
肾积水,shen'ji'shui
肾结石,shen'jie'shi
神经垂体,shen'jing'chui'ti
神经根,shen'jing'gen
神经根出口变窄,shen'jing'gen'chu'kou'bian'zhai
神经根出口未见明显变窄,shen'jing'gen'chu'kou'wei'jian'ming'xian'bian'zhai
神经根束膜囊肿,shen'jing'gen'shu'mo'nang'zhong
神经根袖囊肿,shen'jing'gen'xiu'nang'zhong
申请单无相关病史,shen'qing'dan'wu'xiang'guan'bing'shi
肾上腺,shen'shang'xian
渗透,shen'tou
渗透性,shen'tou'xing
渗透性肺水肿,shen'tou'xing'fei'shui'zhong
渗透性脱髓鞘综合征,shen'tou'xing'tuo'sui'qiao'zong'he'zheng
食管,shi'guan
实性,shi'xing
实性结节,shi'xing'jie'jie
矢状缝,shi'zhuang'feng
数个,shu'ge
术后,shu'hou
输尿管,shu'niao'guan
输尿管结石,shu'niao'guan'jie'shi
输尿管上段,shu'niao'guan'shang'duan
输尿管下段,shu'niao'guan'xia'duan
输尿管行走区,shu'niao'guan'xing'zou'qu
输尿管中段,shu'niao'guan'zhong'duan
树芽征,shu'ya'zheng
双侧髋关节,shuang'ce'kuan'guan'jie
双侧声带,shuang'ce'sheng'dai
双侧外耳道,shuang'ce'wai'er'dao
双侧外耳道软组织密度影,shuang'ce'wai'er'dao'ruan'zu'zhi'mi'du'ying
双侧咽隐窝清晰,shuang'ce'yan'yin'wo'qing'xi
双侧椎动脉,shuang'ce'zhui'dong'mai
双肺透过度下降,shuang'fei'tou'guo'du'xia'jiang
双肾结石,shuang'shen'jie'shi
双膝,shuang'xi
双下鼻甲,shuang'xia'bi'jia
双下鼻甲肥厚,shuang'xia'bi'jia'fei'hou
水质子图,shui'zhi'zi'tu
水肿灶,shui'zhong'zao
撕脱,si'tuo
撕脱性,si'tuo'xing
撕脱性骨折,si'tuo'xing'gu'zhe
粟粒状,su'li'zhuang
粟粒状影,su'li'zhuang'ying
随访,sui'fang
髓核,sui'he
碎石路征,sui'shi'lu'zheng
锁骨,suo'gu
锁骨上窝,suo'gu'shang'wo
所及,suo'ji
所及颈部软组织结构对称,suo'ji'jing'bu'ruan'zu'zhi'jie'gou'dui'chen
所及肋骨骨质未见异常,suo'ji'lei'gu'gu'zhi'wei'jian'yi'chang
所见,suo'jian
索条状,suo'tiao'zhuang
缩小,suo'xiao
梭形,suo'xing
体部,ti'bu
提示贫血可能,ti'shi'pin'xue'ke'neng
填充,tian'chong
条状,tiao'zhuang
通畅,tong'chang
骰骨,tou'gu
透明隔腔,tou'ming'ge'qiang
头皮肿胀,tou'pi'zhong'zhang
头状骨,tou'zhuang'gu
图呈,tu'cheng
突出,tu'chu
团块状,tuan'kuai'zhuang
团状,tuan'zhuang
团状软组织密度影,tuan'zhuang'ruan'zu'zhi'mi'du'ying
团状软组织信号影,tuan'zhuang'ruan'zu'zhi'xin'hao'ying
脱出,tuo'chu
外侧半月板,wai'ce'ban'yue'ban
外侧楔骨,wai'ce'xie'gu
外侧型,wai'ce'xing
外带,wai'dai
外耳道,wai'er'dao
外踝,wai'huai
外上髁,wai'shang'ke
外听道,wai'ting'dao
完整,wan'zheng
胃肠穿孔可能,wei'chang'chuan'kong'ke'neng
未除外其他病变,wei'chu'wai'qi'ta'bing'bian
未达,wei'da
未达关节面缘,wei'da'guan'jie'mian'yuan
胃底,wei'di
韦尔加室,wei'er'jia'shi
韦格纳肉芽肿,wei'ge'na'rou'ya'zhong
未见充盈,wei'jian'chong'ying
未见充盈缺,wei'jian'chong'ying'que
未见积水征,wei'jian'ji'shui'zheng
未见局灶性变细或增粗,wei'jian'ju'zao'xing'bian'xi'huo'zeng'cu
未见明显异常,wei'jian'ming'xian'yi'chang
未见明显增大淋巴结,wei'jian'ming'xian'zeng'da'lin'ba'jie
未见强化,wei'jian'qiang'hua
未见胸水征,wei'jian'xiong'shui'zheng
未见异常,wei'jian'yi'chang
未见异常密度影,wei'jian'yi'chang'mi'du'ying
微腺瘤,wei'xian'liu
尾状核,wei'zhuang'he
无肺纹理透亮影,wu'fei'wen'li'tou'liang'ying
无菌性,wu'jun'xing
无菌性坏死,wu'jun'xing'huai'si
无明显增厚,wu'ming'xian'zeng'hou
无强化,wu'qiang'hua
矽肺,xi'fei
吸收,xi'shou
稀疏,xi'shu
峡部,xia'bu
下方,xia'fang
下腹,xia'fu
下腹部,xia'fu'bu
下关节突,xia'guan'jie'tu
下颌部,xia'he'bu
下颌骨,xia'he'gu
下丘脑,xia'qiu'nao
下矢状窦,xia'shi'zhuang'dou
狭窄,xia'zhai
腺垂体,xian'chui'ti
腺瘤,xian'liu
显示,xian'shi
纤维化,xian'wei'hua
纤维灶,xian'wei'zao
腺样体,xian'yang'ti
腺样体肥大,xian'yang'ti'fei'da
线状,xian'zhuang
相连,xiang'lian
相邻,xiang'lin
相应气道受压变窄,xiang'ying'qi'dao'shou'ya'bian'zhai
小多角骨,xiao'duo'jiao'gu
小片状,xiao'pian'zhuang
小条状,xiao'tiao'zhuang
斜方肌,xie'fang'ji
楔骨,xie'gu
楔形,xie'xing
心包积液,xin'bao'ji'ye
心包腔,xin'bao'qiang
信号均匀,xin'hao'jun'yun
信号影,xin'hao'ying
新近,xin'jin
新生儿,xin'sheng'er
新生儿缺氧缺血性脑病,xin'sheng'er'que'yang'que'xue'xing'nao'bing
心室腔,xin'shi'qiang
心影大,xin'ying'da
心源性,xin'yuan'xing
心源性肺水肿,xin'yuan'xing'fei'shui'zhong
新月形,xin'yue'xing
新月形积液,xin'yue'xing'ji'ye
心脏,xin'zang
心脏不大,xin'zang'bu'da
心脏大,xin'zang'da
性质,xing'zhi
性质待定,xing'zhi'dai'ding
行走自然,xing'zou'zi'ran
胸骨角,xiong'gu'jiao
胸廓前后径增大,xiong'kuo'qian'hou'jing'zeng'da
胸廓塌陷,xiong'kuo'ta'xian
胸膜肥厚,xiong'mo'fei'hou
胸膜腔,xiong'mo'qiang
胸膜腔未见积液,xiong'mo'qiang'wei'jian'ji'ye
胸锁乳突肌,xiong'suo'ru'tu'ji
胸椎,xiong'zhui
序列,xu'lie
絮状,xu'zhuang
血管,xue'guan
血管周围,xue'guan'zhou'wei
血管周围间隙扩大,xue'guan'zhou'wei'jian'xi'kuo'da
血栓,xue'shuan
血肿,xue'zhong
亚急性期,ya'ji'xing'qi
哑铃状,ya'ling'zhuang
压缩性骨折,ya'suo'xing'gu'zhe
牙源性角化囊肿,ya'yuan'xing'jiao'hua'nang'zhong
