安达,an'da
一直没有联系,yi'zhi'mei'you'lian'xi
一种输入法,yi'zhong'shu'ru'fa
用不用我教你,yong'bu'yong'wo'jiao'ni
用代理,yong'dai'li
用手机连,yong'shou'ji'lian
榆林镇,yu'lin'zhen
袁哲,yuan'zhe
运行环境,yun'xing'huan'jing
杂草的,za'cao'de
咋没来呢,za'mei'lai'ne
咋整的呀,za'zheng'de'ya
在安达,zai'an'da
在大庆,zai'da'qing
在关注的,zai'guan'zhu'de
在哈市,zai'ha'shi
在海伦,zai'hai'lun
在佳木斯,zai'jia'mu'si
在街里,zai'jie'li
在兰西,zai'lan'xi
在明水,zai'ming'shui
在庆安,zai'qing'an
在青冈,zai'qing'gang
在绥化,zai'sui'hua
在绥化呢,zai'sui'hua'ne
在绥棱,zai'sui'ling
在屯子,zai'tun'zi
在望奎,zai'wang'kui
在肇东,zai'zhao'dong
涨脑丸,zhang'nao'wan
肇东,zhao'dong
肇东的,zhao'dong'de
肇东了,zhao'dong'le
肇东呢,zhao'dong'ne
肇东市,zhao'dong'shi
着忙,zhao'mang
这两下子,zhe'liang'xia'zi
这死出,zhe'si'chu
着笑,zhe'xiao
真情逸翁,zhen'qing'yi'weng
真情硬汉,zhen'qing'ying'han
真像样,zhen'xiang'yang
整没用,zheng'mei'yong
整没用的,zheng'mei'yong'de
正式服,zheng'shi'fu
正阳街,zheng'yang'jie
直接登录,zhi'jie'deng'lu
植入性,zhi'ru'xing
钟表社,zhong'biao'she
中央商城,zhong'yang'shang'cheng
中直,zhong'zhi
撞毁,zhuang'hui
自己想原因,zi'ji'xiang'yuan'yin
最后一个区,zui'hou'yi'ge'qu
最近更新,zui'jin'geng'xin
坐线车,zuo'xian'che
