按比例缩小,an'bi'li'suo'xiao
淀积率,dian'ji'lv
点接触二极管,dian'jie'chu'er'ji'guan
电抗,dian'kang
电抗定理,dian'kang'ding'li
电抗网络,dian'kang'wang'luo
电可擦编程只读存储器,dian'ke'ca'bian'cheng'zhi'du'cun'chu'qi
电离层传播,dian'li'ceng'chuan'bo
电流放大器,dian'liu'fang'da'qi
电流开关型逻辑,dian'liu'kai'guan'xing'luo'ji
电路仿真,dian'lu'fang'zhen
电路提取,dian'lu'ti'qu
电路拓扑学,dian'lu'tuo'pu'xue
电纳,dian'na
电偶极子,dian'ou'ji'zi
电抛光,dian'pao'guang
电平,dian'ping
电平漂移二极管,dian'ping'piao'yi'er'ji'guan
电迁徙,dian'qian'xi
电容电压法,dian'rong'dian'ya'fa
电压放大器,dian'ya'fang'da'qi
电压控制雪崩振荡器,dian'ya'kong'zhi'xue'beng'zhen'dang'qi
电轴,dian'zhou
电子电话电路,dian'zi'dian'hua'dian'lu
电子核子双共振谱学,dian'zi'he'zi'shuang'gong'zhen'pu'xue
电子回旋共振加热,dian'zi'hui'xuan'gong'zhen'jia're
电子能量损失能谱学,dian'zi'neng'liang'sun'shi'neng'pu'xue
电子扫描,dian'zi'sao'miao
电子束半导体器件,dian'zi'shu'ban'dao'ti'qi'jian
电子束光刻,dian'zi'shu'guang'ke
电子束光刻胶,dian'zi'shu'guang'ke'jiao
电子束曝光系统,dian'zi'shu'pu'guang'xi'tong
电子束切片,dian'zi'shu'qie'pian
电子束蒸发,dian'zi'shu'zheng'fa
电子双共振谱学,dian'zi'shuang'gong'zhen'pu'xue
电子探针,dian'zi'tan'zhen
电子专业词汇,dian'zi'zhuan'ye'ci'hui
电子自旋共振谱学,dian'zi'zi'xuan'gong'zhen'pu'xue
调角,diao'jiao
调相器,diao'xiang'qi
叠加定理,die'jia'ding'li
丁类放大器,ding'lei'fang'da'qi
定向,ding'xiang
定向耦合器,ding'xiang'ou'he'qi
定向天线,ding'xiang'tian'xian
定制集成电路,ding'zhi'ji'cheng'dian'lu
动态滤波器,dong'tai'lv'bo'qi
动态随机存取存储器,dong'tai'sui'ji'cun'qu'cun'chu'qi
斗链器件,dou'lian'qi'jian
读出放大器,du'chu'fang'da'qi
短程透镜天线,duan'cheng'tou'jing'tian'xian
短沟效应,duan'gou'xiao'ying
短截线,duan'jie'xian
端口,duan'kou
短路线,duan'lu'xian
短路终端,duan'lu'zhong'duan
端射阵天线,duan'she'zhen'tian'xian
对称网络,dui'chen'wang'luo
对称振子天线,dui'chen'zhen'zi'tian'xian
对流层传播,dui'liu'ceng'chuan'bo
对偶网络,dui'ou'wang'luo
对偶性,dui'ou'xing
对数放大器,dui'shu'fang'da'qi
对数周期天线,dui'shu'zhou'qi'tian'xian
对准精度,dui'zhun'jing'du
钝化工艺,dun'hua'gong'yi
多波束天线,duo'bo'shu'tian'xian
多层光刻胶,duo'ceng'guang'ke'jiao
多层介质钝化,duo'ceng'jie'zhi'dun'hua
多层金属化,duo'ceng'jin'shu'hua
多端网络,duo'duan'wang'luo
多晶硅发射极晶体管,duo'jing'gui'fa'she'ji'jing'ti'guan
多孔硅氧化隔离,duo'kong'gui'yang'hua'ge'li
多口网络,duo'kou'wang'luo
多片电路,duo'pian'dian'lu
多谐振荡器,duo'xie'zhen'dang'qi
多余因数,duo'yu'yin'shu
多元胞法,duo'yuan'bao'fa
扼流法兰盘,e'liu'fa'lan'pan
扼流关节,e'liu'guan'jie
扼流式活塞,e'liu'shi'huo'sai
俄歇电子能谱学,e'xie'dian'zi'neng'pu'xue
二端网络,er'duan'wang'luo
二硅化物,er'gui'hua'wu
二极管,er'ji'guan
二口网络,er'kou'wang'luo
二氧化硅,er'yang'hua'gui
二氧化硅乳胶抛光,er'yang'hua'gui'ru'jiao'pao'guang
发射机,fa'she'ji
发射极耦合逻辑,fa'she'ji'ou'he'luo'ji
发射结,fa'she'jie
发射器,fa'she'qi
发射区,fa'she'qu
发射区陷落效应,fa'she'qu'xian'luo'xiao'ying
返波振荡器,fan'bo'zhen'dang'qi
反馈,fan'kui
反射,fan'she
反射高能电子衍射,fan'she'gao'neng'dian'zi'yan'she
反射系数,fan'she'xi'shu
反渗透,fan'shen'tou
反向二极管,fan'xiang'er'ji'guan
反向击穿电压,fan'xiang'ji'chuan'dian'ya
反相器,fan'xiang'qi
反应溅射,fan'ying'jian'she
反应溅射刻蚀,fan'ying'jian'she'ke'shi
反应离子刻蚀,fan'ying'li'zi'ke'shi
反应蒸发,fan'ying'zheng'fa
方波,fang'bo
放大,fang'da
方向滤波器,fang'xiang'lv'bo'qi
方向性,fang'xiang'xing
方向性增益,fang'xiang'xing'zeng'yi
仿真器,fang'zhen'qi
仿真线,fang'zhen'xian
非互易网络,fei'hu'yi'wang'luo
非互易移相器,fei'hu'yi'yi'xiang'qi
非门,fei'men
菲涅耳等值线,fei'nie'er'deng'zhi'xian
菲涅耳区,fei'nie'er'qu
非平面网络,fei'ping'mian'wang'luo
非线性集成电路,fei'xian'xing'ji'cheng'dian'lu
非线性失真,fei'xian'xing'shi'zhen
非线性网络,fei'xian'xing'wang'luo
飞行时间质谱仪,fei'xing'shi'jian'zhi'pu'yi
非逸失性半导体存储器,fei'yi'shi'xing'ban'dao'ti'cun'chu'qi
非阈逻辑,fei'yu'luo'ji
非周期天线,fei'zhou'qi'tian'xian
分布参数集成电路,fen'bu'can'shu'ji'cheng'dian'lu
分布参数网络,fen'bu'can'shu'wang'luo
分步重复系统,fen'bu'chong'fu'xi'tong
分级设计法,fen'ji'she'ji'fa
分米波,fen'mi'bo
分频,fen'pin
分频器,fen'pin'qi
分时地址缓冲器,fen'shi'di'zhi'huan'chong'qi
分子振荡器,fen'zi'zhen'dang'qi
峰化器,feng'hua'qi
封口,feng'kou
缝隙天线,feng'xi'tian'xian
峰值检波,feng'zhi'jian'bo
封装,feng'zhuang
副瓣,fu'ban
腹点,fu'dian
幅度检波,fu'du'jian'bo
负反馈,fu'fan'kui
负反馈放大器,fu'fan'kui'fang'da'qi
副反射器,fu'fan'she'qi
符号布图法,fu'hao'bu'tu'fa
复合靶,fu'he'ba
符合门,fu'he'men
复极化比,fu'ji'hua'bi
复频率,fu'pin'lv
幅频特性,fu'pin'te'xing
辐射,fu'she
辐射器,fu'she'qi
辐射强度,fu'she'qiang'du
辐射效率,fu'she'xiao'lv
赋形波束天线,fu'xing'bo'shu'tian'xian
负性光刻胶,fu'xing'guang'ke'jiao
幅移键控,fu'yi'jian'kong
俘越二极管,fu'yue'er'ji'guan
负载,fu'zai
附着,fu'zhuo
负阻振荡器,fu'zu'zhen'dang'qi
干版,gan'ban
干法刻蚀,gan'fa'ke'shi
感抗,gan'kang
干扰哨声,gan'rao'shao'sheng
干涉仪天线,gan'she'yi'tian'xian
干氧氧化,gan'yang'yang'hua
高场畴雪崩振荡,gao'chang'chou'xue'beng'zhen'dang
高电子迁移率场效晶体管,gao'dian'zi'qian'yi'lv'chang'xiao'jing'ti'guan
高分辨率版,gao'fen'bian'lv'ban
高频放大器,gao'pin'fang'da'qi
高通滤波器,gao'tong'lv'bo'qi
高压硅堆,gao'ya'gui'dui
高压氧化,gao'ya'yang'hua
高阈逻辑,gao'yu'luo'ji
铬版,ge'ban
格雷戈里反射面天线,ge'lei'ge'li'fan'she'mian'tian'xian
隔离度,ge'li'du
隔离放大器,ge'li'fang'da'qi
隔离工艺,ge'li'gong'yi
隔离器,ge'li'qi
隔膜波导,ge'mo'bo'dao
各向同性辐射器,ge'xiang'tong'xing'fu'she'qi
各向同性刻蚀,ge'xiang'tong'xing'ke'shi
各向同性媒质,ge'xiang'tong'xing'mei'zhi
各向异性刻蚀,ge'xiang'yi'xing'ke'shi
各向异性媒质,ge'xiang'yi'xing'mei'zhi
格型滤波器,ge'xing'lv'bo'qi
跟踪,gen'zong
耿氏二极管,geng'shi'er'ji'guan
耿氏效应振荡器,geng'shi'xiao'ying'zhen'dang'qi
共极化,gong'ji'hua
共溅射,gong'jian'she
功率,gong'lv
功率反射率,gong'lv'fan'she'lv
功率放大器,gong'lv'fang'da'qi
功率分配器,gong'lv'fen'pei'qi
功率透射率,gong'lv'tou'she'lv
共模抑制比,gong'mo'yi'zhi'bi
共形天线,gong'xing'tian'xian
共形阵天线,gong'xing'zhen'tian'xian
工艺过程监测,gong'yi'guo'cheng'jian'ce
工艺模拟,gong'yi'mo'ni
共蒸发,gong'zheng'fa
沟槽,gou'cao
沟道效应,gou'dao'xiao'ying
固体电路,gu'ti'dian'lu
故障诊断,gu'zhang'zhen'duan
管壳,guan'ke
管芯,guan'xin
光掺杂,guang'chan'za
光电池,guang'dian'chi
光电二极管,guang'dian'er'ji'guan
光电晶体管,guang'dian'jing'ti'guan
光刻,guang'ke
光刻机,guang'ke'ji
光刻胶,guang'ke'jiao
光声光谱学,guang'sheng'guang'pu'xue
光声拉曼谱学,guang'sheng'la'man'pu'xue
光学投影曝光法,guang'xue'tou'ying'pu'guang'fa
硅编译器,gui'bian'yi'qi
硅化物,gui'hua'wu
硅汇编程序,gui'hui'bian'cheng'xu
硅栅自对准工艺,gui'shan'zi'dui'zhun'gong'yi
归一化阻抗,gui'yi'hua'zu'kang
硅栅,gui'zha
滚槽法,gun'cao'fa
过渡带,guo'du'dai
行波,hang'bo
行波天线,hang'bo'tian'xian
行译码器,hang'yi'ma'qi
耗尽层,hao'jin'ceng
耗尽型场效晶体管,hao'jin'xing'chang'xiao'jing'ti'guan
毫米波,hao'mi'bo
耗散因数,hao'san'yin'shu
和波束,he'bo'shu
合成孔径,he'cheng'kong'jing
合金二极管,he'jin'er'ji'guan
合金结,he'jin'jie
合金晶体管,he'jin'jing'ti'guan
盒形天线,he'xing'tian'xian
横波,heng'bo
横磁模,heng'ci'mo
横电磁模,heng'dian'ci'mo
横电模,heng'dian'mo
横向寄生晶体管,heng'xiang'ji'sheng'jing'ti'guan
横向滤波器,heng'xiang'lv'bo'qi
宏单元,hong'dan'yuan
红外干涉法,hong'wai'gan'she'fa
红外键合,hong'wai'jian'he
后烘,hou'hong
互补晶体管逻辑,hu'bu'jing'ti'guan'luo'ji
互感应,hu'gan'ying
互连,hu'lian
互调,hu'tiao
互易定理,hu'yi'ding'li
互易网络,hu'yi'wang'luo
滑动负载,hua'dong'fu'zai
滑动螺钉调配器,hua'dong'luo'ding'tiao'pei'qi
划片,hua'pian
化学分析电子能电子能谱谱学,hua'xue'fen'xi'dian'zi'neng'dian'zi'neng'pu'pu'xue
化学共沉淀工艺,hua'xue'gong'chen'dian'gong'yi
化学机械抛光,hua'xue'ji'xie'pao'guang
化学抛光,hua'xue'pao'guang
化学液相淀积,hua'xue'ye'xiang'dian'ji
缓冲场效晶体管逻辑,huan'chong'chang'xiao'jing'ti'guan'luo'ji
缓冲放大器,huan'chong'fang'da'qi
环路,huan'lu
环面反射器,huan'mian'fan'she'qi
环天线,huan'tian'xian
环形缝隙天线,huan'xing'feng'xi'tian'xian
环形解调器,huan'xing'jie'tiao'qi
环行器,huan'xing'qi
环形阵,huan'xing'zhen
环形振荡器,huan'xing'zhen'dang'qi
回波箱,hui'bo'xiang
回差现象,hui'cha'xian'xiang
恢复电路,hui'fu'dian'lu
恢复时间,hui'fu'shi'jian
惠更斯源,hui'geng'si'yuan
回流,hui'liu
回旋器,hui'xuan'qi
回旋质谱仪,hui'xuan'zhi'pu'yi
混沌,hun'dun
混合环,hun'he'huan
混合接头,hun'he'jie'tou
混频,hun'pin
混频器,hun'pin'qi
或非门,huo'fei'men
火花源质谱术,huo'hua'yuan'zhi'pu'shu
活塞,huo'sai
基本模式,ji'ben'mo'shi
基波,ji'bo
集成电路,ji'cheng'dian'lu
集成度,ji'cheng'du
集成注入逻辑,ji'cheng'zhu'ru'luo'ji
寄存器,ji'cun'qi
基带频率,ji'dai'pin'lv
极点,ji'dian
集电极,ji'dian'ji
集电结,ji'dian'jie
集电区,ji'dian'qu
机电调向,ji'dian'tiao'xiang
基尔霍夫定律,ji'er'huo'fu'ding'lv
积分电路,ji'fen'dian'lu
激光键合,ji'guang'jian'he
激光探针质量分析仪,ji'guang'tan'zhen'zhi'liang'fen'xi'yi
激光退火,ji'guang'tui'huo
激光再结晶,ji'guang'zai'jie'jing
激活能,ji'huo'neng
基极,ji'ji
基间平面,ji'jian'ping'mian
激励单元,ji'li'dan'yuan
激励函数,ji'li'han'shu
级联综合法,ji'lian'zong'he'fa
积木式布图系统,ji'mu'shi'bu'tu'xi'tong
基平面,ji'ping'mian
基区,ji'qu
寄生反馈,ji'sheng'fan'kui
寄生调幅,ji'sheng'tiao'fu
寄生振荡,ji'sheng'zhen'dang
计数触发器,ji'shu'chu'fa'qi
计数器,ji'shu'qi
计算机辅助测试,ji'suan'ji'fu'zhu'ce'shi
计算机辅助设计,ji'suan'ji'fu'zhu'she'ji
计算机辅助制造,ji'suan'ji'fu'zhu'zhi'zao
机械抛光,ji'xie'pao'guang
机械扫描,ji'xie'sao'miao
脊形波导,ji'xing'bo'dao
脊形喇叭,ji'xing'la'ba
挤压,ji'ya
记忆电路,ji'yi'dian'lu
集总参数网络,ji'zong'can'shu'wang'luo
夹断电压,jia'duan'dian'ya
假负载,jia'fu'zai
甲类放大器,jia'lei'fang'da'qi
加热合成氧化技术,jia're'he'cheng'yang'hua'ji'shu
加速电容,jia'su'dian'rong
渐变截面波导,jian'bian'jie'mian'bo'dao
简并模式,jian'bing'mo'shi
检测,jian'ce
鉴频,jian'pin
鉴频器,jian'pin'qi
溅射,jian'she
间隙扩散,jian'xi'kuo'san
检相,jian'xiang
检相器,jian'xiang'qi
间歇振荡器,jian'xie'zhen'dang'qi
减压氧化,jian'ya'yang'hua
简约关联矩阵,jian'yue'guan'lian'ju'zhen
交叉极化,jiao'cha'ji'hua
交叉调制,jiao'cha'tiao'zhi
角跟踪,jiao'gen'zong
交互式布图系统,jiao'hu'shi'bu'tu'xi'tong
交流,jiao'liu
焦平面阵列,jiao'ping'mian'zhen'lie
角形反射器,jiao'xing'fan'she'qi
校正网络,jiao'zheng'wang'luo
角锥喇叭天线,jiao'zhui'la'ba'tian'xian
接触式活塞,jie'chu'shi'huo'sai
接触式曝光法,jie'chu'shi'pu'guang'fa
接地平面,jie'di'ping'mian
节点,jie'dian
结点,jie'dian
结点分析法,jie'dian'fen'xi'fa
结电容,jie'dian'rong
结电阻,jie'dian'zu
结环行器,jie'huan'xing'qi
接近式曝光法,jie'jin'shi'pu'guang'fa
洁净室,jie'jing'shi
洁净台,jie'jing'tai
界面反应率常数,jie'mian'fan'ying'lv'chang'shu
界面陷阱电荷,jie'mian'xian'jing'dian'he
结深,jie'shen
接收机,jie'shou'ji
阶梯天线,jie'ti'tian'xian
解调,jie'tiao
结型场效晶体管,jie'xing'chang'xiao'jing'ti'guan
阶跃电压,jie'yue'dian'ya
阶跃恢复二极管,jie'yue'hui'fu'er'ji'guan
截止波长,jie'zhi'bo'chang
介质波导,jie'zhi'bo'dao
截止波导,jie'zhi'bo'dao
介质隔离,jie'zhi'ge'li
介质击穿,jie'zhi'ji'chuan
截止频率,jie'zhi'pin'lv
截止式衰减器,jie'zhi'shi'shuai'jian'qi
介质天线,jie'zhi'tian'xian
近场区,jin'chang'qu
金属封装,jin'shu'feng'zhuang
金属化,jin'shu'hua
禁止门,jin'zhi'men
静电保护,jing'dian'bao'hu
静电放电损伤,jing'dian'fang'dian'sun'shang
晶片,jing'pian
镜频干扰,jing'pin'gan'rao
精缩,jing'suo
静态随机存取存储器,jing'tai'sui'ji'cun'qu'cun'chu'qi
晶体管,jing'ti'guan
晶体混频器,jing'ti'hun'pin'qi
晶体滤波器,jing'ti'lv'bo'qi
晶体振荡器,jing'ti'zhen'dang'qi
镜象平面,jing'xiang'ping'mian
径向线,jing'xiang'xian
镜象抑制比,jing'xiang'yi'zhi'bi
镜象原理,jing'xiang'yuan'li
晶闸管,jing'zha'guan
锯齿波形,ju'chi'bo'xing
矩形波导,ju'xing'bo'dao
矩形脉冲,ju'xing'mai'chong
卷积定理,juan'ji'ding'li
绝缘栅场效晶体管,jue'yuan'shan'chang'xiao'jing'ti'guan
绝缘体上硅薄膜,jue'yuan'ti'shang'gui'bao'mo
均衡器,jun'heng'qi
均匀线,jun'yun'xian
卡塞格伦反射面天线,ka'sai'ge'lun'fan'she'mian'tian'xian
开关电路,kai'guan'dian'lu
开关电容滤波器,kai'guan'dian'rong'lv'bo'qi
开关电容器,kai'guan'dian'rong'qi
开关二极管,kai'guan'er'ji'guan
开关晶体管,kai'guan'jing'ti'guan
开关时间,kai'guan'shi'jian
开关损耗,kai'guan'sun'hao
开关网络,kai'guan'wang'luo
开环,kai'huan
开路线,kai'lu'xian
开路终端,kai'lu'zhong'duan
抗饱和型逻辑,kang'bao'he'xing'luo'ji
抗烧毁能量,kang'shao'hui'neng'liang
可编程横向滤波器,ke'bian'cheng'heng'xiang'lv'bo'qi
可编程逻辑器件,ke'bian'cheng'luo'ji'qi'jian
可编程逻辑阵列,ke'bian'cheng'luo'ji'zhen'lie
可编程只读存储器,ke'bian'cheng'zhi'du'cun'chu'qi
可变阈逻辑,ke'bian'yu'luo'ji
可擦编程只读存储器,ke'ca'bian'cheng'zhi'du'cun'chu'qi
可控硅整流器,ke'kong'gui'zheng'liu'qi
可渗基区晶体管,ke'shen'ji'qu'jing'ti'guan
刻蚀,ke'shi
可视区,ke'shi'qu
孔径,kong'jing
空位流,kong'wei'liu
宽带放大器,kuan'dai'fang'da'qi
馈线,kui'xian
馈源,kui'yuan
扩散,kuo'san
扩散电容,kuo'san'dian'rong
扩散工艺,kuo'san'gong'yi
扩散激活能,kuo'san'ji'huo'neng
扩散控制,kuo'san'kong'zhi
扩散势,kuo'san'shi
扩散系数,kuo'san'xi'shu
扩展电阻,kuo'zhan'dian'zu
扩展器,kuo'zhan'qi
喇叭,la'ba
喇叭反射天线,la'ba'fan'she'tian'xian
喇叭天线,la'ba'tian'xian
来复接收机,lai'fu'jie'shou'ji
蓝宝石上硅薄膜,lan'bao'shi'shang'gui'bao'mo
老化,lao'hua
冷壁反应器,leng'bi'fan'ying'qi
冷焊,leng'han
里德二极管,li'de'er'ji'guan
厘米波,li'mi'bo
立体波束效率,li'ti'bo'shu'xiao'lv
理想媒质,li'xiang'mei'zhi
理想频域滤波器,li'xiang'pin'yu'lv'bo'qi
理想时域滤波器,li'xiang'shi'yu'lv'bo'qi
离子镀,li'zi'du
离子轰击,li'zi'hong'ji
离子回旋共振加热,li'zi'hui'xuan'gong'zhen'jia're
离子束淀积,li'zi'shu'dian'ji
离子束镀,li'zi'shu'du
粒子数反转分布,li'zi'shu'fan'zhuan'fen'bu
离子束光刻,li'zi'shu'guang'ke
离子束抛光,li'zi'shu'pao'guang
离子束外延,li'zi'shu'wai'yan
离子束蒸发,li'zi'shu'zheng'fa
离子探针谱学,li'zi'tan'zhen'pu'xue
离子团束淀积,li'zi'tuan'shu'dian'ji
离子团束外延,li'zi'tuan'shu'wai'yan
离子微分析,li'zi'wei'fen'xi
离子铣,li'zi'xi
离子源,li'zi'yuan
离子中和谱学,li'zi'zhong'he'pu'xue
离子注入,li'zi'zhu'ru
离子注入机,li'zi'zhu'ru'ji
连续波发射机,lian'xu'bo'fa'she'ji
连续波调制,lian'xu'bo'tiao'zhi
梁式引线,liang'shi'yin'xian
量子阱异质结激光器,liang'zi'jing'yi'zhi'jie'ji'guang'qi
列译码器,lie'yi'ma'qi
磷硅玻璃,lin'gui'bo'li
临界波长,lin'jie'bo'chang
临界功率,lin'jie'gong'lv
临界频率,lin'jie'pin'lv
零点,ling'dian
