八架椽,ba'jia'chuan
妙应寺,miao'ying'si
明栿,ming'fu
明会典,ming'hui'dian
明间,ming'jian
抹头,mo'tou
木构架,mu'gou'jia
木经,mu'jing
墓阙,mu'que
南禅寺,nan'chan'si
脑椽,nao'chuan
内城,nei'cheng
内额,nei'e
内跳,nei'tiao
内廷,nei'ting
内檐装修,nei'yan'zhuang'xiu
内柱,nei'zhu
泥道栱,ni'dao'gong
辇道,nian'dao
牌枋,pai'fang
平闇,ping'an
平板枋,ping'ban'fang
平顶,ping'ding
平梁,ping'liang
平盘斗,ping'pan'dou
平棊,ping'qi
平棋,ping'qi
平棊枋,ping'qi'fang
平槫,ping'quan
平身科,ping'shen'ke
平水,ping'shui
平坐,ping'zuo
平坐之制,ping'zuo'zhi'zhi
平坐柱,ping'zuo'zhu
普柏枋,pu'bai'fang
蒲牢,pu'lao
普拍枋,pu'pai'fang
铺作,pu'zuo
七踩,qi'cai
骑马雀替,qi'ma'que'ti
祈年殿,qi'nian'dian
棋盘版门,qi'pan'ban'men
七铺作,qi'pu'zuo
砌上明造,qi'shang'ming'zao
齐心斗,qi'xin'dou
前出廊,qian'chu'lang
前后廊,qian'hou'lang
乾清宫,qian'qing'gong
戗脊,qiang'ji
琴面,qin'mian
庆陵,qing'ling
囚牛,qiu'niu
曲阜孔庙,qu'fu'kong'miao
曲栏,qu'lan
槫脊,quan'ji
雀台,que'tai
雀替,que'ti
群版,qun'ban
裙版,qun'ban
乳栿,ru'fu
如意踏步,ru'yi'ta'bu
三踩,san'cai
三才升,san'cai'sheng
散斗,san'dou
三跳,san'tiao
三朝五门,san'zhao'wu'men
磉墩,sang'dun
厦两头,sha'liang'tou
厦宇,sha'yu
山花,shan'hua
山花蕉叶,shan'hua'jiao'ye
山门,shan'men
山面,shan'mian
山墙,shan'qiang
山子张,shan'zi'zhang
上昂,shang'ang
梢间,shao'jian
舍利塔,she'li'ta
神厨神疱,shen'chu'shen'pao
神武门,shen'wu'men
升起,sheng'qi
十八斗,shi'ba'dou
市朝一夫,shi'chao'yi'fu
石坊,shi'fang
石几筵,shi'ji'yan
市楼,shi'lou
石阙,shi'que
十三天,shi'san'tian
十字脊,shi'zi'ji
收分,shou'fen
收山,shou'shan
束线,shu'xian
束腰,shu'yao
耍头,shua'tou
双槽,shuang'cao
双层斗拱,shuang'ceng'dou'gong
双杪,shuang'miao
顺栿串,shun'fu'chuan
顺梁,shun'liang
四阿,si'a
四阿屋顶,si'e'wu'ding
思陵,si'ling
四铺作,si'pu'zuo
四跳,si'tiao
素方,su'fang
苏式彩画,su'shi'cai'hua
狻猊,suan'ni
随梁枋,sui'liang'fang
踏跺,ta'duo
踏面,ta'mian
塔院寺,ta'yuan'si
太和殿,tai'he'dian
台基,tai'ji
抬梁,tai'liang
泰陵,tai'ling
太平梁,tai'ping'liang
坛庙,tan'miao
唐大明宫,tang'da'ming'gong
套兽,tao'shou
滕王阁,teng'wang'ge
天池寺,tian'chi'si
天宫楼阁,tian'gong'lou'ge
天后宫,tian'hou'gong
天花枋,tian'hua'fang
天马,tian'ma
天宁寺,tian'ning'si
天王殿,tian'wang'dian
跳头,tiao'tou
挑檐,tiao'yan
挑檐枋,tiao'yan'fang
挑檐檩,tiao'yan'lin
庭柱,ting'zhu
通进深,tong'jin'shen
通面阔,tong'mian'kuo
偷心造,tou'xin'zao
土衬石,tu'chen'shi
土戚,tu'qi
推山,tui'shan
囤顶,tun'ding
托脚,tuo'jiao
瓦口,wa'kou
外朝,wai'chao
外城,wai'cheng
外跳,wai'tiao
外檐柱,wai'yan'zhu
外檐装修,wai'yan'zhuang'xiu
外柱,wai'zhu
万栱,wan'gong
皖南古民居,wan'nan'gu'min'ju
望板,wang'ban
王尔,wang'er
望火楼,wang'huo'lou
望柱,wang'zhu
壝墙,wei'qiang
文昌阁,wen'chang'ge
文华殿,wen'hua'dian
文庙,wen'miao
瓮城,weng'cheng
五踩,wu'cai
庑殿,wu'dian
廡殿,wu'dian
屋废,wu'fei
五凤楼,wu'feng'lou
屋盖,wu'gai
屋脊,wu'ji
五脊殿,wu'ji'dian
屋脊曲线,wu'ji'qu'xian
屋角,wu'jiao
舞楼,wu'lou
午门,wu'men
屋面曲线,wu'mian'qu'xian
武庙,wu'miao
五铺作,wu'pu'zuo
屋身,wu'shen
五跳,wu'tiao
乌头门,wu'tou'men
五土五谷,wu'tu'wu'gu
五音姓利,wu'yin'xing'li
武英殿,wu'ying'dian
西华门,xi'hua'men
西阙,xi'que
戏台,xi'tai
喜相逢,xi'xiang'feng
下昂,xia'ang
狎鱼,xia'yu
线脚,xian'jiao
献陵,xian'ling
仙人走兽,xian'ren'zou'shou
厢栱,xiang'gong
象眼石,xiang'yan'shi
小额枋,xiao'e'fang
小式建筑,xiao'shi'jian'zhu
斜道,xie'dao
歇山,xie'shan
獬豸,xie'zhi
行什,xing'shen
形制,xing'zhi
须弥座,xu'mi'zuo
圩塘万佛禅寺,xu'tang'wan'fo'chan'si
悬空寺,xuan'kong'si
悬山,xuan'shan
旋子,xuan'zi
旋子彩画,xuan'zi'cai'hua
寻杖,xun'zhang
寻杖合角造,xun'zhang'he'jiao'zao
寻杖绞角造,xun'zhang'jiao'jiao'zao
崖墓,ya'mu
衙署,ya'shu
睚眦,ya'zi
檐不过步,yan'bu'guo'bu
檐端,yan'duan
檐口,yan'kou
檐口曲线,yan'kou'qu'xian
阎立德,yan'li'de
偃师,yan'shi
砚窝石,yan'wo'shi
檐柱,yan'zhu
阳城延,yang'cheng'yan
羊马城,yang'ma'cheng
样式雷,yang'shi'lei
药师殿,yao'shi'dian
腰檐,yao'yan
一材一栔,yi'cai'yi'qie
彝器,yi'qi
一跳,yi'tiao
一整二破,yi'zheng'er'po
一整两破,yi'zheng'liang'po
移柱法,yi'zhu'fa
影壁,ying'bi
硬山,ying'shan
营缮令,ying'shan'ling
应县木塔,ying'xian'mu'ta
营造法式,ying'zao'fa'shi
雍和宫,yong'he'gong
永陵,yong'ling
永泰寺,yong'tai'si
由额,you'e
御沟,yu'gou
喻皓,yu'hao
御花园,yu'hua'yuan
裕陵,yu'ling
御路,yu'lu
玉泉山,yu'quan'shan
宇文恺,yu'wen'kai
御园,yu'yuan
圜丘,yuan'qiu
园冶,yuan'ye
苑囿,yuan'you
月梁,yue'liang
月台,yue'tai
月牙城,yue'ya'cheng
岳阳楼,yue'yang'lou
云冈石窟,yun'gang'shi'ku
云南一颗印,yun'nan'yi'ke'yin
藻井,zao'jing
藻头,zao'tou
则例,ze'li
箚牵,zha'qian
摘窗,zhai'chuang
宅第,zhai'di
战棚,zhan'peng
张涟,zhang'lian
张南阳,zhang'nan'yang
昭陵,zhao'ling
镇海禅寺,zhen'hai'chan'si
正脊,zheng'ji
正阶踏跺,zheng'jie'ta'duo
正贴,zheng'tie
正心枋,zheng'xin'fang
正心瓜栱,zheng'xin'gua'gong
正心慢栱,zheng'xin'man'gong
正心万栱,zheng'xin'wan'gong
支窗,zhi'chuang
直棂窗,zhi'ling'chuang
制式,zhi'shi
支提窟,zhi'ti'ku
支摘窗,zhi'zhai'chuang
重栱,zhong'gong
中国古代建筑史,zhong'guo'gu'dai'jian'zhu'shi
钟楼,zhong'lou
重台勾阑,zhong'tai'gou'lan
中柱,zhong'zhu
周围廊,zhou'wei'lang
驻跸处,zhu'bi'chu
柱础,zhu'chu
柱顶石,zhu'ding'shi
柱脚,zhu'jiao
柱径,zhu'jing
侏儒柱,zhu'ru'zhu
柱体,zhu'ti
柱头枋,zhu'tou'fang
柱心枋,zhu'xin'fang
拽枋,zhuai'fang
幢顶,zhuang'ding
幢身,zhuang'shen
子城,zi'cheng
子房,zi'fang
宗祠,zong'ci
走兽,zou'shou
足材,zu'cai
组群,zu'qun
坐斗,zuo'dou
坐栏,zuo'lan
左祖右社,zuo'zu'you'she
