爱得乐杯,ai'de'le'bei
向塘火车站,xiang'tang'huo'che'zhan
向塘土鸡,xiang'tang'tu'ji
肖贺,xiao'he
肖婷,xiao'ting
谢含,xie'han
谢寒,xie'han
新二,xin'er
新建县,xin'jian'xian
新六,xin'liu
新区,xin'qu
新三,xin'san
新四,xin'si
新四军军部旧址,xin'si'jun'jun'bu'jiu'zhi
新五,xin'wu
新一,xin'yi
杏花楼,xing'hua'lou
徐凡,xu'fan
徐雷,xu'lei
徐良辰,xu'liang'chen
徐善东,xu'shan'dong
徐善轩,xu'shan'xuan
徐素,xu'su
徐婉,xu'wan
徐万里,xu'wan'li
徐潇,xu'xiao
徐永正,xu'yong'zheng
鸭鸭杯,ya'ya'bei
沿江南路,yan'jiang'nan'lu
闫霞,yan'xia
杨飞,yang'fei
阳光枫情,yang'guang'feng'qing
杨桦,yang'hua
杨亮,yang'liang
阳涛,yang'tao
杨纹,yang'wen
杨永鹤,yang'yong'he
瑶湖,yao'hu
艺术楼,yi'shu'lou
英雄经济技术开发区,ying'xiong'jing'ji'ji'shu'kai'fa'qu
永达花园,yong'da'hua'yuan
佑民寺,you'min'si
游润,you'run
尤晓宁,you'xiao'ning
袁晴,yuan'qing
袁秋霞,yuan'qiu'xia
袁谊,yuan'yi
岳壮,yue'zhuang
张丙义,zhang'bing'yi
张峰,zhang'feng
张海龙,zhang'hai'long
张涵,zhang'han
张猛,zhang'meng
张敏,zhang'min
郑归,zheng'gui
郑倩,zheng'qian
中国服饰服,zhong'guo'fu'shi'fu
中国服装,zhong'guo'fu'zhuang
中山亭,zhong'shan'ting
中兴华庭,zhong'xing'hua'ting
钟宇浩,zhong'yu'hao
周洁,zhou'jie
周静,zhou'jing
周旋,zhou'xuan
朱德旧居,zhu'de'jiu'ju
朱国灿,zhu'guo'can
主教学楼,zhu'jiao'xue'lou
朱可,zhu'ke
主楼,zhu'lou
朱猛,zhu'meng
朱赛,zhu'sai
朱文睿,zhu'wen'rui
子固路,zi'gu'lu
综合素质高,zong'he'su'zhi'gao
