阿伏加德罗常数,a'fu'jia'de'luo'chang'shu
计量系数,ji'liang'xi'shu
几率因子,ji'lv'yin'zi
吉氏函数,ji'shi'han'shu
基态能级,ji'tai'neng'ji
基希霍夫公式,ji'xi'huo'fu'gong'shi
极限摩尔电导率,ji'xian'mo'er'dian'dao'lv
基元反应,ji'yuan'fan'ying
价数规则,jia'shu'gui'ze
简并度,jian'bing'du
键焓胶冻,jian'han'jiao'dong
焦耳定律,jiao'er'ding'lv
焦耳焦耳汤姆生实验,jiao'er'jiao'er'tang'mu'sheng'shi'yan
焦耳汤姆生系数,jiao'er'tang'mu'sheng'xi'shu
焦耳汤姆生效应,jiao'er'tang'mu'sheng'xiao'ying
胶核,jiao'he
胶凝作用,jiao'ning'zuo'yong
胶束,jiao'shu
胶体,jiao'ti
胶体分散系统,jiao'ti'fen'san'xi'tong
胶体化学,jiao'ti'hua'xue
胶体粒子,jiao'ti'li'zi
胶团,jiao'tuan
接触电势,jie'chu'dian'shi
接触电位差,jie'chu'dian'wei'cha
接触角,jie'chu'jiao
结晶热,jie'jing're
解离化学吸附,jie'li'hua'xue'xi'fu
节流过程,jie'liu'guo'cheng
节流膨胀,jie'liu'peng'zhang
节流膨胀系数,jie'liu'peng'zhang'xi'shu
界面,jie'mian
界面张力,jie'mian'zhang'li
界面张力浸湿,jie'mian'zhang'li'jin'shi
结线,jie'xian
浸湿,jin'shi
浸湿功,jin'shi'gong
浸湿功精馏,jin'shi'gong'jing'liu
精馏,jing'liu
聚沉,ju'chen
聚沉值,ju'chen'zhi
聚电解质,ju'dian'jie'zhi
绝对反应速率理论,jue'dui'fan'ying'su'lv'li'lun
绝对熵,jue'dui'shang
绝对温标,jue'dui'wen'biao
绝热过程,jue're'guo'cheng
绝热量热计,jue're'liang're'ji
绝热指数,jue're'zhi'shu
卡诺定理,ka'nuo'ding'li
卡诺循环,ka'nuo'xun'huan
开尔文公式,kai'er'wen'gong'shi
科尔劳施离子独立运动定律,ke'er'lao'shi'li'zi'du'li'yun'dong'ding'lv
克拉佩龙方程,ke'la'pei'long'fang'cheng
克劳修斯不等式,ke'lao'xiu'si'bu'deng'shi
克劳修斯克拉佩龙方程,ke'lao'xiu'si'ke'la'pei'long'fang'cheng
可能的电解质,ke'neng'de'dian'jie'zhi
可逆电池,ke'ni'dian'chi
可逆过程,ke'ni'guo'cheng
可逆过程方程,ke'ni'guo'cheng'fang'cheng
可逆体积功,ke'ni'ti'ji'gong
可逆相变,ke'ni'xiang'bian
柯诺瓦洛夫吉布斯定律,ke'nuo'wa'luo'fu'ji'bu'si'ding'lv
控制步骤,kong'zhi'bu'zhou
库仑计,ku'lun'ji
扩散控制,kuo'san'kong'zhi
拉普拉斯方程,la'pu'la'si'fang'cheng
拉乌尔定律,la'wu'er'ding'lv
兰茂尔吸附等温式,lan'mao'er'xi'fu'deng'wen'shi
兰茂尔欣谢尔伍德机理,lan'mao'er'xin'xie'er'wu'de'ji'li
朗缪尔吸附等温式,lang'miu'er'xi'fu'deng'wen'shi
朗缪尔欣谢尔伍德机理,lang'miu'er'xin'xie'er'wu'de'ji'li
冷冻系数,leng'dong'xi'shu
冷却曲线,leng'que'qu'xian
离解热,li'jie're
离解压力,li'jie'ya'li
理想混合物,li'xiang'hun'he'wu
理想气体,li'xiang'qi'ti
理想气体的绝热指数,li'xiang'qi'ti'de'jue're'zhi'shu
理想气体的微观模型,li'xiang'qi'ti'de'wei'guan'mo'xing
理想气体反应的等温方程,li'xiang'qi'ti'fan'ying'de'deng'wen'fang'cheng
理想气体绝热可逆过程方程,li'xiang'qi'ti'jue're'ke'ni'guo'cheng'fang'cheng
理想气体状态方程,li'xiang'qi'ti'zhuang'tai'fang'cheng
理想稀溶液,li'xiang'xi'rong'ye
理想液态混合物,li'xiang'ye'tai'hun'he'wu
离域子系,li'yu'zi'xi
离域子系统,li'yu'zi'xi'tong
粒子,li'zi
离子的标准摩尔生成焓,li'zi'de'biao'zhun'mo'er'sheng'cheng'han
离子的电迁移率,li'zi'de'dian'qian'yi'lv
离子的迁移数,li'zi'de'qian'yi'shu
离子独立运动定律,li'zi'du'li'yun'dong'ding'lv
离子氛,li'zi'fen
离子强度,li'zi'qiang'du
连串反应,lian'chuan'fan'ying
链的传递物,lian'de'chuan'di'wu
链反应,lian'fan'ying
量热熵,liang're'shang
量子统计,liang'zi'tong'ji
量子效率,liang'zi'xiao'lv
临界参数,lin'jie'can'shu
临界常数,lin'jie'chang'shu
临界点,lin'jie'dian
临界胶束浓度,lin'jie'jiao'shu'nong'du
临界摩尔体积,lin'jie'mo'er'ti'ji
临界温度,lin'jie'wen'du
临界压力,lin'jie'ya'li
临界状态,lin'jie'zhuang'tai
零级反应,ling'ji'fan'ying
流动电势,liu'dong'dian'shi
流动功,liu'dong'gong
笼蔽效应,long'bi'xiao'ying
笼罩效应,long'zhao'xiao'ying
露点,lu'dian
露点线,lu'dian'xian
路易斯兰德尔逸度规则,lu'yi'si'lan'de'er'yi'du'gui'ze
麦克斯韦关系式,mai'ke'si'wei'guan'xi'shi
麦克斯韦能量分布,mai'ke'si'wei'neng'liang'fen'bu
麦克斯韦速率分布,mai'ke'si'wei'su'lv'fen'bu
锚定作用,mao'ding'zuo'yong
毛细管凝结,mao'xi'guan'ning'jie
毛细现象,mao'xi'xian'xiang
米歇利斯常数,mi'xie'li'si'chang'shu
摩尔电导率,mo'er'dian'dao'lv
摩尔反应焓,mo'er'fan'ying'han
摩尔混合熵,mo'er'hun'he'shang
摩尔气体常数,mo'er'qi'ti'chang'shu
摩尔热容,mo'er're'rong
摩尔溶解焓,mo'er'rong'jie'han
摩尔稀释焓,mo'er'xi'shi'han
内扩散控制,nei'kuo'san'kong'zhi
内能,nei'neng
内压力,nei'ya'li
能级,neng'ji
能级分布,neng'ji'fen'bu
能量均分原理,neng'liang'jun'fen'yuan'li
能斯特方程,neng'si'te'fang'cheng
能斯特热定理,neng'si'te're'ding'li
凝固点,ning'gu'dian
凝固点降低,ning'gu'dian'jiang'di
凝固点曲线,ning'gu'dian'qu'xian
凝胶,ning'jiao
凝聚态,ning'ju'tai
凝聚相,ning'ju'xiang
浓差超电势,nong'cha'chao'dian'shi
浓差电池,nong'cha'dian'chi
浓差极化,nong'cha'ji'hua
帕斯卡,pa'si'ka
泡点,pao'dian
泡点线,pao'dian'xian
配分函数,pei'fen'han'shu
配分函数的析因子性质,pei'fen'han'shu'de'xi'yin'zi'xing'zhi
碰撞截面,peng'zhuang'jie'mian
碰撞数,peng'zhuang'shu
偏摩尔量,pian'mo'er'liang
平动配分函数,ping'dong'pei'fen'han'shu
平衡常数,ping'heng'chang'shu
平衡分布,ping'heng'fen'bu
平衡态,ping'heng'tai
平衡态近似法,ping'heng'tai'jin'si'fa
平衡状态图,ping'heng'zhuang'tai'tu
平均活度,ping'jun'huo'du
平均活度系统,ping'jun'huo'du'xi'tong
平均摩尔热容,ping'jun'mo'er're'rong
平均质量摩尔浓度,ping'jun'zhi'liang'mo'er'nong'du
平均自由程,ping'jun'zi'you'cheng
平行反应,ping'xing'fan'ying
破乳,po'ru
普遍化范德华方程,pu'bian'hua'fan'de'hua'fang'cheng
铺展,pu'zhan
气化热,qi'hua're
气溶胶,qi'rong'jiao
其它功,qi'ta'gong
气体常数,qi'ti'chang'shu
气体分子运动论,qi'ti'fen'zi'yun'dong'lun
气相线,qi'xiang'xian
欠电位沉积,qian'dian'wei'chen'ji
潜热,qian're
迁移数,qian'yi'shu
强度量,qiang'du'liang
强度性质,qiang'du'xing'zhi
亲液溶胶,qin'ye'rong'jiao
氢电极,qing'dian'ji
区域熔化,qu'yu'rong'hua
热爆炸,re'bao'zha
热泵,re'beng
热功当量,re'gong'dang'liang
热函,re'han
热化学,re'hua'xue
热化学方程,re'hua'xue'fang'cheng
热机,re'ji
热机效率,re'ji'xiao'lv
热力学,re'li'xue
热力学第二定律,re'li'xue'di'er'ding'lv
热力学第三定律,re'li'xue'di'san'ding'lv
热力学第一定律,re'li'xue'di'yi'ding'lv
热力学基本方程,re'li'xue'ji'ben'fang'cheng
热力学几率,re'li'xue'ji'lv
热力学能,re'li'xue'neng
热力学特性函数,re'li'xue'te'xing'han'shu
热力学温标,re'li'xue'wen'biao
热力学温度,re'li'xue'wen'du
热熵,re'shang
热效应,re'xiao'ying
熔点曲线,rong'dian'qu'xian
熔化热,rong'hua're
溶胶,rong'jiao
溶解焓,rong'jie'han
溶液,rong'ye
溶胀,rong'zhang
乳化剂,ru'hua'ji
乳状液,ru'zhuang'ye
瑞利公式,rui'li'gong'shi
润湿,run'shi
润湿角,run'shi'jiao
萨克尔泰特洛德方程,sa'ke'er'tai'te'luo'de'fang'cheng
三相点,san'xiang'dian
三相平衡线,san'xiang'ping'heng'xian
熵判据,shang'pan'ju
熵增原理,shang'zeng'yuan'li
渗透压,shen'tou'ya
渗析法,shen'xi'fa
生成反应,sheng'cheng'fan'ying
升华热,sheng'hua're
实际气体,shi'ji'qi'ti
舒尔采哈迪规则,shu'er'cai'ha'di'gui'ze
松驰力,song'chi'li
松驰时间,song'chi'shi'jian
速度常数,su'du'chang'shu
速率方程,su'lv'fang'cheng
速率控制步骤,su'lv'kong'zhi'bu'zhou
塔费尔公式,ta'fei'er'gong'shi
态态反应,tai'tai'fan'ying
弹式量热计,tan'shi'liang're'ji
碳载铂,tan'zai'bo
淌度,tang'du
唐南平衡,tang'nan'ping'heng
特鲁顿规则,te'lu'dun'gui'ze
特性粘度,te'xing'nian'du
体积功,ti'ji'gong
统计权重,tong'ji'quan'zhong
统计热力学,tong'ji're'li'xue
统计熵,tong'ji'shang
途径,tu'jing
途径函数,tu'jing'han'shu
外扩散控制,wai'kuo'san'kong'zhi
完美晶体,wan'mei'jing'ti
完全气体,wan'quan'qi'ti
维恩效应,wei'en'xiao'ying
微观状态,wei'guan'zhuang'tai
维里方程,wei'li'fang'cheng
维里系数,wei'li'xi'shu
韦斯顿标准电池,wei'si'dun'biao'zhun'dian'chi
微态,wei'tai
稳流过程,wen'liu'guo'cheng
稳态近似法,wen'tai'jin'si'fa
物理化学,wu'li'hua'xue
物理吸附,wu'li'xi'fu
无热溶液,wu're'rong'ye
无限稀溶液,wu'xian'xi'rong'ye
析出电势,xi'chu'dian'shi
吸附,xi'fu
吸附等量线,xi'fu'deng'liang'xian
吸附等温线,xi'fu'deng'wen'xian
吸附等压线,xi'fu'deng'ya'xian
吸附剂,xi'fu'ji
吸附量,xi'fu'liang
吸附热,xi'fu're
吸附质,xi'fu'zhi
稀溶液的依数性,xi'rong'ye'de'yi'shu'xing
稀释焓,xi'shi'han
系统,xi'tong
系统点,xi'tong'dian
析因子性质,xi'yin'zi'xing'zhi
相变,xiang'bian
相变焓,xiang'bian'han
相变化,xiang'bian'hua
相变热,xiang'bian're
相点,xiang'dian
相对挥发度,xiang'dui'hui'fa'du
相对粘度,xiang'dui'nian'du
相律,xiang'lv
相平衡热容,xiang'ping'heng're'rong
相图,xiang'tu
相倚子系统,xiang'yi'zi'xi'tong
悬浮液,xuan'fu'ye
循环伏安法,xun'huan'fu'an'fa
循环过程,xun'huan'guo'cheng
压力商,ya'li'shang
压缩因子,ya'suo'yin'zi
压缩因子图,ya'suo'yin'zi'tu
亚稳状态,ya'wen'zhuang'tai
盐桥,yan'qiao
盐析,yan'xi
阳极,yang'ji
杨氏方程,yang'shi'fang'cheng
液体接界电势,ye'ti'jie'jie'dian'shi
液相线,ye'xiang'xian
逸度,yi'du
逸度系数,yi'du'xi'shu
一级反应,yi'ji'fan'ying
一级相变,yi'ji'xiang'bian
依时计量学反应,yi'shi'ji'liang'xue'fan'ying
阴极,yin'ji
荧光,ying'guang
永动机,yong'dong'ji
永久气体,yong'jiu'qi'ti
有效能,you'xiao'neng
原电池,yuan'dian'chi
原盐效应,yuan'yan'xiao'ying
增比粘度,zeng'bi'nian'du
憎液溶胶,zeng'ye'rong'jiao
沾湿,zhan'shi
沾湿功,zhan'shi'gong
振动配分函数,zhen'dong'pei'fen'han'shu
振动特征温度,zhen'dong'te'zheng'wen'du
真溶液,zhen'rong'ye
真实电解质,zhen'shi'dian'jie'zhi
真实气体,zhen'shi'qi'ti
真实迁移数,zhen'shi'qian'yi'shu
正常沸点,zheng'chang'fei'dian
蒸气压下降,zheng'qi'ya'xia'jiang
正吸附,zheng'xi'fu
制冷系数,zhi'leng'xi'shu
支链反应,zhi'lian'fan'ying
直链反应,zhi'lian'fan'ying
质量作用定律,zhi'liang'zuo'yong'ding'lv
指前因子,zhi'qian'yin'zi
中和热,zhong'he're
轴功,zhou'gong
转动配分函数,zhuan'dong'pei'fen'han'shu
转动特征温度,zhuan'dong'te'zheng'wen'du
转化率,zhuan'hua'lv
转化温度,zhuan'hua'wen'du
状态,zhuang'tai
状态方程,zhuang'tai'fang'cheng
状态分布,zhuang'tai'fen'bu
状态函数,zhuang'tai'han'shu
准静态过程,zhun'jing'tai'guo'cheng
准一级反应,zhun'yi'ji'fan'ying
自动催化作用,zi'dong'cui'hua'zuo'yong
自由度,zi'you'du
自由度数,zi'you'du'shu
自由焓,zi'you'han
自由能,zi'you'neng
自由膨胀,zi'you'peng'zhang
组分数,zu'fen'shu
最低恒沸点,zui'di'heng'fei'dian
最高恒沸点,zui'gao'heng'fei'dian
最佳反应温,zui'jia'fan'ying'wen
最可几分布,zui'ke'ji'fen'bu
最可几速率,zui'ke'ji'su'lv
