阿比可糖,a'bi'ke'tang
阿片样肽,a'pian'yang'tai
阿片样物质,a'pian'yang'wu'zhi
啊朴啡,a'pu'fei
阿曲库铵,a'qu'ku'an
阿绍夫小体,a'shao'fu'xiao'ti
阿斯巴甜剂,a'si'ba'tian'ji
啊糖腺苷,a'tang'xian'gan
阿托品,a'tuo'pin
阿扎那韦,a'zha'na'wei
阿卓糖,a'zhuo'tang
阿卓糖醇,a'zhuo'tang'chun
埃伯内氏腺,ai'bo'nei'shi'xian
埃伯内腺,ai'bo'nei'xian
埃伯内线,ai'bo'nei'xian
矮草草甸,ai'cao'cao'dian
癌蛋白,ai'dan'bai
爱德华兹心脏瓣膜,ai'de'hua'zi'xin'zang'ban'mo
埃德曼降解,ai'de'man'jiang'jie
埃德曼试剂,ai'de'man'shi'ji
爱德蒙托龙,ai'de'meng'tuo'long
癌得平,ai'de'ping
爱德生试验,ai'de'sheng'shi'yan
艾杜糖,ai'du'tang
艾杜糖醇,ai'du'tang'chun
艾杜糖苷酸酶,ai'du'tang'gan'suan'mei
艾杜糖醛酸,ai'du'tang'quan'suan
艾杜糖醛酸盐,ai'du'tang'quan'suan'yan
艾杜糖酸,ai'du'tang'suan
艾杜糖酸内酯,ai'du'tang'suan'nei'zhi
矮秆品种,ai'gan'pin'zhong
嗌纲,ai'gang
矮高位芽植物,ai'gao'wei'ya'zhi'wu
矮灌丛地,ai'guan'cong'di
矮灌木,ai'guan'mu
矮化病,ai'hua'bing
癌基因,ai'ji'yin
埃可病毒,ai'ke'bing'du
埃利森综合征,ai'li'sen'zong'he'zheng
埃利希侧链学说,ai'li'xi'ce'lian'xue'shuo
艾利希氏侧链学说,ai'li'xi'shi'ce'lian'xue'shuo
矮林,ai'lin
矮林地,ai'lin'di
艾默夹板,ai'mo'jia'ban
艾姆氏实验,ai'mu'shi'shi'yan
癌胚抗原,ai'pei'kang'yuan
癌前病变,ai'qian'bing'bian
矮牵牛苷,ai'qian'niu'gan
矮牵牛苷配基,ai'qian'niu'gan'pei'ji
癌前期有,ai'qian'qi'you
矮乔木,ai'qiao'mu
癌溶解,ai'rong'jie
癌肉瘤,ai'rou'liu
埃塞俄比亚界,ai'sai'e'bi'ya'jie
癌生成,ai'sheng'cheng
艾氏腹水癌细胞,ai'shi'fu'shui'ai'xi'bao
矮态,ai'tai
癌细胞样生长,ai'xi'bao'yang'sheng'zhang
矮小发育,ai'xiao'fa'yu
矮小者,ai'xiao'zhe
癌学,ai'xue
矮异特龙,ai'yi'te'long
癌症转移,ai'zheng'zhuan'yi
矮壮素,ai'zhuang'su
爱滋病,ai'zi'bing
爱滋病毒,ai'zi'bing'du
氨苄青霉素,an'bian'qing'mei'su
氨苄青霉素抗性,an'bian'qing'mei'su'kang'xing
氨苄青霉素抗性酰胺酶,an'bian'qing'mei'su'kang'xing'xian'an'mei
氨苄青霉素敏感,an'bian'qing'mei'su'min'gan
氨苄青霉索,an'bian'qing'mei'suo
氨丙醇,an'bing'chun
氨丙基转移酶,an'bing'ji'zhuan'yi'mei
安瓿,an'bu
安瓿瓶阿霉素,an'bu'ping'a'mei'su
氨茶碱,an'cha'jian
暗产色菌,an'chan'se'jun
暗带,an'dai
暗反应,an'fan'ying
按抚法,an'fu'fa
暗复活作用,an'fu'huo'zuo'yong
安福灵,an'fu'ling
安氟醚,an'fu'mi
暗感期,an'gan'qi
鞍膈,an'ge
安哥拉紫檀素,an'ge'la'zi'tan'su
按骨术,an'gu'shu
安哈酮定,an'ha'tong'ding
暗褐菌素,an'he'jun'su
暗褐色,an'he'se
氨合作用,an'he'zuo'yong
胺化,an'hua
按花粉萌发孔的数目,an'hua'fen'meng'fa'kong'de'shu'mu
氨化物,an'hua'wu
氨化细菌,an'hua'xi'jun
胺化作用,an'hua'zuo'yong
氨化作用,an'hua'zuo'yong
氨茴霉素,an'hui'mei'su
氨茴酸邻氨基,an'hui'suan'lin'an'ji
氨茴酰邻氨基,an'hui'xian'lin'an'ji
鞍基,an'ji
氨基,an'ji
氨基巴比妥,an'ji'ba'bi'tuo
氨基半乳糖,an'ji'ban'ru'tang
氨基半乳糖苷,an'ji'ban'ru'tang'gan
氨基半乳糖基转移酶,an'ji'ban'ru'tang'ji'zhuan'yi'mei
氨基保护剂,an'ji'bao'hu'ji
氨基苯二酰肼,an'ji'ben'er'xian'jing
氨基苯磺酰胺,an'ji'ben'huang'xian'an
氨基苯基糖苷,an'ji'ben'ji'tang'gan
氨基苯甲酸,an'ji'ben'jia'suan
氨基苯甲酸丙酯,an'ji'ben'jia'suan'bing'zhi
氨基丙二酰脲,an'ji'bing'er'xian'niao
氨基丙酸,an'ji'bing'suan
氨基丙烷,an'ji'bing'wan
氨基丙烯酸,an'ji'bing'xi'suan
氨基醇类,an'ji'chun'lei
氨基氮氨酰基,an'ji'dan'an'xian'ji
氨基蝶呤,an'ji'die'ling
氨基丁酸,an'ji'ding'suan
氨基端,an'ji'duan
氨基二羧酸,an'ji'er'suo'suan
氨基甘露糖,an'ji'gan'lu'tang
氨基胍,an'ji'gua
氨基化,an'ji'hua
氨基环丙烷羧酸,an'ji'huan'bing'wan'suo'suan
氨基茴香醚,an'ji'hui'xiang'mi
氨基己二酸半醛,an'ji'ji'er'suan'ban'quan
氨基己糖,an'ji'ji'tang
氨基己糖苷,an'ji'ji'tang'gan
氨基己糖苷酶,an'ji'ji'tang'gan'mei
氨基甲酸,an'ji'jia'suan
氨基甲酸激酶,an'ji'jia'suan'ji'mei
氨基甲酸酯,an'ji'jia'suan'zhi
氨基甲烷,an'ji'jia'wan
氨基甲烷缓冲液,an'ji'jia'wan'huan'chong'ye
氨基连接臂,an'ji'lian'jie'bi
氨基磷酸酶,an'ji'lin'suan'mei
氨基六氢吡啶羧酸,an'ji'liu'qing'bi'ding'suo'suan
氨基嘧啶丙氨酸,an'ji'mi'ding'bing'an'suan
氨基咪唑,an'ji'mi'zuo
氨基咪唑核苷酸,an'ji'mi'zuo'he'gan'suan
氨基末端,an'ji'mo'duan
氨基脲,an'ji'niao
氨基偶氮苯,an'ji'ou'dan'ben
氨基嘌呤,an'ji'piao'ling
氨基葡糖,an'ji'pu'tang
氨基葡糖苷,an'ji'pu'tang'gan
氨基葡糖苷酶,an'ji'pu'tang'gan'mei
氨基葡萄糖,an'ji'pu'tao'tang
氨基青酶烷酸,an'ji'qing'mei'wan'suan
氨基青霉烷酸,an'ji'qing'mei'wan'suan
氨基三环癸烷,an'ji'san'huan'gui'wan
氨基三唑,an'ji'san'zuo
氨基酸臂,an'ji'suan'bi
氨基酸残基,an'ji'suan'can'ji
氨基酸残基接触面,an'ji'suan'can'ji'jie'chu'mian
氨基酸侧链,an'ji'suan'ce'lian
氨基酸代谢,an'ji'suan'dai'xie
氨基酸代谢病,an'ji'suan'dai'xie'bing
氨基酸的活化酯,an'ji'suan'de'huo'hua'zhi
氨基酸分析器,an'ji'suan'fen'xi'qi
氨基酸分析仪,an'ji'suan'fen'xi'yi
氨基酸混合物,an'ji'suan'hun'he'wu
氨基酸活化作用,an'ji'suan'huo'hua'zuo'yong
氨基酸结合部位,an'ji'suan'jie'he'bu'wei
氨基酸尿,an'ji'suan'niao
氨基酸偏爱性,an'ji'suan'pian'ai'xing
氨基酸频率,an'ji'suan'pin'lv
氨基酸使用,an'ji'suan'shi'yong
氨基酸使用频率,an'ji'suan'shi'yong'pin'lv
氨基酸脱甲基酶,an'ji'suan'tuo'jia'ji'mei
氨基酸脱羧酶,an'ji'suan'tuo'suo'mei
氨基酸消旋酶,an'ji'suan'xiao'xuan'mei
氨基酸修饰,an'ji'suan'xiu'shi
氨基酸序列,an'ji'suan'xu'lie
氨基酸血,an'ji'suan'xue
氨基酸氧化酶,an'ji'suan'yang'hua'mei
氨基酸乙酰转移酶,an'ji'suan'yi'xian'zhuan'yi'mei
氨基酸转乙酰酶,an'ji'suan'zhuan'yi'xian'mei
氨基酸转运,an'ji'suan'zhuan'yun
氨基酸转运蛋白,an'ji'suan'zhuan'yun'dan'bai
氨基酸组成,an'ji'suan'zu'cheng
氨基酸组成分析仪,an'ji'suan'zu'cheng'fen'xi'yi
氨基糖,an'ji'tang
氨基糖苷,an'ji'tang'gan
氨基糖苷类抗生素,an'ji'tang'gan'lei'kang'sheng'su
氨基糖苷磷酸转移酶,an'ji'tang'gan'lin'suan'zhuan'yi'mei
氨基酮,an'ji'tong
氨基头孢菌酸,an'ji'tou'bao'jun'suan
氨基烷基糖苷,an'ji'wan'ji'tang'gan
氨基戊二酸,an'ji'wu'er'suan
氨基戊酰胺,an'ji'wu'xian'an
氨基酰,an'ji'xian
氨基乙醇,an'ji'yi'chun
氨基已二酸途径,an'ji'yi'er'suan'tu'jing
氨基乙磺酸,an'ji'yi'huang'suan
氨基乙酸铵,an'ji'yi'suan'an
氨基已糖苷,an'ji'yi'tang'gan
氨基乙酰丙酸,an'ji'yi'xian'bing'suan
氨基移转酶,an'ji'yi'zhuan'mei
氨基转移酶,an'ji'zhuan'yi'mei
氨甲蝶呤,an'jia'die'ling
氨甲蝶岭,an'jia'die'ling
氨甲蝶呤友菌素,an'jia'die'ling'you'jun'su
氨甲基吡咯,an'jia'ji'bi'luo
氨甲基羟异恶唑,an'jia'ji'qiang'yi'e'zuo
氨甲酸激酶,an'jia'suan'ji'mei
氨甲酰,an'jia'xian
氨甲酰丙氨酸,an'jia'xian'bing'an'suan
氨甲酰蛋白,an'jia'xian'dan'bai
氨甲酰胆碱,an'jia'xian'dan'jian
氨甲酰谷氨酸,an'jia'xian'gu'an'suan
氨甲酰化,an'jia'xian'hua
氨甲酰基,an'jia'xian'ji
氨甲酰基咪唑核苷酸,an'jia'xian'ji'mi'zuo'he'gan'suan
氨甲酰基转移酶,an'jia'xian'ji'zhuan'yi'mei
氨甲酰磷酸,an'jia'xian'lin'suan
氨甲酰磷酸合成酶,an'jia'xian'lin'suan'he'cheng'mei
氨甲酰咪唑,an'jia'xian'mi'zuo
氨甲酰鸟氨酸,an'jia'xian'niao'an'suan
氨甲酰牛磺酶,an'jia'xian'niu'huang'mei
氨甲酰牛磺酸,an'jia'xian'niu'huang'suan
氨甲酰天冬氨酸,an'jia'xian'tian'dong'an'suan
氨甲酰天冬氨酸脱水酶,an'jia'xian'tian'dong'an'suan'tuo'shui'mei
氨甲酰血红蛋白,an'jia'xian'xue'hong'dan'bai
暗间隙,an'jian'xi
鞍结节脑膜瘤,an'jie'jie'nao'mo'liu
氨解作用,an'jie'zuo'yong
安米妥,an'mi'tuo
暗明图案,an'ming'tu'an
安尼素碱,an'ni'su'jian
胺前体摄取,an'qian'ti'she'qu
鞍区阻滞,an'qu'zu'zhi
安全带伤,an'quan'dai'shang
安全面切盘,an'quan'mian'qie'pan
安全移液管,an'quan'yi'ye'guan
安全因数,an'quan'yin'shu
暗色核菌,an'se'he'jun
暗色丝孢霉病,an'se'si'bao'mei'bing
暗色无隔孢子,an'se'wu'ge'bao'zi
鞍上脑膜瘤,an'shang'nao'mo'liu
暗视场显微镜,an'shi'chang'xian'wei'jing
暗视蛋白,an'shi'dan'bai
暗视计,an'shi'ji
暗视觉,an'shi'jue
暗视野,an'shi'ye
暗视野电子显微术,an'shi'ye'dian'zi'xian'wei'shu
暗视野显微术,an'shi'ye'xian'wei'shu
暗适应,an'shi'ying
桉树脑,an'shu'nao
氨水烧伤,an'shui'shao'shang
安丝菌素,an'si'jun'su
氨酸,an'suan
氨酸丙酮酸转氨酶,an'suan'bing'tong'suan'zhuan'an'mei
氨羧络合剂,an'suo'luo'he'ji
氨肽酶,an'tai'mei
氨肽酶氨茶碱,an'tai'mei'an'cha'jian
安泰酮,an'tai'tong
安替比林,an'ti'bi'lin
氨烷基亚磷酰胺,an'wan'ji'ya'lin'xian'an
氨烷基吲哚,an'wan'ji'yin'duo
安慰诱导,an'wei'you'dao
安息香胶,an'xi'xiang'jiao
安息香酸,an'xi'xiang'suan
氨酰,an'xian
氨酰氨酰化,an'xian'an'xian'hua
氨酰胆碱,an'xian'dan'jian
氨酰基,an'xian'ji
氨酰基部位,an'xian'ji'bu'wei
氨酰基脯氨酸二肽酶,an'xian'ji'fu'an'suan'er'tai'mei
氨酰基合成酶,an'xian'ji'he'cheng'mei
氨酰基位,an'xian'ji'wei
氨酰基腺苷酸酶,an'xian'ji'xian'gan'suan'mei
氨酰肼,an'xian'jing
氨酰赖氨酸二肽酶,an'xian'lai'an'suan'er'tai'mei
氨酰磷脂酰甘油,an'xian'lin'zhi'xian'gan'you
氨酰腺苷酸,an'xian'xian'gan'suan
氨酰酯酶,an'xian'zhi'mei
氨酰转移,an'xian'zhuan'yi
氨酰组氨酸二肽酶,an'xian'zu'an'suan'er'tai'mei
暗型,an'xing
暗修复,an'xiu'fu
胺氧化酶,an'yang'hua'mei
氨乙基,an'yi'ji
氨乙基半胱氨酸,an'yi'ji'ban'guang'an'suan
氨乙基硫醇,an'yi'ji'liu'chun
氨乙基硫醇巯基,an'yi'ji'liu'chun'qiu'ji
氨乙基亚磺酸,an'yi'ji'ya'huang'suan
鞍状壳,an'zhuang'ke
肮病毒蛋白,ang'bing'du'dan'bai
凹玻片,ao'bo'pian
奥伯试验,ao'bo'shi'yan
螯刺,ao'ci
澳大利亚抗原,ao'da'li'ya'kang'yuan
奥迪括约肌成形术,ao'di'kuo'yue'ji'cheng'xing'shu
奥迪括约肌切开术,ao'di'kuo'yue'ji'qie'kai'shu
奥迪括约肌狭窄,ao'di'kuo'yue'ji'xia'zhai
奥厄巴赫氏神经丛,ao'e'ba'he'shi'shen'jing'cong
奥尔布赖特综合征,ao'er'bu'lai'te'zong'he'zheng
奥尔德里奇综合征,ao'er'de'li'qi'zong'he'zheng
奥福二氏粘度计,ao'fu'er'shi'nian'du'ji
螯合,ao'he
螯合滴定,ao'he'di'ding
螯合复合体,ao'he'fu'he'ti
螯合环,ao'he'huan
螯合剂,ao'he'ji
螯合酶,ao'he'mei
螯合物,ao'he'wu
螯合作用,ao'he'zuo'yong
螯角,ao'jiao
螯鞘,ao'qiao
凹入,ao'ru
奥斯皮茨征,ao'si'pi'ci'zheng
螯虾,ao'xia
螯下板,ao'xia'ban
凹陷瘢痕,ao'xian'ban'hen
凹陷口,ao'xian'kou
螯肢,ao'zhi
澳洲茄边碱,ao'zhou'qie'bian'jian
澳洲茄碱,ao'zhou'qie'jian
澳洲蛙皮肽,ao'zhou'wa'pi'tai
螯足,ao'zu
八孢型子囊孢子,ba'bao'xing'zi'nang'bao'zi
八倍体,ba'bei'ti
八倍性,ba'bei'xing
巴比妥,ba'bi'tuo
巴比妥的商品名,ba'bi'tuo'de'shang'pin'ming
巴比妥类静脉麻醉药,ba'bi'tuo'lei'jing'mai'ma'zui'yao
巴比妥钠,ba'bi'tuo'na
巴比妥酸,ba'bi'tuo'suan
巴比妥酸盐,ba'bi'tuo'suan'yan
靶标识别,ba'biao'shi'bie
把钓铒轻轻放进水里,ba'diao'er'qing'qing'fang'jin'shui'li
八叠球菌,ba'die'qiu'jun
巴豆毒蛋白,ba'dou'du'dan'bai
巴豆毒素,ba'dou'du'su
巴豆酸,ba'dou'suan
巴豆酸酶,ba'dou'suan'mei
巴豆酰,ba'dou'xian
巴豆酰辅酶,ba'dou'xian'fu'mei
巴多林氏管,ba'duo'lin'shi'guan
靶恩,ba'en
巴尔比尼氏环,ba'er'bi'ni'shi'huan
巴尔比亚尼环,ba'er'bi'ya'ni'huan
巴尔比亚尼染色体,ba'er'bi'ya'ni'ran'se'ti
巴尔得,ba'er'de
巴二氏病毒,ba'er'shi'bing'du
巴尔氏小体,ba'er'shi'xiao'ti
巴尔通体病,ba'er'tong'ti'bing
巴尔小体,ba'er'xiao'ti
八放珊瑚亚纲,ba'fang'shan'hu'ya'gang
八分体,ba'fen'ti
巴基因,ba'ji'yin
八甲基焦磷酰胺,ba'jia'ji'jiao'lin'xian'an
八角鱼,ba'jiao'yu
八聚体组蛋白,ba'ju'ti'zu'dan'bai
巴兰斯征,ba'lan'si'zheng
巴雷特食管,ba'lei'te'shi'guan
巴黎酵母,ba'li'jiao'mu
靶理论,ba'li'lun
巴黎紫,ba'li'zi
巴龙霉素,ba'long'mei'su
巴洛综合征,ba'luo'zong'he'zheng
拔毛狂,ba'mao'kuang
拔毛试验,ba'mao'shi'yan
八目鳗类鱼,ba'mu'man'lei'yu
巴婆碱,ba'po'jian
靶器官,ba'qi'guan
八氢雌甾酮,ba'qing'ci'zai'tong
八氢番茄红素,ba'qing'fan'qie'hong'su
巴氏灭菌法,ba'shi'mie'jun'fa
巴氏灭菌器,ba'shi'mie'jun'qi
巴氏胎儿水肿综合征,ba'shi'tai'er'shui'zhong'zong'he'zheng
巴氏消毒法,ba'shi'xiao'du'fa
巴氏消毒器,ba'shi'xiao'du'qi
巴氏小体,ba'shi'xiao'ti
巴斯德灭菌法,ba'si'de'mie'jun'fa
巴斯德消毒,ba'si'de'xiao'du
巴斯德效应,ba'si'de'xiao'ying
巴斯刷牙法,ba'si'shua'ya'fa
拔髓针,ba'sui'zhen
巴他酸,ba'ta'suan
巴特尔征,ba'te'er'zheng
八腕类软体动物,ba'wan'lei'ruan'ti'dong'wu
靶位点,ba'wei'dian
靶细胞,ba'xi'bao
巴西副球孢子菌,ba'xi'fu'qiu'bao'zi'jun
巴西果蛋白,ba'xi'guo'dan'bai
巴西尼疝修补术,ba'xi'ni'shan'xiu'bu'shu
巴西诺卡菌,ba'xi'nuo'ka'jun
巴西天疱疮,ba'xi'tian'pao'chuang
八仙花根,ba'xian'hua'gen
靶腺轴,ba'xian'zhou
八雄蕊植物,ba'xiong'rui'zhi'wu
靶序列,ba'xu'lie
靶学说,ba'xue'shuo
拔牙后并发症,ba'ya'hou'bing'fa'zheng
拔牙钳,ba'ya'qian
拔牙学,ba'ya'xue
靶子大小,ba'zi'da'xiao
靶组织,ba'zu'zhi
靶组织反应,ba'zu'zhi'fan'ying
白氨酸,bai'an'suan
白斑病,bai'ban'bing
百步次碱,bai'bu'ci'jian
白蛋白,bai'dan'bai
白地霉,bai'di'mei
摆动负重相,bai'dong'fu'zhong'xiang
摆动假说,bai'dong'jia'shuo
摆动配对,bai'dong'pei'dui
白发突变,bai'fa'tu'bian
白放线菌素,bai'fang'xian'jun'su
白痱,bai'fei
白粉菌,bai'fen'jun
白粉菌科,bai'fen'jun'ke
百分位数,bai'fen'wei'shu
百分位数值,bai'fen'wei'shu'zhi
白鲑精蛋白,bai'gui'jing'dan'bai
白喉毒素,bai'hou'du'su
白喉类毒素,bai'hou'lei'du'su
白化病人,bai'hua'bing'ren
白花不稔性,bai'hua'bu'ren'xing
白化体,bai'hua'ti
白化现象,bai'hua'xian'xiang
白化愈伤组织,bai'hua'yu'shang'zu'zhi
白化植物,bai'hua'zhi'wu
白痂病,bai'jia'bing
白坚木醇,bai'jian'mu'chun
白僵病,bai'jiang'bing
白僵菌,bai'jiang'jun
白芥子苷,bai'jie'zi'gan
白芥子碱,bai'jie'zi'jian
白芥子硫苷,bai'jie'zi'liu'gan
败菌素,bai'jun'su
白兰花碱,bai'lan'hua'jian
百里酚蓝,bai'li'fen'lan
百里香酚,bai'li'xiang'fen
百里香醌,bai'li'xiang'kun
百里香素,bai'li'xiang'su
白蛉,bai'ling
白蛉叮咬,bai'ling'ding'yao
白卵黄,bai'luan'huang
白毛茛碱,bai'mao'gen'jian
白毛舌,bai'mao'she
白明胶,bai'ming'jiao
白明胶酶,bai'ming'jiao'mei
白明胶示,bai'ming'jiao'shi
白念珠菌,bai'nian'zhu'jun
白千层萜,bai'qian'ceng'tie
白屈菜黄碱,bai'qu'cai'huang'jian
白屈菜碱,bai'qu'cai'jian
白屈菜玉红碱,bai'qu'cai'yu'hong'jian
白曲菌素,bai'qu'jun'su
白塞综合征,bai'sai'zong'he'zheng
白色海绵状斑痣,bai'se'hai'mian'zhuang'ban'zhi
白色糠疹,bai'se'kang'zhen
白色毛结节菌病,bai'se'mao'jie'jie'jun'bing
白色皮片,bai'se'pi'pian
白色皮片排斥,bai'se'pi'pian'pai'chi
白色皮片缺血,bai'se'pi'pian'que'xue
白色溶胶,bai'se'rong'jiao
白色水肿,bai'se'shui'zhong
白色素细胞,bai'se'su'xi'bao
白色体,bai'se'ti
白色萎缩,bai'se'wei'suo
白色血栓,bai'se'xue'shuan
白色质体,bai'se'zhi'ti
柏氏器官,bai'shi'qi'guan
白水母素,bai'shui'mu'su
白髓,bai'sui
白陶土部分凝血酶原时间,bai'tao'tu'bu'fen'ning'xue'mei'yuan'shi'jian
百万电子伏特,bai'wan'dian'zi'fu'te
白网状质,bai'wang'zhuang'zhi
白细胞蛋白酶,bai'xi'bao'dan'bai'mei
白细胞干扰素,bai'xi'bao'gan'rao'su
白细胞隔离,bai'xi'bao'ge'li
白细胞功能相关抗原,bai'xi'bao'gong'neng'xiang'guan'kang'yuan
白细胞共同抗原,bai'xi'bao'gong'tong'kang'yuan
白细胞和血小板的总称,bai'xi'bao'he'xue'xiao'ban'de'zong'cheng
白细胞激酶,bai'xi'bao'ji'mei
白细胞激肽,bai'xi'bao'ji'tai
白细胞减少,bai'xi'bao'jian'shao
白细胞减少症,bai'xi'bao'jian'shao'zheng
白细胞介素,bai'xi'bao'jie'su
白细胞介素受体,bai'xi'bao'jie'su'shou'ti
白细胞解体,bai'xi'bao'jie'ti
白细胞解体作用,bai'xi'bao'jie'ti'zuo'yong
白细胞聚集体,bai'xi'bao'ju'ji'ti
白细胞抗原,bai'xi'bao'kang'yuan
白细胞抗原配型,bai'xi'bao'kang'yuan'pei'xing
白细胞抗原相同同胞,bai'xi'bao'kang'yuan'xiang'tong'tong'bao
白细胞瘤,bai'xi'bao'liu
白细胞粘着反应,bai'xi'bao'nian'zhe'fan'ying
白细胞尿,bai'xi'bao'niao
白细胞凝集素,bai'xi'bao'ning'ji'su
白细胞凝集作用,bai'xi'bao'ning'ji'zuo'yong
白细胞凝血酶,bai'xi'bao'ning'xue'mei
白细胞溶解,bai'xi'bao'rong'jie
白细胞溶素,bai'xi'bao'rong'su
白细胞三烯,bai'xi'bao'san'xi
白细胞杀菌素,bai'xi'bao'sha'jun'su
白细胞生成,bai'xi'bao'sheng'cheng
白细胞素,bai'xi'bao'su
白细胞调节素,bai'xi'bao'tiao'jie'su
白细胞形成,bai'xi'bao'xing'cheng
白细胞血管收缩素,bai'xi'bao'xue'guan'shou'suo'su
白细胞移动抑制因子,bai'xi'bao'yi'dong'yi'zhi'yin'zi
白细胞抑制因子,bai'xi'bao'yi'zhi'yin'zi
白细胞诱素,bai'xi'bao'you'su
白细胞增多,bai'xi'bao'zeng'duo
白细胞增多症,bai'xi'bao'zeng'duo'zheng
白细胞组织增生,bai'xi'bao'zu'zhi'zeng'sheng
白线疝,bai'xian'shan
白纤维,bai'xian'wei
白纤维组织,bai'xian'wei'zu'zhi
白血细胞,bai'xie'xi'bao
白锈病,bai'xiu'bing
白癣,bai'xuan
白血病病毒,bai'xue'bing'bing'du
败血症型,bai'xue'zheng'xing
白液相色谱法,bai'ye'xiang'se'pu'fa
白蚁巢,bai'yi'chao
白蚁和蚁,bai'yi'he'yi
白蚁科,bai'yi'ke
白蚁窝生的伞菌,bai'yi'wo'sheng'de'san'jun
白英果红素,bai'ying'guo'hong'su
败育,bai'yu
败育花粉,bai'yu'hua'fen
败育卵,bai'yu'luan
败育种子,bai'yu'zhong'zi
白质,bai'zhi
白珠木苷,bai'zhu'mu'gan
伴孢,ban'bao
伴胞晶体,ban'bao'jing'ti
半保留,ban'bao'liu
半保留复制,ban'bao'liu'fu'zhi
半暴露疗法,ban'bao'lu'liao'fa
半被果型,ban'bei'guo'xing
半闭式装置,ban'bi'shi'zhuang'zhi
半鼻再造术,ban'bi'zai'zao'shu
半变态类,ban'bian'tai'lei
斑驳病,ban'bo'bing
半不稔性,ban'bu'ren'xing
半不育,ban'bu'yu
半不育性,ban'bu'yu'xing
斑翅蝗科,ban'chi'huang'ke
半翅目,ban'chi'mu
半翅目的前翅,ban'chi'mu'di'qian'chi
半翅目昆虫,ban'chi'mu'kun'chong
半存留期,ban'cun'liu'qi
半胆红素,ban'dan'hong'su
半担子,ban'dan'zi
伴刀豆凝集素,ban'dao'dou'ning'ji'su
伴刀豆球蛋白,ban'dao'dou'qiu'dan'bai
半导体激光疗法,ban'dao'ti'ji'guang'liao'fa
斑点基因,ban'dian'ji'yin
斑点序,ban'dian'xu
斑点亚洲婴粟碱,ban'dian'ya'zhou'ying'su'jian
斑点印迹,ban'dian'yin'ji
板电泳,ban'dian'yong
斑点杂交,ban'dian'za'jiao
半冬性,ban'dong'xing
半纺锤体,ban'fang'chui'ti
半分化型族,ban'fen'hua'xing'zu
半分化种,ban'fen'hua'zhong
半分生孢子,ban'fen'sheng'bao'zi
半腐生植物,ban'fu'sheng'zhi'wu
半附生植物,ban'fu'sheng'zhi'wu
