阿那吒王,a'na'zha'wang
慈心深逾海,ci'xin'shen'yu'hai
慈因积善,ci'yin'ji'shan
次有千百,ci'you'qian'bai
次有五百,ci'you'wu'bai
此者皆是南阎浮提行恶众生,ci'zhe'jie'shi'nan'yan'fu'ti'xing'e'zhong'sheng
从初入时,cong'chu'ru'shi
从地而有,cong'di'er'you
聪明利根,cong'ming'li'gen
从年竟劫,cong'nian'jing'jie
从纤毫间,cong'xian'hao'jian
从业道出者,cong'ye'dao'chu'zhe
从座而起,cong'zuo'er'qi
粗说如是,cu'shuo'ru'shi
存亡获报,cun'wang'huo'bao
存亡获利,cun'wang'huo'li
存亡均沾利,cun'wang'jun'zhan'li
锉斫镬汤,cuo'zhuo'huo'tang
大阿那吒王,da'a'na'zha'wang
大爱敬鬼王,da'ai'jing'gui'wang
大白毫相光,da'bai'hao'xiang'guang
大宝轮毫光,da'bao'lun'hao'guang
大悲大愿,da'bei'da'yuan
大碧毫相光,da'bi'hao'xiang'guang
大辩长者,da'bian'zhang'zhe
大般若光明云,da'bo're'guang'ming'yun
大乘经典,da'cheng'jing'dian
大慈悲光明云,da'ci'bei'guang'ming'yun
大梵天,da'fan'tian
大福德光明云,da'fu'de'guang'ming'yun
大功德光明云,da'gong'de'guang'ming'yun
大宫殿毫光,da'gong'dian'hao'guang
大归依光明云,da'gui'yi'guang'ming'yun
大海云毫光,da'hai'yun'hao'guang
大横小横,da'heng'xiao'heng
大红毫相光,da'hong'hao'xiang'guang
大会之中,da'hui'zhi'zhong
大吉祥光明云,da'ji'xiang'guang'ming'yun
大金毫相光,da'jin'hao'xiang'guang
大绿毫相光,da'lv'hao'xiang'guang
大婆罗门等,da'po'luo'men'deng
大祁利叉王,da'qi'li'cha'wang
大祁利失王,da'qi'li'shi'wang
大千轮毫光,da'qian'lun'hao'guang
大青毫相光,da'qing'hao'xiang'guang
大庆云毫相光,da'qing'yun'hao'xiang'guang
大日轮毫光,da'ri'lun'hao'guang
大瑞毫相光,da'rui'hao'xiang'guang
大三昧光明云,da'san'mei'guang'ming'yun
大刹利,da'sha'li
大圣大慈,da'sheng'da'ci
大士,da'shi
大狮子吼音,da'shi'zi'hou'yin
大威神力,da'wei'shen'li
大威神力利益之事,da'wei'shen'li'li'yi'zhi'shi
大孝度亲娘,da'xiao'du'qin'niang
大兴供养,da'xing'gong'yang
大玉毫相光,da'yu'hao'xiang'guang
大月轮毫光,da'yue'lun'hao'guang
大云雷音,da'yun'lei'yin
大赞叹光明云,da'zan'tan'guang'ming'yun
大长者,da'zhang'zhe
大长者女,da'zhang'zhe'nv
大诤鬼王,da'zheng'gui'wang
大智慧光明云,da'zhi'hui'guang'ming'yun
大智慧音,da'zhi'hui'yin
大智通三藏,da'zhi'tong'san'zang
大种无差别,da'zhong'wu'cha'bie
大种中无色,da'zhong'zhong'wu'se
答诸土地,da'zhu'tu'di
大紫毫相光,da'zi'hao'xiang'guang
但当对诸佛菩萨像前,dan'dang'dui'zhu'fo'pu'sa'xiang'qian
但当归依瞻礼,dan'dang'gui'yi'zhan'li
但当瞻礼及供养,dan'dang'zhan'li'ji'gong'yang
但高声白,dan'gao'sheng'bai
但结罪缘,dan'jie'zui'yuan
啖精气鬼王,dan'jing'qi'gui'wang
但能回向法界,dan'neng'hui'xiang'fa'jie
但能于诸佛教中,dan'neng'yu'zhu'fo'jiao'zhong
但念得一佛名号,dan'nian'de'yi'fo'ming'hao
但烧手足,dan'shao'shou'zu
啖兽鬼王,dan'shou'gui'wang
啖胎卵鬼王,dan'tai'luan'gui'wang
啖血鬼王,dan'xue'gui'wang
但依地藏本愿经一事修行者,dan'yi'di'zang'ben'yuan'jing'yi'shi'xiu'xing'zhe
但于地藏像前,dan'yu'di'zang'xiang'qian
但于佛法中,dan'yu'fo'fa'zhong
但愿诸众生,dan'yuan'zhu'zhong'sheng
但早返舍,dan'zao'fan'she
啖罪人目,dan'zui'ren'mu
但作善事,dan'zuo'shan'shi
当成就,dang'cheng'jiu
当此居家,dang'ci'ju'jia
当得成佛,dang'de'cheng'fo
当得解脱,dang'de'jie'tuo
当得菩萨,dang'de'pu'sa
当得三劫,dang'de'san'jie
当度,dang'du
当度是辈,dang'du'shi'bei
当堕无间地狱,dang'duo'wu'jian'di'yu
当堕五无间地狱,dang'duo'wu'wu'jian'di'yu
当告宿世骨肉,dang'gao'su'shi'gu'rou
当何名此经,dang'he'ming'ci'jing
当记是经,dang'ji'shi'jing
当今财首菩萨是,dang'jin'cai'shou'pu'sa'shi
当据本业所感地狱,dang'ju'ben'ye'suo'gan'di'yu
当如是学,dang'ru'shi'xue
当生汝家,dang'sheng'ru'jia
当生无忧国土,dang'sheng'wu'you'guo'tu
当现相时,dang'xian'xiang'shi
当须久远度脱一切受苦众生,dang'xu'jiu'yuan'du'tuo'yi'qie'shou'ku'zhong'sheng
当须设大供养,dang'xu'she'da'gong'yang
当知地藏菩萨,dang'zhi'di'zang'pu'sa
倒刺地狱,dao'ci'di'yu
忉利天,dao'li'tian
忉利天宫,dao'li'tian'gong
忉利天宫神通品第一,dao'li'tian'gong'shen'tong'pin'di'yi
稻麻竹苇,dao'ma'zhu'wei
得大安乐,de'da'an'le
得大利益,de'da'li'yi
得大利益及解脱否,de'da'li'yi'ji'jie'tuo'fou
得大拥护,de'da'yong'hu
得二十八种利益,de'er'shi'ba'zhong'li'yi
得获圣分,de'huo'sheng'fen
得几种福利,de'ji'zhong'fu'li
得解脱竟,de'jie'tuo'jing
得七种利益,de'qi'zhong'li'yi
得如是利益,de'ru'shi'li'yi
得生人天,de'sheng'ren'tian
得授上记,de'shou'shang'ji
得脱地狱,de'tuo'di'yu
得闻地藏菩萨名,de'wen'di'zang'pu'sa'ming
得闻一佛名,de'wen'yi'fo'ming
得无量福,de'wu'liang'fu
得至菩提,de'zhi'pu'ti
地神,di'shen
地神护法品第十一,di'shen'hu'fa'pin'di'shi'yi
谛听谛听,di'ting'di'ting
地狱何在,di'yu'he'zai
地狱名号及恶报等事,di'yu'ming'hao'ji'e'bao'deng'shi
地狱名号品第五,di'yu'ming'hao'pin'di'wu
地狱如未空,di'yu'ru'wei'kong
地狱在中,di'yu'zai'zhong
地狱罪报,di'yu'zui'bao
地藏,di'zang
地藏白佛言,di'zang'bai'fo'yan
地藏白言,di'zang'bai'yan
地藏本誓,di'zang'ben'shi
地藏答言,di'zang'da'yan
地藏地藏,di'zang'di'zang
地藏宏开,di'zang'hong'kai
地藏名字人若闻,di'zang'ming'zi'ren'ruo'wen
地藏菩萨,di'zang'pu'sa
地藏菩萨白佛言,di'zang'pu'sa'bai'fo'yan
地藏菩萨百千方便,di'zang'pu'sa'bai'qian'fang'bian
地藏菩萨白圣母言,di'zang'pu'sa'bai'sheng'mu'yan
地藏菩萨本愿功德颂,di'zang'pu'sa'ben'yuan'gong'de'song
地藏菩萨本愿经,di'zang'pu'sa'ben'yuan'jing
地藏菩萨本愿经卷上,di'zang'pu'sa'ben'yuan'jing'juan'shang
地藏菩萨本愿经卷下,di'zang'pu'sa'ben'yuan'jing'juan'xia
地藏菩萨本愿经卷中,di'zang'pu'sa'ben'yuan'jing'juan'zhong
地藏菩萨大士像,di'zang'pu'sa'da'shi'xiang
地藏菩萨方便力故,di'zang'pu'sa'fang'bian'li'gu
地藏菩萨告普贤菩萨言,di'zang'pu'sa'gao'pu'xian'pu'sa'yan
地藏菩萨久远劫来,di'zang'pu'sa'jiu'yuan'jie'lai
地藏菩萨累劫以来,di'zang'pu'sa'lei'jie'yi'lai
地藏菩萨灭定业真言,di'zang'pu'sa'mie'ding'ye'zhen'yan
地藏菩萨摩诃萨,di'zang'pu'sa'mo'he'sa
地藏菩萨摩诃萨白佛言,di'zang'pu'sa'mo'he'sa'bai'fo'yan
地藏菩萨于久远劫来,di'zang'pu'sa'yu'jiu'yuan'jie'lai
地藏菩萨证十地果位以来,di'zang'pu'sa'zheng'shi'di'guo'wei'yi'lai
地藏无尽不思议,di'zang'wu'jin'bu'si'yi
电光鬼王,dian'guang'gui'wang
玷污僧尼,dian'wu'seng'ni
顶礼而退,ding'li'er'tui
定其轻重,ding'qi'qing'zhong
顶受佛语,ding'shou'fo'yu
定自在王,ding'zi'zai'wang
定自在王白佛言,ding'zi'zai'wang'bai'fo'yan
定自在王菩萨白世尊已,ding'zi'zai'wang'pu'sa'bai'shi'zun'yi
动经尘劫,dong'jing'chen'jie
动经劫数,dong'jing'jie'shu
动经年月,dong'jing'nian'yue
动经千百岁中,dong'jing'qian'bai'sui'zhong
动经千万亿劫,dong'jing'qian'wan'yi'jie
动经亿劫,dong'jing'yi'jie
东西驰逐,dong'xi'chi'zhu
东西而走,dong'xi'er'zou
东西南北,dong'xi'nan'bei
兜率陀天,dou'lv'tuo'tian
度百千万亿人,du'bai'qian'wan'yi'ren
毒恶禽兽及恶人,du'e'qin'shou'ji'e'ren
杜绝恶梦,du'jue'e'meng
读是经一遍,du'shi'jing'yi'bian
度脱如是等,du'tuo'ru'shi'deng
度脱是人,du'tuo'shi'ren
度脱一切罪苦众生,du'tuo'yi'qie'zui'ku'zhong'sheng
度脱众生,du'tuo'zhong'sheng
独有一狱,du'you'yi'yu
度于六道,du'yu'liu'dao
端严毕备,duan'yan'bi'bei
端正受生,duan'zheng'shou'sheng
端正相好,duan'zheng'xiang'hao
端坐念觉华定自在王如来,duan'zuo'nian'jue'hua'ding'zi'zai'wang'ru'lai
端坐思惟吾之名号,duan'zuo'si'wei'wu'zhi'ming'hao
对病人前,dui'bing'ren'qian
对佛菩萨,dui'fo'pu'sa
对经像前,dui'jing'xiang'qian
碓磨锯凿,dui'mo'ju'zao
对清净莲华目如来像前,dui'qing'jing'lian'hua'mu'ru'lai'xiang'qian
多被恶业来结其心,duo'bei'e'ye'lai'jie'qi'xin
多攒火枪,duo'cuan'huo'qiang
堕大地狱,duo'da'di'yu
多恶鬼王,duo'e'gui'wang
堕恶趣者,duo'e'qu'zhe
堕恶趣中,duo'e'qu'zhong
多恶少善,duo'e'shao'shan
多疾病者,duo'ji'bing'zhe
多解大术,duo'jie'da'shu
多来忤身,duo'lai'wu'shen
多啰夜耶,duo'luo'ye'ye
多人亦满,duo'ren'yi'man
多生天上,duo'sheng'tian'shang
多食其子,duo'shi'qi'zi
多退初心,duo'tui'chu'xin
多有惊怖,duo'you'jing'bu
堕于恶道,duo'yu'e'dao
多遇圣因,duo'yu'sheng'yin
堕在恶趣,duo'zai'e'qu
咄哉迷人,duo'zai'mi'ren
咄哉男子,duo'zai'nan'zi
多造众恶,duo'zao'zhong'e
多造众罪,duo'zao'zhong'zui
多诸毒恶,duo'zhu'du'e
多诸恶兽,duo'zhu'e'shou
多诸夜叉,duo'zhu'ye'cha
多诸罪人,duo'zhu'zui'ren
多足多头,duo'zu'duo'tou
恶病横病,e'bing'heng'bing
恶毒鬼王合掌恭敬,e'du'gui'wang'he'zhang'gong'jing
恶神恶鬼并恶风,e'shen'e'gui'bing'e'feng
恶习结果,e'xi'jie'guo
恶习结业,e'xi'jie'ye
恶业消灭,e'ye'xiao'mie
而白婢子,er'bai'bi'zi
而白佛言,er'bai'fo'yan
二百劫中,er'bai'jie'zhong
而白空界,er'bai'kong'jie
而白空曰,er'bai'kong'yue
耳不闻苦声,er'bu'wen'ku'sheng
而此女母,er'ci'nv'mu
而得此相,er'de'ci'xiang
而得利益,er'de'li'yi
而度脱之,er'du'tuo'zhi
而度罪苦众生,er'du'zui'ku'zhong'sheng
而告光目,er'gao'guang'mu
而教化之,er'jiao'hua'zhi
而乃获一,er'nai'huo'yi
而乃言说,er'nai'yan'shuo
而乃涌沸,er'nai'yong'fei
而能成就不思议事,er'neng'cheng'jiu'bu'si'yi'shi
而能作佛事,er'neng'zuo'fo'shi
而遣悟宿世之事,er'qian'wu'su'shi'zhi'shi
而入此路,er'ru'ci'lu
尔时,er'shi
二十八,er'shi'ba
二十八者,er'shi'ba'zhe
尔时地藏菩萨摩诃萨,er'shi'di'zang'pu'sa'mo'he'sa
二十二者,er'shi'er'zhe
尔时佛母摩耶夫人,er'shi'fo'mu'mo'ye'fu'ren
尔时佛赞地藏菩萨言,er'shi'fo'zan'di'zang'pu'sa'yan
尔时坚牢地神白佛言,er'shi'jian'lao'de'shen'bai'fo'yan
二十九日,er'shi'jiu'ri
尔时觉林菩萨,er'shi'jue'lin'pu'sa
二十六者,er'shi'liu'zhe
尔时罗汉福度光目者,er'shi'luo'han'fu'du'guang'mu'zhe
二十七者,er'shi'qi'zhe
二十三,er'shi'san
二十三者,er'shi'san'zhe
尔时世尊,er'shi'shi'zun
二十四,er'shi'si
二十四者,er'shi'si'zhe
二十五者,er'shi'wu'zhe
二十一者,er'shi'yi'zhe
尔时有佛,er'shi'you'fo
二十者,er'shi'zhe
而说偈言,er'shuo'ji'yan
而说颂言,er'shuo'song'yan
尔所杀害,er'suo'sha'hai
二王议计,er'wang'yi'ji
而为教化,er'wei'jiao'hua
而我自身,er'wo'zi'shen
而以化度,er'yi'hua'du
而有色可得,er'you'se'ke'de
而由心故画,er'you'xin'gu'hua
而语之言,er'yu'zhi'yan
二者,er'zhe
而作度脱,er'zuo'du'tuo
而作是言,er'zuo'shi'yan
发不思议心,fa'bu'si'yi'xin
发大慈心,fa'da'ci'xin
发大誓愿已,fa'da'shi'yuan'yi
发大重愿,fa'da'zhong'yuan
发恒河沙愿,fa'heng'he'sha'yuan
发回向心,fa'hui'xiang'xin
发如是大愿,fa'ru'shi'da'yuan
发誓愿已,fa'shi'yuan'yi
发心度先亡,fa'xin'du'xian'wang
发心归依,fa'xin'gui'yi
发殷重心,fa'yin'zhong'xin
发殷重心慎五辛,fa'yin'zhong'xin'shen'wu'xin
梵辅天,fan'fu'tian
翻为杀害,fan'wei'sha'hai
犯殃自受,fan'yang'zi'shou
梵众天,fan'zhong'tian
放百千万亿大光明云,fang'bai'qian'wan'yi'da'guang'ming'yun
放百千万亿大毫相光,fang'bai'qian'wan'yi'da'hao'xiang'guang
方便救拔,fang'bian'jiu'ba
方便之事,fang'bian'zhi'shi
方便作教王,fang'bian'zuo'jiao'wang
方成佛道,fang'cheng'fo'dao
放大光明,fang'da'guang'ming
方得人身,fang'de'ren'shen
方得受生,fang'de'shou'sheng
方得诣此忉利大会,fang'de'yi'ci'dao'li'da'hui
放如是等不可说光明云已,fang'ru'shi'deng'bu'ke'shuo'guang'ming'yun'yi
方受饿鬼,fang'shou'e'gui
方知险道,fang'zhi'xian'dao
非此二事,fei'ci'er'shi
非但地狱罪报一等,fei'dan'di'yu'zui'bao'yi'deng
非但佛身独现其前,fei'dan'fo'shen'du'xian'qi'qian
非但汝独护是人故,fei'dan'ru'du'hu'shi'ren'gu
飞身鬼王,fei'shen'gui'wang
非唯菩萨之母,fei'wei'pu'sa'zhi'mu
飞走海上,fei'zou'hai'shang
分布诸彩色,fen'bu'zhu'cai'se
分分己获,fen'fen'ji'huo
粪尿地狱,fen'niao'di'yu
分身遍十方,fen'shen'bian'shi'fang
分身度脱,fen'shen'du'tuo
分身集会品第二,fen'shen'ji'hui'pin'di'er
分身千百亿,fen'shen'qian'bai'yi
分是身形,fen'shi'shen'xing
逢见他人,feng'jian'ta'ren
奉献佛僧,feng'xian'fo'seng
佛告地藏菩萨,fo'gao'di'zang'pu'sa
佛告定自在王,fo'gao'ding'zi'zai'wang
佛告定自在王菩萨,fo'gao'ding'zi'zai'wang'pu'sa
佛告观世音菩萨,fo'gao'guan'shi'yin'pu'sa
佛告坚牢地神,fo'gao'jian'lao'de'shen
佛告普广,fo'gao'pu'guang
佛告普广菩萨,fo'gao'pu'guang'pu'sa
佛告四天王,fo'gao'si'tian'wang
佛告文殊师利,fo'gao'wen'shu'shi'li
佛告虚空藏菩萨,fo'gao'xu'kong'cang'pu'sa
佛告阎罗天子,fo'gao'yan'luo'tian'zi
佛告主命鬼王,fo'gao'zhu'ming'gui'wang
佛果悉皆圆,fo'guo'xi'jie'yuan
佛名大觉,fo'ming'da'jiao
佛母白言,fo'mu'bai'yan
佛在忉利天,fo'zai'dao'li'tian
佛赞鬼王,fo'zan'gui'wang
福爱天,fu'ai'tian
复白佛言,fu'bai'fo'yan
复次地藏,fu'ci'di'zang
复次观世音,fu'ci'guan'shi'yin
复次观世音菩萨,fu'ci'guan'shi'yin'pu'sa
复次普广,fu'ci'pu'guang
复次虚空藏菩萨,fu'ci'xu'kong'cang'pu'sa
复次长者,fu'ci'zhang'zhe
福度众生,fu'du'zhong'sheng
复堕恶道,fu'duo'e'dao
复恭敬心,fu'gong'jing'xin
复观未来无量劫中,fu'guan'wei'lai'wu'liang'jie'zhong
父号尸罗善现,fu'hao'shi'luo'shan'xian
福利鬼王,fu'li'gui'wang
福利无穷,fu'li'wu'qiong
父母眷属,fu'mu'juan'shu
夫妻眷属,fu'qi'juan'shu
复劝莫入,fu'quan'mo'ru
福生天,fu'sheng'tian
负石鬼王,fu'shi'gui'wang
复受畜生,fu'shou'chu'sheng
服水既毕,fu'shui'ji'bi
复损性命,fu'sun'xing'ming
复有地狱,fu'you'di'yu
复有他方国土及娑婆世界,fu'you'ta'fang'guo'tu'ji'suo'po'shi'jie
