阿而实,a'er'shi
内德,nei'de
内学,nei'xue
尼查尔派教义,ni'cha'er'pai'jiao'yi
拟人说,ni'ren'shuo
奴尔,nu'er
品尝,pin'chang
七层宝矿,qi'ceng'bao'kuang
七层地狱,qi'ceng'di'yu
七段伊玛尼,qi'duan'yi'ma'ni
七思惧,qi'si'ju
七天,qi'tian
亲赐,qin'ci
清真教说,qing'zhen'jiao'shuo
清真正学,qing'zhen'zheng'xue
清真至理,qing'zhen'zhi'li
区别教义,qu'bie'jiao'yi
曲学,qu'xue
权威教义,quan'wei'jiao'yi
人极,ren'ji
人仙神鬼说,ren'xian'shen'gui'shuo
人性,ren'xing
任性,ren'xing
认一学,ren'yi'xue
人主合一,ren'zhu'he'yi
人主合一论,ren'zhu'he'yi'lun
认主学,ren'zhu'xue
肉身说,rou'shen'shuo
入迷,ru'mi
萨法尔,sa'fa'er
三乘,san'cheng
三程,san'cheng
三大经学,san'da'jing'xue
三大障碍,san'da'zhang'ai
三大正事,san'da'zheng'shi
三德十行,san'de'shi'hang
三分之德,san'fen'zhi'de
三极之学,san'ji'zhi'xue
三品十条,san'pin'shi'tiao
三生,san'sheng
三世,san'shi
三时,san'shi
三十程,san'shi'cheng
三心七品,san'xin'qi'pin
三性,san'xing
三字归一,san'zi'gui'yi
神爱论,shen'ai'lun
神光论,shen'guang'lun
神灵潜入人体说,shen'ling'qian'ru'ren'ti'shuo
神圣,shen'sheng
神圣界,shen'sheng'jie
神圣信条,shen'sheng'xin'tiao
神性,shen'xing
神旨,shen'zhi
神智,shen'zhi
神旨变换说,shen'zhi'bian'huan'shuo
神智论,shen'zhi'lun
神智宇宙论,shen'zhi'yu'zhou'lun
圣人德行四十端,sheng'ren'de'xing'si'shi'duan
圣徒崇拜,sheng'tu'chong'bai
十八千世界,shi'ba'qian'shi'jie
十六遵行,shi'liu'zun'xing
实在,shi'zai
属性,shu'xing
属性之美名,shu'xing'zhi'mei'ming
数一,shu'yi
说情,shuo'qing
四大幔帐,si'da'man'zhang
四行,si'hang
四统,si'tong
似真,si'zhen
苏非主义,su'fei'zhu'yi
苏富扬人,su'fu'yang'ren
苏鲁克,su'lu'ke
宿命论,su'ming'lun
他,ta
塔基亚,ta'ji'ya
台伊布教义,tai'yi'bu'jiao'yi
讨黑德,tao'hei'de
陶立嘎,tao'li'ga
替代说,ti'dai'shuo
体一,ti'yi
天国剧,tian'guo'ju
天牌,tian'pai
天使界,tian'shi'jie
统一,tong'yi
穵哈德特,wa'ha'de'te
外学,wai'xue
完满性,wan'man'xing
完人论,wan'ren'lun
唯能力论,wei'neng'li'lun
委权说,wei'quan'shuo
唯信德论,wei'xin'de'lun
无方式信条,wu'fang'shi'xin'tiao
五观清,wu'guan'qing
无间,wu'jian
五圣界,wu'sheng'jie
五圣界说,wu'sheng'jie'shuo
五时三会,wu'shi'san'hui
五项基本原则,wu'xiang'ji'ben'yuan'ze
无伊玛目教义,wu'yi'ma'mu'jiao'yi
习惯说,xi'guan'shuo
喜悦,xi'yue
显现,xian'xian
现象一元论,xian'xiang'yi'yuan'lun
先知无罪教义,xian'zhi'wu'zui'jiao'yi
相对隐密世界,xiang'dui'yin'mi'shi'jie
相聚,xiang'ju
小世界,xiao'shi'jie
小隐遁,xiao'yin'dun
协商,xie'shang
心,xin
心见,xin'jian
新凯拉姆,xin'kai'la'mu
心灵之眼,xin'ling'zhi'yan
信条,xin'tiao
信仰学,xin'yang'xue
形界,xing'jie
续认,xu'ren
逊色的伊玛目教义,xun'se'de'yi'ma'mu'jiao'yi
一,yi
伊玛目教义,yi'ma'mu'jiao'yi
伊玛目无罪教义,yi'ma'mu'wu'zui'jiao'yi
一神论,yi'shen'lun
伊斯兰复兴,yi'si'lan'fu'xing
伊斯兰国家,yi'si'lan'guo'jia
伊斯兰教哲学,yi'si'lan'jiao'zhe'xue
伊斯兰金融,yi'si'lan'jin'rong
伊斯兰经济,yi'si'lan'jing'ji
伊斯兰经济学,yi'si'lan'jing'ji'xue
伊斯兰社会主义,yi'si'lan'she'hui'zhu'yi
伊斯兰现代主义,yi'si'lan'xian'dai'zhu'yi
伊斯兰银行,yi'si'lan'yin'hang
伊斯兰原教旨主义,yi'si'lan'yuan'jiao'zhi'zhu'yi
以体哈德,yi'ti'ha'de
一用学,yi'yong'xue
易真,yi'zhen
意志自由论,yi'zhi'zi'you'lun
隐遁教义,yin'dun'jiao'yi
隐秘,yin'mi
永存,yong'cun
有,you
余光,yu'guang
宇宙精神,yu'zhou'jing'shen
宇宙灵魂,yu'zhou'ling'hun
原型界,yuan'xing'jie
原子论,yuan'zi'lun
再世说,zai'shi'shuo
赞许性,zan'xu'xing
照明,zhao'ming
真乘,zhen'cheng
真赐,zhen'ci
真光,zhen'guang
真教说,zhen'jiao'shuo
真理,zhen'li
真我,zhen'wo
真一,zhen'yi
真忠,zhen'zhong
真主世界,zhen'zhu'shi'jie
正变,zheng'bian
正教论,zheng'jiao'lun
正命,zheng'ming
正人,zheng'ren
正学,zheng'xue
至诚之征,zhi'cheng'zhi'zheng
至道,zhi'dao
至人,zhi'ren
知认,zhi'ren
知识,zhi'shi
至孝,zhi'xiao
止一之光,zhi'yi'zhi'guang
止一之余光,zhi'yi'zhi'yu'guang
中道,zhong'dao
中断期,zhong'duan'qi
周期圣职史,zhou'qi'sheng'zhi'shi
状态,zhuang'tai
自我,zi'wo
自性,zi'xing
