阿道网络,a'dao'wang'luo
长春市北客运站,chang'chun'shi'bei'ke'yun'zhan
长春市博士后公寓,chang'chun'shi'bo'shi'hou'gong'yu
长春书城,chang'chun'shu'cheng
长春苇子沟,chang'chun'wei'zi'gou
长春质检大楼,chang'chun'zhi'jian'da'lou
长海大酒店,chang'hai'da'jiu'dian
昌和机械,chang'he'ji'xie
长惠,chang'hui
长吉高速,chang'ji'gao'su
长江村,chang'jiang'cun
长客宾馆,chang'ke'bin'guan
长岭集团,chang'ling'ji'tuan
长青八队,chang'qing'ba'dui
长青村,chang'qing'cun
长融大厦,chang'rong'da'sha
长师分院,chang'shi'fen'yuan
长税东区,chang'shui'dong'qu
长通路,chang'tong'lu
长邮,chang'you
长邮宿舍含所有分布系统,chang'you'su'she'han'suo'you'fen'bu'xi'tong
超维公司,chao'wei'gong'si
朝鲜报社,chao'xian'bao'she
朝阳沟,chao'yang'gou
朝阳区政府,chao'yang'qu'zheng'fu
朝族中学,chao'zu'zhong'xue
晨光大厦,chen'guang'da'sha
陈家大院,chen'jia'da'yuan
城西,cheng'xi
齿轮厂仓库,chi'lun'chang'cang'ku
重庆路,chong'qing'lu
崇智商城,chong'zhi'shang'cheng
川王福,chuan'wang'fu
创业大厦,chuang'ye'da'sha
春城,chun'cheng
大成玉米贸易楼,da'cheng'yu'mi'mao'yi'lou
大东汽车,da'dong'qi'che
大鹅岛,da'e'dao
大房子屯,da'fang'zi'tun
大孤榆树,da'gu'yu'shu
大华,da'hua
大梁屯,da'liang'tun
大千洗浴,da'qian'xi'yu
大市场,da'shi'chang
大隋,da'sui
大屯,da'tun
大屯机场,da'tun'ji'chang
达新校区,da'xin'xiao'qu
大正集团,da'zheng'ji'tuan
大众销售楼,da'zhong'xiao'shou'lou
岱山公园,dai'shan'gong'yuan
党校礼堂,dang'xiao'li'tang
德昌,de'chang
德惠,de'hui
德惠公安局,de'hui'gong'an'ju
德惠生产楼,de'hui'sheng'chan'lou
德惠水泥厂,de'hui'shui'ni'chang
德惠自来水,de'hui'zi'lai'shui
德阳热力,de'yang're'li
登峰电器,deng'feng'dian'qi
灯泡电线厂,deng'pao'dian'xian'chang
低压开关,di'ya'kai'guan
第一制水,di'yi'zhi'shui
地质队,di'zhi'dui
电视台,dian'shi'tai
电台,dian'tai
电台街,dian'tai'jie
电讯仪表厂,dian'xun'yi'biao'chang
电业文化宫,dian'ye'wen'hua'gong
电子信息学校,dian'zi'xin'xi'xue'xiao
刁家山,diao'jia'shan
鼎盛国际写字楼,ding'sheng'guo'ji'xie'zi'lou
东北师大,dong'bei'shi'da
东北输送,dong'bei'shu'song
东北亚,dong'bei'ya
东北银贸,dong'bei'yin'mao
东朝阳路,dong'chao'yang'lu
东大桥,dong'da'qiao
东二,dong'er
东二条,dong'er'tiao
东方广场,dong'fang'guang'chang
东方家园,dong'fang'jia'yuan
东方医院,dong'fang'yi'yuan
东光宾馆,dong'guang'bin'guan
东海,dong'hai
动画学院,dong'hua'xue'yuan
东环城,dong'huan'cheng
东皇房地产,dong'huang'fang'di'chan
东九,dong'jiu
东岭大街,dong'ling'da'jie
东煤公司,dong'mei'gong'si
东门,dong'men
东什,dong'shen
东市场,dong'shi'chang
东师会馆,dong'shi'hui'guan
东四,dong'si
东五,dong'wu
东旭集团,dong'xu'ji'tuan
东站,dong'zhan
俄语学院,e'yu'xue'yuan
二道武装部,er'dao'wu'zhuang'bu
二二八厂,er'er'ba'chang
二航院,er'hang'yuan
二木器,er'mu'qi
二商店,er'shang'dian
二十三中,er'shi'san'zhong
发报台,fa'bao'tai
范家店,fan'jia'dian
繁明装饰,fan'ming'zhuang'shi
繁荣路,fan'rong'lu
防腐厂,fang'fu'chang
放牛沟,fang'niu'gou
方志馆,fang'zhi'guan
飞机场,fei'ji'chang
菲米莱宾馆,fei'mi'lai'bin'guan
飞跃路,fei'yue'lu
奋进村,fen'jin'cun
分水,fen'shui
分水二队,fen'shui'er'dui
冯家窝棚,feng'jia'wo'peng
峰林山舍,feng'lin'shan'she
福达大厦,fu'da'da'sha
富峰,fu'feng
复合肥料,fu'he'fei'liao
福利塑料,fu'li'su'liao
富强水库,fu'qiang'shui'ku
抚松路,fu'song'lu
福星,fu'xing
富裕村,fu'yu'cun
富裕小学,fu'yu'xiao'xue
服装九厂,fu'zhuang'jiu'chang
肝胆医院,gan'dan'yi'yuan
钢厂服务公司,gang'chang'fu'wu'gong'si
钢窗分厂,gang'chuang'fen'chang
高新火炬,gao'xin'huo'ju
格林梦,ge'lin'meng
公安专科含所有分布系统,gong'an'zhuan'ke'han'suo'you'fen'bu'xi'tong
工程分院含所有分布系统,gong'cheng'fen'yuan'han'suo'you'fen'bu'xi'tong
工程技术学校,gong'cheng'ji'shu'xue'xiao
工程局,gong'cheng'ju
工大,gong'da
工大含所有分布系统,gong'da'han'suo'you'fen'bu'xi'tong
工大林园校区含所有分布系统,gong'da'lin'yuan'xiao'qu'han'suo'you'fen'bu'xi'tong
工大南湖校区含所有分布系统,gong'da'nan'hu'xiao'qu'han'suo'you'fen'bu'xi'tong
工大汽修,gong'da'qi'xiu
工大人文信息学院,gong'da'ren'wen'xin'xi'xue'yuan
供电大厦,gong'dian'da'sha
工人文化宫,gong'ren'wen'hua'gong
工商行政管理局,gong'shang'xing'zheng'guan'li'ju
工运公司,gong'yun'gong'si
广播地球,guang'bo'di'qiu
广播局,guang'bo'ju
光大银行解放大路,guang'da'yin'hang'jie'fang'da'lu
广电中心,guang'dian'zhong'xin
光华集团,guang'hua'ji'tuan
光华学院,guang'hua'xue'yuan
光华学院含所有底层网,guang'hua'xue'yuan'han'suo'you'di'ceng'wang
光机所,guang'ji'suo
光明村,guang'ming'cun
光明大厦含所有分布系统,guang'ming'da'sha'han'suo'you'fen'bu'xi'tong
广源宾馆,guang'yuan'bin'guan
广源宾馆分部,guang'yuan'bin'guan'fen'bu
广泽乳业,guang'ze'ru'ye
硅谷大厦,gui'gu'da'sha
硅谷医院,gui'gu'yi'yuan
桂林路恒客隆,gui'lin'lu'heng'ke'long
桂林路商厦,gui'lin'lu'shang'sha
桂林路市场微蜂窝,gui'lin'lu'shi'chang'wei'feng'wo
国富车厢,guo'fu'che'xiang
国际大厦含所有分布系统,guo'ji'da'sha'han'suo'you'fen'bu'xi'tong
国际饭店,guo'ji'fan'dian
国际贸易中心,guo'ji'mao'yi'zhong'xin
国基软件,guo'ji'ruan'jian
郭家,guo'jia
国贸华联,guo'mao'hua'lian
国贸商都,guo'mao'shang'du
国美电器桂林路,guo'mei'dian'qi'gui'lin'lu
果品批发,guo'pin'pi'fa
国商友谊店,guo'shang'you'yi'dian
国税大楼,guo'shui'da'lou
国土资源局,guo'tu'zi'yuan'ju
果园,guo'yuan
海关微蜂窝,hai'guan'wei'feng'wo
汉口药厂,han'kou'yao'chang
航空航天大学,hang'kong'hang'tian'da'xue
豪龙酒店,hao'long'jiu'dian
好望角微蜂窝,hao'wang'jiao'wei'feng'wo
豪洋汽修,hao'yang'qi'xiu
皓月,hao'yue
合力汽车,he'li'qi'che
和平大街,he'ping'da'jie
和平大世界,he'ping'da'shi'jie
和顺,he'shun
何晓影学校,he'xiao'ying'xue'xiao
黑嘴子仓库,hei'zui'zi'cang'ku
恒达路桥,heng'da'lu'qiao
恒泰燃料,heng'tai'ran'liao
亨祥,heng'xiang
鸿城国际含所有分布系统,hong'cheng'guo'ji'han'suo'you'fen'bu'xi'tong
宏大科技,hong'da'ke'ji
弘海,hong'hai
红旗街地下商场,hong'qi'jie'di'xia'shang'chang
虹桥医院,hong'qiao'yi'yuan
宏盛小区,hong'sheng'xiao'qu
鸿祥宾馆,hong'xiang'bin'guan
红星橡塑,hong'xing'xiang'su
宏禹建筑,hong'yu'jian'zhu
宏运公路,hong'yun'gong'lu
红嘴村,hong'zui'cun
后香水,hou'xiang'shui
虎林,hu'lin
化工仓库,hua'gong'cang'ku
华联吉买盛,hua'lian'ji'mai'sheng
花莲路,hua'lian'lu
华侨饭店,hua'qiao'fan'dian
华维彩印,hua'wei'cai'yin
华信电子,hua'xin'dian'zi
华洋饭店,hua'yang'fan'dian
华苑宾馆含所有分布系统,hua'yuan'bin'guan'han'suo'you'fen'bu'xi'tong
华苑健身俱乐部,hua'yuan'jian'shen'ju'le'bu
花园酒店,hua'yuan'jiu'dian
花园酒店含所有分布系统,hua'yuan'jiu'dian'han'suo'you'fen'bu'xi'tong
花园小区,hua'yuan'xiao'qu
华政宾馆,hua'zheng'bin'guan
环保局,huan'bao'ju
环城中学,huan'cheng'zhong'xue
环球酒店,huan'qiu'jiu'dian
环球实业,huan'qiu'shi'ye
黄金设计院,huang'jin'she'ji'yuan
汇诚供热站,hui'cheng'gong're'zhan
汇丰公司,hui'feng'gong'si
汇腾汽车,hui'teng'qi'che
汇文,hui'wen
会展含所有分布系统,hui'zhan'han'suo'you'fen'bu'xi'tong
会展中心,hui'zhan'zhong'xin
火车站,huo'che'zhan
火车站微蜂窝,huo'che'zhan'wei'feng'wo
霍家岭,huo'jia'ling
火炬路,huo'ju'lu
吉大大学城含所有分布系统,ji'da'da'xue'cheng'han'suo'you'fen'bu'xi'tong
吉大经信,ji'da'jing'xin
吉大经信含所有分布系统,ji'da'jing'xin'han'suo'you'fen'bu'xi'tong
吉大南校,ji'da'nan'xiao
吉大南校区含所有分布系统,ji'da'nan'xiao'qu'han'suo'you'fen'bu'xi'tong
吉大友谊会馆,ji'da'you'yi'hui'guan
纪家粉坊,ji'jia'fen'fang
吉粮大厦,ji'liang'da'sha
吉林地勘院,ji'lin'di'kan'yuan
吉林交投,ji'lin'jiao'tou
吉林省地税局办公室,ji'lin'sheng'di'shui'ju'ban'gong'shi
吉林省武警总队,ji'lin'sheng'wu'jing'zong'dui
吉林通,ji'lin'tong
吉林通建,ji'lin'tong'jian
吉隆坡,ji'long'po
吉隆坡大酒店,ji'long'po'da'jiu'dian
计生委,ji'sheng'wei
吉顺街,ji'shun'jie
机务站,ji'wu'zhan
吉祥,ji'xiang
吉源建设,ji'yuan'jian'she
甲二路,jia'er'lu
家乐福,jia'le'fu
佳林集团,jia'lin'ji'tuan
佳瑞汽车,jia'rui'qi'che
甲十路,jia'shi'lu
建材厂,jian'cai'chang
建材大厦,jian'cai'da'sha
建国村,jian'guo'cun
建设大厦,jian'she'da'sha
建设街,jian'she'jie
建设局,jian'she'ju
交通职业技校,jiao'tong'zhi'ye'ji'xiao
教育学院,jiao'yu'xue'yuan
结核,jie'he
金安酒店,jin'an'jiu'dian
锦城大队,jin'cheng'da'dui
金川街,jin'chuan'jie
金达散热,jin'da'san're
金都饭店,jin'du'fan'dian
金刚物流,jin'gang'wu'liu
巾帼大厦,jin'guo'da'sha
金河,jin'he
锦湖轮胎,jin'hu'lun'tai
金环大酒店,jin'huan'da'jiu'dian
金钱农工商,jin'qian'nong'gong'shang
金桥大厦,jin'qiao'da'sha
金融大厦,jin'rong'da'sha
金融高等专科学校,jin'rong'gao'deng'zhuan'ke'xue'xiao
锦水路,jin'shui'lu
金悦大酒店,jin'yue'da'jiu'dian
警官培训中心,jing'guan'pei'xun'zhong'xin
经开检察院,jing'kai'jian'cha'yuan
经开区管委会,jing'kai'qu'guan'wei'hui
经开体育场,jing'kai'ti'yu'chang
精密铸造,jing'mi'zhu'zao
净水厂,jing'shui'chang
净月,jing'yue
净月东,jing'yue'dong
净月二厂,jing'yue'er'chang
净月二实验,jing'yue'er'shi'yan
净月高尔夫,jing'yue'gao'er'fu
净月公安分局,jing'yue'gong'an'fen'ju
净月光机所,jing'yue'guang'ji'suo
净月滑雪场,jing'yue'hua'xue'chang
净月监狱,jing'yue'jian'yu
净月居民区,jing'yue'ju'min'qu
净月农林,jing'yue'nong'lin
净月税务学院,jing'yue'shui'wu'xue'yuan
九郊劳务,jiu'jiao'lao'wu
九台,jiu'tai
九台黑林子,jiu'tai'hei'lin'zi
九台生产楼,jiu'tai'sheng'chan'lou
九台师范,jiu'tai'shi'fan
九台双山村,jiu'tai'shuang'shan'cun
九台畜牧站,jiu'tai'xu'mu'zhan
卷烟厂,juan'yan'chang
军需大学,jun'xu'da'xue
军需大学招待所,jun'xu'da'xue'zhao'dai'suo
君子兰,jun'zi'lan
凯旋路,kai'xuan'lu
凯旋物流,kai'xuan'wu'liu
开元村,kai'yuan'cun
康发,kang'fa
客车厂,ke'che'chang
科技示范园,ke'ji'shi'fan'yuan
科学会堂,ke'xue'hui'tang
客运公司,ke'yun'gong'si
客运站,ke'yun'zhan
空调公司,kong'tiao'gong'si
空一军,kong'yi'jun
宽城电业,kuan'cheng'dian'ye
宽城二实验,kuan'cheng'er'shi'yan
宽城分局,kuan'cheng'fen'ju
宽城区地税局,kuan'cheng'qu'di'shui'ju
宽城邮电,kuan'cheng'you'dian
昆山路,kun'shan'lu
拉洛村委会,la'luo'cun'wei'hui
拉骆屯,la'luo'tun
莱姆顿学院,lai'mu'dun'xue'yuan
蓝盾,lan'dun
兰家村,lan'jia'cun
老农林,lao'nong'lin
雷诺实业,lei'nuo'shi'ye
利尔康,li'er'kang
理工大学法学院,li'gong'da'xue'fa'xue'yuan
理工国防,li'gong'guo'fang
理工图书馆,li'gong'tu'shu'guan
理工研究生,li'gong'yan'jiu'sheng
利国局,li'guo'ju
立交桥,li'jiao'qiao
黎明村,li'ming'cun
黎明实业,li'ming'shi'ye
利天宾馆,li'tian'bin'guan
连发大厦,lian'fa'da'sha
联合书城,lian'he'shu'cheng
莲花泡,lian'hua'pao
粮食高等专科,liang'shi'gao'deng'zhuan'ke
良种厂,liang'zhong'chang
临河街,lin'he'jie
临河街区,lin'he'jie'qu
岭东,ling'dong
刘家,liu'jia
龙凤,long'feng
龙峰殡仪馆,long'feng'bin'yi'guan
龙府,long'fu
龙嘉机场,long'jia'ji'chang
龙家机场微蜂窝含所有分布系统,long'jia'ji'chang'wei'feng'wo'han'suo'you'fen'bu'xi'tong
隆西村,long'xi'cun
龙兴商贸园,long'xing'shang'mao'yuan
聋哑学校,long'ya'xue'xiao
陆家湾,lu'jia'wan
绿地,lv'di
马家,ma'jia
马家北,ma'jia'bei
美印溪谷,mei'yin'xi'gu
孟家,meng'jia
棉麻,mian'ma
庙队,miao'dui
民丰村,min'feng'cun
民生大厦,min'sheng'da'sha
民政大厦,min'zheng'da'sha
名车,ming'che
明达实业,ming'da'shi'ye
名门饭店,ming'men'fan'dian
名门基地,ming'men'ji'di
明水路,ming'shui'lu
明星,ming'xing
铭扬艺校,ming'yang'yi'xiao
明珠南,ming'zhu'nan
磨料磨具,mo'liao'mo'ju
木材,mu'cai
木材公司,mu'cai'gong'si
木质素,mu'zhi'su
南关法院,nan'guan'fa'yuan
南关检察院微蜂窝,nan'guan'jian'cha'yuan'wei'feng'wo
南关区交警大队,nan'guan'qu'jiao'jing'da'dui
南湖宾馆含所有分布系统,nan'hu'bin'guan'han'suo'you'fen'bu'xi'tong
南岭商务,nan'ling'shang'wu
南岭体育场含所有分布系统,nan'ling'ti'yu'chang'han'suo'you'fen'bu'xi'tong
南山,nan'shan
酿造厂,niang'zao'chang
农安,nong'an
农安街,nong'an'jie
农安生产楼,nong'an'sheng'chan'lou
农大,nong'da
农大含所有分布系统,nong'da'han'suo'you'fen'bu'xi'tong
农大烘干室,nong'da'hong'gan'shi
农大学生公寓,nong'da'xue'sheng'gong'yu
农电局,nong'dian'ju
农机局,nong'ji'ju
农科院,nong'ke'yuan
农林六社南沟,nong'lin'liu'she'nan'gou
农业大楼,nong'ye'da'lou
农业发展学院,nong'ye'fa'zhan'xue'yuan
农业技术推广中心,nong'ye'ji'shu'tui'guang'zhong'xin
暖气片厂,nuan'qi'pian'chang
诺亚明珠,nuo'ya'ming'zhu
女犯监狱,nv'fan'jian'yu
欧亚车百,ou'ya'che'bai
欧亚卖场含所有分布系统,ou'ya'mai'chang'han'suo'you'fen'bu'xi'tong
欧亚新发,ou'ya'xin'fa
欧亚益民商厦,ou'ya'yi'min'shang'sha
欧元时尚,ou'yuan'shi'shang
鹏城医院,peng'cheng'yi'yuan
平湖,ping'hu
平泉路,ping'quan'lu
平阳街,ping'yang'jie
浦东,pu'dong
浦发银行,pu'fa'yin'hang
普阳,pu'yang
奇克集团,qi'ke'ji'tuan
七十四中,qi'shi'si'zhong
七十中学,qi'shi'zhong'xue
气象站,qi'xiang'zhan
千锤纸业,qian'chui'zhi'ye
前存金堡,qian'cun'jin'bao
前进大街,qian'jin'da'jie
前沿中专,qian'yan'zhong'zhuan
庆丰大厦,qing'feng'da'sha
轻轨车库,qing'gui'che'ku
清萌路,qing'meng'lu
青年路,qing'nian'lu
青年路北京华联,qing'nian'lu'bei'jing'hua'lian
全安,quan'an
全达公司,quan'da'gong'si
燃气公司,ran'qi'gong'si
热力公司,re'li'gong'si
仁德集团,ren'de'ji'tuan
人防地下,ren'fang'di'xia
人民广场,ren'min'guang'chang
人民日报,ren'min'ri'bao
人民制药,ren'min'zhi'yao
日新六队,ri'xin'liu'dui
融创上城,rong'chuang'shang'cheng
荣福牧业,rong'fu'mu'ye
瑞阳广场,rui'yang'guang'chang
赛德时尚购物中心,sai'de'shi'shang'gou'wu'zhong'xin
三道木材厂,san'dao'mu'cai'chang
三佳集团,san'jia'ji'tuan
三角大厦,san'jiao'da'sha
三里桥,san'li'qiao
三菱运输,san'ling'yun'shu
散热器厂,san're'qi'chang
三十中,san'shi'zhong
上海路,shang'hai'lu
上台村,shang'tai'cun
商业大厦,shang'ye'da'sha
少年宫,shao'nian'gong
省宾馆,sheng'bin'guan
省测绘局,sheng'ce'hui'ju
省测绘院,sheng'ce'hui'yuan
生产楼,sheng'chan'lou
生产资料,sheng'chan'zi'liao
盛达公司,sheng'da'gong'si
省二实验,sheng'er'shi'yan
省公安厅,sheng'gong'an'ting
省构件厂,sheng'gou'jian'chang
省机电公司,sheng'ji'dian'gong'si
省建联,sheng'jian'lian
省建研院,sheng'jian'yan'yuan
省建筑设计院,sheng'jian'zhu'she'ji'yuan
胜利支局,sheng'li'zhi'ju
省石油,sheng'shi'you
盛世之星,sheng'shi'zhi'xing
省图书馆,sheng'tu'shu'guan
省土畜,sheng'tu'xu
省委办公楼,sheng'wei'ban'gong'lou
省委党校,sheng'wei'dang'xiao
省委二号楼,sheng'wei'er'hao'lou
省委汽修,sheng'wei'qi'xiu
省消防总队,sheng'xiao'fang'zong'dui
时代服饰,shi'dai'fu'shi
师范学院,shi'fan'xue'yuan
师范学院含所有分布系统,shi'fan'xue'yuan'han'suo'you'fen'bu'xi'tong
石化公司,shi'hua'gong'si
世纪大街,shi'ji'da'jie
十里堡,shi'li'pu
十六军,shi'liu'jun
十七中,shi'qi'zhong
市审计所,shi'shen'ji'suo
市体校,shi'ti'xiao
世同医院,shi'tong'yi'yuan
市委主楼,shi'wei'zhu'lou
实验,shi'yan
实验二中,shi'yan'er'zhong
试验机厂,shi'yan'ji'chang
十一中,shi'yi'zhong
石油管道局,shi'you'guan'dao'ju
石油招待所,shi'you'zhao'dai'suo
市政府微蜂窝,shi'zheng'fu'wei'feng'wo
十字街,shi'zi'jie
蔬菜市场,shu'cai'shi'chang
书林,shu'lin
双丰集团,shuang'feng'ji'tuan
双桥,shuang'qiao
双山村,shuang'shan'cun
双阳,shuang'yang
水泥瓦厂,shui'ni'wa'chang
水田,shui'tian
税务学院,shui'wu'xue'yuan
税务学院经济信息,shui'wu'xue'yuan'jing'ji'xin'xi
顺通物流,shun'tong'wu'liu
四环动能,si'huan'dong'neng
四间村,si'jian'cun
四间小学,si'jian'xiao'xue
四小学,si'xiao'xue
松花江大学,song'hua'jiang'da'xue
宋家分局,song'jia'fen'ju
松苑宾馆,song'yuan'bin'guan
松原市人民政府驻长春办事处,song'yuan'shi'ren'min'zheng'fu'zhu'chang'chun'ban'shi'chu
苏家窝棚,su'jia'wo'peng
孙进技校,sun'jin'ji'xiao
泰莲集团,tai'lian'ji'tuan
泰山宾馆,tai'shan'bin'guan
太阳家居含所有分布系统,tai'yang'jia'ju'han'suo'you'fen'bu'xi'tong
坦克学校,tan'ke'xue'xiao
探矿机械厂,tan'kuang'ji'xie'chang
潭西村,tan'xi'cun
腾达制衣,teng'da'zhi'yi
体育馆,ti'yu'guan
体育学校,ti'yu'xue'xiao
体育学院临河街,ti'yu'xue'yuan'lin'he'jie
体院训练馆,ti'yuan'xun'lian'guan
天安第一城,tian'an'di'yi'cheng
天地大厦,tian'di'da'sha
天地十二坊,tian'di'shi'er'fang
天鹅湖酒店,tian'e'hu'jiu'dian
天富公馆,tian'fu'gong'guan
天骄大厦,tian'jiao'da'sha
天力零部件,tian'li'ling'bu'jian
天新饭店,tian'xin'fan'dian
天药科技,tian'yao'ke'ji
天云宾馆,tian'yun'bin'guan
铁北创业园,tie'bei'chuang'ye'yuan
铁北供热,tie'bei'gong're
铁塔厂,tie'ta'chang
铁西,tie'xi
同光路,tong'guang'lu
同心小学,tong'xin'xiao'xue
图书馆,tu'shu'guan
土畜产公司,tu'xu'chan'gong'si
团结路,tuan'jie'lu
团山村,tuan'shan'cun
拖拉机,tuo'la'ji
外运车队,wai'yun'che'dui
万达,wan'da
万科城市花园含万科上东区,wan'ke'cheng'shi'hua'yuan'han'wan'ke'shang'dong'qu
万顺,wan'shun
万鑫大厦,wan'xin'da'sha
旺发窗业,wang'fa'chuang'ye
威尼斯含所有分布系统,wei'ni'si'han'suo'you'fen'bu'xi'tong
威特学校,wei'te'xue'xiao
卫星村,wei'xing'cun
卫星二队,wei'xing'er'dui
卫星工业园区,wei'xing'gong'ye'yuan'qu
温州城,wen'zhou'cheng
我的家园分布,wo'de'jia'yuan'fen'bu
沃尔玛微蜂窝万达,wo'er'ma'wei'feng'wo'wan'da
五环体育馆含所有分布系统,wu'huan'ti'yu'guan'han'suo'you'fen'bu'xi'tong
吴家店,wu'jia'dian
武警教导大队,wu'jing'jiao'dao'da'dui
武警训练基地,wu'jing'xun'lian'ji'di
物贸宾馆,wu'mao'bin'guan
五十八中学,wu'shi'ba'zhong'xue
污水处理,wu'shui'chu'li
五五所,wu'wu'suo
五站,wu'zhan
武装部,wu'zhuang'bu
西湖大路,xi'hu'da'lu
西湖水库,xi'hu'shui'ku
西环城,xi'huan'cheng
西九供热站,xi'jiu'gong're'zhan
喜客多,xi'ke'duo
西六,xi'liu
西四马路,xi'si'ma'lu
西屋,xi'wu
西新,xi'xin
西新北,xi'xin'bei
西装厂,xi'zhuang'chang
线材厂,xian'cai'chang
现代计算机,xian'dai'ji'suan'ji
先锋会馆,xian'feng'hui'guan
仙台长春日报,xian'tai'chang'chun'ri'bao
香格里拉大酒店,xiang'ge'li'la'da'jiu'dian
乡企局,xiang'qi'ju
翔云街,xiang'yun'jie
小城子,xiao'cheng'zi
消防教导大队,xiao'fang'jiao'dao'da'dui
小谷窝棚,xiao'gu'wo'peng
小河台,xiao'he'tai
小河沿,xiao'he'yan
新干线旅店,xin'gan'xian'lv'dian
新华村,xin'hua'cun
新华医院,xin'hua'yi'yuan
新华印刷厂,xin'hua'yin'shua'chang
新吉粮,xin'ji'liang
新开河西,xin'kai'he'xi
新立城,xin'li'cheng
新民,xin'min
新民长春日报,xin'min'chang'chun'ri'bao
新南关区法院,xin'nan'guan'qu'fa'yuan
鑫盛机械,xin'sheng'ji'xie
新星锅炉,xin'xing'guo'lu
新兴学校,xin'xing'xue'xiao
新型铸管厂,xin'xing'zhu'guan'chang
鑫园会馆,xin'yuan'hui'guan
新苑小区,xin'yuan'xiao'qu
新月汽修,xin'yue'qi'xiu
新月屯,xin'yue'tun
新洲,xin'zhou
幸福信用社,xing'fu'xin'yong'she
兴隆村,xing'long'cun
兴隆山,xing'long'shan
兴业农场,xing'ye'nong'chang
兴业卫生服务站,xing'ye'wei'sheng'fu'wu'zhan
星宇大厦,xing'yu'da'sha
修正药业,xiu'zheng'yao'ye
旭阳集团,xu'yang'ji'tuan
雪枫机械,xue'feng'ji'xie
亚泰大饭店含所有分布系统,ya'tai'da'fan'dian'han'suo'you'fen'bu'xi'tong
亚泰饭店,ya'tai'fan'dian
亚泰富苑含所有分布系统,ya'tai'fu'yuan'han'suo'you'fen'bu'xi'tong
亚泰会馆,ya'tai'hui'guan
亚细亚微蜂窝,ya'xi'ya'wei'feng'wo
烟草,yan'cao
雁鸣湖大酒店,yan'ming'hu'da'jiu'dian
阳光供热,yang'guang'gong're
杨家村,yang'jia'cun
杨家大修,yang'jia'da'xiu
移动生产楼,yi'dong'sheng'chan'lou
移动枢纽微蜂窝,yi'dong'shu'niu'wei'feng'wo
移动营业厅,yi'dong'ying'ye'ting
一间堡,yi'jian'bao
一克拉,yi'ke'la
一匡街,yi'kuang'jie
一汽,yi'qi
一汽备品,yi'qi'bei'pin
一汽储运,yi'qi'chu'yun
一汽公安处,yi'qi'gong'an'chu
一汽轿车,yi'qi'jiao'che
一汽街区,yi'qi'jie'qu
一汽经贸,yi'qi'jing'mao
一汽模具,yi'qi'mu'ju
一汽启明,yi'qi'qi'ming
一汽物流,yi'qi'wu'liu
一汽五四街区,yi'qi'wu'si'jie'qu
一汽信息楼,yi'qi'xin'xi'lou
一汽一站,yi'qi'yi'zhan
一汽邮局,yi'qi'you'ju
一汽总医院,yi'qi'zong'yi'yuan
艺术设计学校,yi'shu'she'ji'xue'xiao
一王生物,yi'wang'sheng'wu
医学高等专科,yi'xue'gao'deng'zhuan'ke
医药仓库,yi'yao'cang'ku
银联大厦室内,yin'lian'da'sha'shi'nei
银桥大厦,yin'qiao'da'sha
印刷机械,yin'shua'ji'xie
