昂扬向上的民族精神,ang'yang'xiang'shang'de'min'zu'jing'shen
就如同空气污浊,jiu'ru'tong'kong'qi'wu'zhuo
具有很强的现实性,ju'you'hen'qiang'de'xian'shi'xing
具有重大而深远的战略意义,ju'you'zhong'da'er'shen'yuan'de'zhan'lue'yi'yi
军事,jun'shi
开展基本国情和形势政策教育,kai'zhan'ji'ben'guo'qing'he'xing'shi'zheng'ce'jiao'yu
开展科学发展观教育,kai'zhan'ke'xue'fa'zhan'guan'jiao'yu
开展中国革命,kai'zhan'zhong'guo'ge'ming
科技,ke'ji
可谓利国利民,ke'wei'li'guo'li'min
科学发展观决定正确政绩观,ke'xue'fa'zhan'guan'jue'ding'zheng'que'zheng'ji'guan
科学发展是协调的发展,ke'xue'fa'zhan'shi'xie'tiao'de'fa'zhan
科学发展是有良心的发展,ke'xue'fa'zhan'shi'you'liang'xin'de'fa'zhan
科学发展是有伦理精神的发展,ke'xue'fa'zhan'shi'you'lun'li'jing'shen'de'fa'zhan
可以说,ke'yi'shuo
离开了发展,li'kai'le'fa'zhan
两个道理都应该讲,liang'ge'dao'li'dou'ying'gai'jiang
另一方面,ling'yi'fang'mian
民族创新性和发展的民众性,min'zu'chuang'xin'xing'he'fa'zhan'de'min'zhong'xing
民族素质的竞争,min'zu'su'zhi'de'jing'zheng
明礼诚信,ming'li'cheng'xin
目的,mu'di
难以公共大众化,nan'yi'gong'gong'da'zhong'hua
内涵,nei'han
起决定作用的还是人的竞争,qi'jue'ding'zuo'yong'de'hai'shi'ren'de'jing'zheng
其内容不仅针对时弊,qi'nei'rong'bu'jin'zhen'dui'shi'bi
切实做到用制度管权,qie'shi'zuo'dao'yong'zhi'du'guan'quan
勤俭自强,qin'jian'zi'qiang
确保实现全面建设小康社会,que'bao'shi'xian'quan'mian'jian'she'xiao'kang'she'hui
确立马克思主义的坚定信念,que'li'ma'ke'si'zhu'yi'de'jian'ding'xin'nian
人们会因为生活得不舒适,ren'men'hui'yin'wei'sheng'huo'de'bu'shu'shi
人民群众的生活质量,ren'min'qun'zhong'de'sheng'huo'zhi'liang
人生观和价值观教育,ren'sheng'guan'he'jia'zhi'guan'jiao'yu
人生观及其评价标准,ren'sheng'guan'ji'qi'ping'jia'biao'zhun
认识国家的前途命运,ren'shi'guo'jia'de'qian'tu'ming'yun
认识自己的社会责任,ren'shi'zi'ji'de'she'hui'ze'ren
软者为伦理道德,ruan'zhe'wei'lun'li'dao'de
三是以基本道德规范为基础,san'shi'yi'ji'ben'dao'de'gui'fan'wei'ji'chu
丧失国家意识,sang'shi'guo'jia'yi'shi
善于创造甘于奉献,shan'yu'chuang'zao'gan'yu'feng'xian
社会主义荣辱观的提出,she'hui'zhu'yi'rong'ru'guan'de'ti'chu
深入进行公民道德教育,shen'ru'jin'xing'gong'min'dao'de'jiao'yu
深入进行树立正确的世界观,shen'ru'jin'xing'shu'li'zheng'que'de'shi'jie'guan
深入进行素质教育,shen'ru'jin'xing'su'zhi'jiao'yu
深入开展党的基本理论,shen'ru'kai'zhan'dang'de'ji'ben'li'lun
使大学生正确认识社会发展规律,shi'da'xue'sheng'zheng'que'ren'shi'she'hui'fa'zhan'gui'lv
是方法论与价值论的统一,shi'fang'fa'lun'yu'jia'zhi'lun'de'tong'yi
是合规律性与合目的性的统一,shi'he'gui'lv'xing'yu'he'mu'di'xing'de'tong'yi
是民族的希望,shi'min'zu'de'xi'wang
是我们立党治党管党的根本大法,shi'wo'men'li'dang'zhi'dang'guan'dang'de'gen'ben'da'fa
使我们社会蒙上道德污垢,shi'wo'men'she'hui'meng'shang'dao'de'wu'gou
是有战斗力的,shi'you'zhan'dou'li'de
是在促进发展的过程中创造的,shi'zai'cu'jin'fa'zhan'de'guo'cheng'zhong'chuang'zao'de
是祖国的未来,shi'zu'guo'de'wei'lai
四是以大学生全面发展为目标,si'shi'yi'da'xue'sheng'quan'mian'fa'zhan'wei'mu'biao
它体现在经济,ta'ti'xian'zai'jing'ji
谈论政绩就毫无意义,tan'lun'zheng'ji'jiu'hao'wu'yi'yi
特别是社会转型时期,te'bie'shi'she'hui'zhuan'xing'shi'qi
提高他们的思想政治素质,ti'gao'ta'men'de'si'xiang'zheng'zhi'su'zhi
同时也降低了社会成员的道德感,tong'shi'ye'jiang'di'le'she'hui'cheng'yuan'de'dao'de'gan
团结友善,tuan'jie'you'shan
我们要想立于世界民族之林,wo'men'yao'xiang'li'yu'shi'jie'min'zu'zhi'lin
无处不在,wu'chu'bu'zai
无法覆盖社会各个领域,wu'fa'fu'gai'she'hui'ge'ge'ling'yu
无时不在,wu'shi'bu'zai
先说说大道理,xian'shuo'shuo'da'dao'li
小道理是做人,xiao'dao'li'shi'zuo'ren
要坚持不懈地用马克思列宁主义,yao'jian'chi'bu'xie'di'yong'ma'ke'si'lie'ning'zhu'yi
要求的总体看法和根本观点,yao'qiu'de'zong'ti'kan'fa'he'gen'ben'guan'dian
要引导大学生自觉遵守爱国守法,yao'yin'dao'da'xue'sheng'zi'jue'zun'shou'ai'guo'shou'fa
要正常运转,yao'zheng'chang'yun'zhuan
一般说来,yi'ban'shuo'lai
一方面,yi'fang'mian
一个国家,yi'ge'guo'jia
一个民族是否具有奋发进取,yi'ge'min'zu'shi'fou'ju'you'fen'fa'jin'qu
一个社会,yi'ge'she'hui
以国家主权为依托的本体性发展,yi'guo'jia'zhu'quan'wei'yi'tuo'de'ben'ti'xing'fa'zhan
一是以理想信念教育为核心,yi'shi'yi'li'xiang'xin'nian'jiao'yu'wei'he'xin
意义重大正当其时十分必要,yi'yi'zhong'da'zheng'dang'qi'shi'shi'fen'bi'yao
因此全面落实科学发展观,yin'ci'quan'mian'luo'shi'ke'xue'fa'zhan'guan
引导大学生勤于学习,yin'dao'da'xue'sheng'qin'yu'xue'xi
引导大学生在,yin'dao'da'xue'sheng'zai
应适应新形势新任务的要求,ying'shi'ying'xin'xing'shi'xin'ren'wu'de'yao'qiu
应有什么样的社会价值导向,ying'you'shen'me'yang'de'she'hui'jia'zhi'dao'xiang
硬者为法律法规,ying'zhe'wei'fa'lv'fa'gui
用制度管人,yong'zhi'du'guan'ren
用制度管事,yong'zhi'du'guan'shi
有道德有文化,you'dao'de'you'wen'hua
有的道德标准偏重崇高德性,you'de'dao'de'biao'zhun'pian'zhong'chong'gao'de'xing
有纪律的社会主义新人,you'ji'lv'de'she'hui'zhu'yi'xin'ren
有什么样的发展观,you'shen'me'yang'de'fa'zhan'guan
有一个大道理,you'yi'ge'da'dao'li
有一个小道理,you'yi'ge'xiao'dao'li
在荣辱观的问题上,zai'rong'ru'guan'de'wen'ti'shang
在实践中,zai'shi'jian'zhong
再说说小道理,zai'shuo'shuo'xiao'dao'li
在现实社会中,zai'xian'shi'she'hui'zhong
在一个日益开放,zai'yi'ge'ri'yi'kai'fang
这就克服了道德标准单一,zhe'jiu'ke'fu'le'dao'de'biao'zhun'dan'yi
这就提出了一个值得深思的问题,zhe'jiu'ti'chu'le'yi'ge'zhi'de'shen'si'de'wen'ti
这种规矩分硬软两种,zhe'zhong'gui'ju'fen'ying'ruan'liang'zhong
这种良心包括热爱国家,zhe'zhong'liang'xin'bao'kuo're'ai'guo'jia
这种伦理精神包括崇尚科学,zhe'zhong'lun'li'jing'shen'bao'kuo'chong'shang'ke'xue
真正坚持科学发展观,zhen'zheng'jian'chi'ke'xue'fa'zhan'guan
政绩观影响发展观,zheng'ji'guan'ying'xiang'fa'zhan'guan
政绩观则是领导干部,zheng'ji'guan'ze'shi'ling'dao'gan'bu
政绩是相对于发展而言的,zheng'ji'shi'xiang'dui'yu'fa'zhan'er'yan'de
政治,zheng'zhi
制度建设是党的建设的重要方面,zhi'du'jian'she'shi'dang'de'jian'she'de'zhong'yao'fang'mian
只有搞好制度建设,zhi'you'gao'hao'zhi'du'jian'she
中国的发展并不从属于全球化,zhong'guo'de'fa'zhan'bing'bu'cong'shu'yu'quan'qiu'hua
中国的发展离不开世界,zhong'guo'de'fa'zhan'li'bu'kai'shi'jie
中国已经深深地融入这一体系中,zhong'guo'yi'jing'shen'shen'de'rong'ru'zhe'yi'ti'xi'zhong
重要思想武装大学生,zhong'yao'si'xiang'wu'zhuang'da'xue'sheng
自主的,zi'zhu'de
总之,zong'zhi
遵纪守法等内容,zun'ji'shou'fa'deng'nei'rong
