按地区管理,an'di'qu'guan'li
税基,shui'ji
税款报解,shui'kuan'bao'jie
税款报解整理期,shui'kuan'bao'jie'zheng'li'qi
税款所属时期,shui'kuan'suo'shu'shi'qi
税款征收时期,shui'kuan'zheng'shou'shi'qi
税利合一,shui'li'he'yi
税率,shui'lv
税目,shui'mu
税收,shui'shou
税收负担,shui'shou'fu'dan
税收负担率,shui'shou'fu'dan'lv
税收杠杆,shui'shou'gang'gan
税收管理,shui'shou'guan'li
税收管理技术现代化,shui'shou'guan'li'ji'shu'xian'dai'hua
税收管理流程,shui'shou'guan'li'liu'cheng
税收管理体制,shui'shou'guan'li'ti'zhi
税收管理现代化,shui'shou'guan'li'xian'dai'hua
税收归宿,shui'shou'gui'su
税收计划,shui'shou'ji'hua
税收计划检查报告,shui'shou'ji'hua'jian'cha'bao'gao
税收监督,shui'shou'jian'du
税收解缴数,shui'shou'jie'jiao'shu
税收解库数,shui'shou'jie'ku'shu
税收会计,shui'shou'kuai'ji
税收立法权,shui'shou'li'fa'quan
税收目标管理,shui'shou'mu'biao'guan'li
税收票证,shui'shou'piao'zheng
税收入库数,shui'shou'ru'ku'shu
税收条例,shui'shou'tiao'li
税收条例实施细则,shui'shou'tiao'li'shi'shi'xi'ze
税收信息,shui'shou'xin'xi
税收应征数,shui'shou'ying'zheng'shu
税收预测,shui'shou'yu'ce
税收原则,shui'shou'yuan'ze
税收政策,shui'shou'zheng'ce
税收征管体系,shui'shou'zheng'guan'ti'xi
税收征收管理,shui'shou'zheng'shou'guan'li
税收征收管理形式,shui'shou'zheng'shou'guan'li'xing'shi
税收征收数,shui'shou'zheng'shou'shu
税收制度,shui'shou'zhi'du
税收转嫁,shui'shou'zhuan'jia
税收资金平衡表,shui'shou'zi'jin'ping'heng'biao
税务罚款,shui'wu'fa'kuan
税务复议,shui'wu'fu'yi
税务管理员,shui'wu'guan'li'yuan
税务管理制度,shui'wu'guan'li'zhi'du
税务机构,shui'wu'ji'gou
税务经费,shui'wu'jing'fei
税务统计,shui'wu'tong'ji
税务违章处理,shui'wu'wei'zhang'chu'li
税务专管员,shui'wu'zhuan'guan'yuan
税务专管员守则,shui'wu'zhuan'guan'yuan'shou'ze
税务专管员五要十不准,shui'wu'zhuan'guan'yuan'wu'yao'shi'bu'zhun
税源,shui'yuan
税制改革,shui'zhi'gai'ge
税制模式,shui'zhi'mo'shi
税制要素,shui'zhi'yao'su
税种,shui'zhong
四土产品,si'tu'chan'pin
私盐,si'yan
私营企业所得税,si'ying'qi'ye'suo'de'shui
速算扣除数,su'suan'kou'chu'shu
所得额级距,suo'de'e'ji'ju
所得额课税,suo'de'e'ke'shui
所得税带征率,suo'de'shui'dai'zheng'lv
摊贩业税,tan'fan'ye'shui
特别税,te'bie'shui
特惠关税,te'hui'guan'shui
特许权使用费所得,te'xu'quan'shi'yong'fei'suo'de
特种消费税,te'zhong'xiao'fei'shui
特种消费行为税,te'zhong'xiao'fei'xing'wei'shui
调帐,tiao'zhang
统一比例税率,tong'yi'bi'li'shui'lv
偷税,tou'shui
土地税,tu'di'shui
屠宰税,tu'zai'shui
退税,tui'shui
外国企业所得税,wai'guo'qi'ye'suo'de'shui
完税证,wan'shui'zheng
未税盐,wei'shui'yan
委托代征代缴,wei'tuo'dai'zheng'dai'jiao
委托加工产品,wei'tuo'jia'gong'chan'pin
稳定负担增产不增税,wen'ding'fu'dan'zeng'chan'bu'zeng'shui
文化娱乐税,wen'hua'yu'le'shui
夏征秋征,xia'zheng'qiu'zheng
小轿车特别税,xiao'jiao'che'te'bie'shui
协定关税,xie'ding'guan'shui
协税员,xie'shui'yuan
协税组织,xie'shui'zu'zhi
新产品免税,xin'chan'pin'mian'shui
薪给报酬所得税,xin'ji'bao'chou'suo'de'shui
行为目的课税,xing'wei'mu'di'ke'shui
选择关税,xuan'ze'guan'shui
巡回管理,xun'hui'guan'li
盐税,yan'shui
筵席税,yan'xi'shui
一般税,yi'ban'shui
一次课征制,yi'ci'ke'zheng'zhi
易地纳税,yi'di'na'shui
以税代利,yi'shui'dai'li
印花税,yin'hua'shui
应税产品,ying'shui'chan'pin
应税车船,ying'shui'che'chuan
应税凭证,ying'shui'ping'zheng
应税商品,ying'shui'shang'pin
应税所得额,ying'shui'suo'de'e
应税通道,ying'shui'tong'dao
营业税,ying'ye'shui
佣金收益,yong'jin'shou'yi
优惠税率,you'hui'shui'lv
预缴税款,yu'jiao'shui'kuan
预提所得税,yu'ti'suo'de'shui
源泉控制征收,yuan'quan'kong'zhi'zheng'shou
运销单位,yun'xiao'dan'wei
灾歉减免,zai'qian'jian'mian
再投资退税,zai'tou'zi'tui'shui
在途税款,zai'tu'shui'kuan
增值额,zeng'zhi'e
增值率,zeng'zhi'lv
增值税,zeng'zhi'shui
展期,zhan'qi
帐外经营,zhang'wai'jing'ying
折征代金,zhe'zheng'dai'jin
征管资料,zheng'guan'zi'liao
征收率,zheng'shou'lv
正税,zheng'shui
征税范围,zheng'shui'fan'wei
征一不征二,zheng'yi'bu'zheng'er
直接税,zhi'jie'shui
滞纳金,zhi'na'jin
滞纳欠税,zhi'na'qian'shui
中外合资经营企业所得税,zhong'wai'he'zi'jing'ying'qi'ye'suo'de'shui
中央地方共享税,zhong'yang'di'fang'gong'xiang'shui
中央税,zhong'yang'shui
驻厂管理,zhu'chang'guan'li
主体税种,zhu'ti'shui'zhong
专案检查,zhuan'an'jian'cha
专管员互查,zhuan'guan'yuan'hu'cha
专管员自查,zhuan'guan'yuan'zi'cha
自报核缴,zi'bao'he'jiao
资本利得,zi'ben'li'de
资本利息,zi'ben'li'xi
自收税款,zi'shou'shui'kuan
资源级差收益,zi'yuan'ji'cha'shou'yi
资源税,zi'yuan'shui
综合扣除税率,zong'he'kou'chu'shui'lv
组成计税价格,zu'cheng'ji'shui'jia'ge
最惠国待遇条款,zui'hui'guo'dai'yu'tiao'kuan
