阿伯丁,a'bo'ding
奥利维拉拜罗,ao'li'wei'la'bai'luo
奥利维拉莫斯卡维德,ao'li'wei'la'mo'si'ka'wei'de
奥良运动,ao'liang'yun'dong
奥林匹克沙勒罗瓦,ao'lin'pi'ke'sha'le'luo'wa
奥林匹亚科斯,ao'lin'pi'ya'ke'si
奥伦塞,ao'lun'sai
奥伦塞彭特,ao'lun'sai'peng'te
奥罗塔瓦,ao'luo'ta'wa
奥米尼沃尔德,ao'mi'ni'wo'er'de
奥纳克,ao'na'ke
奧拿里奧,ao'na'li'ao
奥普罗里奥,ao'pu'luo'li'ao
奥萨苏纳,ao'sa'su'na
奥沙,ao'sha
奥沙辛拿,ao'sha'xin'na
奥斯堡,ao'si'bao
奥斯蒂亚,ao'si'di'ya
奥斯陆,ao'si'lu
奥斯纳布吕克,ao'si'na'bu'lv'ke
奥斯坦德,ao'si'tan'de
奥斯特城,ao'si'te'cheng
奥斯特霍兹,ao'si'te'huo'zi
奥斯特里奇,ao'si'te'li'qi
奥斯托普,ao'si'tuo'pu
奥特尔,ao'te'er
奥特鲁尔,ao'te'lu'er
奥脱福,ao'tuo'fu
奥威塔纳,ao'wei'ta'na
奥维耶多联,ao'wei'ye'duo'lian
奥锡拉库扎,ao'xi'la'ku'zha
奥西耶克,ao'xi'ye'ke
奥云,ao'yun
巴贝尔斯伯格,ba'bei'er'si'bo'ge
巴达霍斯,ba'da'huo'si
巴达洛纳,ba'da'luo'na
巴迪斯达,ba'di'si'da
巴恩斯利,ba'en'si'li
巴尔巴斯特罗,ba'er'ba'si'te'luo
巴尔彻,ba'er'che
巴格拉布鲁日,ba'ge'la'bu'lu'ri
巴赫林根,ba'he'lin'gen
巴基斯坦国际航空,ba'ji'si'tan'guo'ji'hang'kong
巴拉查,ba'la'cha
巴拉多利德,ba'la'duo'li'de
巴拉卡尔多,ba'la'ka'er'duo
巴拉莫文斯,ba'la'mo'wen'si
巴拉约萨,ba'la'yue'sa
巴勒莫,ba'le'mo
巴勒塔,ba'le'ta
巴雷伦斯,ba'lei'lun'si
巴里,ba'li
巴黎,ba'li
巴黎红军,ba'li'hong'jun
巴利米纳联,ba'li'mi'na'lian
巴黎圣日耳曼,ba'li'sheng'ri'er'man
巴黎圣日门,ba'li'sheng'ri'men
巴路士,ba'lu'shi
巴罗,ba'luo
巴洛姆皮,ba'luo'mu'pi
巴姆伯格,ba'mu'bo'ge
巴纳塔尔,ba'na'ta'er
巴纳特,ba'na'te
巴尼特,ba'ni'te
巴切洛纳,ba'qie'luo'na
巴裘考卡,ba'qiu'kao'ka
巴萨,ba'sa
巴萨诺维特斯,ba'sa'nuo'wei'te'si
巴塞,ba'sai
巴塞尔,ba'sai'er
巴塞尔肯考迪亚,ba'sai'er'ken'kao'di'ya
巴塞罗那,ba'sai'luo'na
巴斯,ba'si
巴斯城,ba'si'cheng
巴斯蒂亚,ba'si'di'ya
巴特菲尔伯尔,ba'te'fei'er'bo'er
巴特克罗伊茨纳赫,ba'te'ke'luo'yi'ci'na'he
巴特里,ba'te'li
巴维斯塔,ba'wei'si'ta
巴耶杜帕尔,ba'ye'du'pa'er
巴约,ba'yue
巴约纳,ba'yue'na
柏比,bai'bi
柏达臣,bai'da'chen
白俄罗斯布雷斯特迪纳摩,bai'e'luo'si'bu'lei'si'te'di'na'mo
白俄罗斯联赛,bai'e'luo'si'lian'sai
拜恩阿尔策瑙,bai'en'a'er'ce'nao
柏金,bai'jin
拜列治,bai'lie'zhi
柏路达,bai'lu'da
拜罗,bai'luo
柏拿甸奴,bai'na'dian'nu
拜尼,bai'ni
白青城,bai'qing'cheng
拜仁霍夫,bai'ren'huo'fu
拜仁慕尼黑,bai'ren'mu'ni'hei
柏天尼,bai'tian'ni
柏图,bai'tu
百万富翁,bai'wan'fu'weng
白星乌留蔚竞技,bai'xing'wu'liu'wei'jing'ji
班伯里联,ban'bo'li'lian
班菲尔德,ban'fei'er'de
班戈城,ban'ge'cheng
班纳贝,ban'na'bei
班诺,ban'nuo
班斯卡比斯特里察,ban'si'ka'bi'si'te'li'cha
邦费雷迪纳,bang'fei'lei'di'na
邦利拿,bang'li'na
保顿,bao'dun
鲍尔梅斯,bao'er'mei'si
保方,bao'fang
保加利亚科内利亚诺,bao'jia'li'ya'ke'nei'li'ya'nuo
保加利亚联赛,bao'jia'li'ya'lian'sai
保路斯基,bao'lu'si'ji
保赞,bao'zan
北爱尔兰联赛,bei'ai'er'lan'lian'sai
北安普顿,bei'an'pu'dun
贝碧托夫,bei'bi'tuo'fu
贝茨多夫,bei'ci'duo'fu
贝迪斯,bei'di'si
贝迪素,bei'di'su
贝尔格莱德贝扎尼亚,bei'er'ge'lai'de'bei'zha'ni'ya
贝尔格莱德红星竞技,bei'er'ge'lai'de'hong'xing'jing'ji
贝尔格莱德竞技,bei'er'ge'lai'de'jing'ji
贝尔格莱德沃泽多瓦茨,bei'er'ge'lai'de'wo'ze'duo'wa'ci
贝尔格莱德游击,bei'er'ge'lai'de'you'ji
贝尔格雷诺,bei'er'ge'lei'nuo
北费尔比联,bei'fei'er'bi'lian
贝格多夫,bei'ge'duo'fu
贝拉克拉吉那,bei'la'ke'la'ji'na
贝拉利亚,bei'la'li'ya
贝拉丝特萨,bei'la'si'te'sa
贝拉维斯塔,bei'la'wei'si'ta
贝里,bei'li
贝里克流浪者,bei'li'ke'liu'lang'zhe
贝林佐纳,bei'lin'zuo'na
贝卢诺,bei'lu'nuo
贝罗,bei'luo
北美雷丁,bei'mei'lei'ding
贝内文托,bei'nei'wen'tuo
贝尼多姆,bei'ni'duo'mu
北欧海盗,bei'ou'hai'dao
贝桑松,bei'sang'song
贝斯克塔斯,bei'si'ke'ta'si
北维吉尼亚王室,bei'wei'ji'ni'ya'wang'shi
贝辛德里奥,bei'xin'de'li'ao
贝辛斯托克城,bei'xin'si'tuo'ke'cheng
本查托,ben'cha'tuo
本菲卡,ben'fei'ka
本耶霍达,ben'ye'huo'da
彼达蒂克瓦马卡比,bi'da'di'ke'wa'ma'ka'bi
彼达蒂克瓦夏普尔,bi'da'di'ke'wa'xia'pu'er
彼得伯勒联,bi'de'bo'le'lian
彼德福德城,bi'de'fu'de'cheng
彼得黑德,bi'de'hei'de
比顿图,bi'dun'tu
毕尔巴鄂竞技,bi'er'ba'e'jing'ji
毕尔包,bi'er'bao
比尔利戈,bi'er'li'ge
彼尔姆阿穆卡尔,bi'er'mu'a'mu'ka'er
比尔森维多利亚,bi'er'sen'wei'duo'li'ya
比华伦,bi'hua'lun
碧基,bi'ji
比拉马运动,bi'la'ma'yun'dong
比兰伦斯,bi'lan'lun'si
比勒菲尔德,bi'le'fei'er'de
比勒费尔德,bi'le'fei'er'de
比勒里基城,bi'le'li'ji'cheng
比历,bi'li
比历连尼,bi'li'lian'ni
比利时联合竞技,bi'li'shi'lian'he'jing'ji
比利时联赛,bi'li'shi'lian'sai
比利亚雷亚尔,bi'li'ya'lei'ya'er
比列堤,bi'lie'di
秘鲁联赛,bi'lu'lian'sai
比拿,bi'na
比拿勇,bi'na'yong
比萨,bi'sa
比沙路,bi'sha'lu
比什凯克迪纳莫,bi'shi'kai'ke'di'na'mo
比斯卓夫,bi'si'zhuo'fu
比托姆波兰后裔,bi'tuo'mu'bo'lan'hou'yi
毕晓普斯托福德,bi'xiao'pu'si'tuo'fu'de
比亚维森西奥人马座,bi'ya'wei'sen'xi'ao'ren'ma'zuo
比亚韦斯托克,bi'ya'wei'si'tuo'ke
比耶拉,bi'ye'la
标准列治,biao'zhun'lie'zhi
宾艾化,bin'ai'hua
宾菲加,bin'fei'jia
宾哈诺夫斯,bin'ha'nuo'fu'si
滨海韦斯顿,bin'hai'wei'si'dun
宾斯马,bin'si'ma
宾特拿,bin'te'na
冰岛联赛,bing'dao'lian'sai
博阿维斯塔,bo'a'wei'si'ta
博布鲁斯克贝尔希纳,bo'bu'lu'si'ke'bei'er'xi'na
波查诺,bo'cha'nuo
波城,bo'cheng
波达丹,bo'da'dan
波代诺内,bo'dai'nuo'nei
波德比斯克杰,bo'de'bi'si'ke'jie
博德克鲁本,bo'de'ke'lu'ben
博登,bo'deng
伯恩巴赫,bo'en'ba'he
伯恩茅斯,bo'en'mao'si
波恩斯利,bo'en'si'li
波尔蒂芒运动,bo'er'di'mang'yun'dong
博尔顿,bo'er'dun
波尔多,bo'er'duo
波尔多体育,bo'er'duo'ti'yu
波尔格,bo'er'ge
波尔塔瓦沃斯克拉,bo'er'ta'wa'wo'si'ke'la
波尔图,bo'er'tu
柏夫尤真高,bo'fu'you'zhen'gao
玻哥曼若,bo'ge'man'ruo
博格诺里吉斯,bo'ge'nuo'li'ji'si
波鸿,bo'hong
博霍尔特,bo'huo'er'te
玻加诺,bo'jia'nuo
博卡青年,bo'ka'qing'nian
波克什,bo'ke'shi
波拉纳,bo'la'na
博拉齐,bo'la'qi
博莱格尼,bo'lai'ge'ni
伯莱尼斯,bo'lai'ni'si
博莱斯瓦维茨,bo'lai'si'wa'wei'ci
波兰联赛,bo'lan'lian'sai
博雷汉姆伍德,bo'lei'han'mu'wu'de
波利,bo'li
博利芬斯,bo'li'fen'si
波历克,bo'li'ke
波利索夫,bo'li'suo'fu
博利雅西联,bo'li'ya'xi'lian
柏林,bo'lin
柏林迪纳摩,bo'lin'di'na'mo
柏林赫塔,bo'lin'he'ta
柏林竞技,bo'lin'jing'ji
柏林联,bo'lin'lian
柏林土耳其后裔,bo'lin'tu'er'qi'hou'yi
柏林网球,bo'lin'wang'qiu
柏林耶斯于尔特,bo'lin'ye'si'yu'er'te
博罗内西上校,bo'luo'nei'xi'shang'xiao
博洛尼亚,bo'luo'ni'ya
波米格利亚诺,bo'mi'ge'li'ya'nuo
伯明翰城,bo'ming'han'cheng
波琴,bo'qin
波士顿联,bo'shi'dun'lian
博斯克勒,bo'si'ke'le
波坦察竞技,bo'tan'cha'jing'ji
波特圣特斯,bo'te'sheng'te'si
波图,bo'tu
波图恩塞竞技,bo'tu'en'sai'jing'ji
博韦,bo'wei
波西米亚,bo'xi'mi'ya
波辛华,bo'xin'hua
博伊斯圭兰,bo'yi'si'gui'lan
波兹南前进,bo'zi'nan'qian'jin
布达佩斯,bu'da'pei'si
布尔格斯,bu'er'ge'si
布尔林斑马,bu'er'lin'ban'ma
布尔萨,bu'er'sa
布尔什蒂恩艾讷格蒂科,bu'er'shen'di'en'ai'ne'ge'di'ke
布高特会员俱乐部,bu'gao'te'hui'yuan'ju'le'bu
布格豪森,bu'ge'hao'sen
布加勒斯特迪纳摩,bu'jia'le'si'te'di'na'mo
布加勒斯特快速,bu'jia'le'si'te'kuai'su
布加勒斯特民族,bu'jia'le'si'te'min'zu
布加勒斯特星,bu'jia'le'si'te'xing
布卡拉曼加,bu'ka'la'man'jia
布拉布兰德,bu'la'bu'lan'de
布拉德福德城,bu'la'de'fu'de'cheng
布拉迪斯拉法国际,bu'la'di'si'la'fa'guo'ji
布拉迪斯拉法斯罗万,bu'la'di'si'la'fa'si'luo'wan
布拉干萨,bu'la'gan'sa
布拉格斯巴达,bu'la'ge'si'ba'da
布拉格斯拉维亚,bu'la'ge'si'la'wei'ya
布拉加,bu'la'jia
布拉尼,bu'la'ni
布赖顿,bu'lai'dun
布莱克本,bu'lai'ke'ben
布莱克普,bu'lai'ke'pu
布莱斯斯巴达,bu'lai'si'si'ba'da
布兰登,bu'lan'deng
布兰福勒斯,bu'lan'fu'le'si
布兰卡港奥林匹克,bu'lan'ka'gang'ao'lin'pi'ke
布兰卡港主教,bu'lan'ka'gang'zhu'jiao
布雷达,bu'lei'da
布雷流浪者,bu'lei'liu'lang'zhe
布雷斯特,bu'lei'si'te
布雷西亚,bu'lei'xi'ya
布力般流浪,bu'li'ban'liu'lang
布里夫拉盖亚尔德,bu'li'fu'la'gai'ya'er'de
布里斯阿布里克,bu'li'si'a'bu'li'ke
布里斯托尔城,bu'li'si'tuo'er'cheng
布里斯托尔流浪者,bu'li'si'tuo'er'liu'lang'zhe
布历治,bu'li'zhi
不列颠流浪者,bu'lie'dian'liu'lang'zhe
不列颠斯特灵,bu'lie'dian'si'te'ling
不列颠威顿,bu'lie'dian'wei'dun
布林迪西,bu'lin'di'xi
布隆德比,bu'long'de'bi
布鲁明斯特,bu'lu'ming'si'te
布鲁日,bu'lu'ri
布鲁塞尔,bu'lu'sai'er
布伦瑞克,bu'lun'rui'ke
布伦特福德,bu'lun'te'fu'de
布伦特里城,bu'lun'te'li'cheng
布罗姆利,bu'luo'mu'li
布罗尼,bu'luo'ni
布洛治,bu'luo'zhi
草蜢,cao'meng
查堡格,cha'bao'ge
查达瑞,cha'da'rui
查尔顿,cha'er'dun
查卡里塔青年,cha'ka'li'ta'qing'nian
查内尔,cha'nei'er
查斯古特,cha'si'gu'te
长岛野蛮骑士,chang'dao'ye'man'qi'shi
长嘉利德,chang'jia'li'de
朝鲜,chao'xian
朝鲜联赛,chao'xian'lian'sai
车路士,che'lu'shi
橙色压碎机,cheng'se'ya'sui'ji
川迪,chuan'di
大白鲨,da'bai'sha
达尔夫伯尼奥,da'er'fu'bo'ni'ao
达葛治,da'ge'zhi
达根列德,da'gen'lie'de
达拉斯,da'la'si
达利达,da'li'da
大力英雄,da'li'ying'xiong
达灵顿,da'ling'dun
达伦宾特,da'lun'bin'te
达伦竞技,da'lun'jing'ji
大蒙特基奥,da'meng'te'ji'ao
达姆施塔特,da'mu'shi'ta'te
大南城,da'nan'cheng
大邱足球会,da'qiu'zu'qiu'hui
达施华,da'shi'hua
黛布勒森,dai'bu'le'sen
代尼兹利,dai'ni'zi'li
淡德利乌,dan'de'li'wu
丹麦联赛,dan'mai'lian'sai
丹尼臣,dan'ni'chen
丹奴比奥,dan'nu'bi'ao
道明尼,dao'ming'ni
德比郡,de'bi'jun
德尔布鲁克,de'er'bu'lu'ke
德尔讷,de'er'ne
德国联赛,de'guo'lian'sai
德拉瓦,de'la'wa
德勒蒙特,de'le'meng'te
德累斯顿迪纳摩,de'lei'si'dun'di'na'mo
的黎波里,de'li'bo'li
德里城,de'li'cheng
德罗赫达联,de'luo'he'da'lian
德罗伊尔斯登,de'luo'yi'er'si'deng
德塞尔,de'sai'er
德尤加登,de'you'jia'deng
邓巴顿,deng'ba'dun
登波斯奇,deng'bo'si'qi
邓迪,deng'di
邓迪联,deng'di'lian
邓弗姆林竞技,deng'fu'mu'lin'jing'ji
邓联,deng'lian
邓尼,deng'ni
迪奧普,di'ao'pu
迪保斯基,di'bao'si'ji
迪比亚路,di'bi'ya'lu
蒂弗顿城,di'fu'dun'cheng
迪高,di'gao
迪格姆运动,di'ge'mu'yun'dong
迪加史卓普,di'jia'shi'zhuo'pu
狄里布凡陆军尼泊尔,di'li'bu'fan'lu'jun'ni'bo'er
迪伦,di'lun
蒂罗尔武士,di'luo'er'wu'shi
迪罗斯,di'luo'si
迪尼普,di'ni'pu
第聂伯特兰斯马什,di'nie'bo'te'lan'si'ma'shen
迪普,di'pu
迪桑格罗,di'sang'ge'luo
迪斯甸,di'si'dian
蒂斯基尔,di'si'ji'er
迪维斯,di'wei'si
迪亚巴克尔,di'ya'ba'ke'er
迪亚比,di'ya'bi
迪亚拉,di'ya'la
迪亚内拉白鹰,di'ya'nei'la'bai'ying
迪耶普,di'ye'pu
迪云菲,di'yun'fei
迪卓恩,di'zhuo'en
迪佐路,di'zuo'lu
东帝汶咖啡,dong'di'wen'ka'fei
东法夫,dong'fa'fu
东方莱顿,dong'fang'lai'dun
东瑟罗克联,dong'se'luo'ke'lian
东斯特灵,dong'si'te'ling
都柏林综合大学,du'bo'lin'zong'he'da'xue
杜布尼卡,du'bu'ni'ka
杜夫,du'fu
杜兰戈,du'lan'ge
独立,du'li
杜林,du'lin
都灵,du'ling
杜拿兰,du'na'lan
杜普尼察马里克,du'pu'ni'cha'ma'li'ke
杜塞尔多夫,du'sai'er'duo'fu
杜瑟尔多夫,du'se'er'duo'fu
杜尚别帕米尔,du'shang'bie'pa'mi'er
杜尚别斯巴达克,du'shang'bie'si'ba'da'ke
杜尚别希玛,du'shang'bie'xi'ma
杜斯山度士,du'si'shan'du'shi
杜伊德斯,du'yi'de'si
杜伊斯堡,du'yi'si'bao
顿冈农迅捷,dun'gang'nong'xun'jie
敦克尔克,dun'ke'er'ke
顿涅茨克矿工,dun'nie'ci'ke'kuang'gong
顿涅茨克米塔尔格,dun'nie'ci'ke'mi'ta'er'ge
多德雷赫特,duo'de'lei'he'te
多蒙特,duo'meng'te
多姆扎尔,duo'mu'zha'er
多尼戈尔凯尔特,duo'ni'ge'er'kai'er'te
多切斯特城,duo'qie'si'te'cheng
多特蒙德,duo'te'meng'de
厄肯施威克,e'ken'shi'wei'ke
俄罗斯联赛,e'luo'si'lian'sai
俄斯特拉法巴尼克,e'si'te'la'fa'ba'ni'ke
恩波利,en'bo'li
恩波里,en'bo'li
恩多姆,en'duo'mu
恩尼斯达,en'ni'si'da
恩沙基,en'sha'ji
恩维加多,en'wei'jia'duo
法比安奴,fa'bi'an'nu
法恩伯勒,fa'en'bo'le
法尔鲁,fa'er'lu
法尔斯利凯尔特,fa'er'si'li'kai'er'te
法尔斯尼雪平,fa'er'si'ni'xue'ping
法菲,fa'fei
法国联赛,fa'guo'lian'sai
法克托尔,fa'ke'tuo'er
法兰克福,fa'lan'ke'fu
法鲁姆,fa'lu'mu
法罗,fa'luo
法罗群岛瓦拉,fa'luo'qun'dao'wa'la
法马利考,fa'ma'li'kao
法诺,fa'nuo
番多利,fan'duo'li
范弗拉罗迪,fan'fu'la'luo'di
范那佛洛,fan'na'fo'luo
防卫竞技者,fang'wei'jing'ji'zhe
费比加斯,fei'bi'jia'si
费查,fei'cha
菲登扎,fei'deng'zha
费迪南,fei'di'nan
费尔伯特,fei'er'bo'te
菲尔特,fei'er'te
费高,fei'gao
菲格拉斯,fei'ge'la'si
菲戈莱恩,fei'ge'lai'en
费格逊,fei'ge'xun
费华利,fei'hua'li
费拉竞技,fei'la'jing'ji
费拉利,fei'la'li
费拉拿,fei'la'na
费雷尔,fei'lei'er
费雷拉,fei'lei'la
费罗,fei'luo
费罗尔,fei'luo'er
费罗尔竞技,fei'luo'er'jing'ji
费南迪斯,fei'nan'di'si
费内巴切,fei'nei'ba'qie
菲仁提诺,fei'ren'ti'nuo
费舍尔竞技,fei'she'er'jing'ji
菲斯滕费尔德布鲁克,fei'si'teng'fei'er'de'bu'lu'ke
腓特烈,fei'te'lie
腓特烈斯塔,fei'te'lie'si'ta
费亚斯,fei'ya'si
飞燕诺,fei'yan'nuo
费耶诺德,fei'ye'nuo'de
非洲竞技,fei'zhou'jing'ji
芬丹,fen'dan
芬兰联赛,fen'lan'lian'sai
芬伦,fen'lun
芬宁斯,fen'ning'si
佛根拉,fo'gen'la
佛科特,fo'ke'te
佛罗伦萨,fo'luo'lun'sa
佛蒙特伏特,fo'meng'te'fu'te
佛特,fo'te
弗蒂马,fu'di'ma
