阿尔罕不拉宫,a'er'han'bu'la'gong
信息设计,xin'xi'she'ji
行为艺术,xing'wei'yi'shu
渲染,xuan'ran
学士,xue'shi
研究,yan'jiu
研究与信息处理,yan'jiu'yu'xin'xi'chu'li
样板制作,yang'ban'zhi'zuo
意大利设计,yi'da'li'she'ji
意大利语,yi'da'li'yu
异化,yi'hua
医疗机械,yi'liao'ji'xie
伊瑞克提翁神庙,yi'rui'ke'ti'weng'shen'miao
艺术与人文学,yi'shu'yu'ren'wen'xue
艺术与设计史,yi'shu'yu'she'ji'shi
艺术与设计学院,yi'shu'yu'she'ji'xue'yuan
硬山,ying'shan
应用设计,ying'yong'she'ji
英语,ying'yu
用户案例,yong'hu'an'li
用户需求,yong'hu'xu'qiu
有,you
有机态,you'ji'tai
有藤椅的静物,you'teng'yi'de'jing'wu
油脂林,you'zhi'lin
油脂椅,you'zhi'yi
预测,yu'ce
造型基础,zao'xing'ji'chu
展示设计师,zhan'shi'she'ji'shi
展示样机制作,zhan'shi'yang'ji'zhi'zuo
张福昌,zhang'fu'chang
浙江理工大学,zhe'jiang'li'gong'da'xue
至上主义,zhi'shang'zhu'yi
制图,zhi'tu
职业分析,zhi'ye'fen'xi
制造,zhi'zao
中和殿,zhong'he'dian
中英文文献检索,zhong'ying'wen'wen'xian'jian'suo
主题延伸我,zhu'ti'yan'shen'wo
专业资质,zhuan'ye'zi'zhi
装置艺术,zhuang'zhi'yi'shu
