奥氏体化,ao'shi'ti'hua
模具链式,mu'ju'lian'shi
耐火材料,nai'huo'cai'liao
耐火浇注料,nai'huo'jiao'zhu'liao
耐火砖,nai'huo'zhuan
耐热材料,nai're'cai'liao
耐热钢,nai're'gang
能耗,neng'hao
喷涂,pen'tu
喷涌水泵,pen'yong'shui'beng
频率控制,pin'lv'kong'zhi
剖面,pou'mian
普通热处理,pu'tong're'chu'li
气动,qi'dong
汽缸,qi'gang
强度,qiang'du
强冷,qiang'leng
清单,qing'dan
清洁能源,qing'jie'neng'yuan
清洗机,qing'xi'ji
驱动电机功率,qu'dong'dian'ji'gong'lv
驱动方式,qu'dong'fang'shi
热处理工艺周期,re'chu'li'gong'yi'zhou'qi
热处理炉,re'chu'li'lu
热值,re'zhi
人工辅助,ren'gong'fu'zhu
韧性,ren'xing
入口长度,ru'kou'chang'du
散热量,san're'liang
三相制,san'xiang'zhi
烧结炉,shao'jie'lu
设备故障率,she'bei'gu'zhang'lv
设备结构,she'bei'jie'gou
设计依据,she'ji'yi'ju
渗氮,shen'dan
渗碳,shen'tan
渗碳炉,shen'tan'lu
生产率,sheng'chan'lv
生产周期,sheng'chan'zhou'qi
升降架,sheng'jiang'jia
升降行程,sheng'jiang'xing'cheng
时效,shi'xiao
时效炉,shi'xiao'lu
使用性能,shi'yong'xing'neng
输送机,shu'song'ji
双联,shuang'lian
水基,shui'ji
水喷淋,shui'pen'lin
水深,shui'shen
塑性,su'xing
台车炉,tai'che'lu
碳氮共渗,tan'dan'gong'shen
弹性,tan'xing
陶瓷管,tao'ci'guan
调节阀门,tiao'jie'fa'men
调质生产线,tiao'zhi'sheng'chan'xian
推杆式,tui'gan'shi
推杆式退火炉,tui'gan'shi'tui'huo'lu
退火,tui'huo
退火炉,tui'huo'lu
推力,tui'li
推料,tui'liao
托辊式,tuo'gun'shi
脱碳,tuo'tan
外径,wai'jing
网袋,wang'dai
网袋炉,wang'dai'lu
稳定化热处理,wen'ding'hua're'chu'li
温控系统,wen'kong'xi'tong
温区,wen'qu
温升,wen'sheng
无级调速,wu'ji'tiao'su
纤维结构,xian'wei'jie'gou
形变热处理,xing'bian're'chu'li
行程,xing'cheng
型号,xing'hao
锈蚀,xiu'shi
悬臂掉,xuan'bi'diao
循环水泵,xun'huan'shui'beng
压淬,ya'cui
压紧,ya'jin
烟气生成量,yan'qi'sheng'cheng'liang
氧化,yang'hua
氧化损失,yang'hua'sun'shi
液压缸,ye'ya'gang
液压站,ye'ya'zhan
仪表,yi'biao
硬度,ying'du
硬挺度,ying'ting'du
油泵,you'beng
油槽,you'cao
油幕,you'mu
油水分离,you'shui'fen'li
有效容积,you'xiao'rong'ji
预备热处理,yu'bei're'chu'li
预冷,yu'leng
预热,yu're
预热区,yu're'qu
孕育期,yun'yu'qi
轧制,zha'zhi
真空热处理,zhen'kong're'chu'li
正火,zheng'huo
直径,zhi'jing
质量保证措施,zhi'liang'bao'zheng'cuo'shi
重热炉,zhong're'lu
中心距,zhong'xin'ju
重型商用车,zhong'xing'shang'yong'che
轴承,zhou'cheng
轴承座,zhou'cheng'zuo
主动轴,zhu'dong'zhou
铸链板,zhu'lian'ban
助燃风机,zhu'ran'feng'ji
铸铁,zhu'tie
装料台,zhuang'liao'tai
装载量,zhuang'zai'liang
总厚度,zong'hou'du
组成部分,zu'cheng'bu'fen
最高使用温度,zui'gao'shi'yong'wen'du
