阿城南,a'cheng'nan
随后展开,sui'hou'zhan'kai
虽然保留和吸收了,sui'ran'bao'liu'he'xi'shou'le
随着蒙古,sui'zhe'meng'gu
遂至失国,sui'zhi'shi'guo
他在取得,ta'zai'qu'de
统一制度,tong'yi'zhi'du
团结西夏,tuan'jie'xi'xia
完颜晟,wan'yan'sheng
为期十年的,wei'qi'shi'nian'de
为首的部落联盟建立后,wei'shou'de'bu'luo'lian'meng'jian'li'hou
为战略目标的,wei'zhan'lue'mu'biao'de
五代时,wu'dai'shi
五京一下,wu'jing'yi'xia
西京,xi'jing
西邻西夏,xi'lin'xi'xia
西启夏侮,xi'qi'xia'wu
西夏并立期间,xi'xia'bing'li'qi'jian
西夏可能构成,xi'xia'ke'neng'gou'cheng
西夏求援于金,xi'xia'qiu'yuan'yu'jin
西夏投附于蒙古,xi'xia'tou'fu'yu'meng'gu
西至陕西,xi'zhi'shan'xi
下设吏,xia'she'li
先建都,xian'jian'du
县四级,xian'si'ji
向辽朝的契丹统治者宣战,xiang'liao'chao'de'qi'dan'tong'zhi'zhe'xuan'zhan
挟灭辽之威,xie'mie'liao'zhi'wei
选择了绝夏,xuan'ze'le'jue'xia
以后金与南宋,yi'hou'jin'yu'nan'song
以后又增设,yi'hou'you'zeng'she
以辽五京,yi'liao'wu'jing
以女真为主体,yi'nv'zhen'wei'zhu'ti
有明显的弱势,you'ming'xian'de'ruo'shi
又作了进一步的改革,you'zuo'le'jin'yi'bu'de'gai'ge
与北宋遂成敌国,yu'bei'song'sui'cheng'di'guo
于辽天庆五年,yu'liao'tian'qing'wu'nian
与蒙古联手攻金,yu'meng'gu'lian'shou'gong'jin
于天会五年,yu'tian'hui'wu'nian
怨入骨髓,yuan'ru'gu'sui
原意为官长,yuan'yi'wei'guan'zhang
在长白山,zai'chang'bai'shan
在蒙古军与宋军,zai'meng'gu'jun'yu'song'jun
在蒙宋夹击之下,zai'meng'song'jia'ji'zhi'xia
再迁都至汴京,zai'qian'du'zhi'bian'jing
占领辽,zhan'ling'liao
战略地位,zhan'lue'di'wei
致使形势急转直下,zhi'shi'xing'shi'ji'zhuan'zhi'xia
中大败辽军,zhong'da'bai'liao'jun
中京,zhong'jing
中央设尚书省,zhong'yang'she'shang'shu'sheng
自我孤立,zi'wo'gu'li
综理政务,zong'li'zheng'wu
组成皇帝以下的,zu'cheng'huang'di'yi'xia'de
最高统治机构,zui'gao'tong'zhi'ji'gou
作了改革,zuo'le'gai'ge
