安阳,an'yang
澄西,cheng'xi
澄西船舶厂技工,cheng'xi'chuan'bo'chang'ji'gong
澄西船舶厂技工学校,cheng'xi'chuan'bo'chang'ji'gong'xue'xiao
澄西中学,cheng'xi'zhong'xue
城乡建设技术培训,cheng'xiang'jian'she'ji'shu'pei'xun
城乡建设技术培训中心,cheng'xiang'jian'she'ji'shu'pei'xun'zhong'xin
成协培训,cheng'xie'pei'xun
成协培训中心,cheng'xie'pei'xun'zhong'xin
崇安区,chong'an'qu
崇安区教师进修,chong'an'qu'jiao'shi'jin'xiu
崇安区教师进修学校,chong'an'qu'jiao'shi'jin'xiu'xue'xiao
崇安区职工,chong'an'qu'zhi'gong
崇安区职工学校,chong'an'qu'zhi'gong'xue'xiao
崇宁路,chong'ning'lu
崇宁路实验,chong'ning'lu'shi'yan
崇宁路实验小学,chong'ning'lu'shi'yan'xiao'xue
川埠,chuan'bu
川埠中学,chuan'bu'zhong'xue
春申,chun'shen
春申中学,chun'shen'zhong'xue
大塍,da'cheng
大塍中学,da'cheng'zhong'xue
大浦,da'pu
大浦中学,da'pu'zhong'xue
大桥,da'qiao
大桥实验,da'qiao'shi'yan
大桥实验中学,da'qiao'shi'yan'zhong'xue
荡口,dang'kou
荡口中学,dang'kou'zhong'xue
稻香,dao'xiang
稻香实小,dao'xiang'shi'xiao
稻香实验,dao'xiang'shi'yan
稻香实验小学,dao'xiang'shi'yan'xiao'xue
第二,di'er
第二分校,di'er'fen'xiao
第二实验分校,di'er'shi'yan'fen'xiao
第二中学,di'er'zhong'xue
第二中学实验分校,di'er'zhong'xue'shi'yan'fen'xiao
第六,di'liu
第六高级,di'liu'gao'ji
第六高级中学,di'liu'gao'ji'zhong'xue
第六中学,di'liu'zhong'xue
第三,di'san
第三高级,di'san'gao'ji
第三高级中学,di'san'gao'ji'zhong'xue
第十,di'shi
第十中学,di'shi'zhong'xue
第一,di'yi
第一分校,di'yi'fen'xiao
第一女子,di'yi'nv'zi
第一女子学校,di'yi'nv'zi'xue'xiao
第一女子中学,di'yi'nv'zi'zhong'xue
第一实验分校,di'yi'shi'yan'fen'xiao
第一中学,di'yi'zhong'xue
第一中学实验分校,di'yi'zhong'xue'shi'yan'fen'xiao
电子职工,dian'zi'zhi'gong
电子职工学校,dian'zi'zhi'gong'xue'xiao
丁蜀,ding'shu
丁蜀东坡,ding'shu'dong'po
丁蜀东坡中学,ding'shu'dong'po'zhong'xue
丁蜀高级,ding'shu'gao'ji
丁蜀高级中学,ding'shu'gao'ji'zhong'xue
丁蜀镇第二,ding'shu'zhen'di'er
丁蜀镇第二中学,ding'shu'zhen'di'er'zhong'xue
丁蜀镇东坡,ding'shu'zhen'dong'po
丁蜀镇东坡中学,ding'shu'zhen'dong'po'zhong'xue
丁蜀镇二中,ding'shu'zhen'er'zhong
丁蜀镇工会职工,ding'shu'zhen'gong'hui'zhi'gong
丁蜀镇工会职工学校,ding'shu'zhen'gong'hui'zhi'gong'xue'xiao
丁蜀镇蠡墅,ding'shu'zhen'li'shu
丁蜀镇蠡墅中学,ding'shu'zhen'li'shu'zhong'xue
丁蜀镇陶都,ding'shu'zhen'tao'du
丁蜀镇陶都中学,ding'shu'zhen'tao'du'zhong'xue
丁蜀职业,ding'shu'zhi'ye
丁蜀职业高级,ding'shu'zhi'ye'gao'ji
丁蜀职业高级中学,ding'shu'zhi'ye'gao'ji'zhong'xue
东北塘,dong'bei'tang
东北塘农业技术,dong'bei'tang'nong'ye'ji'shu
东北塘农业技术学校,dong'bei'tang'nong'ye'ji'shu'xue'xiao
东北塘中学,dong'bei'tang'zhong'xue
东绛,dong'jiang
东绛庙桥,dong'jiang'miao'qiao
东绛庙桥分校,dong'jiang'miao'qiao'fen'xiao
东绛实验,dong'jiang'shi'yan
东绛实验学校,dong'jiang'shi'yan'xue'xiao
东绛中学,dong'jiang'zhong'xue
东林,dong'lin
东林小学,dong'lin'xiao'xue
东林中学,dong'lin'zhong'xue
东农业技术,dong'nong'ye'ji'shu
东农业技术学校,dong'nong'ye'ji'shu'xue'xiao
东坡,dong'po
东坡中学,dong'po'zhong'xue
东山,dong'shan
东山中学,dong'shan'zhong'xue
东亭,dong'ting
东亭中学,dong'ting'zhong'xue
东中学,dong'zhong'xue
二中,er'zhong
范道,fan'dao
范道中学,fan'dao'zhong'xue
坊前,fang'qian
坊前实验,fang'qian'shi'yan
坊前实验小学,fang'qian'shi'yan'xiao'xue
坊前中学,fang'qian'zhong'xue
芳桥,fang'qiao
芳桥中学,fang'qiao'zhong'xue
芳庄,fang'zhuang
芳庄中学,fang'zhuang'zhong'xue
分部,fen'bu
分水,fen'shui
分水中学,fen'shui'zhong'xue
凤翔,feng'xiang
凤翔部,feng'xiang'bu
凤翔实验学校,feng'xiang'shi'yan'xue'xiao
凤翔实验学校部,feng'xiang'shi'yan'xue'xiao'bu
凤翔实验学校小学部,feng'xiang'shi'yan'xue'xiao'xiao'xue'bu
丰义,feng'yi
丰义中学,feng'yi'zhong'xue
峰影,feng'ying
峰影峰影,feng'ying'feng'ying
峰影峰影校区,feng'ying'feng'ying'xiao'qu
峰影小学,feng'ying'xiao'xue
峰影小学峰影校区,feng'ying'xiao'xue'feng'ying'xiao'qu
峰影小学朝霞校区,feng'ying'xiao'xue'zhao'xia'xiao'qu
峰影朝霞,feng'ying'zhao'xia
峰影朝霞校区,feng'ying'zhao'xia'xiao'qu
伏东,fu'dong
伏东中学,fu'dong'zhong'xue
辅仁,fu'ren
辅仁高级,fu'ren'gao'ji
辅仁高级中学,fu'ren'gao'ji'zhong'xue
辅仁中学,fu'ren'zhong'xue
附属,fu'shu
附中,fu'zhong
甘露,gan'lu
甘露学校,gan'lu'xue'xiao
港下,gang'xia
港下中学,gang'xia'zhong'xue
高塍,gao'cheng
高塍成人文化技术,gao'cheng'cheng'ren'wen'hua'ji'shu
高塍成人文化技术学校,gao'cheng'cheng'ren'wen'hua'ji'shu'xue'xiao
高塍中学,gao'cheng'zhong'xue
高等师范,gao'deng'shi'fan
高等师范学校,gao'deng'shi'fan'xue'xiao
高级,gao'ji
高级中学,gao'ji'zhong'xue
高中,gao'zhong
高中分部,gao'zhong'fen'bu
高中实验学校,gao'zhong'shi'yan'xue'xiao
格致,ge'zhi
格致中学,ge'zhi'zhong'xue
工会职工,gong'hui'zhi'gong
工会职工学校,gong'hui'zhi'gong'xue'xiao
供销合作总社职工,gong'xiao'he'zuo'zong'she'zhi'gong
供销合作总社职工学校,gong'xiao'he'zuo'zong'she'zhi'gong'xue'xiao
工业,gong'ye
工业干部,gong'ye'gan'bu
工业干部学校,gong'ye'gan'bu'xue'xiao
工业学校,gong'ye'xue'xiao
公益,gong'yi
工艺技术,gong'yi'ji'shu
工艺美术技工,gong'yi'mei'shu'ji'gong
工艺美术技工学校,gong'yi'mei'shu'ji'gong'xue'xiao
公益职业,gong'yi'zhi'ye
工艺职业技术,gong'yi'zhi'ye'ji'shu
工艺职业技术学院,gong'yi'zhi'ye'ji'shu'xue'yuan
公益职业学校,gong'yi'zhi'ye'xue'xiao
公益中学,gong'yi'zhong'xue
顾山,gu'shan
顾山镇成人教育中心校,gu'shan'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
顾山镇成人校,gu'shan'zhen'cheng'ren'xiao
顾山中学,gu'shan'zhong'xue
官林,guan'lin
官林第二,guan'lin'di'er
官林第二中学,guan'lin'di'er'zhong'xue
官林二中,guan'lin'er'zhong
官林职业,guan'lin'zhi'ye
官林职业高级,guan'lin'zhi'ye'gao'ji
官林职业高级中学,guan'lin'zhi'ye'gao'ji'zhong'xue
官林中学,guan'lin'zhong'xue
广丰,guang'feng
广丰中学,guang'feng'zhong'xue
光华,guang'hua
光华学校,guang'hua'xue'xiao
光明希望,guang'ming'xi'wang
光明希望小学,guang'ming'xi'wang'xiao'xue
广勤,guang'qin
广勤中学,guang'qin'zhong'xue
广瑞,guang'rui
广瑞实验,guang'rui'shi'yan
广瑞实验小学,guang'rui'shi'yan'xiao'xue
广瑞中学,guang'rui'zhong'xue
广新,guang'xin
广新小学,guang'xin'xiao'xue
广益,guang'yi
广益尤渡,guang'yi'you'du
广益中心,guang'yi'zhong'xin
广益中心小学,guang'yi'zhong'xin'xiao'xue
广益中心小学尤渡校区,guang'yi'zhong'xin'xiao'xue'you'du'xiao'qu
广益中心尤渡校区,guang'yi'zhong'xin'you'du'xiao'qu
归径,gui'jing
归径中学,gui'jing'zhong'xue
国际,guo'ji
国际学校,guo'ji'xue'xiao
海鹰,hai'ying
海鹰校区,hai'ying'xiao'qu
航运技工,hang'yun'ji'gong
航运技工学校,hang'yun'ji'gong'xue'xiao
河埒,he'lie
河埓,he'lie
河埒中心,he'lie'zhong'xin
河埒中心小学,he'lie'zhong'xin'xiao'xue
河埒中学,he'lie'zhong'xue
河埓中学,he'lie'zhong'xue
和桥,he'qiao
和桥高级,he'qiao'gao'ji
和桥高级中学,he'qiao'gao'ji'zhong'xue
和桥镇第二,he'qiao'zhen'di'er
和桥镇第二中学,he'qiao'zhen'di'er'zhong'xue
和桥镇二中,he'qiao'zhen'er'zhong
和桥职业,he'qiao'zhi'ye
和桥职业高级,he'qiao'zhi'ye'gao'ji
和桥职业高级中学,he'qiao'zhi'ye'gao'ji'zhong'xue
河塘,he'tang
河塘镇成人教育中心校,he'tang'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
河塘镇成人校,he'tang'zhen'cheng'ren'xiao
河塘中学,he'tang'zhong'xue
鸿声,hong'sheng
鸿声中学,hong'sheng'zhong'xue
红塔,hong'ta
红塔中学,hong'ta'zhong'xue
后祁街,hou'qi'jie
后祁街小学,hou'qi'jie'xiao'xue
厚桥,hou'qiao
厚桥中学,hou'qiao'zhong'xue
后宅,hou'zhai
后宅中心,hou'zhai'zhong'xin
后宅中心小学,hou'zhai'zhong'xin'xiao'xue
后宅中学,hou'zhai'zhong'xue
湖滨,hu'bin
湖滨中学,hu'bin'zhong'xue
胡埭,hu'dai
胡埭上山,hu'dai'shang'shan
胡埭张舍,hu'dai'zhang'she
胡埭中心,hu'dai'zhong'xin
胡埭中心上山,hu'dai'zhong'xin'shang'shan
胡埭中心上山分校,hu'dai'zhong'xin'shang'shan'fen'xiao
胡埭中心小学,hu'dai'zhong'xin'xiao'xue
胡埭中心张舍,hu'dai'zhong'xin'zhang'she
胡埭中心张舍分校,hu'dai'zhong'xin'zhang'she'fen'xiao
胡埭中学,hu'dai'zhong'xue
湖父,hu'fu
湖父中学,hu'fu'zhong'xue
湖光,hu'guang
湖光中学,hu'guang'zhong'xue
化工,hua'gong
化工职工中等专业,hua'gong'zhi'gong'zhong'deng'zhuan'ye
化工职工中等专业学校,hua'gong'zhi'gong'zhong'deng'zhuan'ye'xue'xiao
化工职业,hua'gong'zhi'ye
化工职业学校,hua'gong'zhi'ye'xue'xiao
华晶,hua'jing
华晶小学,hua'jing'xiao'xue
华士,hua'shi
华士高级,hua'shi'gao'ji
华士高级中学,hua'shi'gao'ji'zhong'xue
华士高中,hua'shi'gao'zhong
华士实验学校,hua'shi'shi'yan'xue'xiao
华士镇成人教育中心校,hua'shi'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
华士镇成人校,hua'shi'zhen'cheng'ren'xiao
化学工业技工,hua'xue'gong'ye'ji'gong
化学工业技工学校,hua'xue'gong'ye'ji'gong'xue'xiao
花园,hua'yuan
花园实验,hua'yuan'shi'yan
花园实验小学,hua'yuan'shi'yan'xiao'xue
华庄,hua'zhuang
华庄高级,hua'zhuang'gao'ji
华庄高级中学,hua'zhuang'gao'ji'zhong'xue
华庄中心,hua'zhuang'zhong'xin
华庄中心小学,hua'zhuang'zhong'xin'xiao'xue
华庄中学,hua'zhuang'zhong'xue
怀仁,huai'ren
怀仁中学,huai'ren'zhong'xue
璜塘,huang'tang
璜塘部,huang'tang'bu
璜塘实验学校部,huang'tang'shi'yan'xue'xiao'bu
璜塘实验学校初中部,huang'tang'shi'yan'xue'xiao'chu'zhong'bu
璜塘中学,huang'tang'zhong'xue
璜土,huang'tu
璜土中学,huang'tu'zhong'xue
惠山区,hui'shan'qu
汇文,hui'wen
汇文高级,hui'wen'gao'ji
汇文高级中学,hui'wen'gao'ji'zhong'xue
汇文高中,hui'wen'gao'zhong
机电,ji'dian
机电高等职业,ji'dian'gao'deng'zhi'ye
机电高等职业技术,ji'dian'gao'deng'zhi'ye'ji'shu
机电高等职业技术学校,ji'dian'gao'deng'zhi'ye'ji'shu'xue'xiao
机电高等职业学校,ji'dian'gao'deng'zhi'ye'xue'xiao
机电技术,ji'dian'ji'shu
技工培训教学研究室,ji'gong'pei'xun'jiao'xue'yan'jiu'shi
技术,ji'shu
技术监督干部,ji'shu'jian'du'gan'bu
技术监督干部学校,ji'shu'jian'du'gan'bu'xue'xiao
技术学校,ji'shu'xue'xiao
暨阳,ji'yang
暨阳中学,ji'yang'zhong'xue
积余,ji'yu
积余部,ji'yu'bu
积余街,ji'yu'jie
积余实验,ji'yu'shi'yan
积余实验学校部,ji'yu'shi'yan'xue'xiao'bu
积余实验学校小学部,ji'yu'shi'yan'xue'xiao'xiao'xue'bu
积余实验中学,ji'yu'shi'yan'zhong'xue
夹城里,jia'cheng'li
夹城里中心,jia'cheng'li'zhong'xin
夹城里中心小学,jia'cheng'li'zhong'xin'xiao'xue
建材职工中等专业,jian'cai'zhi'gong'zhong'deng'zhuan'ye
建材职工中等专业学校,jian'cai'zhi'gong'zhong'deng'zhuan'ye'xue'xiao
建设职工,jian'she'zhi'gong
建设职工学校,jian'she'zhi'gong'xue'xiao
建筑工程技工,jian'zhu'gong'cheng'ji'gong
建筑工程技工学校,jian'zhu'gong'cheng'ji'gong'xue'xiao
建筑职工中等专业,jian'zhu'zhi'gong'zhong'deng'zhuan'ye
建筑职工中等专业学校,jian'zhu'zhi'gong'zhong'deng'zhuan'ye'xue'xiao
江大附中,jiang'da'fu'zhong
江淮希望,jiang'huai'xi'wang
江淮希望学校,jiang'huai'xi'wang'xue'xiao
江南,jiang'nan
江南大学,jiang'nan'da'xue
江南大学附属,jiang'nan'da'xue'fu'shu
江南大学附属实验,jiang'nan'da'xue'fu'shu'shi'yan
江南大学附属实验中学,jiang'nan'da'xue'fu'shu'shi'yan'zhong'xue
江南分校,jiang'nan'fen'xiao
江南附属,jiang'nan'fu'shu
江南实验,jiang'nan'shi'yan
江南实验分校,jiang'nan'shi'yan'fen'xiao
江南实验小学,jiang'nan'shi'yan'xiao'xue
江南中学,jiang'nan'zhong'xue
江南中学实验分校,jiang'nan'zhong'xue'shi'yan'fen'xiao
江苏轻工职业高级,jiang'su'qing'gong'zhi'ye'gao'ji
江苏轻工职业高级中学,jiang'su'qing'gong'zhi'ye'gao'ji'zhong'xue
江苏省,jiang'su'sheng
江苏省崇宁路,jiang'su'sheng'chong'ning'lu
江苏省崇宁路实验,jiang'su'sheng'chong'ning'lu'shi'yan
江苏省崇宁路实验小学,jiang'su'sheng'chong'ning'lu'shi'yan'xiao'xue
江苏省第一,jiang'su'sheng'di'yi
江苏省第一中学,jiang'su'sheng'di'yi'zhong'xue
江苏省丁蜀职业高级,jiang'su'sheng'ding'shu'zhi'ye'gao'ji
江苏省丁蜀职业高级中学,jiang'su'sheng'ding'shu'zhi'ye'gao'ji'zhong'xue
江苏省高级,jiang'su'sheng'gao'ji
江苏省高级中学,jiang'su'sheng'gao'ji'zhong'xue
江苏省航运技工,jiang'su'sheng'hang'yun'ji'gong
江苏省航运技工学校,jiang'su'sheng'hang'yun'ji'gong'xue'xiao
江苏省华庄高级,jiang'su'sheng'hua'zhuang'gao'ji
江苏省华庄高级中学,jiang'su'sheng'hua'zhuang'gao'ji'zhong'xue
江苏省怀仁,jiang'su'sheng'huai'ren
江苏省怀仁中学,jiang'su'sheng'huai'ren'zhong'xue
江苏省江阴高级中学,jiang'su'sheng'jiang'yin'gao'ji'zhong'xue
江苏省江阴职业高级中学,jiang'su'sheng'jiang'yin'zhi'ye'gao'ji'zhong'xue
江苏省连元街,jiang'su'sheng'lian'yuan'jie
江苏省连元街小学,jiang'su'sheng'lian'yuan'jie'xiao'xue
江苏省梅村高级,jiang'su'sheng'mei'cun'gao'ji
江苏省梅村高级中学,jiang'su'sheng'mei'cun'gao'ji'zhong'xue
江苏省南菁高级,jiang'su'sheng'nan'jing'gao'ji
江苏省南菁高级中学,jiang'su'sheng'nan'jing'gao'ji'zhong'xue
江苏省沁园,jiang'su'sheng'qin'yuan
江苏省沁园实验,jiang'su'sheng'qin'yuan'shi'yan
江苏省沁园实验小学,jiang'su'sheng'qin'yuan'shi'yan'xiao'xue
江苏省山北中心,jiang'su'sheng'shan'bei'zhong'xin
江苏省山北中心小学,jiang'su'sheng'shan'bei'zhong'xin'xiao'xue
江苏省盛岸,jiang'su'sheng'sheng'an
江苏省盛岸实验,jiang'su'sheng'sheng'an'shi'yan
江苏省盛岸实验小学,jiang'su'sheng'sheng'an'shi'yan'xiao'xue
江苏省师范附属,jiang'su'sheng'shi'fan'fu'shu
江苏省师范附属小学,jiang'su'sheng'shi'fan'fu'shu'xiao'xue
江苏省师范学校附属,jiang'su'sheng'shi'fan'xue'xiao'fu'shu
江苏省师范学校附属小学,jiang'su'sheng'shi'fan'xue'xiao'fu'shu'xiao'xue
江苏省太湖高级,jiang'su'sheng'tai'hu'gao'ji
江苏省太湖高级中学,jiang'su'sheng'tai'hu'gao'ji'zhong'xue
江苏省天一,jiang'su'sheng'tian'yi
江苏省天一分校,jiang'su'sheng'tian'yi'fen'xiao
江苏省天一中学,jiang'su'sheng'tian'yi'zhong'xue
江苏省天一中学分校,jiang'su'sheng'tian'yi'zhong'xue'fen'xiao
江苏省通德桥,jiang'su'sheng'tong'de'qiao
江苏省通德桥实验,jiang'su'sheng'tong'de'qiao'shi'yan
江苏省通德桥实验小学,jiang'su'sheng'tong'de'qiao'shi'yan'xiao'xue
江苏省通江,jiang'su'sheng'tong'jiang
江苏省通江实验,jiang'su'sheng'tong'jiang'shi'yan
江苏省通江实验小学,jiang'su'sheng'tong'jiang'shi'yan'xiao'xue
江苏省无锡崇宁路实验小学,jiang'su'sheng'wu'xi'chong'ning'lu'shi'yan'xiao'xue
江苏省无锡航运技工学校,jiang'su'sheng'wu'xi'hang'yun'ji'gong'xue'xiao
江苏省无锡连元街小学,jiang'su'sheng'wu'xi'lian'yuan'jie'xiao'xue
江苏省无锡沁园实验小学,jiang'su'sheng'wu'xi'qin'yuan'shi'yan'xiao'xue
江苏省无锡盛岸实验小学,jiang'su'sheng'wu'xi'sheng'an'shi'yan'xiao'xue
江苏省无锡师范附属小学,jiang'su'sheng'wu'xi'shi'fan'fu'shu'xiao'xue
江苏省无锡师范学校附属小学,jiang'su'sheng'wu'xi'shi'fan'xue'xiao'fu'shu'xiao'xue
江苏省无锡市职业高级中学,jiang'su'sheng'wu'xi'shi'zhi'ye'gao'ji'zhong'xue
江苏省无锡通德桥实验小学,jiang'su'sheng'wu'xi'tong'de'qiao'shi'yan'xiao'xue
江苏省无锡通江实验小学,jiang'su'sheng'wu'xi'tong'jiang'shi'yan'xiao'xue
江苏省锡南高级,jiang'su'sheng'xi'nan'gao'ji
江苏省锡南高级中学,jiang'su'sheng'xi'nan'gao'ji'zhong'xue
江苏省锡山高级,jiang'su'sheng'xi'shan'gao'ji
江苏省锡山高级中学,jiang'su'sheng'xi'shan'gao'ji'zhong'xue
江苏省羊尖高级,jiang'su'sheng'yang'jian'gao'ji
江苏省羊尖高级中学,jiang'su'sheng'yang'jian'gao'ji'zhong'xue
江苏省宜兴丁蜀职业高级中学,jiang'su'sheng'yi'xing'ding'shu'zhi'ye'gao'ji'zhong'xue
江苏省宜兴市第一中学,jiang'su'sheng'yi'xing'shi'di'yi'zhong'xue
江苏省宜兴职业高级中学,jiang'su'sheng'yi'xing'zhi'ye'gao'ji'zhong'xue
江苏省宜兴中学,jiang'su'sheng'yi'xing'zhong'xue
江苏省职业高级,jiang'su'sheng'zhi'ye'gao'ji
江苏省职业高级中学,jiang'su'sheng'zhi'ye'gao'ji'zhong'xue
江苏省中学,jiang'su'sheng'zhong'xue
江苏无锡轻工职业高级中学,jiang'su'wu'xi'qing'gong'zhi'ye'gao'ji'zhong'xue
江苏羊尖,jiang'su'yang'jian
江苏羊尖中学,jiang'su'yang'jian'zhong'xue
江溪,jiang'xi
江溪小学,jiang'xi'xiao'xue
江溪中学,jiang'xi'zhong'xue
江阴二中,jiang'yin'er'zhong
江阴高级中学,jiang'yin'gao'ji'zhong'xue
江阴高中,jiang'yin'gao'zhong
江阴市,jiang'yin'shi
江阴市北国中学,jiang'yin'shi'bei'guo'zhong'xue
江阴市长泾镇成人教育中心校,jiang'yin'shi'chang'jing'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市长泾镇河塘中学,jiang'yin'shi'chang'jing'zhen'he'tang'zhong'xue
江阴市长泾中学,jiang'yin'shi'chang'jing'zhong'xue
江阴市长山中学,jiang'yin'shi'chang'shan'zhong'xue
江阴市长寿中学,jiang'yin'shi'chang'shou'zhong'xue
江阴市成化高级中学,jiang'yin'shi'cheng'hua'gao'ji'zhong'xue
江阴市澄江镇成人教育中心校,jiang'yin'shi'cheng'jiang'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市澄西中学,jiang'yin'shi'cheng'xi'zhong'xue
江阴市春申中学,jiang'yin'shi'chun'shen'zhong'xue
江阴市第二中学,jiang'yin'shi'di'er'zhong'xue
江阴市第一中学,jiang'yin'shi'di'yi'zhong'xue
江阴市电子职工学校,jiang'yin'shi'dian'zi'zhi'gong'xue'xiao
江阴市高级中学,jiang'yin'shi'gao'ji'zhong'xue
江阴市高中,jiang'yin'shi'gao'zhong
江阴市顾山镇成人教育中心校,jiang'yin'shi'gu'shan'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市顾山中学,jiang'yin'shi'gu'shan'zhong'xue
江阴市河塘镇成人教育中心校,jiang'yin'shi'he'tang'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市华士高级中学,jiang'yin'shi'hua'shi'gao'ji'zhong'xue
江阴市华士实验学校,jiang'yin'shi'hua'shi'shi'yan'xue'xiao
江阴市华士镇成人教育中心校,jiang'yin'shi'hua'shi'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市璜塘中学,jiang'yin'shi'huang'tang'zhong'xue
江阴市璜土中学,jiang'yin'shi'huang'tu'zhong'xue
江阴市技术监督干部学校,jiang'yin'shi'ji'shu'jian'du'gan'bu'xue'xiao
江阴市暨阳中学,jiang'yin'shi'ji'yang'zhong'xue
江阴市建设职工学校,jiang'yin'shi'jian'she'zhi'gong'xue'xiao
江阴市教师进修学校,jiang'yin'shi'jiao'shi'jin'xiu'xue'xiao
江阴市交通职工学校,jiang'yin'shi'jiao'tong'zhi'gong'xue'xiao
江阴市经济管理干部学校,jiang'yin'shi'jing'ji'guan'li'gan'bu'xue'xiao
江阴市科技活动中心,jiang'yin'shi'ke'ji'huo'dong'zhong'xin
江阴市科技技术学校,jiang'yin'shi'ke'ji'ji'shu'xue'xiao
江阴市利港中学,jiang'yin'shi'li'gang'zhong'xue
江阴市粮食职工学校,jiang'yin'shi'liang'shi'zhi'gong'xue'xiao
江阴市陆金标科技学校,jiang'yin'shi'lu'jin'biao'ke'ji'xue'xiao
江阴市南闸中学,jiang'yin'shi'nan'zha'zhong'xue
江阴市农业技术学校,jiang'yin'shi'nong'ye'ji'shu'xue'xiao
江阴市峭岐二中,jiang'yin'shi'qiao'qi'er'zhong
江阴市峭岐中学,jiang'yin'shi'qiao'qi'zhong'xue
江阴市青阳第二中学,jiang'yin'shi'qing'yang'di'er'zhong'xue
江阴市青阳镇成人教育中心校,jiang'yin'shi'qing'yang'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市青阳中学,jiang'yin'shi'qing'yang'zhong'xue
江阴市山观镇成人教育中心校,jiang'yin'shi'shan'guan'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市山观中学,jiang'yin'shi'shan'guan'zhong'xue
江阴市尚仁中学,jiang'yin'shi'shang'ren'zhong'xue
江阴市商业职工学校,jiang'yin'shi'shang'ye'zhi'gong'xue'xiao
江阴市申港成人教育中心校,jiang'yin'shi'shen'gang'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市申港中学,jiang'yin'shi'shen'gang'zhong'xue
江阴市实验学校,jiang'yin'shi'shi'yan'xue'xiao
江阴市桐岐中学,jiang'yin'shi'tong'qi'zhong'xue
江阴市物资职工学校,jiang'yin'shi'wu'zi'zhi'gong'xue'xiao
江阴市西石桥镇成人教育中心校,jiang'yin'shi'xi'shi'qiao'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市夏港中学,jiang'yin'shi'xia'gang'zhong'xue
江阴市新桥中学,jiang'yin'shi'xin'qiao'zhong'xue
江阴市徐霞客中学,jiang'yin'shi'xu'xia'ke'zhong'xue
江阴市要塞成人教育中心校,jiang'yin'shi'yao'sai'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市要塞中学,jiang'yin'shi'yao'sai'zhong'xue
江阴市月城镇成人教育中心校,jiang'yin'shi'yue'cheng'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市月城中学,jiang'yin'shi'yue'cheng'zhong'xue
江阴市云亭中学,jiang'yin'shi'yun'ting'zhong'xue
江阴市镇成人教育中心校,jiang'yin'shi'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市征存中学,jiang'yin'shi'zheng'cun'zhong'xue
江阴市职工学校,jiang'yin'shi'zhi'gong'xue'xiao
