爱国治民能无为乎,ai'guo'zhi'min'neng'wu'wei'hu
故知足不辱知止不殆可以长久,gu'zhi'zu'bu'ru'zhi'zhi'bu'dai'ke'yi'chang'jiu
广德若不足,guang'de'ruo'bu'zu
涣兮其若凌释,huan'xi'qi'ruo'ling'shi
荒兮其未央哉,huang'xi'qi'wei'yang'zai
混兮其若浊,hun'xi'qi'ruo'zhuo
祸莫大于轻敌轻敌几丧吾宝,huo'mo'da'yu'qing'di'qing'di'ji'sang'wu'bao
建德若偷,jian'de'ruo'tou
进道若退,jin'dao'ruo'tui
金玉满堂莫之能守,jin'yu'man'tang'mo'zhi'neng'shou
静胜躁寒胜热清静为天下正,jing'sheng'zao'han'sheng're'qing'jing'wei'tian'xia'zheng
孔德之容惟道是从,kong'de'zhi'rong'wei'dao'shi'cong
旷兮其若谷,kuang'xi'qi'ruo'gu
累累兮若无所归,lei'lei'xi'ruo'wu'suo'gui
民不畏威则大威至,min'bu'wei'wei'ze'da'wei'zhi
民之饥以其上食税之多是以饥,min'zhi'ji'yi'qi'shang'shi'shui'zhi'duo'shi'yi'ji
民之难治以其上之有为是以难治,min'zhi'nan'zhi'yi'qi'shang'zhi'you'wei'shi'yi'nan'zhi
明白四达能无知乎,ming'bai'si'da'neng'wu'zhi'hu
明道若昧,ming'dao'ruo'mei
譬道之在天下犹川谷之于江海,pi'dao'zhi'zai'tian'xia'you'chuan'gu'zhi'yu'jiang'hai
强大处下柔弱处上,qiang'da'chu'xia'rou'ruo'chu'shang
强行者有志,qiang'xing'zhe'you'zhi
轻则失根躁则失君,qing'ze'shi'gen'zao'ze'shi'jun
人法地地法天天法道道法自然,ren'fa'di'di'fa'tian'tian'fa'dao'dao'fa'zi'ran
人之生也柔弱其死也坚强,ren'zhi'sheng'ye'rou'ruo'qi'si'ye'jian'qiang
三十辐共一毂当其无有车之用,san'shi'fu'gong'yi'gu'dang'qi'wu'you'che'zhi'yong
善者不辩辩者不善,shan'zhe'bu'bian'bian'zhe'bu'shan
善者吾善之不善者吾亦善之德善,shan'zhe'wu'shan'zhi'bu'shan'zhe'wu'yi'shan'zhi'de'shan
上德若谷,shang'de'ruo'gu
上礼为之而莫之应则攘臂而扔之,shang'li'wei'zhi'er'mo'zhi'ying'ze'rang'bi'er'reng'zhi
甚爱必大费多藏必厚亡,shen'ai'bi'da'fei'duo'cang'bi'hou'wang
圣人常无心以百姓心为心,sheng'ren'chang'wu'xin'yi'bai'xing'xin'wei'xin
胜人者有力自胜者强,sheng'ren'zhe'you'li'zi'sheng'zhe'qiang
使我介然有知行于大道唯施是畏,shi'wo'jie'ran'you'zhi'xing'yu'da'dao'wei'shi'shi'wei
是以兵强则灭木强则折,shi'yi'bing'qiang'ze'mie'mu'jiang'ze'zhe
是以圣人去甚去奢去泰,shi'yi'sheng'ren'qu'shen'qu'she'qu'tai
是以圣人为腹不为目故去彼取此,shi'yi'sheng'ren'wei'fu'bu'wei'mu'gu'qu'bi'qu'ci
是以万物莫不尊道而贵德,shi'yi'wan'wu'mo'bu'zun'dao'er'gui'de
孰能有馀以奉天下唯有道者,shu'neng'you'yu'yi'feng'tian'xia'wei'you'dao'zhe
死而不亡者寿,si'er'bu'wang'zhe'shou
俗人察察我独闷闷,su'ren'cha'cha'wo'du'men'men
俗人昭昭我独昏昏,su'ren'zhao'zhao'wo'du'hun'hun
天道无亲常与善人,tian'dao'wu'qin'chang'yu'shan'ren
天门开阖能为雌乎,tian'men'kai'he'neng'wei'ci'hu
天下万物生于有有生于无,tian'xia'wan'wu'sheng'yu'you'you'sheng'yu'wu
万物并作吾以观复,wan'wu'bing'zuo'wu'yi'guan'fu
为无为事无事味无味,wei'wu'wei'shi'wu'shi'wei'wu'wei
我独泊兮其未兆,wo'du'bo'xi'qi'wei'zhao
我独异于人而贵食母,wo'du'yi'yu'ren'er'gui'shi'mu
无名天地之始有名万物之母,wu'ming'tian'di'zhi'shi'you'ming'wan'wu'zhi'mu
物壮则老是谓不道不道早已,wu'zhuang'ze'lao'shi'wei'bu'dao'bu'dao'zao'yi
希言自然,xi'yan'zi'ran
信不足焉有不信焉,xin'bu'zu'yan'you'bu'xin'yan
信言不美美言不信,xin'yan'bu'mei'mei'yan'bu'xin
信者吾信之不信者吾亦信之德信,xin'zhe'wu'xin'zhi'bu'xin'zhe'wu'yi'xin'zhi'de'xin
俨兮其若客,yan'xi'qi'ruo'ke
埏埴以为器当其无有器之用,yan'zhi'yi'wei'qi'dang'qi'wu'you'qi'zhi'yong
夷道若颣,yi'dao'ruo'lei
犹兮若畏四邻,you'xi'ruo'wei'si'lin
豫兮若冬涉川,yu'xi'ruo'dong'she'chuan
载营魄抱一能无离乎,zai'ying'po'bao'yi'neng'wu'li'hu
凿户牖以为室当其无有室之用,zao'hu'you'yi'wei'shi'dang'qi'wu'you'shi'zhi'yong
正言若反,zheng'yan'ruo'fan
治大国若烹小鲜,zhi'da'guo'ruo'peng'xiao'xian
执大象天下往往而不害安平泰,zhi'da'xiang'tian'xia'wang'wang'er'bu'hai'an'ping'tai
治人事天莫若啬,zhi'ren'shi'tian'mo'ruo'se
知人者智自知者明,zhi'ren'zhe'zhi'zi'zhi'zhe'ming
致虚极守静笃,zhi'xu'ji'shou'jing'du
知者不博博者不知,zhi'zhe'bu'bo'bo'zhe'bu'zhi
知者不言言者不知,zhi'zhe'bu'yan'yan'zhe'bu'zhi
质真若渝,zhi'zhen'ruo'yu
知足者富,zhi'zu'zhe'fu
众人皆有以而我独顽且鄙,zhong'ren'jie'you'yi'er'wo'du'wan'qie'bi
众人熙熙如享太牢如春登台,zhong'ren'xi'xi'ru'xiang'tai'lao'ru'chun'deng'tai
重为轻根静为躁君,zhong'wei'qing'gen'jing'wei'zao'jun
专气致柔能如婴儿乎,zhuan'qi'zhi'rou'neng'ru'ying'er'hu
