安定团结,an'ding'tuan'jie
基本公共服务均等化,ji'ben'gong'gong'fu'wu'jun'deng'hua
基本养老,ji'ben'yang'lao
基本医疗,ji'ben'yi'liao
基本医疗保险,ji'ben'yi'liao'bao'xian
基层群众自治制度,ji'ceng'qun'zhong'zi'zhi'zhi'du
激励机制,ji'li'ji'zhi
继续解放思想,ji'xu'jie'fang'si'xiang
机遇,ji'yu
机遇大于挑战,ji'yu'da'yu'tiao'zhan
机制,ji'zhi
坚持改革开放,jian'chi'gai'ge'kai'fang
监督,jian'du
监督权,jian'du'quan
监管,jian'guan
建设富强民主文明和谐的社会主义现代化国家,jian'she'fu'qiang'min'zhu'wen'ming'he'xie'de'she'hui'zhu'yi'xian'dai'hua'guo'jia
建设和谐文化,jian'she'he'xie'wen'hua
教育卫生,jiao'yu'wei'sheng
节能环保水平,jie'neng'huan'bao'shui'ping
节能减排,jie'neng'jian'pai
节约型社会,jie'yue'xing'she'hui
经济带,jing'ji'dai
经济建设,jing'ji'jian'she
经济圈,jing'ji'quan
经济责任审计,jing'ji'ze'ren'shen'ji
经济增长极,jing'ji'zeng'zhang'ji
精神家园,jing'shen'jia'yuan
竞争机制,jing'zheng'ji'zhi
竞争上岗,jing'zheng'shang'gang
就业,jiu'ye
就业援助,jiu'ye'yuan'zhu
就业援助制度,jiu'ye'yuan'zhu'zhi'du
居民住房,ju'min'zhu'fang
决策透明度,jue'ce'tou'ming'du
可持续发展战略,ke'chi'xu'fa'zhan'zhan'lue
科教兴国战略,ke'jiao'xing'guo'zhan'lue
科学发展,ke'xue'fa'zhan
科学发展观,ke'xue'fa'zhan'guan
劳动就业,lao'dong'jiu'ye
劳有所得,lao'you'suo'de
老有所养,lao'you'suo'yang
利为民所谋,li'wei'min'suo'mou
廉政文化,lian'zheng'wen'hua
两岸统一,liang'an'tong'yi
领导干部作风建设,ling'dao'gan'bu'zuo'feng'jian'she
零就业,ling'jiu'ye
零就业家庭,ling'jiu'ye'jia'ting
民生,min'sheng
民主管理,min'zhu'guan'li
民主监督,min'zhu'jian'du
民主决策,min'zhu'jue'ce
民主选举,min'zhu'xuan'ju
谋发展,mou'fa'zhan
农民就业,nong'min'jiu'ye
票决,piao'jue
票决制,piao'jue'zhi
破解发展难题,po'jie'fa'zhan'nan'ti
亲和力,qin'he'li
勤俭建军,qin'jian'jian'jun
情为民所系,qing'wei'min'suo'xi
求和平,qiu'he'ping
权力结构,quan'li'jie'gou
全面协调可持续,quan'mian'xie'tiao'ke'chi'xu
全民学习,quan'min'xue'xi
权为民所用,quan'wei'min'suo'yong
热词,re'ci
人才强国战略,ren'cai'qiang'guo'zhan'lue
人民共享,ren'min'gong'xiang
人民首创精神,ren'min'shou'chuang'jing'shen
人民主体地位,ren'min'zhu'ti'di'wei
人权,ren'quan
人权事业,ren'quan'shi'ye
人人共享,ren'ren'gong'xiang
人文关怀,ren'wen'guan'huai
任用重要干部票决制,ren'yong'zhong'yao'gan'bu'piao'jue'zhi
荣辱观,rong'ru'guan
软实力,ruan'shi'li
三步走,san'bu'zou
三步走战略,san'bu'zou'zhan'lue
三个代表,san'ge'dai'biao
商业保险,shang'ye'bao'xian
社会保险,she'hui'bao'xian
社会保障,she'hui'bao'zhang
社会成员,she'hui'cheng'yuan
社会福利,she'hui'fu'li
社会公平正义,she'hui'gong'ping'zheng'yi
社会和谐,she'hui'he'xie
社会活力,she'hui'huo'li
社会监督,she'hui'jian'du
社会建设,she'hui'jian'she
社会救助,she'hui'jiu'zhu
社会治安,she'hui'zhi'an
社会志愿服务体系,she'hui'zhi'yuan'fu'wu'ti'xi
社会主义和谐社会,she'hui'zhu'yi'he'xie'she'hui
社会主义荣辱观,she'hui'zhu'yi'rong'ru'guan
社会自治功能,she'hui'zi'zhi'gong'neng
深入贯彻落实科学发展观,shen'ru'guan'che'luo'shi'ke'xue'fa'zhan'guan
生态文明,sheng'tai'wen'ming
生态文明观念,sheng'tai'wen'ming'guan'nian
生态文明观念在全社会牢固树立,sheng'tai'wen'ming'guan'nian'zai'quan'she'hui'lao'gu'shu'li
市场环境,shi'chang'huan'jing
实践特色,shi'jian'te'se
十七大报告新词热词库,shi'qi'da'bao'gao'xin'ci're'ci'ku
首创精神,shou'chuang'jing'shen
收入分配,shou'ru'fen'pei
四位一体,si'wei'yi'ti
思想库,si'xiang'ku
素质教育,su'zhi'jiao'yu
提高发展质量和效益,ti'gao'fa'zhan'zhi'liang'he'xiao'yi
挑战,tiao'zhan
统筹,tong'chou
统筹兼顾,tong'chou'jian'gu
推动科学发展,tui'dong'ke'xue'fa'zhan
伟大革命,wei'da'ge'ming
为夺取全面建设小康社会新胜利而奋斗,wei'duo'qu'quan'mian'jian'she'xiao'kang'she'hui'xin'sheng'li'er'fen'dou
维护群众权益机制,wei'hu'qun'zhong'quan'yi'ji'zhi
文化产业群,wen'hua'chan'ye'qun
文化创新,wen'hua'chuang'xin
文化创造活力,wen'hua'chuang'zao'huo'li
文化大发展,wen'hua'da'fa'zhan
文化大发展大繁荣,wen'hua'da'fa'zhan'da'fan'rong
文化发展活力,wen'hua'fa'zhan'huo'li
文化建设,wen'hua'jian'she
文化软实力,wen'hua'ruan'shi'li
文化生产力,wen'hua'sheng'chan'li
文明发展,wen'ming'fa'zhan
问责,wen'ze
问责制,wen'ze'zhi
先进性,xian'jin'xing
小康,xiao'kang
小康社会,xiao'kang'she'hui
小康水平,xiao'kang'shui'ping
新词,xin'ci
信访,xin'fang
心理疏导,xin'li'shu'dao
信息公开,xin'xi'gong'kai
信息化,xin'xi'hua
学习型社会,xue'xi'xing'she'hui
学有所教,xue'you'suo'jiao
巡视,xun'shi
养老保险,yang'lao'bao'xian
以邓小平理论和三个代表重要思想为指导,yi'deng'xiao'ping'li'lun'he'san'ge'dai'biao'zhong'yao'si'xiang'wei'zhi'dao
一国两制,yi'guo'liang'zhi
以人为本,yi'ren'wei'ben
引咎辞职,yin'jiu'ci'zhi
永续发展,yong'xu'fa'zhan
忧患意识,you'huan'yi'shi
育人为本,yu'ren'wei'ben
与时俱进,yu'shi'ju'jin
在阳光下,zai'yang'guang'xia
战略机遇期,zhan'lue'ji'yu'qi
政策体系,zheng'ce'ti'xi
政府监管,zheng'fu'jian'guan
政府执行力,zheng'fu'zhi'xing'li
政令畅通,zheng'ling'chang'tong
政企分开,zheng'qi'fen'kai
政事分开,zheng'shi'fen'kai
政治建设,zheng'zhi'jian'she
政资分开,zheng'zi'fen'kai
支农惠农政策,zhi'nong'hui'nong'zheng'ce
知情权,zhi'qing'quan
执行力,zhi'xing'li
质询,zhi'xun
中国特色,zhong'guo'te'se
中国特色城镇化道路,zhong'guo'te'se'cheng'zhen'hua'dao'lu
中国特色农业现代化道路,zhong'guo'te'se'nong'ye'xian'dai'hua'dao'lu
中国特色社会主义,zhong'guo'te'se'she'hui'zhu'yi
中国特色社会主义理论体系,zhong'guo'te'se'she'hui'zhu'yi'li'lun'ti'xi
中国特色新兴工业化道路,zhong'guo'te'se'xin'xing'gong'ye'hua'dao'lu
中国特色政治发展道路,zhong'guo'te'se'zheng'zhi'fa'zhan'dao'lu
中国特色自主创新道路,zhong'guo'te'se'zi'zhu'chuang'xin'dao'lu
中华民族伟大复兴,zhong'hua'min'zu'wei'da'fu'xing
终身学习,zhong'shen'xue'xi
重要战略机遇期,zhong'yao'zhan'lue'ji'yu'qi
主体地位,zhu'ti'di'wei
主体功能区,zhu'ti'gong'neng'qu
住有所居,zhu'you'suo'ju
转变发展方式,zhuan'bian'fa'zhan'fang'shi
转变经济发展方式,zhuan'bian'jing'ji'fa'zhan'fang'shi
自谋职业,zi'mou'zhi'ye
资源节约型,zi'yuan'jie'yue'xing
资源节约型社会,zi'yuan'jie'yue'xing'she'hui
自治机制,zi'zhi'ji'zhi
自主创新能力,zi'zhu'chuang'xin'neng'li
自主创业,zi'zhu'chuang'ye
最低生活保障制度,zui'di'sheng'huo'bao'zhang'zhi'du
尊重差异,zun'zhong'cha'yi
