安康路,an'kang'lu
二郎,er'lang
二郎岗,er'lang'gang
二塘,er'tang
二塘村,er'tang'cun
二岩,er'yan
发扬,fa'yang
范家,fan'jia
纺材村,fang'cai'cun
方家沟,fang'jia'gou
方家山,fang'jia'shan
方家湾,fang'jia'wan
方井,fang'jing
放牛,fang'niu
放牛坪,fang'niu'ping
放生池,fang'sheng'chi
飞机码头,fei'ji'ma'tou
飞来寺,fei'lai'si
飞岚垭,fei'lan'ya
飞龙,fei'long
飞马,fei'ma
粉壁,fen'bi
分水,fen'shui
丰都县,feng'du'xian
凤凰,feng'huang
凤凰桥村,feng'huang'qiao'cun
凤凰山,feng'huang'shan
凤凰台,feng'huang'tai
凤凰镇,feng'huang'zhen
奉节县,feng'jie'xian
风临洲,feng'lin'zhou
风门垭,feng'men'ya
凤鸣山,feng'ming'shan
凤栖沱,feng'qi'tuo
冯桥,feng'qiao
风山,feng'shan
丰收一村,feng'shou'yi'cun
丰文山村,feng'wen'shan'cun
蜂窝坝,feng'wo'ba
凤阳,feng'yang
佛耳,fo'er
佛图关公园中山二路,fo'tu'guan'gong'yuan'zhong'shan'er'lu
富安,fu'an
福安,fu'an
富城巷,fu'cheng'xiang
福来村,fu'lai'cun
福利,fu'li
涪陵区,fu'ling'qu
福龙村,fu'long'cun
伏牛溪,fu'niu'xi
富强,fu'qiang
复盛镇,fu'sheng'zhen
福寿,fu'shou
伏铁村,fu'tie'cun
复兴寺村,fu'xing'si'cun
夫子,fu'zi
夫子池,fu'zi'chi
溉澜溪,gai'lan'xi
溉塘新村,gai'tang'xin'cun
干坝,gan'ba
干秋,gan'qiu
柑子堡,gan'zi'bao
柑子村,gan'zi'cun
柑子园,gan'zi'yuan
杠堡,gang'bao
钢花,gang'hua
钢花村,gang'hua'cun
杠上,gang'shang
钢铁村,gang'tie'cun
高堡,gao'bao
高店子,gao'dian'zi
高洞,gao'dong
高峰,gao'feng
高峰场,gao'feng'chang
高峰寺,gao'feng'si
高家,gao'jia
高家坪,gao'jia'ping
高九公路,gao'jiu'gong'lu
高坎,gao'kan
高庙村,gao'miao'cun
高农,gao'nong
高桥,gao'qiao
高生基,gao'sheng'ji
高石,gao'shi
高笋,gao'sun
高塔,gao'ta
高滩,gao'tan
高滩岩,gao'tan'yan
高田坝,gao'tian'ba
高田坎,gao'tian'kan
高屋,gao'wu
高兴,gao'xing
高垭,gao'ya
高院,gao'yuan
高寨,gao'zhai
葛口,ge'kou
阁老溪,ge'lao'xi
歌乐村,ge'le'cun
歌乐山村,ge'le'shan'cun
歌乐山街道,ge'le'shan'jie'dao
歌乐山镇,ge'le'shan'zhen
革新村,ge'xin'cun
更古,geng'gu
更新村,geng'xin'cun
工读院,gong'du'yuan
共和,gong'he
共和村,gong'he'cun
公民,gong'min
工农,gong'nong
公平,gong'ping
拱桥,gong'qiao
工人村,gong'ren'cun
工人村东段,gong'ren'cun'dong'duan
工人村西段,gong'ren'cun'xi'duan
工校,gong'xiao
公园路,gong'yuan'lu
公园巷,gong'yuan'xiang
公正,gong'zheng
苟家咀,gou'jia'ju
沟口,gou'kou
苟溪桥,gou'xi'qiao
古坝,gu'ba
古洞,gu'dong
古佛,gu'fo
古楼湾,gu'lou'wan
鼓楼巷,gu'lou'xiang
古路,gu'lu
古田,gu'tian
官房寺村,guan'fang'si'cun
官家,guan'jia
管家村,guan'jia'cun
官家林,guan'jia'lin
观井湾,guan'jing'wan
官井巷,guan'jing'xiang
关口村,guan'kou'cun
观桥,guan'qiao
观山,guan'shan
关兴,guan'xing
观岩,guan'yan
观岩路,guan'yan'lu
观音桥,guan'yin'qiao
观音山,guan'yin'shan
观音岩,guan'yin'yan
观音岩村,guan'yin'yan'cun
光电,guang'dian
广东山,guang'dong'shan
广佛,guang'fo
广福,guang'fu
光明,guang'ming
光明村,guang'ming'cun
光荣村,guang'rong'cun
光荣坡,guang'rong'po
广胜,guang'sheng
广阳坝,guang'yang'ba
桂花,gui'hua
桂花湾,gui'hua'wan
桂花园,gui'hua'yuan
桂花园路,gui'hua'yuan'lu
桂花园新村,gui'hua'yuan'xin'cun
龟亭,gui'ting
桂湾,gui'wan
归元寺,gui'yuan'si
滚珠,gun'zhu
国光,guo'guang
国际村,guo'ji'cun
郭家,guo'jia
郭家沱,guo'jia'tuo
果园,guo'yuan
果庄,guo'zhuang
海福路,hai'fu'lu
海孔,hai'kong
海兰,hai'lan
海龙,hai'long
海螺,hai'luo
海石公园,hai'shi'gong'yuan
海棠溪,hai'tang'xi
海峡路,hai'xia'lu
海新街,hai'xin'jie
海员村,hai'yuan'cun
含谷镇,han'gu'zhen
含湖,han'hu
含金,han'jin
旱土,han'tu
捍卫路,han'wei'lu
汉渝路,han'yu'lu
浩口,hao'kou
浩屋,hao'wu
河坝,he'ba
合川区,he'chuan'qu
荷花池,he'hua'chi
荷花山庄,he'hua'shan'zhuang
河嘉村,he'jia'cun
河街,he'jie
河口,he'kou
合力,he'li
合理,he'li
合力村,he'li'cun
鹤林,he'lin
和睦,he'mu
和睦村,he'mu'cun
和睦路,he'mu'lu
和平,he'ping
和平村,he'ping'cun
和平路,he'ping'lu
和平三村,he'ping'san'cun
和平山,he'ping'shan
和平新村,he'ping'xin'cun
和平一村,he'ping'yi'cun
和平院,he'ping'yuan
河水,he'shui
河溪,he'xi
合心,he'xin
河新村,he'xin'cun
合兴,he'xing
鹤兴路,he'xing'lu
河堰,he'yan
何寨,he'zhai
合作,he'zuo
黑沟,hei'gou
黑沟五云,hei'gou'wu'yun
黑石子,hei'shi'zi
黑岩,hei'yan
横街,heng'jie
横梁,heng'liang
红槽房,hong'cao'fang
红工村,hong'gong'cun
红光,hong'guang
红光村,hong'guang'cun
红河,hong'he
洪花,hong'hua
红花,hong'hua
红江村,hong'jiang'cun
宏锦路,hong'jin'lu
红球坝,hong'qiu'ba
红胜,hong'sheng
红石村,hong'shi'cun
红石路,hong'shi'lu
红石支路,hong'shi'zhi'lu
红土地,hong'tu'di
红溪,hong'xi
红星,hong'xing
红星亭坡,hong'xing'ting'po
红岩,hong'yan
红岩村,hong'yan'cun
红岩路,hong'yan'lu
红岩嘴,hong'yan'zui
洪逸新,hong'yi'xin
红育坡,hong'yu'po
红纸,hong'zhi
红竹,hong'zhu
红竹街,hong'zhu'jie
后堡,hou'bao
后堡东,hou'bao'dong
后堡西,hou'bao'xi
厚池街,hou'chi'jie
后村,hou'cun
虎峰,hu'feng
虎峰山村,hu'feng'shan'cun
湖广会馆,hu'guang'hui'guan
沪汉,hu'han
沪汉村,hu'han'cun
葫芦,hu'lu
胡南坝村,hu'nan'ba'cun
虎坪,hu'ping
虎头岩,hu'tou'yan
虎溪镇,hu'xi'zhen
虎岩,hu'yan
虎岩村,hu'yan'cun
互助,hu'zhu
花堡,hua'bao
花池,hua'chi
花灯,hua'deng
花耳岩,hua'er'yan
华福巷,hua'fu'xiang
花沟,hua'gou
华光,hua'guang
花果山,hua'guo'shan
花红,hua'hong
花卉东路,hua'hui'dong'lu
花卉西路,hua'hui'xi'lu
花卉园,hua'hui'yuan
花街子,hua'jie'zi
花六,hua'liu
华龙家园,hua'long'jia'yuan
化龙桥街道,hua'long'qiao'jie'dao
花马村,hua'ma'cun
花门,hua'men
华南,hua'nan
华能,hua'neng
华山,hua'shan
花生堡,hua'sheng'bao
花石,hua'shi
滑石,hua'shi
花台,hua'tai
华伟,hua'wei
华新,hua'xin
华新街街道,hua'xin'jie'jie'dao
华岩村,hua'yan'cun
华岩新,hua'yan'xin
华岩镇,hua'yan'zhen
花阳,hua'yang
华一村,hua'yi'cun
华一路,hua'yi'lu
华一坡,hua'yi'po
华蓥,hua'ying
花园,hua'yuan
花园村,hua'yuan'cun
花园路,hua'yuan'lu
花园新村,hua'yuan'xin'cun
花云,hua'yun
花朝,hua'zhao
华嘴,hua'zui
环山,huan'shan
黄葛,huang'ge
黄葛滩,huang'ge'tan
黄花园,huang'hua'yuan
黄家码头,huang'jia'ma'tou
黄家堰,huang'jia'yan
黄角村,huang'jiao'cun
黄金堡,huang'jin'bao
黄荆坡,huang'jing'po
黄荆巷,huang'jing'xiang
黄桷,huang'jue
黄桷渡,huang'jue'du
黄桷坪街道,huang'jue'ping'jie'dao
黄桷坪正街,huang'jue'ping'zheng'jie
黄桷湾,huang'jue'wan
黄桷垭正街,huang'jue'ya'zheng'jie
黄岭,huang'ling
黄麻,huang'ma
黄茅坪,huang'mao'ping
黄泥塝,huang'ni'bang
黄泥堡,huang'ni'bao
黄泥村,huang'ni'cun
黄坡村,huang'po'cun
黄桥,huang'qiao
黄山,huang'shan
黄树村,huang'shu'cun
黄土坡,huang'tu'po
黄岩,huang'yan
黄阳,huang'yang
黄印,huang'yin
灰坝,hui'ba
汇川门,hui'chuan'men
惠工村,hui'gong'cun
会龙,hui'long
回龙,hui'long
回龙坝村,hui'long'ba'cun
回龙坝镇,hui'long'ba'zhen
浑水,hun'shui
火炬,huo'ju
火炬街,huo'ju'jie
火药局,huo'yao'ju
吉安,ji'an
继光,ji'guang
技光村,ji'guang'cun
基建村园林,ji'jian'cun'yuan'lin
集乐村,ji'le'cun
集团堡,ji'tuan'bao
吉星,ji'xing
集真,ji'zhen
家坝,jia'ba
嘉福苑,jia'fu'yuan
家花园后街,jia'hua'yuan'hou'jie
嘉陵,jia'ling
嘉陵村,jia'ling'cun
嘉陵桥东村,jia'ling'qiao'dong'cun
嘉陵桥西村,jia'ling'qiao'xi'cun
嘉陵新村,jia'ling'xin'cun
嘉陵新路,jia'ling'xin'lu
嘉新,jia'xin
嘉州花园,jia'zhou'hua'yuan
建北,jian'bei
建材村,jian'cai'cun
建东,jian'dong
尖峰,jian'feng
建工村,jian'gong'cun
建工三村,jian'gong'san'cun
简家边,jian'jia'bian
简家台,jian'jia'tai
蹇家巷,jian'jia'xiang
健康路,jian'kang'lu
坚强,jian'qiang
涧桥,jian'qiao
尖山,jian'shan
尖山子,jian'shan'zi
建设,jian'she
建设村,jian'she'cun
建设路,jian'she'lu
建设坡,jian'she'po
建设新村,jian'she'xin'cun
建胜镇,jian'sheng'zhen
箭沱,jian'tuo
建西,jian'xi
建新,jian'xin
建新村,jian'xin'cun
建兴,jian'xing
建兴坡,jian'xing'po
建兴正街,jian'xing'zheng'jie
建筑二村,jian'zhu'er'cun
建筑一村,jian'zhu'yi'cun
江北区,jiang'bei'qu
江北正街,jiang'bei'zheng'jie
蒋家湾,jiang'jia'wan
江家巷,jiang'jia'xiang
江家院,jiang'jia'yuan
江津区,jiang'jin'qu
江口,jiang'kou
江南村,jiang'nan'cun
江山,jiang'shan
较场口,jiao'chang'kou
焦化村,jiao'hua'cun
交农村,jiao'nong'cun
轿铺巷,jiao'pu'xiang
交通街,jiao'tong'jie
椒园,jiao'yuan
解放碑街道,jie'fang'bei'jie'dao
解放村,jie'fang'cun
解放东路,jie'fang'dong'lu
解放路,jie'fang'lu
解放坡,jie'fang'po
解放台,jie'fang'tai
解放西路,jie'fang'xi'lu
解放西路上段,jie'fang'xi'lu'shang'duan
解放西路中段,jie'fang'xi'lu'zhong'duan
接龙,jie'long
节约街,jie'yue'jie
金敖,jin'ao
金鳌寺,jin'ao'si
金碧正街,jin'bi'zheng'jie
进步,jin'bu
金厂沟,jin'chang'gou
锦城,jin'cheng
金斗,jin'dou
金鹅,jin'e
金凤,jin'feng
锦凤,jin'feng
金凤镇,jin'feng'zhen
金刚,jin'gang
金刚碑,jin'gang'bei
金刚村,jin'gang'cun
金果路,jin'guo'lu
金果园,jin'guo'yuan
金海大道,jin'hai'da'dao
缙华新村,jin'hua'xin'cun
金鸡,jin'ji
晋林,jin'lin
金龙,jin'long
金龙路,jin'long'lu
金马,jin'ma
金钱,jin'qian
金桥,jin'qiao
金沙街,jin'sha'jie
金沙正街,jin'sha'zheng'jie
金山,jin'shan
金山大道,jin'shan'da'dao
进士,jin'shi
金石路,jin'shi'lu
金属村,jin'shu'cun
金滩,jin'tan
金堂,jin'tang
金汤街,jin'tang'jie
金通大道,jin'tong'da'dao
金堰,jin'yan
金银,jin'yin
金银湾,jin'yin'wan
金渝大道,jin'yu'da'dao
缙云,jin'yun
缙云山,jin'yun'shan
金竹,jin'zhu
金子村,jin'zi'cun
金紫村,jin'zi'cun
金紫街,jin'zi'jie
金子山,jin'zi'shan
金紫山,jin'zi'shan
井池,jing'chi
净慈寺,jing'ci'si
京华院,jing'hua'yuan
经济桥,jing'ji'qiao
经开,jing'kai
井口,jing'kou
井口村,jing'kou'cun
井口街道,jing'kou'jie'dao
井口镇,jing'kou'zhen
箐林,jing'lin
净龙,jing'long
静宁路,jing'ning'lu
井坛,jing'tan
箐溪,jing'xi
九尺坎,jiu'chi'kan
九渡口,jiu'du'kou
九凤,jiu'feng
九高路,jiu'gao'lu
九宫庙,jiu'gong'miao
九宫庙街道,jiu'gong'miao'jie'dao
九涵洞,jiu'han'dong
九坑子,jiu'keng'zi
九里,jiu'li
九龙,jiu'long
九龙村,jiu'long'cun
九龙坡港口,jiu'long'po'gang'kou
九龙坡火车站,jiu'long'po'huo'che'zhan
九龙坡区,jiu'long'po'qu
九龙园区,jiu'long'yuan'qu
九龙镇,jiu'long'zhen
九堰,jiu'yan
菊花坝,ju'hua'ba
举人坝,ju'ren'ba
聚贤岩,ju'xian'yan
聚兴村,ju'xing'cun
聚英村,ju'ying'cun
均田,jun'tian
凯歌路,kai'ge'lu
开县,kai'xian
凯旋路,kai'xuan'lu
开智村,kai'zhi'cun
坎井街,kan'jing'jie
抗建堂,kang'jian'tang
康宁,kang'ning
科电,ke'dian
柯家庄,ke'jia'zhuang
科园路,ke'yuan'lu
空塘,kong'tang
快乐里,kuai'le'li
筷子街,kuai'zi'jie
矿机村,kuang'ji'cun
况家桥,kuang'jia'qiao
矿山坡,kuang'shan'po
奎星楼,kui'xing'lou
来龙,lai'long
来龙巷,lai'long'xiang
岚峰,lan'feng
兰花,lan'hua
兰家洞,lan'jia'dong
栏马,lan'ma
兰溪,lan'xi
岚垭,lan'ya
劳动,lao'dong
劳动村,lao'dong'cun
劳动路,lao'dong'lu
劳动三村,lao'dong'san'cun
劳动一村,lao'dong'yi'cun
劳光,lao'guang
老君山,lao'jun'shan
老双碑,lao'shuang'bei
乐天,le'tian
乐园,le'yuan
雷家坡,lei'jia'po
冷水沟村,leng'shui'gou'cun
黎家,li'jia
礼嘉,li'jia
李家河,li'jia'he
力量村,li'liang'cun
黎明,li'ming
梨树,li'shu
梨树湾,li'shu'wan
梨树湾村,li'shu'wan'cun
鲤鱼池,li'yu'chi
鲤鱼石,li'yu'shi
梨园村,li'yuan'cun
李子坝坡,li'zi'ba'po
李子坝一村,li'zi'ba'yi'cun
李子坝正街,li'zi'ba'zheng'jie
李子林,li'zi'lin
莲池,lian'chi
连二坡,lian'er'po
联芳经济园区,lian'fang'jing'ji'yuan'qu
联芳桥,lian'fang'qiao
联合,lian'he
联合村,lian'he'cun
莲花,lian'hua
莲花池,lian'hua'chi
莲花洞,lian'hua'dong
联龙,lian'long
联盟,lian'meng
联升街,lian'sheng'jie
琏珠,lian'zhu
凉风,liang'feng
两河,liang'he
凉井,liang'jing
两口,liang'kou
两路口街道,liang'lu'kou'jie'dao
梁平县,liang'ping'xian
良桥,liang'qiao
亮石,liang'shi
凉水,liang'shui
梁滩河,liang'tan'he
梁滩桥村,liang'tan'qiao'cun
梁子,liang'zi
廖家台,liao'jia'tai
辽宁路,liao'ning'lu
林地,lin'di
临华村,lin'hua'cun
临华路,lin'hua'lu
临江村,lin'jiang'cun
临江路,lin'jiang'lu
临江门,lin'jiang'men
临江门正街,lin'jiang'men'zheng'jie
林山,lin'shan
林园,lin'yuan
陵光,ling'guang
陵江,ling'jiang
领事巷,ling'shi'xiang
灵芝,ling'zhi
柳背桥,liu'bei'qiao
六店子,liu'dian'zi
六洞村,liu'dong'cun
刘胡兰,liu'hu'lan
刘家坝,liu'jia'ba
刘家坪,liu'jia'ping
刘家台,liu'jia'tai
六角,liu'jiao
六角叉,liu'jiao'cha
六井,liu'jing
溜马,liu'ma
溜马山,liu'ma'shan
柳荫,liu'yin
龙安,long'an
龙坝,long'ba
龙昌街,long'chang'jie
龙车,long'che
龙胆沟,long'dan'gou
龙顶,long'ding
龙洞,long'dong
龙凤,long'feng
龙岗,long'gang
龙湖,long'hu
龙华,long'hua
龙华大道,long'hua'da'dao
龙脊新村,long'ji'xin'cun
龙家,long'jia
龙家湾,long'jia'wan
龙井,long'jing
龙井湾,long'jing'wan
龙门,long'men
龙门桥,long'men'qiao
龙脑,long'nao
龙平,long'ping
龙泉,long'quan
龙泉村,long'quan'cun
龙泉路,long'quan'lu
隆仁,long'ren
龙山路,long'shan'lu
龙山路龙,long'shan'lu'long
隆盛,long'sheng
龙塔,long'ta
龙台,long'tai
龙潭沟,long'tan'gou
龙滩园,long'tan'yuan
龙塘,long'tang
龙田,long'tian
龙头寺,long'tou'si
龙湾,long'wan
龙王,long'wang
龙旺街,long'wang'jie
龙溪路,long'xi'lu
龙翔,long'xiang
龙祥街,long'xiang'jie
龙兴,long'xing
龙星,long'xing
龙岩,long'yan
龙阴村,long'yin'cun
龙隐路,long'yin'lu
龙游,long'you
龙寨,long'zhai
龙嘴,long'zui
楼房,lou'fang
芦沟桥,lu'gou'qiao
六合,lu'he
鹿角,lu'jiao
鲁能新城,lu'neng'xin'cheng
鹿山,lu'shan
锣鼓洞,luo'gu'dong
罗汉寺,luo'han'si
罗家坝,luo'jia'ba
罗家巷,luo'jia'xiang
罗家院,luo'jia'yuan
罗盘,luo'pan
罗坪,luo'ping
洛碛,luo'qi
锣旗寺,luo'qi'si
骆塘,luo'tang
骡子堡,luo'zi'bao
绿水,lv'shui
马鞍,ma'an
马鞍山,ma'an'shan
马道子,ma'dao'zi
马岗垭,ma'gang'ya
马家堡,ma'jia'pu
马家湾,ma'jia'wan
马颈,ma'jing
马井,ma'jing
马兰,ma'lan
麻柳,ma'liu
麻柳河,ma'liu'he
玛瑙溪,ma'nao'xi
马桑溪,ma'sang'xi
马桑溪古镇,ma'sang'xi'gu'zhen
马山垭,ma'shan'ya
马蹄街,ma'ti'jie
马头桥,ma'tou'qiao
马王,ma'wang
马王场,ma'wang'chang
马王街,ma'wang'jie
麦田村,mai'tian'cun
茅庵,mao'an
猫鼻梁,mao'bi'liang
茅店,mao'dian
帽合,mao'he
茅家山,mao'jia'shan
毛里,mao'li
茅山峡,mao'shan'xia
茅山峡村,mao'shan'xia'cun
茅溪,mao'xi
煤建新村,mei'jian'xin'cun
煤建新村上,mei'jian'xin'cun'shang
煤建新村下,mei'jian'xin'cun'xia
梅乐,mei'le
梅溪,mei'xi
美院,mei'yuan
美专校街,mei'zhuan'xiao'jie
门湾,men'wan
孟园,meng'yuan
檬子,meng'zi
棉花街,mian'hua'jie
勉励街,mian'li'jie
庙坝,miao'ba
庙堡,miao'bao
庙沟,miao'gou
庙树,miao'shu
庙嘴,miao'zui
民安,min'an
民建,min'jian
民利,min'li
民权,min'quan
民权路,min'quan'lu
民胜,min'sheng
民生里,min'sheng'li
民生路,min'sheng'lu
民新,min'xin
民新街,min'xin'jie
